Timestamp,is_release,is_landing,in_flight,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80
2025-04-15 00:39:46.527000+00:00,False,False,True,-0.2,-0.0,0.16,-0.12,-0.08,-0.0,-0.0,-0.0,0.12,-0.0,-0.0,-0.0,-0.0,-0.0,0.12,-0.0,-0.2,0.04,-0.0,-0.04,0.08,-0.0,-0.08,-0.0,-0.0,-0.0,0.12,-0.0,1.3599999999999999,0.12,1.28,1.0,-0.0,0.08,0.2,0.04,-0.2,-0.0,0.8400000000000001,0.2,0.5599999999999999,0.4,0.04,-0.0,0.4,0.2,0.04,0.2,1.0,0.04,0.2,0.4,-0.08,0.04,0.6,0.08,-0.08,0.4,0.64,0.08,-0.27999999999999997,-0.5599999999999999,-0.2,-0.4,-0.0,-0.27999999999999997,-0.2,-0.2,0.16,-0.52,-0.36,-0.04,-0.44000000000000006,-0.52,-0.0,-0.4,-0.24,-0.2,-0.24,-0.44000000000000006
2025-04-15 00:39:46.545000+00:00,False,False,True,-0.2,-0.0,0.12,-0.12,-0.12,-0.0,-0.0,-0.0,0.08,-0.0,-0.0,-0.0,-0.0,-0.0,0.12,-0.0,-0.2,0.04,-0.0,-0.04,0.12,-0.0,-0.08,-0.0,-0.0,-0.0,0.12,-0.0,1.3199999999999998,0.12,1.24,1.0,-0.0,0.12,0.2,-0.0,-0.2,-0.0,0.8,0.2,0.52,0.4,0.04,-0.0,0.36,0.2,0.08,0.16,1.0,-0.0,0.2,0.4,-0.08,0.04,0.64,0.12,-0.12,0.4,0.6799999999999999,0.08,-0.24,-0.5599999999999999,-0.2,-0.4,-0.0,-0.24,-0.2,-0.2,0.16,-0.52,-0.36,-0.04,-0.44000000000000006,-0.52,0.04,-0.4,-0.2,-0.2,-0.24,-0.48
2025-04-15 00:39:46.615000+00:00,False,False,True,-0.2,-0.0,0.08,-0.08,-0.16,-0.0,-0.0,-0.0,0.04,-0.0,-0.0,-0.0,-0.0,-0.0,0.12,-0.0,-0.2,0.04,-0.0,-0.0,0.08,-0.0,-0.08,-0.0,-0.0,-0.0,0.16,-0.0,1.28,0.08,1.24,1.0,-0.0,0.12,0.16,-0.0,-0.2,-0.0,0.8,0.2,0.52,0.4,0.04,-0.0,0.36,0.2,0.08,0.16,0.96,-0.0,0.2,0.4,-0.08,0.04,0.64,0.12,-0.08,0.4,0.6799999999999999,0.08,-0.24,-0.5599999999999999,-0.2,-0.36,-0.0,-0.27999999999999997,-0.2,-0.2,0.16,-0.48,-0.36,-0.0,-0.44000000000000006,-0.52,0.04,-0.4,-0.2,-0.2,-0.24,-0.48
2025-04-15 00:39:46.616000+00:00,False,False,True,-0.2,-0.0,0.04,-0.04,-0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16,-0.0,-0.2,0.08,-0.0,-0.0,0.08,-0.0,-0.12,-0.0,-0.0,-0.0,0.16,-0.0,1.24,0.08,1.24,1.0,-0.0,0.12,0.16,-0.0,-0.2,-0.0,0.8,0.2,0.48,0.4,0.04,-0.0,0.36,0.2,0.08,0.16,0.96,-0.0,0.2,0.4,-0.08,0.04,0.64,0.08,-0.08,0.4,0.6799999999999999,0.04,-0.24,-0.52,-0.2,-0.36,-0.0,-0.32,-0.24,-0.2,0.16,-0.44000000000000006,-0.36,-0.0,-0.44000000000000006,-0.48,0.04,-0.4,-0.2,-0.2,-0.24,-0.48
2025-04-15 00:39:46.669000+00:00,False,False,True,-0.2,-0.0,-0.0,-0.04,-0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2,0.04,-0.2,0.08,-0.0,-0.04,0.08,-0.0,-0.12,-0.0,-0.0,-0.0,0.16,-0.0,1.2,0.08,1.2,0.96,-0.0,0.12,0.16,-0.0,-0.2,-0.0,0.8,0.2,0.48,0.4,0.04,-0.0,0.32,0.2,0.08,0.16,0.96,-0.0,0.2,0.4,-0.12,0.04,0.5599999999999999,0.08,-0.08,0.4,0.6799999999999999,-0.0,-0.27999999999999997,-0.5599999999999999,-0.2,-0.36,-0.0,-0.32,-0.24,-0.2,0.16,-0.4,-0.4,-0.0,-0.44000000000000006,-0.48,0.04,-0.44000000000000006,-0.24,-0.2,-0.27999999999999997,-0.44000000000000006
2025-04-15 00:39:46.670000+00:00,False,False,True,-0.2,-0.0,-0.0,-0.04,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2,0.04,-0.2,0.08,-0.0,-0.04,0.08,-0.0,-0.08,-0.0,-0.0,-0.0,0.16,-0.0,1.2,0.12,1.2,0.9199999999999999,-0.0,0.12,0.16,-0.0,-0.2,-0.0,0.8,0.2,0.48,0.36,0.04,-0.0,0.32,0.16,0.04,0.16,0.9199999999999999,-0.0,0.2,0.4,-0.08,-0.0,0.48,0.08,-0.12,0.4,0.6799999999999999,-0.0,-0.32,-0.52,-0.24,-0.36,-0.0,-0.27999999999999997,-0.24,-0.2,0.2,-0.4,-0.36,-0.0,-0.44000000000000006,-0.52,0.04,-0.44000000000000006,-0.27999999999999997,-0.24,-0.32,-0.48
2025-04-15 00:39:46.706000+00:00,False,False,True,-0.2,-0.0,0.04,-0.04,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2,0.04,-0.2,0.12,-0.0,-0.04,0.04,-0.04,-0.08,-0.0,-0.0,-0.0,0.16,-0.0,1.16,0.08,1.2,0.8800000000000001,-0.0,0.12,0.16,-0.0,-0.2,-0.0,0.76,0.16,0.48,0.36,0.08,-0.0,0.36,0.16,-0.0,0.2,0.8800000000000001,-0.0,0.2,0.4,-0.08,-0.0,0.44000000000000006,0.08,-0.12,0.4,0.6,-0.0,-0.36,-0.48,-0.24,-0.36,-0.0,-0.27999999999999997,-0.24,-0.2,0.2,-0.4,-0.36,-0.04,-0.48,-0.48,-0.0,-0.44000000000000006,-0.32,-0.24,-0.36,-0.44000000000000006
2025-04-15 00:39:46.707000+00:00,False,False,True,-0.2,-0.0,0.04,-0.04,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04,0.2,0.04,-0.2,0.08,-0.0,-0.04,0.04,-0.08,-0.12,-0.0,-0.0,-0.0,0.16,-0.0,1.1199999999999999,0.08,1.2,0.8400000000000001,-0.0,0.16,0.2,0.04,-0.2,-0.0,0.72,0.16,0.44000000000000006,0.36,0.04,0.04,0.36,0.16,-0.0,0.2,0.8800000000000001,-0.0,0.2,0.4,-0.08,-0.0,0.4,0.08,-0.16,0.4,0.6,-0.0,-0.32,-0.48,-0.24,-0.4,-0.0,-0.24,-0.24,-0.16,0.2,-0.4,-0.36,-0.08,-0.48,-0.48,-0.0,-0.44000000000000006,-0.36,-0.27999999999999997,-0.4,-0.44000000000000006
2025-04-15 00:39:46.726000+00:00,False,False,True,-0.2,-0.0,0.08,-0.04,-0.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04,0.2,0.04,-0.2,0.04,-0.0,-0.04,0.04,-0.12,-0.12,-0.0,-0.0,-0.0,0.16,-0.0,1.08,0.04,1.16,0.8,-0.0,0.16,0.2,0.04,-0.2,-0.0,0.6799999999999999,0.16,0.44000000000000006,0.32,0.04,0.04,0.36,0.12,-0.0,0.16,0.8400000000000001,-0.0,0.2,0.4,-0.08,-0.0,0.4,0.08,-0.16,0.4,0.6,-0.0,-0.36,-0.48,-0.24,-0.4,-0.0,-0.2,-0.2,-0.16,0.2,-0.4,-0.36,-0.12,-0.52,-0.52,-0.0,-0.44000000000000006,-0.4,-0.27999999999999997,-0.4,-0.44000000000000006
2025-04-15 00:39:46.763000+00:00,False,False,True,-0.16,-0.0,0.12,-0.08,-0.16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04,0.2,-0.0,-0.2,0.04,-0.0,-0.0,0.04,-0.12,-0.08,-0.0,-0.0,-0.0,0.16,-0.0,1.04,0.08,1.16,0.8,-0.0,0.16,0.2,0.04,-0.2,-0.0,0.64,0.16,0.4,0.27999999999999997,0.04,0.04,0.4,0.12,-0.0,0.16,0.8,-0.0,0.2,0.4,-0.04,-0.0,0.4,0.08,-0.2,0.36,0.6,-0.0,-0.32,-0.44000000000000006,-0.24,-0.36,-0.0,-0.2,-0.2,-0.16,0.2,-0.4,-0.36,-0.16,-0.52,-0.48,-0.0,-0.4,-0.36,-0.27999999999999997,-0.4,-0.44000000000000006
