Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
3,934.8399999999998,933.6799999999998,933.3599999999999,934.1599999999997,933.5200000000002,931.9999999999998,933.2399999999999,934.6400000000002,937.7999999999997,940.3200000000002,944.48,947.1600000000001,949.8,948.8799999999999,950.7599999999999,949.5600000000001,948.3999999999999,940.7199999999999,933.0799999999999,918.1200000000001,903.56,886.8000000000002,868.9199999999998,855.6400000000001,852.12,849.5999999999999,848.7600000000001,854.64,857.04,853.7600000000002,846.1199999999997,831.1200000000001,815.2799999999997,799.3599999999999,784.6,776.4000000000001,777.9199999999998,782.7200000000001,791.0400000000002,803.0800000000003,816.6400000000001,829.8399999999998,841.4800000000001,854.8399999999997,866.28,874.6399999999999,882.7599999999998,893.1200000000001,902.2399999999998,914.1599999999999,928.6799999999998,943.4000000000001,959.8799999999999,972.64,982.48,986.08,984.32,977.3599999999997,975.9200000000001,980.3999999999999,983.9599999999999,987.2399999999999,983.6399999999999,954.6800000000001,903.7999999999998,853.32,798.16,731.6000000000001,589.7999999999998,460.4799999999999,338.56000000000006,226.08000000000013,134.08000000000004,137.44,144.04,147.88000000000002,148.36,146.76,146.68000000000004,144.24000000000007,138.32000000000005,133.36,128.0,120.35999999999999,114.63999999999999,112.40000000000002,111.19999999999999,110.87999999999997,111.64000000000003,111.08000000000001,110.2,110.63999999999999,109.56,108.79999999999998,110.64000000000001,116.6,313.36000000000007,559.7600000000001,782.2799999999996,949.1199999999999,1085.9199999999998,1028.0799999999997,925.64,867.24,877.0000000000007,915.3200000000002,956.9600000000003,992.1600000000003,1004.2400000000002,1001.0800000000003,991.7999999999998,982.08,974.04,968.5999999999999,964.0400000000003,962.2000000000003,961.32,959.6000000000001,952.1999999999999,940.9599999999998,925.2000000000002,900.56,843.8800000000001,791.0800000000002,747.44,710.6000000000001,697.76,733.48,785.9200000000003,835.5600000000004,882.5999999999999,913.2000000000003,929.52,930.2800000000002,927.84,924.76,921.2000000000002,914.0399999999997,909.0,901.4000000000001,893.6800000000001,885.8000000000002,879.5200000000001,873.7199999999998,871.48,874.5999999999999,880.7600000000002,888.76,896.7600000000001,904.9199999999998,911.4800000000004,915.9600000000002,918.9600000000003,920.8000000000003,921.5200000000001,921.48,922.0000000000002,922.1200000000001,921.6800000000001,921.5200000000003,921.6799999999998,919.4400000000002,919.1999999999999,920.9199999999997,922.24,920.8799999999999,922.7199999999998,924.1199999999999,924.6000000000003,926.0,928.76
4,924.6000000000003,926.0,928.76,932.4000000000002,936.0400000000002,939.6800000000001,944.12,948.6399999999999,951.4,952.8000000000002,952.0799999999999,951.8000000000001,949.3599999999999,947.84,946.0400000000002,944.4800000000001,940.6800000000002,938.2400000000001,934.4800000000001,931.76,928.0800000000002,924.3599999999999,919.04,912.2400000000002,903.5200000000001,891.9999999999999,878.8000000000001,862.9199999999998,846.96,834.2,823.7600000000002,819.5200000000002,824.6800000000004,834.6400000000003,843.6800000000001,858.8400000000005,870.9200000000001,877.7600000000002,881.76,888.1199999999999,893.2399999999999,905.0799999999999,921.84,938.6000000000001,953.1199999999997,964.04,966.3600000000002,964.1599999999999,960.0000000000001,958.6000000000003,961.4000000000002,966.5600000000001,972.76,980.1200000000001,980.5200000000002,981.24,983.8800000000003,997.9999999999998,1018.28,1038.8399999999997,1046.3600000000001,1047.1200000000003,1028.56,991.8800000000001,946.5199999999998,891.88,810.3599999999999,699.0000000000002,575.5600000000002,449.8,331.1199999999999,243.04000000000008,188.44000000000005,160.79999999999995,150.27999999999997,151.11999999999995,152.04000000000002,157.67999999999998,158.64000000000001,154.4,150.68,145.55999999999997,138.68,133.64,131.16,128.88,126.36000000000001,123.84000000000002,122.96000000000001,123.16,123.03999999999996,124.96000000000001,136.28,160.08,325.64000000000004,486.39999999999986,627.48,758.3599999999999,873.0000000000002,847.0799999999999,824.24,822.28,812.2799999999999,798.9200000000001,782.5600000000001,768.0000000000001,752.0000000000001,741.7999999999998,737.8,727.3199999999999,714.5600000000001,701.5600000000001,687.4799999999998,672.1199999999998,660.76,650.28,639.76,632.52,629.04,627.3599999999999,626.64,625.6399999999999,629.2400000000001,630.44,633.9200000000001,638.3599999999999,642.5999999999999,642.8,641.6800000000001,637.88,632.4,627.0800000000002,621.4000000000001,614.7200000000001,610.2,606.88,603.4399999999999,601.3599999999999,600.56,601.2,603.6800000000001,606.44,607.36,611.2000000000002,612.2000000000002,612.32,613.3599999999999,615.48,616.72,618.4800000000001,620.48,621.6400000000001,624.04,624.8000000000001,630.9600000000002,639.2800000000002,647.9600000000003,655.36,664.1200000000001,668.4800000000001,670.1600000000001,670.12,671.8,673.2,675.12,677.1199999999999,678.3199999999999,680.6799999999998,685.8399999999999,690.2799999999997,696.8
5,723.9999999999998,726.16,727.2799999999999,725.7199999999998,725.9199999999998,727.0,729.04,733.1999999999998,737.5200000000001,739.8399999999999,741.24,742.3599999999999,742.4399999999998,741.8399999999998,739.28,733.2,722.0000000000002,706.4399999999999,690.1600000000001,675.8,662.24,649.56,636.7999999999997,625.12,612.04,601.2799999999997,594.4799999999998,593.5599999999998,595.8799999999999,601.16,614.88,628.2799999999999,641.7999999999998,654.68,669.3200000000003,679.04,686.3199999999999,686.8800000000002,670.1200000000001,648.9600000000002,622.3200000000003,593.2,567.44,554.32,543.6000000000001,536.04,531.6400000000001,526.72,521.72,512.52,504.88,496.1600000000001,486.24,476.5600000000001,464.6000000000001,445.32,423.1599999999999,403.28,384.9599999999999,353.56000000000006,329.00000000000006,310.2799999999999,296.51999999999987,290.15999999999985,304.31999999999994,313.24,315.5599999999999,309.9200000000001,290.15999999999997,266.2000000000001,239.72000000000008,208.07999999999998,162.51999999999998,112.7999999999999,65.0,30.16000000000004,6.119999999999971,-1.1600000000000144,5.439999999999989,12.31999999999999,12.399999999999995,16.03999999999999,22.11999999999999,17.639999999999986,11.079999999999991,7.039999999999991,0.47999999999998977,-5.40000000000001,-2.560000000000011,3.279999999999985,7.239999999999985,10.679999999999989,8.439999999999992,6.47999999999999,4.279999999999997,174.79999999999995,317.79999999999995,456.88,598.6799999999998,746.76,727.56,737.76,752.0799999999999,759.0000000000002,756.2400000000002,744.0400000000001,725.16,705.8000000000001,687.5999999999999,667.88,648.3999999999999,631.0799999999999,617.3200000000002,609.4400000000002,608.32,612.8,621.6800000000001,632.6800000000001,642.9999999999999,650.1999999999999,654.8000000000001,655.8799999999999,653.1200000000002,639.0400000000001,620.8400000000001,597.84,573.2,550.2,538.8000000000001,541.1599999999999,553.6400000000001,581.6400000000001,611.4399999999998,639.1600000000001,660.1600000000001,677.52,683.3999999999999,686.48,688.8000000000001,691.0,691.0,691.0000000000002,690.2000000000002,690.1200000000001,687.1600000000001,683.6800000000002,677.8,674.5600000000002,671.2,669.24,669.0,670.76,675.5600000000002,679.16,684.3600000000001,691.0000000000002,696.2800000000002,700.2400000000001,705.3199999999999,708.36,710.56,713.9200000000001,718.0,721.1600000000001,724.3599999999999,723.8399999999999,723.7200000000001,722.1600000000001,720.8800000000001,719.9600000000003,721.3600000000001
6,688.8000000000001,691.0,691.0,691.0000000000002,690.2000000000002,690.1200000000001,687.1600000000001,683.6800000000002,677.8,674.5600000000002,671.2,669.24,669.0,670.76,675.5600000000002,679.16,684.3600000000001,691.0000000000002,696.2800000000002,700.2400000000001,705.3199999999999,708.36,710.56,713.9200000000001,718.0,721.1600000000001,724.3599999999999,723.8399999999999,723.7200000000001,722.1600000000001,720.8800000000001,719.9600000000003,721.3600000000001,720.4000000000002,719.8400000000001,719.6800000000001,720.0,720.8000000000002,724.04,725.1600000000003,726.8800000000002,728.0400000000001,730.2400000000002,732.1199999999999,734.1200000000001,738.2800000000001,740.5600000000001,740.48,739.9200000000001,740.4,738.88,736.7200000000003,732.2400000000002,727.5600000000002,718.7200000000001,707.0800000000002,692.6800000000001,678.3200000000002,660.0400000000002,643.8,627.8799999999999,621.44,623.16,654.6,691.1199999999998,734.3999999999999,778.1599999999999,824.68,844.5199999999998,861.7199999999998,876.56,878.6400000000001,866.1999999999998,843.72,806.8800000000002,756.16,691.04,617.6399999999999,488.8399999999999,371.67999999999995,261.92,173.84000000000003,99.0,91.56,86.56,84.67999999999999,81.72000000000001,80.8,73.51999999999997,66.08000000000001,58.959999999999994,54.960000000000036,51.55999999999999,66.48000000000002,106.44000000000003,171.6,308.88,502.9199999999999,629.6800000000001,742.4800000000001,826.4400000000002,833.9600000000003,774.08,760.6400000000001,730.8400000000001,704.6799999999998,681.0,666.1199999999999,657.16,652.6399999999999,646.56,643.8399999999999,640.48,632.9200000000001,620.72,607.3199999999999,585.3199999999999,560.8800000000001,540.5999999999999,549.0400000000001,561.64,581.5600000000002,610.1599999999999,640.8,646.0799999999999,647.1999999999998,640.8,627.5200000000001,608.68,590.1600000000003,573.8000000000001,561.0400000000001,551.8400000000001,546.3600000000001,539.2,574.0400000000001,613.5600000000002,660.72,712.28,764.88,776.48,783.8,782.9199999999998,778.8000000000002,775.3200000000002,771.92,771.4799999999997,771.1599999999999,770.5999999999999,772.8399999999999,775.48,776.84,778.8400000000001,776.6000000000001,771.9200000000001,765.0799999999999,757.0799999999997,750.3199999999999,748.8400000000001,747.8399999999998,747.8799999999999,749.1999999999998,750.5999999999999,750.5199999999999,749.9599999999998,752.44,753.0799999999999,752.6799999999997,753.9199999999998,756.76,756.0400000000001
7,560.8800000000001,540.5999999999999,549.0400000000001,561.64,581.5600000000002,610.1599999999999,640.8,646.0799999999999,647.1999999999998,640.8,627.5200000000001,608.68,590.1600000000003,573.8000000000001,561.0400000000001,551.8400000000001,546.3600000000001,539.2,574.0400000000001,613.5600000000002,660.72,712.28,764.88,776.48,783.8,782.9199999999998,778.8000000000002,775.3200000000002,771.92,771.4799999999997,771.1599999999999,770.5999999999999,772.8399999999999,775.48,776.84,778.8400000000001,776.6000000000001,771.9200000000001,765.0799999999999,757.0799999999997,750.3199999999999,748.8400000000001,747.8399999999998,747.8799999999999,749.1999999999998,750.5999999999999,750.5199999999999,749.9599999999998,752.44,753.0799999999999,752.6799999999997,753.9199999999998,756.76,756.0400000000001,749.56,739.3600000000001,717.8399999999999,694.04,666.56,645.6,646.1200000000001,666.56,712.16,765.4399999999998,835.3999999999996,888.04,925.1600000000001,935.6400000000001,939.04,913.6400000000001,838.6,752.0400000000002,650.9600000000003,543.28,391.84000000000003,288.32000000000005,202.32,135.03999999999996,77.96000000000001,78.6,80.64000000000001,80.8,81.32000000000001,76.32,72.72000000000001,66.32,63.72,58.35999999999999,59.16,57.4,63.48000000000001,108.43999999999997,209.59999999999997,371.64,562.88,738.1199999999998,855.5600000000002,905.6800000000001,882.04,819.2799999999997,759.8399999999999,715.9999999999999,696.3200000000002,690.6,695.9600000000003,700.8000000000001,708.2800000000002,695.6800000000002,678.76,654.48,651.2399999999999,663.72,699.5199999999999,744.72,800.3600000000001,840.9600000000002,864.7200000000001,872.2400000000001,873.4399999999998,873.3199999999999,879.5999999999999,884.8799999999999,887.9599999999999,887.28,879.6,840.3199999999999,789.56,754.72,741.1600000000001,743.68,775.7999999999997,826.5599999999998,866.84,890.2399999999999,908.1199999999999,923.0799999999999,930.24,936.3600000000001,940.6800000000001,939.88,938.2399999999998,940.5999999999999,942.4,944.5200000000001,944.7999999999998,946.2000000000002,944.3200000000002,940.2000000000002,937.96,931.8000000000002,923.0799999999999,914.4000000000001,902.9599999999999,886.12,865.7600000000001,843.9199999999998,823.9200000000001,808.1199999999999,804.44,811.8799999999999,828.76,844.52,859.7199999999998,865.7599999999998,862.3199999999999,850.2800000000001,844.64,842.8400000000001,841.1600000000001,848.44,861.1999999999999
8,872.2400000000001,873.4399999999998,873.3199999999999,879.5999999999999,884.8799999999999,887.9599999999999,887.28,879.6,840.3199999999999,789.56,754.72,741.1600000000001,743.68,775.7999999999997,826.5599999999998,866.84,890.2399999999999,908.1199999999999,923.0799999999999,930.24,936.3600000000001,940.6800000000001,939.88,938.2399999999998,940.5999999999999,942.4,944.5200000000001,944.7999999999998,946.2000000000002,944.3200000000002,940.2000000000002,937.96,931.8000000000002,923.0799999999999,914.4000000000001,902.9599999999999,886.12,865.7600000000001,843.9199999999998,823.9200000000001,808.1199999999999,804.44,811.8799999999999,828.76,844.52,859.7199999999998,865.7599999999998,862.3199999999999,850.2800000000001,844.64,842.8400000000001,841.1600000000001,848.44,861.1999999999999,868.32,877.2800000000001,902.0799999999999,926.6000000000001,947.5999999999997,971.8,994.32,1005.2399999999999,1015.9999999999998,1027.3199999999997,1038.2399999999998,1049.4399999999998,1064.5600000000002,1077.4799999999998,1005.2400000000001,908.1600000000002,786.44,629.5999999999999,430.28,309.12,211.28000000000003,134.32000000000005,83.0,73.00000000000001,70.32000000000001,64.39999999999999,61.000000000000014,58.68,57.20000000000002,56.64,56.72000000000003,54.60000000000003,53.600000000000016,52.720000000000034,51.680000000000014,142.72000000000006,329.6,538.2000000000002,717.0800000000002,882.6799999999998,962.8800000000001,943.2799999999997,893.7199999999998,872.0400000000001,858.9999999999999,838.56,820.9199999999998,809.52,801.0,794.5199999999999,787.6799999999998,778.44,771.4400000000003,758.4400000000003,744.0799999999999,730.5199999999999,717.2,701.84,690.2,680.52,673.32,669.6,661.52,657.2400000000001,656.0000000000001,656.8799999999999,662.2400000000001,689.0799999999999,711.7200000000003,735.28,754.8800000000001,772.76,773.16,775.6800000000001,777.08,778.28,777.96,779.9200000000001,782.28,783.8,786.2399999999999,786.0799999999999,788.0799999999999,791.6399999999999,790.8800000000001,793.24,796.92,797.0799999999999,794.8000000000001,795.6800000000001,793.12,790.4000000000001,779.9200000000001,764.4399999999999,739.6400000000002,708.6400000000001,670.9999999999998,638.0799999999998,610.1999999999999,589.6,576.5999999999999,570.6800000000001,598.6000000000003,625.6800000000001,655.88,687.44,717.6800000000001,717.6399999999999,717.24,715.8399999999999,709.8800000000001,704.8799999999999,692.8400000000001,684.44,681.6800000000001,686.5600000000002,694.28
9,744.0799999999999,730.5199999999999,717.2,701.84,690.2,680.52,673.32,669.6,661.52,657.2400000000001,656.0000000000001,656.8799999999999,662.2400000000001,689.0799999999999,711.7200000000003,735.28,754.8800000000001,772.76,773.16,775.6800000000001,777.08,778.28,777.96,779.9200000000001,782.28,783.8,786.2399999999999,786.0799999999999,788.0799999999999,791.6399999999999,790.8800000000001,793.24,796.92,797.0799999999999,794.8000000000001,795.6800000000001,793.12,790.4000000000001,779.9200000000001,764.4399999999999,739.6400000000002,708.6400000000001,670.9999999999998,638.0799999999998,610.1999999999999,589.6,576.5999999999999,570.6800000000001,598.6000000000003,625.6800000000001,655.88,687.44,717.6800000000001,717.6399999999999,717.24,715.8399999999999,709.8800000000001,704.8799999999999,692.8400000000001,684.44,681.6800000000001,686.5600000000002,694.28,717.8,743.6800000000001,766.8,785.92,802.8799999999998,812.0400000000001,816.3199999999999,805.8799999999999,782.9599999999999,750.0800000000002,707.0799999999999,661.9200000000001,622.8800000000001,579.44,527.9200000000001,458.92,357.2,259.6,175.07999999999998,108.83999999999997,69.20000000000002,65.04,60.75999999999999,60.27999999999999,59.519999999999996,63.75999999999999,69.95999999999997,79.71999999999997,88.19999999999997,97.16,105.83999999999999,137.12000000000003,238.39999999999998,460.7599999999999,688.7599999999999,909.1200000000001,1098.56,1209.7600000000002,1194.2,1169.76,1146.52,1125.48,1105.6399999999999,1088.04,1068.0400000000002,1046.56,1023.96,1000.56,977.3600000000001,953.9599999999998,931.6800000000001,911.2400000000001,893.52,878.3599999999998,870.5599999999998,871.48,876.6400000000001,886.1200000000001,899.0000000000002,910.9599999999998,921.56,932.1600000000001,942.5600000000001,950.1600000000001,956.7600000000002,960.9999999999999,965.28,971.8800000000001,978.0000000000002,984.68,990.96,997.28,1000.9200000000001,1007.9999999999999,1014.8,1019.1600000000001,1024.88,1031.1999999999998,1032.7200000000003,1033.72,1035.4,1035.1200000000001,1033.3600000000001,1032.1999999999998,1030.2,1026.52,1024.44,1021.3999999999999,1017.1199999999998,1011.9200000000001,1006.7199999999998,996.2399999999998,985.3199999999999,978.88,971.0399999999998,963.28,957.7199999999999,955.56,950.32,946.0799999999999,943.6799999999996,942.3599999999999,939.08,935.8,935.7200000000003,936.24,935.8799999999999,938.3199999999999
10,980.52,978.7600000000001,975.52,972.5999999999998,961.3599999999999,947.56,929.0,907.24,879.56,850.32,818.7199999999999,788.0000000000002,762.08,744.76,737.7599999999998,746.72,774.4,808.9599999999998,846.1200000000002,883.5600000000002,913.0,928.1999999999998,939.0799999999999,947.8800000000001,954.2800000000003,958.2000000000002,963.1199999999999,965.3599999999999,959.8799999999999,952.5599999999997,946.76,936.52,925.1599999999999,918.1199999999998,912.52,909.4800000000001,909.3199999999999,909.4,912.04,914.2800000000001,916.1599999999999,919.2800000000001,924.1600000000002,931.0000000000002,941.3600000000002,952.8800000000001,967.6800000000001,989.1599999999999,1013.2799999999999,1036.3599999999997,1061.0400000000004,1083.3200000000002,1100.7199999999998,1109.56,1113.1999999999998,1109.16,1098.3200000000002,1038.16,957.9200000000002,863.3600000000001,755.64,640.9199999999998,564.04,494.00000000000017,415.5200000000001,321.32,238.6,163.52,104.59999999999998,71.03999999999998,69.24000000000001,66.75999999999998,63.63999999999998,61.27999999999998,59.11999999999998,57.19999999999999,56.0,56.76000000000002,58.760000000000005,59.719999999999985,59.44,58.96000000000002,57.95999999999998,57.959999999999994,57.959999999999994,59.120000000000005,58.920000000000016,59.12000000000002,58.600000000000016,57.640000000000015,56.440000000000026,55.92000000000004,56.24,58.04000000000002,61.12000000000001,65.03999999999996,168.76,358.96000000000004,551.7199999999999,704.1200000000003,840.44,878.0,837.04,798.88,810.16,834.6000000000001,853.5200000000006,862.72,859.5999999999997,842.0800000000002,819.6,786.1999999999999,745.8000000000001,705.4399999999998,665.4399999999999,625.76,599.2400000000001,578.0,560.9200000000002,551.72,550.4800000000001,554.0799999999998,566.2400000000001,575.8000000000001,575.04,569.52,556.6400000000001,532.56,509.4400000000001,496.43999999999994,498.4799999999999,520.9200000000001,561.3199999999999,611.0400000000001,661.24,702.0799999999999,728.3999999999999,741.9999999999999,751.56,755.5600000000001,759.1999999999999,759.3599999999999,763.1600000000001,762.8,765.3599999999999,766.2399999999998,767.9200000000001,768.1999999999999,769.4800000000002,770.8,772.6800000000001,774.6,776.64,779.12,780.52,783.9599999999999,788.56,790.3599999999999,791.3199999999999,792.9599999999998,790.4799999999998,787.48,784.16,780.3600000000001,773.1200000000001,753.88,736.3600000000001,720.0400000000001,704.72,693.9200000000002,699.28
11,774.5999999999997,775.48,774.5199999999998,778.0399999999998,782.8399999999999,789.0400000000001,794.6800000000001,801.4399999999999,805.3199999999999,808.0000000000002,807.6800000000001,808.56,809.4799999999999,811.24,810.56,811.5600000000001,811.88,813.3199999999999,815.7600000000001,816.96,816.8,817.48,816.3199999999999,814.7199999999998,814.2800000000001,815.3200000000002,814.9200000000001,817.3599999999999,818.2799999999999,819.08,818.76,819.76,815.0799999999999,810.6,803.3999999999999,791.6,774.52,756.8800000000001,737.76,716.0400000000001,698.5600000000001,683.6400000000001,672.1199999999999,662.0400000000001,659.52,658.92,667.1999999999999,680.0799999999999,693.68,710.6399999999999,734.08,757.3599999999999,783.5599999999997,816.7599999999998,848.7199999999999,876.52,897.7599999999999,914.1600000000001,925.1200000000001,932.2399999999999,933.0,931.5600000000002,922.5999999999999,902.96,872.44,830.5600000000001,781.5200000000001,728.16,674.8000000000002,606.0000000000002,528.8799999999999,405.72000000000014,289.9200000000002,183.64000000000004,104.88,47.479999999999976,48.68,50.959999999999994,52.8,53.99999999999999,55.919999999999966,54.76,54.400000000000006,54.239999999999995,53.63999999999999,52.95999999999998,52.96000000000001,53.91999999999999,53.959999999999994,54.480000000000004,53.99999999999998,55.52,56.8,58.04,111.84000000000005,209.83999999999997,399.84,632.3600000000001,833.04,946.56,1016.8399999999998,1000.0799999999997,952.6400000000003,943.9199999999998,966.4000000000001,985.72,992.8399999999997,982.16,960.28,933.7599999999999,898.6799999999997,858.64,816.4,774.24,736.9999999999998,703.72,673.5999999999998,647.7999999999998,621.76,591.6399999999999,566.1999999999999,544.56,526.2400000000001,512.76,501.51999999999987,493.91999999999996,488.51999999999987,484.3599999999999,484.4000000000001,489.64,500.9999999999999,526.3199999999999,563.6800000000002,611.2,661.2399999999999,707.3599999999999,740.5999999999999,763.0799999999999,772.3199999999998,779.0,786.1199999999999,793.5999999999999,798.2399999999998,803.8,807.5199999999999,808.4400000000002,808.3999999999999,807.5199999999999,805.8399999999999,806.1600000000001,808.48,809.12,813.3599999999999,815.1199999999999,814.0000000000001,811.6,812.12,810.56,809.8799999999999,811.5199999999999,813.5199999999998,813.5199999999999,813.6799999999998,814.7199999999999,815.0799999999999,812.5999999999998,808.8399999999999,806.2800000000001,804.48,805.08,805.9200000000001
12,806.2800000000001,804.48,805.08,805.9200000000001,812.5999999999999,818.1599999999999,823.2800000000002,830.1199999999999,836.0000000000001,837.5999999999998,838.7599999999999,839.0799999999998,837.1999999999998,837.04,837.88,837.6399999999999,837.4000000000001,834.3999999999999,830.4,825.9999999999998,821.88,808.52,793.08,778.76,764.0799999999999,752.7199999999998,750.9199999999998,752.1999999999999,755.72,757.7999999999998,760.52,767.68,778.5600000000002,789.72,805.8399999999999,822.9199999999998,839.76,857.52,873.2800000000002,886.32,893.6,893.2800000000003,886.0800000000002,879.7200000000001,870.8799999999999,861.2800000000001,852.52,844.12,835.9599999999998,825.2799999999999,818.9200000000003,815.3199999999999,815.6,816.1600000000001,817.2399999999998,808.3599999999999,791.4399999999998,757.8799999999999,709.24,656.3199999999998,606.8800000000001,550.8799999999999,489.5200000000001,425.5999999999999,334.7600000000001,233.95999999999998,150.76000000000002,84.88,37.919999999999995,25.56000000000001,27.360000000000007,28.48000000000001,30.599999999999994,29.96000000000001,28.08000000000001,27.160000000000004,24.560000000000013,23.960000000000008,25.360000000000014,28.120000000000022,28.120000000000022,29.84000000000004,30.04000000000002,30.320000000000007,30.71999999999999,34.400000000000006,37.160000000000004,41.160000000000004,44.8,48.35999999999998,51.08,53.47999999999998,56.39999999999998,56.359999999999985,60.07999999999999,85.24,149.80000000000007,240.67999999999998,395.5200000000001,575.6000000000001,725.4000000000001,806.52,879.2400000000001,886.04,862.1199999999999,844.8399999999999,853.2800000000002,838.8800000000001,824.6000000000001,789.9599999999999,751.52,682.08,614.8799999999999,550.6400000000001,509.72,491.16,519.2,543.52,573.2399999999999,617.0400000000002,657.64,687.8400000000001,725.5200000000001,763.16,787.2,798.3999999999999,810.2399999999999,817.9599999999999,815.72,811.72,803.6800000000001,787.84,764.8800000000001,740.08,702.52,663.6000000000001,656.6000000000001,694.0000000000001,742.56,807.6800000000001,877.8399999999999,920.0400000000002,930.2400000000002,939.4000000000001,946.36,951.9600000000003,959.4000000000001,966.8800000000002,970.4799999999998,965.4799999999998,963.9599999999998,960.9199999999998,954.2800000000001,946.28,945.5999999999999,943.72,940.0,936.0400000000002,933.6800000000001,930.9199999999998,928.5200000000001,926.6800000000001,925.56,923.7599999999999,921.3999999999999,918.9599999999999,916.0399999999997,914.6399999999998,913.9199999999998,911.7999999999997,909.0799999999999
