Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,-1.7200000000000002,-1.7200000000000002,-1.9200000000000004,-1.7600000000000002,-1.44,-1.32,-1.52,-1.1999999999999997,-1.2800000000000002,-1.4000000000000004,-1.48,-1.44,-1.8800000000000003,-1.72,-1.2000000000000002,-0.9600000000000004,-1.04,-1.08,-1.04,-1.2,-1.1599999999999997,-0.8399999999999997,-0.7199999999999998,-0.5199999999999999,-0.23999999999999988,-0.3599999999999999,-0.5199999999999998,-0.7999999999999998,-1.3200000000000003,-1.72,-1.6399999999999997,-1.7199999999999998,-1.4,-1.1199999999999999,-0.9199999999999999,-1.1999999999999997,-1.28,-0.9200000000000002,-1.1199999999999999,-1.3600000000000003,-1.2800000000000002,-1.6800000000000002,-1.92,-1.3199999999999998,-1.1600000000000001,-1.12,-0.4799999999999998,-0.48000000000000004,-0.6000000000000001,-0.7199999999999999,-1.0,-1.4,-1.2000000000000002,-1.3200000000000003,-1.2399999999999998,-1.2,-1.0000000000000004,-1.04,-1.1199999999999997,-1.2399999999999998,-0.7999999999999999,-1.0400000000000003,-1.6400000000000001,-1.4800000000000004,-1.7200000000000002,-1.8000000000000003,-1.6800000000000002,-1.6400000000000001,-2.08,-1.52,-1.8400000000000003,-1.3200000000000003,-1.08,-1.36,-1.7200000000000002,-1.6,-1.8,-1.6399999999999997,-1.2,-1.3199999999999998,-1.4,-1.6,-1.8400000000000003,-1.8400000000000003,-1.72,-1.56,-1.5200000000000002,-1.7600000000000002,-1.7600000000000002,-1.6,-0.8800000000000001,-0.8400000000000001,-0.3999999999999999,-0.5199999999999999,-0.4799999999999999,-1.4000000000000004,-1.6800000000000006,-1.7200000000000002,-1.52,-2.2399999999999998,-2.2800000000000002,-2.2800000000000002,-2.4800000000000004,-2.28,-2.0,-1.68,-1.3199999999999998,-1.5200000000000005,-1.9200000000000002,-1.7999999999999998,-1.7200000000000002,-1.7600000000000002,-1.3199999999999998,-1.04,-1.0000000000000002,-1.6800000000000002,-1.8800000000000001,-2.28,-2.04,-1.92,-1.4,-1.4000000000000004,-1.28,-2.0,-2.12,-2.0,-2.36,-2.08,-1.4000000000000001,-1.6799999999999997,-1.96,-1.4400000000000002,-1.7999999999999998,-2.1199999999999997,-1.6,-1.8000000000000003,-2.24,-1.88,-1.6800000000000002,-2.0,-2.0,-1.7599999999999998,-1.8000000000000003,-1.8400000000000003,-1.6800000000000002,-1.44,-1.2,-1.8400000000000003,-2.0,-1.5200000000000005,-1.6,-1.96,-1.2799999999999998,-1.4000000000000001,-1.52,-1.5200000000000002,-1.88,-1.8399999999999996,-1.76,-2.08,-2.3200000000000003,-1.7200000000000002,-1.8400000000000003,-1.6799999999999997,-1.3600000000000003,-1.08,-0.9999999999999999,-1.0399999999999998,-1.08,-2.0,-1.7599999999999998
2,325.1200000000001,325.2400000000001,325.12,325.32,326.08,326.52,327.15999999999997,327.84000000000003,327.88,327.96000000000004,327.6,327.31999999999994,327.04,326.55999999999995,325.9999999999999,325.87999999999977,324.8399999999999,323.84,322.48,321.19999999999993,319.28,317.08000000000015,314.1600000000001,310.40000000000003,305.88,300.6,294.44000000000005,287.44000000000005,279.75999999999993,268.12,255.59999999999997,242.88,231.64000000000007,221.32,216.20000000000005,214.23999999999995,207.84000000000003,204.55999999999995,214.15999999999994,226.88,241.63999999999996,264.5199999999999,284.64,291.3599999999999,294.28000000000003,294.00000000000006,291.99999999999994,285.4,325.84000000000003,354.64,373.2799999999999,383.9999999999999,413.0000000000001,395.03999999999996,356.28,320.64,269.88,209.72000000000003,155.16,132.95999999999998,115.75999999999999,119.88,115.88000000000002,106.16,93.08000000000001,70.76,47.75999999999999,31.439999999999998,17.240000000000002,7.079999999999998,8.440000000000001,12.56,13.760000000000002,14.64,15.64,16.28,16.880000000000003,17.36,18.0,17.92,18.360000000000003,18.240000000000002,18.520000000000003,18.08,17.84,17.76,17.8,17.6,17.240000000000002,16.92,15.96,15.4,14.48,13.96,13.32,13.48,12.96,12.68,12.16,11.599999999999998,29.84,56.92,86.00000000000001,116.84,159.91999999999996,189.04000000000002,206.71999999999997,221.88000000000005,236.71999999999997,238.40000000000003,235.23999999999992,234.96000000000004,234.64000000000004,233.16000000000003,232.24,230.92000000000004,229.28,228.64000000000001,227.6,227.36,226.68,224.76,220.47999999999996,193.32000000000005,158.48000000000002,118.84000000000002,82.28,48.959999999999994,38.959999999999994,37.64,41.16000000000001,42.040000000000006,41.04,40.080000000000005,38.44,37.879999999999995,38.68,39.4,37.440000000000005,32.36,26.2,19.64,14.200000000000003,11.079999999999998,10.440000000000001,10.08,10.0,9.44,9.16,9.239999999999998,9.239999999999998,9.32,9.24,8.84,8.24,7.879999999999999,7.0,6.68,6.800000000000001,6.800000000000001,6.48,6.640000000000001,6.520000000000001,5.6400000000000015,5.36,5.16,4.879999999999999,4.76,5.04,4.959999999999999,4.759999999999999
3,317.39999999999986,317.67999999999995,318.12000000000006,318.15999999999997,318.03999999999996,318.1600000000001,317.76,317.16,316.5999999999999,316.15999999999997,315.1200000000001,315.03999999999996,314.31999999999994,314.0799999999999,313.51999999999987,313.28,312.48,312.67999999999995,312.19999999999993,311.35999999999996,310.6399999999999,309.7199999999999,308.03999999999996,306.08000000000004,304.1600000000001,302.04,300.5600000000002,299.6400000000001,300.12000000000006,300.96000000000004,301.5999999999999,300.4799999999999,296.4799999999999,288.03999999999996,275.5999999999999,259.1599999999999,239.68,218.88000000000005,199.31999999999996,182.9999999999999,172.43999999999994,168.79999999999993,171.56,179.99999999999997,192.59999999999997,205.75999999999993,217.96000000000004,228.24,235.6,237.84000000000003,234.51999999999998,224.67999999999998,220.35999999999996,270.08000000000004,353.0,427.8800000000001,505.43999999999994,596.3999999999999,626.4399999999999,558.56,485.91999999999996,391.2800000000001,272.52000000000004,163.8,122.76,91.64000000000004,72.24000000000004,54.55999999999996,34.720000000000006,14.240000000000004,1.7200000000000006,2.6799999999999997,6.800000000000001,9.399999999999999,11.64,12.159999999999998,12.040000000000001,11.84,12.079999999999998,12.36,13.119999999999997,13.68,14.280000000000001,14.719999999999999,15.079999999999998,15.239999999999998,15.759999999999998,16.12,16.36,16.4,16.560000000000002,15.879999999999999,15.520000000000001,14.879999999999999,14.399999999999999,14.240000000000002,14.2,73.56,118.79999999999998,158.2,204.51999999999998,260.55999999999995,261.72,274.48,288.4,291.72,283.4399999999998,270.71999999999997,262.79999999999995,259.12,256.4,254.52,251.67999999999995,247.36000000000004,243.83999999999997,242.16000000000003,241.6399999999999,241.55999999999997,241.52000000000004,241.68000000000004,243.83999999999997,247.92000000000002,253.5200000000001,259.64,266.15999999999997,271.9200000000001,277.1600000000001,282.56000000000006,288.44000000000005,294.0799999999999,299.08000000000004,305.2800000000001,310.96000000000015,315.80000000000007,320.72,325.84000000000003,329.19999999999993,332.32000000000005,335.59999999999997,338.16,340.6799999999999,342.68000000000006,343.59999999999997,343.20000000000005,342.4800000000001,340.84,339.03999999999996,336.84000000000003,333.0400000000001,327.56000000000006,320.04,310.7200000000001,300.44,290.96000000000004,281.9200000000001,274.08000000000004,266.88,261.28,256.4,251.51999999999995,247.83999999999997,245.12000000000003,242.48,240.20000000000002,239.88000000000005,240.3599999999999,241.47999999999996,243.20000000000002,245.07999999999993,245.15999999999997,242.47999999999996
4,362.0399999999999,365.15999999999997,367.03999999999996,368.71999999999986,370.0,370.84000000000003,371.0,370.8400000000001,370.08000000000004,369.40000000000003,368.6400000000001,367.76,367.19999999999993,367.16,367.48,368.0000000000001,368.88,369.52000000000004,369.96000000000026,370.36,371.4000000000001,372.2000000000001,373.12,374.44000000000005,375.28,375.15999999999997,375.28000000000003,375.76000000000005,376.20000000000005,377.0,377.96000000000004,378.56,379.0,378.47999999999996,377.03999999999996,374.8800000000001,372.28,368.52,364.16,359.4799999999999,355.24,351.80000000000007,350.44000000000005,350.36,351.52,351.23999999999995,350.76000000000005,328.48,305.91999999999996,283.44000000000005,264.8,258.12000000000006,271.32000000000005,283.64,294.56,317.2,353.36,363.28,405.19999999999993,440.52,466.08000000000004,472.2800000000001,503.28,502.6,502.31999999999994,494.03999999999996,420.0400000000001,347.28,272.96000000000004,198.72,118.08000000000006,90.63999999999997,64.55999999999999,40.480000000000004,22.919999999999998,15.679999999999996,15.560000000000002,14.639999999999999,13.959999999999996,13.8,13.839999999999998,13.280000000000003,13.48,13.559999999999999,13.559999999999999,13.760000000000002,13.879999999999999,13.680000000000001,13.879999999999999,14.599999999999998,14.44,14.68,14.880000000000003,14.960000000000004,14.88,15.600000000000003,16.320000000000004,17.32,18.2,18.720000000000002,19.0,29.439999999999998,83.55999999999999,123.0,166.56000000000003,218.11999999999998,254.68000000000006,240.56000000000012,238.84000000000003,233.67999999999992,225.20000000000013,214.44000000000005,209.20000000000005,201.95999999999998,193.20000000000005,178.59999999999997,170.92,163.95999999999998,161.51999999999992,160.44,160.76000000000005,161.0,162.92000000000004,165.16000000000003,168.28000000000006,172.2,177.03999999999996,181.35999999999996,184.92000000000002,188.43999999999994,191.32,194.32,199.15999999999997,205.88,212.8,221.12000000000006,230.15999999999997,238.00000000000003,244.95999999999992,251.59999999999982,256.9999999999999,260.67999999999995,263.19999999999993,266.67999999999995,270.6400000000001,275.12,281.0000000000001,287.79999999999995,293.3199999999999,297.76,301.88,304.08,305.79999999999995,306.91999999999996,307.8400000000001,307.72,308.0800000000001,307.36,306.88,307.0800000000001,307.2000000000001,306.80000000000007,307.44,305.8,302.43999999999994,297.91999999999996,291.56,278.68,265.88,252.16,237.84000000000003
5,296.52,291.52,280.72,264.8,247.03999999999996,230.87999999999994,216.72000000000003,209.64000000000004,208.83999999999997,213.24,223.27999999999997,241.04000000000002,256.11999999999995,269.84000000000003,280.36,286.6,285.72,283.96,282.20000000000005,281.36,280.03999999999996,279.15999999999997,280.0799999999999,280.71999999999997,281.52,282.56000000000006,283.64,284.1600000000001,284.92000000000013,285.6,287.35999999999996,289.68000000000006,292.56,291.91999999999985,289.0,283.80000000000007,275.35999999999996,264.04,254.04,244.6,227.48,211.07999999999998,196.95999999999998,186.71999999999994,179.12,182.43999999999997,190.03999999999996,200.15999999999997,210.72000000000003,222.27999999999997,233.44,242.23999999999995,249.16,255.24000000000007,259.31999999999994,262.88,265.88,266.28,261.91999999999996,281.7599999999999,294.76,323.1599999999999,296.7999999999999,277.96000000000004,239.20000000000002,208.35999999999996,161.75999999999993,170.12,169.64000000000004,138.52000000000004,106.32000000000002,74.52,44.55999999999999,19.040000000000003,19.759999999999998,19.56,19.599999999999998,18.880000000000003,18.159999999999993,18.040000000000006,17.24,16.32,15.959999999999997,15.959999999999997,15.16,14.920000000000005,14.560000000000002,13.600000000000001,12.920000000000002,12.28,11.679999999999996,11.6,11.919999999999998,11.64,11.32,11.720000000000002,11.599999999999998,14.079999999999998,41.40000000000001,80.6,120.95999999999998,162.8,209.92000000000002,239.32,260.28,277.9999999999999,291.32000000000005,294.4000000000001,289.8,274.9199999999999,260.64,249.52,241.3199999999999,234.24,234.80000000000007,236.24,238.07999999999993,239.56,239.5999999999999,238.68,236.84000000000006,233.96,229.87999999999997,226.19999999999993,218.51999999999992,210.75999999999993,202.2,194.52000000000004,187.76000000000002,185.56,184.32000000000005,184.60000000000008,185.92000000000004,187.67999999999995,190.08,192.52000000000004,194.12,195.2,195.64000000000004,195.92000000000002,197.68,200.76000000000005,204.24,209.15999999999997,215.04000000000002,220.20000000000002,226.2,233.24,239.32000000000002,244.76000000000002,249.56,253.20000000000005,255.08000000000004,256.8,257.28,257.68000000000006,257.92,258.32,258.44000000000005,258.76000000000005,258.7600000000001,258.68000000000006,258.64,258.52000000000004,258.64,258.9599999999999,259.31999999999994,260.4,261.4,262.48,263.28
6,275.4,277.88,282.40000000000003,289.75999999999993,295.6,300.23999999999995,302.7199999999999,303.3199999999998,301.56000000000006,300.56000000000006,299.76,299.43999999999994,300.2799999999999,301.9599999999999,304.1600000000001,306.7199999999999,310.2399999999999,313.32,315.59999999999997,318.08000000000004,319.8399999999999,319.91999999999996,319.71999999999997,312.08000000000004,300.91999999999996,286.32000000000005,267.12,243.2,222.55999999999995,202.39999999999998,185.00000000000006,184.12000000000003,190.04000000000002,202.19999999999993,218.15999999999997,237.12,246.84000000000003,254.28000000000003,259.24,263.32000000000005,264.19999999999993,261.4799999999999,255.1599999999999,244.43999999999994,237.88,286.32000000000005,326.3999999999999,379.72,467.28000000000014,551.24,567.96,563.1999999999999,538.5200000000001,471.75999999999993,407.2799999999999,355.19999999999993,332.87999999999994,294.08,260.44,214.8,170.51999999999992,125.56000000000003,96.07999999999997,69.36000000000001,51.95999999999998,33.800000000000004,18.0,13.760000000000003,14.2,14.039999999999996,13.800000000000002,13.320000000000002,12.920000000000002,12.399999999999999,12.000000000000005,11.640000000000004,11.680000000000001,11.440000000000001,11.040000000000001,10.760000000000003,10.920000000000002,10.2,9.72,9.920000000000002,9.799999999999999,9.399999999999999,9.719999999999999,9.960000000000003,9.800000000000002,10.120000000000001,10.680000000000003,10.960000000000004,11.240000000000002,11.560000000000002,10.840000000000005,10.52,89.35999999999999,169.28000000000003,248.83999999999997,328.08,406.6,405.36000000000007,401.76000000000005,398.08,394.36,389.52,380.56000000000006,371.64,361.64,350.43999999999994,337.56,327.08,315.0,282.08,245.48000000000002,212.16000000000005,180.12,149.55999999999997,137.56,129.44,118.79999999999998,104.40000000000002,90.24000000000001,79.08000000000001,69.16000000000003,61.60000000000001,58.48,55.4,51.96,49.32,43.760000000000005,35.07999999999999,26.560000000000002,18.76,13.000000000000004,6.120000000000001,-5.559999999999999,-13.399999999999995,-20.959999999999997,-29.56000000000001,-33.00000000000001,-28.840000000000003,-27.119999999999997,-25.040000000000003,-24.04,-24.240000000000006,-23.4,-22.76,-22.64,-22.640000000000008,-22.360000000000007,-21.960000000000008,-22.28000000000001,-22.44,-22.08,-22.040000000000003,-22.52,-22.28,-21.84,-21.560000000000002,-21.560000000000002,-21.439999999999998,-21.479999999999997,-21.92,-22.560000000000002,-22.88,-22.56,-22.279999999999994,-21.72,-21.08,-20.640000000000004
7,352.24,349.44000000000005,347.0,344.76,342.64000000000004,341.43999999999994,341.88,343.03999999999985,344.80000000000007,347.2400000000001,349.80000000000007,351.35999999999996,352.1999999999999,353.2400000000001,354.32000000000005,355.36,356.0,357.63999999999993,358.84000000000003,359.67999999999995,359.92,357.96000000000004,354.76,350.7600000000001,345.99999999999994,339.5200000000001,334.0400000000001,326.32000000000005,315.2800000000001,292.88,272.2,253.99999999999997,239.84000000000006,232.2,238.16000000000003,244.55999999999995,250.36,256.71999999999997,263.2799999999999,269.08000000000004,276.36,283.5200000000001,287.8399999999999,288.44000000000005,285.64,278.68,287.03999999999996,311.8,341.6000000000001,365.1199999999999,378.31999999999994,382.52,391.2,399.24000000000007,414.72,444.28,469.08000000000004,475.79999999999995,478.96000000000004,448.11999999999983,412.64,344.08,268.51999999999987,196.64,157.76000000000005,109.48000000000002,82.20000000000003,58.91999999999997,33.119999999999976,9.720000000000004,-1.0000000000000018,-1.9200000000000035,-1.5200000000000014,-2.400000000000003,-2.839999999999998,-2.84,-2.679999999999999,-2.679999999999997,-2.919999999999998,-3.240000000000002,-3.799999999999997,-3.799999999999998,-4.200000000000001,-3.9599999999999973,-3.960000000000001,-3.76,-4.56,-4.800000000000002,-4.760000000000001,-4.959999999999999,-5.28,-4.919999999999998,-5.119999999999998,-5.199999999999998,-5.199999999999998,-5.120000000000001,-5.52,-5.519999999999999,-5.880000000000002,-5.8,-5.160000000000002,-2.8800000000000052,1.7600000000000016,55.16000000000002,111.91999999999999,158.08,193.15999999999997,229.12,221.44,216.76,223.4000000000001,235.36000000000007,238.67999999999995,250.35999999999996,253.44000000000005,252.35999999999996,253.35999999999999,256.40000000000003,245.96,237.23999999999995,232.56000000000006,231.2,233.60000000000002,237.39999999999995,242.80000000000007,248.32000000000008,254.03999999999996,259.6,264.28000000000003,268.03999999999996,270.80000000000007,271.72,275.04,278.2799999999999,271.3199999999999,264.20000000000005,258.3599999999999,250.35999999999996,241.7199999999999,242.63999999999993,243.27999999999997,242.83999999999997,241.55999999999995,241.04,240.87999999999997,241.24000000000007,242.08000000000007,243.7200000000001,246.07999999999998,248.44000000000005,250.48000000000002,252.9200000000001,255.68000000000006,257.20000000000005,258.16,259.56000000000006,260.0,260.4,260.4,260.96000000000004,261.27999999999986,261.9599999999999,262.35999999999996,262.99999999999994,263.76,263.84000000000003,263.84000000000003,262.68,260.59999999999997,252.48000000000008,242.39999999999998
8,313.44,310.6,304.5200000000001,298.28,294.6799999999999,299.20000000000005,307.4799999999999,317.0,324.9200000000001,329.12000000000006,330.6400000000001,332.64,335.0799999999998,337.44000000000005,339.68000000000006,342.2799999999998,342.4799999999998,341.9999999999999,341.5999999999998,341.47999999999996,341.24000000000007,341.44000000000005,341.52000000000004,343.0,344.56000000000006,346.3600000000001,347.64000000000004,348.3999999999999,345.5200000000001,341.52000000000015,334.3600000000001,325.08000000000004,312.67999999999984,297.56000000000006,279.20000000000005,258.76,244.39999999999995,236.88,237.52000000000004,243.76000000000005,256.43999999999994,267.03999999999996,269.44000000000005,275.92,288.03999999999996,324.28,352.9599999999998,377.3600000000001,384.20000000000005,415.20000000000005,412.32000000000005,420.64000000000004,445.19999999999993,478.28,481.6400000000001,496.55999999999995,481.8,439.56000000000006,400.79999999999995,338.20000000000005,265.6799999999999,220.95999999999998,195.16000000000003,166.39999999999995,135.23999999999992,103.08,68.55999999999997,35.56,4.559999999999995,-1.3599999999999994,0.16000000000000014,0.5999999999999979,1.4800000000000004,1.9199999999999982,2.3199999999999994,2.5600000000000005,3.6000000000000014,4.040000000000001,4.359999999999999,4.319999999999999,4.160000000000003,3.5999999999999988,3.5599999999999943,3.519999999999997,3.4399999999999977,3.559999999999998,3.4400000000000004,3.16,3.4000000000000004,3.239999999999994,3.039999999999999,3.08,3.080000000000001,2.280000000000002,2.360000000000004,2.4399999999999986,2.4400000000000004,2.6400000000000006,7.040000000000003,19.52,73.39999999999998,135.67999999999995,178.04,208.23999999999995,227.16000000000003,205.95999999999995,176.15999999999997,165.32000000000005,163.43999999999997,165.0,166.72,172.0800000000001,179.15999999999997,185.95999999999998,192.24,196.92000000000002,198.04000000000002,197.51999999999998,197.64000000000001,204.68000000000012,213.35999999999999,223.72,242.60000000000005,259.64,269.84000000000003,278.5200000000001,285.44000000000005,284.52,284.7600000000001,283.9200000000002,282.96000000000004,281.88,280.92,279.9200000000001,279.0,275.80000000000007,273.0,270.28,267.6,265.72,266.52,269.08,272.2000000000001,275.1199999999999,278.75999999999993,283.12000000000006,285.43999999999994,287.32000000000005,289.32000000000005,290.08000000000004,289.55999999999995,287.08000000000004,282.0800000000001,273.76000000000005,262.44000000000005,247.87999999999988,232.11999999999995,217.16000000000008,209.08000000000004,206.8400000000001,210.48000000000002,219.20000000000005,231.51999999999998,244.08000000000004,258.0,271.47999999999996,283.15999999999997,292.52,297.6399999999999,298.79999999999995,297.8399999999999
9,247.0,261.84,277.63999999999993,290.92,295.16,299.24,302.04,303.20000000000005,305.16,307.24,308.91999999999996,311.03999999999985,313.9999999999998,316.44000000000005,319.55999999999983,321.91999999999985,324.0399999999998,325.12,326.35999999999996,327.0799999999999,328.68000000000006,330.44000000000005,332.56000000000006,333.7999999999999,335.15999999999997,334.9999999999999,334.28,332.79999999999984,331.55999999999983,329.56000000000006,327.19999999999993,324.6,321.64000000000004,314.4000000000001,305.6,295.72000000000014,283.4,270.04,259.8800000000001,251.68000000000006,245.91999999999996,243.92000000000002,244.64000000000004,247.35999999999996,250.79999999999995,255.31999999999996,260.47999999999996,265.6799999999999,270.48,275.28,279.15999999999997,291.60000000000014,318.44000000000005,349.56000000000006,374.56000000000006,391.88000000000005,391.1600000000002,376.8399999999999,371.0799999999999,384.64000000000004,410.64,442.3599999999999,474.1599999999999,487.3199999999997,470.92,434.0399999999999,393.6400000000001,347.79999999999995,292.3599999999999,236.87999999999994,203.24,172.59999999999997,136.36000000000004,104.51999999999997,83.88000000000001,56.44,31.960000000000004,16.27999999999999,11.480000000000004,11.36,11.280000000000001,11.159999999999998,11.36,11.48,11.400000000000002,11.04,10.68,10.2,9.84,9.440000000000001,9.280000000000001,9.16,9.04,9.32,9.48,9.959999999999997,10.159999999999998,10.759999999999998,11.279999999999996,14.840000000000002,40.27999999999999,109.48000000000002,172.24,218.87999999999997,257.7200000000001,275.36,254.7999999999999,245.48000000000013,252.36,260.64,265.32,275.36,279.52,281.3999999999999,286.5999999999999,294.48,291.76,290.56,291.68,292.9200000000001,292.91999999999996,290.03999999999996,283.1600000000001,276.59999999999997,271.11999999999995,268.2400000000001,268.28,272.24,276.20000000000005,280.20000000000005,284.84000000000003,289.67999999999995,293.75999999999993,297.15999999999985,299.72,300.20000000000005,300.56000000000006,300.48000000000013,300.32000000000005,300.15999999999997,300.1600000000001,300.0000000000001,300.3600000000001,300.6400000000001,300.84000000000003,301.31999999999994,301.44,299.56000000000006,295.92000000000013,290.00000000000006,280.55999999999995,268.24000000000007,255.48000000000002,242.03999999999985,229.75999999999996,219.3199999999999,212.15999999999997,208.84000000000006,209.71999999999997,214.00000000000006,222.64000000000004,235.44,250.79999999999995,265.8,278.64,288.32,293.08000000000004,294.32000000000005,293.9999999999999,294.12,294.0799999999999
10,374.36,376.8399999999999,377.72,377.9599999999999,378.31999999999994,378.8399999999999,379.44000000000005,380.56,382.3600000000001,383.64,384.47999999999996,384.28,382.24,378.92,373.96000000000004,368.1600000000001,360.08000000000004,350.76,338.32,320.9600000000001,298.04,272.04,246.72000000000003,225.64,213.76000000000005,210.35999999999996,215.96,228.76,242.23999999999998,254.99999999999997,269.79999999999995,283.68,294.88,307.6,320.2800000000001,330.15999999999997,337.84,342.11999999999995,343.16,341.2800000000001,337.36000000000007,340.80000000000007,361.24,397.3599999999999,426.76,448.28000000000003,495.72000000000014,529.44,542.84,561.2800000000001,589.1600000000001,585.72,583.3599999999999,572.8399999999999,531.3600000000001,464.7600000000001,389.9200000000001,315.5199999999999,255.51999999999998,228.28000000000003,222.83999999999995,221.07999999999998,210.68000000000006,187.8800000000001,151.84,117.19999999999999,84.71999999999998,56.28000000000002,37.64,32.72,29.519999999999996,26.4,23.999999999999996,23.52,23.919999999999998,23.71999999999999,24.07999999999999,24.199999999999996,24.319999999999993,24.319999999999997,24.68,24.519999999999996,24.599999999999998,24.6,24.359999999999996,23.96,24.0,24.0,24.039999999999996,24.04,24.200000000000003,23.92,23.640000000000004,23.6,23.519999999999996,23.32,24.08,32.92,94.48000000000002,151.07999999999998,198.11999999999998,246.00000000000003,306.48,314.6399999999999,326.40000000000003,346.68000000000006,364.20000000000005,358.64,349.59999999999997,348.76,345.7199999999999,341.44,347.52000000000004,354.56000000000006,354.27999999999986,356.8800000000001,361.7199999999999,358.12,345.15999999999997,331.67999999999995,317.12,290.84000000000003,262.47999999999996,241.31999999999994,217.92000000000007,193.71999999999997,180.6,168.8,160.59999999999997,155.12,151.91999999999996,149.47999999999996,147.84000000000003,145.28,142.64,138.79999999999995,134.4,134.24,137.72,143.64,153.75999999999993,170.51999999999998,188.71999999999997,209.67999999999992,233.96,255.84000000000003,272.04,283.48,290.35999999999996,292.67999999999995,294.16,296.36,298.44,300.0,301.6,303.9200000000001,305.6,307.24000000000007,309.91999999999996,311.9200000000001,314.03999999999996,316.0,318.03999999999996,319.28000000000003,320.6,321.00000000000006,321.72,322.0400000000001,322.6400000000001,322.80000000000007,323.8
