Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,179.60000000000005,177.24000000000007,173.92000000000007,168.79999999999998,163.67999999999995,159.08000000000004,155.84,153.44000000000005,152.00000000000006,150.12000000000003,148.47999999999996,147.15999999999997,146.04000000000002,145.39999999999998,145.35999999999996,145.2,146.20000000000005,146.92000000000002,147.08000000000004,147.36,147.8400000000001,148.36,148.88,150.00000000000006,151.0,152.24000000000007,153.52,156.00000000000006,158.48000000000002,161.08000000000007,163.8000000000001,166.44,168.8800000000001,171.15999999999997,173.64,176.44,179.68,183.23999999999995,186.60000000000002,188.12,187.48,184.88,178.87999999999994,171.60000000000002,163.96000000000004,157.16000000000003,150.76000000000005,142.20000000000002,133.95999999999998,127.60000000000001,122.28000000000002,119.36000000000001,123.19999999999999,130.44000000000005,139.32,147.76,156.2,169.84,181.87999999999997,192.47999999999996,202.96,211.07999999999998,199.39999999999998,183.24000000000007,162.9600000000001,131.75999999999993,100.20000000000002,79.64000000000003,59.12000000000003,33.95999999999998,13.719999999999997,-2.6400000000000046,-16.839999999999996,-27.159999999999997,-28.96,-24.639999999999993,-23.199999999999996,-22.319999999999993,-21.679999999999996,-21.519999999999992,-21.199999999999996,-20.919999999999995,-21.56,-21.84,-22.160000000000004,-22.96,-23.439999999999998,-23.36,-23.599999999999998,-23.439999999999998,-23.319999999999997,-22.839999999999996,-22.520000000000003,-20.64,-17.759999999999998,30.280000000000015,78.24000000000004,117.40000000000003,147.00000000000006,171.59999999999997,148.68000000000004,123.64000000000001,106.28,96.16,89.39999999999998,81.96000000000001,66.39999999999998,51.20000000000002,35.92000000000001,20.92000000000001,8.36000000000001,5.760000000000009,5.280000000000013,5.8400000000000105,7.200000000000014,9.760000000000014,13.040000000000017,15.960000000000004,19.32,23.680000000000028,28.280000000000022,34.920000000000016,42.880000000000024,52.11999999999999,61.87999999999998,72.55999999999997,82.19999999999996,90.51999999999998,98.31999999999998,105.88,113.16,121.08000000000007,130.28,140.20000000000005,148.64,155.99999999999997,160.72000000000003,162.8,162.68,162.0399999999999,161.15999999999988,160.6,161.08000000000004,162.2,163.31999999999996,164.0,163.68,161.07999999999998,155.24000000000007,147.11999999999998,137.19999999999996,125.51999999999998,113.99999999999999,103.64,94.4,85.15999999999997,78.47999999999995,74.71999999999997,73.15999999999998,73.43999999999997,76.63999999999997,86.31999999999996,98.72,113.60000000000005,129.56,146.39999999999998,157.07999999999998,164.47999999999996,169.76000000000005,173.16000000000008,175.0
2,204.76000000000008,197.04000000000002,188.32000000000005,179.20000000000002,170.31999999999994,162.51999999999998,155.88,150.0,146.39999999999995,144.8,149.27999999999997,155.39999999999998,161.99999999999997,168.68000000000006,175.03999999999996,176.68000000000006,177.75999999999993,179.07999999999998,180.3599999999999,182.31999999999994,185.07999999999998,189.32000000000005,193.88,199.72000000000003,205.8,211.68,214.72000000000003,215.88000000000002,213.72000000000003,203.68000000000004,191.64,179.55999999999995,167.96000000000004,158.07999999999998,154.20000000000005,150.95999999999995,148.2,143.84000000000003,138.60000000000002,132.56000000000003,126.39999999999999,120.47999999999999,117.39999999999999,117.28,120.52000000000004,127.08000000000004,147.92000000000007,160.44,171.83999999999992,181.76000000000002,188.47999999999996,181.12,180.59999999999994,177.68,171.60000000000002,156.20000000000002,139.7999999999999,123.28,106.19999999999999,90.59999999999995,83.95999999999998,77.91999999999997,71.11999999999998,65.11999999999999,57.959999999999994,49.76,39.03999999999999,21.999999999999986,4.280000000000003,-8.240000000000004,-18.48,-25.520000000000003,-23.919999999999998,-20.279999999999998,-19.839999999999996,-19.64,-19.080000000000002,-19.04,-19.4,-19.72,-20.159999999999997,-20.56,-20.919999999999998,-20.88,-20.799999999999997,-20.44,-20.32,-19.92,-20.16,-20.0,-20.44,-20.720000000000002,-21.0,-20.96,-21.28,-21.12,-21.240000000000002,-20.04,-12.280000000000001,0.5200000000000005,26.75999999999999,84.2,143.84000000000003,193.9199999999999,233.88,260.40000000000003,257.9600000000001,251.47999999999996,238.40000000000006,223.0,202.76000000000005,176.27999999999994,145.0,119.55999999999999,99.0,81.24000000000001,66.39999999999998,56.19999999999999,49.800000000000004,46.640000000000015,45.68000000000002,46.20000000000001,47.64000000000003,50.880000000000024,56.08000000000001,65.35999999999999,78.23999999999998,94.79999999999998,113.64000000000004,135.51999999999995,158.60000000000008,181.80000000000004,203.23999999999995,221.92000000000004,234.44,239.20000000000005,238.64000000000004,234.07999999999998,226.16000000000003,217.44000000000003,207.8,197.6,187.35999999999999,178.36000000000004,169.92000000000002,163.76,158.92000000000002,155.08,152.16000000000003,150.64000000000004,149.72000000000003,149.28000000000003,148.96000000000004,148.20000000000005,145.0,138.28000000000003,127.40000000000002,115.04000000000002,101.79999999999998,88.4,78.76,74.19999999999999,72.52000000000001,73.79999999999998,78.71999999999998,84.24000000000001,90.24000000000001,96.03999999999999,100.75999999999998,104.67999999999999,108.35999999999999
3,174.75999999999993,179.35999999999996,183.43999999999994,187.27999999999997,190.71999999999994,193.72,196.32,198.67999999999995,200.52000000000004,201.44000000000005,202.8400000000001,203.71999999999997,204.12000000000003,204.32,205.19999999999996,205.64000000000001,206.79999999999995,208.63999999999996,211.04000000000005,213.36,216.56,219.20000000000005,221.64000000000004,222.84000000000003,221.68,215.16000000000003,205.60000000000002,192.68,177.0,160.76,147.16000000000003,135.51999999999998,125.76000000000002,119.87999999999998,118.03999999999999,119.67999999999998,123.75999999999999,130.84000000000003,139.07999999999998,147.71999999999997,156.16000000000005,165.40000000000003,176.23999999999998,189.40000000000003,204.56,220.88,236.76,250.43999999999994,259.9599999999999,263.55999999999995,262.28,256.03999999999996,244.67999999999995,231.67999999999998,217.56,203.72000000000003,191.36000000000004,182.55999999999995,174.72,167.51999999999998,159.36000000000004,150.16000000000003,139.44,128.35999999999999,115.07999999999998,92.91999999999999,67.27999999999999,41.60000000000002,17.400000000000006,-2.559999999999999,-10.359999999999996,-12.439999999999998,-13.12,-14.16,-14.439999999999998,-15.64,-15.92,-15.879999999999995,-15.639999999999997,-16.159999999999997,-15.999999999999996,-16.479999999999997,-16.759999999999994,-16.8,-15.999999999999998,-15.799999999999997,-15.439999999999998,-15.280000000000001,-15.600000000000001,-16.28,-16.319999999999997,-16.36,-16.48,-16.160000000000004,-15.439999999999998,-11.2,1.4800000000000064,17.680000000000003,50.92,105.68,152.88,192.67999999999995,226.44000000000003,240.00000000000009,228.28000000000003,217.24,199.64000000000004,178.72000000000008,157.32000000000005,137.08,118.55999999999997,104.60000000000001,91.20000000000002,80.75999999999998,71.47999999999999,63.36000000000002,56.68000000000002,56.08000000000003,56.360000000000014,58.08,61.440000000000005,66.36000000000001,73.19999999999999,81.12,91.11999999999999,99.95999999999998,107.51999999999998,113.2,116.76000000000002,116.64000000000004,114.04,108.76000000000002,101.67999999999998,93.19999999999999,83.44,73.92000000000002,66.03999999999999,58.64,53.71999999999999,52.36,54.23999999999999,58.4,65.79999999999998,75.91999999999999,88.88000000000002,104.4,121.40000000000003,140.35999999999996,157.56,171.04,182.0,190.39999999999998,195.64,201.32000000000002,207.56,212.52000000000004,215.28000000000003,215.03999999999996,211.52000000000004,205.47999999999996,197.8400000000001,190.88,184.28000000000006,179.11999999999995,175.44000000000005,172.8400000000001,171.4,170.52,169.95999999999998,169.71999999999997,170.63999999999996
4,179.04000000000002,174.32000000000002,169.60000000000002,165.23999999999995,163.63999999999996,163.99999999999997,166.88,172.51999999999992,178.48000000000002,183.0,186.2,188.2,188.48000000000002,189.63999999999996,190.64000000000004,191.44000000000008,191.92000000000004,192.16000000000003,191.63999999999996,191.39999999999998,191.15999999999997,190.96000000000004,191.16000000000003,191.43999999999997,191.68,192.24,192.59999999999997,184.8,174.8,161.92000000000002,147.32,131.24,122.56,117.16,115.6,116.32,119.16,122.96000000000004,127.64000000000003,134.32,145.76000000000005,160.23999999999998,176.12000000000006,190.64000000000004,203.67999999999995,213.91999999999996,222.72000000000008,230.39999999999992,237.39999999999998,241.52000000000004,240.79999999999998,235.6399999999999,227.56000000000006,217.00000000000003,205.24,193.67999999999995,182.44,171.64000000000001,162.4000000000001,153.44000000000005,144.08,134.48000000000002,124.20000000000005,113.20000000000002,103.07999999999996,94.35999999999999,87.16000000000001,76.08000000000003,58.920000000000016,39.079999999999984,20.680000000000003,2.5999999999999996,-8.799999999999997,-12.48,-11.719999999999999,-11.919999999999998,-11.92,-11.879999999999999,-12.32,-13.0,-13.079999999999995,-13.319999999999997,-13.879999999999999,-13.799999999999999,-13.839999999999998,-13.879999999999999,-13.600000000000001,-13.719999999999997,-13.719999999999997,-13.999999999999996,-13.96,-14.2,-13.8,-13.239999999999998,-12.319999999999997,-9.2,-2.3599999999999968,9.360000000000007,39.12,83.32,122.00000000000003,152.87999999999997,178.80000000000007,187.72000000000003,183.52000000000004,183.67999999999995,188.59999999999997,191.24,183.32000000000005,169.95999999999998,151.15999999999997,128.12,104.03999999999999,87.43999999999998,74.16,65.35999999999999,60.43999999999999,59.92000000000003,66.11999999999998,75.72000000000003,86.88,97.83999999999999,107.32,111.91999999999997,113.12,112.16000000000003,112.04000000000002,111.84,110.52000000000001,109.60000000000002,108.87999999999997,106.92,105.51999999999998,104.83999999999997,104.79999999999998,104.23999999999998,104.47999999999996,104.91999999999999,107.32000000000001,110.08,114.08000000000001,118.47999999999999,123.39999999999998,127.56,130.07999999999998,130.23999999999998,127.87999999999998,123.88,118.28,113.56,110.56,109.60000000000002,109.44000000000001,110.16000000000003,111.03999999999999,112.35999999999999,113.55999999999999,115.64000000000004,117.88000000000002,123.68000000000002,129.72000000000003,137.27999999999997,147.56,161.47999999999996,175.08000000000004,189.76,203.24,211.87999999999997,215.96000000000004,214.95999999999998,209.84000000000003
5,156.87999999999997,161.2,166.39999999999995,172.19999999999996,177.36,180.95999999999998,182.2,181.48000000000002,180.07999999999998,180.76000000000002,184.80000000000007,194.92000000000002,208.20000000000005,223.00000000000009,236.08000000000004,246.99999999999997,253.36000000000007,250.60000000000002,244.88,236.76000000000002,226.43999999999994,215.63999999999993,210.67999999999995,206.60000000000002,204.52000000000004,203.32000000000005,202.32000000000002,202.35999999999996,203.48000000000002,205.40000000000003,214.04000000000002,223.96,232.24,236.60000000000008,237.36000000000004,228.79999999999995,216.76,203.68,191.64,180.16000000000003,168.15999999999997,156.44000000000005,145.0,135.4,128.16,124.35999999999999,125.27999999999999,130.72,141.39999999999995,156.04000000000002,178.72000000000003,199.35999999999996,217.79999999999995,231.08000000000004,238.59999999999997,227.88000000000002,212.48000000000013,194.36,172.87999999999994,152.92000000000002,142.39999999999992,135.27999999999997,129.92000000000004,126.15999999999997,120.60000000000001,92.72000000000003,64.96000000000002,38.24000000000001,13.639999999999999,-9.12,-9.319999999999997,-9.359999999999994,-9.88,-10.359999999999996,-11.239999999999998,-11.719999999999997,-11.999999999999998,-12.479999999999999,-13.079999999999998,-13.039999999999997,-12.519999999999996,-12.559999999999995,-12.199999999999996,-11.999999999999998,-11.96,-12.599999999999998,-12.64,-13.039999999999997,-12.879999999999995,-12.039999999999996,-11.319999999999997,-10.879999999999995,-8.839999999999998,15.080000000000002,57.24000000000004,106.56000000000003,157.24,205.95999999999992,230.44000000000005,233.56,227.5999999999999,218.91999999999996,207.76000000000002,195.48000000000002,181.00000000000009,163.59999999999997,143.28000000000006,123.84,106.19999999999999,92.91999999999999,86.28,86.44,91.91999999999999,101.15999999999994,113.44000000000001,125.84000000000002,136.44000000000005,144.60000000000002,150.48000000000002,153.87999999999997,155.60000000000002,157.72000000000003,158.8,159.40000000000003,160.00000000000006,159.68,157.39999999999998,154.60000000000002,150.56,144.07999999999998,135.96000000000004,125.12000000000003,107.55999999999999,91.64000000000001,77.47999999999996,65.39999999999998,56.959999999999994,56.11999999999998,54.919999999999995,54.160000000000004,53.36,52.84,52.8,54.15999999999998,55.39999999999999,57.679999999999986,61.51999999999999,69.96,86.75999999999996,106.23999999999995,126.63999999999999,144.95999999999998,158.76,162.4,163.56,162.79999999999995,162.00000000000003,160.07999999999998,157.48000000000002,154.35999999999996,151.67999999999998,149.76,148.67999999999998,149.31999999999996,150.96,153.68,156.92000000000002,160.92000000000002,165.32000000000008,169.28000000000003,171.92000000000002
6,232.08,234.4,236.39999999999998,237.95999999999998,237.96000000000004,237.23999999999995,230.95999999999998,223.59999999999997,215.0,206.60000000000002,198.07999999999996,193.95999999999998,189.96000000000004,187.16000000000008,184.52,183.84000000000003,184.28000000000003,186.04000000000002,189.60000000000005,196.48000000000005,205.16,214.24000000000007,223.84,234.12000000000006,242.52,248.32,252.2,253.12000000000003,248.83999999999997,241.24000000000007,230.6,219.28000000000003,208.2000000000001,198.43999999999997,189.19999999999993,180.68,171.32,161.84,152.07999999999998,142.64,134.39999999999998,128.44000000000003,125.20000000000002,124.92000000000002,128.64000000000001,136.36,146.95999999999998,168.5600000000001,189.8,207.87999999999997,220.84000000000003,228.51999999999998,220.2,207.36,190.75999999999993,174.08000000000004,157.48000000000005,143.95999999999998,133.35999999999999,126.80000000000001,121.23999999999998,116.96000000000002,112.44,108.04000000000002,103.60000000000002,98.84,93.16000000000004,79.92000000000002,61.83999999999998,41.36,23.039999999999996,6.240000000000001,-2.3999999999999986,-5.08,-4.879999999999998,-5.52,-5.479999999999999,-5.52,-5.479999999999998,-5.839999999999999,-6.3999999999999995,-6.759999999999998,-6.799999999999999,-6.960000000000001,-6.92,-6.92,-7.319999999999999,-7.959999999999998,-8.52,-8.839999999999998,-8.76,-8.959999999999999,-8.519999999999998,-8.079999999999998,-8.36,-8.16,0.7999999999999972,13.159999999999993,33.68,68.28000000000003,127.00000000000001,179.24,220.4000000000001,249.32,263.43999999999994,250.5200000000001,232.47999999999988,218.92000000000002,205.64,190.52000000000004,173.64000000000007,155.51999999999995,136.0,117.63999999999996,101.12,87.55999999999997,75.28,66.0,57.56000000000001,52.95999999999998,52.39999999999999,56.80000000000002,65.27999999999999,77.20000000000002,91.75999999999995,107.0,125.84,146.12,165.68,179.44000000000005,188.51999999999998,189.96000000000004,185.16000000000003,178.24,171.39999999999998,166.16,164.68000000000006,166.88,171.76,178.83999999999997,186.19999999999996,192.15999999999997,195.68000000000004,196.28000000000003,192.19999999999996,185.51999999999992,176.95999999999995,166.99999999999997,156.2,146.35999999999999,136.12,125.96000000000001,116.8,108.35999999999999,101.35999999999997,96.15999999999997,91.75999999999996,88.19999999999997,85.20000000000002,82.84,80.88,80.07999999999998,80.15999999999997,81.43999999999997,83.31999999999996,86.15999999999997,97.32,113.19999999999999,131.95999999999998,151.40000000000003,170.52000000000004
7,178.08,183.64000000000004,191.64,201.32,211.24,222.04000000000002,232.32,241.07999999999998,247.83999999999997,253.48000000000002,258.12,261.52,263.0799999999999,263.87999999999994,263.59999999999997,262.20000000000005,260.48,259.0,257.48,256.12000000000006,255.31999999999994,254.64,254.32000000000002,253.8,253.8,254.24,255.1200000000001,256.84000000000003,258.76,261.4,255.95999999999995,249.16000000000005,239.16000000000003,227.32000000000005,212.79999999999995,204.08000000000004,193.92,183.99999999999994,173.79999999999995,163.32,151.44,136.23999999999998,122.32,110.24,102.12,99.88,106.44,117.51999999999998,131.91999999999996,147.04000000000002,168.88,188.64,203.67999999999995,212.99999999999994,217.24,208.92000000000002,196.36,180.27999999999997,162.88,145.27999999999997,128.36,113.6,102.96000000000001,94.03999999999999,87.36000000000001,82.12,77.31999999999998,70.8,60.11999999999996,43.92,27.31999999999998,12.480000000000002,-1.359999999999998,-8.559999999999995,-9.879999999999999,-9.599999999999998,-10.239999999999998,-9.919999999999998,-9.959999999999997,-9.679999999999996,-9.799999999999997,-9.519999999999998,-9.639999999999997,-9.399999999999999,-10.039999999999997,-10.359999999999998,-11.159999999999998,-11.119999999999997,-11.879999999999997,-11.999999999999995,-12.479999999999997,-12.479999999999997,-13.079999999999998,-13.159999999999997,-12.719999999999995,-12.079999999999998,-3.9999999999999982,11.919999999999996,43.24000000000001,98.03999999999998,146.56000000000006,184.96000000000006,214.88,228.64,217.6,211.92000000000007,206.76000000000005,199.88,189.4,174.92000000000002,157.07999999999998,129.92,104.84,84.72,71.19999999999999,64.32000000000002,69.72000000000001,98.19999999999999,128.68,160.80000000000007,190.91999999999996,218.84,222.68000000000012,222.48000000000008,218.64000000000004,213.92000000000007,208.2800000000001,203.88000000000005,202.00000000000003,200.12,199.04000000000002,199.92000000000002,194.20000000000002,183.99999999999997,170.84000000000003,154.39999999999998,134.79999999999998,120.40000000000003,108.40000000000003,99.0,92.0,87.92000000000002,85.0,83.12,82.04000000000002,81.92,82.28,84.59999999999998,87.44000000000001,91.16000000000001,95.16000000000003,99.36,102.79999999999995,106.39999999999998,109.79999999999995,113.6,124.60000000000002,138.48000000000002,155.2,172.79999999999998,190.16000000000003,201.11999999999995,208.83999999999997,211.96,211.9199999999999,207.40000000000003,193.32,178.64,164.03999999999996,150.11999999999998,140.27999999999997
8,156.28000000000003,166.36000000000007,178.72000000000003,189.64,200.28000000000003,210.12,218.83999999999997,226.36,223.32000000000002,217.32000000000002,208.64000000000004,197.71999999999997,183.92000000000002,178.04000000000002,175.32,175.32000000000005,177.24,181.83999999999992,186.83999999999995,190.43999999999994,194.35999999999993,198.76000000000002,203.71999999999997,208.51999999999998,214.72,221.0,227.32000000000005,233.16000000000005,243.92000000000002,253.68,261.76000000000005,267.59999999999997,261.08000000000004,245.44,221.83999999999997,197.72000000000003,174.56,164.32,157.16000000000003,154.8,150.88000000000005,144.67999999999998,138.51999999999998,133.44,135.00000000000003,140.12000000000003,149.11999999999998,158.48000000000002,168.84,177.76000000000005,189.60000000000002,201.68000000000004,212.0400000000001,211.08000000000004,205.88000000000002,195.36000000000004,182.23999999999995,168.76000000000005,165.28000000000003,164.03999999999996,165.32,165.39999999999998,163.63999999999987,150.51999999999998,134.12,108.20000000000005,76.31999999999996,44.83999999999999,24.359999999999996,6.760000000000002,-2.9600000000000026,-4.76,-4.480000000000002,-4.520000000000001,-5.040000000000001,-5.280000000000003,-5.680000000000003,-6.600000000000002,-7.200000000000001,-7.640000000000001,-7.880000000000003,-8.08,-7.480000000000002,-7.280000000000001,-7.320000000000002,-7.200000000000003,-6.760000000000002,-7.360000000000001,-8.000000000000002,-8.64,-8.96,-9.2,-9.2,-8.44,-6.24,-0.600000000000001,9.560000000000002,26.96,67.64000000000003,122.55999999999997,170.60000000000002,208.32,238.16000000000008,243.12,231.76,221.03999999999994,212.07999999999996,201.23999999999998,186.75999999999996,167.87999999999997,141.71999999999997,118.16000000000004,95.88000000000002,77.47999999999999,64.47999999999996,60.48000000000002,57.400000000000006,55.88000000000001,55.04000000000002,55.200000000000024,57.60000000000001,62.43999999999999,69.32,80.84,95.43999999999997,118.76000000000005,141.92000000000002,163.9600000000001,183.12000000000006,198.72000000000003,205.24,210.67999999999998,215.08,218.36000000000007,222.44000000000005,226.32000000000002,228.92000000000002,230.32000000000002,229.23999999999998,224.07999999999998,215.28000000000003,205.04000000000005,193.80000000000004,182.24000000000004,172.84,164.07999999999993,154.99999999999994,146.68,140.12,134.28000000000003,129.79999999999995,127.28,126.4,126.92000000000002,128.68,132.28,136.76000000000002,140.76000000000002,143.32,144.03999999999996,144.84000000000003,155.52000000000004,169.51999999999995,185.68,201.28,214.16000000000003,209.52000000000004,199.39999999999998,185.64000000000001,170.95999999999995,156.08000000000004
9,140.24,143.07999999999998,147.64,154.56000000000006,164.32,175.99999999999994,188.44000000000005,200.32000000000005,210.04000000000002,216.52000000000004,220.39999999999998,222.32,222.64000000000004,221.75999999999996,220.08,218.24,215.8,213.68,211.24,209.72000000000003,207.60000000000002,204.87999999999997,202.0,200.47999999999996,198.6399999999999,197.52000000000004,198.56,199.96000000000004,201.59999999999997,204.31999999999994,208.56,213.00000000000006,217.51999999999998,221.2,222.59999999999994,219.64000000000004,212.19999999999996,200.32,184.83999999999997,166.51999999999998,147.11999999999998,125.76000000000002,108.76000000000002,96.75999999999999,93.4,96.72,109.32,124.6,141.83999999999997,156.32000000000002,169.28,180.51999999999998,189.55999999999997,196.07999999999998,201.07999999999998,203.84,203.11999999999998,199.75999999999996,188.40000000000003,175.79999999999993,163.40000000000003,152.12,142.28000000000003,138.03999999999996,132.76000000000005,126.71999999999998,119.91999999999999,113.04000000000002,106.39999999999998,96.88,81.67999999999998,60.84,37.96000000000001,16.639999999999993,0.1600000000000028,-9.120000000000001,-11.839999999999993,-11.999999999999996,-12.119999999999994,-12.039999999999996,-12.359999999999996,-12.359999999999996,-12.599999999999996,-12.799999999999997,-13.319999999999999,-13.519999999999998,-13.759999999999998,-13.599999999999996,-13.999999999999996,-13.959999999999997,-13.959999999999997,-14.159999999999998,-14.52,-14.479999999999997,-13.999999999999998,-12.12,-2.4799999999999986,49.72,120.84,189.40000000000006,245.43999999999994,288.08,283.79999999999995,256.35999999999996,225.19999999999993,199.72000000000003,175.68,152.24,130.8,113.23999999999997,100.0,90.91999999999999,84.96,80.95999999999998,78.51999999999998,76.44000000000001,75.44000000000001,75.71999999999997,79.47999999999999,89.24000000000002,105.79999999999998,133.27999999999997,173.12,211.32000000000002,243.4,268.44,280.88,279.76,276.36000000000007,272.56,268.44000000000005,264.76,261.12,258.0,256.48,258.2,258.32,257.24,254.31999999999994,248.24,238.96000000000004,230.0,221.59999999999997,213.39999999999998,205.39999999999998,198.68,193.67999999999998,191.11999999999998,191.2,193.64000000000001,196.67999999999995,200.12,204.47999999999996,209.28,217.12,229.55999999999992,245.35999999999999,260.80000000000007,275.4,286.28,290.76,288.92,281.84000000000003,270.4799999999999,256.2,241.48000000000002,227.15999999999994,214.55999999999997,202.92,192.32,182.60000000000002
10,177.59999999999997,177.27999999999997,177.5199999999999,177.27999999999997,176.84000000000003,177.48,178.6,179.56000000000003,181.51999999999998,183.64,185.8,188.16,190.88,193.12000000000003,195.55999999999997,197.20000000000005,198.88,200.31999999999996,201.88000000000005,203.31999999999994,205.76,208.0,211.19999999999996,215.31999999999994,220.11999999999995,225.40000000000003,231.56,236.20000000000002,238.03999999999994,236.71999999999997,230.44,219.91999999999996,207.16000000000005,194.44000000000003,182.12,172.12,164.08,158.2,151.20000000000002,143.24000000000004,133.84000000000003,122.95999999999998,114.64000000000001,109.91999999999996,109.32000000000002,113.16,121.52000000000001,130.72,142.56,160.27999999999997,175.48000000000005,186.63999999999987,192.8,191.88,179.59999999999997,158.24000000000007,136.96,117.23999999999995,100.12,86.16,81.32,77.6,73.39999999999999,69.11999999999999,63.71999999999997,54.68,40.599999999999994,24.52,9.480000000000004,-2.799999999999999,-10.280000000000001,-12.160000000000002,-11.36,-10.079999999999998,-9.56,-9.96,-10.399999999999999,-9.799999999999999,-9.759999999999998,-9.999999999999998,-9.48,-9.399999999999999,-9.799999999999999,-10.0,-10.28,-10.48,-9.92,-9.68,-9.44,-8.959999999999999,-8.92,-9.639999999999997,-9.6,-9.719999999999999,-9.92,-9.56,-7.559999999999999,-5.279999999999997,3.040000000000005,28.119999999999997,68.20000000000002,110.32000000000001,148.32000000000005,182.2,200.35999999999996,202.72000000000003,201.23999999999995,200.88000000000005,196.00000000000006,187.56,177.04000000000002,164.76000000000005,151.35999999999996,136.64000000000004,121.71999999999994,107.11999999999998,93.15999999999998,80.91999999999997,71.83999999999997,64.84000000000003,59.400000000000006,54.80000000000001,52.480000000000004,53.67999999999998,60.64,76.92000000000002,99.03999999999999,123.48000000000002,146.51999999999998,164.19999999999993,172.47999999999993,174.24,172.48000000000002,168.56,164.72000000000003,162.20000000000002,160.8,159.84,159.20000000000005,159.00000000000006,158.48000000000002,158.32000000000005,158.39999999999998,159.24,159.91999999999996,161.28,162.71999999999997,164.52,165.95999999999998,167.6,168.23999999999995,168.95999999999998,169.11999999999995,169.32,168.92000000000002,168.72,168.56,168.20000000000002,167.68000000000006,167.95999999999998,167.84000000000003,168.03999999999996,168.15999999999997,169.2,169.96,170.55999999999995,170.40000000000003,169.60000000000002,167.83999999999997,163.35999999999999,157.68
