Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,327.12000000000006,327.6400000000001,328.11999999999995,328.52,328.8,328.8399999999999,329.27999999999986,329.3999999999999,329.4799999999999,329.15999999999997,328.43999999999994,327.5999999999999,326.4799999999999,325.39999999999986,325.35999999999996,325.5999999999999,325.36,326.4799999999999,327.2,326.91999999999996,326.35999999999996,325.5999999999999,324.4,323.6,322.76000000000005,321.67999999999995,321.31999999999994,320.48,318.76,316.19999999999993,309.9999999999999,303.28000000000003,296.3599999999999,290.91999999999996,286.6399999999999,288.4799999999998,292.76,297.20000000000005,299.92,299.48,296.9200000000001,292.80000000000007,290.32000000000016,289.2800000000001,292.91999999999996,296.4,299.7200000000001,302.88000000000005,309.03999999999996,314.6800000000002,321.43999999999994,331.40000000000003,341.20000000000005,349.28000000000003,357.64,365.56,370.8800000000001,375.5999999999999,377.9599999999999,377.79999999999995,373.64000000000016,363.31999999999994,348.03999999999985,329.1199999999998,306.2399999999999,282.79999999999995,260.55999999999995,235.96,201.72000000000003,158.51999999999995,112.96000000000001,71.28,36.23999999999998,14.4,6.999999999999999,5.8,4.400000000000001,3.2800000000000002,2.6400000000000032,2.0800000000000023,1.440000000000004,0.7200000000000037,0.1200000000000041,0.04000000000000359,-0.31999999999999673,-0.5599999999999961,-0.5599999999999961,-0.9999999999999973,-1.6799999999999964,-2.2799999999999967,-2.9199999999999973,-3.3199999999999967,-3.2399999999999975,-3.4399999999999977,-3.639999999999998,-3.599999999999997,-3.4799999999999986,-3.4399999999999995,-2.1999999999999975,3.840000000000004,15.64,47.83999999999999,108.04000000000005,176.28000000000003,239.88,295.08000000000004,326.88000000000005,331.9599999999999,330.23999999999995,329.56,331.3599999999999,329.71999999999997,324.88,315.4799999999999,301.64,284.32000000000005,268.55999999999995,250.79999999999995,232.48000000000008,211.12000000000003,184.0,152.23999999999998,115.28,78.88000000000001,48.11999999999999,26.64,13.600000000000009,9.359999999999998,7.6,6.199999999999999,6.960000000000003,11.120000000000008,24.199999999999992,80.96000000000001,138.28000000000003,193.4,244.76000000000002,286.0799999999999,281.24,274.03999999999996,265.28000000000003,257.36,252.04,251.67999999999998,255.32000000000005,263.08000000000004,273.19999999999993,283.2799999999999,291.84000000000003,299.12000000000006,304.36,308.4000000000001,311.80000000000007,314.5200000000001,316.4000000000001,317.71999999999997,318.32000000000005,318.6000000000001,316.4,313.55999999999995,308.19999999999993,299.64,287.52,275.48,262.12000000000006,249.59999999999997,239.15999999999994,231.88,225.67999999999995,221.12,217.91999999999996
2,265.67999999999995,269.4,275.35999999999996,282.96000000000004,289.6,294.5200000000001,300.0,305.28,310.03999999999996,314.67999999999995,318.03999999999996,321.0,322.9600000000001,324.15999999999997,325.28,325.4799999999999,324.88000000000005,323.76,323.0,321.67999999999995,320.63999999999993,319.44,318.0799999999999,316.19999999999993,313.79999999999995,310.08000000000004,303.56,294.00000000000006,279.92,261.19999999999993,229.36000000000007,197.39999999999998,167.28,139.88000000000005,116.72000000000001,107.75999999999999,102.84,100.64,101.16000000000003,104.20000000000002,108.11999999999999,112.47999999999999,118.23999999999998,125.11999999999998,133.83999999999997,143.92000000000002,154.64000000000001,164.91999999999996,175.51999999999998,187.60000000000005,203.43999999999997,222.44000000000005,263.6,303.0,336.96,363.1600000000001,381.8799999999999,373.72000000000014,361.2399999999999,343.48,322.7200000000001,298.6,273.24,246.95999999999995,222.00000000000003,195.32000000000002,157.20000000000002,114.4,76.24000000000002,42.72,15.599999999999994,6.120000000000004,4.920000000000004,4.360000000000005,3.9200000000000026,3.8400000000000034,3.040000000000004,2.760000000000004,2.040000000000004,1.3200000000000038,0.7600000000000033,1.0000000000000053,0.7600000000000033,0.8800000000000043,0.8400000000000043,1.4000000000000048,0.9200000000000053,0.8800000000000034,0.48000000000000487,0.24000000000000465,-0.519999999999996,-1.3199999999999985,-1.3999999999999995,-1.5199999999999978,-1.4799999999999986,-1.7199999999999989,-1.4799999999999984,-1.639999999999998,-1.6799999999999975,34.920000000000016,54.399999999999984,90.48,137.75999999999996,187.79999999999998,201.35999999999999,233.04000000000008,249.48000000000002,256.48,260.84000000000003,265.12,269.15999999999997,271.67999999999995,272.32000000000005,272.5600000000001,271.2399999999999,267.59999999999997,261.9199999999999,253.2,242.32000000000002,217.99999999999994,188.60000000000002,155.48000000000005,108.32000000000002,62.92000000000001,31.400000000000006,6.680000000000003,-12.16,-14.080000000000002,-14.959999999999999,-13.160000000000002,3.4400000000000013,51.16000000000001,101.2,152.76,200.76000000000002,228.63999999999996,215.04000000000002,191.83999999999997,159.6,129.24,104.79999999999998,91.32,85.56,87.48000000000002,90.00000000000003,91.88,93.56,96.28000000000002,103.68000000000004,119.92000000000002,141.16000000000003,169.56,200.0,227.7600000000001,248.40000000000003,265.28,276.32000000000005,285.31999999999994,293.0400000000001,299.84000000000015,306.1600000000002,310.24,313.08,309.67999999999995,301.8000000000001,289.1600000000001,273.8400000000001,255.8400000000001,242.16000000000003,231.55999999999995,227.03999999999994
3,284.64000000000004,280.95999999999987,278.04,276.56,276.44000000000005,278.24000000000007,281.32000000000016,285.76,290.04,294.52,298.8000000000001,302.92,306.3599999999999,310.03999999999985,313.0,314.6800000000001,316.0400000000002,317.6800000000001,318.48000000000013,319.0799999999999,319.1600000000001,318.84,317.6400000000001,316.32000000000005,314.76,313.8,311.2400000000001,307.4,302.36000000000007,296.44,289.0799999999999,282.6,278.80000000000007,278.1600000000001,278.76,272.6,264.08000000000004,250.59999999999997,231.35999999999996,208.07999999999996,190.36,179.23999999999995,176.27999999999997,180.16,190.52,205.76000000000005,219.24000000000007,230.80000000000007,242.32,269.79999999999995,296.76,324.03999999999996,350.0,373.6,378.08000000000004,379.2400000000001,375.20000000000005,346.72000000000014,314.24,279.64,244.55999999999997,210.36,195.83999999999997,177.83999999999997,147.75999999999996,108.75999999999998,71.84000000000002,38.759999999999984,11.560000000000006,-1.0000000000000009,-2.5599999999999996,-3.799999999999999,-5.400000000000002,-5.800000000000001,-5.880000000000001,-6.399999999999999,-6.84,-7.000000000000001,-7.360000000000001,-8.04,-8.040000000000001,-8.359999999999998,-8.68,-9.279999999999996,-9.599999999999998,-9.879999999999997,-10.159999999999998,-10.279999999999998,-10.479999999999999,-10.479999999999997,-10.639999999999995,-9.919999999999998,5.6,41.71999999999999,126.11999999999998,211.00000000000006,294.36,362.24,409.56000000000006,407.44000000000005,406.35999999999996,405.3600000000001,403.36000000000007,397.28000000000014,382.96,357.28,323.71999999999997,282.72000000000014,236.48000000000008,188.96,142.31999999999996,98.8,64.36000000000001,39.8,52.03999999999999,104.92000000000002,165.51999999999998,227.15999999999997,287.8,320.6,319.03999999999996,313.55999999999995,305.67999999999995,297.55999999999995,290.76,287.15999999999997,285.92,286.91999999999996,289.96000000000004,294.4000000000001,298.99999999999994,303.48,307.8399999999999,309.1200000000001,306.5999999999999,299.40000000000003,285.68000000000006,265.36,244.83999999999992,225.71999999999997,210.43999999999994,202.96,211.03999999999996,229.15999999999997,252.48,277.71999999999997,301.08,313.1600000000001,301.3999999999999,283.19999999999993,264.1600000000001,245.11999999999998,228.64,227.59999999999997,225.8,218.63999999999993,205.95999999999998,188.67999999999998,170.79999999999995,154.52,142.48000000000002,136.88000000000002,137.0,142.12,158.76,190.72000000000003,222.51999999999998,252.96000000000004,279.4,295.80000000000007,296.72
4,269.79999999999995,288.9599999999999,302.64,308.6,310.28000000000003,306.08,299.47999999999996,282.55999999999995,267.04,254.59999999999997,246.08000000000007,241.48000000000008,249.72000000000006,258.48,266.24,271.84000000000003,278.31999999999994,282.5999999999999,285.64,287.71999999999986,289.88,289.8399999999999,289.79999999999995,289.8399999999999,289.0799999999999,279.87999999999994,268.0799999999999,253.51999999999995,235.04000000000002,214.72000000000003,198.84,182.72000000000003,166.95999999999998,152.07999999999998,138.32,127.35999999999999,118.08000000000001,110.48000000000002,105.92,102.48,100.28000000000002,99.80000000000001,102.12,105.12,110.36000000000001,117.48000000000002,125.4,134.95999999999998,150.96000000000004,172.52000000000004,216.79999999999995,263.08,307.55999999999995,345.08000000000015,374.6,379.52,380.40000000000003,378.44000000000017,373.0799999999999,364.8799999999999,352.6799999999999,324.15999999999997,294.11999999999995,262.64000000000004,229.39999999999998,188.39999999999998,146.39999999999992,103.11999999999998,64.16000000000004,30.12000000000002,7.12,2.0800000000000023,0.4800000000000044,-0.6799999999999979,-1.719999999999998,-2.5199999999999987,-2.959999999999999,-3.3199999999999994,-3.5999999999999988,-4.2,-4.6,-5.08,-5.2799999999999985,-6.039999999999998,-6.039999999999999,-6.16,-6.400000000000001,-6.56,-7.040000000000001,-7.2,-7.0,-7.320000000000001,-7.240000000000001,-6.920000000000002,-7.24,-7.6800000000000015,-7.52,-7.7200000000000015,-7.5600000000000005,-5.760000000000002,18.119999999999997,71.04,138.00000000000003,206.35999999999996,275.40000000000003,329.96,356.2400000000001,367.5200000000001,377.72,387.63999999999993,389.76,389.76,390.07999999999987,387.76000000000016,381.24,371.64,355.4000000000001,327.63999999999993,285.88,233.11999999999995,176.51999999999998,114.80000000000001,65.2,35.800000000000004,29.799999999999997,39.11999999999999,60.519999999999996,82.56000000000002,102.0,111.88,113.56,115.08,114.28,111.03999999999999,105.56,99.52000000000001,93.28000000000003,89.00000000000003,85.72,86.04,87.44,89.88,92.80000000000001,95.87999999999997,97.03999999999999,97.75999999999999,98.68000000000002,98.84000000000002,99.08,99.16000000000001,99.68000000000002,99.28000000000002,98.68,98.28000000000002,97.72,96.63999999999999,95.72,95.03999999999999,93.76000000000002,92.44,90.92,90.16,91.72000000000003,100.12,117.0,139.64000000000004,166.59999999999997,195.04000000000002,220.27999999999997,239.8,255.08
5,298.3999999999999,297.28,295.96000000000004,294.67999999999995,294.4,294.15999999999997,294.19999999999993,294.71999999999997,295.6,296.40000000000003,297.72,298.7599999999999,299.0000000000001,298.76,297.28000000000003,294.52000000000004,291.88,288.4,284.23999999999995,279.91999999999996,275.43999999999994,270.3599999999999,265.15999999999997,259.52000000000004,253.07999999999993,246.28000000000003,239.04,232.03999999999994,225.44,219.83999999999992,215.91999999999993,213.87999999999994,221.9600000000001,229.20000000000005,235.12,239.47999999999996,244.11999999999998,241.03999999999996,243.75999999999996,249.60000000000002,257.4800000000001,265.52,274.4,280.2800000000001,286.67999999999995,294.52000000000004,304.32000000000005,314.60000000000014,325.36,336.5599999999999,347.24,355.5199999999999,361.15999999999997,365.36,367.36000000000007,360.15999999999985,347.12,322.96000000000004,294.20000000000005,260.71999999999997,230.76,199.15999999999994,165.63999999999996,123.55999999999997,85.76000000000003,51.96,24.400000000000002,9.92,8.400000000000004,7.120000000000003,6.040000000000001,5.760000000000003,5.160000000000001,5.040000000000001,4.800000000000002,5.040000000000002,4.44,4.36,4.119999999999998,3.52,2.8800000000000026,3.0000000000000018,3.040000000000003,3.000000000000003,3.4400000000000004,3.520000000000003,3.240000000000002,2.9600000000000017,2.6800000000000024,2.3600000000000003,2.2000000000000006,2.0400000000000014,2.1200000000000023,2.2,2.400000000000002,4.4399999999999995,37.919999999999995,65.92,104.79999999999997,159.36000000000007,220.99999999999994,249.95999999999998,284.55999999999995,308.71999999999997,317.9599999999999,319.51999999999987,322.71999999999997,325.52000000000004,327.59999999999997,329.63999999999993,330.19999999999993,330.07999999999987,329.99999999999994,330.03999999999996,327.88,323.31999999999994,313.15999999999997,292.44,257.8,214.07999999999998,165.68,117.08,74.0,43.56,23.200000000000003,9.360000000000003,1.9999999999999996,-0.08000000000000007,-0.919999999999999,-0.9599999999999991,-1.08,1.4799999999999982,18.16,51.44,86.84,123.52000000000001,153.64,167.39999999999998,162.84,155.28,147.12,143.20000000000005,141.96,143.2,145.76,148.92000000000002,151.28,153.08,153.64000000000001,154.92,157.59999999999997,166.60000000000002,178.48000000000002,197.0,213.56000000000006,226.60000000000002,231.72000000000003,232.88,227.20000000000005,228.75999999999993,238.52000000000004,254.51999999999995,275.52,299.43999999999994,317.6,328.64,334.5200000000001,334.6,329.2800000000001,318.79999999999995,305.19999999999993
6,238.59999999999997,251.60000000000002,266.75999999999993,283.4,299.24,311.24000000000007,319.68000000000006,325.5200000000001,329.52,332.44000000000005,335.2400000000001,337.32000000000005,338.84,339.6,339.91999999999996,339.44,340.03999999999996,340.28000000000003,341.4,342.0400000000001,342.52000000000004,341.76000000000005,339.91999999999985,335.84,325.96,314.15999999999997,301.80000000000007,287.68,276.32,272.6000000000001,275.48,281.36,286.20000000000005,288.44000000000005,289.12,285.72,281.79999999999995,281.52,284.6,288.48,294.6400000000001,301.6000000000001,310.88,318.96000000000004,327.44000000000005,334.68000000000006,340.9200000000001,347.44000000000005,355.23999999999995,364.36,375.08000000000004,386.9999999999999,398.44,410.04,419.55999999999995,426.67999999999995,430.4800000000001,431.32000000000005,428.1600000000001,420.3599999999999,405.80000000000007,386.0,363.4799999999999,338.56000000000006,313.59999999999997,291.52,231.56000000000006,174.56,121.76,73.27999999999997,28.08,26.200000000000006,25.240000000000002,24.04,22.440000000000005,21.519999999999996,20.799999999999997,20.039999999999992,19.720000000000002,19.4,19.04,18.360000000000007,17.840000000000003,17.28,17.0,16.439999999999998,16.24,15.840000000000003,15.48,15.04,14.48,14.16,14.080000000000002,13.879999999999999,14.160000000000002,13.76,13.84,13.48,13.760000000000002,21.639999999999993,70.84,108.52000000000001,165.00000000000006,233.8,301.36,328.68000000000006,367.35999999999996,387.1600000000001,394.19999999999993,395.52000000000015,396.76,397.16,397.4000000000001,396.56000000000006,393.6800000000001,384.92,374.0399999999999,358.44000000000005,336.1199999999999,303.36000000000007,262.64,216.32,169.88,126.52,91.11999999999998,67.16,49.639999999999986,37.2,29.000000000000004,23.92,21.28,20.23999999999999,20.04,21.28,41.24000000000001,81.47999999999999,123.75999999999999,160.68,196.72000000000003,216.48000000000005,214.80000000000004,205.04000000000005,198.56,190.92000000000002,181.03999999999996,172.27999999999997,169.96,174.04000000000002,182.64,197.67999999999995,214.95999999999998,234.27999999999997,251.92000000000002,271.36,287.1599999999999,301.84,313.72,319.2800000000001,315.9999999999999,304.6,282.4000000000001,261.44000000000005,245.40000000000003,237.24,245.36,267.64,291.40000000000003,314.12,331.56000000000006,337.47999999999996,338.12
7,293.0,275.2800000000001,260.8,253.72000000000003,257.11999999999995,265.0000000000001,275.76,286.4,294.2799999999999,297.0,298.67999999999995,299.2800000000001,299.80000000000007,300.52000000000004,302.08000000000004,303.32000000000005,305.1200000000001,306.72,308.80000000000007,310.08000000000004,311.44000000000005,312.08000000000004,313.52,313.7199999999999,314.19999999999993,314.56,314.80000000000007,313.68000000000006,312.44000000000005,309.44000000000005,304.96,298.32000000000005,289.88,279.11999999999995,268.55999999999995,257.84,247.8,237.68,230.44000000000005,225.72000000000003,225.16000000000003,230.51999999999998,250.60000000000002,273.88,298.84,323.5999999999999,347.1199999999999,361.0000000000001,374.67999999999995,389.79999999999995,404.15999999999997,416.56000000000006,426.47999999999996,433.27999999999986,434.36,431.55999999999995,424.56,413.76,397.55999999999983,376.9599999999999,352.68000000000006,327.48,302.88,280.52,260.24,240.11999999999998,209.67999999999998,166.39999999999995,124.64000000000003,85.35999999999999,51.36000000000001,31.959999999999994,28.440000000000005,26.6,26.24000000000001,26.28,26.04,25.520000000000003,24.880000000000003,24.240000000000002,23.720000000000006,23.16,22.560000000000002,22.200000000000003,21.640000000000008,21.000000000000007,20.680000000000003,20.240000000000002,19.880000000000003,19.400000000000006,19.200000000000006,19.200000000000003,18.680000000000007,18.440000000000005,18.6,18.520000000000003,17.840000000000003,17.880000000000003,17.360000000000003,17.0,25.520000000000003,76.55999999999997,94.24000000000001,134.72000000000003,191.96000000000004,241.39999999999998,249.56,291.08000000000004,310.28000000000003,311.88,313.28,313.24,313.24,312.08000000000004,310.44000000000005,306.1600000000001,299.96000000000004,291.6,280.76,265.87999999999994,244.87999999999997,217.32,187.2800000000001,155.80000000000007,126.32,92.24,62.67999999999999,38.959999999999994,19.88,3.6399999999999992,-0.4399999999999986,-0.9200000000000017,0.040000000000000036,8.56,116.84000000000002,230.47999999999996,347.00000000000006,460.92000000000013,566.0400000000001,570.4800000000001,566.9599999999999,556.88,541.1599999999999,522.64,503.2800000000001,485.11999999999995,470.59999999999997,461.15999999999997,456.36,453.1600000000001,452.2400000000001,452.28,453.24,453.4,454.2400000000001,454.23999999999995,454.44000000000005,453.20000000000005,451.7600000000001,449.88000000000005,447.9599999999999,446.15999999999997,445.44000000000005,445.0799999999999,445.24000000000007,445.7199999999999,445.68000000000006,445.96000000000004,446.47999999999996,446.52000000000004,446.9599999999999
8,684.8400000000001,676.76,675.3200000000002,678.2400000000001,686.2,682.0,668.6399999999999,651.6000000000001,635.8800000000001,623.92,625.7600000000001,631.6800000000001,642.1199999999999,653.9599999999999,667.0400000000001,682.3999999999999,696.48,707.52,716.6,726.0000000000002,730.8799999999999,733.4399999999998,734.6000000000003,734.3199999999999,730.52,725.1599999999999,718.6,703.28,685.3199999999999,665.8800000000001,645.3199999999999,624.76,613.3200000000002,605.4000000000001,600.3999999999999,598.0,599.7999999999998,603.04,608.0800000000002,617.1200000000001,631.04,647.3200000000002,666.8800000000001,688.04,707.2399999999998,723.48,736.7200000000001,747.6799999999998,757.2800000000001,767.6,778.5600000000002,790.5600000000002,803.48,815.9199999999997,826.2800000000002,832.8399999999999,744.1200000000003,646.72,541.1600000000001,427.84000000000003,310.8399999999999,282.8399999999999,257.6,236.67999999999998,220.44000000000005,205.40000000000003,186.2,154.16000000000005,114.44,77.16000000000001,43.67999999999999,17.639999999999993,6.199999999999999,4.719999999999998,3.519999999999999,2.56,1.4399999999999995,1.3600000000000003,1.200000000000001,0.9199999999999999,0.5999999999999996,0.1200000000000001,-0.16000000000000014,-0.4800000000000004,-0.839999999999999,-0.7199999999999998,-0.8800000000000017,-1.080000000000001,-1.160000000000002,-1.0000000000000009,-1.3200000000000012,-1.0,-1.0800000000000018,-0.5999999999999988,-1.040000000000001,-1.5200000000000014,-1.9200000000000017,-2.4000000000000012,-3.0799999999999996,-3.0399999999999996,-2.8000000000000007,-1.6800000000000002,31.96,93.96000000000001,152.52000000000004,208.64000000000004,261.96,294.68000000000006,303.20000000000016,315.8800000000001,330.44000000000005,346.8,352.4000000000001,353.84000000000003,354.56000000000006,355.2,355.52000000000004,355.0400000000001,354.19999999999993,353.32,352.44,351.28,349.08000000000004,345.63999999999993,340.52,332.88,320.23999999999995,299.7600000000001,266.0799999999999,211.59999999999997,155.03999999999996,100.67999999999999,53.08,19.720000000000002,8.559999999999999,3.2799999999999994,9.679999999999998,27.919999999999998,52.68000000000001,78.28,103.80000000000004,121.68000000000002,130.20000000000005,131.52000000000004,130.56000000000003,127.16000000000003,120.72,112.44,103.64000000000001,96.4,90.24000000000001,87.03999999999999,85.4,86.24000000000002,88.03999999999999,90.80000000000001,93.24000000000004,95.72000000000003,96.64000000000003,96.40000000000002,95.56,93.28,90.32,86.6,81.88000000000002,76.4,70.63999999999999,64.84,59.87999999999998,56.36000000000001,54.56
9,294.16,295.2,295.6,295.72,295.99999999999994,295.16,293.8,291.88000000000005,289.32000000000005,286.56,283.92,280.96000000000004,277.91999999999996,275.36,271.31999999999994,267.20000000000005,262.0799999999999,256.15999999999985,248.71999999999997,240.67999999999995,230.71999999999997,220.87999999999994,210.59999999999997,200.3999999999999,189.67999999999995,179.59999999999997,170.36000000000007,162.6,157.15999999999997,154.67999999999995,154.96,156.59999999999997,159.47999999999996,162.84000000000003,167.36000000000004,173.16000000000003,182.87999999999997,195.0,208.48000000000002,220.39999999999998,229.47999999999996,234.32000000000005,238.32000000000002,243.56,250.8800000000001,260.7600000000001,272.0400000000001,283.56,292.88000000000005,301.36,308.8399999999999,315.68,320.64,325.55999999999995,330.55999999999995,336.48000000000013,342.24,347.99999999999994,353.76,357.71999999999997,359.28000000000003,348.28,332.28,311.5999999999999,286.08,256.71999999999997,230.15999999999997,202.36,163.60000000000002,118.84000000000003,78.44,46.32,19.520000000000003,7.3199999999999985,6.399999999999998,5.600000000000001,4.88,4.360000000000002,3.600000000000001,2.480000000000001,1.6800000000000033,0.8000000000000034,0.1200000000000041,-0.3599999999999981,-0.5599999999999996,-0.6799999999999979,-0.5999999999999979,-0.5599999999999978,-0.8800000000000008,-1.3199999999999985,-1.879999999999999,-1.839999999999998,-1.759999999999998,-1.8799999999999981,-1.5599999999999996,-1.5199999999999978,-1.719999999999997,-2.1199999999999983,60.11999999999999,125.16,190.24000000000007,256.0,322.0,326.2,328.08000000000015,329.75999999999993,330.28,330.71999999999997,330.2800000000001,328.40000000000003,326.7600000000001,325.08000000000004,323.12,320.32000000000005,318.44000000000005,315.28000000000014,311.2,306.12,299.96,291.88,282.72,270.9599999999999,252.24,225.27999999999997,189.96000000000006,147.44000000000005,103.67999999999998,64.23999999999998,36.64,31.360000000000003,54.760000000000005,102.12000000000002,158.72000000000003,215.11999999999995,260.31999999999994,286.91999999999996,295.08000000000004,297.6,299.6,300.5200000000001,300.76,300.8399999999999,301.44,301.68,302.1600000000001,302.0799999999999,301.59999999999997,299.80000000000007,295.32000000000005,286.56,273.6400000000001,256.48,234.88000000000005,211.87999999999997,191.48,175.16000000000003,164.36,160.35999999999999,162.36,186.76000000000005,211.96000000000004,235.64000000000001,256.19999999999993,268.67999999999995,256.44,241.40000000000003,225.24,209.87999999999997,200.0,194.8,194.51999999999995
10,277.03999999999996,279.24,281.99999999999994,284.5999999999999,287.52,289.72,291.68,292.56000000000006,293.2399999999999,292.44000000000005,291.48,289.2799999999999,286.0,281.40000000000003,275.4,267.12,257.96000000000004,248.51999999999998,238.60000000000005,229.2,220.16000000000003,210.84,201.36,191.39999999999998,181.15999999999997,171.79999999999995,162.95999999999992,154.92000000000002,148.40000000000003,142.95999999999998,138.40000000000003,135.52000000000004,134.24000000000004,134.72000000000003,137.16000000000003,142.04,148.59999999999994,158.23999999999995,175.12,194.75999999999993,212.48000000000002,228.40000000000003,243.08000000000004,251.9599999999999,258.55999999999995,267.03999999999996,277.31999999999994,286.56000000000006,294.79999999999995,304.40000000000003,313.32000000000005,321.79999999999995,330.6,339.72,346.2799999999999,352.56000000000006,357.68000000000006,360.64000000000004,361.11999999999995,359.28,354.4000000000001,345.9200000000002,334.15999999999985,318.35999999999996,299.55999999999995,277.64,255.0399999999999,224.84000000000003,186.36000000000007,136.52000000000004,91.75999999999998,50.519999999999996,20.600000000000005,3.7999999999999976,3.0399999999999974,2.3199999999999967,2.1599999999999975,1.919999999999999,1.7999999999999963,1.7199999999999966,1.5599999999999978,1.0000000000000009,0.35999999999999943,-0.40000000000000036,-1.1599999999999993,-1.3600000000000003,-1.3599999999999985,-1.08,-1.0000000000000009,-0.8800000000000008,-1.2800000000000002,-1.3999999999999995,-1.759999999999999,-1.4399999999999995,-1.5199999999999982,-1.3999999999999986,4.639999999999998,78.83999999999997,116.28,152.16000000000003,203.52,255.32,240.51999999999995,262.2400000000001,287.67999999999995,297.76000000000005,301.19999999999993,303.15999999999997,304.75999999999993,304.52,303.31999999999994,301.48,298.79999999999995,294.76000000000005,290.0,283.48,274.8,261.52000000000004,244.92000000000007,224.96000000000004,203.76000000000005,180.48000000000002,159.24,138.6,108.19999999999999,78.6,52.92,29.599999999999994,9.760000000000002,3.9200000000000013,0.6400000000000037,-1.560000000000001,-3.160000000000002,-3.9200000000000017,-5.080000000000001,-5.320000000000002,-5.960000000000001,-5.84,-6.5200000000000005,-7.520000000000001,-9.520000000000001,-11.8,-15.56,-18.760000000000005,-20.96,-22.240000000000002,-22.240000000000002,-21.560000000000002,-19.400000000000002,-17.360000000000003,-15.120000000000001,-14.240000000000002,-12.280000000000003,-11.759999999999998,-11.16,-11.32,-10.920000000000002,-10.760000000000002,-10.920000000000002,-11.04,-10.880000000000003,-10.480000000000002,-10.48,-10.600000000000001,-10.840000000000002,-11.080000000000002,-11.4,-11.680000000000001,-11.439999999999998,-11.559999999999999,-11.72
