Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
2,956.2399999999996,903.5999999999997,865.7199999999999,856.8400000000001,876.5600000000001,910.0399999999998,956.24,1013.44,1058.36,1089.24,1115.3200000000002,1139.0,1148.6000000000001,1154.32,1157.04,1158.2799999999995,1157.2400000000002,1155.2799999999997,1152.28,1149.64,1145.96,1144.5200000000007,1145.4400000000003,1146.1600000000003,1150.2000000000003,1155.8400000000001,1156.6800000000003,1162.2,1169.48,1176.0000000000002,1182.3200000000002,1190.7599999999998,1192.6,1193.16,1190.36,1190.3600000000001,1189.1599999999999,1192.9200000000005,1203.0000000000005,1213.2000000000003,1220.2799999999997,1229.1600000000003,1232.9999999999998,1233.1199999999997,1235.5600000000009,1242.4000000000003,1251.1200000000003,1262.28,1273.8399999999997,1283.56,1290.1199999999997,1294.7599999999998,1298.56,1296.1200000000001,1292.7199999999998,1284.8400000000006,1272.28,1255.3600000000001,1239.2400000000005,1221.5200000000002,1200.7600000000002,1178.96,1154.8400000000001,1123.0400000000002,1082.28,1032.5600000000004,872.68,686.8399999999999,500.8799999999997,326.12,167.36000000000007,122.27999999999999,109.11999999999995,105.39999999999998,101.95999999999998,97.63999999999996,93.8,89.36000000000001,85.60000000000001,83.64,81.44,79.07999999999998,78.44,76.19999999999999,73.00000000000001,70.96,70.4,68.72000000000001,68.72000000000001,69.48,69.12,68.36000000000001,66.48000000000002,66.04000000000002,74.72,150.92000000000013,222.84000000000006,320.48,458.19999999999993,650.1200000000003,759.8,840.8000000000001,876.92,869.4800000000001,800.5600000000001,761.1200000000001,769.3600000000001,835.3199999999997,931.5999999999999,1009.9600000000002,1067.4,1110.24,1126.7600000000002,1119.9999999999998,1126.0799999999997,1139.9199999999998,1153.04,1157.0799999999995,1157.5600000000004,1158.5600000000002,1156.8,1155.36,1148.7599999999995,1141.6799999999998,1136.52,1132.5600000000004,1126.4400000000003,1122.4400000000003,1116.0800000000002,1105.64,1092.6400000000003,1078.2,1062.2400000000002,1047.24,1030.0800000000002,1012.72,992.0400000000003,969.7200000000003,950.0799999999999,940.0000000000002,941.4800000000001,953.8000000000001,973.8800000000001,1009.7200000000004,1042.64,1069.6,1093.1200000000001,1115.0,1119.0000000000005,1121.1600000000005,1120.12,1113.8799999999999,1103.2799999999995,1092.2799999999993,1082.12,1073.7199999999996,1072.88,1079.0399999999997,1090.12,1103.6,1115.56,1122.9199999999996,1126.2799999999997,1123.0800000000002,1117.3999999999996,1113.3200000000002,1111.08,1113.9599999999998,1122.7199999999998,1132.3200000000006,1139.2000000000007
3,1203.2400000000002,1202.32,1203.56,1201.9600000000003,1197.2800000000004,1189.1199999999994,1181.0,1169.6399999999996,1158.6,1149.2400000000002,1141.1200000000001,1136.64,1137.68,1140.8000000000002,1144.4799999999998,1152.8800000000003,1161.92,1169.52,1179.0399999999997,1189.3599999999997,1195.72,1200.8800000000003,1204.4800000000007,1204.6800000000005,1203.1999999999998,1200.7600000000002,1196.6799999999998,1190.2400000000002,1183.04,1175.6800000000005,1164.7599999999998,1151.6800000000003,1138.5200000000002,1121.9199999999998,1112.48,1108.7199999999998,1121.5599999999995,1137.7999999999997,1159.2800000000002,1176.2400000000002,1191.1600000000008,1191.8000000000004,1191.0,1191.7600000000002,1190.6400000000003,1180.04,1171.0400000000004,1158.8800000000008,1144.9999999999998,1129.1599999999996,1124.28,1124.96,1132.8000000000002,1146.84,1167.3999999999996,1195.6400000000006,1217.5200000000004,1229.68,1231.48,1217.8399999999997,1194.08,1168.1199999999997,1148.2399999999996,1132.12,1027.5600000000002,903.3199999999999,746.32,550.1999999999998,341.8,230.52000000000004,144.28,89.68,75.39999999999999,72.51999999999998,71.75999999999998,66.39999999999996,64.32,60.27999999999998,58.31999999999995,54.719999999999985,52.43999999999998,51.239999999999995,52.40000000000001,53.23999999999999,54.59999999999998,55.59999999999998,55.48,54.03999999999999,51.92000000000001,49.199999999999996,46.92,46.399999999999984,46.08,44.72,43.599999999999994,53.08,119.28,190.08000000000007,288.48,415.6800000000002,555.3599999999999,605.4000000000001,663.8800000000001,721.6400000000002,759.8399999999999,773.2799999999997,814.4800000000001,839.7200000000004,846.1200000000003,847.0799999999998,857.4399999999997,875.6800000000001,903.1199999999999,923.7199999999998,941.8399999999997,955.1999999999998,967.8399999999999,973.7999999999996,977.3999999999999,980.9599999999998,980.96,978.3599999999999,978.8400000000001,982.9200000000002,988.5999999999998,995.8400000000001,1001.7599999999999,1004.5600000000002,1005.7600000000008,1005.7600000000003,1002.9199999999998,998.2399999999998,995.3600000000001,992.9200000000005,991.0800000000002,988.5199999999998,990.2399999999996,989.1199999999997,987.6400000000001,984.28,985.92,980.52,973.6000000000001,965.8399999999998,960.64,954.6400000000001,953.1200000000001,948.9599999999999,943.56,933.7200000000004,924.6000000000001,919.6400000000001,927.0400000000003,944.2799999999996,969.48,998.84,1028.0800000000004,1053.8400000000001,1072.64,1085.84,1092.5199999999998,1094.0400000000006,1090.52,1085.0000000000002,1080.04,1076.6,1073.5600000000004,1073.6799999999998,1074.3200000000002,1072.6800000000003,1070.6400000000006
4,998.5600000000002,1003.6800000000003,1009.3200000000004,1012.0400000000002,1016.7600000000003,1017.4400000000003,1018.6000000000003,1019.3999999999999,1021.7600000000002,1024.08,1029.8,1033.52,1035.7599999999998,1041.48,1045.6799999999998,1050.24,1055.8,1061.7600000000002,1061.8400000000001,1061.28,1055.28,1044.2799999999997,1029.24,1012.3600000000001,993.4400000000002,974.9199999999998,957.5199999999998,942.36,933.84,928.8399999999998,931.7599999999998,936.2399999999997,944.8799999999999,952.6800000000001,963.0,972.8,984.8400000000001,995.3999999999999,1005.6400000000001,1012.5200000000001,1018.56,1025.4,1032.96,1039.8000000000002,1047.04,1052.96,1060.5599999999997,1071.2399999999996,1086.9599999999996,1108.8399999999997,1133.9600000000003,1160.8400000000004,1185.7199999999998,1206.96,1224.24,1236.3600000000001,1240.3599999999997,1228.4000000000003,1209.6799999999994,1185.6400000000003,1155.92,1126.2399999999993,1100.0,1061.1999999999996,1005.8399999999999,942.1999999999998,729.7199999999998,528.0400000000004,341.1600000000001,174.07999999999998,22.040000000000003,20.08,19.32000000000001,17.760000000000005,14.52000000000001,13.720000000000006,12.72,9.839999999999998,9.440000000000008,11.280000000000005,8.640000000000011,6.960000000000008,7.360000000000005,7.1200000000000045,5.32,3.079999999999997,3.9200000000000035,1.56,0.7600000000000016,0.16000000000000236,0.3200000000000065,-0.7199999999999953,-0.31999999999999895,-1.7999999999999976,2.280000000000008,46.72000000000001,138.84000000000003,258.1199999999999,407.6400000000001,587.6399999999998,774.6400000000001,927.9200000000003,1053.4399999999998,1154.3200000000002,1224.1199999999997,1247.8000000000002,1254.4,1255.9199999999996,1246.519999999999,1230.96,1216.0,1204.8400000000004,1199.9599999999998,1202.3599999999997,1207.999999999999,1212.7599999999995,1216.2799999999997,1220.44,1223.1200000000006,1223.1999999999998,1222.04,1218.96,1214.96,1210.1200000000001,1204.44,1197.0399999999997,1190.6399999999996,1182.6799999999996,1174.1600000000003,1165.88,1154.6799999999994,1143.6799999999994,1130.2800000000002,1114.0000000000005,1095.1999999999998,1081.48,1063.5600000000004,1045.9199999999998,1030.9199999999996,1019.1999999999996,1006.0000000000005,995.1600000000005,984.0400000000001,968.52,955.6000000000003,948.52,945.92,953.04,970.0799999999999,987.0000000000002,998.4000000000004,1006.0000000000005,1005.8800000000003,997.7200000000008,980.0800000000004,963.9200000000005,947.1600000000005,935.8400000000001,929.1200000000002,930.8399999999999,933.4000000000003,940.0800000000005,942.2800000000007,954.0400000000004,966.1199999999999,979.1599999999999,985.4800000000002,987.12,972.7599999999999,947.5200000000002,914.5600000000003
6,1185.7200000000003,1188.16,1187.6000000000006,1187.6400000000006,1186.6800000000003,1180.0,1175.48,1171.0000000000002,1165.72,1160.5600000000002,1157.3999999999999,1152.16,1142.9200000000005,1131.9999999999998,1117.7600000000004,1103.2400000000005,1085.0000000000005,1063.8799999999997,1040.0,1016.5999999999999,993.9599999999999,980.9999999999994,978.0799999999998,982.1199999999997,991.3999999999996,1007.0400000000001,1022.3599999999994,1037.7999999999997,1053.72,1073.08,1085.8400000000001,1096.5600000000002,1109.3599999999997,1122.88,1133.12,1142.7199999999998,1151.3200000000002,1155.2800000000002,1155.7199999999996,1153.8400000000001,1156.5200000000007,1157.2800000000002,1158.1200000000006,1160.0800000000004,1165.6400000000006,1167.1200000000003,1175.3600000000006,1186.44,1200.4000000000005,1214.0,1233.76,1250.76,1263.5600000000002,1273.1600000000003,1275.08,1270.2399999999998,1258.9199999999996,1246.0799999999997,1225.8,1205.8799999999997,1179.88,1147.4,1106.52,1064.9599999999998,1018.3999999999999,970.8799999999998,918.2799999999999,862.3999999999997,801.88,735.88,660.5600000000002,565.0399999999998,450.64,332.28,223.44,132.67999999999995,73.87999999999998,47.84000000000002,37.03999999999999,32.160000000000004,26.679999999999996,24.519999999999996,21.120000000000005,18.40000000000001,15.840000000000005,15.959999999999997,13.480000000000011,11.720000000000004,9.880000000000003,7.84,5.439999999999998,5.9199999999999955,6.639999999999999,5.879999999999994,6.56,5.239999999999998,1.0799999999999983,0.12000000000000055,14.76,79.07999999999998,175.92000000000013,308.1200000000001,473.0399999999999,661.6,814.5600000000002,941.8399999999999,1036.5600000000002,1092.1599999999996,1102.8800000000006,1096.1200000000001,1079.76,1060.2799999999997,1044.8000000000002,1036.12,1030.0800000000004,1029.0,1031.72,1036.1999999999998,1044.7200000000003,1056.7199999999998,1066.8,1075.12,1078.7999999999997,1079.5599999999997,1072.6799999999996,1066.04,1057.08,1049.08,1035.5999999999997,1021.5999999999999,1002.5199999999995,980.9199999999998,956.9999999999998,931.56,903.76,877.3200000000002,852.6400000000002,831.9599999999999,814.6399999999996,802.76,796.2399999999998,795.9999999999998,800.1599999999999,812.44,828.3599999999999,843.3199999999999,856.5200000000002,865.48,869.6400000000002,871.5600000000004,875.68,879.96,885.6399999999999,890.0800000000002,892.0400000000001,890.6400000000001,885.0000000000005,877.5600000000001,870.7200000000003,868.72,871.24,879.48,893.04,911.5999999999998,930.8799999999999,947.9199999999997,964.2399999999998,975.1600000000002,982.6800000000001,988.8799999999998,994.5600000000001
7,1105.6000000000001,1105.7199999999998,1104.72,1104.16,1102.6000000000001,1101.6799999999998,1101.76,1103.3600000000004,1106.3200000000004,1109.3600000000001,1111.8000000000004,1112.8400000000004,1113.5200000000002,1110.6800000000003,1108.9199999999996,1105.84,1100.04,1090.2799999999997,1077.52,1057.8800000000003,1035.0800000000002,1010.1600000000002,983.8400000000003,959.44,939.4400000000004,926.8000000000002,924.0000000000001,922.8800000000003,922.04,924.5200000000002,927.5600000000002,930.04,934.6400000000002,943.9200000000001,952.7200000000003,960.5600000000001,970.8,987.5200000000002,1003.48,1018.8,1034.6000000000001,1049.0399999999997,1065.8000000000002,1086.3600000000001,1109.5600000000004,1145.8799999999999,1181.8399999999997,1215.1600000000003,1249.52,1284.0400000000002,1302.76,1319.8400000000001,1329.4799999999998,1328.9200000000005,1304.4,1273.4800000000002,1237.6000000000004,1203.96,1176.5200000000004,1167.6400000000003,1161.96,1151.7599999999998,1126.1599999999999,1083.4799999999998,1027.84,961.8399999999999,845.4400000000002,707.8000000000002,547.1600000000003,377.4800000000001,218.88000000000005,116.96,49.51999999999999,21.60000000000001,16.720000000000006,12.200000000000019,8.600000000000012,8.160000000000018,3.8800000000000083,0.240000000000006,-0.8799999999999941,-3.679999999999982,-6.119999999999987,-7.479999999999995,-6.719999999999996,-8.95999999999999,-9.679999999999996,-9.279999999999994,-10.439999999999998,-13.080000000000002,-14.2,-14.920000000000002,-17.680000000000003,-16.84,-16.759999999999994,-18.639999999999997,-19.880000000000003,-16.679999999999996,46.35999999999997,125.20000000000002,251.3600000000001,403.15999999999985,575.8399999999999,699.92,826.04,944.1199999999998,1040.12,1102.5199999999993,1146.7199999999998,1168.56,1153.3199999999993,1131.16,1119.96,1119.9999999999998,1125.4799999999998,1124.9199999999998,1119.9999999999995,1110.5200000000002,1096.3199999999997,1083.1999999999994,1078.9600000000003,1081.32,1079.44,1073.9599999999998,1064.92,1049.8,1034.8399999999997,1026.4399999999996,1022.32,1019.8799999999999,1019.9600000000003,1020.2000000000003,1020.56,1019.8399999999999,1015.3200000000002,1010.76,1005.8799999999999,999.1199999999999,991.3599999999997,987.08,987.1999999999999,989.72,995.1199999999999,1003.9999999999998,1015.1599999999999,1026.3999999999999,1037.8,1048.9999999999995,1062.0800000000002,1073.7600000000002,1083.9599999999998,1093.0799999999997,1101.2399999999998,1106.6799999999998,1111.1599999999999,1115.0399999999997,1117.52,1118.239999999999,1118.5999999999997,1117.96,1117.0000000000005,1116.7599999999998,1117.4400000000003,1116.16,1112.8799999999999,1111.16,1108.7599999999998,1104.1999999999996,1098.84,1096.72,1091.4799999999998
8,907.2400000000004,923.7200000000001,935.4799999999998,944.5600000000001,945.0000000000002,943.7200000000003,940.5999999999999,938.3199999999997,936.6399999999999,937.2399999999997,936.7199999999998,933.92,930.3599999999996,924.84,919.4399999999999,914.7199999999998,906.0399999999996,886.8799999999999,856.6800000000001,819.4799999999999,777.9599999999998,735.48,698.1600000000002,673.5600000000001,660.1600000000001,652.32,653.44,661.1999999999999,668.1199999999999,670.5999999999997,676.3999999999997,686.2,704.4799999999997,725.9999999999998,751.3199999999999,773.56,794.04,810.2000000000002,828.1999999999999,842.0799999999999,858.96,876.52,894.4399999999998,911.6800000000001,932.64,956.4000000000001,980.0000000000002,1001.3600000000004,1039.0799999999997,1080.56,1122.8,1166.72,1215.5599999999995,1244.7999999999997,1266.3999999999999,1278.6,1283.3199999999997,1270.8800000000003,1253.6399999999996,1235.7600000000004,1219.9200000000003,1204.2399999999998,1194.7599999999998,1185.8799999999999,1104.2799999999997,1013.1199999999998,901.3199999999999,755.2000000000003,525.1200000000001,369.91999999999996,223.28,98.40000000000002,12.16,10.959999999999997,8.439999999999998,9.240000000000006,9.879999999999985,7.399999999999997,6.519999999999996,4.439999999999999,1.999999999999996,1.1600000000000077,-0.2400000000000011,-2.9599999999999995,-4.520000000000003,-8.559999999999997,-11.359999999999998,-13.040000000000001,-13.599999999999998,-14.319999999999999,-15.839999999999995,-16.6,-16.759999999999994,-17.279999999999998,-18.16,-17.680000000000003,-18.599999999999998,-17.760000000000005,-9.480000000000004,72.0,163.24,281.88,424.48000000000013,576.52,680.8,812.7199999999998,931.6400000000001,1014.9999999999995,1070.5600000000004,1095.4000000000003,1087.72,1069.3199999999997,1059.4799999999998,1066.0,1077.4,1089.36,1097.8400000000004,1107.3999999999999,1112.68,1118.04,1117.4799999999996,1115.2799999999997,1110.36,1100.8800000000003,1091.92,1082.4400000000003,1073.4800000000005,1067.8800000000003,1065.0800000000004,1063.04,1061.8,1060.5200000000007,1058.32,1058.5999999999995,1054.5599999999995,1051.92,1047.8000000000004,1042.2000000000005,1036.5199999999998,1029.1200000000001,1017.1600000000001,1000.7999999999995,978.4799999999998,953.4,931.9200000000001,915.16,906.1600000000001,900.3599999999997,893.2399999999999,881.52,865.8800000000003,847.4000000000001,835.2400000000001,818.1599999999999,796.92,766.4399999999997,727.1600000000001,678.9199999999998,629.5999999999999,602.6799999999998,598.1600000000001,633.3599999999998,705.1999999999999,799.5999999999999,887.7199999999997,964.2399999999996,1018.76,1041.2000000000003,1048.4,1047.7999999999997,1045.6799999999998
9,1124.8800000000003,1118.0800000000004,1109.4800000000002,1099.6399999999999,1085.4,1072.3600000000004,1059.0000000000005,1046.0400000000002,1037.0,1029.12,1020.2400000000001,1011.9600000000003,1006.48,998.0400000000002,994.8000000000002,990.1200000000002,984.72,984.0000000000005,990.2800000000004,998.2000000000003,1006.7600000000007,1014.6800000000005,1022.48,1031.36,1039.92,1049.4799999999996,1060.5600000000002,1064.96,1063.9200000000003,1061.24,1060.2399999999998,1058.1200000000001,1054.8799999999997,1052.2000000000003,1052.3199999999997,1052.8400000000001,1055.7599999999998,1059.48,1079.6399999999994,1102.2800000000004,1129.2799999999995,1162.4400000000003,1199.4400000000003,1221.68,1243.8000000000002,1263.8799999999999,1278.0400000000002,1288.88,1292.6400000000006,1282.2800000000002,1255.48,1214.4799999999996,1158.8400000000001,1096.9199999999998,1036.5200000000002,982.7999999999997,936.0799999999997,901.8400000000001,873.4000000000001,846.28,817.2,789.2799999999999,721.2800000000003,616.0400000000003,478.2800000000003,338.0800000000001,197.39999999999986,99.32000000000005,42.55999999999999,25.960000000000008,19.039999999999992,17.599999999999994,16.72,15.32,13.559999999999995,11.519999999999996,10.519999999999992,8.200000000000003,5.360000000000008,2.999999999999986,4.759999999999995,2.9999999999999956,1.7999999999999932,2.559999999999991,1.8399999999999985,-0.5600000000000089,-0.9199999999999995,-2.2399999999999953,-2.8800000000000003,-2.679999999999995,-4.519999999999993,-4.91999999999999,-5.75999999999999,-7.319999999999991,-7.959999999999999,-7.599999999999998,11.2,67.91999999999999,205.8799999999999,377.84,575.6800000000001,780.2800000000002,958.8399999999999,1049.0000000000002,1098.32,1118.5599999999995,1110.2799999999997,1093.7199999999998,1083.7599999999998,1080.4399999999996,1081.64,1084.8400000000001,1085.7200000000005,1088.6799999999998,1089.2800000000004,1087.2800000000002,1083.2800000000002,1077.56,1066.9200000000003,1039.52,1008.5999999999997,978.0,948.3599999999998,922.68,915.56,913.0399999999998,908.8000000000001,904.0400000000002,898.2000000000004,891.32,882.8000000000003,878.2800000000001,874.9599999999999,871.0400000000002,866.44,862.5600000000003,858.0,856.8400000000001,855.1600000000001,856.0000000000001,862.3600000000001,871.6400000000001,881.0400000000001,894.6400000000002,908.8800000000001,921.6400000000001,933.4399999999997,942.9600000000002,952.3999999999999,959.1600000000002,964.9999999999999,971.2800000000001,975.5600000000003,976.8400000000004,978.0799999999999,977.44,972.8400000000001,970.0399999999998,964.56,957.8799999999999,951.4399999999997,945.3199999999997,940.8399999999999,937.6800000000001,938.1599999999999,940.6800000000001,945.1999999999999,948.2400000000004,954.9200000000003,961.0000000000001,966.4799999999997
10,1027.8,1029.2400000000002,1030.44,1029.52,1029.32,1029.8,1029.1200000000001,1029.6399999999999,1030.3999999999994,1029.4,1027.5199999999995,1023.0399999999996,1014.7199999999995,1005.4799999999998,993.1599999999996,973.9999999999999,948.9200000000001,919.24,890.08,865.6400000000003,853.5999999999998,852.4799999999999,857.8399999999997,864.48,870.52,869.6,866.3600000000001,865.0,867.0400000000002,874.8799999999999,886.2400000000001,900.9199999999998,914.2399999999997,927.6399999999999,937.2400000000001,948.1999999999998,958.5600000000002,969.9600000000002,982.8,995.24,1007.4399999999998,1021.6000000000004,1048.2000000000003,1076.9200000000003,1111.7599999999998,1148.5199999999995,1181.1599999999999,1201.92,1213.8400000000004,1215.2000000000003,1209.5599999999997,1200.8400000000001,1189.6799999999998,1177.4400000000003,1167.8400000000001,1158.4,1149.8000000000002,1139.0799999999997,1125.36,1106.44,1073.9999999999995,1023.7200000000004,957.4400000000004,873.7199999999999,772.5200000000002,663.5600000000003,535.4400000000004,393.40000000000003,263.40000000000015,157.68,75.36000000000003,29.24000000000001,16.400000000000002,14.759999999999993,12.519999999999996,8.799999999999976,8.079999999999988,6.599999999999997,3.3999999999999915,0.4799999999999942,-1.554312234475219e-14,-1.4400000000000106,-4.000000000000011,-4.360000000000012,-4.520000000000014,-6.760000000000012,-9.480000000000004,-10.160000000000013,-12.040000000000015,-15.16,-16.159999999999997,-15.879999999999995,-16.319999999999986,-14.599999999999994,-12.999999999999998,13.520000000000003,76.79999999999998,182.0400000000001,308.2,487.32000000000005,655.5999999999998,770.8000000000003,825.6799999999998,844.6800000000003,804.1999999999998,784.7600000000001,833.0400000000001,906.32,982.4000000000001,1061.3199999999997,1113.4800000000005,1117.6399999999996,1118.5599999999997,1126.6000000000001,1136.88,1134.44,1126.4399999999994,1112.6399999999999,1099.9999999999998,1089.1599999999994,1078.52,1070.7999999999997,1065.1999999999998,1060.6000000000001,1054.48,1053.9599999999998,1051.5199999999998,1049.5600000000002,1049.6800000000003,1050.8400000000001,1048.2399999999998,1046.9199999999996,1044.0000000000002,1038.72,1034.2800000000002,1030.92,1025.4800000000002,1020.0800000000005,1015.1999999999998,1003.1999999999998,981.6400000000002,950.1999999999998,908.2,855.3999999999999,805.4,763.0,738.4799999999999,729.3199999999998,730.4799999999996,736.5999999999999,749.9200000000001,762.52,776.56,794.44,812.2399999999998,824.1999999999998,833.7999999999997,841.7599999999998,850.56,861.28,878.0800000000004,898.0400000000001,917.16,936.6799999999998,954.1199999999998,968.6399999999996,978.5600000000002,987.92,993.48,995.6799999999998,987.2
11,1085.5200000000002,1083.8400000000004,1081.8799999999999,1078.24,1070.0799999999995,1059.08,1041.2399999999998,1016.5599999999996,985.7200000000003,951.6799999999998,936.2399999999998,937.4399999999997,955.8400000000001,988.0800000000004,1030.24,1060.0,1080.72,1092.2800000000002,1097.3999999999999,1099.52,1097.1199999999997,1093.5599999999995,1086.4799999999998,1077.9199999999998,1067.32,1056.0000000000002,1040.2799999999995,1024.2399999999998,1002.9599999999999,982.56,960.3999999999999,942.5999999999997,928.8399999999999,923.1199999999999,918.0400000000001,920.08,924.32,925.1600000000001,928.96,934.3600000000004,938.8400000000004,942.6400000000001,953.2000000000002,961.7200000000001,973.28,987.0799999999998,1003.0000000000001,1015.1199999999998,1027.8799999999999,1042.1200000000001,1058.16,1075.7999999999997,1097.32,1119.1999999999998,1141.2799999999995,1160.24,1178.4399999999996,1197.8400000000004,1216.7199999999998,1231.2399999999998,1240.9199999999998,1246.3200000000006,1243.6799999999998,1230.36,1210.04,1190.2800000000002,1164.9600000000005,1136.0400000000004,1109.2399999999998,1084.0000000000005,1056.4,1022.1599999999999,983.7200000000003,928.2800000000001,864.32,673.52,489.6000000000001,316.1199999999999,163.40000000000006,23.519999999999996,14.919999999999998,10.879999999999999,5.999999999999995,3.1599999999999953,0.9599999999999977,-2.32000000000001,-3.8000000000000007,-6.119999999999999,-6.840000000000005,-9.760000000000005,-11.320000000000004,-12.47999999999999,-12.36,-12.84,-11.360000000000005,47.08,133.32,369.87999999999994,588.76,788.7599999999995,949.3999999999997,1085.9199999999998,1069.0800000000002,1069.52,1087.84,1089.4399999999991,1084.08,1080.3200000000002,1070.76,1059.2,1045.7599999999998,1033.5599999999995,1022.0800000000003,1013.5600000000001,1005.3600000000001,997.5599999999996,990.4399999999998,984.2400000000001,980.9200000000001,975.6399999999998,969.6,960.8800000000001,950.8400000000003,939.3200000000003,932.1200000000001,928.1199999999997,928.6399999999999,934.1600000000003,950.44,969.2799999999999,986.7999999999998,1003.2,1014.6399999999999,1013.0000000000002,1009.5200000000002,1001.68,989.96,975.28,961.5600000000004,944.5599999999998,932.7200000000001,923.6800000000003,920.88,921.7199999999997,925.2,930.64,941.2399999999999,953.2400000000001,967.2400000000002,981.9200000000001,995.4400000000002,1002.44,1006.0399999999997,1005.7199999999998,1005.96,1004.6000000000004,1005.0400000000002,1007.3600000000001,1007.5599999999996,1008.1999999999996,1005.1999999999998,1004.2799999999999,1001.0,998.9199999999998,996.6,996.76,996.24,996.4399999999998,998.7600000000001,999.4399999999999,1000.2399999999996
12,1070.24,1073.7999999999995,1075.52,1078.8399999999997,1082.0799999999995,1084.0000000000002,1083.4400000000005,1084.8400000000001,1084.3600000000006,1084.6800000000007,1083.8400000000006,1084.3600000000006,1081.8400000000006,1077.2400000000007,1071.0000000000005,1063.0,1052.4800000000002,1042.36,1031.92,1020.0800000000002,1006.3600000000001,989.2799999999999,974.0800000000002,961.2,950.96,940.1999999999998,934.52,932.1600000000001,934.4,937.8000000000001,946.7600000000002,952.7999999999997,954.8,951.3199999999998,960.3599999999999,971.1999999999997,985.96,1004.5200000000001,1031.2400000000002,1050.64,1073.0800000000002,1097.2,1121.6000000000004,1144.8400000000004,1168.2799999999997,1191.7199999999998,1214.1600000000003,1233.92,1249.92,1258.8799999999997,1254.8799999999999,1241.2399999999998,1216.0400000000006,1184.0800000000006,1148.76,1117.5600000000002,1089.24,1065.1600000000003,1043.7599999999998,1015.0400000000002,978.5200000000004,930.0,870.72,795.84,710.6399999999998,618.8000000000003,501.8800000000003,365.8400000000001,247.5199999999999,150.44000000000008,69.56000000000002,29.800000000000004,27.040000000000006,23.760000000000012,19.479999999999997,16.52,15.119999999999997,12.239999999999998,10.359999999999985,9.27999999999999,8.159999999999984,5.159999999999994,2.9999999999999893,1.0800000000000067,-0.11999999999999478,-1.7200000000000069,-2.5999999999999996,-3.839999999999998,-4.68,-6.120000000000006,-8.000000000000004,-7.360000000000005,3.8400000000000074,53.47999999999999,281.2,506.96000000000004,724.32,927.6399999999999,1087.04,1064.12,1042.2,1026.08,1015.8000000000001,1011.8,1013.8000000000002,1020.28,1029.24,1041.6,1055.7999999999997,1072.5199999999995,1088.2,1101.4799999999998,1111.6399999999999,1117.4399999999996,1119.7999999999997,1118.7200000000003,1118.9199999999998,1115.6399999999999,1112.5999999999997,1107.36,1102.5599999999997,1096.8799999999997,1092.5199999999995,1087.56,1084.6799999999996,1080.32,1077.72,1073.84,1072.52,1070.7199999999998,1070.76,1070.3600000000004,1071.7599999999993,1071.7599999999998,1072.56,1075.9999999999998,1077.9600000000003,1080.12,1081.2399999999996,1084.3199999999997,1085.3199999999997,1084.3200000000002,1081.12,1076.6799999999998,1065.8,1052.2,1042.6400000000003,1035.1999999999996,1029.48,1030.7599999999998,1037.1600000000003,1043.3200000000002,1053.0800000000002,1066.48,1075.4,1083.2399999999998,1088.6799999999998,1087.9599999999998,1084.3999999999999,1079.5199999999998,1073.1199999999994,1066.6000000000001,1058.84,1049.08,1040.7599999999998,1030.3200000000002,1022.0000000000001,1017.9200000000001,1015.5199999999998,1018.8,1026.28
