Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,897.9199999999998,900.1599999999996,897.8399999999999,898.8799999999998,901.8799999999998,905.7199999999999,908.5600000000001,913.76,918.4799999999998,918.7599999999999,919.5600000000001,918.6400000000001,918.2400000000002,916.3600000000001,916.8000000000002,917.3599999999999,920.1999999999998,921.96,925.2399999999998,928.0799999999999,929.9999999999998,933.3199999999999,936.2800000000001,938.3199999999999,942.2799999999999,946.3199999999999,946.9599999999998,951.04,953.04,952.6399999999999,953.44,954.48,951.9599999999999,949.8,949.6800000000001,947.3999999999999,944.9599999999998,944.2399999999998,944.1999999999998,942.48,941.6799999999998,941.28,940.3599999999998,938.64,937.64,936.6800000000001,934.5999999999999,934.56,935.3199999999999,934.52,934.6800000000001,936.4000000000001,935.2000000000002,934.6399999999999,934.5199999999998,933.9199999999997,933.4399999999999,934.3199999999999,920.8,905.0400000000002,884.9200000000002,860.8799999999999,835.88,821.04,808.1600000000001,797.72,798.84,811.72,838.5999999999998,876.28,926.3599999999997,980.6399999999999,1035.8799999999999,1089.8799999999999,1118.84,1108.8000000000002,1059.0399999999997,975.0,745.6800000000003,531.8399999999999,344.8000000000001,183.52,44.720000000000006,41.48,36.279999999999994,33.480000000000004,30.76,27.04,23.480000000000004,29.279999999999998,65.47999999999999,186.43999999999997,390.55999999999995,589.6,788.04,951.5199999999999,1028.0399999999995,1015.0400000000002,993.9199999999996,954.0400000000002,902.0,839.6800000000001,779.92,750.1199999999999,733.3600000000001,731.1599999999999,741.4399999999997,755.56,760.7199999999999,775.5199999999998,794.6799999999998,814.9999999999999,836.5999999999999,849.3599999999999,851.52,850.08,836.5200000000001,821.1199999999999,807.4799999999998,789.6800000000002,770.64,763.2800000000001,757.1599999999999,748.1199999999999,742.7199999999998,737.7999999999998,734.4399999999999,729.4799999999998,726.2400000000001,719.8399999999999,717.4000000000001,714.3199999999999,717.44,735.4799999999999,765.2800000000001,791.5199999999998,817.04,838.56,845.2,843.28,841.6800000000001,841.1199999999999,842.44,843.48,845.24,849.28,851.5600000000002,847.12,839.3999999999999,824.7599999999999,806.28,786.1200000000001,771.3199999999999,762.24,760.2800000000001,762.4,766.8000000000002,768.3600000000001,770.6000000000001,772.8,771.9200000000001,772.2800000000003,773.72,773.84,776.08,777.92,779.6800000000001,784.8,788.3200000000003,789.9200000000001,798.96
2,768.3600000000001,770.6000000000001,772.8,771.9200000000001,772.2800000000003,773.72,773.84,776.08,777.92,779.6800000000001,784.8,788.3200000000003,789.9200000000001,798.96,807.0,815.32,824.3600000000001,832.24,837.6400000000001,844.3199999999999,846.96,850.3199999999999,856.6,860.12,863.8400000000001,867.3199999999998,871.76,872.7599999999999,873.5200000000003,873.8800000000001,874.32,873.1599999999997,872.5999999999999,873.7199999999998,874.8399999999999,874.24,875.1200000000001,878.0000000000001,881.0400000000001,886.7199999999999,897.04,907.3999999999999,918.4400000000002,927.44,931.6799999999998,935.68,936.9599999999998,936.68,934.1999999999996,933.0399999999998,928.28,929.1200000000001,930.3199999999999,931.6799999999998,931.92,936.9200000000001,935.8399999999999,935.7199999999998,925.3600000000001,913.5199999999999,894.72,873.76,855.76,856.76,867.48,886.5600000000002,913.8000000000001,939.2800000000001,967.2400000000001,996.7600000000002,1027.3199999999997,1050.12,1054.76,1023.8,956.4000000000001,865.0000000000001,757.9200000000001,627.96,483.36,344.16,224.27999999999997,122.32,57.72,32.68,32.71999999999999,42.71999999999999,61.679999999999986,198.64000000000004,380.56000000000006,559.52,718.96,859.1200000000001,879.48,803.0799999999998,716.8799999999999,639.4399999999999,586.3199999999999,549.6000000000001,571.6000000000001,607.0799999999999,642.8000000000001,664.8000000000001,672.28,676.92,697.24,717.5999999999999,742.56,768.5200000000001,794.0,798.6,805.5600000000002,812.0800000000002,820.6400000000001,829.52,841.04,849.2800000000001,856.08,858.56,859.5600000000002,860.4400000000002,861.76,860.4000000000001,861.8000000000001,862.08,864.2399999999999,865.32,867.1600000000001,868.84,871.1999999999998,872.5199999999998,874.4799999999999,876.24,878.0400000000001,879.28,879.04,880.9600000000002,882.6400000000002,882.2000000000002,883.2800000000002,883.84,882.6799999999998,884.44,885.7199999999999,887.16,889.3199999999997,890.1199999999999,888.68,890.36,889.8800000000001,889.52,890.4399999999999,892.56,891.84,891.9199999999998,890.52,889.8799999999999,887.7600000000001,887.3199999999997,887.6000000000001,887.56,885.9200000000002,887.1200000000002,887.04,886.1600000000001,887.7600000000002,890.6400000000002,889.9199999999998,888.8399999999999,885.6399999999999,881.9600000000002,878.3599999999999
3,868.8,865.5200000000003,860.5600000000001,855.36,828.2,788.44,739.72,677.4,608.16,557.32,517.84,487.3599999999999,472.48,471.96000000000004,502.43999999999994,548.48,604.8000000000001,671.3600000000001,742.5999999999999,787.8399999999999,806.1599999999999,805.72,781.2,732.4799999999998,676.1999999999998,623.7999999999998,580.0799999999999,560.5600000000001,571.96,602.7199999999999,650.96,706.68,751.9199999999998,755.9599999999998,740.6800000000003,716.6400000000002,683.76,653.2399999999999,658.12,680.92,707.76,740.2,769.76,788.8000000000001,797.12,801.36,803.2,806.6399999999999,809.5199999999999,813.1199999999999,819.5599999999997,824.9200000000003,829.9200000000003,835.9600000000002,841.28,845.84,850.2,848.52,845.3599999999999,840.2799999999997,834.8799999999999,828.92,825.9199999999997,815.1199999999999,801.48,780.2799999999996,756.04,730.8,713.6800000000001,705.84,710.1600000000001,733.7600000000001,813.1199999999999,906.6799999999997,999.9200000000001,1080.2,1121.92,1067.44,965.2400000000004,732.0,504.04,299.08,138.68,10.479999999999995,8.039999999999996,101.72000000000003,283.68000000000006,470.9999999999999,654.24,836.28,911.04,834.5999999999999,748.6800000000001,671.0400000000001,600.0,587.0400000000001,645.32,709.56,768.4000000000001,827.0400000000002,840.7999999999998,847.52,853.0800000000002,860.2399999999998,862.4000000000001,862.4799999999999,862.28,861.88,863.28,864.0400000000001,866.2400000000002,867.6800000000003,867.0799999999997,866.1200000000002,865.8799999999999,865.56,865.52,864.9200000000003,866.0400000000001,866.4000000000001,868.3200000000002,868.92,871.32,870.56,870.1200000000002,869.9599999999998,871.3199999999999,873.5600000000001,875.32,878.3999999999999,881.48,883.8000000000001,883.4400000000002,887.0400000000001,888.3599999999999,890.6400000000001,890.9200000000002,894.1600000000001,893.0400000000002,894.2400000000002,893.7600000000002,893.96,894.16,896.4,896.6400000000001,895.5999999999999,898.3599999999999,898.3199999999998,898.0399999999997,898.48,898.9999999999998,898.1599999999996,898.1999999999997,899.9599999999999,900.1200000000001,902.0799999999998,901.8,900.1199999999999,897.0800000000002,895.7600000000001,891.9200000000002,891.2400000000002,889.72,882.0799999999999,868.1599999999999,845.3199999999999,803.04,747.92,692.6799999999998,642.7200000000001,600.96
4,898.1599999999996,898.1999999999997,899.9599999999999,900.1200000000001,902.0799999999998,901.8,900.1199999999999,897.0800000000002,895.7600000000001,891.9200000000002,891.2400000000002,889.72,882.0799999999999,868.1599999999999,845.3199999999999,803.04,747.92,692.6799999999998,642.7200000000001,600.96,575.8799999999999,576.76,605.16,670.6399999999999,742.7599999999999,814.2800000000001,873.3600000000001,905.8799999999999,895.7600000000001,875.6800000000001,847.0,809.7999999999998,764.7599999999998,720.0,702.6400000000001,707.4000000000001,732.8800000000002,776.32,830.0800000000002,863.68,885.1999999999999,897.4399999999999,905.16,907.5999999999998,908.3999999999999,908.3999999999999,907.04,905.8799999999999,906.1199999999999,907.16,906.5199999999998,907.2,906.3599999999997,905.1599999999999,903.0799999999997,903.56,904.08,906.3999999999999,906.5999999999999,905.6400000000001,904.8800000000001,873.4399999999998,833.8400000000001,793.24,756.1999999999999,722.6400000000001,725.48,751.1200000000001,792.5199999999998,840.9200000000001,899.5999999999999,964.5200000000002,976.9199999999998,944.1600000000001,878.6000000000003,776.0400000000002,628.1600000000002,471.76,335.0,221.84000000000006,128.12,64.68,45.55999999999998,38.31999999999999,31.039999999999992,28.039999999999992,92.95999999999998,269.44000000000005,475.56,675.92,875.3599999999999,1000.7199999999999,1001.1200000000001,944.96,859.32,737.7999999999998,603.6000000000001,475.52000000000004,384.6800000000001,340.0,351.96000000000015,392.9200000000001,449.80000000000007,504.96000000000015,557.12,594.84,626.8799999999999,652.1200000000002,675.4399999999999,691.36,702.1999999999998,716.0799999999999,731.9199999999998,748.52,767.56,791.3199999999998,808.3199999999999,823.8,834.4,840.3599999999999,841.3599999999999,844.3999999999999,845.8799999999999,848.3999999999999,853.6399999999999,854.7600000000001,857.5599999999998,861.1599999999999,862.5999999999999,863.3600000000001,865.44,864.7600000000002,864.0400000000001,863.2800000000001,862.44,864.1199999999999,865.5600000000002,865.1999999999998,865.8800000000001,865.9200000000001,865.5600000000002,866.3200000000002,865.5600000000002,866.44,866.7600000000001,865.8800000000002,864.6,864.96,862.9200000000001,861.6800000000001,861.6399999999999,862.04,862.5600000000001,863.8000000000003,864.5600000000002,863.7600000000002,860.5600000000002,860.6800000000001,858.56,857.44,858.1199999999999,859.4399999999998,860.56,862.9599999999999,864.2,866.4399999999999,868.1999999999999,867.8799999999999,869.04,869.3599999999999,867.1600000000001
5,867.8799999999999,869.04,869.3599999999999,867.1600000000001,866.0000000000002,865.9200000000001,863.6,862.6799999999998,862.7999999999997,862.4799999999998,862.6800000000001,864.72,866.4400000000002,867.88,870.1600000000001,861.36,846.8799999999999,827.52,799.48,762.3199999999998,728.9200000000001,696.5199999999999,665.5200000000001,645.4000000000001,665.5200000000001,696.2000000000002,734.3599999999999,779.1999999999998,821.2399999999999,830.88,819.4399999999999,797.9999999999999,767.5200000000002,730.96,699.68,689.0800000000002,688.7200000000001,700.72,724.1600000000001,759.1999999999998,789.0000000000001,815.4000000000001,837.1599999999999,855.8399999999999,860.0,864.56,868.56,870.56,871.9599999999999,871.0,870.6799999999998,869.64,869.7999999999998,868.1999999999998,866.4799999999999,861.72,854.9199999999998,839.2800000000002,822.6800000000001,808.0400000000002,795.36,784.3599999999999,782.8000000000002,779.64,775.6399999999999,769.1999999999999,761.68,749.1600000000001,739.3600000000001,727.7600000000001,719.6400000000002,795.5199999999999,842.28,853.2799999999999,837.4800000000001,704.7200000000001,486.3599999999999,299.28,147.76,24.919999999999987,17.399999999999984,13.91999999999998,10.599999999999994,6.759999999999993,3.119999999999999,1.7600000000000002,-2.4399999999999977,-3.600000000000005,-1.1599999999999966,6.400000000000001,71.83999999999999,234.95999999999998,401.76,568.3999999999999,748.72,874.2399999999998,895.96,889.7199999999998,856.4,768.8799999999999,653.32,535.4799999999999,443.44,381.9200000000001,364.00000000000006,376.5200000000001,402.96,453.6400000000001,512.9200000000001,573.2,634.2000000000002,695.0399999999998,731.5999999999999,756.8399999999999,775.56,789.9600000000003,803.76,816.0000000000001,828.3199999999999,839.5199999999998,848.1999999999999,854.1200000000001,857.3599999999999,859.04,861.24,862.1600000000001,863.8000000000002,868.4399999999999,873.1199999999999,876.3600000000001,883.6399999999999,891.2399999999999,898.3999999999999,904.2,908.6800000000002,912.4400000000003,915.6800000000002,916.9600000000002,919.24,924.7600000000002,926.8399999999999,930.48,935.7599999999999,937.84,939.5999999999999,939.3999999999997,939.3599999999999,937.76,940.9200000000003,939.9200000000001,941.72,942.76,943.8000000000001,943.9200000000001,944.92,945.1999999999998,948.2000000000002,948.8000000000001,948.6800000000002,948.6000000000001,948.3200000000002,946.08,945.8000000000001,941.6400000000001,937.9200000000002,935.3600000000001,930.72,925.84,924.5199999999999,924.1600000000002,923.3200000000002
6,932.8399999999998,933.4399999999998,934.7200000000001,933.4399999999999,934.64,934.52,936.0000000000002,936.3199999999999,939.0399999999998,940.3600000000001,940.8399999999999,939.7999999999998,941.8399999999999,942.3199999999999,943.6799999999997,946.7600000000001,949.3200000000002,950.6800000000003,951.3600000000004,953.2000000000003,954.4799999999999,957.28,958.96,964.1600000000001,967.36,968.2400000000001,968.6000000000001,968.44,964.1600000000001,961.8000000000002,960.8800000000001,959.3199999999999,958.9600000000003,960.2000000000004,962.6000000000001,963.9600000000003,967.4400000000003,969.1600000000003,972.4800000000002,972.3199999999999,973.68,971.5999999999998,971.04,967.76,965.7599999999999,961.2799999999999,957.2,953.3999999999999,953.8399999999999,957.0799999999999,962.96,967.6000000000001,970.7200000000001,970.7200000000003,967.1200000000001,959.44,953.4,946.6000000000001,935.8399999999998,927.9200000000001,921.88,914.0400000000001,905.92,899.28,888.24,877.8,878.28,891.6000000000001,923.72,972.56,1034.04,1091.1599999999999,1128.32,1118.6,1063.2399999999998,970.3200000000003,850.4000000000001,713.8000000000001,557.8800000000001,395.40000000000003,259.5999999999999,144.76000000000005,56.160000000000004,14.279999999999998,11.520000000000001,10.32,10.280000000000001,15.720000000000002,35.36,248.75999999999996,442.71999999999997,624.16,780.3200000000003,906.4399999999999,820.5599999999998,739.4399999999998,663.8000000000001,615.4799999999999,601.7600000000001,623.6799999999998,667.76,725.1199999999999,778.9599999999998,812.2399999999999,827.8,833.6000000000001,834.9600000000002,834.96,842.8399999999998,853.0,864.0800000000002,874.3200000000002,882.04,888.5600000000001,890.8399999999999,892.8799999999999,893.5200000000002,895.0,896.6399999999999,900.0400000000001,902.2000000000003,905.6800000000002,908.6800000000001,909.1200000000003,907.84,907.2400000000002,904.24,900.12,895.6400000000002,891.16,889.5600000000001,887.28,888.1599999999999,887.4000000000001,888.4799999999999,886.4800000000001,889.08,889.6,890.8800000000001,893.8399999999999,898.2400000000001,900.4400000000003,903.4400000000003,908.08,910.4399999999999,911.6,914.52,916.9599999999998,918.8399999999999,921.6000000000001,923.2,924.8799999999999,924.6399999999999,925.5600000000001,925.9600000000003,928.4000000000001,929.56,933.0000000000001,936.0800000000002,938.1600000000002,939.5199999999999,942.04,942.0,941.5600000000001,943.6400000000001,943.2,941.7600000000001,941.9200000000001,941.3199999999998,939.0000000000002,939.4000000000001
7,942.0,941.5600000000001,943.6400000000001,943.2,941.7600000000001,941.9200000000001,941.3199999999998,939.0000000000002,939.4000000000001,939.1200000000001,936.6000000000001,935.72,934.3599999999999,933.04,930.7599999999999,930.76,931.6399999999996,930.0400000000002,929.8800000000001,931.4000000000001,931.4399999999998,929.2,927.72,923.6800000000001,918.56,915.7599999999999,910.12,907.4000000000001,904.0799999999999,903.8000000000001,902.8800000000001,905.7200000000001,907.28,910.5200000000001,911.04,913.4000000000002,914.4000000000001,915.3199999999999,913.9599999999999,914.76,916.0400000000002,914.72,916.1200000000002,918.3599999999999,918.56,914.8800000000001,916.8400000000005,914.96,914.16,914.8000000000001,916.8000000000001,917.0799999999999,919.2400000000002,919.96,920.4399999999999,921.24,920.6400000000001,922.6400000000001,925.0400000000001,926.8,927.32,928.72,925.04,920.1999999999998,908.8399999999999,893.16,872.8800000000001,847.96,823.2,801.24,845.4799999999999,908.92,987.8400000000001,1073.8000000000002,1016.0799999999998,845.7200000000003,632.0,392.96000000000004,147.12000000000006,47.35999999999999,-2.7600000000000007,-26.400000000000006,-34.28,-41.879999999999995,-47.96000000000001,-51.599999999999994,-52.2,-47.96,-46.96,-9.000000000000002,152.4,312.96,484.4,678.9599999999999,844.8399999999999,879.6800000000002,894.9999999999999,874.6000000000001,812.4399999999998,715.56,616.72,540.2,492.44,480.8800000000002,517.4399999999999,577.6,641.8399999999998,697.24,738.9600000000002,757.5600000000002,760.6800000000001,760.04,762.8799999999999,764.88,770.3199999999999,778.1600000000001,798.8399999999999,816.3999999999999,832.2800000000001,841.1600000000001,843.1599999999997,823.1600000000001,795.3599999999999,763.6800000000003,733.9200000000001,702.5600000000002,675.52,655.6400000000002,648.1199999999998,657.0000000000001,699.76,777.3599999999999,879.76,992.08,1092.16,1151.28,1141.6799999999998,1069.88,958.1199999999997,820.0400000000002,662.12,487.04000000000013,326.19999999999993,186.64000000000004,70.60000000000001,-13.840000000000007,-45.16000000000001,-54.52000000000001,-60.11999999999999,-65.52000000000001,-70.36,-73.16000000000001,-75.64000000000003,-77.72,1.4799999999999978,172.16000000000003,333.72,517.88,719.3599999999999,852.9200000000001,882.2799999999999,893.8,862.4399999999999,792.1599999999999,680.32,573.9999999999999,497.83999999999986,473.0799999999999,488.87999999999994,544.9199999999998,616.4800000000001
8,800.52,798.28,795.0400000000002,790.4,792.8000000000001,789.8800000000001,790.5200000000001,793.0000000000001,796.4,798.0,801.96,802.24,801.8800000000001,802.4,803.32,803.0,803.4800000000001,805.1200000000001,803.9200000000001,803.1600000000001,801.0400000000001,799.28,796.3199999999999,794.8800000000001,792.28,792.6800000000001,791.8399999999999,790.44,793.1600000000001,795.1600000000001,796.36,798.1199999999999,802.0,805.56,808.2399999999999,811.8400000000001,814.6799999999998,818.0000000000001,817.28,819.6800000000001,819.16,820.1200000000001,821.4399999999999,823.5600000000001,824.0799999999999,827.3599999999999,828.76,827.32,826.5999999999999,825.56,823.28,819.84,815.1600000000002,806.4800000000001,790.84,764.0400000000001,734.0800000000002,696.8,655.1599999999999,615.72,591.04,582.76,603.0799999999999,657.8399999999999,739.28,835.72,937.5600000000001,1030.12,1096.2400000000002,1124.6399999999996,1039.5200000000002,912.6,733.9200000000002,505.63999999999993,277.5999999999999,140.20000000000002,27.320000000000007,-44.12,-64.84000000000002,-71.0,-73.88,-74.4,-75.4,-78.16,-78.60000000000001,-78.36000000000001,-79.19999999999999,-76.32,-70.55999999999997,-44.72,124.00000000000003,295.76,490.6799999999999,709.2,890.1600000000001,903.2800000000002,881.12,805.6800000000001,682.6800000000001,572.36,496.9999999999999,465.08000000000004,466.7200000000001,502.55999999999995,580.6,647.0400000000001,703.8800000000001,754.4800000000001,792.8400000000001,792.04,794.9199999999997,793.6799999999998,792.8399999999999,793.24,792.7600000000001,792.96,812.5600000000002,832.6799999999998,850.2400000000001,869.8,886.76,888.4000000000001,889.08,888.92,888.5200000000001,888.1999999999999,885.8000000000001,885.4400000000003,888.0800000000003,888.2400000000002,890.5600000000001,890.7200000000004,930.8000000000002,949.4800000000002,932.88,891.1600000000001,834.8800000000001,703.4000000000001,540.6400000000001,387.0000000000001,245.72000000000003,118.43999999999994,21.560000000000006,-24.520000000000003,-43.76,-50.000000000000014,-55.120000000000005,-56.64000000000001,-57.080000000000005,-56.08,-59.36000000000001,-56.32000000000001,-77.44000000000001,-82.96,-16.75999999999999,128.75999999999993,289.12000000000006,471.56000000000006,645.3199999999999,750.72,769.2399999999999,743.1999999999999,681.5999999999998,589.16,481.44000000000005,375.72,293.32,253.92000000000002,258.52,288.91999999999996,349.64
9,606.4,579.2,581.8400000000001,579.3599999999999,577.1999999999999,578.9599999999999,590.1199999999999,566.5199999999999,551.1199999999999,539.7599999999999,533.1199999999998,529.8000000000001,531.12,533.0399999999998,538.8799999999999,548.3199999999999,567.7999999999998,592.28,619.04,646.56,671.1600000000001,686.3199999999999,696.04,699.3599999999999,679.5999999999999,668.2799999999999,661.76,661.4399999999999,666.7600000000001,693.52,712.9599999999998,725.4399999999998,733.3599999999998,733.04,728.24,718.3599999999999,706.8,691.92,680.1600000000001,668.04,658.7199999999999,657.8,656.4399999999998,655.9199999999998,657.56,661.6,662.04,662.5200000000001,665.1600000000001,667.08,670.1600000000001,669.96,672.1600000000001,674.8,678.92,679.8799999999999,682.7200000000001,685.64,684.2800000000001,684.5600000000001,683.0399999999998,673.6400000000002,661.16,647.0000000000002,626.92,611.56,603.0799999999999,605.8400000000001,623.1200000000002,660.76,718.0,795.04,883.2800000000001,965.08,789.8800000000003,589.7199999999999,368.44000000000005,127.39999999999998,-118.80000000000001,-123.24000000000001,-126.80000000000004,-129.92000000000007,-132.04000000000002,-133.32000000000002,-133.84000000000003,-140.04000000000002,-138.0,-84.6,83.00000000000003,268.91999999999996,461.67999999999984,552.5999999999999,568.24,466.68000000000006,432.36,405.2399999999999,476.5200000000001,567.52,649.3199999999999,644.5999999999999,635.0799999999998,623.7599999999998,627.9599999999999,644.24,660.8399999999999,672.16,683.0399999999998,679.96,677.9600000000002,675.24,675.2799999999999,676.0399999999998,679.0399999999998,680.24,681.88,684.3999999999999,685.2399999999999,685.6399999999999,686.9599999999998,688.44,688.9999999999999,686.7199999999998,683.4799999999999,681.52,679.4399999999999,679.3200000000002,680.0800000000002,683.9200000000001,687.32,688.2,688.6000000000001,690.08,690.0,690.5199999999999,693.5199999999999,694.0400000000001,693.6399999999999,693.8399999999999,693.1599999999999,691.9199999999998,691.6800000000002,695.1600000000001,697.1599999999999,697.72,698.92,699.0,697.4399999999998,694.64,692.68,689.6800000000001,687.5999999999999,681.96,674.7599999999999,654.4399999999999,631.16,609.08,591.6,605.0399999999998,630.76,662.6400000000001,693.3599999999999,723.1600000000001,724.0400000000002,726.4000000000002,726.8000000000002,729.8,730.28,733.5199999999998,736.96,739.2799999999999,739.7199999999999
10,741.24,740.4000000000002,739.5600000000002,739.1600000000002,737.5200000000001,737.8000000000001,738.96,738.6000000000001,737.5600000000002,738.8800000000001,737.8000000000002,735.2799999999999,732.3599999999999,734.0,731.52,730.8000000000002,731.6000000000001,735.1600000000001,731.48,731.16,730.52,728.9200000000001,724.3199999999999,721.72,720.68,718.8400000000001,718.0400000000002,717.4000000000001,719.2000000000002,718.9199999999998,716.9200000000001,716.24,718.6800000000001,716.92,720.4000000000001,722.88,722.6800000000001,721.2799999999999,722.9599999999998,717.9200000000001,717.6800000000002,717.4000000000001,716.2000000000002,714.8000000000002,711.3200000000002,706.96,702.9599999999999,698.3199999999999,694.6800000000001,697.36,699.48,702.9999999999999,707.8799999999999,712.88,716.4399999999998,717.5600000000001,715.6,714.96,699.6400000000001,686.2,676.8400000000001,682.32,687.16,693.0800000000002,694.7600000000002,689.6800000000001,670.0000000000002,647.5600000000001,630.04,612.96,597.0800000000002,581.4000000000002,571.4400000000002,572.72,581.1199999999999,601.8,636.8,622.3200000000002,589.0000000000001,525.4000000000001,408.56,250.0,122.04,7.840000000000012,-83.68,-131.95999999999998,-151.72000000000003,-154.68,-158.84000000000003,-142.12000000000003,-76.63999999999999,19.48,227.51999999999998,449.5999999999999,649.7600000000002,785.7999999999998,887.1200000000001,876.6399999999996,818.6800000000003,755.0,703.3200000000002,658.1200000000001,624.1600000000001,640.04,677.0,725.28,773.12,805.56,820.4799999999999,819.8400000000003,808.64,795.1199999999999,783.1200000000001,776.8399999999999,775.08,776.5600000000001,781.44,789.64,796.5600000000002,802.8800000000001,809.2400000000001,810.9200000000003,809.5200000000002,807.9200000000001,804.2,802.8800000000001,803.6400000000001,804.56,803.8400000000001,803.76,802.28,801.3600000000001,801.08,801.5200000000001,801.3600000000001,801.3600000000004,802.48,803.2800000000001,804.6800000000001,806.6800000000001,807.7599999999999,806.2,805.0,803.6,800.8399999999999,797.96,793.5199999999999,788.8400000000001,784.9999999999999,781.6799999999998,778.8399999999999,776.4399999999998,773.6800000000001,766.5999999999998,761.9999999999997,754.1599999999999,751.3999999999999,748.3199999999999,747.0799999999999,745.3999999999999,749.3999999999999,748.0799999999998,750.6,754.8800000000001,758.72,761.3999999999999,767.2399999999998,769.8,771.0,772.52,772.3999999999999
