Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171,time_step_172,time_step_173,time_step_174,time_step_175,time_step_176,time_step_177,time_step_178,time_step_179,time_step_180,time_step_181
1,238.12,239.16000000000005,240.8,241.51999999999992,241.91999999999996,242.2,242.75999999999996,242.11999999999995,242.39999999999998,243.15999999999997,244.15999999999994,244.88,246.2,247.3999999999999,247.51999999999995,247.68,247.40000000000003,247.24000000000004,246.72,246.88000000000002,247.07999999999998,247.7999999999999,248.15999999999997,248.95999999999992,249.63999999999993,250.07999999999993,250.95999999999998,251.84000000000003,252.4,253.39999999999998,254.4,254.55999999999997,255.56,256.12,255.96,256.15999999999997,256.4,255.72,255.07999999999998,255.15999999999994,254.64,253.95999999999998,253.83999999999992,253.95999999999998,253.52,253.27999999999997,253.23999999999995,252.99999999999994,252.48,252.24000000000004,252.04000000000005,251.56000000000006,251.48000000000002,251.67999999999998,251.44,251.48000000000005,251.84000000000006,251.56000000000003,251.48,251.47999999999996,251.27999999999994,251.24,251.4799999999999,247.95999999999998,243.88000000000002,238.80000000000007,232.67999999999998,226.36,222.55999999999997,219.28,216.52000000000004,216.75999999999996,220.03999999999996,226.99999999999991,236.67999999999998,249.71999999999994,263.79999999999995,277.91999999999996,291.48,297.92,293.32000000000005,277.9999999999999,253.8,192.92000000000013,136.79999999999995,88.48000000000005,47.28,12.08,11.319999999999999,10.08,9.360000000000001,8.68,7.76,6.76,7.959999999999999,16.999999999999996,48.8,103.55999999999999,157.44,210.99999999999997,255.1999999999999,276.1199999999999,272.7200000000001,266.9999999999999,256.64000000000004,243.63999999999996,227.92000000000002,212.64,205.23999999999995,201.23999999999998,200.95999999999995,203.87999999999988,207.67999999999998,208.91999999999993,212.5999999999999,217.32,222.35999999999993,227.76,230.83999999999992,231.35999999999996,231.04000000000002,227.72000000000003,223.91999999999993,220.64,216.16000000000005,211.35999999999996,209.4,207.79999999999993,205.39999999999998,203.99999999999991,202.67999999999998,201.83999999999997,200.51999999999995,199.60000000000005,197.87999999999997,197.20000000000005,196.32,197.12000000000003,201.72000000000003,209.28000000000003,215.99999999999994,222.51999999999998,228.12,229.88,229.48000000000002,229.08000000000007,228.95999999999998,229.24,229.51999999999995,230.04,231.07999999999998,231.68,230.56,228.6,224.95999999999998,220.39999999999998,215.36,211.67999999999998,209.44,208.92000000000004,209.52,210.68,211.12000000000006,211.72000000000006,212.32000000000005,212.08000000000004,212.24000000000007,212.56,212.6,213.15999999999997,213.51999999999998,214.0,215.36000000000007,216.2400000000001,216.6400000000001,219.04000000000005,221.04000000000005,223.12000000000003,225.4000000000001,227.36,228.68000000000004
2,211.67999999999998,209.44,208.92000000000004,209.52,210.68,211.12000000000006,211.72000000000006,212.32000000000005,212.08000000000004,212.24000000000007,212.56,212.6,213.15999999999997,213.51999999999998,214.0,215.36000000000007,216.2400000000001,216.6400000000001,219.04000000000005,221.04000000000005,223.12000000000003,225.4000000000001,227.36,228.68000000000004,230.35999999999999,231.08000000000004,232.0,233.68,234.64,235.56,236.35999999999999,237.56,237.75999999999993,237.96000000000006,238.08000000000004,238.23999999999998,237.83999999999997,237.7199999999999,237.95999999999995,238.31999999999996,238.12,238.40000000000003,239.16000000000003,239.88000000000005,241.28000000000003,243.79999999999998,246.3199999999999,249.04,251.24,252.07999999999998,253.0399999999999,253.1599999999999,252.83999999999995,251.9999999999999,251.51999999999995,250.07999999999996,250.2,250.48,250.79999999999998,250.95999999999992,252.48,252.47999999999996,252.5999999999999,250.08000000000004,247.0,242.00000000000003,236.44,231.76000000000005,232.07999999999993,235.08,240.32000000000008,247.5200000000001,254.12000000000006,261.24,268.64000000000004,276.03999999999996,280.91999999999996,280.71999999999997,270.76,250.96,225.12,195.92000000000007,161.4,123.91999999999999,88.56,58.28,32.440000000000005,16.24,10.040000000000001,10.04,12.319999999999997,17.279999999999994,54.08000000000001,102.24000000000001,149.56,191.99999999999997,228.88000000000005,233.64000000000004,214.15999999999997,192.31999999999996,172.91999999999993,160.24000000000004,151.64000000000004,157.72000000000008,167.19999999999996,176.64,182.40000000000003,184.24,185.36,190.36,195.35999999999999,201.55999999999997,208.00000000000006,214.32,215.36,217.04000000000002,218.56000000000006,220.67999999999998,222.72,225.60000000000002,227.64000000000004,229.40000000000003,230.00000000000006,230.4000000000001,230.72000000000006,231.12000000000006,230.80000000000013,231.28000000000006,231.40000000000006,231.92000000000002,232.28000000000003,232.72,233.12000000000003,233.71999999999994,234.03999999999996,234.51999999999998,234.99999999999997,235.48000000000005,235.83999999999997,235.84000000000003,236.28000000000003,236.72000000000006,236.56000000000006,236.76000000000008,236.88000000000002,236.55999999999997,237.04000000000002,237.43999999999997,237.83999999999997,238.39999999999992,238.71999999999997,238.35999999999999,238.8,238.71999999999997,238.68,238.83999999999997,239.4,239.24000000000004,239.28,238.88,238.72,238.2,238.04,238.08000000000004,238.08000000000004,237.64000000000001,237.88000000000002,237.88,237.64000000000001,238.08000000000004,238.88000000000002,238.6799999999999,238.27999999999997,237.51999999999998,236.52000000000004,235.6,234.40000000000006,233.72000000000008,233.20000000000005,232.4400000000001,231.08000000000004
3,237.51999999999998,236.52000000000004,235.6,234.40000000000006,233.72000000000008,233.20000000000005,232.4400000000001,231.08000000000004,229.72000000000003,222.20000000000005,211.4,198.08,181.24,162.55999999999995,149.04000000000002,138.44,130.32,126.40000000000003,126.36000000000001,134.56,146.92,162.12,180.00000000000003,199.19999999999993,211.4,216.39999999999998,216.32,209.79999999999998,196.7199999999999,181.71999999999997,167.91999999999996,156.44,151.36,154.68,163.11999999999995,176.2,191.27999999999997,203.6799999999999,205.04,201.16000000000005,194.88,186.24,178.24,179.60000000000002,185.59999999999997,192.72000000000003,201.36,209.16000000000003,214.12000000000003,216.39999999999998,217.60000000000002,218.07999999999998,218.99999999999994,219.75999999999996,220.59999999999997,222.11999999999992,223.40000000000012,224.56000000000006,226.0,227.39999999999995,228.52000000000004,229.60000000000002,229.23999999999998,228.51999999999998,227.23999999999992,225.99999999999994,224.55999999999995,223.79999999999987,221.2,217.79999999999998,212.35999999999993,206.16000000000003,199.55999999999997,194.76,192.35999999999999,193.04000000000005,198.68,218.75999999999993,242.6399999999999,266.32000000000005,286.4800000000001,296.24,280.64,252.60000000000005,191.15999999999997,131.44,78.16,36.92,4.199999999999999,3.5999999999999996,27.120000000000015,75.12,124.87999999999994,173.20000000000002,221.31999999999994,242.32,222.83999999999997,200.56000000000003,180.84000000000003,162.88000000000002,159.72000000000003,174.68000000000006,191.20000000000002,206.24000000000004,221.16000000000003,224.67999999999995,226.44,227.96000000000004,229.83999999999992,230.35999999999996,230.44,230.39999999999998,230.23999999999998,230.59999999999997,230.92000000000007,231.56000000000003,231.96,231.9199999999999,231.92000000000002,231.91999999999996,231.83999999999997,231.92,231.8400000000001,232.08000000000004,232.32000000000005,233.00000000000003,233.15999999999997,233.83999999999997,233.71999999999997,233.56000000000006,233.43999999999994,233.88,234.51999999999998,234.95999999999998,235.75999999999993,236.56,237.11999999999998,237.00000000000003,237.91999999999996,238.15999999999994,238.8,238.96000000000004,239.8,239.52000000000004,239.84000000000006,239.64000000000007,239.68000000000006,239.67999999999995,240.15999999999997,240.24,239.99999999999994,240.67999999999998,240.67999999999992,240.63999999999993,240.71999999999997,240.87999999999988,240.67999999999992,240.63999999999993,241.03999999999996,241.2,241.75999999999993,241.64000000000001,241.23999999999995,240.48000000000002,240.00000000000006,238.96000000000004,238.52000000000004,237.72,235.27999999999997,231.1199999999999,224.43999999999994,212.83999999999997,197.88,182.8799999999999,169.44000000000003,158.16000000000003,151.48,151.83999999999997,159.6,177.55999999999997,197.39999999999998
4,240.67999999999998,240.67999999999992,240.63999999999993,240.71999999999997,240.87999999999988,240.67999999999992,240.63999999999993,241.03999999999996,241.2,241.75999999999993,241.64000000000001,241.23999999999995,240.48000000000002,240.00000000000006,238.96000000000004,238.52000000000004,237.72,235.27999999999997,231.1199999999999,224.43999999999994,212.83999999999997,197.88,182.8799999999999,169.44000000000003,158.16000000000003,151.48,151.83999999999997,159.6,177.55999999999997,197.39999999999998,216.92,233.16000000000008,242.31999999999996,239.84000000000003,234.64000000000007,227.23999999999998,217.43999999999994,205.59999999999988,194.0,189.68,191.32,198.56000000000006,210.55999999999997,225.0,234.11999999999998,239.91999999999996,243.1599999999999,245.07999999999998,245.7199999999999,245.91999999999996,245.83999999999992,245.47999999999993,245.27999999999997,245.43999999999997,245.76,245.7199999999999,246.00000000000003,245.75999999999993,245.35999999999993,244.83999999999992,244.95999999999998,244.96,245.64,245.75999999999993,245.56000000000006,245.44,237.51999999999998,227.24000000000004,216.68000000000004,206.91999999999996,198.04000000000002,198.48000000000002,204.96000000000004,215.71999999999994,228.28000000000003,243.55999999999997,259.32000000000005,260.7199999999999,249.76000000000002,230.32000000000008,201.48000000000008,162.20000000000007,121.6,86.67999999999998,58.040000000000006,34.239999999999995,18.199999999999996,13.479999999999997,11.799999999999997,9.959999999999997,9.239999999999997,25.56,72.56,127.72000000000001,181.27999999999994,234.55999999999995,269.0,269.5200000000001,254.80000000000004,232.48000000000002,200.7199999999999,165.76000000000002,132.12,108.32000000000004,96.88,100.32000000000002,111.40000000000002,126.75999999999999,141.52000000000004,155.24,165.16,173.59999999999997,180.04000000000008,186.04,190.04000000000002,192.71999999999997,196.15999999999997,200.23999999999995,204.51999999999998,209.47999999999993,215.7199999999999,220.19999999999996,224.24,226.95999999999998,228.39999999999998,228.51999999999992,229.19999999999993,229.51999999999992,230.15999999999997,231.59999999999997,231.88000000000005,232.63999999999993,233.56,233.88,234.04,234.64000000000001,234.44000000000003,234.27999999999997,234.12,233.91999999999996,234.31999999999994,234.72000000000003,234.63999999999996,234.8,234.79999999999995,234.72,235.0,234.87999999999994,235.19999999999996,235.36,235.16000000000003,234.8,234.88,234.32000000000002,233.91999999999996,233.87999999999997,233.99999999999994,234.07999999999998,234.40000000000003,234.72000000000003,234.56,233.80000000000004,233.8,233.24,232.88,233.03999999999996,233.27999999999997,233.63999999999996,234.23999999999998,234.59999999999997,235.23999999999995,235.71999999999997,235.59999999999997,235.87999999999997,235.83999999999997,235.16000000000003,234.76000000000005,234.68000000000006,234.03999999999996,233.7999999999999,233.79999999999993
5,233.63999999999996,234.23999999999998,234.59999999999997,235.23999999999995,235.71999999999997,235.59999999999997,235.87999999999997,235.83999999999997,235.16000000000003,234.76000000000005,234.68000000000006,234.03999999999996,233.7999999999999,233.79999999999993,233.6799999999999,233.72,234.28,234.72000000000003,235.07999999999996,235.68,233.27999999999997,229.27999999999994,223.88,216.16000000000003,205.9199999999999,196.72,187.79999999999993,179.40000000000003,173.96000000000006,179.60000000000005,188.12,198.79999999999998,211.15999999999997,222.67999999999992,225.31999999999996,222.19999999999996,216.15999999999997,207.80000000000004,197.75999999999996,189.04,186.04,185.88000000000005,189.15999999999997,195.64000000000001,205.35999999999996,213.56,220.84,226.7199999999999,231.76,232.88,234.12,235.15999999999997,235.71999999999997,236.07999999999996,235.76,235.63999999999993,235.39999999999995,235.35999999999996,234.91999999999996,234.55999999999992,233.32,231.59999999999997,227.76000000000005,223.56000000000003,219.84000000000003,216.59999999999997,213.84,213.40000000000006,212.56,211.47999999999996,209.87999999999997,207.83999999999997,204.48000000000002,201.88000000000005,198.68,196.24000000000007,215.03999999999996,225.51999999999998,226.23999999999995,220.24,184.36,127.03999999999996,78.63999999999999,39.96,8.519999999999996,6.679999999999995,5.719999999999995,4.879999999999998,3.7999999999999976,2.8399999999999994,2.4399999999999995,1.360000000000001,1.0399999999999983,1.440000000000001,2.960000000000001,19.72,63.59999999999999,108.55999999999997,154.19999999999996,203.4000000000001,238.4,244.68000000000004,243.43999999999994,234.64,211.96,181.56000000000003,150.48,126.2,110.04,105.16000000000003,108.56000000000003,115.68,129.24,144.79999999999998,160.48000000000002,176.16000000000008,191.72,200.79999999999993,207.16,211.92000000000002,215.68000000000006,219.36,222.64,225.87999999999997,228.87999999999988,231.11999999999995,232.68,233.47999999999993,233.83999999999997,234.35999999999996,234.56000000000006,234.88000000000005,236.03999999999996,237.2,238.08000000000004,239.96000000000004,242.0,243.91999999999996,245.48,246.56000000000006,247.56000000000006,248.20000000000007,248.2800000000001,248.76000000000002,250.12000000000003,250.56,251.52,252.95999999999998,253.44,253.87999999999994,253.67999999999995,253.6,253.07999999999998,253.88000000000014,253.60000000000005,254.12,254.40000000000003,254.68,254.68,254.95999999999992,254.99999999999994,255.76000000000005,256.00000000000006,256.08000000000004,256.08000000000004,256.0400000000001,255.56000000000006,255.52000000000004,254.4400000000001,253.48000000000008,252.88,251.68000000000006,250.43999999999997,250.15999999999997,250.20000000000005,250.00000000000003,249.84000000000003,249.72000000000003,249.92,249.8400000000001,249.91999999999996
6,252.92000000000007,252.8,252.2,252.36000000000007,252.12,252.27999999999994,252.43999999999994,252.72,252.35999999999996,252.64,252.56,252.84000000000003,252.8,253.52,253.83999999999997,253.87999999999994,253.68,254.35999999999999,254.35999999999993,254.63999999999993,255.44,256.04,256.24000000000007,256.44000000000017,256.84000000000015,256.96,257.44000000000005,257.72,258.88000000000005,259.56000000000006,259.80000000000007,259.9200000000001,259.8400000000001,258.84000000000003,258.40000000000003,258.2800000000001,258.0,258.0000000000001,258.28000000000014,258.8400000000001,259.12000000000006,259.9200000000001,260.3200000000001,261.1200000000001,261.0400000000001,261.43999999999994,260.91999999999996,260.88,260.08000000000004,259.48,258.16,257.08000000000004,255.95999999999998,255.99999999999994,256.87999999999994,258.4,259.44,259.96000000000004,259.68000000000006,258.32000000000005,255.92000000000002,254.0,252.0,248.91999999999996,246.76000000000005,245.12000000000003,243.12,241.0,239.28000000000003,236.28000000000003,233.32,233.12,236.44,244.72,257.43999999999994,273.47999999999996,288.20000000000005,297.31999999999994,293.43999999999994,277.23999999999995,251.48000000000005,219.12,182.96000000000004,142.88,101.80000000000003,67.63999999999999,38.72000000000003,16.36,5.8,5.200000000000001,4.960000000000001,5.04,6.040000000000003,10.639999999999997,67.24,118.27999999999997,165.83999999999997,207.48000000000008,241.32000000000002,218.4799999999999,197.47999999999996,178.20000000000005,166.07999999999998,163.08000000000007,169.15999999999997,180.88000000000002,195.83999999999992,209.71999999999994,218.23999999999998,222.04000000000005,223.36000000000007,223.7200000000001,223.72000000000006,225.72,228.48000000000002,231.44000000000005,234.0800000000001,236.08000000000004,237.80000000000013,238.40000000000003,238.92000000000002,239.0800000000001,239.48000000000002,239.84000000000003,240.76000000000008,241.3200000000001,242.20000000000002,242.92000000000007,243.12000000000012,242.84000000000006,242.68000000000012,241.96000000000004,240.96000000000004,239.8400000000001,238.64000000000007,238.24000000000004,237.59999999999997,237.83999999999997,237.6400000000001,237.88,237.44000000000005,238.20000000000005,238.28000000000006,238.5600000000001,239.27999999999997,240.32000000000005,240.80000000000013,241.6000000000001,242.8400000000001,243.52000000000004,243.88,244.64,245.27999999999992,245.67999999999992,246.36000000000007,246.72000000000003,247.20000000000002,247.16000000000003,247.44000000000005,247.6000000000001,248.20000000000005,248.44000000000003,249.2800000000001,250.12000000000006,250.68000000000012,251.12,251.8,251.72000000000003,251.51999999999998,252.04000000000002,251.88000000000002,251.52000000000004,251.68000000000004,251.56,250.9200000000001,251.08,251.0000000000001,250.32000000000005,250.12000000000006,249.72,249.36000000000007
7,249.2800000000001,250.12000000000006,250.68000000000012,251.12,251.8,251.72000000000003,251.51999999999998,252.04000000000002,251.88000000000002,251.52000000000004,251.68000000000004,251.56,250.9200000000001,251.08,251.0000000000001,250.32000000000005,250.12000000000006,249.72,249.36000000000007,248.84,248.84,249.11999999999995,248.76000000000005,248.68,249.00000000000006,249.03999999999996,248.36000000000004,248.08000000000004,247.08000000000004,245.76,244.95999999999998,243.56000000000003,242.8,242.0,242.00000000000006,241.8400000000001,242.60000000000005,243.00000000000006,243.84000000000003,244.0,244.60000000000002,244.88000000000002,245.12,244.72,244.92000000000002,245.2800000000001,244.88000000000005,245.24000000000007,245.76000000000005,245.8400000000001,244.92000000000007,245.40000000000015,244.9600000000001,244.80000000000007,244.88000000000005,245.40000000000006,245.52000000000004,246.04000000000013,246.24000000000007,246.40000000000003,246.56000000000006,246.4000000000001,246.96000000000006,247.52000000000004,248.00000000000006,248.12000000000006,248.48000000000002,247.44,246.27999999999997,243.28000000000003,239.32000000000002,234.00000000000006,227.39999999999998,220.76000000000002,214.84,225.67999999999995,241.56,261.48000000000013,283.08000000000015,266.52,221.76000000000008,166.0,103.28,39.040000000000006,13.8,0.6000000000000014,-5.920000000000002,-7.800000000000001,-9.760000000000002,-11.440000000000001,-12.44,-12.52,-11.4,-11.559999999999999,-2.3200000000000003,40.64,83.56,129.04000000000005,180.92000000000002,225.67999999999998,235.04000000000002,239.04000000000002,233.8400000000001,217.84,192.76000000000002,166.83999999999997,146.8,134.48000000000002,131.72000000000003,141.4,157.2,173.99999999999994,188.44000000000003,199.20000000000002,203.88,204.64000000000004,204.44,205.07999999999996,205.6,206.99999999999997,209.07999999999996,214.63999999999993,219.47999999999996,223.76,226.28,226.9199999999999,221.72,214.39999999999998,206.1200000000001,198.24000000000007,189.88000000000005,182.40000000000003,176.64000000000004,173.99999999999997,175.64000000000007,186.44,206.59999999999994,233.51999999999998,263.04,289.15999999999997,304.0,300.08,279.44000000000005,248.47999999999996,211.16000000000008,169.24,124.08000000000004,83.23999999999997,47.88,18.520000000000003,-2.8000000000000016,-10.680000000000003,-13.080000000000002,-14.480000000000002,-15.880000000000004,-17.120000000000005,-17.920000000000005,-18.640000000000004,-19.199999999999996,1.2799999999999985,47.03999999999999,90.04,138.88000000000002,192.03999999999996,227.84,235.15999999999997,238.2,230.2,212.03999999999996,182.72,154.76,134.79999999999995,128.24,132.52,147.51999999999998,166.56000000000003,184.79999999999995,195.3199999999999,200.43999999999994,202.59999999999997,203.08
8,248.12000000000006,248.48000000000002,247.44,246.27999999999997,243.28000000000003,239.32000000000002,234.00000000000006,227.39999999999998,220.76000000000002,214.84,225.67999999999995,241.56,261.48000000000013,283.08000000000015,266.52,221.76000000000008,166.0,103.28,39.040000000000006,13.8,0.6000000000000014,-5.920000000000002,-7.800000000000001,-9.760000000000002,-11.440000000000001,-12.44,-12.52,-11.4,-11.559999999999999,-2.3200000000000003,40.64,83.56,129.04000000000005,180.92000000000002,225.67999999999998,235.04000000000002,239.04000000000002,233.8400000000001,217.84,192.76000000000002,166.83999999999997,146.8,134.48000000000002,131.72000000000003,141.4,157.2,173.99999999999994,188.44000000000003,199.20000000000002,203.88,204.64000000000004,204.44,205.07999999999996,205.6,206.99999999999997,209.07999999999996,214.63999999999993,219.47999999999996,223.76,226.28,226.9199999999999,221.72,214.39999999999998,206.1200000000001,198.24000000000007,189.88000000000005,182.40000000000003,176.64000000000004,173.99999999999997,175.64000000000007,186.44,206.59999999999994,233.51999999999998,263.04,289.15999999999997,304.0,300.08,279.44000000000005,248.47999999999996,211.16000000000008,169.24,124.08000000000004,83.23999999999997,47.88,18.520000000000003,-2.8000000000000016,-10.680000000000003,-13.080000000000002,-14.480000000000002,-15.880000000000004,-17.120000000000005,-17.920000000000005,-18.640000000000004,-19.199999999999996,1.2799999999999985,47.03999999999999,90.04,138.88000000000002,192.03999999999996,227.84,235.15999999999997,238.2,230.2,212.03999999999996,182.72,154.76,134.79999999999995,128.24,132.52,147.51999999999998,166.56000000000003,184.79999999999995,195.3199999999999,200.43999999999994,202.59999999999997,203.08,202.67999999999995,202.76,202.99999999999997,203.95999999999995,204.87999999999994,205.95999999999992,207.39999999999992,209.1599999999999,210.92,212.91999999999993,215.04000000000002,216.39999999999995,216.96,216.84000000000006,216.00000000000006,215.24,214.55999999999995,214.55999999999997,214.47999999999996,214.71999999999997,215.55999999999997,216.07999999999993,216.56,216.87999999999997,217.39999999999998,217.59999999999994,217.67999999999995,217.75999999999993,218.15999999999997,218.67999999999995,218.63999999999993,218.83999999999997,219.24,218.79999999999998,218.43999999999997,218.23999999999995,218.03999999999994,217.9599999999999,218.15999999999997,218.35999999999999,218.48,217.95999999999995,217.35999999999996,217.32,217.35999999999996,217.23999999999998,217.72,218.15999999999997,218.52000000000004,218.16000000000003,218.36,218.96,218.76,218.96,219.79999999999993,220.23999999999992,220.0,220.99999999999997,221.11999999999995,221.16000000000003,221.72000000000003,222.48000000000008,222.48000000000002,224.03999999999996,225.16
9,221.87999999999997,220.27999999999997,218.83999999999997,218.07999999999998,216.43999999999997,215.64000000000004,215.2,214.44000000000005,213.2,213.76,213.04000000000002,213.12000000000006,213.75999999999996,214.64,215.07999999999996,216.07999999999996,216.23999999999992,216.07999999999998,216.24,216.48,216.35999999999996,216.44000000000003,216.80000000000007,216.44,216.24,215.68000000000004,215.08000000000004,214.44000000000003,214.04000000000005,213.32,213.44000000000003,213.28,212.8,213.52000000000004,214.0,214.32,214.76,215.76000000000002,216.71999999999997,217.47999999999996,218.36000000000004,219.12,220.00000000000006,219.76,220.4,220.27999999999997,220.51999999999998,220.88,221.44,221.64,222.51999999999998,222.92000000000002,222.56,222.39999999999995,222.04000000000002,221.39999999999998,220.39999999999998,219.24000000000007,216.88000000000005,212.68000000000006,205.64000000000004,197.7600000000001,187.64,176.39999999999998,165.56000000000006,158.40000000000003,155.6,160.71999999999997,175.07999999999996,196.67999999999998,222.23999999999995,249.16,273.19999999999993,290.0,296.43999999999994,272.3600000000001,237.67999999999995,189.9600000000001,129.83999999999997,70.47999999999998,35.67999999999999,7.080000000000001,-11.04,-16.240000000000002,-17.880000000000003,-18.6,-18.8,-19.040000000000003,-19.640000000000004,-19.759999999999998,-19.64,-19.799999999999997,-18.88,-17.879999999999995,-11.639999999999997,32.96000000000001,78.60000000000002,129.88,187.76000000000002,235.88000000000008,239.00000000000006,232.72,212.76000000000005,180.6,151.88,132.39999999999998,124.32000000000001,125.2,135.0,155.56,173.07999999999998,188.00000000000006,201.16000000000003,211.08,210.84,211.5999999999999,211.31999999999994,211.11999999999995,211.20000000000005,211.16000000000003,211.28000000000003,216.24,221.27999999999997,225.64000000000001,230.55999999999997,234.72,235.12000000000003,235.24000000000004,235.19999999999996,235.07999999999996,234.95999999999992,234.28000000000003,234.24000000000004,234.96000000000004,235.04000000000002,235.72000000000006,235.7600000000001,244.76000000000005,247.64000000000004,241.24,228.56000000000006,212.24,178.04000000000008,136.60000000000002,97.84000000000003,62.24000000000001,30.11999999999999,5.640000000000002,-6.000000000000001,-10.879999999999999,-12.560000000000002,-13.879999999999999,-14.280000000000001,-14.399999999999999,-14.16,-14.960000000000003,-14.079999999999998,-20.28,-22.72,-6.5200000000000005,30.719999999999985,71.92000000000002,119.76,165.52,193.52000000000004,198.60000000000002,192.2,176.67999999999998,153.2,125.68,98.56000000000003,77.15999999999998,66.68,67.91999999999999,76.19999999999999,92.55999999999997,111.08000000000001,126.75999999999999,136.35999999999996,142.36,141.15999999999997
10,187.64,176.39999999999998,165.56000000000006,158.40000000000003,155.6,160.71999999999997,175.07999999999996,196.67999999999998,222.23999999999995,249.16,273.19999999999993,290.0,296.43999999999994,272.3600000000001,237.67999999999995,189.9600000000001,129.83999999999997,70.47999999999998,35.67999999999999,7.080000000000001,-11.04,-16.240000000000002,-17.880000000000003,-18.6,-18.8,-19.040000000000003,-19.640000000000004,-19.759999999999998,-19.64,-19.799999999999997,-18.88,-17.879999999999995,-11.639999999999997,32.96000000000001,78.60000000000002,129.88,187.76000000000002,235.88000000000008,239.00000000000006,232.72,212.76000000000005,180.6,151.88,132.39999999999998,124.32000000000001,125.2,135.0,155.56,173.07999999999998,188.00000000000006,201.16000000000003,211.08,210.84,211.5999999999999,211.31999999999994,211.11999999999995,211.20000000000005,211.16000000000003,211.28000000000003,216.24,221.27999999999997,225.64000000000001,230.55999999999997,234.72,235.12000000000003,235.24000000000004,235.19999999999996,235.07999999999996,234.95999999999992,234.28000000000003,234.24000000000004,234.96000000000004,235.04000000000002,235.72000000000006,235.7600000000001,244.76000000000005,247.64000000000004,241.24,228.56000000000006,212.24,178.04000000000008,136.60000000000002,97.84000000000003,62.24000000000001,30.11999999999999,5.640000000000002,-6.000000000000001,-10.879999999999999,-12.560000000000002,-13.879999999999999,-14.280000000000001,-14.399999999999999,-14.16,-14.960000000000003,-14.079999999999998,-20.28,-22.72,-6.5200000000000005,30.719999999999985,71.92000000000002,119.76,165.52,193.52000000000004,198.60000000000002,192.2,176.67999999999998,153.2,125.68,98.56000000000003,77.15999999999998,66.68,67.91999999999999,76.19999999999999,92.55999999999997,111.08000000000001,126.75999999999999,136.35999999999996,142.36,141.15999999999997,138.35999999999996,136.15999999999997,134.15999999999997,131.95999999999998,130.47999999999996,128.96,126.59999999999998,124.87999999999997,122.00000000000001,118.64000000000001,114.32000000000002,111.68000000000004,109.40000000000003,108.40000000000005,108.96000000000001,111.24000000000004,113.72000000000003,115.28000000000003,117.00000000000003,118.48000000000002,118.92000000000002,119.48000000000002,120.76000000000003,121.80000000000001,122.72000000000003,124.24000000000001,125.60000000000002,126.72000000000001,128.47999999999996,129.92,130.79999999999995,132.4,135.12,137.32,140.24,144.04,146.51999999999995,148.48000000000005,151.55999999999995,154.11999999999995,156.35999999999996,159.19999999999993,162.07999999999998,163.72000000000006,165.32000000000002,166.8,167.91999999999996,168.56000000000003,168.84000000000006,169.40000000000003,169.52,170.23999999999995,170.11999999999992,170.39999999999992,170.43999999999997,170.71999999999997,169.24000000000004,167.2,165.04,162.56000000000006,160.11999999999998,159.48
