Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,286.64,288.79999999999995,290.35999999999996,290.92,290.0,288.2,286.48,285.28000000000003,284.72,284.92,285.40000000000003,285.2799999999999,284.08,281.9599999999999,278.28,274.03999999999996,269.4,264.28,258.68,254.15999999999997,249.28000000000003,244.36000000000004,240.71999999999997,237.92000000000002,235.76,233.92000000000002,232.35999999999993,229.44000000000003,226.88,224.27999999999997,222.8,222.12000000000003,222.36,222.84,223.16000000000003,223.55999999999995,223.76,224.40000000000003,224.88000000000002,225.67999999999995,225.59999999999997,225.56,224.8,224.15999999999997,224.16,224.36,225.31999999999996,226.24,228.16,229.88,232.95999999999998,235.20000000000005,238.59999999999997,239.84000000000003,239.68,236.64,231.84,224.83999999999997,217.71999999999997,210.79999999999995,205.88,204.2,205.48,209.56,215.87999999999994,224.36,229.7999999999999,229.83999999999997,224.03999999999994,198.56000000000006,158.8,115.64,76.24,40.120000000000005,22.199999999999996,16.4,14.920000000000002,13.72,13.200000000000003,12.480000000000004,11.560000000000002,11.520000000000003,11.080000000000002,11.240000000000002,11.200000000000003,10.560000000000002,9.76,9.36,8.4,7.48,6.88,6.640000000000001,6.48,6.160000000000002,5.680000000000001,5.760000000000001,5.44,4.920000000000001,4.879999999999999,19.32,62.160000000000004,125.28,191.76,259.0799999999999,321.9599999999999,354.91999999999996,365.64000000000004,370.55999999999995,373.44,364.6,352.28,335.67999999999995,314.2400000000001,287.2,258.88,232.68,211.24000000000007,195.39999999999998,185.92000000000002,179.8,175.76000000000002,173.52000000000007,174.12000000000003,175.68,178.76000000000002,183.92000000000002,191.95999999999998,203.60000000000005,221.16000000000003,246.0,273.84,299.91999999999996,321.31999999999994,334.84,337.24,332.0799999999999,322.67999999999995,312.64,306.32,304.04,305.8399999999999,311.91999999999996,319.12,324.4,327.6000000000001,329.52,330.0799999999999,329.16,328.2800000000001,327.0799999999999,325.6,323.91999999999996,323.6,322.7600000000001,322.7200000000001,323.04,323.96000000000004,324.4,325.08000000000004,325.4,325.71999999999997,325.64000000000004,324.32000000000005,306.84000000000003,286.35999999999996,262.32,235.36,208.92000000000002,197.2,189.19999999999996,190.36
2,286.12,284.8,282.0399999999999,276.9599999999999,268.64,258.28,246.28,233.63999999999996,222.72000000000003,216.32,213.92,214.76000000000002,219.96000000000004,227.60000000000002,236.76000000000005,246.79999999999998,255.83999999999997,262.67999999999995,268.28,271.20000000000005,271.55999999999995,272.20000000000005,272.88,273.03999999999996,272.91999999999996,271.28,267.91999999999996,264.2,261.31999999999994,258.67999999999995,257.32,255.64,253.44,249.64,246.32000000000002,243.23999999999995,241.2,239.88,239.79999999999998,240.6,242.51999999999998,245.95999999999998,251.44,260.48,269.4,278.08000000000004,285.3600000000001,290.0799999999999,290.9200000000001,291.03999999999996,289.84000000000003,288.96,288.55999999999995,289.43999999999994,291.6,295.88,301.31999999999994,306.32000000000005,306.52,300.63999999999993,289.0400000000001,273.59999999999997,253.88,231.11999999999995,202.88,162.12,119.6,81.16000000000001,49.400000000000006,28.000000000000007,22.48,20.799999999999997,20.16,19.439999999999998,18.64,18.56,18.52,17.88,17.560000000000002,16.6,15.96,15.759999999999998,16.04,15.48,16.160000000000004,16.000000000000004,15.920000000000002,15.200000000000003,15.200000000000003,14.399999999999999,14.28,21.04,49.24000000000001,102.51999999999998,160.31999999999994,222.03999999999996,278.72,313.56000000000006,322.36,324.72,319.36,307.68000000000006,261.9200000000001,211.56000000000003,160.2,111.07999999999998,65.72,55.32000000000001,51.55999999999999,51.96,55.08,60.08,66.19999999999999,70.88,74.2,76.39999999999999,77.76,82.47999999999999,96.19999999999999,113.11999999999999,136.20000000000002,164.95999999999995,191.48,210.12,225.63999999999996,235.0,238.03999999999994,239.24,239.64,240.72000000000003,241.68,243.36000000000004,245.56000000000003,248.59999999999997,251.0,253.36,255.24000000000004,256.03999999999996,255.35999999999999,254.72000000000003,252.64000000000001,249.32000000000005,244.43999999999997,237.71999999999997,228.24,217.40000000000003,204.35999999999999,189.07999999999998,174.04,160.55999999999997,148.91999999999996,140.04,134.55999999999997,131.87999999999997,130.15999999999997,131.39999999999998,140.39999999999998,153.76,171.04,192.76000000000002,213.07999999999998,227.08,236.31999999999994,237.63999999999996,229.63999999999993,216.36,198.44,179.84000000000003,163.56000000000003,152.48,145.51999999999998
3,240.15999999999997,228.55999999999997,219.4,216.27999999999997,218.28,224.4,236.4,246.12,249.51999999999998,247.67999999999995,241.92,234.12,224.76,216.03999999999996,208.32,201.47999999999993,195.32,189.60000000000002,182.4,173.76000000000005,163.95999999999995,156.03999999999994,155.32,160.28,169.83999999999997,184.2,199.95999999999995,212.12000000000003,222.92000000000002,232.40000000000003,239.12,243.04,244.84000000000006,244.64,242.47999999999996,239.55999999999997,236.15999999999997,232.52000000000007,228.56,225.07999999999996,223.20000000000002,222.76,224.59999999999997,227.88000000000005,233.08000000000004,238.55999999999997,244.60000000000002,249.48000000000002,252.96000000000004,255.84000000000006,258.4,260.03999999999996,260.40000000000003,261.12,260.16,258.28,255.60000000000008,253.20000000000007,250.2,248.2,245.43999999999997,242.99999999999997,239.64000000000004,232.88,222.76,210.07999999999998,194.72000000000006,177.44,161.76,145.92000000000007,122.03999999999999,93.96000000000001,68.67999999999999,45.599999999999994,25.72,16.84,15.399999999999999,13.919999999999998,12.68,11.319999999999999,11.16,10.52,10.48,9.599999999999998,9.36,8.520000000000001,8.319999999999999,7.76,7.68,7.0,6.5600000000000005,6.12,5.720000000000001,5.6,6.120000000000002,6.159999999999998,17.439999999999998,50.04,106.12,163.15999999999997,221.07999999999998,271.0400000000001,304.76,314.91999999999996,323.5999999999999,331.5200000000001,333.91999999999996,330.0799999999999,323.96000000000004,315.52,303.96,290.31999999999994,259.52,228.31999999999996,198.2,169.59999999999997,144.44000000000003,138.24,136.88,141.60000000000002,171.04,203.04000000000002,234.12000000000003,262.12,283.84000000000003,281.47999999999996,276.4,270.76,265.64,260.20000000000005,255.36000000000007,250.44000000000005,245.56000000000006,238.52000000000004,229.44,216.04,198.76,180.16000000000003,162.92,149.07999999999998,140.07999999999998,141.32000000000005,147.16000000000003,157.16,171.51999999999998,188.43999999999994,200.56,209.52,213.44,211.32000000000005,203.44,191.11999999999995,176.15999999999997,159.51999999999998,142.84,127.80000000000001,115.11999999999999,105.2,98.03999999999999,93.11999999999999,94.91999999999999,109.35999999999999,126.44000000000003,145.99999999999997,166.12,183.00000000000006,190.72000000000003,198.68,208.04000000000002,219.0,229.28000000000003
4,254.64000000000001,256.76,258.92,259.88,259.84000000000003,258.91999999999996,257.0,252.24000000000007,246.51999999999998,239.64000000000001,231.8,224.28000000000006,216.72000000000008,210.64000000000004,208.83999999999997,210.51999999999998,213.39999999999992,223.32000000000002,234.67999999999998,244.0,252.2800000000001,260.79999999999995,264.12,265.68000000000006,266.72,267.32000000000005,266.59999999999997,265.84000000000003,265.15999999999997,264.1600000000001,262.6,261.32000000000005,258.96000000000004,256.20000000000005,252.24,247.60000000000005,242.87999999999994,238.67999999999995,235.27999999999997,232.96,231.92000000000002,231.91999999999996,233.76,237.07999999999998,241.63999999999993,246.71999999999997,251.56,256.28,259.84,263.28,265.76,267.36000000000007,267.0400000000001,266.68,265.04,263.23999999999995,262.36,263.20000000000005,266.8,268.04,265.32,259.2,249.36,232.48000000000002,214.8,195.67999999999998,169.76,132.56,96.40000000000003,63.639999999999986,36.239999999999995,18.119999999999997,14.279999999999998,13.2,12.319999999999997,11.279999999999998,11.199999999999996,10.479999999999999,9.999999999999996,9.519999999999998,9.359999999999998,8.639999999999995,8.519999999999996,8.119999999999996,7.959999999999995,7.639999999999995,7.519999999999995,6.9599999999999955,7.0399999999999965,6.639999999999995,6.359999999999996,5.9199999999999955,5.839999999999997,5.599999999999994,5.599999999999996,6.039999999999998,9.76,27.240000000000002,89.91999999999999,155.0,228.84,296.84000000000003,348.16,351.32000000000005,350.03999999999996,336.0799999999999,320.76000000000005,303.5200000000001,284.56,263.84000000000003,244.04000000000002,226.84000000000003,214.48000000000002,209.03999999999996,211.56,220.44,233.32,248.47999999999996,262.76,274.28,282.8,289.28,294.1600000000001,297.67999999999995,300.16,301.88,303.19999999999993,304.20000000000005,305.5200000000001,308.12,310.76000000000005,313.08000000000004,314.51999999999987,315.67999999999995,315.04,314.72,314.6,314.56000000000006,313.88,313.47999999999996,312.88,312.6000000000001,312.68000000000006,312.40000000000003,311.6400000000001,309.20000000000005,304.1200000000001,295.24000000000007,284.24,269.71999999999997,253.36,238.2,226.2,216.56000000000003,210.64,208.0800000000001,210.51999999999998,216.40000000000003,227.95999999999998,244.83999999999997,262.80000000000007,277.6,288.48,291.32,283.55999999999995,268.03999999999996,247.88000000000002,226.23999999999992,204.35999999999996,195.67999999999998,195.40000000000003
5,226.23999999999992,204.35999999999996,195.67999999999998,195.40000000000003,203.07999999999998,219.35999999999999,242.40000000000003,260.0,276.76,289.91999999999996,297.03999999999985,299.75999999999993,300.15999999999997,299.52,298.15999999999997,295.88,293.12,288.2800000000001,282.24,275.0,256.64000000000004,240.44000000000005,230.2,224.4,221.80000000000004,233.07999999999998,245.20000000000005,254.48,262.76000000000005,270.16,276.32,281.52,286.44000000000005,290.96000000000004,294.0799999999999,296.8,298.84000000000003,300.48,300.4,300.2,299.48,298.36,296.5999999999999,293.91999999999996,290.9599999999999,287.12,283.4,278.84000000000003,274.19999999999993,265.56000000000006,258.03999999999996,250.92000000000004,245.36,242.23999999999998,244.55999999999997,248.59999999999997,252.56,255.64,257.15999999999997,257.68,255.59999999999997,253.16,251.76,250.84000000000003,251.00000000000003,250.76,248.88,245.24,241.04000000000002,229.44000000000005,204.60000000000005,168.20000000000005,125.39999999999999,82.39999999999999,46.08,24.279999999999998,15.64,14.599999999999998,13.839999999999996,12.919999999999996,12.36,11.479999999999999,10.76,10.36,10.279999999999998,9.12,8.519999999999998,8.0,7.2,6.199999999999999,6.24,6.439999999999998,6.4399999999999995,6.439999999999998,6.839999999999999,6.959999999999997,9.52,25.240000000000006,69.16,123.52000000000004,182.47999999999996,245.04000000000002,300.08,328.84,346.36000000000007,358.08000000000004,362.8800000000001,360.2400000000001,353.79999999999995,345.44,334.20000000000005,317.8800000000001,292.76000000000005,257.68000000000006,217.07999999999998,174.39999999999998,133.71999999999997,102.16000000000001,82.08,70.08,64.36000000000001,62.640000000000015,63.08,65.08000000000001,69.28,92.99999999999999,117.80000000000001,142.39999999999998,166.2,187.48,189.07999999999998,189.40000000000003,188.99999999999994,188.71999999999997,189.44,190.8,191.88,192.87999999999997,192.75999999999993,190.60000000000002,187.48,184.51999999999998,181.79999999999995,180.35999999999996,180.4,181.20000000000007,181.88,182.2,182.04000000000002,180.96000000000006,179.72000000000003,179.88,181.16,182.48000000000002,185.59999999999997,189.60000000000002,194.28000000000003,199.64000000000004,206.52,212.76000000000002,217.76000000000005,220.92000000000002,222.76000000000002,222.0,214.12,205.59999999999997,195.19999999999996,183.24,170.76,164.64,159.03999999999996
6,159.59999999999997,166.87999999999994,181.07999999999998,197.55999999999995,211.63999999999993,226.84000000000003,240.32000000000005,247.88,252.48000000000002,256.48,259.2800000000001,261.20000000000005,262.08000000000004,262.7200000000001,261.5600000000001,259.24000000000007,255.72000000000003,250.48000000000002,243.39999999999998,236.03999999999996,227.84000000000003,219.48000000000005,210.88000000000005,203.56,197.83999999999997,195.92,197.24,202.56,215.88,230.0,243.28,255.12,265.48,268.19999999999993,269.6000000000001,269.40000000000003,268.64,268.28,268.80000000000007,268.6400000000001,267.52,265.72,262.0,256.28,250.44,245.92,242.52000000000004,240.92000000000002,244.68,249.56,254.04000000000002,257.96,259.6,257.6,255.20000000000005,254.48000000000002,262.28,272.32000000000005,280.76000000000005,285.11999999999995,283.43999999999994,270.7600000000001,255.68000000000006,237.64000000000001,212.04000000000005,175.2,133.55999999999995,92.92000000000002,56.959999999999994,32.12,23.479999999999997,22.2,21.119999999999997,19.959999999999994,19.4,18.119999999999997,17.319999999999997,17.159999999999997,16.36,15.839999999999998,15.919999999999998,15.759999999999998,14.999999999999998,14.959999999999999,14.999999999999998,14.68,14.44,14.759999999999998,14.839999999999998,14.12,13.879999999999999,13.079999999999997,24.52,68.92,121.68,187.44,252.2,302.43999999999994,316.9600000000001,320.6,308.68000000000006,294.1600000000001,276.44,244.67999999999995,217.08,194.59999999999997,178.88000000000002,172.71999999999997,192.44,215.8,238.4,258.84000000000003,275.1600000000001,281.08,281.48,277.84000000000003,273.1600000000001,268.56000000000006,266.36,266.12,268.88,272.64000000000004,276.88000000000005,279.15999999999997,279.88,279.03999999999996,277.2800000000001,275.31999999999994,273.68,272.96000000000004,272.4,272.52,272.56000000000006,273.0400000000001,272.36,272.36,271.96,271.24,270.6,270.68,270.88,270.96000000000004,271.28,271.8,272.32000000000005,272.32000000000005,269.64000000000004,265.0799999999999,255.40000000000003,240.52,222.07999999999998,205.03999999999996,189.04000000000002,177.76000000000002,170.56000000000003,167.32,174.2,190.07999999999998,210.24,232.48000000000002,255.03999999999996,268.0,270.91999999999996,266.79999999999995,256.71999999999997,237.88000000000002,218.76,200.67999999999998,185.16000000000003,174.68,185.95999999999998
7,167.32,174.2,190.07999999999998,210.24,232.48000000000002,255.03999999999996,268.0,270.91999999999996,266.79999999999995,256.71999999999997,237.88000000000002,218.76,200.67999999999998,185.16000000000003,174.68,185.95999999999998,201.8,219.92,240.31999999999994,261.0,268.71999999999997,273.55999999999995,276.67999999999995,278.52,280.24,281.76,281.96000000000004,280.92,278.12,273.64,266.92,258.24,247.16000000000003,241.32,237.20000000000002,234.35999999999999,233.84000000000003,238.20000000000005,241.51999999999998,247.72000000000003,256.47999999999996,268.88,280.43999999999994,289.16,294.71999999999997,297.12,295.75999999999993,290.55999999999995,284.28,277.48,270.88,264.32000000000005,260.84,258.52,256.59999999999997,257.72,259.12,261.15999999999997,262.44,264.1600000000001,264.44000000000005,266.47999999999996,269.72,273.88,268.2,257.88,242.95999999999998,224.51999999999998,203.68,188.48000000000002,166.56,138.07999999999996,107.64000000000003,78.0,51.959999999999994,36.67999999999999,30.999999999999996,29.44,28.799999999999997,28.16,27.759999999999998,27.040000000000006,26.159999999999997,25.479999999999997,24.72,23.64,23.239999999999995,23.119999999999997,23.119999999999997,23.279999999999998,23.36,23.799999999999997,33.440000000000005,120.28,179.52,242.04000000000002,304.12,354.8799999999999,323.84,316.0400000000001,292.48,267.0,241.4,218.23999999999995,198.07999999999993,188.28000000000003,178.04,163.48000000000002,150.08,138.0,128.64000000000004,121.91999999999999,122.79999999999997,126.39999999999998,132.63999999999996,140.84,150.76,161.56000000000006,191.39999999999998,222.68000000000004,252.15999999999997,278.52,301.76000000000005,302.08000000000004,296.88000000000005,290.24,283.72,278.48,275.68000000000006,274.72,275.32000000000005,277.24,279.48,281.15999999999997,283.20000000000005,284.20000000000005,284.0000000000001,282.88,281.64,279.44,277.36,276.12,274.76,273.64,271.64,270.0799999999999,267.88,266.24,264.8399999999999,264.79999999999995,264.6,264.8,264.88,265.24,265.68,265.84000000000003,266.36,267.32,267.64,268.24,269.36000000000007,269.76,269.76000000000005,270.16,269.84000000000003,269.44,269.15999999999997,269.28,269.44000000000005,269.84000000000003,269.92
8,233.4,231.44,230.56,229.27999999999997,228.88000000000002,228.48000000000002,228.91999999999996,229.52000000000004,231.16000000000003,232.32,236.35999999999996,239.51999999999995,242.32,244.0,244.64,242.2,239.64,236.48000000000002,233.36000000000007,229.68000000000004,224.28,216.35999999999999,200.64,183.76,168.4,159.28000000000003,159.0,172.08000000000004,189.84000000000003,209.8,226.48000000000002,239.36,247.84,253.32000000000002,256.23999999999995,259.19999999999993,261.24,264.12,268.16,272.96000000000004,278.12,282.35999999999996,285.2,286.8,287.72,286.9200000000001,285.36000000000007,283.36,280.96000000000004,279.03999999999996,276.76,274.79999999999995,273.96000000000004,274.2399999999999,274.72,276.36,278.59999999999997,281.1200000000001,283.03999999999996,284.0799999999999,284.59999999999997,284.28,283.03999999999996,282.52,283.2,284.87999999999994,286.80000000000007,281.9599999999999,269.2399999999999,251.64000000000001,230.00000000000009,205.52000000000004,183.16,155.16,122.44,90.4,61.76,38.040000000000006,26.679999999999996,23.959999999999994,23.52,22.359999999999992,21.239999999999995,20.119999999999997,19.08,18.4,17.999999999999996,17.119999999999994,16.479999999999993,15.959999999999994,15.479999999999993,16.319999999999993,62.0,113.15999999999998,174.23999999999995,235.04000000000005,293.19999999999993,305.84000000000003,311.8000000000002,306.19999999999993,299.08000000000004,291.55999999999995,282.28,269.67999999999995,247.67999999999995,225.80000000000007,203.64,183.92,168.48000000000005,164.39999999999998,162.76,164.39999999999992,167.56,172.27999999999997,177.15999999999997,181.79999999999995,187.55999999999995,192.84000000000003,197.87999999999997,203.4,208.92000000000002,212.40000000000003,215.79999999999995,218.52000000000004,220.44000000000003,221.56,222.76,223.23999999999998,223.87999999999994,224.19999999999996,225.28,225.76000000000002,226.64,226.8,227.35999999999996,227.12,227.12,227.07999999999998,227.59999999999997,227.47999999999996,227.47999999999993,227.44000000000003,227.24,226.91999999999993,226.96,227.27999999999997,227.39999999999998,227.36,226.87999999999994,226.68,226.39999999999998,226.47999999999996,226.11999999999995,225.67999999999998,225.24,224.60000000000008,223.6,223.00000000000006,222.8,221.56,220.12,217.72000000000003,214.96,212.24000000000004,210.48000000000002,209.04,208.8,209.2,208.95999999999998,207.83999999999992,199.83999999999997
11,246.88000000000005,246.04000000000005,247.68000000000004,257.84000000000003,267.24,274.3599999999999,274.9200000000001,273.3600000000001,270.6,267.0400000000001,262.56000000000006,257.80000000000007,251.68,239.80000000000004,226.47999999999996,212.95999999999998,199.84000000000003,188.59999999999997,184.12,183.40000000000003,188.28000000000003,195.40000000000003,204.40000000000003,214.04000000000002,222.08,227.36,232.24,235.79999999999998,238.60000000000002,241.96000000000004,245.0,247.76,250.83999999999997,253.88,256.44000000000005,258.0799999999999,258.1600000000001,257.12000000000006,255.20000000000005,252.60000000000002,249.92,247.88,245.92000000000002,244.23999999999995,242.39999999999995,240.64,239.32,238.51999999999998,238.64,239.99999999999994,242.04000000000002,244.79999999999998,247.84,251.15999999999997,253.79999999999998,255.76,256.5199999999999,256.8,256.4,256.48,255.76000000000005,255.15999999999997,253.96000000000004,252.04000000000002,246.44000000000008,237.11999999999995,224.79999999999995,210.88,166.64,125.47999999999999,88.44000000000001,54.51999999999999,22.839999999999996,22.439999999999994,21.88,21.48,20.8,20.560000000000002,19.76,19.36,18.839999999999996,18.399999999999995,17.68,17.28,16.799999999999997,16.959999999999997,17.16,17.04,17.0,17.159999999999997,17.199999999999996,17.119999999999997,17.200000000000003,17.64,18.0,21.76,37.760000000000005,95.24000000000001,150.32,202.43999999999994,250.71999999999997,295.55999999999995,297.5999999999999,300.20000000000005,304.76000000000005,308.80000000000007,302.2000000000001,295.96000000000004,288.23999999999995,265.64,240.84000000000006,216.32000000000005,192.0,170.52,165.24000000000004,163.39999999999992,165.7599999999999,170.99999999999994,178.4000000000001,190.48000000000002,202.80000000000007,212.04000000000005,219.28000000000006,224.32000000000005,224.16000000000003,223.44000000000003,223.44,224.07999999999998,224.84,226.04000000000002,227.28000000000003,229.2,230.28000000000003,231.36000000000004,232.47999999999996,233.07999999999998,232.88,232.88000000000005,233.12,232.36000000000004,232.36000000000007,232.04000000000005,231.84,230.8,230.40000000000006,229.20000000000002,228.64,227.76,227.51999999999992,227.59999999999997,227.32,226.8,226.32,224.15999999999997,220.95999999999998,217.35999999999996,213.67999999999995,210.51999999999998,208.79999999999993,208.20000000000002,209.20000000000002,210.52,210.76000000000002,211.2,211.76000000000002,211.64000000000004,211.36,211.92,213.27999999999997,214.35999999999999,217.43999999999997
12,248.20000000000005,247.76,247.56,247.28000000000003,246.6,245.79999999999998,244.35999999999993,242.04000000000002,239.24,236.99999999999997,233.64000000000001,230.12,223.28000000000003,214.84000000000003,205.83999999999997,198.35999999999999,192.48,192.16,195.4,200.67999999999995,212.20000000000002,224.8,236.20000000000005,247.11999999999998,256.5199999999999,258.76,259.24,258.96000000000004,258.04,258.4400000000001,260.36000000000007,262.12,264.12,266.6,268.15999999999997,269.20000000000005,270.32000000000005,271.44,272.28,269.2799999999999,265.84,261.67999999999995,256.8,250.88000000000002,247.96,244.52,241.07999999999998,237.72,234.24000000000007,231.15999999999994,232.27999999999997,235.51999999999998,240.56,247.91999999999996,256.2,261.28,264.67999999999995,267.03999999999996,265.55999999999995,261.84000000000003,256.72,251.28000000000003,244.83999999999997,238.0,230.15999999999997,220.60000000000008,210.48000000000005,199.96000000000004,183.20000000000007,156.60000000000002,124.32,90.88000000000002,58.519999999999996,35.68,24.759999999999998,22.64,22.32,21.84,20.319999999999997,19.28,18.4,17.599999999999998,16.72,16.759999999999994,16.72,16.159999999999997,15.839999999999996,15.759999999999998,15.079999999999998,14.679999999999998,14.639999999999999,15.159999999999998,15.280000000000001,16.0,17.880000000000003,28.88,44.92,102.6,156.32,211.68,253.24000000000004,296.64,302.16,311.43999999999994,315.8399999999999,323.5200000000001,322.64000000000004,317.0000000000001,310.36,304.67999999999995,296.71999999999997,285.6800000000001,258.44000000000005,231.32,203.92000000000002,179.32,159.28000000000003,157.16,155.80000000000004,158.96000000000004,162.88,167.64,173.72000000000003,181.32,186.2,191.59999999999997,197.0,202.56,207.44000000000005,212.64,217.80000000000004,222.35999999999996,225.12,227.03999999999996,227.48000000000005,227.36,226.88000000000002,225.96000000000004,224.28000000000003,223.56000000000003,222.64000000000004,221.32000000000002,219.76000000000005,219.07999999999998,218.03999999999996,216.56,215.04000000000008,212.40000000000006,209.08000000000004,205.0,201.28000000000003,197.6,194.16000000000003,190.32,185.16000000000003,180.47999999999993,175.48000000000005,171.95999999999998,169.68,169.60000000000002,170.76,172.56,174.56000000000003,176.07999999999998,176.04,164.47999999999996,152.64,140.76,128.92,119.11999999999998,120.75999999999999
