Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1310.08,1319.9999999999995,1327.3199999999997,1329.84,1325.4,1316.9999999999998,1309.16,1303.76,1300.8400000000001,1302.04,1304.4000000000003,1304.1599999999994,1298.76,1289.7199999999998,1272.36,1253.2799999999997,1232.0,1208.7599999999998,1183.3600000000001,1162.9199999999996,1140.5600000000002,1117.92,1101.24,1088.6399999999999,1079.3200000000002,1070.64,1063.5199999999998,1049.88,1037.16,1024.76,1017.4000000000001,1013.8400000000001,1014.12,1015.88,1016.9200000000001,1018.3199999999997,1018.72,1021.6000000000001,1023.9600000000002,1027.1599999999999,1026.8,1026.1200000000001,1022.4000000000001,1019.3199999999999,1019.9199999999998,1021.3199999999999,1026.24,1029.88,1037.3200000000002,1042.76,1054.32,1061.4000000000003,1074.9999999999998,1078.0800000000002,1074.16,1056.6799999999998,1032.28,997.8799999999999,964.6399999999999,933.5999999999997,912.16,905.8000000000002,912.9599999999999,932.3199999999999,962.3599999999997,1003.52,1031.7999999999997,1035.6799999999998,1013.0799999999997,901.3200000000003,721.4000000000001,524.8800000000001,344.4799999999999,178.44,94.39999999999999,67.8,60.44000000000001,54.84,53.00000000000001,50.36000000000002,46.120000000000005,46.84000000000001,44.96000000000001,46.08000000000001,46.000000000000014,43.320000000000014,39.12,37.31999999999999,32.6,27.959999999999997,25.159999999999997,24.08,23.76,22.320000000000004,20.560000000000002,21.12,19.48,16.44,15.759999999999998,73.03999999999999,259.32000000000005,539.16,835.12,1139.5599999999997,1433.12,1591.2399999999998,1647.2800000000004,1675.9199999999996,1690.68,1651.0,1594.3599999999994,1518.3599999999997,1420.6800000000005,1297.6,1168.16,1049.16,951.6800000000003,879.5999999999999,836.44,808.6000000000001,790.3200000000002,780.0400000000003,782.0400000000002,788.1600000000002,801.9200000000001,825.0400000000001,861.3199999999999,915.0000000000003,996.52,1111.6000000000001,1241.08,1363.0399999999997,1463.2399999999998,1526.88,1538.8799999999999,1515.3599999999997,1472.36,1425.6799999999998,1396.24,1385.2800000000002,1392.8799999999999,1421.0399999999997,1455.4399999999998,1481.2,1496.6000000000004,1506.6399999999999,1509.56,1505.52,1501.7600000000002,1496.5599999999993,1489.6,1481.4399999999996,1479.8,1475.3200000000004,1475.0400000000004,1476.2800000000002,1480.52,1482.3999999999996,1485.36,1486.7999999999997,1488.4399999999998,1488.0800000000002,1482.0400000000004,1402.2800000000002,1308.7199999999998,1198.8400000000001,1075.52,954.6400000000001,900.4,863.3999999999999,867.92
2,1296.0400000000002,1290.4,1277.2799999999993,1253.7199999999996,1214.88,1166.9599999999996,1111.76,1053.6799999999998,1003.84,974.8399999999999,964.04,967.1200000000001,990.1200000000002,1023.8000000000002,1064.3200000000002,1109.1999999999998,1149.4799999999998,1180.7599999999998,1206.3600000000001,1220.0,1221.12,1224.6000000000004,1226.9599999999998,1227.0799999999997,1225.8399999999997,1218.3599999999997,1202.8399999999997,1185.8,1172.6399999999999,1160.1599999999999,1153.64,1145.08,1134.48,1117.08,1102.64,1088.2799999999997,1079.3999999999999,1073.56,1072.6000000000001,1075.6,1083.84,1097.5199999999998,1120.68,1159.96,1198.8,1237.16,1270.5200000000004,1293.1599999999999,1298.4400000000005,1300.2799999999997,1295.88,1292.9199999999998,1291.52,1295.8799999999997,1306.6,1326.7600000000002,1352.4399999999994,1375.8400000000001,1377.4399999999998,1351.0799999999997,1299.2800000000007,1229.3999999999999,1140.3600000000001,1038.2399999999998,912.5600000000001,727.64,535.4,360.92,216.60000000000002,117.80000000000001,93.36,85.59999999999998,83.12,80.48,76.88000000000001,76.11999999999999,76.44,73.96,72.12,67.60000000000001,64.92,64.12,65.88000000000001,63.76000000000001,67.92000000000002,67.4,67.04000000000002,63.000000000000014,63.20000000000002,58.99999999999999,58.76,84.88,210.28000000000003,446.2399999999999,709.2399999999997,989.8799999999998,1253.2400000000002,1416.3200000000002,1463.9200000000003,1476.24,1453.5200000000002,1400.9600000000005,1192.8400000000004,963.1200000000001,728.8,503.95999999999987,296.84,248.64000000000004,231.71999999999997,233.52,248.35999999999999,271.56,299.79999999999995,321.56000000000006,337.00000000000006,347.4,353.92,376.75999999999993,439.40000000000003,517.6399999999999,623.4,755.1199999999997,876.76,963.24,1034.6799999999998,1078.6000000000001,1093.0799999999997,1098.6800000000003,1099.88,1104.44,1108.56,1116.1200000000001,1125.7200000000003,1139.9999999999998,1151.0,1161.7200000000003,1170.4800000000002,1174.48,1171.7199999999998,1169.44,1160.6799999999998,1146.2400000000002,1124.2799999999997,1094.04,1050.68,1000.6000000000001,940.7199999999999,870.76,801.2799999999999,739.1199999999999,685.6399999999999,644.4799999999999,619.1199999999999,606.7599999999998,598.9199999999998,604.6,644.8000000000001,705.52,784.0799999999999,882.7200000000001,974.76,1038.5600000000002,1079.2399999999998,1083.8799999999997,1045.6799999999996,983.7199999999999,900.6800000000001,814.8800000000002,739.5200000000002,688.76,656.24
3,1093.9199999999996,1039.32,995.8,980.56,990.16,1019.0000000000001,1075.8,1121.4399999999998,1138.44,1130.1599999999999,1103.64,1067.04,1023.7199999999998,982.8799999999999,947.24,915.9599999999997,887.6399999999999,861.8000000000002,829.4000000000001,790.7200000000003,745.9199999999997,709.8799999999997,706.04,727.76,770.28,834.6,905.5199999999998,960.6400000000002,1009.4400000000002,1051.8000000000002,1081.8400000000001,1098.48,1105.2800000000002,1103.8799999999999,1093.3599999999997,1079.9199999999998,1064.32,1047.2400000000002,1028.32,1011.5599999999997,1001.8,998.9200000000001,1006.0,1019.3600000000004,1041.5600000000002,1064.7199999999998,1089.6,1108.96,1118.9200000000003,1125.2800000000004,1128.4,1126.8799999999999,1119.0000000000002,1117.24,1109.72,1100.96,1090.4000000000003,1083.4000000000003,1073.1999999999998,1067.8,1058.4799999999998,1052.0,1043.88,1021.36,982.9200000000001,932.7599999999998,868.4400000000003,791.8799999999999,720.7199999999999,649.0400000000004,540.48,412.7200000000001,297.9599999999999,193.0,103.04,62.679999999999986,56.4,49.84,45.160000000000004,38.84,38.120000000000005,35.239999999999995,35.16,30.59999999999999,29.119999999999997,25.240000000000002,24.439999999999994,22.119999999999997,21.96,18.799999999999994,16.919999999999998,14.639999999999997,12.24,11.399999999999995,13.440000000000005,11.519999999999996,59.08,204.88,451.84000000000003,705.7199999999999,968.1599999999999,1198.2800000000002,1352.7199999999998,1406.2399999999998,1451.1999999999996,1490.2400000000002,1502.0399999999995,1486.3599999999997,1460.1200000000003,1422.6399999999999,1370.52,1309.0399999999997,1169.2399999999998,1026.84,889.4000000000001,759.1999999999997,644.4800000000001,616.2800000000001,610.36,632.2000000000002,766.88,913.6800000000001,1056.2400000000002,1184.0400000000002,1283.0800000000002,1271.9599999999998,1248.4,1223.12,1201.0800000000002,1177.0000000000002,1155.7200000000003,1133.6800000000003,1110.9200000000003,1078.0400000000002,1036.48,974.28,894.5199999999999,808.72,729.0399999999998,665.1599999999999,623.7599999999999,628.6400000000001,654.9200000000001,700.1200000000001,765.0399999999998,841.8799999999995,897.52,938.0400000000001,955.8800000000001,946.8400000000003,911.48,855.8399999999997,788.3199999999999,713.4399999999999,637.48,569.0,511.03999999999996,465.6,432.08000000000004,409.43999999999994,415.8399999999999,481.52,559.2800000000001,648.5999999999998,740.4399999999999,819.2000000000003,854.24,890.7600000000001,933.4800000000001,983.2000000000002,1029.5600000000002
4,1144.88,1154.5200000000002,1164.0400000000002,1168.5600000000002,1168.0800000000002,1163.8400000000001,1155.0000000000002,1132.8800000000003,1107.04,1076.28,1041.4,1008.3600000000002,974.6400000000003,946.8800000000001,938.48,945.4399999999999,957.5999999999997,1001.6400000000001,1052.36,1093.8,1130.9600000000003,1169.0,1183.8400000000001,1190.5600000000002,1195.2400000000002,1197.8400000000001,1193.9999999999998,1190.08,1186.7199999999998,1180.7200000000003,1172.0,1165.44,1153.3200000000004,1139.2000000000003,1119.6799999999998,1097.4000000000003,1074.1599999999999,1053.7599999999998,1037.36,1026.12,1019.6400000000001,1017.4399999999997,1022.52,1032.56,1046.8799999999999,1062.2399999999998,1075.32,1087.3599999999997,1095.4799999999998,1106.1599999999999,1114.72,1121.5200000000002,1121.0800000000004,1121.56,1115.0800000000002,1107.8799999999999,1105.12,1110.6000000000004,1129.8,1139.88,1135.6399999999999,1117.3999999999999,1083.12,1015.1600000000002,941.8,859.56,745.3199999999999,578.32,416.0000000000001,268.87999999999994,145.07999999999998,62.03999999999998,45.15999999999998,39.999999999999986,36.639999999999986,32.15999999999998,32.59999999999998,29.15999999999999,27.599999999999984,25.63999999999999,24.919999999999987,21.279999999999976,20.839999999999982,19.039999999999978,18.119999999999973,16.479999999999976,16.439999999999976,13.919999999999979,14.079999999999979,11.879999999999974,10.71999999999998,8.23999999999998,7.679999999999987,6.799999999999975,6.9999999999999805,9.279999999999989,22.319999999999997,98.47999999999999,379.64,668.8000000000002,1003.48,1316.4800000000002,1553.1200000000001,1571.8400000000004,1573.6799999999998,1512.5599999999995,1444.7200000000003,1368.0400000000004,1283.1200000000001,1189.68,1099.88,1021.6800000000002,965.5600000000002,941.0799999999997,953.32,994.68,1055.24,1126.1599999999999,1192.12,1245.3600000000001,1284.6000000000001,1313.3600000000001,1335.1200000000001,1350.9599999999998,1362.52,1370.5600000000002,1376.7999999999997,1381.2000000000003,1387.0400000000004,1398.8400000000001,1410.7200000000003,1421.5600000000002,1428.4399999999996,1434.3599999999997,1431.28,1429.8400000000004,1429.6000000000004,1429.5200000000002,1426.56,1424.9599999999998,1422.1600000000003,1420.2000000000003,1420.5600000000006,1418.6000000000001,1414.8800000000003,1403.6000000000004,1380.8400000000008,1339.8800000000006,1290.0800000000002,1223.8399999999997,1148.1200000000001,1078.1999999999998,1023.0,978.1200000000001,950.68,939.7600000000003,950.8399999999998,978.0000000000002,1030.5199999999998,1106.8799999999999,1187.6000000000004,1254.4,1303.16,1316.04,1280.1200000000001,1209.8799999999999,1118.16,1019.4799999999996,919.5199999999996,880.3599999999999,878.4000000000001
5,1019.4799999999996,919.5199999999996,880.3599999999999,878.4000000000001,913.5599999999998,987.3199999999998,1092.0000000000002,1172.1999999999998,1249.72,1309.84,1343.2799999999993,1356.3199999999997,1358.5199999999998,1355.24,1349.52,1339.16,1327.2400000000002,1305.7600000000002,1278.6800000000003,1245.4000000000003,1162.0800000000002,1087.6800000000003,1040.6,1014.2,1002.4000000000001,1052.7599999999998,1107.2000000000003,1148.76,1185.1200000000003,1217.92,1245.2399999999998,1268.4399999999998,1289.8799999999999,1309.9200000000003,1322.7599999999998,1334.2,1342.68,1348.7600000000004,1346.7999999999997,1344.3999999999999,1339.5600000000002,1332.92,1324.1999999999996,1311.44,1297.7199999999998,1279.44,1260.8000000000002,1237.6800000000003,1213.1999999999998,1165.5200000000002,1121.48,1078.6400000000003,1041.7200000000003,1016.68,1020.7199999999998,1035.3999999999999,1051.52,1065.28,1072.52,1075.7600000000002,1066.9999999999998,1056.52,1050.9199999999998,1048.48,1052.8000000000002,1057.92,1058.1599999999999,1051.68,1042.48,999.4800000000002,894.4000000000003,734.0000000000003,542.8,350.0,185.95999999999995,87.16,48.08,43.999999999999986,41.27999999999999,38.03999999999998,35.72,31.95999999999999,29.119999999999997,26.919999999999995,26.559999999999985,21.03999999999999,18.23999999999999,15.799999999999995,12.399999999999999,7.999999999999992,8.679999999999998,9.679999999999986,10.079999999999988,10.279999999999985,11.879999999999994,12.119999999999985,22.640000000000004,88.68000000000002,284.92,526.4400000000002,789.5599999999997,1076.48,1334.1599999999999,1470.2799999999997,1558.52,1619.9599999999998,1643.9600000000005,1633.2800000000007,1605.8,1568.6799999999998,1518.6,1445.1600000000003,1331.92,1173.1600000000003,989.16,794.5999999999998,608.8399999999999,464.32000000000005,371.96,316.16,289.72,280.48,280.36,287.5600000000001,305.36000000000007,413.5999999999999,528.0,642.3999999999999,753.5999999999999,852.9599999999998,861.3599999999998,864.2,862.7999999999997,861.4399999999998,864.88,872.0,877.16,882.3599999999998,881.9199999999997,872.4000000000001,857.56,843.8399999999998,831.1999999999996,824.9199999999997,825.3999999999999,829.4000000000003,832.56,833.8000000000001,832.6800000000001,826.7200000000003,820.24,820.1599999999999,824.92,830.3600000000001,843.7999999999998,861.2,882.1600000000001,906.2800000000003,937.2400000000002,965.3200000000002,987.5200000000002,1001.4400000000002,1009.32,1004.8000000000002,968.24,928.5999999999998,879.9999999999998,824.8800000000001,767.72,739.88,714.68
6,717.7999999999998,751.3599999999997,815.56,890.7199999999998,954.8799999999997,1023.8800000000001,1085.0400000000004,1119.56,1140.16,1158.3600000000001,1170.9600000000005,1179.4000000000005,1182.9600000000005,1185.8400000000006,1180.3200000000006,1169.4800000000002,1153.4400000000003,1130.16,1098.6,1065.48,1028.48,990.9600000000003,951.9600000000003,918.72,892.8799999999999,884.04,889.0800000000002,911.9200000000001,970.56,1032.8000000000002,1091.56,1144.04,1190.1600000000003,1201.5999999999997,1207.6000000000004,1206.6,1203.08,1201.56,1203.6000000000001,1201.6800000000003,1195.44,1185.8400000000001,1166.8000000000004,1138.76,1109.8799999999999,1086.64,1067.64,1056.64,1065.76,1080.3200000000002,1093.28,1105.72,1112.4,1108.4,1102.8000000000002,1105.9600000000003,1148.56,1197.8400000000001,1239.5200000000002,1262.8399999999997,1257.8799999999997,1201.3200000000004,1134.16,1054.0800000000002,940.6800000000003,776.0,589.3199999999997,407.0400000000001,245.11999999999995,132.64000000000001,93.75999999999999,88.39999999999999,83.44,78.11999999999996,74.99999999999997,68.83999999999997,64.83999999999997,64.31999999999998,60.719999999999985,59.07999999999998,59.63999999999997,59.919999999999995,56.39999999999999,56.31999999999999,56.59999999999998,55.55999999999999,54.07999999999999,56.12,57.079999999999984,53.83999999999999,52.75999999999999,49.55999999999999,101.63999999999999,298.64,539.16,846.0799999999999,1147.8000000000002,1383.08,1460.5200000000007,1483.6000000000001,1427.96,1360.9200000000005,1278.6799999999998,1131.3599999999997,1002.96,898.3999999999999,825.1600000000001,796.4399999999999,888.0799999999999,996.8000000000001,1101.8,1196.88,1273.1200000000003,1300.9599999999998,1303.1599999999999,1287.0800000000004,1265.7200000000003,1245.1200000000003,1235.3200000000002,1234.4400000000003,1247.1599999999999,1264.8800000000003,1284.3600000000001,1294.92,1298.16,1294.28,1285.9600000000005,1276.6399999999999,1268.96,1265.7200000000003,1263.4,1264.04,1264.7200000000003,1267.2800000000002,1263.7199999999998,1263.5200000000002,1261.9199999999998,1258.08,1254.8,1255.3600000000001,1256.3600000000001,1256.1200000000003,1257.7599999999998,1260.4,1262.6400000000003,1262.8400000000004,1250.48,1229.3599999999994,1184.2000000000003,1115.2400000000002,1029.1599999999999,949.4799999999999,874.0799999999999,821.1200000000001,786.7200000000001,771.0399999999998,802.2,874.3600000000001,966.4799999999999,1068.5600000000002,1172.08,1231.6,1245.84,1226.9999999999998,1180.4399999999998,1092.7600000000002,1003.72,919.3599999999999,846.5200000000001,797.76,848.72
7,771.0399999999998,802.2,874.3600000000001,966.4799999999999,1068.5600000000002,1172.08,1231.6,1245.84,1226.9999999999998,1180.4399999999998,1092.7600000000002,1003.72,919.3599999999999,846.5200000000001,797.76,848.72,921.6000000000001,1004.6400000000001,1099.0399999999997,1193.8,1230.04,1252.3199999999997,1266.7599999999998,1275.04,1282.88,1289.72,1290.5200000000004,1285.84,1272.8400000000001,1252.8799999999999,1222.24,1182.68,1132.7200000000003,1106.4399999999998,1087.8000000000002,1075.12,1073.2800000000002,1092.8000000000002,1107.6399999999999,1134.8400000000001,1174.5599999999997,1230.96,1283.4799999999996,1322.9199999999998,1349.0399999999997,1358.6399999999999,1351.1199999999997,1324.9199999999998,1293.3599999999997,1259.16,1227.36,1194.44,1174.2799999999997,1158.24,1143.1999999999998,1142.04,1143.24,1150.12,1157.6799999999998,1168.5200000000004,1173.6800000000003,1187.9599999999998,1207.44,1229.3599999999997,1205.0,1159.16,1090.12,1005.2399999999998,908.5600000000002,838.9600000000003,740.32,612.3599999999999,476.28000000000014,343.99999999999994,227.32,157.95999999999998,132.59999999999997,125.48,122.4,119.72,117.91999999999999,114.68,110.72,107.55999999999999,103.83999999999997,98.88000000000001,97.07999999999998,96.44,97.23999999999998,97.95999999999998,98.32000000000001,99.99999999999999,136.88000000000002,587.56,856.44,1140.48,1423.24,1660.9599999999991,1462.8799999999999,1427.4800000000002,1320.1600000000003,1203.5999999999997,1086.8000000000002,981.6799999999997,890.1599999999996,845.3600000000002,798.6800000000001,731.76,670.36,615.2000000000002,572.4800000000002,541.8399999999999,545.9999999999998,562.3999999999999,590.6799999999997,628.0799999999999,673.12,722.3200000000003,860.6,1005.9600000000002,1142.7199999999998,1265.6399999999999,1374.1200000000003,1375.96,1351.7600000000002,1321.68,1291.64,1267.7600000000002,1254.5600000000004,1250.64,1253.0400000000002,1261.6800000000003,1271.96,1280.12,1289.6,1294.2000000000005,1293.0000000000005,1287.3600000000001,1281.2800000000002,1270.68,1261.12,1255.8399999999997,1249.92,1244.88,1236.08,1228.9599999999998,1218.96,1211.88,1205.8799999999997,1205.9999999999998,1205.4,1206.4,1206.96,1208.2800000000002,1209.96,1210.28,1212.52,1216.8400000000001,1218.48,1221.0799999999997,1226.5200000000004,1228.7200000000003,1228.3200000000004,1229.92,1228.68,1226.88,1225.72,1226.7599999999998,1227.8800000000003,1229.8800000000003,1230.64
8,1055.0,1046.48,1042.92,1037.1599999999999,1036.16,1034.3600000000001,1035.84,1038.2400000000002,1045.72,1050.24,1068.9199999999998,1083.6399999999999,1096.2399999999998,1103.8,1106.6799999999998,1095.1999999999998,1083.28,1068.7600000000002,1054.1200000000003,1037.3600000000001,1012.7600000000002,976.7199999999998,905.4799999999999,829.12,759.2,717.36,715.5999999999999,775.5600000000003,856.6800000000003,948.3999999999999,1025.5600000000002,1085.1200000000001,1123.88,1148.64,1161.2799999999997,1174.1999999999998,1183.08,1195.64,1213.92,1235.3200000000004,1258.4399999999998,1277.5199999999998,1289.9999999999998,1296.4,1300.2400000000002,1296.0400000000004,1288.5200000000004,1278.9200000000003,1267.3200000000002,1258.2799999999997,1247.12,1235.5999999999997,1228.9200000000003,1227.6799999999996,1226.24,1230.1200000000001,1238.1999999999998,1247.6400000000003,1253.88,1256.1599999999994,1256.3999999999999,1252.96,1245.4799999999998,1242.6399999999999,1246.4,1255.5599999999997,1268.4000000000005,1251.1199999999994,1197.4799999999996,1121.48,1026.4000000000005,916.44,815.9200000000001,689.9199999999998,542.0799999999999,397.0,266.92,159.48000000000002,107.55999999999999,95.31999999999998,93.63999999999999,88.71999999999997,83.67999999999996,78.83999999999999,74.35999999999999,71.39999999999998,69.59999999999998,65.43999999999997,62.35999999999998,59.51999999999997,57.35999999999997,60.43999999999997,260.6,488.31999999999994,764.6799999999998,1040.2800000000002,1304.7999999999997,1369.88,1401.8000000000009,1377.5999999999997,1345.56,1312.3199999999995,1270.76,1214.36,1114.7599999999998,1016.0000000000002,915.28,825.64,754.9600000000002,736.1999999999998,728.7199999999999,736.3999999999997,750.32,772.1599999999999,794.92,816.5999999999998,843.3199999999998,868.0800000000002,891.3599999999999,916.8,942.04,957.6000000000001,973.1999999999999,986.0400000000002,994.8800000000001,1000.1200000000001,1005.72,1007.8799999999999,1010.5599999999997,1012.1999999999998,1016.76,1018.7200000000001,1023.0799999999998,1024.0000000000002,1026.52,1025.44,1025.24,1024.56,1026.7999999999997,1026.1599999999999,1026.7599999999998,1027.2800000000002,1026.6799999999998,1025.4399999999996,1025.9199999999998,1027.36,1027.7999999999997,1027.52,1024.7599999999998,1023.7600000000002,1022.1999999999999,1022.36,1020.8399999999997,1019.16,1017.2800000000001,1014.2000000000003,1009.6,1006.8000000000004,1005.6000000000001,999.7199999999999,993.4399999999999,982.44,969.32,957.0800000000003,948.7600000000001,941.8800000000001,940.8000000000002,942.9999999999998,941.72,936.6799999999996,899.8799999999999
11,1112.9600000000003,1109.0800000000004,1116.16,1162.48,1205.68,1238.3199999999997,1240.6400000000003,1233.5200000000002,1221.0,1205.0800000000004,1184.9200000000003,1163.4000000000003,1135.56,1080.8000000000002,1019.1599999999999,956.92,896.6800000000002,844.8,824.2399999999999,820.6000000000001,842.5600000000001,874.2000000000002,914.8000000000002,958.2800000000001,994.3600000000001,1017.3200000000002,1038.48,1053.6000000000001,1065.2,1079.52,1093.4,1106.12,1119.8799999999999,1133.16,1144.4800000000002,1151.1599999999999,1150.7200000000003,1145.64,1136.4,1124.3999999999999,1111.6399999999999,1101.76,1092.04,1083.4799999999998,1073.5999999999997,1063.8799999999999,1056.24,1050.6399999999999,1049.6799999999998,1053.9999999999998,1061.28,1071.3999999999996,1083.48,1097.32,1108.1999999999998,1116.92,1121.2399999999996,1123.2,1122.6,1125.3600000000001,1124.5200000000002,1123.7199999999998,1120.92,1115.0800000000002,1093.2800000000004,1055.0399999999997,1003.7999999999998,944.1599999999999,743.8799999999999,556.16,386.0800000000001,230.03999999999996,85.07999999999998,84.07999999999997,81.96,80.56,78.0,76.52,72.72000000000001,70.92,68.88,66.6,63.56,61.96,59.8,60.519999999999996,61.52,61.08,60.39999999999999,61.72,62.399999999999984,62.040000000000006,62.40000000000001,64.88000000000001,65.4,77.92,147.92000000000004,398.68000000000006,638.8399999999999,870.0799999999997,1090.6399999999999,1293.7199999999998,1310.3999999999992,1329.2,1353.7200000000003,1372.4000000000003,1342.6000000000004,1314.12,1279.4799999999996,1177.2800000000002,1065.2800000000004,954.6400000000003,845.0,747.6400000000001,723.8800000000001,715.9999999999997,728.1199999999994,752.5999999999997,787.2000000000005,842.7600000000001,898.8000000000003,940.4800000000002,973.7600000000002,996.6400000000002,995.7200000000001,993.0800000000002,993.2799999999999,996.1599999999999,999.88,1005.2800000000002,1010.3600000000001,1019.7999999999998,1024.9600000000003,1030.1200000000003,1035.7599999999998,1039.3599999999997,1037.7599999999998,1037.9600000000003,1039.04,1035.1200000000001,1035.1200000000003,1034.0800000000002,1033.68,1029.2,1028.0000000000002,1022.0000000000001,1019.08,1014.7199999999998,1013.4399999999996,1013.9999999999999,1013.4399999999999,1011.6000000000001,1009.6399999999999,1000.1199999999999,985.3199999999999,968.5199999999999,951.96,937.8399999999997,930.1999999999996,927.8,933.0,939.0400000000002,939.9200000000001,941.8,944.7200000000001,943.8800000000001,942.5200000000002,945.2399999999999,951.3599999999998,955.7199999999999,969.4799999999998
12,1108.6000000000004,1107.1200000000001,1106.92,1106.1600000000003,1103.6000000000001,1100.2,1093.3199999999997,1082.48,1069.48,1059.6,1043.88,1028.24,997.9600000000002,960.0800000000003,918.8799999999999,885.3199999999999,858.5600000000001,856.92,871.0000000000001,894.9599999999997,947.0,1003.8000000000002,1054.8000000000002,1104.2399999999998,1146.2399999999996,1155.9199999999998,1157.4799999999998,1155.12,1150.2800000000002,1151.4800000000005,1159.5200000000002,1166.8400000000001,1175.44,1185.6000000000001,1192.32,1196.0000000000005,1200.0400000000002,1204.08,1207.7599999999998,1192.9599999999996,1176.8799999999999,1157.9599999999998,1136.4,1109.5600000000002,1096.7199999999998,1081.2400000000002,1066.3600000000001,1051.24,1035.6800000000003,1022.1199999999997,1026.7599999999998,1040.44,1062.32,1094.4399999999998,1131.0,1153.76,1168.1599999999999,1178.48,1173.12,1158.2800000000002,1137.44,1116.3600000000001,1091.08,1062.6,1029.5199999999998,988.4000000000004,944.3600000000004,897.9200000000002,824.8000000000004,707.2000000000002,558.64,404.16000000000014,254.04000000000002,145.96,91.11999999999999,82.48000000000003,80.84000000000002,78.88,71.64,65.96000000000001,60.39999999999999,56.999999999999986,52.839999999999996,52.91999999999998,52.839999999999996,50.11999999999998,48.07999999999998,47.31999999999999,44.160000000000004,42.35999999999999,42.28,45.519999999999996,46.36000000000001,49.6,56.76,104.36,174.04000000000002,429.19999999999993,664.2399999999999,910.7600000000001,1099.2800000000004,1296.28,1325.3200000000002,1375.0799999999997,1400.0799999999997,1436.0400000000006,1434.0800000000002,1410.8000000000006,1381.52,1356.36,1321.4399999999998,1271.7600000000004,1148.2800000000004,1025.2399999999998,901.04,789.44,699.1600000000001,690.52,685.6000000000001,701.9200000000002,721.36,743.4799999999999,771.6400000000001,806.2399999999999,828.1999999999998,852.3999999999997,876.8000000000001,901.5200000000001,923.2800000000001,946.6799999999998,969.6000000000001,990.3199999999999,1003.2400000000001,1012.48,1014.7600000000002,1014.9200000000002,1013.1600000000001,1009.5200000000003,1001.9600000000002,998.72,994.6800000000001,988.8400000000001,981.5200000000002,978.36,973.48,965.92,958.8800000000003,947.2000000000003,932.5600000000002,914.7999999999998,898.9600000000002,882.8,867.52,850.4399999999999,826.5200000000001,805.1599999999997,782.1600000000002,766.1199999999999,755.96,755.8000000000003,761.3199999999999,769.5199999999999,777.5200000000001,782.76,781.08,726.9599999999997,671.2799999999999,616.7199999999998,561.8399999999999,516.6399999999999,523.92
