Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1015.3599999999999,1023.0399999999997,1028.6799999999998,1030.6399999999999,1027.24,1020.7599999999999,1014.6800000000001,1010.48,1008.2800000000002,1009.16,1010.9600000000003,1010.7199999999996,1006.52,999.3999999999997,986.0399999999998,971.1999999999998,954.7199999999999,936.6799999999998,916.96,901.0799999999998,883.7600000000001,866.2400000000001,853.3199999999999,843.52,836.2,829.5200000000001,823.9999999999998,813.48,803.8000000000001,794.28,788.6800000000001,786.0000000000001,786.36,787.8,788.6800000000001,789.8399999999998,790.24,792.4800000000001,794.2800000000001,796.8399999999998,796.56,796.1200000000001,793.2800000000001,790.92,791.2799999999999,792.28,796.0,798.9200000000001,804.9200000000001,809.5600000000001,818.9599999999999,825.0000000000002,835.8799999999999,838.72,836.2400000000001,823.3199999999998,804.84,778.5999999999999,752.9599999999999,728.7999999999997,712.0,706.8400000000001,712.16,727.04,750.1199999999998,781.6,802.9199999999997,805.2799999999999,787.0799999999997,699.6400000000002,559.8800000000001,407.44000000000005,267.67999999999995,139.16,74.39999999999999,53.8,48.20000000000001,43.88,42.36000000000001,40.20000000000002,36.92,37.32000000000001,35.84,36.64000000000001,36.56000000000001,34.44000000000001,31.279999999999998,29.879999999999995,26.28,22.759999999999998,20.599999999999998,19.759999999999998,19.44,18.320000000000004,16.880000000000003,17.28,16.04,13.8,13.359999999999998,59.28,205.32000000000002,423.71999999999997,654.48,890.9999999999998,1117.4399999999998,1238.6799999999998,1280.8800000000003,1301.9999999999998,1313.16,1282.28,1238.4399999999996,1179.5599999999997,1103.8000000000004,1008.3199999999999,908.0,815.64,740.0000000000002,684.0799999999999,650.6,629.0000000000001,614.8000000000002,606.8400000000003,608.5200000000001,613.4400000000002,624.1600000000001,642.1600000000001,670.3599999999999,711.8800000000002,774.84,863.7600000000001,963.7199999999999,1057.7599999999998,1134.9999999999998,1184.0,1193.12,1174.8799999999997,1141.56,1105.52,1082.8,1074.4,1080.3999999999999,1102.1599999999999,1128.56,1148.24,1160.0400000000002,1167.6,1169.8,1166.6399999999999,1163.6800000000003,1159.5999999999995,1154.24,1147.9999999999998,1146.76,1143.4000000000003,1143.2000000000003,1144.2000000000003,1147.48,1148.9599999999998,1151.28,1152.3999999999999,1153.6399999999999,1153.3600000000001,1148.6800000000003,1086.8400000000001,1014.3199999999998,929.1600000000001,833.5999999999999,739.9200000000001,698.0,669.3999999999999,673.04
2,1006.5200000000001,1002.0800000000002,991.9999999999995,973.7999999999997,943.84,906.7999999999997,864.08,819.1199999999999,780.48,757.9599999999999,749.56,752.0800000000002,770.0400000000002,796.3600000000001,828.0000000000001,862.9599999999999,894.3599999999999,918.5999999999999,938.44,948.96,949.9199999999998,952.5200000000002,954.4799999999999,954.6799999999997,953.8399999999998,948.0399999999998,936.0399999999998,922.8399999999999,912.6399999999999,903.0399999999998,898.0400000000001,891.56,883.4399999999999,869.96,858.6400000000001,847.5599999999998,840.5999999999999,836.04,835.4000000000001,837.84,844.3199999999999,855.2799999999999,873.5600000000001,904.3600000000001,934.8,964.7600000000001,990.6000000000004,1007.9599999999998,1011.8000000000003,1012.9999999999999,1009.4000000000001,1006.9199999999998,1005.76,1009.0799999999997,1017.24,1032.7600000000002,1052.5199999999995,1070.5600000000002,1071.6799999999998,1051.1599999999999,1010.8000000000004,956.5199999999999,887.32,807.8399999999998,709.84,566.28,416.91999999999996,281.48,169.48000000000002,93.08000000000001,74.0,67.99999999999999,66.0,63.84,61.040000000000006,60.519999999999996,60.68,58.68,57.32,53.84,51.720000000000006,51.08,52.36000000000001,50.64000000000001,53.68000000000001,53.24000000000001,52.960000000000015,49.96000000000001,50.08000000000001,46.919999999999995,46.68,67.75999999999999,165.56000000000003,349.75999999999993,553.7999999999997,771.5599999999998,974.9200000000001,1100.64,1136.2400000000002,1145.52,1127.6000000000001,1086.7200000000003,925.2400000000004,747.1200000000001,565.4399999999999,391.2399999999999,230.67999999999998,193.44000000000003,180.27999999999997,181.68,193.07999999999998,211.0,232.83999999999995,249.64000000000004,261.56000000000006,269.56,274.56,292.03999999999996,340.6,401.0799999999999,483.0,585.0399999999997,679.24,746.04,801.3199999999999,835.1600000000001,846.2799999999997,850.6000000000001,851.64,855.2400000000001,858.4799999999999,864.3600000000001,871.8800000000001,882.8799999999999,891.4,899.7200000000001,906.4800000000002,909.52,907.3199999999999,905.44,898.52,887.2000000000002,870.1199999999999,846.5999999999999,813.0,774.2800000000001,727.92,673.72,619.9999999999999,571.92,530.5199999999999,498.7199999999999,479.1199999999999,469.55999999999983,463.47999999999985,467.88,499.20000000000005,546.3199999999999,607.28,683.8400000000001,755.32,804.8000000000001,836.5999999999999,840.4399999999998,811.1199999999998,763.3199999999999,699.16,632.8000000000002,574.5600000000002,535.24,510.15999999999997
3,848.4799999999998,806.4399999999999,773.0,761.3599999999999,768.72,790.9200000000001,834.5999999999999,869.7599999999999,882.68,876.2399999999999,855.72,827.52,794.0399999999998,762.56,735.0,710.7599999999998,688.8399999999999,668.7600000000001,643.5600000000001,613.4400000000002,578.7199999999998,550.7599999999998,547.88,564.88,598.04,648.12,703.2799999999997,746.0800000000002,784.0000000000001,817.0000000000002,840.4000000000001,853.52,859.0400000000002,858.0399999999998,849.9999999999998,839.5999999999999,827.5199999999999,814.3600000000002,799.84,786.9999999999998,779.64,777.5600000000001,783.28,793.9200000000003,811.4000000000001,829.6799999999998,849.4399999999999,864.96,873.7200000000001,879.8400000000003,883.76,884.1599999999999,879.7200000000001,879.24,873.96,867.2,858.7200000000003,852.6000000000003,844.0799999999999,839.24,831.4399999999998,825.5999999999999,818.0400000000002,799.12,767.96,727.7199999999998,676.8400000000003,617.0799999999999,561.8399999999999,506.1600000000003,421.92,322.80000000000007,233.71999999999994,152.28,82.4,51.07999999999999,46.16,41.04,37.24,32.36,31.8,29.56,29.48,26.039999999999992,24.959999999999997,21.96,21.319999999999997,19.479999999999997,19.32,16.879999999999995,15.399999999999999,13.679999999999998,11.920000000000002,11.319999999999997,12.960000000000004,11.839999999999996,49.4,162.95999999999998,356.0,553.9599999999999,757.7599999999999,935.8000000000002,1055.4399999999998,1095.6799999999998,1129.5999999999997,1159.3600000000001,1168.3599999999997,1155.8799999999997,1135.2400000000002,1106.0,1065.48,1017.6799999999997,909.1599999999999,798.7599999999999,692.2,591.1999999999998,502.24000000000007,480.36000000000007,475.71999999999997,492.6000000000001,596.96,710.6400000000001,821.0400000000001,920.1200000000001,996.9200000000001,988.3599999999999,970.16,950.48,933.1600000000001,914.3600000000002,897.7200000000001,880.5600000000002,863.0000000000002,837.6400000000002,805.4399999999999,757.4,695.7199999999999,629.36,567.7599999999999,518.3599999999999,486.31999999999994,490.2400000000001,510.68000000000006,545.8000000000001,596.2399999999999,655.8799999999997,698.96,730.44,744.2800000000001,737.1600000000002,709.64,666.3999999999997,613.92,555.68,496.76,443.64000000000004,398.71999999999997,363.52000000000004,337.68,320.15999999999997,325.43999999999994,376.4,436.7200000000001,505.95999999999987,577.16,637.9200000000002,665.12,693.4000000000001,726.5200000000001,765.1200000000001,801.1600000000002
4,890.64,898.1200000000001,905.5600000000002,909.0400000000001,908.7200000000001,905.44,898.6000000000001,881.5200000000003,861.44,837.48,810.28,784.4400000000002,758.1600000000003,736.6400000000001,730.16,735.68,745.2799999999997,779.6400000000001,819.1599999999999,851.48,880.4000000000002,910.04,921.6,926.8800000000002,930.5200000000001,932.5600000000002,929.6799999999998,926.72,924.1599999999999,919.7600000000002,913.28,908.32,899.1600000000003,888.4800000000001,873.5999999999999,856.5200000000002,838.7999999999998,823.1999999999998,810.6399999999999,802.04,797.32,795.9999999999998,800.52,809.1999999999999,821.4399999999998,834.7199999999999,846.4399999999999,857.4399999999998,865.1599999999999,874.3199999999999,881.44,886.8000000000002,886.2800000000002,886.28,881.08,875.3199999999999,872.9599999999999,876.9200000000002,891.3199999999999,898.3600000000001,893.6399999999999,877.7999999999998,849.36,795.0800000000002,736.92,672.28,583.0,453.04,326.7200000000001,212.23999999999995,116.03999999999998,51.719999999999985,38.51999999999999,34.55999999999999,31.83999999999999,28.31999999999999,28.519999999999982,25.879999999999992,24.559999999999988,22.999999999999993,22.43999999999999,19.679999999999982,19.319999999999986,17.919999999999984,17.23999999999998,15.999999999999982,15.879999999999981,13.919999999999984,14.079999999999984,12.43999999999998,11.519999999999984,9.679999999999986,9.27999999999999,8.559999999999981,8.679999999999986,10.399999999999991,21.2,80.88,299.71999999999997,525.2800000000001,785.16,1027.3600000000001,1210.4,1224.1600000000003,1224.2399999999998,1176.3999999999996,1123.4400000000003,1063.6400000000003,997.5200000000001,924.8800000000001,855.1600000000001,794.4800000000001,750.9200000000001,731.8799999999998,741.24,773.16,819.8000000000001,874.4799999999999,925.48,966.6400000000001,997.0000000000001,1019.44,1036.4,1048.7199999999998,1057.6399999999999,1063.8400000000001,1068.6399999999999,1072.0800000000002,1076.6400000000003,1085.8000000000002,1095.0400000000002,1103.4,1108.6799999999996,1113.1599999999999,1110.8,1109.6800000000003,1109.4400000000003,1109.3600000000001,1107.04,1105.7599999999998,1103.6000000000001,1102.2000000000003,1102.4800000000005,1101.0800000000002,1098.2400000000002,1089.5200000000002,1071.8000000000006,1040.1200000000003,1001.4400000000002,950.0799999999998,891.5600000000001,837.4799999999999,794.76,760.1200000000001,738.92,730.3200000000003,738.9199999999998,759.9200000000002,800.6799999999998,859.9999999999999,922.8000000000002,974.7200000000001,1012.6800000000001,1022.68,994.9200000000001,940.3599999999999,869.2,792.6799999999996,715.1999999999997,684.7599999999999,683.36
5,792.6799999999996,715.1999999999997,684.7599999999999,683.36,710.5999999999999,767.8799999999999,849.1200000000001,911.3199999999999,971.24,1017.8399999999999,1043.5999999999995,1053.5999999999997,1055.2399999999998,1052.76,1048.24,1040.2,1030.8400000000001,1014.0800000000003,993.0000000000001,967.2400000000002,902.5600000000001,844.9600000000003,808.5199999999999,788.0400000000001,778.8800000000001,818.1199999999999,860.4800000000001,892.8399999999999,921.2800000000003,946.88,968.1999999999998,986.2799999999999,1003.0799999999999,1018.7200000000001,1028.9199999999998,1037.96,1044.68,1049.6400000000003,1048.3999999999999,1046.8,1043.3200000000002,1038.44,1031.7999999999997,1022.0,1011.3999999999997,997.3600000000001,983.2,965.6800000000002,947.2799999999999,911.7600000000002,879.3199999999999,847.9200000000002,821.3200000000002,803.8,808.0799999999999,820.1199999999999,832.96,843.6800000000001,849.24,851.6000000000001,844.6799999999998,836.44,831.9599999999998,829.7600000000001,832.4800000000001,835.36,834.0,827.2,818.32,783.2400000000002,700.3200000000003,574.9600000000003,426.0,275.92,148.43999999999997,71.72,41.36,38.07999999999999,35.83999999999999,33.15999999999998,31.319999999999997,28.359999999999992,26.08,24.439999999999998,24.15999999999999,19.91999999999999,17.759999999999994,15.879999999999997,13.2,9.759999999999994,10.2,10.95999999999999,11.199999999999992,11.31999999999999,12.599999999999996,12.83999999999999,21.200000000000003,73.40000000000002,226.28,414.6800000000002,619.7199999999998,841.9200000000001,1040.56,1145.2399999999998,1212.2,1258.4399999999998,1276.6800000000003,1268.1600000000005,1246.52,1217.56,1178.52,1121.4000000000003,1033.3600000000001,910.0400000000003,767.16,616.2799999999999,472.2799999999999,360.32000000000005,288.84,245.76000000000002,225.32000000000002,218.40000000000003,218.68,224.60000000000008,238.64000000000004,322.55999999999995,411.04,499.3599999999999,585.1199999999999,661.7599999999999,668.0799999999998,670.0400000000001,668.8799999999998,667.8399999999998,670.48,675.84,679.8,683.7199999999998,683.3599999999998,675.9200000000001,664.52,653.9199999999998,644.1599999999997,639.2399999999998,639.56,642.6000000000003,645.04,646.0400000000001,645.2400000000001,640.8000000000002,635.9200000000001,635.9999999999999,639.88,644.2,654.7599999999999,668.4000000000001,684.72,703.4800000000002,727.5600000000002,749.4000000000001,766.7200000000001,777.6000000000001,783.8000000000001,780.4800000000001,752.24,721.6399999999999,684.1599999999999,641.5200000000001,597.24,575.64,556.04
6,558.3599999999999,584.3199999999997,634.1999999999999,692.4799999999998,742.2399999999998,795.8000000000001,843.2800000000003,870.04,886.08,900.2000000000002,910.0000000000003,916.6000000000004,919.4400000000003,921.6800000000004,917.4400000000004,909.0800000000003,896.6400000000002,878.48,853.8799999999999,828.12,799.36,770.1600000000002,739.8800000000002,714.08,693.9999999999999,687.16,691.2400000000001,709.2,755.04,803.6800000000001,849.56,890.52,926.4800000000001,935.5199999999998,940.2400000000002,939.48,936.7599999999999,935.56,937.2000000000002,935.9200000000003,931.28,924.08,909.6800000000003,888.28,866.28,848.72,834.6000000000001,826.72,835.1999999999999,847.8400000000001,859.2,869.8,875.1200000000001,871.1200000000001,865.8400000000001,867.1600000000002,898.9599999999999,936.5600000000002,968.3200000000002,985.7999999999998,981.4799999999997,937.4000000000003,885.0400000000001,822.5600000000001,734.0400000000002,605.76,460.4399999999998,318.56000000000006,192.63999999999996,105.28,75.03999999999999,70.8,66.96,62.83999999999997,60.51999999999998,55.79999999999998,52.75999999999998,52.31999999999998,49.51999999999999,48.11999999999998,48.51999999999998,48.559999999999995,45.83999999999999,45.76,45.95999999999999,45.07999999999999,43.99999999999999,45.48,46.11999999999999,43.599999999999994,42.75999999999999,40.19999999999999,80.6,234.32,420.84,657.5999999999999,890.44,1071.8,1129.8800000000006,1146.64,1103.72,1051.8800000000003,988.3599999999999,874.5599999999997,775.44,694.7199999999999,638.2,616.04,686.8,770.72,851.8,925.2,984.0000000000003,1005.4399999999998,1007.0799999999999,994.5200000000002,977.9600000000003,961.9200000000003,954.2800000000001,953.5600000000002,963.4,977.0400000000002,992.1200000000001,1000.28,1002.8000000000001,999.8,993.4000000000003,986.2399999999999,980.3199999999999,977.8000000000002,975.96,976.44,976.8800000000002,978.8000000000002,976.1199999999999,976.0000000000001,974.7199999999999,971.84,969.36,969.76,970.5200000000001,970.4400000000002,971.6799999999998,973.6800000000001,975.4400000000002,975.5600000000003,966.0000000000001,949.6799999999996,914.8400000000001,861.5600000000002,795.16,733.7199999999999,675.68,634.8800000000001,608.4800000000001,596.4799999999999,620.6800000000001,676.6800000000001,748.0799999999999,827.1200000000001,907.2799999999999,953.36,964.2399999999999,949.6399999999998,913.6399999999999,845.9600000000002,777.24,712.16,656.0400000000001,618.4,658.0
7,596.4799999999999,620.6800000000001,676.6800000000001,748.0799999999999,827.1200000000001,907.2799999999999,953.36,964.2399999999999,949.6399999999998,913.6399999999999,845.9600000000002,777.24,712.16,656.0400000000001,618.4,658.0,714.4000000000001,778.72,851.6799999999997,925.08,953.0,970.2399999999998,981.3999999999999,987.84,993.9200000000001,999.24,999.8800000000003,996.2399999999999,986.2,970.6399999999999,946.88,916.2,877.3600000000001,856.9199999999998,842.44,832.56,831.0400000000001,846.2400000000002,857.8,879.08,909.9199999999997,953.6800000000001,994.4399999999997,1025.08,1045.1999999999998,1052.8799999999999,1047.2799999999997,1027.3999999999999,1003.4399999999998,977.4800000000001,953.1199999999999,928.1200000000001,913.2399999999998,901.76,891.1999999999999,891.4,893.24,899.0,904.56,912.4400000000004,915.7600000000002,925.9599999999998,940.2400000000001,956.7199999999998,937.56,901.8000000000001,848.4399999999999,782.7599999999999,708.0800000000002,654.1600000000002,577.44,477.8799999999999,371.8800000000001,268.79999999999995,177.96,124.11999999999998,104.35999999999999,98.84,96.48,94.36,92.96,90.44000000000001,87.36,84.91999999999999,82.07999999999998,78.24000000000001,76.83999999999999,76.36,76.83999999999999,77.39999999999998,77.68,79.03999999999999,108.88000000000001,448.76,657.48,877.9200000000001,1097.24,1280.4799999999993,1136.8,1109.3200000000002,1026.0800000000002,935.7599999999998,845.2,763.5999999999998,692.5599999999997,657.8400000000001,621.6400000000001,569.84,522.28,479.5200000000001,446.40000000000015,422.63999999999993,425.83999999999986,438.55999999999995,460.5199999999998,489.52,524.48,562.6400000000002,669.48,781.7200000000001,887.3599999999998,982.1999999999998,1065.8800000000003,1067.24,1048.5600000000002,1025.2,1001.9600000000002,983.4400000000002,973.2800000000003,970.1600000000001,972.0800000000002,978.8000000000002,986.7600000000001,993.0,1000.3199999999999,1003.8800000000003,1003.0000000000003,998.72,994.08,985.96,978.56,974.3999999999999,969.7600000000001,965.8400000000001,958.96,953.4399999999998,945.6800000000001,940.12,935.3999999999997,935.4399999999998,934.9200000000001,935.6800000000001,936.08,937.1600000000001,938.52,938.84,940.6,943.96,945.1999999999999,947.2399999999998,951.4000000000003,953.0400000000001,952.8000000000003,954.08,953.08,951.6800000000001,950.76,951.4799999999999,952.2800000000003,953.8000000000002,954.32
8,819.72,813.04,810.2,805.7199999999999,804.8000000000001,803.4000000000001,804.6399999999999,806.5600000000002,812.36,816.0,830.4399999999999,841.7999999999998,851.5999999999999,857.48,859.7199999999999,850.8799999999999,841.6800000000001,830.4400000000002,819.1600000000002,806.1600000000002,787.0800000000002,759.1199999999999,703.8,644.48,590.24,557.84,556.56,603.0000000000002,665.8800000000002,736.8799999999999,796.5200000000001,842.5600000000001,872.6,891.8400000000001,901.7599999999998,911.8799999999998,918.84,928.6800000000001,942.88,959.5600000000003,977.56,992.3999999999999,1002.1599999999999,1007.2800000000001,1010.3200000000002,1007.1600000000003,1001.4000000000003,994.0400000000002,985.1600000000002,978.1999999999998,969.6799999999998,961.1999999999997,956.5200000000002,955.9999999999997,955.5200000000001,959.1600000000001,965.8,973.4800000000002,978.76,980.9599999999996,981.5199999999999,979.1999999999999,973.7199999999999,971.5999999999999,974.4000000000001,981.2399999999998,990.4800000000004,976.2399999999997,933.8799999999997,874.2,799.8400000000004,714.2800000000001,636.08,538.0799999999999,423.2,310.52,209.56,126.12,85.88,76.35999999999999,75.0,71.11999999999998,67.19999999999997,63.39999999999999,59.87999999999999,57.55999999999999,56.15999999999998,52.95999999999998,50.59999999999998,48.479999999999976,46.799999999999976,49.31999999999998,205.96,383.52,598.1999999999998,812.2000000000002,1017.4399999999997,1066.6000000000001,1090.5200000000007,1071.5199999999998,1046.6,1020.6399999999996,988.28,944.3599999999999,866.9999999999999,790.2400000000002,712.0799999999999,642.52,587.7600000000001,573.2399999999999,567.4399999999999,573.3599999999998,584.24,601.1199999999999,618.68,635.3999999999999,656.0399999999998,675.1200000000001,693.1199999999999,712.8,732.36,744.4800000000001,756.56,766.4400000000002,773.2800000000001,777.32,781.64,783.3199999999999,785.4399999999998,786.6799999999998,790.28,791.8400000000001,795.1599999999999,795.8400000000001,797.8,796.96,796.84,796.4,798.1599999999999,797.68,798.0399999999997,798.3200000000002,797.8,796.7999999999997,797.1199999999999,798.2399999999999,798.5999999999998,798.4,796.3599999999998,795.6000000000001,794.4399999999999,794.6,793.3999999999997,792.04,790.5600000000001,788.2000000000002,784.64,782.4800000000004,781.6000000000001,777.0799999999999,772.16,763.6400000000001,753.5600000000001,744.0400000000002,737.6400000000001,732.3600000000001,731.5200000000001,733.1599999999999,732.2,728.2799999999997,699.8
11,865.2800000000002,862.2800000000002,867.84,903.7600000000001,937.2,962.4799999999997,964.3200000000002,958.8000000000002,949.08,936.6800000000003,921.0000000000002,904.2800000000002,882.6800000000001,840.3200000000002,792.6799999999998,744.52,697.8800000000001,657.76,641.8399999999999,639.08,656.1600000000001,680.8400000000001,712.4000000000001,746.2,774.2800000000001,792.2800000000001,808.8800000000001,820.8000000000001,830.0000000000001,841.2800000000001,852.04,861.88,872.5999999999999,883.0,891.8400000000001,897.1599999999999,896.9600000000003,893.0800000000002,886.0,876.7199999999999,866.9199999999998,859.3599999999999,851.96,845.4799999999998,838.0799999999998,830.8399999999999,825.2,821.1999999999998,820.7199999999999,824.3999999999997,830.4,838.6799999999998,848.36,859.3199999999999,867.9599999999999,874.76,877.9599999999997,879.36,878.68,880.4000000000001,879.3200000000002,878.3599999999998,875.7200000000001,870.6800000000001,853.1200000000003,822.7199999999998,782.1199999999999,735.1999999999999,579.6399999999999,434.08,302.4000000000001,181.64,69.32,68.39999999999998,66.67999999999999,65.52,63.440000000000005,62.36,59.44000000000001,58.040000000000006,56.39999999999999,54.67999999999999,52.28,51.0,49.31999999999999,49.879999999999995,50.64,50.28,49.839999999999996,50.76,51.19999999999999,50.92,51.20000000000001,53.040000000000006,53.64,64.16,118.96000000000002,315.40000000000003,503.55999999999995,683.9999999999998,854.9599999999999,1012.6799999999998,1024.3199999999995,1037.68,1056.0400000000002,1070.4800000000002,1047.3200000000004,1025.24,998.2799999999997,918.8800000000001,831.8400000000003,745.8400000000003,660.6,585.0000000000001,566.5200000000001,560.3199999999997,569.4799999999996,588.3599999999998,615.0400000000004,658.0400000000001,701.5200000000002,733.9200000000002,759.6800000000002,777.4400000000002,776.7600000000001,774.6000000000001,774.7199999999999,776.9599999999999,779.8,784.0000000000001,788.0400000000001,795.2399999999999,799.2000000000002,803.1600000000002,807.4399999999998,810.0799999999998,808.9599999999999,809.0800000000002,809.9200000000001,806.9600000000002,806.9600000000003,806.0800000000002,805.6800000000001,802.16,801.1200000000001,796.5600000000001,794.36,791.0399999999998,790.0799999999997,790.4799999999999,789.92,788.4000000000001,786.8399999999999,779.3999999999999,767.9599999999999,754.9999999999999,742.12,731.1199999999998,725.1599999999996,723.24,727.16,731.8400000000001,732.5600000000001,734.04,736.2400000000001,735.6400000000001,734.6000000000001,736.68,741.4399999999998,744.92,755.6399999999999
12,863.7200000000003,862.48,862.2,861.5200000000002,859.44,856.76,851.4799999999997,843.12,833.0799999999999,825.3599999999999,813.2400000000001,801.04,777.4000000000001,747.9200000000002,715.9999999999999,689.88,669.12,667.88,678.9200000000001,697.5199999999998,737.96,782.1200000000001,821.8400000000001,860.2399999999998,892.9599999999997,900.5599999999998,901.8799999999999,900.24,896.6000000000001,897.6400000000003,904.0000000000002,909.8000000000002,916.5600000000001,924.6400000000001,929.92,932.9600000000003,936.2800000000002,939.5999999999999,942.4799999999999,931.1999999999996,918.8,904.1199999999998,887.2800000000001,866.44,856.3999999999999,844.3600000000001,832.6800000000001,820.92,808.8000000000003,798.1999999999997,801.8799999999998,812.68,829.8399999999999,854.9999999999999,883.5600000000001,901.28,912.6399999999999,920.7199999999999,916.3199999999998,904.44,887.8400000000001,870.84,850.5199999999999,827.96,801.8399999999998,769.5200000000003,735.0000000000002,698.7200000000001,641.4400000000003,549.6000000000001,434.64,315.2000000000001,199.24,116.12,74.47999999999999,67.60000000000002,66.36000000000001,64.8,59.239999999999995,55.0,50.959999999999994,48.27999999999999,45.08,45.15999999999998,45.08,42.999999999999986,41.51999999999998,40.99999999999999,38.56,37.16,37.08,39.44,40.040000000000006,42.56,48.36,85.72,140.36,339.59999999999997,523.5999999999999,715.8000000000001,862.1600000000003,1015.0799999999999,1036.92,1074.1999999999998,1092.7199999999998,1120.4400000000005,1118.5600000000002,1100.0800000000004,1077.2,1057.56,1030.2399999999998,991.6000000000004,895.7200000000003,800.1999999999998,703.76,617.12,546.9200000000001,540.04,536.0000000000001,548.3200000000002,563.12,580.1999999999999,601.96,628.8,645.8799999999999,664.7199999999998,683.6800000000001,702.96,719.9200000000001,738.1199999999999,756.0000000000001,772.0799999999999,782.0400000000001,789.12,790.8400000000001,790.8400000000001,789.4000000000001,786.4800000000002,780.6000000000001,778.08,774.9200000000001,770.3600000000001,764.7200000000001,762.28,758.52,752.8,747.3600000000002,738.2400000000002,726.8000000000002,712.8799999999999,700.4000000000001,687.76,675.84,662.52,644.0400000000001,627.4799999999998,609.6800000000002,597.2399999999999,589.32,589.1600000000002,593.4,599.7599999999999,606.1600000000001,610.52,609.48,567.7599999999998,524.8799999999999,482.6399999999999,440.23999999999995,405.2799999999999,410.9599999999999
