Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171,time_step_172,time_step_173,time_step_174,time_step_175,time_step_176,time_step_177,time_step_178,time_step_179,time_step_180,time_step_181
1,284.6,284.32000000000005,284.64,286.15999999999997,288.28,290.7199999999999,292.9599999999999,294.55999999999995,295.16,294.11999999999995,292.31999999999994,290.52,289.32,288.6400000000001,288.96000000000004,289.48,289.4799999999999,288.32,286.3599999999999,282.4,278.15999999999997,273.35999999999996,268.15999999999997,262.48,257.9599999999999,253.0,248.0,244.32,241.47999999999996,239.44,237.44,235.7599999999999,232.72000000000006,230.00000000000003,227.28,225.64000000000004,224.88000000000005,224.88,225.12,225.32000000000005,225.55999999999995,225.59999999999997,226.16000000000003,226.60000000000002,227.11999999999995,226.99999999999997,226.76000000000002,225.88000000000005,225.24,225.55999999999995,226.0,227.23999999999995,228.20000000000005,229.96000000000004,231.07999999999998,233.68,235.24000000000007,238.35999999999996,239.20000000000005,238.56,234.79999999999995,229.56,222.03999999999996,214.71999999999994,207.8799999999999,203.12,201.76000000000005,203.32,207.47999999999996,213.99999999999994,222.92000000000002,229.07999999999993,229.83999999999997,224.91999999999996,200.12000000000006,160.36,116.84000000000003,76.91999999999999,40.0,21.480000000000004,15.680000000000001,14.040000000000003,12.8,12.440000000000001,11.840000000000003,10.88,11.040000000000003,10.520000000000001,10.760000000000002,10.760000000000002,10.040000000000001,9.16,8.84,7.760000000000002,6.72,6.159999999999999,5.92,5.800000000000001,5.5600000000000005,5.160000000000001,5.4,4.96,4.36,4.24,16.480000000000004,57.56,119.67999999999999,185.52,252.99999999999994,318.7199999999999,354.12,366.6400000000001,372.88,376.12,367.16,354.31999999999994,337.1599999999999,315.08000000000015,287.52,258.56,232.0,210.32000000000005,194.39999999999998,184.8,178.60000000000005,174.56000000000003,172.24000000000007,172.48000000000002,173.72000000000003,176.72000000000003,181.64000000000001,189.51999999999998,201.48000000000008,219.83999999999997,245.8,275.08,302.67999999999995,325.3999999999999,339.79999999999995,342.4,337.0399999999999,327.3999999999999,316.88,310.16,307.68000000000006,309.43999999999994,315.79999999999995,323.5999999999999,329.44000000000005,332.9600000000001,335.24,335.8399999999999,335.0,334.1600000000001,332.9999999999999,331.48,329.6399999999999,329.12,328.1200000000001,328.0400000000001,328.20000000000005,329.15999999999997,329.5999999999999,330.24,330.55999999999995,330.9599999999999,330.88,329.6000000000001,311.76000000000005,290.8399999999999,266.32000000000005,238.76,211.79999999999998,199.76,191.64,192.56,199.92000000000007,213.2800000000001,232.32,252.91999999999996,267.71999999999997
2,292.9999999999999,293.19999999999993,292.75999999999993,291.7599999999999,289.96,288.28000000000003,287.04,284.07999999999987,278.79999999999995,270.04,259.31999999999994,247.07999999999998,234.19999999999996,223.2,216.71999999999997,214.24,214.84000000000003,219.92000000000004,227.24,236.24000000000007,246.11999999999998,254.95999999999998,261.76,267.40000000000003,270.32000000000005,270.55999999999995,271.32000000000005,271.84,271.88,271.55999999999995,269.9599999999999,266.43999999999994,262.6,259.55999999999995,256.71999999999997,255.16000000000003,253.12,250.67999999999998,246.68,243.40000000000003,240.15999999999994,238.20000000000002,236.88,236.68,237.39999999999998,239.2,242.39999999999992,247.64000000000001,256.44,265.08000000000004,273.56000000000006,280.84000000000015,285.67999999999995,286.7600000000001,287.11999999999995,286.15999999999997,285.43999999999994,285.24,286.19999999999993,288.6,293.12,298.9199999999999,304.08000000000004,304.48,298.63999999999993,287.2000000000001,271.79999999999995,252.16000000000003,229.63999999999996,201.88000000000002,161.07999999999998,118.55999999999999,80.04,48.239999999999995,26.600000000000005,21.28,19.679999999999996,19.24,18.68,17.800000000000004,17.6,17.560000000000002,16.96,16.6,15.720000000000002,15.119999999999997,15.039999999999997,15.440000000000001,14.84,15.680000000000003,15.600000000000003,15.480000000000004,14.520000000000001,14.720000000000002,13.68,13.559999999999999,19.479999999999997,46.88000000000001,99.63999999999999,158.19999999999993,220.75999999999993,279.36,316.2800000000001,326.6400000000001,329.44,324.28,312.5600000000001,266.20000000000005,215.04000000000002,162.95999999999998,113.07999999999998,67.08,56.60000000000001,52.959999999999994,53.52,56.959999999999994,62.32,68.75999999999999,73.84,77.48000000000002,79.88,81.48,86.43999999999998,99.96,117.03999999999999,140.12,168.83999999999995,195.48,214.51999999999998,230.31999999999996,240.12,243.39999999999992,244.72000000000003,245.04000000000002,245.96000000000004,246.88000000000002,248.52000000000004,250.72000000000003,253.99999999999994,256.52,259.0400000000001,261.12000000000006,262.0,261.52,261.12,259.24,256.08000000000004,251.27999999999997,244.59999999999997,234.84,223.56,210.2,194.60000000000002,179.15999999999997,165.48,153.67999999999995,144.68,139.15999999999997,136.43999999999997,134.76,136.04000000000002,144.88,158.27999999999997,175.71999999999997,197.52,218.0,232.12,241.07999999999996,241.79999999999995,233.07999999999993,219.04,200.32000000000005,181.08000000000004,164.24000000000004,153.04,145.76,142.40000000000003,140.64,139.68,139.2,144.12000000000006
3,263.1600000000001,261.0400000000001,258.72,255.76,251.32000000000005,244.5999999999999,232.07999999999996,222.03999999999996,218.56,220.76,227.20000000000002,240.04,250.51999999999998,254.48000000000002,252.67999999999995,246.64,238.32,228.51999999999998,219.35999999999996,211.36,204.47999999999996,198.15999999999997,192.36,185.08,176.44000000000005,166.43999999999994,158.3599999999999,157.51999999999998,162.28000000000003,171.64,185.84000000000003,201.67999999999995,213.88000000000005,224.68,234.00000000000009,240.52,244.0,245.24000000000007,244.64,242.03999999999996,239.0,235.39999999999998,231.44000000000008,227.2,223.47999999999996,221.20000000000005,220.56,222.16,225.08000000000007,229.88000000000002,235.03999999999996,240.60000000000002,245.15999999999997,247.64000000000004,249.5200000000001,250.79999999999995,251.03999999999996,249.76000000000005,249.68,248.07999999999998,245.88000000000002,243.16000000000005,241.2000000000001,238.56,237.07999999999998,234.75999999999996,233.07999999999998,230.92000000000002,225.52000000000004,216.68,205.39999999999998,191.04000000000005,174.04000000000002,158.44,142.72000000000008,118.80000000000001,90.88,65.88,42.95999999999999,23.32,14.599999999999998,13.2,11.719999999999997,10.719999999999997,9.36,9.159999999999998,8.56,8.399999999999999,7.279999999999999,6.92,6.120000000000001,5.880000000000001,5.56,5.640000000000001,4.919999999999999,4.4399999999999995,3.9199999999999986,3.32,3.039999999999999,3.3600000000000003,2.8000000000000003,13.119999999999996,44.92,99.6,155.71999999999994,213.76,264.8800000000001,299.47999999999996,311.24,321.31999999999994,330.1600000000001,332.7599999999999,329.23999999999995,323.4400000000001,315.12,303.36,289.52,258.23999999999995,226.39999999999998,195.68,166.5999999999999,141.00000000000003,134.76000000000002,133.36,138.12000000000006,168.28000000000003,201.16000000000003,233.00000000000006,261.68,284.0,281.55999999999995,276.36,270.8,266.00000000000006,260.68000000000006,256.0400000000001,251.20000000000005,246.16000000000003,238.80000000000007,229.56,215.76,197.99999999999997,179.11999999999998,161.59999999999997,147.56,138.44,139.56000000000006,145.28000000000003,155.32000000000005,169.67999999999998,186.79999999999993,199.27999999999997,208.4,212.40000000000003,210.48000000000008,202.72000000000003,190.43999999999994,175.47999999999996,158.92000000000002,141.95999999999998,126.72000000000001,113.75999999999999,103.64000000000001,96.19999999999999,91.35999999999999,92.67999999999998,107.39999999999999,124.84000000000003,144.76,165.2,182.88000000000005,190.72000000000003,198.76000000000002,208.24,219.24,229.48000000000002,237.64000000000004,244.83999999999997,249.40000000000006,252.52000000000004,254.68
4,229.48000000000002,237.64000000000004,244.83999999999997,249.40000000000006,252.52000000000004,254.68,256.76000000000005,258.8,259.76000000000005,259.6,258.6,256.68000000000006,251.72000000000006,245.92000000000002,239.0,231.16,223.64000000000004,216.12000000000006,209.8400000000001,207.92,209.51999999999998,212.27999999999992,222.04,233.35999999999999,242.60000000000002,250.76000000000008,259.12,262.4,263.88,264.88,265.40000000000003,264.52,263.6,262.79999999999995,261.36,259.4,257.84000000000003,255.08000000000004,251.92000000000004,247.47999999999996,242.40000000000006,237.11999999999995,232.43999999999994,228.55999999999997,225.96,224.44,223.87999999999994,225.04000000000002,227.47999999999996,230.95999999999995,234.76,238.2,241.43999999999997,243.75999999999993,246.55999999999997,248.76000000000002,250.56000000000006,250.52000000000007,250.56,248.96000000000004,247.19999999999996,246.39999999999995,247.56000000000006,251.6,253.64000000000004,252.28,247.71999999999997,239.64,224.32,207.92000000000002,189.8,164.6,127.68000000000002,91.84000000000003,59.31999999999999,31.959999999999994,13.679999999999994,9.999999999999996,8.919999999999995,8.199999999999996,7.279999999999996,7.359999999999997,6.559999999999997,6.1999999999999975,5.799999999999999,5.639999999999999,4.839999999999996,4.799999999999999,4.359999999999998,4.159999999999997,3.719999999999998,3.759999999999997,3.1999999999999975,3.2799999999999976,2.679999999999997,2.4799999999999986,1.919999999999999,1.7999999999999998,1.5999999999999983,1.7599999999999985,2.1599999999999984,5.080000000000001,21.279999999999998,83.44,147.36,221.52,290.76000000000005,343.80000000000007,348.00000000000006,348.4,334.8799999999999,319.88,302.9200000000001,284.04,263.28,243.28,225.8,213.32,207.95999999999998,210.76,220.2,233.83999999999997,249.79999999999995,264.6,276.52,285.2,291.64,296.36,299.88,302.52000000000004,304.20000000000005,305.52,306.52000000000004,307.80000000000007,310.36,313.0400000000001,315.44,316.95999999999987,318.19999999999993,317.52,317.24,317.1600000000001,317.08000000000004,316.44,316.12,315.52000000000004,315.1200000000001,315.1600000000001,314.64,313.7600000000001,311.20000000000005,306.20000000000016,297.2800000000001,286.32000000000005,271.64,254.84,239.32,227.0,217.12000000000006,211.11999999999998,208.8400000000001,211.36,217.52000000000004,229.19999999999996,246.15999999999997,264.12000000000006,279.0000000000001,289.84000000000003,292.7199999999999,284.79999999999995,269.15999999999997,248.68,226.6799999999999,204.51999999999992,195.64,195.04000000000002,202.83999999999997,219.2,242.36,260.44,277.91999999999996
5,289.84000000000003,292.7199999999999,284.79999999999995,269.15999999999997,248.68,226.6799999999999,204.51999999999992,195.64,195.04000000000002,202.83999999999997,219.2,242.36,260.44,277.91999999999996,291.3999999999999,299.0399999999999,302.1199999999999,302.55999999999995,301.76,300.52,298.15999999999997,295.48,290.72,284.72,277.32000000000005,258.88,242.36000000000007,231.88,225.92000000000002,223.24,234.23999999999998,246.24000000000007,255.32,263.32000000000005,270.48,276.52,281.48,286.15999999999997,290.4800000000001,293.2799999999999,295.64,297.48,298.76000000000005,298.32,297.67999999999995,296.64000000000004,295.0799999999999,293.1199999999999,290.2,287.0799999999999,282.96000000000004,278.84000000000003,273.72,268.43999999999994,258.1600000000001,248.68,239.56000000000003,231.76000000000005,226.56,227.67999999999992,231.2,234.76,237.8,239.40000000000003,240.08000000000004,237.95999999999998,235.64000000000001,234.35999999999996,233.68,234.44,235.4,235.11999999999998,233.23999999999998,230.64000000000001,220.88000000000005,197.28000000000006,161.76000000000005,119.60000000000002,77.36,41.16,19.56,11.039999999999997,10.159999999999998,9.439999999999998,8.759999999999998,8.16,7.239999999999999,6.599999999999999,6.28,6.119999999999997,5.039999999999997,4.439999999999999,3.8000000000000007,2.84,1.9199999999999995,1.9599999999999995,2.1999999999999984,2.399999999999997,2.519999999999997,2.959999999999998,3.039999999999998,5.440000000000001,19.920000000000005,63.08,116.60000000000004,174.91999999999996,238.64000000000004,296.15999999999997,326.9599999999999,346.72,360.55999999999995,365.9200000000001,363.5200000000001,357.32,348.96000000000004,337.84000000000003,321.5200000000001,296.36000000000007,261.1200000000001,220.36,177.2,135.99999999999997,104.00000000000001,83.60000000000001,71.32000000000001,65.52000000000001,63.60000000000002,63.67999999999999,65.40000000000002,69.44000000000001,93.27999999999999,118.60000000000001,143.79999999999995,168.31999999999994,190.12,192.11999999999998,192.72,192.47999999999993,192.19999999999996,193.04,194.64,195.76,196.91999999999996,196.83999999999992,194.76000000000002,191.47999999999996,188.47999999999996,185.79999999999993,184.35999999999996,184.55999999999997,185.44000000000005,186.12,186.32,186.07999999999998,184.6400000000001,183.12,183.04000000000002,184.04,185.24,188.16,192.0,196.72000000000003,201.92000000000007,208.72,214.92000000000002,219.80000000000007,222.76000000000005,224.56,223.56000000000003,215.44,206.67999999999995,195.87999999999997,183.64,171.0,164.79999999999998,159.11999999999998,156.36,159.59999999999997,168.39999999999998,179.8,198.12
6,189.0,172.72,160.68,154.72000000000006,156.24,159.99999999999997,167.4799999999999,181.75999999999996,198.47999999999996,212.79999999999993,228.12,241.80000000000007,249.44,254.12000000000006,258.04,260.8800000000001,262.7600000000001,263.56000000000006,264.2400000000001,262.96000000000015,260.52000000000004,256.8800000000001,251.76,244.59999999999997,237.27999999999997,229.04000000000002,220.60000000000008,211.76000000000005,204.27999999999997,198.48,196.39999999999998,197.48000000000005,202.56,215.6,229.28000000000003,242.2,253.72,263.84000000000003,266.23999999999995,267.48,267.28,266.4799999999999,266.15999999999997,266.68000000000006,266.2800000000001,264.84,262.72,258.32000000000005,251.88,245.2,239.88,235.40000000000003,232.8,234.95999999999998,238.56000000000003,241.64,244.67999999999995,246.24,245.20000000000002,243.76000000000002,244.32000000000002,253.59999999999994,264.56000000000006,273.72,278.7599999999999,277.51999999999987,264.80000000000007,249.88000000000005,232.24,207.2000000000001,170.92000000000002,129.95999999999995,89.84000000000002,54.15999999999998,29.480000000000004,21.0,19.84,18.72,17.519999999999996,16.879999999999995,15.519999999999994,14.679999999999996,14.559999999999999,13.759999999999998,13.279999999999998,13.399999999999997,13.399999999999999,12.64,12.68,12.799999999999997,12.52,12.199999999999998,12.68,12.879999999999999,12.12,11.919999999999998,11.159999999999997,22.2,66.03999999999999,120.12000000000002,188.51999999999998,255.76000000000002,308.64,325.88000000000017,330.52,318.0000000000001,302.9200000000001,284.44,251.3599999999999,222.56000000000003,199.07999999999998,182.64000000000004,176.27999999999997,197.12,221.68,245.51999999999998,267.20000000000005,284.56000000000006,290.79999999999995,291.36,287.6,282.7200000000001,278.0000000000001,275.72,275.52,278.48,282.52000000000004,287.00000000000006,289.43999999999994,290.12,289.24,287.2800000000001,285.12,283.43999999999994,282.76,282.24,282.4,282.6000000000001,283.1200000000001,282.28,282.24,281.88,281.0,280.32000000000005,280.44000000000005,280.72,280.76000000000005,281.2,281.76,282.2800000000001,282.2800000000001,279.40000000000003,274.51999999999987,264.1600000000001,248.47999999999996,229.04,211.03999999999996,194.0,182.16000000000003,174.52000000000004,171.0,177.92000000000002,194.07999999999998,214.68,237.60000000000005,260.84,274.24,277.52,273.36,263.0,243.52000000000004,223.8,205.03999999999996,188.96,178.12,189.44,205.64000000000001,224.16000000000003,245.11999999999995,266.19999999999993,274.23999999999995
7,229.04,211.03999999999996,194.0,182.16000000000003,174.52000000000004,171.0,177.92000000000002,194.07999999999998,214.68,237.60000000000005,260.84,274.24,277.52,273.36,263.0,243.52000000000004,223.8,205.03999999999996,188.96,178.12,189.44,205.64000000000001,224.16000000000003,245.11999999999995,266.19999999999993,274.23999999999995,279.07999999999987,282.19999999999993,283.91999999999996,285.55999999999995,287.0,287.24,286.15999999999997,283.32,278.88,272.08,263.2,252.04000000000002,246.15999999999997,241.96000000000004,238.95999999999998,238.32000000000002,242.56,245.76,251.8,260.67999999999995,273.44000000000005,285.1599999999999,293.88,299.59999999999997,301.55999999999995,299.6799999999999,293.6,286.44,278.56,271.47999999999996,264.08,259.52,255.88,252.64,252.4,252.68,254.27999999999997,255.91999999999996,258.2400000000001,259.32000000000005,262.52,267.0,271.91999999999996,266.36,255.95999999999998,240.35999999999996,221.19999999999996,199.56,184.28000000000003,162.6,134.43999999999997,104.72000000000003,75.84,50.36,35.36,30.04,28.560000000000002,27.959999999999997,27.36,26.880000000000003,26.240000000000006,25.36,24.64,23.839999999999996,22.72,22.319999999999993,22.16,22.4,22.519999999999996,22.64,22.959999999999994,30.480000000000004,130.92,190.51999999999998,253.56,316.28,369.47999999999985,324.6,316.4800000000001,292.32,266.12,240.04000000000002,216.75999999999996,196.43999999999994,186.52000000000007,176.28000000000003,161.52000000000004,148.00000000000003,135.80000000000004,126.44000000000003,119.55999999999999,120.43999999999997,124.03999999999996,130.19999999999993,138.32000000000002,148.2,159.00000000000006,190.0,222.84000000000003,253.7199999999999,281.55999999999995,306.24000000000007,306.68000000000006,301.08000000000004,294.2800000000001,287.56,282.12000000000006,279.2400000000001,278.52,279.00000000000006,280.9200000000001,283.2800000000001,285.12,287.28,288.48000000000013,288.3200000000001,287.16,285.96000000000004,283.68000000000006,281.67999999999995,280.59999999999997,279.2400000000001,278.0400000000001,276.12,274.43999999999994,272.2,270.67999999999995,269.3999999999999,269.4,269.44000000000005,269.64,269.80000000000007,270.12,270.48,270.36,270.8,271.64,271.91999999999996,272.48,273.80000000000007,274.32000000000005,274.32000000000005,274.72,274.48,274.08000000000004,273.84,274.12,274.36,274.84000000000003,275.04,275.43999999999994,275.6,275.92,276.04,276.24
8,241.20000000000005,241.59999999999994,239.96000000000004,238.8,237.47999999999996,235.92000000000002,234.04,233.27999999999997,232.07999999999998,231.92000000000002,231.56,231.83999999999997,232.36000000000004,233.88,234.76,238.91999999999996,242.27999999999992,245.15999999999997,246.95999999999998,247.68,245.08,242.39999999999998,239.16000000000003,235.80000000000007,232.04000000000005,226.60000000000002,218.51999999999998,202.59999999999997,185.56,170.0,160.48000000000002,159.95999999999998,173.16000000000003,191.12000000000003,211.28,228.40000000000003,241.60000000000002,250.19999999999996,255.68,258.4799999999999,261.31999999999994,263.20000000000005,265.92,269.84000000000003,274.6400000000001,279.76,283.91999999999996,286.68,288.16,288.8800000000001,287.8800000000001,286.2400000000001,283.96000000000004,281.28000000000003,279.12,276.5999999999999,273.91999999999996,272.40000000000003,271.9999999999999,271.67999999999995,272.52000000000004,274.4,276.6400000000001,278.28,278.9199999999999,279.03999999999996,278.28,276.55999999999995,275.8,276.64,278.67999999999995,281.44000000000005,277.39999999999986,265.39999999999986,248.52,227.4000000000001,203.12,181.16000000000003,153.55999999999997,121.03999999999999,89.08000000000001,60.52,36.92,25.479999999999997,22.799999999999997,22.519999999999996,21.439999999999994,20.319999999999993,19.28,18.279999999999998,17.52,17.08,16.039999999999996,15.279999999999998,14.719999999999995,14.479999999999997,15.239999999999995,59.599999999999994,110.15999999999998,171.35999999999996,232.40000000000006,291.03999999999996,305.56,312.60000000000014,307.2399999999999,300.03999999999996,292.5999999999999,283.31999999999994,270.71999999999997,248.51999999999995,226.56000000000006,204.11999999999995,184.24,168.60000000000002,164.55999999999997,162.83999999999997,164.51999999999992,167.56,172.36,177.31999999999996,182.11999999999995,188.07999999999998,193.60000000000005,198.79999999999995,204.51999999999998,210.16,213.72000000000003,217.15999999999997,220.08000000000004,222.12000000000003,223.44,224.71999999999997,225.35999999999996,225.99999999999994,226.27999999999994,227.2,227.56,228.43999999999997,228.64000000000004,229.23999999999998,229.00000000000006,228.92000000000004,228.88,229.28,229.16,229.31999999999994,229.48000000000005,229.2,228.9199999999999,228.92000000000002,229.23999999999995,229.35999999999996,229.40000000000003,228.87999999999997,228.68000000000004,228.4,228.48,228.11999999999995,227.59999999999997,227.20000000000005,226.44000000000005,225.32,224.6400000000001,224.52000000000004,223.12,221.76,219.32000000000002,216.40000000000003,213.64000000000004,211.84000000000003,210.32000000000005,210.12000000000006,210.56,210.16000000000003,209.11999999999995,200.92,189.27999999999994,173.84000000000003,156.64000000000001,138.96000000000004,127.19999999999999
9,210.56,210.16000000000003,209.11999999999995,200.92,189.27999999999994,173.84000000000003,156.64000000000001,138.96000000000004,127.19999999999999,120.12000000000003,121.36000000000001,132.36,148.88000000000002,169.48000000000002,190.79999999999998,208.64000000000007,219.92000000000013,226.84,229.68000000000004,229.35999999999999,226.4,220.27999999999997,211.68,198.28,185.64,175.20000000000002,171.0,171.20000000000005,180.39999999999998,192.27999999999997,208.80000000000004,223.28,237.63999999999987,249.44000000000005,258.76000000000005,262.20000000000005,263.5200000000001,262.84000000000003,261.31999999999994,259.76,258.84000000000003,257.55999999999995,255.83999999999995,253.48000000000002,250.76000000000008,245.68,239.44000000000005,232.0,226.67999999999998,223.48000000000008,225.07999999999998,233.32,243.52000000000004,253.27999999999997,262.36,269.1200000000001,270.76,271.67999999999995,271.9999999999999,271.12,270.19999999999993,269.48,269.03999999999996,269.47999999999996,269.84000000000003,269.80000000000007,270.03999999999996,271.36,271.76000000000005,273.39999999999986,276.56000000000006,280.0799999999999,265.68,244.32,207.31999999999994,154.87999999999994,100.80000000000001,63.8,33.36,17.44,15.44,14.440000000000001,12.399999999999999,10.52,9.2,8.520000000000001,7.640000000000001,7.520000000000001,7.880000000000002,6.880000000000003,6.040000000000002,5.640000000000002,5.080000000000001,4.600000000000002,5.2,15.639999999999997,57.72000000000001,102.47999999999999,152.12,209.32000000000005,262.08,285.56,300.5599999999999,306.76,300.0,275.20000000000005,237.28000000000006,198.36,157.12000000000003,116.28,87.63999999999999,70.84000000000002,62.68000000000001,65.6,73.88,82.16000000000001,89.47999999999999,95.2,95.39999999999999,95.35999999999999,94.35999999999999,92.55999999999999,91.44000000000001,90.48,89.76,89.44000000000001,89.76000000000002,89.96,90.43999999999998,90.75999999999999,91.32000000000001,91.4,91.8,91.80000000000001,91.52000000000001,91.35999999999999,91.84,92.2,92.08000000000001,92.92000000000002,93.44000000000001,94.03999999999999,93.52,93.84,93.12,93.36000000000001,92.80000000000001,93.60000000000001,94.56000000000002,95.96000000000002,97.48000000000002,100.60000000000001,103.47999999999999,108.95999999999998,117.04,126.12,140.24,158.44,176.36000000000004,192.8,209.67999999999998,222.07999999999998,231.55999999999995,239.4,243.92000000000004,242.20000000000002,235.16000000000003,223.31999999999994,209.88000000000002,198.12,190.16000000000003,185.92000000000004,184.36000000000007,183.68,183.51999999999998,184.28,185.59999999999994,191.28000000000006,200.68,214.0,229.4000000000001
10,175.20000000000005,187.92000000000002,202.67999999999995,219.76,237.11999999999995,243.4,240.88,235.68000000000006,229.2,223.07999999999998,217.87999999999994,219.99999999999997,225.64,232.39999999999992,239.03999999999996,244.83999999999995,249.88,251.59999999999994,251.2,250.31999999999996,247.83999999999995,244.31999999999996,240.24,235.92000000000002,216.32,198.48000000000002,183.51999999999998,174.04000000000002,169.48000000000002,183.11999999999998,198.20000000000002,218.00000000000006,234.48000000000008,247.48000000000005,256.96000000000004,263.87999999999994,262.5999999999999,260.32000000000005,257.91999999999996,254.92000000000002,250.96000000000004,247.00000000000006,242.32000000000005,237.0,232.71999999999997,228.56,225.48000000000008,222.08000000000007,220.11999999999995,218.28000000000003,218.08,218.96,221.40000000000003,223.52000000000004,226.0400000000001,228.95999999999998,231.08000000000004,232.91999999999996,234.76000000000005,236.88000000000005,239.04000000000002,242.68000000000004,247.36000000000007,253.11999999999998,259.28,266.64000000000004,273.9199999999999,280.2,280.32000000000005,271.6,255.7599999999999,235.07999999999998,211.00000000000006,186.59999999999997,159.68,126.16000000000003,91.28,59.28000000000003,31.839999999999996,14.040000000000001,8.44,6.999999999999998,5.559999999999997,4.399999999999999,3.6799999999999966,1.5599999999999965,0.47999999999999776,0.47999999999999554,0.1999999999999953,-0.32000000000000206,0.2799999999999976,0.4399999999999977,-0.20000000000000195,-0.16000000000000192,-0.36000000000000165,-0.4800000000000044,-0.8400000000000039,-0.8000000000000069,3.2000000000000006,38.07999999999999,79.63999999999999,144.44000000000003,210.76,274.2400000000001,307.16,331.99999999999994,333.28,331.92,319.28,301.04,274.92000000000013,235.88,187.92000000000002,142.64000000000001,97.51999999999998,58.60000000000001,31.759999999999998,11.720000000000004,1.0000000000000027,-0.9199999999999973,2.5200000000000027,8.280000000000003,17.080000000000002,23.760000000000005,27.0,27.720000000000006,26.880000000000003,25.800000000000008,24.560000000000002,23.600000000000005,22.120000000000005,21.759999999999998,21.200000000000003,21.4,21.4,20.119999999999997,17.2,14.120000000000003,9.84,5.520000000000001,2.280000000000003,-0.3599999999999972,-2.2400000000000033,-3.680000000000001,-4.600000000000005,-5.48,-4.9999999999999964,-4.479999999999997,-2.7999999999999976,-1.7199999999999966,0.7200000000000042,2.1200000000000045,2.6000000000000036,2.1200000000000006,1.4799999999999995,-0.1599999999999988,-2.0000000000000036,-3.2800000000000007,-5.240000000000002,-6.7600000000000025,-8.120000000000001,-9.2,-10.080000000000002,-10.320000000000004,-10.52,-10.440000000000003,-10.28,-10.52,-10.640000000000002,-11.040000000000004,-10.96,-11.320000000000002,-11.360000000000003,-11.320000000000002,-9.439999999999998,-6.880000000000001,-2.6800000000000015,6.3999999999999995,17.479999999999997,29.28,42.28
