Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,241.32000000000002,245.60000000000005,249.32,252.64,256.0400000000001,256.44000000000005,256.72000000000014,257.12,257.6000000000001,257.12,257.44000000000005,257.20000000000005,257.28,257.16,256.96,256.19999999999993,255.35999999999999,254.04000000000002,253.0,252.48000000000005,252.20000000000005,252.84,253.7199999999999,254.68,255.95999999999995,256.84000000000003,257.16,257.44,257.84000000000015,257.3600000000001,256.88,256.32000000000005,255.12000000000006,252.72000000000003,250.64,248.32,245.48000000000002,242.56000000000003,239.52000000000004,237.08,234.88,232.56000000000006,231.11999999999998,230.48000000000002,230.6,231.67999999999998,234.84000000000003,239.12,244.48000000000002,250.32000000000005,257.67999999999995,263.19999999999993,267.0399999999999,269.72,270.5199999999999,268.2800000000001,263.4,254.92,237.0000000000001,216.16000000000003,194.51999999999998,174.36,156.88,147.96000000000004,141.56,136.11999999999998,131.72000000000003,126.60000000000002,116.60000000000005,94.83999999999997,71.52000000000001,48.44000000000001,27.520000000000003,12.639999999999993,10.399999999999999,10.44,10.440000000000001,10.399999999999999,9.84,10.0,9.84,10.04,9.84,10.280000000000001,10.120000000000001,10.040000000000001,10.280000000000001,10.520000000000001,10.8,10.840000000000003,11.4,11.680000000000001,11.920000000000002,11.8,12.08,11.64,11.720000000000002,24.120000000000005,45.360000000000014,94.12000000000002,143.52000000000004,190.03999999999996,219.9199999999999,238.56,229.80000000000007,218.88,208.16000000000003,199.64,191.56,181.27999999999997,171.31999999999996,162.4,154.79999999999998,147.96000000000004,141.0,133.8,125.43999999999997,111.20000000000002,97.36000000000001,84.28,71.76,60.08,53.879999999999995,47.07999999999999,40.87999999999998,34.47999999999999,28.96,26.440000000000012,26.760000000000005,31.04,39.239999999999995,52.04000000000002,64.35999999999999,74.56,81.03999999999999,85.68,87.52000000000004,89.12000000000005,91.28000000000003,93.48,95.36000000000004,96.16000000000003,96.91999999999999,97.6000000000001,99.0,99.64000000000004,100.12,99.76000000000002,100.03999999999995,100.47999999999996,100.51999999999997,99.12,97.71999999999997,95.67999999999996,93.44,91.91999999999994,91.47999999999998,91.39999999999999,90.91999999999996,90.12,89.23999999999998,88.55999999999999,87.0,85.75999999999999,84.48000000000002,83.16000000000001,82.35999999999999,82.6,83.08000000000001,82.96000000000001,83.32000000000002
2,247.75999999999993,250.51999999999995,253.2,255.88000000000005,257.76000000000005,259.28000000000003,260.52,264.12,266.96000000000004,269.64,271.8400000000001,274.48,274.44,274.2000000000001,273.9200000000001,273.79999999999995,272.84,271.84000000000003,270.52,269.24,266.0,263.04,260.44000000000005,258.36000000000007,255.83999999999997,255.40000000000006,254.51999999999998,253.36,251.64,250.51999999999998,249.2,248.24,246.92,246.07999999999998,244.88000000000005,243.64000000000001,241.88,240.56,238.76,237.36000000000007,235.48,233.72000000000003,232.23999999999998,231.95999999999995,232.35999999999996,233.95999999999998,237.11999999999998,241.51999999999998,247.32,254.51999999999998,262.59999999999997,269.84,275.08000000000004,275.96000000000004,271.0799999999999,260.24,247.83999999999997,233.88,219.92000000000002,206.6400000000001,195.35999999999999,183.44000000000003,172.16,160.28000000000003,150.39999999999998,142.64000000000001,136.08000000000004,130.12000000000003,126.68000000000004,120.32000000000002,102.24000000000001,80.35999999999997,58.99999999999999,37.76,20.160000000000004,15.040000000000003,14.200000000000003,13.399999999999999,12.560000000000002,12.280000000000003,11.360000000000003,11.000000000000004,10.800000000000002,10.96,11.080000000000002,10.840000000000002,10.560000000000002,10.040000000000003,9.720000000000002,8.68,8.8,8.6,8.36,8.400000000000002,9.080000000000002,8.640000000000002,8.2,14.439999999999998,38.480000000000004,78.36000000000003,122.19999999999999,167.72000000000008,210.51999999999998,234.64,243.4799999999999,250.39999999999998,255.99999999999997,258.48,264.03999999999985,268.76,271.76,273.9999999999999,274.91999999999996,272.24,268.08,261.96000000000004,254.35999999999999,245.12,232.20000000000005,214.04000000000002,175.72000000000003,136.92000000000002,99.19999999999997,65.04,36.92,30.76,26.76,23.84,21.759999999999998,20.480000000000004,24.08,30.720000000000002,47.04,69.43999999999998,96.19999999999999,117.19999999999999,135.8,145.36000000000004,148.84,147.95999999999998,142.95999999999995,135.83999999999997,126.84,116.88000000000001,105.64000000000001,98.79999999999998,92.92000000000002,86.56000000000002,81.44,77.03999999999996,73.6,70.55999999999999,71.16,76.07999999999998,84.36000000000001,94.48,104.72000000000001,113.4,118.04000000000002,121.75999999999998,124.56,129.72,135.23999999999998,141.6,148.04000000000002,154.68,164.72,175.79999999999998,186.04,189.92000000000002,191.16000000000003
3,234.35999999999999,231.19999999999996,226.51999999999998,220.48000000000002,213.99999999999997,209.04000000000002,207.24,210.08000000000004,215.27999999999997,220.12,224.63999999999987,226.99999999999997,225.52000000000004,223.39999999999998,221.47999999999996,220.2,219.83999999999997,219.36000000000004,218.96,218.80000000000004,218.23999999999998,217.8,219.19999999999993,220.95999999999995,222.83999999999992,224.80000000000004,225.39999999999992,224.15999999999997,221.40000000000003,217.68000000000006,212.56000000000003,207.11999999999995,202.07999999999998,197.40000000000006,192.92000000000007,190.08000000000007,188.56,188.35999999999999,192.07999999999998,197.72000000000003,204.20000000000002,211.32,218.40000000000003,223.36,229.07999999999996,234.84000000000003,240.68,245.76000000000002,250.1599999999999,253.03999999999996,254.88,256.04,256.4,256.16,255.03999999999996,254.03999999999996,253.0,252.84000000000006,255.0,256.08,255.36,252.51999999999998,247.36,237.32000000000005,219.87999999999997,202.64000000000004,185.84000000000003,170.20000000000005,156.24,150.67999999999995,146.31999999999994,141.39999999999998,129.56,111.47999999999999,88.76000000000002,65.96000000000001,44.67999999999999,30.880000000000013,24.520000000000007,23.480000000000008,22.080000000000002,21.160000000000004,20.32,20.0,19.400000000000002,19.360000000000003,19.56,19.44,18.720000000000002,18.200000000000003,18.160000000000004,17.880000000000003,17.92,18.480000000000004,34.760000000000005,83.24000000000001,134.39999999999998,185.11999999999995,232.48,262.52000000000004,258.2,248.07999999999996,236.75999999999996,227.6799999999999,219.7199999999999,215.08000000000004,214.7600000000001,217.88000000000005,222.91999999999996,234.76,244.79999999999995,252.59999999999997,244.88000000000005,226.07999999999996,195.36,160.39999999999998,124.12,98.28,80.08,66.4,56.639999999999986,48.879999999999995,44.55999999999999,42.239999999999995,40.36,38.84,37.32000000000001,32.32,26.999999999999993,21.319999999999993,16.04,10.919999999999998,9.28,8.360000000000003,10.88,17.880000000000003,29.800000000000004,41.28000000000001,52.04,59.599999999999994,62.2,59.39999999999999,57.07999999999999,54.67999999999999,52.72000000000001,50.36000000000001,48.24,46.0,43.88000000000001,41.8,40.16,38.28,36.24000000000001,34.52,32.84,30.240000000000006,28.479999999999993,26.6,36.400000000000006,49.03999999999999,63.72,77.79999999999998,91.55999999999997,92.79999999999998,91.03999999999996,88.55999999999997,86.63999999999999,84.91999999999999,84.72,86.92000000000002,90.04000000000002
4,251.20000000000005,251.40000000000003,251.0,251.67999999999998,252.16000000000005,252.32000000000005,252.4,253.27999999999997,253.51999999999998,254.08,255.27999999999997,257.32000000000005,258.76000000000005,260.6,262.56000000000006,264.48,265.84,267.56,268.76,270.0,271.28,271.79999999999995,272.2800000000001,272.88000000000005,272.96000000000004,272.88,273.56000000000006,273.75999999999993,274.0799999999999,274.11999999999995,273.88,272.8399999999999,271.72,266.43999999999994,260.84000000000003,254.12,246.95999999999998,239.27999999999997,235.15999999999997,231.52000000000004,230.52000000000007,230.60000000000002,232.15999999999997,234.76,238.32,241.95999999999992,246.32,251.39999999999998,256.4,260.80000000000007,263.1600000000001,263.71999999999997,261.6,257.16,250.64,241.95999999999992,233.16,225.07999999999998,218.07999999999996,211.64,206.20000000000005,200.03999999999996,193.35999999999996,185.63999999999993,176.92000000000004,169.88,164.44,160.0,156.76000000000005,154.95999999999995,149.84000000000006,135.96,113.80000000000003,88.64000000000001,64.4,43.160000000000025,30.560000000000002,26.279999999999994,25.440000000000005,25.040000000000006,24.480000000000004,24.28,23.64,23.199999999999996,22.479999999999997,22.319999999999997,22.0,22.240000000000002,22.28,21.96,21.599999999999994,21.28,21.119999999999997,20.520000000000003,20.52,20.36,57.91999999999999,92.27999999999999,137.64,186.72000000000003,233.79999999999995,248.48,269.8,281.48,289.31999999999994,300.0,306.36,309.24,311.44000000000005,313.32000000000005,314.43999999999994,312.35999999999996,307.24000000000007,296.67999999999995,278.9999999999999,254.0,224.60000000000005,191.35999999999996,156.35999999999996,124.80000000000001,98.68,78.2,64.52,56.84,52.72,50.99999999999999,50.519999999999996,52.52000000000001,89.24,127.75999999999996,166.07999999999998,204.0,238.60000000000002,239.43999999999994,238.84000000000003,238.39999999999998,238.27999999999997,241.0,244.11999999999995,248.84,254.83999999999992,262.0,267.79999999999995,273.96,278.4,281.40000000000003,283.56000000000006,285.52,286.3599999999999,287.64,289.4,291.12,292.59999999999997,294.31999999999994,296.55999999999995,298.11999999999995,299.7199999999999,301.7199999999999,303.5599999999999,304.0,303.32000000000005,301.8,298.7600000000001,294.55999999999995,290.28,285.87999999999994,282.44000000000005,278.68,276.6,274.84000000000003,274.64000000000004
5,266.8799999999999,263.64,256.12,247.12000000000006,235.7600000000001,222.92000000000002,212.91999999999996,205.07999999999998,198.36,193.56000000000006,190.36,187.96000000000004,186.4000000000001,186.28000000000003,193.04000000000008,202.95999999999998,214.76,228.28000000000003,240.80000000000004,246.27999999999997,247.91999999999996,248.27999999999997,246.64,245.04000000000002,243.51999999999995,242.31999999999994,240.07999999999993,238.35999999999996,236.15999999999997,233.67999999999992,230.9999999999999,228.43999999999994,225.47999999999996,221.31999999999996,216.16,199.76000000000005,180.79999999999998,160.88,142.07999999999998,125.75999999999998,122.91999999999999,124.23999999999998,128.64,134.84000000000003,143.95999999999995,167.0,189.8,211.24,231.67999999999998,248.35999999999999,250.4,251.92000000000004,254.64,257.7199999999999,263.56000000000006,268.9599999999999,276.32000000000005,283.64000000000004,291.64,297.64,303.32000000000005,306.40000000000003,305.36000000000007,300.32000000000005,282.79999999999995,262.4000000000001,240.19999999999996,219.03999999999996,198.96000000000006,189.39999999999998,181.79999999999998,175.87999999999997,171.0,167.56,148.32,122.0,95.00000000000003,67.88,40.64,30.520000000000007,28.320000000000007,27.44,27.320000000000004,27.52000000000001,27.32,27.000000000000007,26.880000000000006,26.96,26.6,26.280000000000005,26.120000000000005,25.320000000000004,24.96,25.080000000000005,25.200000000000003,25.759999999999998,29.400000000000006,48.36,93.64000000000001,143.27999999999997,193.44000000000005,242.51999999999998,276.3600000000001,283.68000000000006,286.4000000000001,288.67999999999995,289.64,289.47999999999996,289.48,289.08000000000004,287.84,285.67999999999995,281.72,275.48,267.0400000000001,255.92000000000002,242.04,226.24,208.43999999999988,189.20000000000005,168.88,148.04000000000002,128.95999999999998,117.76000000000002,110.0,102.43999999999997,99.11999999999998,97.87999999999997,91.63999999999999,86.39999999999998,82.08000000000001,76.51999999999998,70.75999999999999,65.32,59.76000000000001,57.16000000000001,55.36,53.760000000000005,54.2,57.67999999999999,65.16000000000001,80.43999999999997,97.88000000000001,115.55999999999995,131.64000000000001,146.44,152.68000000000004,155.75999999999993,154.52000000000004,150.04000000000002,141.72000000000003,133.36000000000004,124.60000000000002,118.12000000000002,112.68000000000004,107.75999999999999,102.67999999999998,99.0,95.72000000000001,92.76000000000002,90.60000000000002,89.20000000000002,88.28,86.92000000000003,86.40000000000002,85.96000000000001,85.84000000000003,85.80000000000004,86.16,86.24000000000001,86.92000000000002
6,186.91999999999996,204.11999999999995,220.19999999999996,228.68,230.63999999999993,222.55999999999995,206.16000000000003,189.24000000000004,176.23999999999998,166.96000000000004,167.44,183.24,200.19999999999993,216.75999999999993,232.84000000000003,242.32,243.87999999999994,243.8,243.56000000000006,239.8,234.12000000000006,226.56,216.16000000000003,201.91999999999996,186.95999999999995,171.04000000000005,153.16000000000003,135.12,119.07999999999997,105.47999999999996,94.51999999999995,87.87999999999997,88.19999999999996,107.31999999999998,131.0,156.48,182.76000000000002,206.71999999999994,215.39999999999998,220.99999999999994,225.55999999999995,229.15999999999994,232.23999999999995,234.2,237.92,241.40000000000003,246.0,249.28000000000003,253.15999999999997,255.64,258.08000000000004,263.47999999999996,269.8399999999999,275.2399999999999,279.75999999999993,282.7199999999999,279.36,272.80000000000007,258.55999999999995,243.35999999999996,227.84,213.31999999999988,200.96000000000006,196.11999999999995,192.32,189.56000000000006,187.39999999999998,185.04000000000002,182.60000000000002,178.80000000000004,148.12000000000003,118.00000000000001,88.11999999999998,58.99999999999999,31.479999999999997,30.8,29.960000000000004,29.72,28.96,28.12000000000001,27.480000000000004,26.720000000000006,26.000000000000007,25.520000000000003,25.04,25.04,25.0,24.439999999999994,24.239999999999995,24.199999999999996,23.72,23.28,23.28,23.040000000000006,22.640000000000004,22.439999999999998,24.28000000000001,65.56,101.4,148.72000000000003,201.79999999999993,262.32,283.48,309.67999999999995,324.2,333.64,333.2400000000001,332.87999999999994,332.19999999999993,330.76,327.96000000000004,313.44000000000005,294.32000000000005,270.52,244.47999999999996,217.47999999999996,202.08,190.88000000000005,184.76000000000002,182.76000000000008,187.92,194.59999999999997,201.8799999999999,209.92000000000004,217.59999999999997,226.76,234.15999999999997,240.24,244.96000000000004,248.9600000000001,245.32,242.72000000000003,241.44000000000005,240.92000000000002,240.56000000000003,240.27999999999997,239.16000000000005,237.00000000000006,233.88,228.91999999999996,220.56000000000006,211.96000000000004,202.27999999999994,193.20000000000005,185.84,182.23999999999995,179.2800000000001,178.32000000000005,177.92000000000002,178.32000000000005,181.32000000000002,188.64000000000001,198.8,219.96000000000004,241.00000000000003,260.32000000000005,275.64,287.96000000000004,288.43999999999994,287.20000000000005,283.4,276.6400000000001,266.7600000000001,247.20000000000005,226.8400000000001,207.16000000000003,189.24000000000007,173.6,166.91999999999996,161.68,156.71999999999997
7,235.8,223.24000000000007,210.95999999999998,200.92,193.64,191.0,198.32,208.55999999999997,218.99999999999994,228.36,234.87999999999994,234.60000000000002,230.08000000000007,222.63999999999993,212.88000000000002,201.55999999999995,181.56000000000003,161.44000000000005,142.27999999999997,124.19999999999996,108.56,103.47999999999999,101.64,114.67999999999998,131.32000000000002,150.23999999999998,169.04000000000002,188.12,194.56000000000006,199.16000000000003,202.8400000000001,205.64,207.83999999999997,210.11999999999998,212.64000000000004,214.15999999999997,219.07999999999996,223.47999999999996,227.39999999999998,231.23999999999995,235.68000000000004,237.27999999999992,238.80000000000007,240.44,241.84,243.35999999999996,244.64,246.51999999999998,248.67999999999995,251.92,254.95999999999998,258.6,262.03999999999996,264.52000000000004,267.15999999999997,269.43999999999994,271.6,273.48,275.6,276.12,275.4,272.68000000000006,258.3599999999999,241.84000000000003,223.55999999999995,205.20000000000005,187.44000000000008,178.84000000000003,145.6,114.28000000000002,83.80000000000001,53.800000000000004,26.240000000000002,25.56,24.6,24.520000000000003,24.0,23.760000000000005,23.120000000000005,22.64,21.96,21.800000000000004,21.24000000000001,21.120000000000005,21.6,21.680000000000003,21.36,21.560000000000002,21.560000000000002,21.120000000000005,21.279999999999998,27.28000000000001,43.44,80.68000000000002,141.03999999999996,201.64000000000001,257.64,303.55999999999995,328.79999999999995,330.91999999999996,332.15999999999997,332.6,331.67999999999995,323.9599999999999,314.4,301.9599999999999,287.03999999999985,269.16,254.88000000000005,239.64000000000004,222.88,209.40000000000003,198.8,190.16000000000003,183.51999999999998,182.68,181.76,181.40000000000006,182.48000000000002,184.48,184.56,183.71999999999997,181.11999999999998,177.67999999999998,173.95999999999998,170.71999999999997,167.35999999999999,164.92,161.44,153.96,146.0,138.8,133.07999999999998,128.88000000000005,128.72000000000003,129.51999999999998,130.48000000000002,130.83999999999997,131.71999999999997,137.6,151.51999999999998,170.88,190.39999999999998,209.87999999999994,225.96000000000004,234.32,237.32000000000005,240.88000000000005,245.00000000000006,248.04000000000008,251.23999999999995,253.71999999999997,252.5599999999999,246.88,238.91999999999996,228.04,215.76,204.79999999999998,195.88000000000002,188.8,181.47999999999996,175.72000000000008,171.56,168.32000000000005,165.27999999999997,164.32,162.99999999999991,161.24000000000004,160.47999999999996,161.64,166.68
8,212.56,216.27999999999992,220.83999999999992,225.2,229.32,232.15999999999997,233.72000000000003,234.28000000000003,234.64000000000001,229.24000000000004,221.95999999999998,212.40000000000003,201.35999999999996,188.16000000000003,178.35999999999999,170.88,166.59999999999997,169.55999999999997,176.44000000000005,186.95999999999995,199.31999999999994,211.83999999999992,219.60000000000002,225.96000000000004,232.16000000000005,236.9600000000001,241.5600000000001,245.0800000000001,248.20000000000005,249.6,251.32000000000008,252.84000000000006,254.40000000000003,256.08,257.6,258.63999999999993,261.28,264.4,271.64000000000004,346.0799999999999,352.1200000000001,356.60000000000014,360.64,361.08000000000004,294.55999999999995,296.08000000000004,296.48,296.55999999999995,294.9200000000001,292.7200000000001,290.08000000000004,287.48,284.47999999999985,282.43999999999994,280.4799999999999,278.8799999999999,276.5999999999999,272.68,266.03999999999996,257.5199999999999,246.72000000000003,235.36,223.72000000000003,211.87999999999997,200.48,189.92000000000002,179.36,146.8799999999999,116.8,88.52000000000002,62.08,37.44,36.079999999999984,34.84,34.08,33.12,31.920000000000005,31.360000000000003,31.08000000000001,30.400000000000006,29.880000000000003,29.840000000000007,29.720000000000002,29.800000000000008,29.400000000000006,29.440000000000005,28.759999999999998,28.68,28.04,27.960000000000004,27.720000000000002,27.880000000000003,27.800000000000004,28.240000000000002,31.880000000000006,47.879999999999995,91.19999999999999,128.4,172.35999999999999,218.00000000000003,253.44,262.55999999999995,278.24000000000007,287.24000000000007,290.72,290.88,289.39999999999986,287.47999999999996,286.1199999999999,285.0799999999999,284.8399999999999,285.15999999999997,285.47999999999996,284.91999999999996,283.88,282.3600000000001,281.12,279.15999999999997,276.36,272.79999999999995,268.52,262.11999999999995,254.36,245.63999999999993,235.56,224.44,213.68,203.67999999999995,194.95999999999992,188.96000000000004,186.07999999999998,186.75999999999993,190.91999999999996,198.83999999999997,209.67999999999995,221.51999999999998,232.64,242.04000000000005,248.71999999999997,252.23999999999998,253.35999999999999,253.20000000000005,252.68000000000004,251.19999999999993,249.92000000000002,249.11999999999995,248.56000000000003,248.03999999999996,247.64,246.92000000000002,246.0,244.6400000000001,243.11999999999998,241.07999999999998,238.8,235.64000000000004,232.28000000000003,228.04000000000002,222.60000000000002,216.12000000000006,209.6,202.51999999999992,195.44000000000005,189.88,185.16000000000003,181.08000000000007,178.0,175.56000000000006,172.84,170.56000000000003,168.12000000000006
9,184.2,176.71999999999997,169.51999999999998,164.36,160.16,156.48000000000002,152.76,149.4,146.71999999999997,144.72000000000003,144.64,147.87999999999997,153.91999999999996,161.60000000000002,169.76000000000005,177.71999999999997,183.88,188.95999999999998,192.39999999999998,198.0,203.72,209.48000000000002,214.79999999999995,220.32,223.48000000000002,226.48000000000002,229.44,231.28,233.48000000000002,235.00000000000003,235.96000000000006,236.04000000000005,236.71999999999997,237.03999999999996,238.27999999999997,239.44,241.68,244.63999999999993,248.0,250.75999999999993,254.03999999999996,256.4,257.68,257.1600000000001,256.28000000000003,253.68000000000006,249.88000000000002,244.36,238.08000000000004,230.76000000000005,223.51999999999998,215.99999999999994,208.60000000000002,200.76,192.44000000000003,183.60000000000005,175.52,167.72,161.16000000000003,156.35999999999996,152.64,149.7199999999999,147.79999999999995,146.19999999999993,143.88,141.15999999999997,137.24,128.11999999999998,105.72,83.56000000000003,62.28000000000001,42.24,27.360000000000007,26.440000000000005,26.04000000000001,25.160000000000007,24.640000000000004,24.6,24.36,24.119999999999997,24.32,24.360000000000007,24.520000000000003,24.72,24.880000000000003,25.28,25.240000000000002,24.839999999999996,24.719999999999995,24.64,24.840000000000003,24.800000000000004,24.64,24.520000000000003,24.400000000000002,24.120000000000008,23.960000000000008,26.480000000000008,36.44,70.2,103.24000000000001,141.35999999999999,183.28000000000003,217.83999999999997,226.7199999999999,237.87999999999997,245.79999999999998,246.24000000000007,245.8,246.2000000000001,244.12,241.03999999999994,240.3999999999999,241.11999999999995,243.31999999999988,246.07999999999993,249.43999999999997,252.83999999999992,256.92,260.52000000000004,262.68,262.84000000000003,259.80000000000007,254.0,245.83999999999997,236.71999999999997,226.60000000000002,216.39999999999998,205.51999999999995,195.16000000000003,186.08000000000004,177.04000000000005,165.96,155.95999999999998,147.64000000000001,139.23999999999995,133.16000000000003,131.43999999999997,128.71999999999997,126.04,124.40000000000003,122.32000000000002,120.16,128.95999999999998,144.40000000000003,166.8,193.75999999999996,221.76000000000005,241.68,256.91999999999996,265.63999999999993,269.64,271.68000000000006,271.55999999999995,267.5999999999999,262.35999999999996,255.96,248.39999999999995,239.96000000000004,232.3599999999999,225.27999999999994,219.23999999999998,214.95999999999998,212.67999999999992,211.51999999999998,210.48,209.68,208.83999999999995,208.48000000000002,208.52,210.8
10,222.99999999999997,215.56000000000003,204.60000000000002,191.44,178.52,166.0,155.67999999999995,147.15999999999997,140.71999999999994,136.48000000000002,134.12,133.04,134.35999999999999,137.35999999999999,141.44,147.44,155.15999999999997,165.55999999999997,178.79999999999993,191.72000000000006,204.48000000000002,215.91999999999996,225.24000000000004,232.0,238.47999999999996,243.56,248.96,253.52000000000004,257.12,260.36,262.8800000000001,264.43999999999994,265.6,267.0400000000001,268.03999999999996,269.59999999999997,272.0,274.96,278.15999999999997,282.84000000000003,287.72,292.24,296.11999999999995,299.52000000000004,300.8800000000001,301.56000000000006,300.7200000000001,298.64,294.12,287.36,278.15999999999997,267.52000000000004,256.72,241.0,225.95999999999998,211.68000000000006,198.03999999999996,184.4,176.24,169.68,164.0399999999999,159.68,156.47999999999996,154.79999999999995,153.51999999999998,152.63999999999996,150.8,141.12,120.35999999999999,96.52000000000001,72.67999999999998,50.40000000000001,36.08,32.76,32.879999999999995,32.959999999999994,32.8,32.599999999999994,32.63999999999999,32.28,32.040000000000006,31.919999999999995,31.83999999999999,31.799999999999997,32.04,32.0,31.560000000000002,31.559999999999995,31.679999999999993,31.319999999999997,31.36,31.680000000000003,31.880000000000003,31.440000000000005,31.400000000000006,31.440000000000005,31.84,74.68,132.47999999999996,190.35999999999999,245.72000000000003,297.67999999999984,304.15999999999997,296.75999999999993,288.3999999999998,281.11999999999995,276.12,271.84000000000003,266.36,261.68000000000006,258.48,257.88,260.20000000000005,263.55999999999995,268.44,274.3599999999999,279.91999999999996,287.68000000000006,297.44000000000005,306.64,314.32,320.3599999999999,321.4,318.00000000000006,311.44,302.64,291.03999999999996,277.56000000000006,262.72,246.68,228.96000000000004,210.80000000000007,195.27999999999997,184.95999999999998,178.96,176.92,179.16,182.32,182.76,180.36,177.12,172.95999999999998,168.92000000000002,165.52000000000004,165.08000000000004,166.92000000000002,169.44,173.40000000000003,178.07999999999998,182.64,186.35999999999996,189.23999999999998,190.68,192.12,193.12000000000003,193.72000000000003,195.76000000000005,199.36,203.60000000000002,207.39999999999995,212.24,215.16000000000003,215.48,213.92000000000002,210.76,206.11999999999998,201.64,196.99999999999997,192.15999999999997,187.20000000000002,181.51999999999998
