Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,232.55999999999997,231.19999999999993,230.4399999999999,229.91999999999993,228.84000000000003,227.72000000000003,227.24,226.19999999999996,225.52000000000004,224.47999999999993,223.27999999999992,222.47999999999996,220.1999999999999,217.07999999999993,213.79999999999995,209.79999999999995,204.07999999999998,198.23999999999995,191.48000000000002,183.88000000000005,175.67999999999998,166.88,156.40000000000003,145.88,135.8,126.4,119.75999999999999,116.75999999999998,117.24,121.55999999999997,127.71999999999997,134.91999999999996,142.64,150.44,158.47999999999996,168.56,181.32,194.39999999999995,205.43999999999986,214.31999999999988,220.55999999999995,222.16,222.39999999999992,222.47999999999996,221.60000000000002,219.55999999999995,217.75999999999993,214.92000000000007,211.71999999999997,208.08000000000004,205.5200000000001,203.91999999999993,204.19999999999996,204.7999999999999,204.39999999999995,202.51999999999992,198.44,193.44,188.55999999999995,184.48000000000005,180.64,178.35999999999996,174.35999999999993,169.19999999999993,162.79999999999995,155.36,144.83999999999992,131.71999999999997,107.36000000000001,76.32,47.359999999999985,21.319999999999993,-0.4000000000000008,-9.440000000000001,-9.24,-10.159999999999998,-11.239999999999998,-11.639999999999999,-12.239999999999998,-13.159999999999998,-12.599999999999998,-12.399999999999999,-12.719999999999999,-13.04,-13.279999999999998,-14.279999999999998,-14.559999999999995,-14.999999999999995,-15.439999999999996,-15.719999999999999,-15.84,-16.4,-16.159999999999997,-16.2,-16.599999999999998,-16.08,-15.559999999999999,-4.840000000000005,26.840000000000003,93.48000000000002,159.76000000000005,211.47999999999996,246.6,258.15999999999997,234.95999999999998,211.32000000000005,199.56000000000006,189.07999999999993,177.72,163.00000000000009,145.04000000000008,127.67999999999998,113.27999999999992,101.55999999999997,92.72000000000003,86.91999999999999,83.16000000000003,81.24000000000001,81.16000000000005,82.23999999999998,84.47999999999996,86.83999999999997,89.75999999999993,93.87999999999997,98.43999999999993,104.23999999999992,112.52,121.23999999999995,128.39999999999998,133.84000000000003,137.00000000000006,138.12000000000003,138.00000000000006,139.08000000000007,144.24000000000012,152.2000000000001,162.08000000000004,171.80000000000004,179.59999999999997,183.24,184.60000000000002,185.60000000000008,189.91999999999996,197.80000000000013,208.04000000000002,218.56000000000003,228.32,235.51999999999992,239.56000000000006,242.84000000000003,246.4400000000001,249.52000000000004,251.92000000000004,254.48000000000005,256.4800000000001,257.5200000000001,257.72,257.72,257.56000000000006,257.68,257.6000000000001,258.04,259.12000000000006,260.56000000000006,260.88000000000005,261.15999999999997,261.20000000000005,260.84000000000003,260.64000000000004,261.2,261.76
2,259.12000000000006,260.56000000000006,260.88000000000005,261.15999999999997,261.20000000000005,260.84000000000003,260.64000000000004,261.2,261.76,262.8399999999999,264.0799999999999,265.68,267.12,268.28,268.11999999999995,267.72,265.64,262.76,259.79999999999995,257.08000000000004,254.95999999999995,252.92000000000002,251.19999999999993,248.99999999999994,247.03999999999994,244.07999999999993,243.32,243.83999999999992,245.83999999999995,248.47999999999993,251.60000000000002,253.12000000000003,252.92000000000007,251.8,251.0,250.04000000000002,249.6,250.56000000000006,252.1600000000001,253.60000000000005,255.28000000000003,256.04,254.88,251.88000000000005,246.32,239.88,233.64000000000001,228.84,225.96000000000004,225.2,225.96000000000004,227.35999999999996,227.56000000000006,228.08000000000004,229.36,231.04,233.12,234.92000000000007,234.36,229.60000000000008,219.04000000000008,206.16,195.16000000000003,182.7600000000001,171.84000000000003,162.12000000000003,150.24,130.83999999999997,100.96000000000002,68.88000000000002,39.96000000000001,14.799999999999999,-3.480000000000003,-8.360000000000005,-9.16,-10.160000000000002,-11.120000000000003,-11.800000000000002,-12.240000000000004,-12.480000000000002,-12.960000000000004,-13.280000000000001,-13.400000000000002,-13.680000000000001,-14.04,-14.240000000000002,-14.239999999999998,-14.759999999999998,-14.879999999999995,-15.759999999999994,-15.759999999999996,-16.36,-16.839999999999996,-17.439999999999998,-17.359999999999996,-16.999999999999996,-12.799999999999999,7.640000000000009,31.399999999999988,63.11999999999999,108.24,153.92000000000002,180.28,201.63999999999993,215.83999999999997,219.52000000000004,221.00000000000006,225.08000000000004,228.16000000000003,224.8800000000001,199.64000000000001,167.0,131.32,98.6,71.03999999999999,58.480000000000004,50.120000000000005,45.56,41.08000000000001,37.640000000000015,38.120000000000005,40.2,41.919999999999995,42.480000000000004,42.24,41.16,39.599999999999994,38.15999999999999,37.400000000000006,37.2,37.16,37.480000000000004,38.47999999999999,39.08,39.480000000000004,40.32000000000001,40.480000000000004,40.480000000000004,40.56,40.27999999999999,40.23999999999998,41.20000000000001,42.20000000000002,45.0,51.92,59.480000000000004,69.03999999999999,82.51999999999998,102.20000000000002,123.36000000000001,147.03999999999996,170.56,190.60000000000008,204.23999999999995,213.24,219.68000000000004,224.16,227.52000000000004,229.51999999999998,230.44,230.35999999999999,230.4,230.20000000000005,230.47999999999996,231.15999999999997,231.88,232.23999999999995,233.11999999999995,233.67999999999995,233.23999999999995,233.23999999999995
3,210.12,212.43999999999997,216.15999999999997,220.83999999999997,225.39999999999992,230.04000000000005,234.79999999999998,238.43999999999988,240.75999999999993,242.24000000000007,242.99999999999994,242.84000000000003,242.1599999999999,241.59999999999997,241.24,240.44,239.64,239.07999999999998,237.76000000000005,235.8400000000001,233.72000000000003,231.76000000000005,228.92000000000007,227.16000000000003,225.5999999999999,224.35999999999999,222.48,221.71999999999997,221.35999999999999,221.32000000000002,221.76000000000005,222.44,222.88,223.68,225.11999999999995,226.95999999999998,229.23999999999995,232.03999999999996,234.23999999999998,236.59999999999997,238.67999999999998,241.12,242.63999999999996,244.56,245.79999999999998,246.56,246.1599999999999,244.76,241.56000000000006,237.43999999999994,232.83999999999997,227.08000000000004,220.92000000000002,214.68,207.92000000000002,200.72000000000006,193.87999999999997,187.92000000000013,182.32000000000005,174.68000000000006,167.24000000000004,160.76000000000013,155.72000000000003,150.16000000000003,146.08000000000004,140.27999999999992,127.99999999999997,104.12,73.44,43.52,16.51999999999999,-3.6799999999999984,-13.199999999999994,-14.519999999999989,-14.719999999999992,-14.99999999999999,-15.68,-16.28,-17.199999999999996,-18.319999999999993,-19.52,-20.119999999999994,-20.359999999999996,-20.639999999999997,-20.799999999999997,-20.72,-21.039999999999996,-21.679999999999996,-22.479999999999997,-22.839999999999996,-23.119999999999997,-23.72,-23.319999999999993,-18.839999999999996,2.5600000000000014,22.240000000000002,60.56,112.19999999999997,167.24,199.32000000000005,229.68000000000006,240.55999999999992,235.9600000000001,221.28,203.07999999999993,187.67999999999995,174.23999999999992,162.95999999999995,156.56,168.44000000000005,183.20000000000005,198.08000000000004,212.84,224.88,226.68,225.28000000000003,223.23999999999998,219.88000000000005,217.8,217.0,217.0,216.96000000000004,217.32000000000008,217.32000000000005,217.04000000000002,216.84000000000003,216.43999999999994,216.52000000000004,215.84000000000003,215.47999999999996,214.79999999999998,213.52000000000004,212.39999999999998,211.48000000000002,209.96000000000004,208.88,208.48000000000002,207.88,208.0,208.47999999999996,208.51999999999995,208.8,208.40000000000003,208.00000000000003,207.95999999999998,208.07999999999993,207.79999999999998,208.03999999999996,208.03999999999996,207.79999999999998,207.31999999999994,206.95999999999995,206.87999999999994,207.11999999999995,206.79999999999998,206.64000000000001,206.92000000000002,206.72000000000003,206.28000000000003,206.71999999999997,206.99999999999997,207.32,207.55999999999997,207.71999999999997,207.83999999999997,207.67999999999995,207.31999999999994,207.36,207.55999999999995,207.36,207.07999999999993
4,203.11999999999998,202.87999999999994,202.47999999999993,202.07999999999998,201.72000000000003,200.88000000000008,200.12000000000006,199.40000000000003,199.44000000000005,199.12000000000006,199.08000000000004,198.71999999999997,198.12,196.95999999999998,195.79999999999995,193.79999999999995,191.75999999999996,190.11999999999998,188.71999999999997,187.72,188.1600000000001,189.04000000000002,190.5200000000001,191.36,192.72,193.24,193.60000000000002,193.88000000000005,194.64000000000001,195.35999999999996,196.51999999999998,198.08000000000004,199.48000000000002,200.88,202.03999999999996,202.95999999999992,203.55999999999995,203.19999999999996,202.88,201.68,200.92000000000002,199.80000000000004,198.92,198.03999999999996,197.79999999999995,197.51999999999992,197.8,198.91999999999996,199.99999999999994,199.87999999999997,199.64000000000004,198.36,196.56000000000003,195.32,195.07999999999998,192.12000000000003,189.08000000000004,183.84,175.84000000000003,165.96000000000004,157.92000000000002,150.15999999999997,144.67999999999995,142.0,141.12,140.15999999999997,136.08000000000004,119.51999999999998,91.68000000000002,61.80000000000003,32.48000000000001,6.4,-7.4399999999999995,-10.519999999999998,-11.520000000000003,-12.280000000000003,-12.880000000000003,-13.160000000000002,-13.879999999999997,-14.360000000000001,-14.96,-15.36,-16.16,-16.72,-17.039999999999996,-17.32,-17.639999999999997,-17.959999999999997,-17.839999999999996,-18.64,-18.96,-19.4,-19.24,-19.480000000000004,-11.88,2.8400000000000087,28.360000000000003,65.68000000000004,119.72000000000003,175.55999999999997,199.39999999999992,209.99999999999997,206.91999999999996,176.23999999999995,132.48000000000002,115.67999999999998,108.75999999999996,107.07999999999998,99.16000000000003,95.56000000000006,90.96000000000004,82.20000000000002,72.63999999999999,90.79999999999998,126.08000000000001,166.95999999999992,205.4400000000001,239.71999999999997,260.28,260.59999999999997,252.24,242.52000000000004,234.51999999999998,229.8,228.64000000000004,228.32000000000005,229.28,229.31999999999994,229.67999999999998,229.88,231.84000000000003,233.11999999999998,235.4,236.91999999999996,237.71999999999997,237.83999999999992,237.88,237.20000000000005,236.96,237.07999999999998,237.16000000000003,237.56000000000006,237.92000000000004,237.91999999999996,236.83999999999997,234.88000000000005,232.67999999999998,230.00000000000006,228.19999999999996,227.8,228.56,229.75999999999993,232.36,235.23999999999995,238.48000000000002,241.51999999999998,243.96,246.19999999999996,247.67999999999995,247.91999999999996,247.88,248.72,248.64000000000001,248.03999999999994,247.51999999999995,246.07999999999993,242.43999999999994,238.15999999999997,232.59999999999997,226.23999999999998,219.40000000000003
5,248.79999999999995,249.48,250.23999999999995,250.95999999999998,251.48000000000008,252.27999999999997,252.47999999999996,252.64000000000001,252.52000000000004,251.76000000000005,250.88,250.11999999999995,249.07999999999998,248.35999999999999,247.99999999999994,247.12,246.0,245.12000000000003,243.36,241.71999999999997,239.96000000000004,238.43999999999997,236.56,235.39999999999998,234.03999999999996,232.96000000000004,232.84,234.9199999999999,240.71999999999997,246.5999999999999,252.39999999999995,257.44,260.48,260.24,260.3999999999999,261.68000000000006,263.84000000000003,265.99999999999994,268.88,271.19999999999993,272.00000000000006,272.36,272.59999999999997,272.15999999999997,271.2800000000001,269.9600000000001,268.28000000000003,266.55999999999995,265.63999999999993,265.79999999999995,267.55999999999995,268.55999999999995,268.52,265.64,260.55999999999995,252.96,242.36,230.68,221.31999999999994,211.36,194.07999999999996,180.63999999999993,165.8399999999999,148.20000000000005,132.48,124.80000000000001,113.8,99.47999999999999,76.03999999999999,52.60000000000001,30.039999999999985,10.560000000000004,-1.5999999999999983,-2.400000000000004,-3.0,-3.440000000000001,-4.120000000000004,-4.720000000000001,-5.6400000000000015,-6.400000000000002,-6.960000000000001,-6.519999999999996,-6.639999999999997,-7.119999999999999,-6.839999999999998,-6.839999999999997,-7.68,-7.959999999999999,-7.879999999999999,-8.319999999999999,-8.719999999999999,-8.959999999999997,-9.12,-8.879999999999999,-8.840000000000002,-7.839999999999998,3.5199999999999996,21.719999999999995,88.80000000000003,152.87999999999997,201.48000000000002,233.68000000000004,259.20000000000005,237.56,222.03999999999996,222.12,224.95999999999998,221.96000000000006,213.92000000000007,199.67999999999998,183.28000000000003,171.31999999999996,166.48,166.80000000000004,172.15999999999997,181.08000000000004,191.20000000000005,201.60000000000002,210.84000000000003,218.99999999999994,225.64000000000001,229.8,232.39999999999998,234.44,235.72,235.2000000000001,235.44,235.36000000000007,235.00000000000003,234.35999999999999,235.0,235.44000000000005,235.55999999999995,235.27999999999997,236.64,237.16000000000005,237.28000000000003,237.39999999999998,237.76000000000005,236.80000000000007,236.52000000000007,235.88,235.68,235.72000000000003,235.2,235.07999999999998,235.11999999999995,234.44,233.52000000000004,233.24,232.48000000000002,230.6,227.63999999999996,223.03999999999996,217.19999999999993,210.6,206.12,205.0,210.31999999999996,219.40000000000003,230.36,241.56000000000003,250.92000000000007,255.92,258.15999999999997,259.31999999999994,259.56000000000006,260.08,260.3599999999999,260.91999999999996,261.20000000000005
6,261.08,260.8399999999999,261.31999999999994,260.55999999999995,260.47999999999996,260.15999999999997,259.24,257.72,256.15999999999997,253.32000000000005,250.72,248.72000000000003,245.92000000000002,242.79999999999998,239.88,236.20000000000005,232.2,229.16,227.48000000000005,226.44000000000005,227.0,228.6,231.0,234.40000000000003,238.60000000000002,242.60000000000002,246.0800000000001,249.32,252.08,254.12000000000003,256.24,258.12,258.91999999999996,258.84,258.8,258.44,259.08000000000004,259.88000000000005,260.03999999999996,331.0000000000001,427.83999999999986,523.0,617.76,711.84,734.84,732.0,729.5600000000002,728.4000000000002,729.44,731.72,735.1999999999999,739.4000000000001,742.4399999999999,744.2400000000002,743.6800000000001,739.76,733.1200000000001,724.1200000000001,712.4800000000002,699.1200000000001,685.1200000000001,670.6800000000001,658.4000000000001,648.3599999999999,641.76,637.24,639.0,638.6000000000001,634.1999999999998,619.6399999999999,594.04,564.96,440.8800000000001,321.87999999999994,212.31999999999994,114.03999999999999,15.399999999999999,14.24,13.040000000000003,12.080000000000002,11.079999999999998,10.719999999999995,10.600000000000001,10.16,9.48,8.760000000000003,8.16,7.520000000000001,6.760000000000001,5.960000000000002,6.0,5.7600000000000025,4.840000000000002,5.760000000000002,15.479999999999999,28.240000000000002,57.72,100.67999999999995,152.24,191.88000000000005,223.43999999999994,234.0,236.60000000000005,209.0,184.55999999999997,162.8,145.0,121.99999999999997,118.35999999999999,116.04000000000002,113.24000000000001,109.32000000000002,104.84000000000003,101.44000000000003,97.60000000000002,96.39999999999998,96.75999999999999,109.92000000000004,132.00000000000003,162.28000000000003,196.75999999999993,233.35999999999996,258.52,273.28000000000003,278.87999999999994,279.15999999999985,276.71999999999997,273.8799999999999,271.28,268.92,267.36,266.36,265.11999999999995,265.67999999999984,267.0799999999999,268.2799999999999,269.96,271.88,273.6,275.19999999999993,276.28,276.79999999999984,278.0399999999999,278.52,296.2399999999999,394.67999999999984,492.76,590.5200000000002,688.44,768.8399999999999,769.2400000000002,770.1200000000002,771.28,771.9200000000001,772.5999999999999,772.8000000000001,773.3600000000001,773.2400000000001,773.8,773.8800000000001,774.0800000000002,774.44,774.48,773.9600000000003,773.8000000000002,773.6400000000001,773.04,773.1599999999999,773.76,773.88,774.3999999999999
7,761.96,760.64,760.6,759.96,760.2800000000001,760.8000000000001,761.72,762.3599999999999,763.4000000000001,764.24,764.2,763.96,763.2800000000001,761.9600000000002,760.1999999999999,758.9200000000001,757.7600000000002,757.3200000000004,756.8400000000001,758.04,758.96,760.24,761.84,764.0800000000002,765.4399999999999,767.36,769.72,771.3600000000001,773.2,775.5200000000001,777.4799999999999,778.2,779.1200000000003,779.2800000000002,778.2000000000005,776.6800000000001,775.3600000000002,773.4000000000001,771.24,769.24,767.0000000000002,763.9200000000002,760.04,755.6000000000001,748.7199999999998,740.4000000000001,632.4000000000002,521.6799999999998,410.9599999999999,302.2799999999999,194.63999999999996,187.7999999999999,183.92000000000007,181.11999999999998,178.39999999999995,176.76,175.39999999999995,175.68,175.39999999999998,283.91999999999985,383.20000000000005,482.8800000000001,587.9200000000003,672.0799999999998,643.2399999999999,564.4800000000001,429.3999999999999,288.8800000000001,169.28000000000003,54.63999999999999,-0.7600000000000025,-0.5999999999999979,-1.160000000000002,-1.5999999999999939,-2.079999999999996,-2.8799999999999963,-3.2799999999999927,-4.119999999999995,-4.6399999999999935,-5.079999999999992,-5.19999999999999,-5.47999999999999,-5.6799999999999935,-5.919999999999992,-5.6799999999999935,-5.840000000000002,-6.1199999999999966,-6.2399999999999975,-6.159999999999999,-6.6799999999999935,-6.159999999999996,-2.6399999999999966,10.159999999999995,36.64,98.52000000000001,149.63999999999996,191.2,221.88,240.60000000000002,225.88000000000002,221.6,221.20000000000002,217.7999999999999,207.99999999999994,193.08000000000004,175.48000000000002,160.79999999999995,151.7199999999999,148.84,151.60000000000002,159.48000000000002,171.03999999999994,190.56000000000003,212.08,231.87999999999997,249.12,261.47999999999996,264.24,262.48,259.75999999999993,257.19999999999993,255.80000000000007,255.27999999999992,255.64,256.24,256.67999999999995,256.48,256.84,256.36,255.51999999999998,254.52000000000004,253.47999999999996,251.2,249.51999999999987,247.44,244.31999999999994,239.71999999999997,234.51999999999998,229.23999999999998,224.92000000000002,222.31999999999996,222.72,226.55999999999995,231.91999999999996,237.39999999999998,242.39999999999998,247.24,249.76000000000002,251.40000000000003,253.0,254.35999999999993,254.88,255.88,256.40000000000003,256.88,257.4,258.1600000000001,258.44000000000005,259.0399999999999,259.48,260.04,260.72,261.68,263.15999999999997,264.1600000000001,265.19999999999993,265.92,266.44,266.56,267.36,267.59999999999997
8,270.1600000000001,270.52000000000004,270.8,270.79999999999995,271.0399999999999,270.76,270.4,269.84,268.28,266.9999999999999,265.2,262.92,260.4,259.28,257.55999999999995,256.08,255.79999999999995,255.63999999999993,255.27999999999997,255.76000000000005,256.9200000000001,257.32,258.24,259.24000000000007,259.99999999999994,260.88,262.0799999999999,262.76,263.79999999999995,264.43999999999994,265.0,265.44,266.0799999999999,265.56000000000006,265.71999999999997,265.55999999999995,265.03999999999996,263.32000000000005,261.47999999999996,259.2,255.07999999999998,250.44,244.36,237.48000000000002,229.95999999999992,222.4,214.99999999999994,210.60000000000002,207.76,206.36000000000004,208.31999999999996,212.7199999999999,217.83999999999997,222.43999999999994,225.16000000000008,223.52000000000004,218.67999999999998,212.51999999999992,206.19999999999996,200.64000000000004,197.1599999999999,194.27999999999997,191.07999999999998,188.00000000000003,185.27999999999997,182.08000000000004,176.43999999999997,163.00000000000006,136.12,107.71999999999997,80.03999999999999,55.519999999999996,38.879999999999995,35.599999999999994,33.56,32.0,30.320000000000007,28.799999999999997,27.68,26.96,26.520000000000007,26.52,27.240000000000002,27.56,27.919999999999995,27.639999999999997,27.2,26.04,25.08,24.32,23.68,23.279999999999998,23.32,25.28000000000001,49.959999999999994,87.64000000000004,145.56000000000003,204.60000000000002,253.99999999999997,273.19999999999993,276.12,257.84,241.59999999999997,232.52000000000004,228.60000000000002,220.8,213.88000000000005,205.64000000000001,200.71999999999997,200.39999999999998,209.83999999999997,220.8,230.39999999999998,238.75999999999996,244.56,247.59999999999997,248.51999999999998,248.68000000000006,246.88,244.83999999999997,243.28,241.87999999999994,240.84,240.39999999999995,241.2,241.71999999999997,243.08000000000004,244.79999999999998,246.20000000000002,247.0,248.28,249.44,249.92000000000002,250.60000000000002,251.24,251.76000000000005,251.8800000000001,251.96000000000004,252.16000000000003,252.64000000000004,252.83999999999997,253.11999999999995,253.23999999999995,252.79999999999995,251.64,250.68,249.56,248.2,247.24000000000007,246.04000000000008,243.51999999999995,240.51999999999992,237.48000000000008,234.96000000000004,233.64,235.0399999999999,237.75999999999993,241.47999999999996,245.35999999999996,249.12,251.31999999999985,252.87999999999994,254.48000000000002,255.23999999999995,256.0799999999999,258.15999999999997,260.28,261.48,263.03999999999996,263.84,263.5999999999999
9,249.12,251.31999999999985,252.87999999999994,254.48000000000002,255.23999999999995,256.0799999999999,258.15999999999997,260.28,261.48,263.03999999999996,263.84,263.5999999999999,262.23999999999995,261.48,260.15999999999997,259.40000000000003,257.68,256.64,255.44,254.48000000000002,252.56,250.99999999999994,249.44000000000003,247.55999999999997,245.84,243.8,242.00000000000006,240.60000000000008,239.84000000000006,239.36000000000007,239.83999999999997,241.27999999999997,243.32,245.8,249.39999999999998,253.0,256.1600000000001,258.2,259.6400000000001,260.08,260.52,260.68000000000006,261.2800000000001,262.12,263.68,265.76000000000005,268.28000000000003,270.28,271.68000000000006,271.48,269.88,267.68,267.15999999999997,267.0,267.84000000000003,269.63999999999993,271.0,270.55999999999995,268.76,266.12,259.55999999999995,252.79999999999998,244.88000000000005,237.39999999999998,225.36000000000007,214.36000000000007,202.16000000000003,188.51999999999992,170.44,147.43999999999994,115.52000000000001,84.75999999999998,56.400000000000034,32.919999999999995,18.919999999999998,16.2,13.88,12.119999999999997,11.04,10.479999999999999,9.479999999999993,8.839999999999996,8.52,7.399999999999999,6.119999999999998,5.599999999999999,4.799999999999997,4.079999999999998,3.6399999999999952,3.7199999999999998,3.399999999999999,3.239999999999998,3.039999999999998,2.879999999999997,2.3199999999999994,1.8800000000000014,2.199999999999997,4.679999999999999,15.759999999999998,30.960000000000008,50.03999999999999,89.4,129.52000000000004,159.55999999999997,177.36000000000004,187.95999999999992,175.48000000000005,157.72,141.60000000000002,134.43999999999997,132.4,132.2,133.39999999999992,133.59999999999997,131.07999999999993,125.07999999999996,118.91999999999999,113.63999999999999,109.47999999999999,107.16000000000003,107.76000000000002,110.56,114.84000000000006,121.72,131.0,141.08,153.6,164.08000000000004,170.84000000000003,173.83999999999997,174.28,169.2000000000001,163.8,158.88,154.76000000000005,151.00000000000006,149.92000000000007,150.92000000000007,153.80000000000007,158.36,164.24000000000007,169.9600000000001,174.56000000000012,178.64000000000001,182.16000000000005,185.27999999999997,187.60000000000002,189.71999999999997,190.88,191.39999999999998,191.68,191.60000000000002,191.72000000000003,192.24,192.64,192.88000000000002,193.40000000000003,194.48000000000005,195.00000000000006,196.28000000000003,197.83999999999997,199.16000000000005,199.96000000000006,202.2800000000001,203.92000000000004,205.92000000000002,208.48,211.44,212.71999999999997,214.59999999999997,215.68
10,191.60000000000002,191.72000000000003,192.24,192.64,192.88000000000002,193.40000000000003,194.48000000000005,195.00000000000006,196.28000000000003,197.83999999999997,199.16000000000005,199.96000000000006,202.2800000000001,203.92000000000004,205.92000000000002,208.48,211.44,212.71999999999997,214.59999999999997,215.68,216.16000000000003,215.83999999999995,215.83999999999992,215.44,215.03999999999996,214.59999999999997,214.32000000000005,213.6799999999999,213.12,211.83999999999997,210.76,209.23999999999998,208.52000000000004,205.92000000000002,198.83999999999995,191.55999999999997,185.27999999999994,179.44000000000003,177.16000000000005,180.20000000000002,183.96000000000004,188.44000000000003,192.68,195.20000000000002,198.27999999999992,203.08000000000004,207.56,211.08000000000004,214.03999999999996,216.8,216.8,214.96000000000004,212.36000000000007,209.51999999999998,205.83999999999995,201.80000000000004,233.00000000000009,329.8800000000001,427.56,526.0799999999999,624.8400000000001,688.16,685.8,681.96,676.2399999999998,669.72,663.0800000000004,656.9599999999998,646.52,636.3599999999998,626.16,616.0000000000002,602.6,580.9599999999999,460.7599999999999,342.55999999999995,223.95999999999995,109.99999999999997,9.36,8.079999999999995,5.879999999999994,6.1599999999999975,5.5600000000000005,5.519999999999999,5.439999999999999,4.599999999999997,2.4799999999999978,0.880000000000001,-0.5600000000000018,-1.840000000000002,-1.9600000000000022,14.48,30.839999999999993,59.959999999999994,115.55999999999997,176.55999999999995,212.31999999999994,240.59999999999997,259.24000000000007,255.88000000000005,246.8400000000001,243.71999999999997,243.68000000000004,236.2,218.60000000000002,194.64,169.88000000000002,147.95999999999998,132.16,125.36000000000001,127.16,135.08000000000004,145.48,156.27999999999997,166.24,176.40000000000003,185.32,193.59999999999997,199.71999999999997,203.36,204.72000000000003,205.36,205.76000000000008,206.52000000000007,207.84000000000006,208.9600000000001,210.68000000000006,212.20000000000005,213.16000000000003,214.03999999999996,215.36,216.40000000000003,217.3200000000001,219.00000000000009,220.52000000000004,221.72000000000003,222.64,223.16000000000003,222.07999999999998,219.91999999999996,217.07999999999998,213.51999999999998,209.28000000000003,205.11999999999995,201.51999999999998,197.47999999999996,193.15999999999997,189.00000000000009,184.24,179.95999999999998,176.52000000000004,173.44,170.67999999999998,168.76000000000002,164.76,157.52,148.07999999999998,138.47999999999996,128.95999999999998,121.4,117.52000000000001,117.27999999999999,118.03999999999999,119.47999999999999,120.52000000000002,121.91999999999997,122.43999999999997,122.47999999999998,123.28,124.28,124.52000000000001
