Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,331.60000000000014,331.8000000000001,332.04,331.96000000000004,332.0799999999999,332.15999999999997,331.91999999999996,332.03999999999985,332.0799999999999,331.9599999999999,331.3600000000001,331.2400000000001,331.36,331.1600000000001,331.0400000000001,331.2800000000001,331.64000000000004,331.48,331.24,331.08,330.2400000000001,328.5200000000001,326.36000000000007,323.88,320.20000000000005,315.7600000000001,309.96000000000004,298.24,285.64000000000004,272.4,260.0400000000001,248.83999999999997,244.44000000000005,242.92,244.7199999999999,248.95999999999998,255.15999999999997,260.68,263.9599999999999,263.80000000000007,259.84000000000003,252.12000000000003,242.64,232.27999999999997,222.03999999999996,212.84000000000006,205.76,200.00000000000006,196.20000000000005,194.40000000000003,193.31999999999996,192.59999999999997,193.03999999999996,194.71999999999997,197.0399999999999,200.75999999999985,204.4799999999999,207.03999999999994,207.36000000000007,205.91999999999996,202.7999999999999,199.08000000000004,195.8,192.36,189.68,187.24,183.84000000000003,180.43999999999994,176.87999999999988,173.03999999999996,167.27999999999992,159.35999999999996,140.79999999999995,107.24000000000001,76.8,48.28000000000002,23.71999999999999,9.959999999999999,12.36,12.039999999999997,11.599999999999996,11.119999999999997,10.800000000000004,10.719999999999994,11.040000000000004,11.52,11.400000000000002,11.479999999999997,11.080000000000002,10.88,10.159999999999997,10.359999999999994,9.999999999999993,10.879999999999995,10.559999999999995,11.2,11.199999999999992,11.559999999999995,13.039999999999996,20.72,35.16,85.27999999999999,147.63999999999993,205.32,252.4399999999999,293.8000000000002,304.88,303.4,303.9599999999999,310.16,315.2800000000001,314.1600000000002,311.64000000000004,309.28000000000003,307.28000000000014,305.7600000000001,305.0,306.72,308.64,309.0,308.11999999999995,305.9999999999999,302.0799999999999,297.5600000000001,291.1599999999999,281.3599999999999,270.03999999999996,256.64000000000004,240.99999999999994,224.04000000000008,207.8,192.43999999999997,177.72,164.88,154.51999999999998,146.36,140.12,135.6,132.36,130.43999999999994,129.24,129.35999999999999,130.68,131.64,129.23999999999998,126.48000000000002,121.36000000000001,115.48000000000002,109.91999999999999,107.11999999999999,104.72000000000001,102.24000000000001,99.47999999999999,96.91999999999999,95.75999999999999,95.80000000000003,97.84,101.32,104.72,107.19999999999999,109.19999999999997,110.71999999999998,111.84,114.20000000000002,118.75999999999999,124.36000000000003,130.72000000000003,138.88,148.08000000000004,157.32,166.71999999999997
2,104.72,107.19999999999999,109.19999999999997,110.71999999999998,111.84,114.20000000000002,118.75999999999999,124.36000000000003,130.72000000000003,138.88,148.08000000000004,157.32,166.71999999999997,178.12,189.0,198.07999999999993,205.39999999999998,210.88000000000002,212.48000000000002,211.44,208.60000000000002,205.35999999999996,201.87999999999997,200.28000000000003,199.60000000000005,200.15999999999997,200.4000000000001,201.32,201.88,204.60000000000002,209.88000000000005,217.48000000000005,226.39999999999998,236.80000000000007,247.07999999999996,329.35999999999996,337.72,342.6,345.2,345.3199999999998,269.32000000000005,264.04,258.84000000000003,250.51999999999998,242.96000000000004,237.11999999999998,232.71999999999997,229.59999999999997,229.08000000000004,227.56000000000006,226.08000000000004,223.76000000000005,221.72000000000006,220.08000000000004,218.84000000000003,216.56000000000006,214.04000000000005,211.0,206.92000000000002,202.0,196.40000000000003,190.20000000000002,181.72,170.1200000000001,151.4799999999999,120.04000000000002,84.80000000000001,52.839999999999996,25.439999999999984,6.079999999999999,0.9199999999999982,0.8799999999999963,0.6399999999999979,0.4399999999999977,-0.04000000000000292,-0.3200000000000027,-1.0399999999999996,-1.6400000000000008,-2.4000000000000012,-2.7600000000000002,-2.9999999999999996,-2.7200000000000006,-2.6400000000000015,-2.8000000000000025,-2.9600000000000013,-3.480000000000002,-4.039999999999999,-4.279999999999999,-4.4,-4.96,-5.079999999999999,-5.039999999999999,-5.04,-5.12,-4.84,-4.039999999999998,4.799999999999998,26.320000000000007,99.19999999999996,175.56000000000006,248.51999999999998,310.8399999999999,361.4399999999998,360.4000000000002,353.32,346.40000000000015,335.67999999999995,322.2399999999999,308.0400000000002,295.24,285.24000000000007,282.1600000000001,280.5600000000002,280.60000000000014,281.9999999999999,282.4,282.5600000000001,282.4400000000001,282.3200000000001,282.6,282.96000000000004,281.64,278.8799999999999,273.63999999999976,267.08000000000004,259.8000000000001,253.20000000000002,249.31999999999996,247.39999999999995,246.84,248.44000000000005,251.60000000000002,255.88,262.8,271.67999999999995,281.1999999999999,292.28000000000003,302.04,311.6,319.84000000000003,327.4399999999999,333.32,339.03999999999985,343.2,346.12,347.56000000000006,348.20000000000005,347.55999999999995,345.9999999999999,344.84000000000003,344.0400000000001,343.72,344.48,346.4400000000001,348.1199999999999,350.76,353.08,354.76,356.12,357.8800000000001,358.44000000000017,358.8800000000002,358.96000000000015,358.2,356.52,355.6399999999999,354.43999999999994,354.3199999999998,354.39999999999986,355.3600000000001,355.84
3,354.76,356.12,357.8800000000001,358.44000000000017,358.8800000000002,358.96000000000015,358.2,356.52,355.6399999999999,354.43999999999994,354.3199999999998,354.39999999999986,355.3600000000001,355.84,356.96,357.64000000000004,358.7199999999999,359.31999999999994,359.79999999999995,360.67999999999995,360.9599999999999,360.44000000000005,359.56000000000006,358.08,354.48,349.35999999999984,343.72,337.6399999999999,331.3200000000001,325.0399999999999,319.2399999999999,313.0,306.3999999999999,299.19999999999993,292.35999999999996,285.6,278.91999999999996,271.5999999999999,264.24,258.12,251.99999999999997,246.03999999999996,241.88,239.2800000000001,235.55999999999995,232.32,231.0,230.55999999999997,231.32000000000002,233.55999999999992,237.27999999999994,240.6,243.19999999999993,244.04,243.83999999999997,242.31999999999994,239.56000000000003,235.07999999999998,230.68,225.27999999999997,219.64,213.91999999999996,209.0,203.48000000000008,197.6,189.04000000000008,154.48,115.76000000000005,77.23999999999995,40.32,7.0,1.0000000000000018,-0.6000000000000005,-0.9600000000000022,-1.400000000000003,-2.2400000000000073,-3.120000000000007,-3.8000000000000016,-4.520000000000005,-5.040000000000003,-5.039999999999999,-5.639999999999999,-5.880000000000002,-6.320000000000002,-6.880000000000004,-7.44,-7.8000000000000025,-8.280000000000005,-8.360000000000001,-8.360000000000003,-8.2,-8.200000000000005,-8.400000000000004,-8.400000000000002,-8.560000000000004,-1.7200000000000073,19.919999999999987,74.16000000000003,136.64,192.15999999999997,231.92000000000002,253.15999999999997,241.15999999999997,219.92000000000002,206.15999999999997,200.07999999999993,196.12000000000006,192.15999999999997,188.56,184.83999999999997,181.8000000000001,181.28000000000003,181.88000000000005,183.24,185.16000000000003,190.39999999999998,198.59999999999997,209.04000000000002,221.88000000000005,237.08000000000004,250.52000000000004,261.64,270.6,272.7200000000001,266.60000000000014,253.48,233.47999999999996,208.99999999999994,185.7199999999999,164.83999999999997,149.76,141.04,138.16000000000003,139.44,144.32,151.07999999999998,159.04000000000002,172.88000000000008,186.79999999999995,201.48,215.24,229.08000000000004,236.39999999999998,243.92,251.63999999999996,260.44,267.59999999999997,275.72,282.36,288.03999999999996,292.2799999999999,296.52,298.75999999999993,300.55999999999995,301.31999999999994,301.08000000000004,300.24,299.12,298.03999999999996,296.56,294.03999999999996,289.8400000000001,284.64,278.4,271.36,264.72,257.91999999999996,251.47999999999996,245.04000000000002,240.12,236.16000000000003
4,215.24,229.08000000000004,236.39999999999998,243.92,251.63999999999996,260.44,267.59999999999997,275.72,282.36,288.03999999999996,292.2799999999999,296.52,298.75999999999993,300.55999999999995,301.31999999999994,301.08000000000004,300.24,299.12,298.03999999999996,296.56,294.03999999999996,289.8400000000001,284.64,278.4,271.36,264.72,257.91999999999996,251.47999999999996,245.04000000000002,240.12,236.16000000000003,234.24000000000007,234.04000000000002,234.27999999999997,233.24000000000007,229.28000000000003,223.52000000000004,215.20000000000002,205.79999999999995,196.36,189.16000000000008,183.15999999999994,178.44,176.23999999999995,175.71999999999994,176.55999999999983,178.59999999999997,180.99999999999994,183.12,184.36,184.95999999999998,185.28,186.04000000000005,186.71999999999997,188.27999999999994,189.68,190.28000000000006,190.12,188.96000000000004,186.36,180.71999999999997,174.20000000000005,167.12,159.71999999999997,152.56,147.24,141.87999999999997,134.79999999999995,117.72000000000001,87.32000000000001,58.20000000000002,30.20000000000001,5.359999999999995,-8.600000000000001,-9.240000000000002,-9.400000000000004,-9.4,-9.8,-10.360000000000003,-9.56,-9.520000000000005,-10.520000000000003,-11.040000000000003,-11.000000000000004,-11.72,-12.48,-12.320000000000004,-12.440000000000001,-12.920000000000002,-13.0,-12.96,-12.52,-12.24,-12.48,-12.440000000000003,-12.080000000000002,-7.120000000000004,5.159999999999997,41.639999999999986,103.79999999999998,171.68,234.64000000000004,284.64,307.1600000000001,303.4000000000001,295.03999999999996,285.76,278.6,272.08000000000004,263.00000000000006,250.87999999999997,238.2,228.12,220.48000000000008,214.35999999999999,210.12000000000006,207.1599999999999,204.55999999999997,202.23999999999995,200.71999999999997,198.63999999999993,196.76,195.11999999999995,192.79999999999995,189.55999999999995,185.63999999999987,181.03999999999996,173.8399999999999,166.63999999999987,159.55999999999997,152.4799999999999,144.8,138.23999999999995,129.75999999999993,120.48000000000005,111.55999999999995,102.72,93.96000000000001,88.39999999999995,84.88000000000002,83.8,86.43999999999998,93.79999999999995,102.91999999999999,113.43999999999994,123.23999999999995,131.24,136.87999999999994,142.52000000000004,147.92000000000002,154.0,160.48,166.59999999999997,171.03999999999996,174.44,175.07999999999998,172.59999999999997,167.56,159.76,149.51999999999995,139.68,131.28,126.64000000000004,129.64,140.48000000000002,156.8,178.95999999999998,204.67999999999998,228.43999999999994,248.2800000000001,263.68000000000006
5,274.08,279.44000000000005,282.03999999999996,284.36,286.68,290.08000000000004,293.6400000000001,296.67999999999995,298.2399999999999,299.1199999999999,298.6799999999999,297.28,295.35999999999996,292.32,288.79999999999995,282.12,273.68,263.0799999999999,250.68000000000006,237.08000000000004,225.31999999999994,214.84,205.75999999999993,198.64,193.36,189.2,186.04000000000002,184.64,184.96000000000004,186.24,189.40000000000003,193.72000000000003,198.2,203.8,209.59999999999997,213.88,216.32000000000005,217.08000000000004,216.00000000000006,213.8,210.84000000000003,207.68,204.27999999999992,201.15999999999997,198.6799999999999,197.8,198.36000000000007,200.76000000000005,203.64,206.08000000000004,206.83999999999992,207.92000000000004,207.88,207.56,207.0800000000001,207.0800000000001,206.0,204.48000000000005,201.60000000000002,197.12,192.2,187.32000000000005,182.51999999999998,178.55999999999997,175.12000000000006,171.84,167.24,156.84000000000003,133.99999999999997,96.64,60.39999999999999,26.400000000000013,-1.1199999999999983,-15.959999999999997,-15.359999999999998,-15.119999999999996,-15.56,-15.44,-15.600000000000001,-15.48,-15.520000000000001,-15.919999999999996,-16.8,-16.919999999999998,-17.36,-17.88,-17.72,-17.599999999999998,-17.92,-17.919999999999998,-17.64,-17.88,-17.36,-17.04,-17.119999999999997,-17.12,-13.159999999999998,8.559999999999997,36.75999999999998,98.64000000000001,175.56,246.4799999999999,294.08000000000004,330.44000000000005,332.55999999999995,318.5600000000001,304.2399999999999,293.92,286.32,277.80000000000007,267.84000000000003,259.52,251.04000000000005,244.72000000000003,240.4000000000001,238.4800000000001,238.23999999999998,239.72000000000014,242.24,245.79999999999995,250.3599999999999,255.6799999999999,260.76,263.8399999999999,265.67999999999995,266.84000000000003,267.24,268.1200000000001,269.8,271.32000000000005,270.11999999999995,264.71999999999997,256.72,249.15999999999997,242.75999999999993,241.79999999999995,250.83999999999997,265.84,283.64,302.52000000000004,320.08000000000004,332.4,341.2,346.96000000000004,351.20000000000005,352.96000000000004,353.3599999999999,353.2399999999999,353.5199999999999,353.11999999999995,353.8799999999999,354.9999999999999,356.0000000000001,356.1200000000001,356.64,356.12,355.1999999999998,354.31999999999994,354.15999999999997,353.55999999999995,353.68,354.11999999999995,354.84,355.2,356.12,356.27999999999986,355.4799999999999,353.91999999999985,351.39999999999986,347.2800000000001,342.4
6,353.2399999999999,353.5199999999999,353.11999999999995,353.8799999999999,354.9999999999999,356.0000000000001,356.1200000000001,356.64,356.12,355.1999999999998,354.31999999999994,354.15999999999997,353.55999999999995,353.68,354.11999999999995,354.84,355.2,356.12,356.27999999999986,355.4799999999999,353.91999999999985,351.39999999999986,347.2800000000001,342.4,337.52,331.64000000000004,325.7600000000001,319.9599999999999,314.76000000000005,308.9599999999999,303.64,298.4799999999999,292.68000000000006,286.28,280.36000000000007,273.64000000000004,265.3600000000001,255.9999999999999,247.16000000000003,239.04000000000002,232.0400000000001,227.31999999999994,225.35999999999996,223.99999999999997,221.72000000000006,219.59999999999997,217.56000000000006,215.84,215.24,217.67999999999995,221.08000000000004,224.8400000000001,228.76,231.8,233.12000000000006,233.8,234.44,234.08000000000004,232.44,228.47999999999996,223.88,217.23999999999995,210.51999999999998,203.35999999999993,196.11999999999995,186.76000000000005,174.28,157.07999999999998,125.27999999999997,89.59999999999998,56.800000000000026,28.680000000000003,6.480000000000003,0.4399999999999942,0.44000000000000217,0.839999999999995,0.9600000000000035,0.3199999999999985,0.12000000000000144,-0.24000000000000332,-1.1200000000000014,-2.0000000000000013,-1.919999999999999,-2.520000000000001,-3.240000000000001,-3.4399999999999986,-3.0400000000000005,-3.7199999999999993,-3.759999999999999,-3.879999999999998,-4.32,-4.799999999999999,-5.079999999999999,-5.600000000000003,-3.4800000000000004,5.960000000000002,18.879999999999995,50.16000000000001,108.52000000000001,171.12000000000006,218.83999999999995,250.88000000000005,259.0000000000001,236.79999999999998,207.63999999999993,186.44,176.83999999999997,172.07999999999998,170.20000000000002,168.79999999999995,166.9599999999999,165.15999999999997,164.56,164.79999999999995,166.12000000000003,168.44000000000005,171.95999999999998,175.36000000000007,179.51999999999998,182.96000000000004,186.12,190.32,196.56000000000006,202.40000000000003,208.2,214.59999999999997,221.07999999999998,226.04,227.8,228.88000000000002,228.48000000000002,225.88000000000005,224.00000000000003,225.60000000000008,229.39999999999998,236.84000000000003,245.80000000000007,253.52000000000007,260.5200000000001,266.9200000000001,269.92,272.08000000000004,274.48,276.5999999999999,278.0799999999999,280.4399999999999,283.4799999999999,286.8799999999998,290.7199999999999,294.19999999999993,297.3199999999998,299.3599999999999,301.08000000000004,302.08000000000004,302.4399999999999,301.67999999999995,300.1599999999999,297.7599999999999,294.36,291.19999999999993,287.20000000000005,282.67999999999984,276.9200000000001,270.67999999999995,263.9599999999999,257.6,250.0,240.24,227.04000000000013,211.92000000000002,195.32
7,245.80000000000007,253.52000000000007,260.5200000000001,266.9200000000001,269.92,272.08000000000004,274.48,276.5999999999999,278.0799999999999,280.4399999999999,283.4799999999999,286.8799999999998,290.7199999999999,294.19999999999993,297.3199999999998,299.3599999999999,301.08000000000004,302.08000000000004,302.4399999999999,301.67999999999995,300.1599999999999,297.7599999999999,294.36,291.19999999999993,287.20000000000005,282.67999999999984,276.9200000000001,270.67999999999995,263.9599999999999,257.6,250.0,240.24,227.04000000000013,211.92000000000002,195.32,180.12000000000003,168.36,161.08000000000004,157.32,156.24000000000007,156.12000000000003,156.68000000000004,158.52,159.0000000000001,159.76000000000002,160.92000000000016,161.72000000000006,162.27999999999992,164.2,166.16000000000008,168.20000000000002,171.36000000000007,174.11999999999998,176.08000000000004,177.59999999999997,178.32000000000005,176.91999999999996,175.00000000000006,171.72000000000006,167.96000000000004,164.0000000000001,159.96000000000004,154.96000000000004,150.16,144.2000000000001,137.75999999999996,130.71999999999997,122.31999999999995,107.27999999999997,81.48000000000002,52.16000000000001,25.72,1.7200000000000066,-14.360000000000003,-17.72,-16.480000000000004,-16.28,-16.000000000000004,-15.88,-16.04,-16.4,-16.92,-17.240000000000002,-17.84,-18.04,-18.200000000000003,-18.28,-18.36,-18.04,-18.520000000000003,-18.8,-18.76,-18.800000000000004,-18.92,-18.36,-13.639999999999999,-0.2799999999999905,26.16,92.63999999999999,166.0,236.08,294.11999999999995,341.79999999999995,346.80000000000007,341.48000000000013,335.0400000000001,331.00000000000006,323.4,317.51999999999987,313.72,309.0000000000001,303.7199999999999,298.88000000000005,294.91999999999996,292.36,291.2,291.04,291.7199999999999,292.44,292.32000000000005,291.67999999999984,290.71999999999997,288.47999999999996,285.68,282.91999999999996,280.87999999999994,279.03999999999996,278.4799999999999,278.76,280.0799999999999,281.79999999999995,284.8399999999999,288.28,292.68,297.76,303.40000000000003,308.88000000000005,313.8,317.03999999999985,319.32000000000005,320.44,320.4799999999999,319.67999999999995,318.80000000000007,316.72,313.19999999999993,308.52,302.6,295.0399999999999,285.76000000000005,275.28,263.24,250.68000000000006,238.8,227.76000000000005,217.60000000000002,209.44000000000005,203.32000000000005,197.71999999999997,193.72000000000003,190.76000000000005,188.44,186.4000000000001,185.40000000000003,184.52000000000004,185.39999999999998,188.71999999999997,194.96000000000004,204.56,217.28,229.76
8,297.76,303.40000000000003,308.88000000000005,313.8,317.03999999999985,319.32000000000005,320.44,320.4799999999999,319.67999999999995,318.80000000000007,316.72,313.19999999999993,308.52,302.6,295.0399999999999,285.76000000000005,275.28,263.24,250.68000000000006,238.8,227.76000000000005,217.60000000000002,209.44000000000005,203.32000000000005,197.71999999999997,193.72000000000003,190.76000000000005,188.44,186.4000000000001,185.40000000000003,184.52000000000004,185.39999999999998,188.71999999999997,194.96000000000004,204.56,217.28,229.76,240.32000000000005,249.2400000000001,254.40000000000003,255.12,252.72000000000003,248.75999999999996,241.16000000000005,232.32,223.44000000000003,215.48000000000002,208.0,203.0,199.95999999999992,199.5999999999999,200.88,204.07999999999996,208.00000000000006,212.07999999999993,214.99999999999997,217.12000000000006,217.08000000000007,215.76000000000002,213.0,209.28000000000003,204.72000000000003,200.32000000000005,195.88000000000005,190.60000000000002,185.27999999999997,180.36,175.3599999999999,169.16,161.92000000000007,151.00000000000009,130.8400000000001,99.32,66.71999999999997,35.79999999999999,9.8,-5.720000000000005,-9.520000000000001,-11.800000000000004,-12.72,-13.960000000000004,-15.959999999999999,-17.12,-17.24,-17.960000000000004,-18.480000000000004,-18.96,-19.759999999999998,-19.72,-19.679999999999996,-19.8,-19.72,-19.64,-20.28,-20.200000000000003,-14.959999999999997,20.879999999999995,75.36000000000001,135.00000000000003,184.04000000000005,220.00000000000003,221.92,203.8,179.59999999999997,165.0,157.31999999999988,153.0399999999999,149.5599999999999,146.79999999999995,144.95999999999998,143.59999999999997,142.52,142.27999999999997,141.75999999999993,140.8,141.0,140.87999999999994,140.79999999999998,141.88000000000002,143.27999999999992,144.23999999999995,146.55999999999997,149.7199999999999,153.43999999999994,157.48000000000002,161.44000000000003,165.88,173.95999999999992,184.00000000000006,194.84000000000003,206.16000000000003,215.44000000000003,219.67999999999998,218.91999999999996,216.79999999999995,213.2,207.5999999999999,202.32,199.15999999999997,196.15999999999997,208.12,224.8,243.60000000000002,263.55999999999995,284.1999999999999,290.88,295.76,298.8,300.72,302.4,303.4,304.44000000000005,305.4000000000002,306.1600000000001,306.79999999999995,307.7199999999999,308.56,309.35999999999996,310.24,310.67999999999995,311.12000000000006,311.72000000000014,310.76000000000005,308.88,305.64,300.67999999999995,292.6000000000001,284.3999999999999,275.03999999999996,264.4,254.32000000000005
10,252.28,279.4799999999999,302.0000000000001,312.88,320.91999999999996,322.32000000000005,321.7200000000001,321.72,322.56000000000006,325.52000000000004,331.56000000000006,337.67999999999995,343.0,347.68000000000006,351.0400000000001,351.44000000000005,351.4,351.40000000000003,350.79999999999984,350.04000000000013,348.68000000000006,346.51999999999987,342.52,336.76000000000005,328.48,317.72,304.59999999999997,288.64,271.24,253.52,236.32,218.96000000000004,202.56000000000003,187.56,174.68000000000006,163.88000000000002,156.59999999999997,155.20000000000007,159.92000000000002,171.68000000000004,194.52000000000007,215.71999999999997,232.27999999999997,243.72000000000003,248.6,244.16,243.16000000000003,247.0,255.44000000000008,265.31999999999994,274.15999999999997,278.64,278.8800000000001,273.36,264.7199999999999,253.71999999999997,243.24,231.92000000000007,221.64000000000007,212.35999999999999,203.12,193.95999999999998,184.52000000000004,173.43999999999994,159.8,144.07999999999998,125.03999999999999,100.4,68.44000000000001,34.99999999999998,6.8000000000000105,-16.560000000000002,-31.6,-36.44,-35.64,-36.08,-35.84,-35.56000000000001,-34.959999999999994,-34.92000000000001,-34.72,-34.879999999999995,-35.36,-35.96,-36.4,-37.32000000000001,-38.64,-39.44,-40.480000000000004,-41.6,-41.8,-41.519999999999996,-40.879999999999995,-40.47999999999999,-39.67999999999999,-38.8,-30.32,27.520000000000003,95.23999999999998,158.91999999999996,214.31999999999994,257.88,254.56,242.32,231.36,228.56000000000006,231.11999999999995,230.8800000000001,230.48,232.72000000000003,235.63999999999993,237.88,240.27999999999997,242.68,245.39999999999998,248.39999999999998,250.5600000000001,251.16000000000003,251.16000000000003,248.91999999999996,243.40000000000006,230.39999999999995,210.52000000000004,184.60000000000002,146.36000000000007,108.80000000000003,76.4,51.08,49.03999999999999,62.67999999999999,77.6,94.56,112.31999999999996,112.79999999999998,112.47999999999999,112.07999999999998,112.08000000000001,111.92000000000002,111.76000000000002,110.44000000000003,109.36000000000001,107.80000000000001,106.56000000000002,106.0,105.76,105.83999999999999,106.72,107.6,107.96000000000001,107.84,107.32000000000002,106.16000000000001,105.08000000000001,103.84,102.6,99.24000000000001,94.36000000000003,89.56,85.04000000000002,79.80000000000001,76.32000000000001,75.2,73.48000000000002,72.28,76.76000000000002,87.60000000000002,99.12000000000003,111.52000000000001,124.07999999999998,133.44,137.95999999999998
11,311.4,310.00000000000006,308.88000000000005,308.23999999999995,308.48,309.08000000000004,309.2800000000001,309.32000000000005,309.71999999999997,310.08000000000004,309.72,309.7600000000001,309.84000000000015,308.56000000000006,306.56000000000006,303.4000000000001,298.80000000000007,293.2799999999999,286.44000000000005,279.08,272.0800000000001,264.64,256.44000000000005,248.12000000000006,239.56,231.16000000000005,223.16000000000003,215.71999999999997,208.64000000000001,202.24,197.0399999999999,195.27999999999994,196.72000000000003,200.64000000000004,205.16000000000003,208.12,205.96000000000004,199.27999999999997,189.0,177.56000000000006,166.8,159.20000000000005,155.04,154.27999999999997,155.67999999999995,158.28000000000003,161.23999999999998,165.32000000000008,171.95999999999998,182.60000000000002,194.84,207.6,217.40000000000003,223.04000000000005,221.64000000000001,216.9600000000001,209.68000000000006,203.27999999999997,196.59999999999997,190.75999999999993,184.83999999999997,179.64000000000001,172.76000000000002,166.15999999999997,159.60000000000002,152.68000000000006,144.32000000000005,133.28000000000003,116.36000000000001,90.56,57.84000000000002,28.11999999999999,3.039999999999991,-15.040000000000003,-23.160000000000004,-22.12,-22.240000000000002,-22.36,-22.64,-22.880000000000003,-23.840000000000003,-24.64,-25.0,-25.08,-25.039999999999996,-25.479999999999997,-25.839999999999996,-26.560000000000002,-26.92,-27.279999999999998,-27.2,-26.8,-26.680000000000003,-26.92,-26.880000000000003,-24.199999999999996,-19.680000000000003,-11.840000000000002,12.159999999999993,64.84,118.92000000000003,164.95999999999998,206.7999999999999,233.48000000000008,232.8,228.19999999999996,238.84000000000003,252.91999999999996,266.4,279.12,292.44000000000017,296.19999999999993,297.28,298.0400000000001,297.2,295.47999999999996,293.0,289.9599999999999,285.79999999999995,280.9200000000001,274.96000000000004,267.72,259.0400000000001,247.60000000000008,233.95999999999995,218.56,201.64,182.95999999999992,166.04000000000002,150.88000000000002,136.72000000000003,125.88,117.88,111.07999999999998,106.6,105.0,103.92000000000002,105.4,108.24000000000001,111.52000000000001,114.03999999999999,117.56,119.60000000000002,120.63999999999999,121.07999999999998,121.15999999999997,119.59999999999997,118.39999999999999,117.6,116.32,115.72,115.12,114.24000000000001,113.23999999999998,112.44,111.6,111.48000000000002,111.0,110.56000000000002,110.04000000000002,109.4,108.48,108.19999999999999,107.55999999999997,107.6,107.2,107.24,106.72,105.6,103.07999999999998,98.88
