Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1169.3600000000008,1170.0000000000005,1170.96,1170.8000000000002,1171.2799999999997,1171.32,1170.2399999999998,1170.7199999999993,1170.8,1170.3199999999997,1168.2800000000007,1168.0400000000004,1168.2800000000002,1167.5200000000002,1166.8000000000002,1167.7600000000004,1169.0800000000002,1168.4,1167.32,1166.9999999999998,1163.8800000000006,1157.5600000000004,1149.7600000000002,1141.08,1127.8400000000001,1111.8800000000003,1091.1600000000003,1049.72,1005.0800000000002,958.2,914.7600000000002,875.4399999999999,860.1600000000002,854.9599999999999,861.6799999999997,876.88,898.8799999999999,918.32,930.0399999999997,929.3600000000004,914.96,887.2800000000001,853.56,816.52,780.0799999999999,747.1600000000003,721.8399999999999,701.0800000000003,687.2400000000001,680.5200000000001,676.4399999999999,673.7999999999998,675.04,681.04,688.9199999999997,701.9999999999994,714.9599999999996,724.1599999999997,724.9200000000002,719.7599999999999,708.5999999999997,695.5200000000002,684.0400000000001,671.88,662.32,653.7199999999999,641.5200000000002,629.3199999999997,616.5599999999995,603.2399999999998,583.0799999999997,555.5999999999998,490.9999999999999,373.59999999999997,266.52,166.2800000000001,79.95999999999997,30.96,38.88000000000001,37.39999999999999,35.67999999999999,33.75999999999999,32.52000000000002,32.23999999999998,33.72000000000002,35.52,35.160000000000004,35.43999999999998,34.160000000000004,33.519999999999996,30.879999999999985,31.51999999999998,30.319999999999965,33.639999999999986,32.399999999999984,34.63999999999999,34.75999999999998,36.079999999999984,41.43999999999999,67.47999999999999,116.51999999999998,292.35999999999996,508.3999999999997,710.04,876.7599999999998,1024.640000000001,1064.56,1062.9199999999998,1066.4399999999996,1089.16,1107.3200000000002,1103.6400000000006,1095.2400000000002,1086.92,1079.8000000000004,1074.8400000000004,1072.24,1078.8,1086.24,1088.04,1085.32,1077.9599999999996,1064.24,1048.7200000000005,1026.3199999999997,991.8399999999997,952.3999999999999,905.44,850.2799999999997,790.5600000000002,733.36,679.1199999999999,626.76,580.9200000000001,543.76,513.88,490.96000000000004,474.2399999999999,461.8800000000001,454.19999999999993,449.4,449.28,453.24,456.12,446.7599999999999,436.08,416.6,395.0000000000001,374.15999999999997,363.63999999999993,354.40000000000003,344.76000000000005,333.4799999999999,323.31999999999994,318.11999999999995,317.7200000000001,325.16,338.12,350.67999999999995,360.08,367.4399999999999,372.99999999999994,376.92,385.6000000000001,402.04,422.24000000000007,444.92000000000013,474.20000000000005,506.8800000000001,539.7599999999999,572.9599999999998
2,350.67999999999995,360.08,367.4399999999999,372.99999999999994,376.92,385.6000000000001,402.04,422.24000000000007,444.92000000000013,474.20000000000005,506.8800000000001,539.7599999999999,572.9599999999998,613.6400000000001,652.4399999999999,684.8799999999998,711.16,731.2400000000001,737.32,734.2800000000001,724.8800000000001,714.1999999999997,702.8,697.9200000000001,696.3200000000003,699.0,700.4400000000003,704.08,706.4,716.2800000000001,735.2400000000002,762.2000000000002,793.84,830.6000000000004,866.8799999999999,1179.1599999999999,1208.36,1224.72,1233.3999999999999,1233.2799999999993,942.8000000000002,923.9600000000002,905.8800000000001,876.6399999999999,849.7600000000002,828.5999999999999,812.4799999999998,800.7199999999999,797.8800000000001,791.8400000000001,786.2400000000001,777.6400000000001,770.6800000000002,765.2400000000001,761.2000000000002,753.5200000000001,744.7600000000001,733.76,719.48,702.1999999999999,682.1200000000001,660.5999999999999,631.1600000000001,590.8000000000003,526.3999999999997,417.56000000000006,294.04,181.88,85.55999999999995,16.840000000000003,-2.2400000000000073,-2.2000000000000135,-2.800000000000008,-3.5600000000000085,-5.120000000000012,-6.040000000000012,-8.799999999999997,-11.080000000000002,-13.680000000000003,-14.999999999999995,-15.959999999999996,-14.68,-14.400000000000006,-14.960000000000006,-15.640000000000002,-17.520000000000003,-19.719999999999995,-20.68,-21.04,-23.119999999999997,-23.72,-23.519999999999996,-23.279999999999994,-23.44,-22.4,-19.239999999999995,11.279999999999994,82.40000000000005,334.71999999999986,598.5600000000002,851.76,1069.7599999999998,1250.8799999999992,1249.5200000000007,1228.04,1205.8000000000006,1168.7599999999998,1121.7199999999996,1071.8400000000006,1026.68,991.3200000000004,980.1200000000002,974.1600000000008,974.3600000000004,979.4399999999996,980.9599999999998,981.5200000000004,981.1600000000005,980.6800000000003,981.7200000000001,983.1600000000002,978.5999999999999,968.9999999999995,950.599999999999,927.4000000000001,901.0800000000004,877.1999999999999,863.0799999999999,855.7599999999998,853.2,858.6800000000002,869.6800000000001,884.5999999999999,909.0000000000001,940.4399999999997,974.2399999999996,1013.8000000000002,1048.5600000000002,1082.92,1112.48,1139.6799999999996,1160.68,1181.1199999999994,1195.9199999999998,1206.32,1211.3600000000001,1213.72,1211.6,1206.1999999999996,1202.0800000000002,1199.2800000000004,1198.2800000000002,1200.8799999999999,1207.6800000000005,1213.5599999999997,1223.1599999999999,1231.28,1237.2799999999997,1242.4,1249.0400000000002,1250.8800000000006,1252.6000000000008,1252.8800000000006,1250.04,1243.7999999999997,1240.7199999999993,1236.2799999999997,1236.0399999999995,1236.3199999999995,1239.9200000000003,1241.48
3,1237.2799999999997,1242.4,1249.0400000000002,1250.8800000000006,1252.6000000000008,1252.8800000000006,1250.04,1243.7999999999997,1240.7199999999993,1236.2799999999997,1236.0399999999995,1236.3199999999995,1239.9200000000003,1241.48,1245.6399999999999,1247.7200000000003,1251.4399999999998,1253.4799999999998,1255.3999999999999,1258.7199999999998,1259.9999999999998,1258.2400000000002,1255.28,1250.1599999999999,1237.4399999999998,1219.3999999999994,1199.6000000000001,1178.3199999999997,1156.2000000000003,1134.1599999999996,1113.9199999999996,1092.1999999999998,1069.2799999999997,1044.1999999999998,1020.4399999999999,996.8400000000001,973.3999999999997,947.3599999999996,921.12,899.1600000000001,877.3199999999997,855.7999999999998,840.76,831.3600000000004,817.6799999999998,805.44,800.04,797.36,798.76,805.7599999999996,818.1199999999998,829.4399999999999,838.3599999999999,841.36,840.7199999999998,835.5199999999999,825.9200000000002,810.4799999999999,795.32,776.5999999999999,757.04,737.0799999999999,720.16,700.9600000000003,680.6800000000001,651.0800000000004,531.4399999999999,396.5200000000002,261.7599999999998,132.84,16.400000000000006,-5.439999999999996,-11.4,-12.360000000000007,-13.96000000000001,-17.080000000000027,-20.04000000000002,-22.360000000000003,-24.880000000000013,-26.640000000000008,-26.639999999999997,-28.799999999999997,-29.640000000000008,-31.240000000000013,-33.44000000000001,-35.160000000000004,-36.48000000000002,-38.16000000000002,-38.32000000000001,-38.080000000000005,-37.519999999999996,-37.40000000000002,-38.28000000000001,-38.280000000000015,-38.84000000000001,-15.92000000000003,56.759999999999955,246.96000000000006,465.87999999999994,660.7999999999998,801.4,879.0399999999998,837.1599999999999,762.8800000000001,714.3599999999999,692.9599999999998,678.9200000000002,664.7599999999998,652.04,639.0799999999999,628.3200000000004,626.8000000000002,629.2000000000002,634.0800000000002,640.9200000000002,660.16,689.5199999999999,727.3199999999999,773.6400000000001,828.4,876.6400000000002,917.3599999999999,950.2800000000001,959.5600000000004,939.6400000000004,895.16,825.7599999999999,740.1999999999998,658.2399999999998,584.4399999999998,530.88,499.64,489.0800000000001,493.44,510.28,533.88,562.1600000000001,611.6800000000003,661.2399999999999,713.9999999999998,763.2400000000001,812.7600000000001,838.7999999999998,865.4799999999999,892.5599999999998,923.2400000000001,948.1199999999999,976.2400000000001,999.2399999999999,1019.1199999999998,1034.1999999999996,1048.9199999999998,1056.9999999999998,1063.2399999999998,1065.9599999999996,1065.0000000000002,1062.3600000000001,1058.3200000000002,1054.8399999999997,1049.6000000000001,1040.8399999999997,1025.9600000000003,1007.88,986.1599999999997,961.52,938.5200000000001,914.8399999999998,892.3599999999998,869.7600000000001,852.6,838.4400000000002
4,763.2400000000001,812.7600000000001,838.7999999999998,865.4799999999999,892.5599999999998,923.2400000000001,948.1199999999999,976.2400000000001,999.2399999999999,1019.1199999999998,1034.1999999999996,1048.9199999999998,1056.9999999999998,1063.2399999999998,1065.9599999999996,1065.0000000000002,1062.3600000000001,1058.3200000000002,1054.8399999999997,1049.6000000000001,1040.8399999999997,1025.9600000000003,1007.88,986.1599999999997,961.52,938.5200000000001,914.8399999999998,892.3599999999998,869.7600000000001,852.6,838.4400000000002,831.3600000000001,829.76,829.3999999999999,824.4400000000003,808.8400000000001,786.8800000000001,756.08,721.56,686.96,660.4400000000002,638.4799999999998,620.9999999999999,612.6399999999999,610.5199999999999,613.1599999999994,619.8799999999999,628.1599999999999,635.4,639.3199999999999,641.24,642.12,644.4800000000002,646.4399999999998,651.5999999999997,656.08,658.0000000000002,657.1999999999999,652.9600000000003,643.44,623.0399999999998,599.3200000000002,573.6400000000001,546.9599999999999,521.12,502.20000000000005,483.1999999999999,458.84,399.84,294.04,192.96000000000006,95.68000000000005,8.919999999999987,-40.0,-42.120000000000005,-42.56000000000002,-42.68,-43.84,-45.80000000000001,-42.76,-42.680000000000014,-45.88000000000001,-47.760000000000005,-47.44000000000002,-50.08000000000001,-53.16,-52.72000000000002,-53.2,-55.12,-55.279999999999994,-54.84,-53.12,-52.08,-52.92000000000001,-52.72000000000001,-51.28000000000001,-32.48000000000001,12.479999999999984,144.11999999999998,365.3999999999999,607.6,832.4000000000002,1011.3599999999999,1091.9200000000003,1080.4400000000003,1051.84,1018.7600000000001,992.3199999999999,968.2400000000001,934.8400000000003,890.4399999999998,843.72,806.88,779.0000000000003,756.56,741.1200000000003,730.7599999999996,721.6,713.1199999999999,707.68,700.2799999999997,693.3999999999999,687.3599999999997,678.9999999999999,667.4799999999997,653.6399999999996,637.1199999999999,611.6799999999996,586.3599999999997,561.64,536.9199999999996,510.4000000000001,487.6799999999999,458.3599999999998,426.24000000000024,395.5599999999998,365.28000000000003,335.2800000000001,316.47999999999985,304.7600000000001,301.28000000000003,310.63999999999993,336.3999999999998,368.0799999999999,405.07999999999976,439.5599999999999,468.0400000000002,488.43999999999977,508.96000000000015,528.28,549.92,572.8399999999999,594.1999999999999,609.3199999999999,620.3199999999999,621.6,611.2399999999999,591.9200000000001,562.52,524.2799999999997,487.44000000000005,456.0,438.20000000000016,447.56,484.84000000000015,541.84,619.64,709.7199999999999,793.4799999999998,863.7600000000002,918.0800000000002
5,954.96,974.0799999999999,983.3599999999999,991.72,1000.2,1012.4000000000001,1025.1600000000003,1036.1599999999999,1041.7999999999997,1045.2399999999998,1043.8799999999997,1039.1599999999996,1032.5599999999997,1021.9199999999998,1009.7199999999998,986.28,956.68,919.6399999999998,876.2400000000002,828.2800000000002,786.7599999999998,749.6,717.2799999999997,692.0,673.4,658.84,647.9600000000002,642.9999999999999,644.24,648.6000000000001,659.7200000000001,674.9600000000002,690.52,709.8799999999999,729.8799999999999,744.2,751.9600000000002,754.0800000000002,749.7600000000002,741.52,730.6800000000002,719.08,706.3999999999996,694.8799999999999,685.7199999999996,682.28,683.7600000000002,692.2800000000002,702.2399999999999,710.7200000000003,713.1999999999998,717.2800000000002,717.0799999999999,715.96,714.0400000000003,714.0400000000003,710.08,704.5200000000002,694.0799999999999,678.04,660.4,642.96,626.04,612.1199999999999,600.0800000000002,588.7199999999999,572.92,537.0000000000001,458.3199999999999,328.0400000000001,201.32,82.20000000000006,-14.599999999999987,-67.56,-65.75999999999998,-64.79999999999998,-66.16,-65.56,-66.12,-65.52,-65.84,-67.23999999999998,-70.56,-71.03999999999999,-72.52000000000001,-74.04,-73.48,-73.0,-74.0,-74.11999999999999,-73.32,-74.16,-71.91999999999999,-70.68,-70.83999999999999,-70.72,-56.68,17.359999999999992,114.43999999999993,330.36000000000007,600.6,849.7199999999997,1019.2,1148.92,1158.4399999999998,1109.8000000000004,1059.7999999999997,1023.8000000000001,997.5600000000001,967.5600000000002,932.5200000000002,903.2800000000002,873.6000000000003,851.3600000000001,836.2400000000004,829.6400000000004,829.2799999999999,834.7600000000004,844.12,857.2399999999999,874.0399999999996,893.3199999999997,912.12,923.9199999999998,931.1999999999998,936.1600000000001,938.5200000000002,942.3200000000003,948.8000000000001,955.2,951.8399999999999,933.7199999999998,906.8000000000001,881.2399999999999,858.9599999999998,855.9599999999998,887.9599999999998,940.5199999999998,1003.12,1069.6800000000003,1131.44,1174.56,1205.24,1225.0400000000002,1239.76,1245.44,1246.7199999999996,1246.3599999999997,1247.5199999999995,1246.2399999999998,1249.0799999999995,1253.2399999999998,1256.6800000000003,1257.1600000000003,1258.9199999999998,1257.04,1253.5199999999993,1250.4399999999998,1250.12,1247.8399999999997,1248.56,1250.04,1252.56,1253.1599999999999,1256.2,1256.6399999999994,1253.8399999999997,1248.3199999999993,1239.5599999999995,1225.3200000000006,1208.0
6,1246.3599999999997,1247.5199999999995,1246.2399999999998,1249.0799999999995,1253.2399999999998,1256.6800000000003,1257.1600000000003,1258.9199999999998,1257.04,1253.5199999999993,1250.4399999999998,1250.12,1247.8399999999997,1248.56,1250.04,1252.56,1253.1599999999999,1256.2,1256.6399999999994,1253.8399999999997,1248.3199999999993,1239.5599999999995,1225.3200000000006,1208.0,1191.04,1170.64,1150.3600000000006,1130.12,1112.1600000000003,1092.1599999999996,1073.6,1055.4799999999996,1035.2400000000002,1012.5999999999997,991.5200000000002,967.2800000000002,937.4000000000004,903.0799999999996,870.52,840.6000000000001,814.8400000000004,797.3599999999997,789.9599999999998,784.8399999999999,776.2000000000003,768.1199999999999,760.4400000000002,754.0,751.2400000000001,759.7199999999998,771.8000000000002,784.6000000000004,797.96,808.5999999999999,812.6800000000002,814.4000000000001,816.76,815.4400000000002,809.4,795.3599999999998,779.08,755.2399999999998,731.2399999999999,706.1199999999998,680.2399999999999,646.8800000000001,602.72,542.7599999999999,431.27999999999986,306.3999999999999,191.60000000000008,92.88,14.760000000000009,-6.680000000000018,-6.559999999999992,-4.920000000000011,-4.199999999999987,-6.560000000000006,-7.199999999999996,-8.40000000000001,-11.6,-14.560000000000006,-14.04,-16.2,-18.720000000000002,-19.359999999999996,-17.96,-20.52,-20.6,-21.319999999999997,-22.92,-24.59999999999999,-25.519999999999996,-27.520000000000014,-19.8,13.360000000000001,55.63999999999999,164.52000000000004,369.08000000000004,588.7200000000001,756.1599999999997,871.6000000000003,900.8000000000004,822.7999999999998,719.9599999999997,645.04,610.9599999999998,593.9999999999999,587.6,582.7599999999998,576.9199999999995,570.92,568.88,569.7199999999998,574.6400000000001,582.7600000000001,595.3199999999999,607.6400000000002,622.5599999999998,634.8400000000003,645.96,661.08,683.4000000000002,704.2000000000002,724.92,747.92,770.96,788.5600000000001,794.36,797.36,794.8800000000001,784.0400000000001,775.7200000000001,780.2400000000002,793.2399999999999,820.2400000000002,853.2800000000003,881.9200000000003,908.1600000000004,932.0000000000002,942.9200000000001,950.6000000000003,959.3600000000001,967.1999999999997,972.6799999999998,981.1199999999994,992.3599999999997,1004.5599999999995,1018.3599999999997,1030.7199999999998,1041.9999999999995,1049.08,1055.2800000000002,1058.96,1060.3999999999996,1057.6799999999998,1052.3599999999997,1044.0799999999997,1032.1200000000001,1020.8799999999999,1006.7600000000001,990.7599999999993,970.3600000000002,948.2799999999997,924.6399999999999,902.44,875.84,841.32,794.4000000000005,740.6400000000001,681.6400000000001
7,853.2800000000003,881.9200000000003,908.1600000000004,932.0000000000002,942.9200000000001,950.6000000000003,959.3600000000001,967.1999999999997,972.6799999999998,981.1199999999994,992.3599999999997,1004.5599999999995,1018.3599999999997,1030.7199999999998,1041.9999999999995,1049.08,1055.2800000000002,1058.96,1060.3999999999996,1057.6799999999998,1052.3599999999997,1044.0799999999997,1032.1200000000001,1020.8799999999999,1006.7600000000001,990.7599999999993,970.3600000000002,948.2799999999997,924.6399999999999,902.44,875.84,841.32,794.4000000000005,740.6400000000001,681.6400000000001,627.4800000000001,585.2400000000001,559.2800000000002,545.64,541.5600000000002,540.9600000000002,543.0400000000001,549.6000000000001,551.2800000000003,553.88,557.7600000000006,560.4400000000003,562.0399999999997,568.64,575.0800000000003,581.8000000000001,592.3200000000003,601.68,608.1200000000002,613.0799999999999,615.4800000000002,610.6399999999999,603.6800000000003,592.0800000000002,579.0400000000002,565.1200000000003,550.9200000000001,533.4800000000001,516.92,496.12000000000035,473.6399999999998,449.3599999999999,420.9199999999998,369.1199999999999,279.12,176.32000000000005,83.11999999999998,-2.3199999999999763,-59.80000000000001,-72.28,-67.88000000000001,-67.0,-65.84000000000002,-65.48,-65.92,-67.24,-68.88,-70.0,-72.16,-72.8,-73.24000000000001,-73.88000000000001,-74.04,-72.8,-74.48000000000002,-75.64,-75.32,-75.40000000000002,-75.76000000000002,-73.8,-56.67999999999999,-12.679999999999964,78.35999999999999,309.59999999999997,565.4000000000001,810.6800000000001,1018.3199999999998,1188.1999999999996,1209.0,1193.2000000000005,1172.1600000000003,1158.3200000000002,1131.96,1111.6799999999996,1098.44,1081.9200000000003,1063.4399999999996,1046.6800000000003,1032.76,1023.6800000000001,1019.8,1019.2400000000001,1022.0399999999998,1024.68,1024.68,1022.5599999999995,1019.5599999999998,1011.7199999999998,1002.28,992.68,985.5999999999997,979.16,977.1999999999997,978.1199999999999,982.9199999999997,989.1200000000001,1000.2399999999998,1012.64,1028.4,1046.36,1066.4,1085.88,1103.2800000000002,1114.6799999999996,1122.8400000000001,1127.0,1126.9599999999998,1124.28,1121.3200000000002,1114.0400000000002,1101.4799999999998,1085.04,1064.32,1037.7999999999997,1005.4400000000003,968.7599999999999,926.4400000000002,882.1200000000001,840.1200000000001,801.1200000000002,765.08,736.0400000000002,714.3200000000002,694.4799999999998,680.2400000000001,669.8800000000002,661.8799999999999,655.0400000000003,651.8400000000001,649.12,652.8,664.9599999999999,687.0400000000002,720.88,765.4000000000001,808.8399999999999
8,1046.36,1066.4,1085.88,1103.2800000000002,1114.6799999999996,1122.8400000000001,1127.0,1126.9599999999998,1124.28,1121.3200000000002,1114.0400000000002,1101.4799999999998,1085.04,1064.32,1037.7999999999997,1005.4400000000003,968.7599999999999,926.4400000000002,882.1200000000001,840.1200000000001,801.1200000000002,765.08,736.0400000000002,714.3200000000002,694.4799999999998,680.2400000000001,669.8800000000002,661.8799999999999,655.0400000000003,651.8400000000001,649.12,652.8,664.9599999999999,687.0400000000002,720.88,765.4000000000001,808.8399999999999,845.4400000000002,876.4800000000004,894.24,896.52,887.5200000000001,873.1199999999998,845.5600000000003,813.8399999999999,782.0400000000001,753.7600000000001,727.0400000000001,709.24,698.2399999999998,696.6799999999997,700.68,711.6399999999999,725.1200000000001,739.1599999999996,748.9599999999998,756.4400000000003,756.0000000000002,751.08,740.8799999999999,727.44,710.5200000000001,694.5200000000001,678.5600000000002,659.8400000000001,640.6799999999998,623.4000000000001,605.7199999999996,583.72,558.3200000000002,520.7600000000002,451.2800000000003,341.31999999999994,227.0399999999999,118.27999999999996,26.320000000000007,-29.20000000000002,-43.160000000000004,-51.44000000000001,-54.36,-58.52000000000001,-65.88,-70.12,-70.47999999999999,-73.24000000000002,-75.36000000000001,-77.04,-79.72,-79.4,-79.19999999999999,-79.56,-79.28,-79.00000000000001,-81.48,-81.32000000000001,-61.839999999999996,64.67999999999999,256.56,466.8000000000001,639.8800000000002,765.8000000000001,772.7599999999999,709.4000000000001,624.64,573.2399999999999,546.5999999999996,531.6799999999996,519.5599999999995,509.8399999999999,503.64,498.9999999999999,495.28000000000003,494.4399999999999,492.67999999999967,489.2000000000001,489.9599999999999,489.7199999999997,489.67999999999995,493.6400000000001,498.8399999999997,502.3199999999998,510.7999999999999,522.0399999999996,535.4799999999998,550.0400000000001,564.44,580.2799999999999,609.2799999999997,644.9600000000003,683.6800000000001,723.96,756.8000000000001,771.6399999999999,768.8,760.8399999999999,747.28,726.7199999999997,707.64,696.28,685.72,727.88,787.16,853.6800000000002,924.1999999999999,997.1599999999996,1021.1999999999999,1038.88,1050.1200000000001,1057.44,1063.6799999999998,1067.84,1071.7200000000003,1075.3200000000006,1078.0400000000002,1080.52,1083.6799999999996,1086.8000000000002,1089.7199999999998,1093.0400000000002,1094.5199999999998,1096.1200000000003,1098.4000000000003,1095.2800000000002,1088.6399999999999,1077.4799999999998,1060.12,1031.4800000000002,1002.3599999999998,969.3599999999999,931.6399999999999,896.0000000000001
10,880.4000000000001,975.5999999999997,1054.9600000000003,1093.6399999999999,1122.6799999999998,1128.0000000000002,1125.9600000000003,1126.3200000000002,1129.3200000000002,1139.5600000000002,1160.7600000000002,1182.48,1201.3999999999999,1217.7200000000003,1229.7200000000003,1231.24,1230.9199999999998,1230.68,1228.5199999999995,1225.6800000000005,1220.6800000000003,1212.7599999999995,1198.5199999999998,1178.6000000000004,1149.44,1111.8400000000001,1066.1599999999999,1010.48,949.2800000000001,887.5600000000001,827.5999999999999,766.7200000000001,708.96,656.16,610.0000000000002,570.8800000000001,544.1999999999999,538.5200000000003,554.8000000000001,596.32,676.9200000000003,752.1999999999998,810.6399999999999,850.3200000000002,866.8,850.72,846.6800000000001,859.8799999999999,890.0800000000003,925.1999999999998,956.5599999999997,971.9999999999999,972.6000000000005,952.6800000000001,922.0799999999997,883.04,845.9999999999999,806.0800000000003,769.5600000000003,736.72,703.96,671.7199999999999,638.0800000000002,598.8799999999998,550.24,494.6799999999999,426.96,340.11999999999995,227.60000000000002,110.19999999999993,10.600000000000017,-71.52000000000001,-124.52000000000002,-141.64000000000001,-138.96,-140.32,-139.36,-138.32000000000002,-136.27999999999997,-136.32000000000002,-135.56000000000003,-136.12,-137.79999999999998,-139.95999999999998,-141.55999999999997,-145.08000000000004,-149.88,-152.92000000000002,-156.68,-160.72,-161.48,-160.31999999999996,-157.84,-156.31999999999994,-153.63999999999996,-150.55999999999997,-120.04,91.64000000000001,339.99999999999994,571.9999999999998,771.7199999999998,928.32,913.88,865.8799999999999,824.16,814.3600000000002,824.5199999999999,823.5600000000005,822.64,831.8000000000001,843.7599999999996,853.04,863.1199999999999,873.0799999999999,884.7599999999999,897.2399999999998,907.2000000000004,911.4000000000001,913.5600000000001,907.0399999999997,888.9200000000002,843.1199999999999,772.5200000000001,679.52,539.5600000000004,400.7200000000001,280.36,185.32,174.64,223.04000000000002,276.88,338.0400000000001,401.7599999999999,403.19999999999993,401.35999999999996,399.2399999999999,398.76000000000005,397.9600000000001,396.9200000000001,392.24000000000007,388.04,382.04,377.52000000000004,375.56,374.36,374.76,378.08,381.15999999999997,382.24,381.88000000000005,379.88000000000005,375.40000000000003,370.96000000000004,366.44000000000005,361.43999999999994,348.72,330.3200000000001,312.91999999999996,295.7200000000001,276.48,263.76000000000005,260.08,253.39999999999998,249.2,267.0400000000001,309.7200000000001,354.6000000000001,403.40000000000003,453.4799999999999,490.9199999999999,510.1599999999999
11,1108.7999999999997,1103.9600000000003,1100.2800000000002,1098.2799999999997,1099.36,1101.64,1102.5200000000004,1102.48,1103.8799999999999,1105.0800000000002,1103.52,1103.3600000000004,1103.4000000000008,1098.44,1090.9600000000003,1079.3600000000004,1062.7200000000003,1043.0399999999995,1018.44,992.0799999999999,967.0400000000004,940.2799999999999,910.8000000000002,880.7200000000003,849.6800000000001,819.3200000000002,790.6,763.5999999999999,738.4000000000001,715.1600000000001,696.4799999999998,690.4399999999997,696.32,710.6400000000001,727.8400000000001,739.0400000000001,731.6,707.56,670.5600000000001,629.0800000000002,590.1600000000001,562.4800000000001,547.32,544.8399999999999,550.2799999999999,560.1600000000002,571.3599999999999,586.6000000000003,610.56,648.6400000000001,691.84,737.04,771.5200000000001,791.5600000000002,786.48,770.1600000000004,744.3200000000002,721.8,698.0,677.4399999999998,656.48,638.28,613.8400000000001,590.3199999999998,566.52,541.7600000000001,511.60000000000025,471.88000000000017,411.1600000000001,318.64,201.48000000000002,94.63999999999994,4.63999999999997,-60.20000000000002,-89.4,-86.36,-86.96,-87.56,-88.84,-89.67999999999999,-93.04,-95.84000000000002,-97.16,-97.55999999999999,-97.59999999999998,-99.19999999999999,-100.64,-103.16000000000001,-104.48000000000002,-105.67999999999999,-105.76,-104.36,-104.00000000000001,-104.96000000000001,-105.12000000000002,-95.55999999999999,-82.08000000000001,-59.199999999999996,19.999999999999982,200.35999999999999,387.2399999999999,549.28,698.9599999999997,795.8800000000002,796.6800000000001,782.0799999999998,821.1200000000001,872.3199999999998,921.48,967.8,1016.4000000000005,1030.2799999999997,1034.72,1038.5200000000002,1036.6,1031.7199999999998,1024.24,1014.4399999999997,1000.7199999999998,984.48,964.2800000000001,939.4800000000002,909.6400000000003,869.7200000000003,822.0399999999998,768.4399999999999,709.0400000000001,643.4799999999998,583.84,530.4800000000001,480.08000000000004,441.72,413.35999999999996,389.43999999999994,373.64,368.04,364.32000000000005,369.68,379.8,391.28000000000003,400.16,412.47999999999996,419.44000000000005,423.19999999999993,425.03999999999996,425.43999999999994,420.03999999999985,416.32,413.64,409.03999999999996,407.12,405.20000000000005,401.88000000000005,398.43999999999994,395.76000000000005,393.0,392.76000000000005,391.32,389.7200000000001,387.7200000000001,385.36,382.08,380.91999999999996,378.67999999999995,379.11999999999995,377.72,378.03999999999996,376.16,372.11999999999995,363.0,347.5199999999999
