Jump_Number,Timestamp,Peak_Value,Peak_Index,Release_Index,Landing_Index
1,2025-04-14 23:52:59.902000+00:00,-0.04,1634,1616,1645
2,2025-04-14 23:53:00.991000+00:00,-0.52,1689,1668,1706
3,2025-04-14 23:53:02.529000+00:00,-0.0,1783,1767,1800
4,2025-04-14 23:53:05.141000+00:00,0.2,1935,1925,1956
5,2025-04-14 23:53:07.621000+00:00,0.2,2078,2067,2097
6,2025-04-14 23:53:10.524000+00:00,0.2,2252,2238,2269
7,2025-04-14 23:53:12.991000+00:00,0.2,2400,2385,2414
8,2025-04-14 23:53:36.033000+00:00,-0.2,3694,2522,2550
9,2025-04-14 23:53:38.395000+00:00,0.12,3832,2659,2684
10,2025-04-14 23:53:47.342000+00:00,-0.08,4311,2791,2823
