Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,174.07999999999996,184.43999999999994,201.07999999999993,223.52,240.2800000000001,257.84000000000003,274.32000000000005,287.15999999999997,293.88,296.48,294.4,289.55999999999983,280.91999999999996,269.87999999999994,255.23999999999998,248.92000000000004,251.35999999999999,263.68000000000006,279.9999999999999,301.76000000000005,317.8399999999999,327.0000000000001,329.08000000000004,330.03999999999996,329.48,326.4000000000001,320.52000000000004,311.0,299.1600000000001,286.7199999999999,275.67999999999995,267.51999999999987,263.47999999999996,269.99999999999994,280.2000000000001,291.1200000000001,302.72,314.32000000000005,318.6,321.24000000000007,323.6400000000001,326.0,328.4,330.28,331.9200000000001,332.12000000000006,330.6,327.7600000000001,323.0799999999998,316.7199999999999,311.76000000000005,312.24,316.8399999999999,323.1200000000001,330.47999999999985,338.12,340.8799999999999,339.51999999999987,337.56000000000006,334.0000000000001,328.80000000000024,322.43999999999994,316.00000000000006,311.24,309.28,306.8400000000001,303.0400000000001,296.8800000000001,286.56000000000006,273.31999999999994,226.04,173.2,122.12,73.92000000000002,27.879999999999995,17.72,15.64,15.080000000000002,14.4,13.8,13.040000000000003,12.680000000000003,11.400000000000002,11.200000000000001,11.120000000000001,10.600000000000001,9.96,10.56,9.8,9.12,9.52,9.080000000000002,8.719999999999999,8.8,8.559999999999999,7.759999999999999,11.719999999999999,35.120000000000005,87.60000000000001,135.04,191.15999999999997,249.44,283.76,284.88,283.00000000000006,265.28000000000003,249.36,246.76,251.24,262.24,277.19999999999993,280.55999999999995,269.40000000000003,250.92,231.12,215.2,204.63999999999996,207.36000000000004,220.23999999999995,238.80000000000007,256.12,271.76,280.5200000000001,286.4,292.84000000000003,300.7600000000001,306.9199999999999,310.56000000000006,309.92,290.15999999999997,268.72,249.4,231.2,215.0000000000001,214.88,215.24000000000007,215.92000000000002,216.71999999999997,217.51999999999998,220.11999999999995,229.24,239.95999999999992,255.00000000000003,274.24,296.7600000000001,312.47999999999996,325.68,333.96000000000004,336.08000000000004,331.31999999999994,323.24,310.1599999999999,291.88,269.52,244.92000000000002,222.76,205.24,193.40000000000003,187.52000000000004,186.76,193.24000000000007,206.68000000000006,221.92000000000004,239.80000000000004,258.68,273.24,280.8399999999999,285.56000000000006,286.64,282.56,275.44000000000005
2,326.3199999999998,321.5999999999999,318.0,315.6,314.48,303.2400000000001,286.19999999999993,265.52000000000004,246.56,229.99999999999997,229.24,240.0,261.12,285.12,307.08000000000004,326.3600000000001,341.08000000000004,348.19999999999993,349.43999999999994,349.32000000000005,347.15999999999997,345.96000000000004,344.68000000000006,344.5600000000002,344.6400000000001,345.64,346.0,346.31999999999994,345.96000000000004,342.1200000000001,337.2,331.88,327.23999999999984,324.64,326.52,329.8800000000001,334.4799999999999,339.16,342.4400000000001,344.3200000000001,346.1600000000002,347.40000000000003,347.48,346.5199999999999,345.72,343.52000000000027,338.08000000000004,333.6,330.36,327.56000000000006,327.08000000000004,331.8800000000001,339.6399999999999,348.08,356.96,364.84,370.48,372.3599999999999,372.44,369.79999999999995,364.2800000000001,356.08,344.76,326.27999999999986,309.7599999999999,296.1599999999999,285.08000000000004,277.0,275.12,270.96000000000004,259.43999999999994,245.83999999999997,230.80000000000007,211.15999999999997,172.67999999999998,133.8,95.71999999999997,59.160000000000004,28.360000000000007,18.439999999999998,15.679999999999996,13.439999999999998,11.839999999999998,10.879999999999999,9.479999999999997,8.2,7.960000000000001,7.640000000000001,7.16,7.08,6.96,6.800000000000001,6.079999999999998,11.16,46.16,88.4,145.07999999999998,207.83999999999995,266.43999999999994,295.91999999999996,317.83999999999986,324.44000000000005,324.12,320.1199999999999,312.43999999999994,299.68,281.48,255.24000000000007,222.04000000000002,186.79999999999998,152.28,119.88000000000001,90.52000000000001,66.00000000000001,45.08,27.959999999999994,14.159999999999997,5.159999999999998,-0.3200000000000034,-4.600000000000002,-8.040000000000003,-11.680000000000005,-13.760000000000002,-13.48,-13.720000000000004,-10.880000000000004,-2.9600000000000017,5.479999999999999,12.279999999999994,20.16,25.8,27.479999999999997,28.599999999999994,29.6,29.880000000000006,28.679999999999996,26.879999999999995,24.0,20.719999999999995,18.039999999999996,15.399999999999995,14.119999999999996,16.119999999999997,23.959999999999997,33.28,46.04,59.760000000000005,74.32000000000002,84.28,90.08000000000001,91.20000000000002,89.52,85.47999999999999,80.92,79.08000000000003,79.32,80.32,80.96000000000001,80.84,81.04,81.16000000000003,81.96000000000001,83.4,85.83999999999999,89.08000000000001,92.83999999999999,95.67999999999998,98.35999999999999,101.16000000000003,104.36000000000001,107.75999999999999
3,301.68000000000006,304.4,302.44000000000005,297.55999999999995,289.68000000000006,280.56000000000006,275.68,274.67999999999995,278.96000000000004,287.56,297.47999999999996,307.68000000000006,317.16,323.96000000000004,328.44000000000005,331.44000000000017,332.76,333.5600000000001,327.6800000000002,318.12,304.5999999999999,288.80000000000007,271.35999999999996,258.04,248.64,243.92000000000002,244.0,248.60000000000002,255.52000000000004,260.68000000000006,261.15999999999997,257.4,249.27999999999992,240.2,233.75999999999993,233.44000000000005,237.56000000000006,245.80000000000007,257.80000000000007,271.48,285.28000000000003,298.71999999999997,311.0,321.52,330.00000000000006,336.7200000000001,341.88000000000005,346.24000000000007,348.6,349.31999999999994,348.4399999999998,345.67999999999984,341.43999999999994,338.36,338.12,341.71999999999997,348.2400000000001,357.1600000000001,368.7999999999999,377.15999999999985,380.99999999999994,380.5200000000001,375.31999999999994,364.28,356.56,352.08000000000004,350.32000000000005,349.3200000000001,348.6,344.08000000000004,334.64,267.16,201.20000000000005,137.48000000000005,74.16000000000003,14.079999999999995,11.879999999999995,10.359999999999998,8.84,8.879999999999997,8.599999999999996,8.519999999999996,8.119999999999997,7.839999999999996,7.439999999999998,7.159999999999998,7.039999999999999,6.919999999999998,6.959999999999999,6.92,7.16,7.120000000000001,7.52,7.280000000000001,7.5600000000000005,20.04,48.80000000000001,106.91999999999999,172.99999999999994,242.9199999999999,291.79999999999984,317.8799999999999,309.08000000000004,293.4799999999999,284.56,293.28,304.56000000000006,317.55999999999995,327.0,322.68000000000006,306.80000000000007,293.4,281.7600000000001,272.80000000000007,261.35999999999996,241.96,214.56,176.36,137.2,102.6,78.72,64.96000000000001,63.84,64.07999999999998,65.08,66.60000000000001,67.6,68.79999999999998,69.8,71.11999999999998,71.75999999999999,72.96,73.88,74.88,75.6,76.68,78.19999999999999,80.6,84.24000000000001,91.56,116.23999999999998,160.75999999999996,206.04,250.44000000000005,291.15999999999997,314.2000000000001,316.2800000000001,317.12,316.91999999999996,315.48,313.76,311.44000000000005,307.99999999999994,304.56,300.15999999999997,293.31999999999994,283.31999999999994,268.68000000000006,255.20000000000005,245.44,241.40000000000003,244.52000000000004,254.44000000000005,263.4,269.24,270.84,267.88,262.12000000000006,250.40000000000015,239.12000000000003,225.36
4,266.4,295.60000000000014,326.44000000000005,358.0,364.48,365.32,354.6399999999999,342.44000000000005,331.9599999999998,326.0799999999999,325.40000000000003,336.12,347.68,357.44000000000005,363.9199999999999,367.3599999999999,369.51999999999987,371.12000000000006,371.43999999999994,369.75999999999993,366.52,360.43999999999994,351.76,339.4000000000001,324.4000000000001,308.80000000000007,293.9600000000001,281.48,275.31999999999994,272.48,271.08,271.72,273.4,274.36,277.92,284.91999999999996,293.3599999999999,301.9599999999999,311.3600000000001,319.52,328.28000000000003,335.88000000000017,343.08000000000004,348.64,353.2800000000001,353.7599999999999,347.72,338.99999999999994,331.8000000000001,330.6,334.6799999999999,345.9999999999999,359.8799999999999,371.51999999999987,376.91999999999985,376.67999999999995,373.11999999999995,366.48,357.32000000000016,344.80000000000007,330.52,318.80000000000007,308.91999999999985,301.2399999999998,294.51999999999987,287.67999999999995,277.76,266.7199999999999,249.9600000000001,233.36,215.12,183.08000000000004,139.3200000000001,100.31999999999996,63.360000000000014,31.119999999999994,14.999999999999996,12.719999999999999,12.16,11.599999999999998,10.84,10.639999999999999,9.68,8.799999999999999,8.239999999999998,8.199999999999998,7.959999999999997,7.919999999999998,7.999999999999998,8.119999999999997,7.279999999999998,6.72,57.07999999999999,109.88000000000001,164.60000000000002,217.32,268.7600000000001,269.56,270.28,272.15999999999997,278.4799999999999,285.87999999999994,293.72,299.64000000000004,302.76,303.08,301.91999999999985,295.55999999999983,281.79999999999995,230.31999999999994,178.20000000000002,126.84000000000003,79.35999999999999,38.48000000000001,34.44000000000002,32.720000000000006,32.480000000000004,33.60000000000001,36.4,40.759999999999984,44.76,47.84000000000002,51.280000000000015,53.55999999999999,55.16,56.64,58.839999999999996,60.359999999999985,61.68000000000001,62.959999999999994,63.72000000000001,63.519999999999996,61.99999999999997,58.839999999999996,53.2,46.04,37.92,31.27999999999999,25.360000000000003,21.84,19.76,19.2,42.40000000000002,71.48000000000002,103.79999999999998,138.36,173.36,184.56,190.04000000000002,185.11999999999998,175.20000000000007,161.68,144.71999999999997,126.15999999999997,112.83999999999997,100.92,91.31999999999998,81.99999999999999,74.03999999999999,66.88,61.44000000000001,56.36,54.0,52.68000000000001,52.120000000000005,51.8,52.440000000000005,53.32,54.400000000000006,56.16,57.72
5,320.48,320.79999999999995,320.36000000000007,319.60000000000014,319.0,318.43999999999994,318.15999999999997,317.8399999999999,317.4799999999999,317.3599999999999,316.6799999999998,316.6400000000001,315.7199999999999,313.7599999999999,310.28,305.9200000000001,298.0000000000001,289.19999999999993,278.36,260.96,243.28000000000006,228.07999999999993,215.35999999999996,207.44,215.07999999999996,230.92000000000002,251.03999999999996,272.2,292.36000000000007,305.55999999999995,312.79999999999995,316.6,319.4800000000001,321.9200000000001,322.9599999999999,323.28,323.03999999999996,321.8399999999999,319.36,316.5999999999999,313.67999999999984,309.43999999999994,303.39999999999986,296.15999999999997,287.31999999999994,276.12,264.03999999999996,252.44000000000003,242.56,235.23999999999998,232.23999999999995,234.64,250.12000000000006,265.9600000000001,281.16,293.72,302.44000000000005,298.24,293.6400000000001,292.9200000000001,293.2000000000001,293.24,292.52000000000004,282.19999999999993,266.31999999999994,248.5200000000001,230.36000000000004,212.56,202.12000000000006,187.36000000000007,155.48000000000002,116.92000000000002,79.96,45.76,17.96,8.919999999999998,8.919999999999998,8.279999999999998,7.479999999999997,7.199999999999998,7.199999999999998,6.319999999999997,6.119999999999997,6.479999999999997,6.439999999999997,6.399999999999998,6.359999999999996,6.239999999999997,5.879999999999998,5.679999999999996,5.039999999999999,4.959999999999999,4.68,4.120000000000001,56.44000000000001,113.64000000000003,171.27999999999997,229.48000000000002,287.03999999999996,291.7199999999999,290.35999999999996,280.4,267.59999999999997,250.27999999999994,227.4800000000001,189.99999999999997,154.76000000000005,117.47999999999995,82.84,53.559999999999995,39.92,32.40000000000001,29.24000000000001,28.480000000000018,27.880000000000003,28.120000000000005,27.480000000000004,27.279999999999998,28.92,39.08000000000001,61.04000000000002,85.68000000000004,109.60000000000002,132.67999999999998,146.72000000000003,149.72000000000003,150.60000000000002,151.88000000000005,152.52000000000004,153.88000000000002,154.28000000000003,154.15999999999997,154.0,154.39999999999998,154.48,154.76000000000005,154.88,155.24,155.16000000000003,155.32,155.64,157.20000000000002,160.2,169.76000000000005,187.24000000000007,209.68000000000004,235.76,263.96000000000004,287.56000000000006,302.79999999999995,305.72,300.48,288.15999999999985,270.2399999999999,250.27999999999997,236.12000000000003,225.15999999999997,217.76,213.99999999999997,212.88000000000005,213.68,234.83999999999997,256.47999999999996,278.0,299.1600000000001,318.64,316.08000000000004,309.0,298.52,285.96000000000004,271.43999999999994
6,278.96,293.2399999999999,301.44,305.68000000000006,308.11999999999995,309.76,310.9599999999999,311.6799999999999,312.43999999999977,312.7199999999999,313.79999999999984,314.9599999999999,316.52,317.1199999999999,318.19999999999993,318.6799999999999,318.79999999999984,317.9599999999999,316.79999999999995,314.3600000000001,308.60000000000014,299.79999999999995,288.6,277.08,269.7600000000001,271.52000000000004,277.64,287.36,298.88,307.47999999999996,310.12,311.48000000000013,311.8400000000001,311.56,311.28000000000003,311.43999999999994,311.76,312.59999999999997,313.8399999999999,314.64,313.6400000000001,312.79999999999995,310.56,307.3600000000001,302.56000000000006,297.2000000000001,290.68000000000006,284.15999999999997,279.52,278.19999999999993,280.23999999999995,284.64,292.16,300.3599999999999,306.15999999999997,309.47999999999985,309.03999999999996,304.79999999999995,297.0,288.48,277.9200000000001,269.28000000000003,262.44,257.40000000000003,253.6799999999999,252.0399999999999,249.48000000000008,245.24,239.4000000000001,225.20000000000005,196.60000000000002,153.88000000000005,111.03999999999999,68.95999999999998,35.60000000000001,17.560000000000002,14.799999999999997,13.48,12.36,10.92,9.68,9.04,8.8,8.48,8.399999999999999,8.399999999999999,8.279999999999998,7.559999999999998,7.199999999999999,6.839999999999999,6.4,5.84,5.6,5.6,44.16,85.87999999999998,143.76000000000002,210.47999999999996,281.71999999999997,308.1200000000001,327.03999999999996,327.3200000000001,318.08000000000004,305.5600000000001,305.32000000000016,318.6,336.80000000000007,311.80000000000007,277.91999999999996,234.04000000000002,177.76000000000005,116.71999999999997,97.51999999999998,84.0,72.28,62.64,51.279999999999994,42.44,36.040000000000006,31.599999999999998,29.239999999999995,31.120000000000005,33.07999999999999,34.79999999999999,36.72,38.08,39.519999999999996,41.64,43.68,45.68000000000001,47.280000000000015,48.76000000000001,50.519999999999996,52.00000000000001,53.999999999999986,56.04,58.879999999999995,60.16,61.4,63.0,64.8,66.52,70.55999999999999,78.56,103.08,147.55999999999995,195.88,246.48000000000002,293.08000000000004,322.19999999999993,330.6000000000001,333.88,332.71999999999997,331.19999999999993,327.4,322.48,315.96000000000004,306.96000000000004,295.28000000000003,283.12,269.55999999999995,255.0,239.76000000000008,225.16000000000005,212.2,201.84000000000003,194.96000000000004,192.75999999999993,199.44000000000005,211.99999999999994,227.60000000000002
7,317.2,319.1599999999999,319.6,318.0,314.76,309.80000000000007,304.12000000000006,292.67999999999995,281.52,270.48,254.16000000000003,237.00000000000003,223.76000000000005,210.27999999999997,196.71999999999997,188.76,181.64000000000001,178.31999999999994,179.44,186.32000000000005,199.72,217.96000000000004,238.03999999999996,258.32000000000005,276.92,291.88,303.79999999999995,313.51999999999987,323.20000000000005,330.0800000000001,336.0,341.08000000000004,345.44,347.2799999999999,348.9599999999999,348.88,347.27999999999986,344.2,339.79999999999984,333.7199999999999,326.2800000000001,318.72,310.48,301.52,293.2800000000001,286.72,289.55999999999995,297.96000000000004,310.3599999999999,322.0400000000001,333.20000000000005,335.52,332.6,328.08000000000015,325.72,324.48,322.5600000000001,320.96000000000004,315.64,306.9600000000002,296.15999999999997,277.7600000000001,257.0,230.91999999999996,185.95999999999998,135.48000000000002,93.60000000000002,54.879999999999995,24.200000000000003,14.799999999999999,13.36,12.119999999999997,11.479999999999997,10.679999999999996,10.12,9.719999999999997,9.479999999999997,8.999999999999998,9.079999999999998,9.2,9.0,8.52,8.2,7.84,7.319999999999999,6.6,6.6000000000000005,6.759999999999999,6.32,6.12,6.24,6.559999999999999,16.200000000000003,65.56,139.60000000000002,213.91999999999996,288.00000000000006,351.3600000000001,373.63999999999993,370.1199999999999,366.0799999999999,363.03999999999985,362.08000000000015,364.2,366.5200000000001,366.0,358.72,342.88,307.24,266.64,225.60000000000002,186.71999999999997,146.67999999999995,123.72,105.04,88.67999999999998,75.23999999999997,70.11999999999998,66.16,63.36000000000001,62.56,63.72,67.07999999999998,76.68000000000002,102.84000000000003,147.28,199.72000000000003,250.9199999999999,296.44000000000005,324.64,333.03999999999996,331.0799999999998,328.4799999999999,325.31999999999994,323.31999999999994,321.92,321.80000000000007,322.2800000000001,323.88,326.00000000000006,328.72,328.43999999999994,324.8399999999999,316.84000000000003,305.3600000000002,288.9200000000001,269.91999999999996,250.72000000000003,233.76,218.44,206.52,199.20000000000005,195.44,192.52000000000004,191.35999999999999,193.32,199.76,207.72000000000008,220.8,238.83999999999997,255.11999999999995,263.79999999999995,267.15999999999997,261.88,246.99999999999994,217.48000000000002,189.19999999999996,162.03999999999996,139.44000000000003,121.0,116.76
8,115.51999999999998,122.32000000000001,130.35999999999996,139.64,150.6,163.39999999999998,179.91999999999993,203.64,238.47999999999993,271.6,300.55999999999995,317.2400000000002,315.56000000000006,298.48,278.68000000000006,258.6,241.32,235.04000000000002,234.04000000000002,237.32,245.00000000000003,255.8,267.71999999999997,281.8399999999999,299.36,314.36,324.20000000000005,328.0400000000001,325.0799999999999,303.68000000000006,280.2399999999999,256.52,233.76,212.12000000000003,203.95999999999998,199.24,198.5200000000001,202.68,210.07999999999998,220.00000000000006,238.07999999999998,255.99999999999997,278.0799999999999,299.52,319.51999999999987,330.9200000000001,341.36,345.92,349.88,353.15999999999997,355.1600000000001,349.67999999999995,342.2400000000001,332.79999999999995,322.20000000000005,311.9599999999999,309.92,311.67999999999995,316.76,329.91999999999996,343.9200000000001,357.12,367.12000000000006,375.12,375.03999999999996,373.6,370.80000000000007,368.44000000000005,364.8800000000001,360.23999999999995,352.36000000000007,341.5200000000001,275.9599999999999,211.2,147.35999999999996,86.32000000000001,27.679999999999996,24.0,20.759999999999998,18.279999999999998,16.519999999999996,16.439999999999998,16.239999999999995,15.559999999999999,14.919999999999998,14.559999999999995,13.559999999999997,12.199999999999996,11.239999999999995,10.319999999999993,9.719999999999999,9.839999999999996,58.000000000000014,113.28000000000003,172.2399999999999,230.9199999999999,290.48,302.04,306.2,306.5600000000001,308.39999999999986,309.11999999999995,310.24,311.9599999999999,313.59999999999985,313.88,313.68000000000006,313.31999999999994,312.43999999999994,310.8399999999999,307.6,303.03999999999996,296.91999999999996,286.80000000000007,275.68000000000006,264.2399999999999,254.95999999999998,247.24000000000004,251.87999999999997,258.84000000000003,268.0400000000001,276.56,285.48,285.72,285.52000000000004,285.12,285.03999999999996,284.71999999999997,285.3600000000001,286.20000000000005,289.19999999999993,292.04,294.67999999999995,298.32,301.84000000000003,303.08000000000015,304.7600000000001,306.9200000000001,307.12,308.1600000000001,308.92,309.08000000000004,309.28,309.9200000000001,310.08000000000004,310.4799999999999,311.32000000000005,311.36,312.08000000000004,312.0000000000001,312.24,311.67999999999995,311.03999999999996,310.12,309.31999999999994,308.23999999999995,307.80000000000007,307.6400000000001,307.7600000000001,308.3200000000001,309.2800000000001,310.0800000000001,310.96000000000004,311.32000000000005,311.03999999999996,310.63999999999993,310.4,310.16,310.32000000000005,310.8400000000001,310.7199999999999
9,276.31999999999994,271.84000000000003,267.52000000000004,262.84,256.64000000000004,248.07999999999998,238.35999999999996,227.2,215.16,204.2,195.43999999999994,190.6,189.44000000000003,193.44000000000005,200.64000000000004,209.27999999999997,218.24000000000004,225.20000000000002,227.48000000000002,226.64,224.27999999999994,220.39999999999998,217.4,217.56,224.20000000000002,232.72000000000003,247.35999999999999,264.24,280.96,292.44,302.64,307.6,310.20000000000016,311.4,311.72,311.3599999999999,309.71999999999997,307.2399999999999,302.1599999999999,297.4,292.4,288.96000000000004,287.24,292.4,299.51999999999987,308.8399999999999,319.4800000000001,330.43999999999994,337.3199999999999,343.15999999999997,347.0,348.91999999999985,349.03999999999996,348.15999999999985,346.0400000000001,343.68000000000006,340.9599999999999,337.27999999999986,333.64000000000004,330.19999999999993,326.4000000000001,322.0,317.6,312.6000000000001,305.72,297.2400000000001,286.7199999999999,270.31999999999994,253.64000000000007,236.16000000000003,218.44,191.48,153.83999999999997,114.79999999999998,78.64000000000004,44.51999999999999,22.720000000000002,18.919999999999998,16.72,14.600000000000001,13.159999999999997,11.879999999999995,10.759999999999998,10.759999999999998,10.479999999999997,10.52,10.479999999999997,10.159999999999997,9.559999999999995,9.719999999999995,9.279999999999994,9.359999999999996,12.400000000000002,28.240000000000013,61.359999999999985,106.8,158.11999999999995,211.48,257.8399999999999,286.15999999999997,301.19999999999993,306.84000000000003,304.88,293.4799999999999,280.36,281.24,286.55999999999995,295.27999999999986,306.8799999999999,319.15999999999997,314.9200000000001,305.2800000000001,291.03999999999985,266.68,235.72000000000003,200.44,163.64,126.72000000000001,95.63999999999997,75.0,68.52,84.88000000000001,121.71999999999997,169.52000000000004,217.64000000000001,265.52,296.9199999999999,311.76,321.08000000000004,327.2399999999999,328.0399999999999,328.0399999999999,328.52,328.68000000000006,329.44,329.72,330.07999999999987,330.0399999999999,330.67999999999995,331.0399999999999,331.39999999999986,331.56000000000006,331.3199999999999,330.76,330.6400000000001,330.7200000000001,331.32,332.91999999999996,334.15999999999997,335.40000000000003,336.36,337.12,336.64,336.0,334.64,334.08,333.32,333.56,333.9200000000001,335.31999999999994,335.6000000000001,336.2399999999999,337.03999999999985,337.9199999999999,338.7199999999999,339.8799999999999,340.6799999999998,341.0,340.91999999999985,339.6000000000001,335.80000000000007
10,328.84000000000003,318.92,304.5200000000001,285.24000000000007,262.24,235.96,206.60000000000002,178.95999999999998,154.91999999999996,134.99999999999997,123.63999999999999,125.35999999999999,144.16000000000003,175.95999999999998,218.84000000000003,259.75999999999993,293.79999999999984,311.55999999999995,317.9200000000001,314.48000000000013,309.35999999999996,304.28,301.23999999999995,298.8399999999999,297.5599999999999,297.43999999999994,297.31999999999994,297.67999999999995,297.7199999999999,296.8399999999999,294.44000000000005,290.44000000000005,285.31999999999994,280.32000000000005,276.64000000000004,275.9200000000001,280.3600000000001,286.96,294.6400000000001,302.31999999999994,310.3599999999999,315.0799999999999,319.8799999999999,324.2399999999999,328.7199999999999,331.88000000000005,334.5200000000001,334.6,333.7200000000001,330.4,326.5199999999999,322.88000000000005,321.7600000000001,322.24,327.63999999999993,333.91999999999996,341.15999999999997,347.55999999999995,353.0800000000001,355.03999999999996,355.76,354.91999999999996,340.28000000000003,321.9199999999999,300.52,277.2800000000001,248.35999999999993,231.8,218.08000000000007,205.79999999999995,193.48000000000002,181.03999999999994,153.91999999999996,118.88000000000002,84.36000000000001,52.280000000000015,25.800000000000008,15.519999999999996,13.399999999999999,12.519999999999996,11.959999999999997,11.999999999999996,11.399999999999999,11.119999999999997,10.519999999999998,10.0,9.520000000000001,9.6,9.16,9.52,9.799999999999999,10.04,9.999999999999998,10.639999999999999,10.72,14.200000000000001,25.800000000000008,53.11999999999999,98.16,155.23999999999998,209.60000000000002,255.7999999999999,288.47999999999996,302.24,304.1600000000001,306.4,307.27999999999975,306.03999999999996,305.28000000000026,304.9199999999999,303.6799999999998,303.91999999999985,303.79999999999984,304.3199999999999,303.79999999999995,301.91999999999996,298.32000000000016,291.4000000000002,277.72,252.95999999999992,219.32,180.36,138.04000000000002,100.43999999999997,75.16000000000003,59.24000000000001,50.47999999999998,48.68000000000002,48.43999999999996,46.6,45.240000000000016,43.55999999999999,41.56,39.56000000000001,38.24000000000001,36.8,35.20000000000002,33.32,30.759999999999998,26.76000000000002,22.24000000000001,16.600000000000005,10.239999999999998,4.6,1.7999999999999994,-0.08000000000000118,-0.7600000000000005,0.03999999999999959,1.0799999999999998,1.2000000000000006,1.3999999999999986,1.3999999999999995,-0.6799999999999983,-8.879999999999999,-21.32,-32.36,-42.639999999999986,-50.120000000000005,-51.03999999999999,-46.959999999999994,-44.44,-42.16,-40.04,-39.16,-38.56,-37.15999999999999,-36.27999999999999,-36.12,-35.12,-35.0,-35.04
