Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,656.8799999999999,697.2799999999999,761.7599999999999,848.0399999999998,911.8800000000002,978.4400000000002,1040.2800000000002,1088.1999999999998,1113.2800000000002,1122.6000000000001,1114.3200000000002,1096.1999999999996,1063.4399999999998,1021.9599999999999,967.12,943.3200000000002,952.3199999999999,999.8,1061.8799999999997,1144.6000000000001,1206.7599999999998,1242.48,1250.7200000000003,1255.08,1253.56,1241.5600000000002,1219.0,1181.96,1135.4800000000002,1086.6399999999999,1043.6,1011.4399999999996,995.7199999999998,1021.6399999999999,1062.2400000000002,1105.68,1151.96,1197.9999999999998,1215.28,1225.96,1235.1600000000003,1244.12,1253.6,1261.1999999999998,1268.3200000000002,1271.0,1267.68,1259.8400000000001,1245.1599999999996,1223.6,1205.0,1205.9199999999998,1220.8799999999997,1241.8400000000001,1266.9599999999996,1294.2399999999998,1303.7199999999998,1298.0399999999995,1290.32,1276.8000000000002,1257.7600000000004,1234.2799999999997,1210.4,1193.3199999999997,1186.2399999999998,1177.6000000000001,1163.9600000000005,1141.5600000000002,1102.9600000000003,1053.1999999999998,874.92,669.68,471.4000000000001,284.20000000000005,105.52,62.47999999999999,55.43999999999998,54.32000000000001,52.12,50.0,46.88000000000001,45.56,40.48,39.720000000000006,40.120000000000005,38.44,36.12,38.32000000000001,35.84,32.68,34.519999999999996,32.64,31.439999999999994,31.559999999999995,31.04,27.72,42.6,126.88,307.91999999999996,468.7199999999999,666.3199999999999,873.8000000000001,995.6400000000001,1006.04,1007.5200000000001,947.2000000000003,891.2800000000002,882.8799999999998,900.76,942.68,998.5999999999998,1012.56,974.2,908.04,837.5200000000001,780.2,742.3999999999999,752.6400000000001,802.4799999999999,872.8000000000001,938.8,998.56,1033.5600000000002,1055.08,1077.88,1105.9600000000005,1128.6,1142.8000000000002,1142.92,1073.0,997.52,928.76,863.6800000000001,804.7600000000001,805.3199999999999,807.8000000000002,811.76,815.9599999999999,820.7199999999999,832.44,868.7200000000003,910.8,970.1200000000001,1044.88,1131.7200000000003,1192.3999999999996,1243.6399999999999,1275.3600000000001,1283.48,1265.28,1235.0,1186.0800000000002,1116.96,1032.6,939.0000000000002,854.1600000000001,786.5200000000001,740.4800000000001,717.32,714.24,738.2,789.28,847.2,914.6400000000001,985.1999999999998,1039.2800000000002,1064.6399999999999,1078.92,1079.8,1061.6000000000001,1032.48
2,1241.7999999999997,1224.08,1210.1599999999999,1200.48,1194.92,1147.2800000000002,1077.0399999999995,992.9600000000002,916.5600000000001,849.6399999999999,847.16,889.08,971.4399999999999,1064.6,1150.4,1225.7600000000002,1283.72,1311.9599999999998,1317.32,1317.4399999999998,1309.8,1305.88,1301.4800000000002,1301.8400000000004,1302.2400000000002,1306.0,1307.96,1309.9599999999998,1309.24,1296.6800000000003,1280.04,1261.68,1245.5999999999997,1236.6399999999999,1242.9599999999998,1254.92,1270.8399999999997,1287.88,1300.3200000000002,1307.88,1314.8400000000004,1319.6,1319.8000000000002,1316.12,1313.32,1305.520000000001,1287.6399999999999,1273.0,1262.72,1254.1200000000001,1253.8000000000002,1270.8000000000006,1298.5999999999997,1328.48,1359.68,1388.08,1407.96,1414.2399999999998,1414.88,1405.52,1385.6399999999999,1357.08,1317.28,1250.2399999999998,1189.7999999999995,1140.1999999999998,1099.12,1069.0,1061.72,1045.76,1000.1599999999999,946.36,886.0800000000003,809.1199999999997,660.2799999999999,510.4000000000001,363.87999999999994,224.2,105.80000000000001,67.44,56.83999999999999,48.519999999999996,42.239999999999995,38.519999999999996,33.31999999999999,28.720000000000002,27.920000000000005,26.720000000000002,24.679999999999996,24.239999999999995,23.840000000000003,23.28,20.72,37.68000000000001,169.35999999999999,325.52,539.96,780.7599999999998,1008.4799999999999,1124.0399999999997,1213.2399999999998,1240.7200000000003,1238.5200000000002,1221.3599999999997,1190.2,1139.2400000000002,1067.1599999999999,963.4400000000002,834.44,698.56,566.7199999999999,443.7600000000001,335.56000000000006,245.92000000000007,169.51999999999998,107.39999999999999,58.19999999999998,24.79999999999999,4.679999999999987,-11.040000000000017,-23.64000000000001,-37.68000000000001,-45.04000000000002,-44.28,-46.24000000000001,-37.92000000000001,-11.000000000000005,17.279999999999994,39.15999999999998,65.39999999999999,84.03999999999999,88.52,91.23999999999998,94.16,95.32000000000001,91.35999999999997,85.47999999999998,75.32,64.03999999999999,54.99999999999999,46.0,41.4,49.480000000000004,78.72,112.44,159.11999999999995,209.52000000000004,262.56000000000006,299.36,321.7200000000001,326.88,321.72,307.79999999999995,291.32000000000005,284.4000000000001,285.24,288.76,291.80000000000007,291.44,292.2,292.40000000000003,295.12,299.80000000000007,309.0799999999999,321.32000000000005,334.8799999999999,345.43999999999994,354.91999999999996,364.6400000000001,375.67999999999995,387.47999999999996
3,1116.9200000000003,1127.5600000000002,1120.2000000000003,1101.7599999999998,1071.8000000000002,1037.88,1019.6399999999999,1015.9999999999998,1032.2800000000002,1065.04,1102.08,1140.44,1176.56,1202.3999999999999,1219.28,1231.1200000000001,1236.24,1238.9600000000005,1216.3200000000002,1179.56,1127.12,1066.6400000000003,1000.3199999999997,949.8800000000001,914.32,896.96,897.36,914.72,940.48,959.8800000000001,961.4799999999998,947.7599999999998,917.2399999999999,883.6399999999999,859.5999999999998,858.6800000000001,873.72,903.8800000000001,948.44,999.6000000000001,1051.7200000000003,1102.92,1150.44,1191.48,1224.88,1251.1600000000003,1271.44,1289.1200000000003,1299.8400000000001,1304.7599999999998,1304.9599999999996,1298.5999999999995,1286.5599999999997,1277.8000000000002,1279.48,1293.96,1319.6400000000003,1353.4800000000002,1397.2399999999998,1428.7199999999996,1443.96,1442.6000000000004,1424.72,1385.44,1358.0400000000002,1341.92,1335.8000000000002,1332.8000000000002,1330.5600000000002,1315.7200000000003,1283.1599999999999,1025.8000000000002,773.0799999999999,528.8799999999999,284.4000000000001,51.76,43.27999999999999,37.559999999999995,31.43999999999999,31.67999999999999,30.83999999999999,30.879999999999985,29.199999999999992,28.55999999999999,27.039999999999992,25.839999999999996,25.36,24.479999999999997,24.4,24.560000000000002,25.6,25.000000000000004,27.120000000000005,26.08,27.000000000000007,75.48,188.68000000000004,405.0799999999999,652.2399999999999,915.9999999999998,1104.6399999999999,1205.6799999999998,1183.04,1133.8399999999997,1105.52,1136.56,1175.3600000000001,1219.48,1250.24,1230.7200000000003,1167.92,1113.5200000000002,1065.8800000000003,1028.48,981.9199999999998,905.8399999999999,801.6000000000001,658.72,511.84000000000003,382.79999999999995,295.20000000000005,244.83999999999997,240.84000000000003,242.31999999999996,246.24,252.08,256.40000000000003,260.59999999999997,264.35999999999996,269.15999999999997,271.12,275.35999999999996,279.15999999999997,282.47999999999996,285.11999999999995,289.08000000000004,294.28,302.76,316.40000000000003,342.67999999999995,433.68,601.8399999999999,773.32,941.4400000000003,1096.7600000000002,1186.3200000000002,1194.44,1197.1200000000001,1196.1200000000001,1190.1200000000001,1183.0,1173.6,1160.2,1146.96,1130.0,1103.3599999999997,1064.6399999999999,1008.2400000000002,956.5200000000002,918.92,903.3600000000001,915.08,952.8400000000001,986.5600000000001,1008.9200000000001,1014.56,1002.9200000000001,980.0400000000002,934.6000000000003,891.3600000000001,839.28
4,1007.92,1117.9600000000003,1233.68,1352.2,1376.3600000000001,1378.7600000000002,1335.9999999999998,1287.2800000000002,1245.3599999999994,1220.6799999999998,1217.0400000000002,1258.52,1303.4,1341.8400000000001,1367.8799999999999,1381.7199999999998,1390.3599999999994,1397.1600000000003,1398.56,1392.5199999999998,1380.52,1356.7599999999998,1323.12,1275.4400000000003,1217.6800000000003,1157.5200000000002,1100.92,1052.3599999999997,1027.44,1015.2800000000001,1008.2800000000001,1009.2000000000002,1015.48,1019.3999999999999,1033.3200000000002,1060.6000000000001,1093.6,1127.0,1164.0800000000004,1196.08,1230.8,1261.0800000000002,1289.3200000000002,1311.3600000000001,1330.4,1333.4799999999998,1314.96,1286.8799999999997,1264.1200000000003,1262.2800000000002,1279.0799999999997,1319.9199999999996,1369.7199999999998,1410.8399999999997,1429.9199999999998,1429.1600000000003,1416.8399999999997,1393.3600000000001,1361.2400000000007,1317.1200000000003,1265.96,1223.2800000000002,1187.5199999999995,1159.5999999999995,1135.04,1110.4399999999998,1074.84,1034.52,971.2800000000003,907.9600000000002,837.64,713.64,543.3600000000002,391.7999999999999,247.9600000000001,122.27999999999997,58.760000000000005,49.559999999999995,47.04,44.67999999999999,41.72,40.72,37.36,34.24,32.12,32.16,31.15999999999999,30.72,30.84,31.479999999999993,27.839999999999996,25.52,218.87999999999994,421.23999999999995,634.24,843.2800000000001,1048.72,1059.52,1070.24,1082.04,1106.1999999999998,1133.7599999999998,1162.2,1183.2000000000003,1193.04,1192.36,1184.1599999999996,1155.1599999999996,1095.6399999999999,889.3599999999999,681.44,478.48,292.03999999999996,133.24000000000004,118.36000000000007,112.44000000000003,112.16,116.60000000000002,127.16000000000001,143.79999999999995,159.48,170.96000000000006,184.08000000000004,193.27999999999997,199.32,204.44000000000003,212.64,218.39999999999992,223.32000000000005,228.27999999999997,231.72000000000003,231.48,226.67999999999995,215.55999999999997,196.24,171.0,142.08000000000004,118.39999999999998,97.64,85.00000000000001,77.56,75.64,160.08000000000004,266.64000000000004,385.87999999999994,513.8400000000001,643.64,686.72,707.8400000000001,688.28,649.4800000000001,597.6399999999999,533.04,462.7199999999998,413.3599999999999,369.96,334.4,300.32,271.23999999999995,244.56,224.24000000000004,205.56,196.68,191.92000000000002,190.36000000000004,189.28000000000003,191.68000000000004,195.0,199.16,205.68,211.64000000000001
5,1218.68,1220.08,1218.5200000000002,1215.0000000000005,1212.0800000000002,1209.32,1208.3599999999997,1206.56,1205.2799999999997,1204.8399999999997,1201.5999999999997,1201.0800000000004,1197.08,1189.3199999999997,1174.92,1157.7600000000002,1126.8000000000002,1092.2799999999997,1049.12,981.6799999999998,912.2,852.9999999999999,802.96,772.0,800.8799999999999,863.4799999999998,942.56,1026.32,1106.7200000000003,1160.9599999999998,1191.1599999999999,1207.24,1219.8000000000002,1230.16,1235.7999999999997,1238.5199999999998,1239.1999999999998,1236.2399999999998,1228.7999999999997,1219.2799999999995,1209.1199999999997,1194.5999999999997,1173.4399999999996,1147.68,1115.7199999999998,1074.56,1029.5199999999998,985.5600000000001,946.8800000000001,917.64,904.8,912.1199999999999,969.4000000000002,1029.3200000000002,1086.72,1134.2000000000003,1167.7600000000002,1152.12,1135.0400000000002,1132.8000000000002,1134.8000000000006,1135.56,1133.48,1094.1200000000001,1033.48,965.0400000000002,894.3199999999999,825.4000000000001,784.7600000000002,728.3600000000001,608.4000000000001,458.7600000000001,314.9200000000001,181.68,71.88000000000002,32.36,32.67999999999999,30.759999999999994,27.71999999999999,27.039999999999992,27.239999999999995,23.47999999999999,22.639999999999997,24.279999999999994,24.319999999999997,24.239999999999995,24.439999999999987,23.55999999999999,22.240000000000002,21.399999999999995,18.840000000000003,18.439999999999998,17.32,14.680000000000007,233.8,474.64000000000004,717.9999999999999,963.3200000000002,1205.7599999999998,1226.3599999999997,1220.12,1175.6,1118.12,1040.7599999999998,940.6000000000001,778.48,629.0400000000002,473.31999999999994,332.08000000000004,213.6,161.40000000000003,133.52000000000007,123.32000000000001,120.84000000000003,118.96000000000004,120.52000000000001,118.07999999999998,117.92,124.8,163.24000000000004,247.64000000000004,342.60000000000014,433.48,520.56,573.9200000000001,584.5999999999999,587.5600000000002,592.3600000000001,595.48,601.08,602.6800000000001,601.9599999999998,600.9199999999998,602.3599999999999,602.56,603.56,603.64,605.0799999999999,604.4800000000001,605.24,605.9200000000001,611.9200000000001,622.9600000000002,657.0000000000001,720.6400000000001,803.2800000000001,899.04,1004.0000000000001,1093.8400000000001,1152.12,1163.92,1144.8400000000001,1097.8399999999997,1028.8399999999997,951.5999999999999,896.2800000000001,853.2,824.24,809.28,804.44,806.8400000000001,884.9199999999998,964.3199999999999,1042.7199999999998,1119.9600000000005,1191.3999999999999,1181.08,1153.88,1114.6399999999996,1068.3999999999999,1013.4799999999998
6,1037.1599999999999,1092.0,1124.3600000000001,1142.0,1152.28,1159.1999999999998,1163.6399999999999,1166.7999999999997,1169.8799999999997,1170.9999999999998,1175.9999999999995,1181.2399999999998,1187.88,1190.1999999999998,1194.5599999999997,1195.9999999999998,1196.6,1193.4399999999996,1189.1599999999999,1179.8400000000004,1157.6000000000001,1123.3200000000002,1079.48,1034.96,1006.6400000000003,1015.28,1041.36,1081.8,1129.4399999999998,1165.8799999999999,1177.8,1184.0800000000002,1186.6,1186.04,1185.44,1185.88,1186.9999999999998,1189.7200000000003,1193.72,1195.9199999999998,1192.2000000000003,1189.48,1181.52,1170.9200000000005,1154.92,1136.8000000000002,1115.08,1093.12,1078.56,1075.6,1085.0,1102.2800000000002,1131.0,1160.52,1181.1599999999999,1192.7599999999998,1190.6799999999998,1175.64,1148.28,1118.36,1080.7600000000002,1050.12,1025.0800000000002,1006.6800000000001,993.2799999999999,987.0399999999997,977.2000000000003,960.5600000000001,937.6000000000001,881.64,769.9200000000001,602.4,434.11999999999995,269.03999999999996,138.28000000000003,66.91999999999999,55.64,50.56,46.12,40.4,35.760000000000005,32.99999999999999,32.16,30.68,30.519999999999996,30.32,30.27999999999999,27.479999999999997,26.36,25.08,23.480000000000004,21.119999999999997,20.319999999999993,20.159999999999997,162.8,312.4799999999999,527.7600000000001,784.4399999999999,1058.9199999999998,1170.4400000000003,1259.7199999999998,1274.4800000000002,1244.64,1201.3200000000002,1199.7600000000002,1245.96,1309.4,1202.7600000000002,1062.6399999999999,885.8800000000001,665.0,427.23999999999995,355.3599999999999,305.4,262.23999999999995,226.44,184.67999999999998,152.39999999999998,129.08,113.0,105.08,112.32000000000001,119.71999999999998,126.43999999999998,133.84,138.59999999999997,144.12,151.84000000000003,159.8,167.12000000000006,173.00000000000009,178.72000000000003,185.24,189.84000000000003,197.12,204.48000000000002,214.6,219.04,223.2,229.20000000000002,235.80000000000004,241.79999999999995,256.43999999999994,285.48,373.84000000000003,539.1199999999998,720.76,912.9200000000001,1091.0000000000002,1205.08,1239.92,1253.2,1248.36,1242.08,1226.96,1207.3999999999999,1181.8799999999999,1146.2400000000002,1099.88,1052.44,999.3199999999998,942.6000000000001,884.3600000000002,829.48,781.0799999999999,743.48,718.48,710.6399999999999,736.8400000000001,785.6799999999998,845.6800000000002
7,1187.04,1194.5199999999995,1195.6799999999998,1188.28,1174.6799999999998,1154.1200000000001,1130.8000000000002,1085.6399999999999,1042.6,1000.0,937.9200000000001,872.88,823.3599999999999,773.24,722.3599999999998,692.6399999999999,665.8,652.9999999999999,657.04,683.24,734.3199999999999,804.2800000000002,881.8000000000001,960.0400000000003,1032.52,1091.1999999999998,1137.7199999999998,1175.6799999999996,1214.2400000000002,1241.8000000000002,1265.8000000000002,1287.1200000000001,1306.04,1314.96,1323.7199999999998,1325.7600000000002,1322.6399999999996,1313.8,1299.2799999999995,1278.12,1252.72,1226.2,1197.0000000000005,1164.72,1134.8800000000003,1110.0800000000004,1120.12,1150.48,1196.3599999999997,1240.08,1281.6800000000003,1291.12,1280.8000000000002,1264.4000000000003,1255.4,1250.92,1243.7600000000002,1238.48,1219.1599999999999,1187.0800000000006,1147.1999999999998,1075.8,995.0799999999999,893.56,719.04,521.6800000000001,358.96000000000015,208.44,88.96000000000001,51.599999999999994,46.11999999999999,41.519999999999996,38.72,35.199999999999996,32.99999999999999,31.279999999999987,30.15999999999999,29.119999999999997,29.759999999999998,30.4,29.879999999999995,27.96,26.479999999999997,25.080000000000005,22.96,20.04,20.160000000000004,20.599999999999998,18.8,18.36,18.8,19.679999999999996,57.4,247.99999999999994,544.0,841.6399999999999,1139.1600000000003,1395.2000000000003,1493.92,1482.5199999999995,1469.0799999999995,1459.0399999999995,1455.6000000000006,1461.6399999999999,1467.3200000000002,1460.6399999999999,1424.88,1353.6799999999998,1203.36,1033.52,862.5200000000002,702.64,540.8399999999999,449.87999999999994,377.20000000000005,313.99999999999994,262.55999999999995,244.2,229.72000000000003,218.92000000000004,216.6,221.03999999999996,233.28,269.8,372.5200000000001,545.96,755.3199999999999,960.2399999999998,1144.1200000000001,1259.24,1297.1599999999999,1290.2799999999997,1280.3999999999999,1267.2799999999997,1258.96,1252.96,1251.8400000000001,1253.9200000000003,1260.92,1269.4400000000003,1280.7600000000002,1281.48,1268.84,1238.3999999999999,1194.5200000000004,1130.8400000000001,1056.6,981.44,915.4400000000002,855.5599999999998,809.16,780.4000000000001,765.6800000000001,754.4000000000001,750.32,758.4000000000001,784.2799999999999,815.84,865.6800000000001,932.5600000000001,990.56,1018.1999999999997,1024.7199999999998,998.1600000000001,936.3199999999998,819.8,709.0799999999998,603.1599999999999,515.7200000000001,445.0800000000001,428.92
8,423.96,449.76,480.1599999999999,515.3199999999999,556.92,605.52,666.6799999999998,755.7999999999998,886.6399999999999,1010.96,1119.96,1183.8800000000006,1177.0400000000002,1112.5200000000004,1038.7600000000002,963.48,899.12,877.0400000000001,874.44,887.3200000000002,917.0000000000001,958.2400000000001,1003.3599999999999,1056.08,1120.6399999999999,1175.36,1210.44,1222.7600000000002,1209.56,1126.52,1035.8399999999997,944.2000000000002,856.7199999999999,773.8400000000001,743.3599999999999,725.8399999999999,723.9200000000002,740.3199999999999,769.6,807.9600000000002,877.8399999999999,946.96,1031.9999999999998,1114.1599999999999,1191.3199999999997,1235.2800000000002,1275.48,1293.44,1308.7600000000002,1321.6,1329.6,1315.2799999999997,1294.0000000000005,1265.68,1232.6400000000003,1201.0,1194.3600000000001,1201.6,1220.56,1268.04,1318.7200000000003,1366.04,1401.2800000000002,1429.8799999999997,1429.6799999999998,1424.5600000000002,1415.0800000000002,1407.1200000000001,1394.8000000000004,1379.1999999999998,1351.8000000000002,1313.1600000000003,1062.2399999999998,813.4399999999998,567.3999999999999,331.36000000000007,103.32,88.55999999999999,76.03999999999999,66.47999999999999,59.72,59.87999999999999,59.199999999999996,56.67999999999999,54.32,52.31999999999998,48.43999999999999,43.399999999999984,39.47999999999999,35.75999999999999,33.800000000000004,34.239999999999995,214.88000000000005,426.48,652.5199999999998,877.5599999999997,1105.7200000000003,1155.32,1173.32,1176.5200000000004,1184.9999999999998,1189.56,1193.8400000000001,1200.6799999999998,1206.5599999999997,1207.5599999999997,1205.8000000000002,1203.84,1199.1999999999998,1191.9999999999998,1178.56,1160.5199999999998,1136.04,1095.52,1051.5200000000004,1006.3599999999999,969.2,938.1600000000001,955.5199999999999,981.52,1015.8000000000003,1048.0800000000002,1082.3600000000001,1083.1599999999999,1082.48,1081.4,1081.52,1080.84,1083.8000000000002,1087.44,1099.6399999999999,1111.24,1121.52,1135.92,1150.0800000000002,1154.88,1161.3200000000002,1170.08,1170.88,1175.0400000000002,1178.1999999999998,1178.6,1179.48,1182.2000000000003,1182.56,1184.2399999999998,1187.76,1187.6799999999998,1190.64,1190.7200000000003,1191.56,1189.0799999999997,1186.2399999999998,1182.44,1178.6399999999999,1174.08,1172.28,1171.8000000000002,1172.08,1174.2400000000002,1177.9200000000003,1180.8400000000001,1184.1200000000001,1185.5600000000002,1184.7199999999998,1183.4799999999996,1182.9199999999998,1182.36,1183.08,1185.1600000000003,1184.7599999999998
9,1040.3599999999997,1022.6000000000003,1005.7199999999999,986.8799999999999,962.3600000000002,928.8000000000002,890.72,847.2,800.96,758.64,724.9199999999998,705.9999999999999,701.0000000000001,716.04,743.04,776.0800000000002,810.6000000000001,837.6800000000003,846.64,843.6400000000001,834.6399999999999,819.9200000000001,808.2,809.04,835.4800000000001,868.9600000000002,927.7199999999999,996.2,1063.9199999999996,1112.0,1155.64,1177.4800000000002,1190.16,1197.56,1200.72,1200.7999999999997,1196.56,1188.9999999999995,1170.8799999999999,1154.1200000000001,1136.1599999999999,1123.3200000000002,1116.3600000000001,1133.96,1159.08,1192.7999999999997,1230.9600000000003,1270.2399999999998,1295.6399999999999,1316.72,1330.2,1336.8799999999999,1337.0,1334.0399999999995,1326.52,1318.3200000000002,1308.7999999999997,1295.9599999999998,1282.8000000000002,1270.9199999999998,1257.5200000000004,1241.96,1227.0000000000002,1209.68,1185.1200000000003,1154.8000000000002,1117.6,1055.9199999999998,992.8800000000003,925.8800000000002,856.8399999999999,751.1199999999999,603.2400000000001,448.2399999999999,304.68000000000006,169.6,81.88000000000001,65.39999999999998,56.959999999999994,48.75999999999999,43.239999999999995,38.55999999999999,34.519999999999996,34.83999999999999,34.35999999999999,34.75999999999999,34.63999999999999,33.23999999999999,30.759999999999984,31.03999999999998,29.679999999999986,29.839999999999982,40.24000000000001,112.72000000000003,248.44,429.16,634.7999999999998,854.4000000000001,1035.7599999999998,1151.5199999999998,1218.6799999999998,1248.7999999999997,1244.5200000000004,1201.8799999999997,1151.52,1154.1999999999998,1172.9999999999998,1204.7599999999995,1244.6399999999999,1286.1200000000001,1261.6800000000003,1214.3200000000002,1148.5599999999997,1045.1599999999999,916.84,774.32,628.32,483.44000000000005,363.8399999999999,285.11999999999995,260.03999999999996,325.1600000000001,470.91999999999996,660.1200000000001,851.8800000000001,1046.16,1174.9199999999996,1238.12,1278.5600000000004,1306.3999999999996,1311.2799999999997,1313.1199999999997,1316.3200000000002,1318.2000000000003,1321.4,1323.0,1324.4799999999998,1324.2399999999998,1326.36,1327.7999999999997,1329.2399999999998,1329.3600000000001,1327.6799999999998,1324.92,1323.8000000000004,1322.6800000000003,1324.1599999999999,1329.6799999999998,1333.8,1337.92,1341.08,1343.6799999999998,1341.1599999999999,1337.48,1331.08,1327.7199999999998,1323.44,1323.8799999999999,1325.2,1330.1599999999999,1331.0400000000002,1333.1599999999996,1336.2799999999997,1339.4399999999998,1342.5999999999997,1347.1599999999999,1350.3599999999994,1350.8400000000001,1349.7999999999997,1344.0000000000002,1327.4
10,1297.68,1255.44,1195.0000000000002,1114.6000000000001,1020.3199999999999,913.6800000000001,796.0400000000002,686.0,591.28,512.9599999999999,468.36,474.88,549.4,676.28,849.72,1015.7999999999997,1155.1199999999997,1228.2399999999998,1255.1200000000001,1240.4,1218.1999999999998,1196.1599999999999,1183.3200000000002,1172.6,1166.4399999999998,1165.7199999999998,1164.8799999999999,1165.8799999999999,1166.1599999999999,1162.6399999999999,1152.6,1136.04,1115.1999999999998,1095.76,1082.08,1081.1200000000001,1102.16,1131.7599999999998,1165.0000000000002,1197.96,1232.0799999999997,1251.96,1271.9199999999998,1289.8400000000001,1308.84,1322.6000000000004,1334.5200000000002,1337.64,1337.4,1327.16,1314.4399999999998,1302.48,1298.8400000000006,1300.6799999999998,1320.8399999999997,1344.36,1371.52,1395.3600000000001,1416.56,1424.3200000000002,1427.4399999999998,1424.8,1371.2000000000003,1302.7999999999995,1222.32,1134.3999999999999,1023.5599999999998,957.96,903.3200000000002,854.3999999999997,805.3600000000001,756.3999999999997,649.4399999999999,500.48,354.04,217.44,102.40000000000003,51.879999999999995,43.79999999999999,40.75999999999999,38.55999999999999,38.839999999999996,36.55999999999999,35.39999999999999,32.79999999999999,30.559999999999995,28.96,29.280000000000005,27.759999999999998,29.32,30.43999999999999,30.72,30.2,32.56,32.36,44.239999999999995,91.84000000000002,203.64,387.76,617.56,841.6400000000001,1032.0399999999997,1167.7200000000003,1226.7600000000002,1240.88,1252.1999999999998,1256.2799999999993,1251.3599999999997,1247.6000000000008,1245.6399999999996,1240.9999999999989,1241.6799999999994,1240.5999999999997,1242.1999999999998,1239.6,1230.5999999999997,1214.0400000000004,1183.6000000000006,1123.44,1017.6799999999998,876.0,715.0,542.8799999999999,390.91999999999985,291.64000000000004,230.68000000000004,197.71999999999997,190.44000000000008,190.9199999999999,183.20000000000005,177.60000000000002,170.32,162.51999999999998,155.08000000000004,150.12000000000003,144.8,138.64000000000004,131.36,121.27999999999999,105.44000000000004,87.56,65.52000000000001,40.63999999999999,18.279999999999987,6.399999999999987,-1.7600000000000104,-5.400000000000004,-2.7200000000000015,1.0800000000000005,2.000000000000001,3.359999999999992,4.239999999999995,-3.7199999999999944,-36.599999999999994,-87.52000000000001,-132.72,-174.71999999999997,-205.40000000000003,-209.51999999999998,-192.64,-181.88,-172.51999999999998,-164.07999999999998,-160.36,-157.76000000000002,-152.03999999999996,-148.55999999999997,-147.76,-143.56,-143.07999999999998,-143.64
