Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,71.32000000000001,71.60000000000001,71.80000000000001,72.12,72.44,72.60000000000001,72.76,73.08,73.36,73.64,73.96,74.28,74.32000000000001,74.48,74.48,74.52,74.60000000000001,74.64000000000001,74.44,74.16000000000001,73.52,70.6,67.03999999999999,62.84,58.040000000000006,53.000000000000014,50.00000000000001,47.599999999999994,45.96000000000001,45.480000000000004,45.84,46.92000000000001,48.800000000000004,51.52,55.0,59.08000000000001,63.64,68.44000000000001,73.11999999999999,77.16000000000001,80.76,83.83999999999999,86.52,88.76000000000002,91.12000000000002,93.60000000000001,97.4,100.96,104.43999999999998,107.28000000000002,109.44,109.76,109.59999999999998,108.80000000000001,107.56,105.84,103.72000000000001,101.08,97.96000000000002,94.36,90.4,85.72000000000001,80.56,75.44000000000001,70.08,63.559999999999995,54.56000000000001,42.99999999999999,32.239999999999995,22.479999999999997,14.8,10.799999999999997,10.52,10.199999999999998,9.919999999999998,9.52,9.2,8.879999999999999,8.479999999999999,8.28,8.319999999999999,8.16,8.079999999999998,8.12,8.16,7.959999999999999,7.92,7.84,7.72,7.6,7.56,7.319999999999999,7.159999999999999,7.039999999999999,6.959999999999999,6.879999999999999,6.84,6.5600000000000005,11.120000000000001,18.04,21.04,22.8,28.92,31.52,31.24,34.08,38.199999999999996,38.04,36.400000000000006,35.0,34.35999999999999,33.559999999999995,32.92,32.6,32.760000000000005,33.2,34.04,34.96,35.68,36.24,36.72,37.239999999999995,37.92,38.92000000000001,39.92,41.15999999999999,42.2,43.04,43.64,44.16,44.199999999999996,44.279999999999994,44.279999999999994,44.199999999999996,44.04,43.84,43.6,43.120000000000005,42.48,41.72,40.84,38.4,36.120000000000005,33.760000000000005,31.439999999999998,29.159999999999997,28.32,27.6,27.0,26.639999999999997,26.56,26.68,26.84,27.319999999999997,27.72,28.12,28.519999999999996,28.839999999999996,29.0,29.080000000000002,29.080000000000002,29.080000000000002,29.04,29.080000000000002,29.040000000000003,29.040000000000003,28.839999999999996,28.72,28.479999999999997,28.4,28.4
2,29.4,29.52,29.56,29.44,29.2,29.12,29.039999999999996,29.0,29.16,29.400000000000002,29.68,29.880000000000003,30.08,30.28,30.4,30.4,30.520000000000003,30.520000000000003,30.240000000000002,29.840000000000003,29.4,28.599999999999998,27.44,26.24,24.84,23.28,21.56,19.8,18.2,16.8,15.600000000000001,14.84,14.680000000000001,14.96,15.52,16.52,17.999999999999996,20.040000000000003,22.119999999999997,24.76,27.719999999999995,30.68,33.32,36.48,39.08,41.07999999999999,42.800000000000004,44.120000000000005,44.68,45.120000000000005,45.64,45.96000000000001,46.28,46.60000000000001,46.92,47.04,47.31999999999999,47.68000000000001,48.16,48.56,49.08,49.44,49.67999999999999,49.84,49.72,48.48,43.27999999999999,34.8,25.880000000000003,17.32,9.56,5.76,5.04,4.64,4.24,3.96,3.8000000000000007,3.7200000000000006,3.7199999999999998,3.7199999999999998,3.8,3.5199999999999996,3.4800000000000004,3.4000000000000004,3.2800000000000002,3.1200000000000006,3.1600000000000006,3.1600000000000006,3.12,3.0000000000000004,3.0000000000000004,3.0000000000000004,2.9200000000000004,2.9600000000000004,3.0000000000000004,2.9199999999999995,3.4400000000000004,4.56,6.72,9.320000000000002,11.719999999999999,13.080000000000002,14.120000000000001,14.200000000000001,13.960000000000003,13.920000000000002,14.360000000000003,14.440000000000001,14.4,14.24,14.08,14.040000000000001,13.799999999999999,13.439999999999998,13.079999999999998,12.72,12.199999999999998,12.000000000000004,11.719999999999999,11.44,11.240000000000002,11.000000000000002,10.640000000000002,10.280000000000001,10.080000000000002,9.920000000000002,9.840000000000003,9.680000000000001,9.680000000000001,9.680000000000001,9.640000000000002,9.559999999999999,9.72,9.84,9.92,10.04,10.24,10.440000000000003,10.679999999999998,10.88,11.12,11.359999999999998,11.399999999999999,11.48,11.599999999999998,11.52,11.4,11.36,11.319999999999999,11.280000000000001,11.32,11.44,11.68,11.92,12.12,12.32,12.439999999999998,12.559999999999999,12.639999999999999,12.719999999999997,12.919999999999998,13.2,13.2,13.36,13.48,13.399999999999999,13.44,13.639999999999999,13.639999999999999,13.639999999999999,13.719999999999999
3,13.599999999999998,13.639999999999997,13.719999999999999,13.759999999999998,13.84,13.759999999999998,13.799999999999999,13.759999999999998,13.759999999999998,13.759999999999998,13.719999999999999,13.679999999999998,13.639999999999999,13.64,13.6,13.639999999999999,13.559999999999999,13.52,13.559999999999999,13.639999999999999,13.64,13.639999999999999,13.52,13.44,13.2,13.08,13.04,13.040000000000001,12.84,12.600000000000001,12.28,11.879999999999999,11.68,11.559999999999997,11.599999999999998,11.76,12.04,12.319999999999999,12.559999999999999,12.759999999999998,12.919999999999998,12.959999999999997,12.999999999999995,12.959999999999999,12.879999999999995,12.719999999999997,12.679999999999998,12.559999999999997,12.519999999999996,12.679999999999996,12.919999999999996,12.879999999999997,12.799999999999997,12.679999999999998,12.52,12.2,12.0,11.799999999999999,11.56,11.2,10.840000000000002,10.320000000000002,9.68,8.96,8.039999999999997,6.96,6.119999999999998,5.359999999999999,4.719999999999999,4.08,3.48,2.9200000000000004,2.4799999999999995,2.08,1.96,1.96,1.96,1.96,1.88,1.8399999999999999,1.92,2.0,2.08,2.08,2.1599999999999997,2.1599999999999997,2.16,2.08,2.2400000000000007,2.2400000000000007,2.1600000000000006,2.16,2.16,2.1200000000000006,2.1200000000000006,2.2000000000000006,2.1600000000000006,3.1999999999999993,5.039999999999998,7.039999999999999,9.200000000000001,11.36,12.479999999999999,12.879999999999999,13.08,13.279999999999998,13.48,13.639999999999999,13.599999999999998,13.52,13.279999999999998,13.2,13.04,13.0,12.999999999999998,12.88,12.719999999999999,12.639999999999999,12.519999999999998,12.439999999999996,12.519999999999998,12.519999999999998,12.599999999999998,12.639999999999997,12.68,12.719999999999999,12.8,12.840000000000002,13.0,13.239999999999998,13.48,13.52,13.56,13.68,13.6,13.36,13.32,13.28,13.08,12.96,12.879999999999999,12.84,12.679999999999998,12.56,12.44,12.479999999999999,12.399999999999997,12.4,12.399999999999999,12.440000000000001,12.479999999999999,12.56,12.68,12.719999999999999,12.68,12.639999999999999,12.56,12.440000000000001,12.200000000000001,11.88,11.440000000000003,11.04,10.480000000000002,9.920000000000002,9.479999999999999,8.919999999999998,8.280000000000001,7.88,7.64,7.279999999999999,7.2
4,17.12,19.28,21.6,23.72,25.52,27.56,29.12,30.319999999999997,31.32,32.16,32.44,32.76,32.919999999999995,32.96,33.07999999999999,33.16,33.0,32.76,32.84,32.760000000000005,32.72,32.72,32.8,32.56,32.24,31.880000000000006,31.92,32.32,33.080000000000005,34.16,35.64,39.0,42.68,46.63999999999999,50.95999999999999,55.55999999999999,58.39999999999999,60.919999999999995,63.24,65.32,67.28,69.0,70.67999999999999,72.27999999999999,73.64,74.6,75.44,76.0,76.47999999999999,76.88,77.11999999999998,77.32,77.47999999999999,77.47999999999999,77.51999999999998,77.59999999999998,77.60000000000001,77.36,76.8,75.8,74.03999999999999,71.48,68.2,64.12,59.800000000000004,55.239999999999995,50.120000000000005,44.52,36.559999999999995,27.480000000000008,19.400000000000002,12.559999999999999,7.12,5.24,5.08,4.76,4.6,4.3999999999999995,4.12,3.8800000000000003,3.7600000000000002,3.6,3.44,3.36,3.1999999999999997,3.08,3.0,2.92,2.8,2.76,2.6400000000000006,2.5999999999999996,2.6000000000000005,2.5600000000000005,2.4800000000000004,2.4000000000000004,2.4000000000000004,2.3600000000000003,2.0799999999999996,8.040000000000001,20.360000000000003,38.76,56.04,75.24000000000001,89.28000000000002,97.32,98.88000000000002,101.36000000000001,102.07999999999998,101.60000000000001,100.68,99.83999999999999,99.08,98.44,97.32,96.24000000000001,94.96000000000001,93.6,91.88,90.52,88.88000000000001,87.16000000000001,85.28000000000002,83.20000000000002,81.08000000000001,79.11999999999999,77.36,75.64000000000001,73.96,71.92,69.84,67.64,65.75999999999999,64.16,63.03999999999999,61.99999999999999,61.31999999999999,60.519999999999996,60.0,59.6,59.12,58.47999999999999,57.99999999999999,57.51999999999999,57.31999999999999,57.35999999999999,58.0,58.83999999999999,59.64,60.03999999999999,60.32,60.11999999999999,59.760000000000005,59.56,59.52000000000001,59.47999999999999,59.64,59.59999999999999,59.15999999999999,58.679999999999986,58.239999999999995,57.639999999999986,57.35999999999999,57.079999999999984,56.83999999999999,56.51999999999999,55.68,54.52,53.28,51.800000000000004,50.120000000000005
5,59.64,59.59999999999999,59.15999999999999,58.679999999999986,58.239999999999995,57.639999999999986,57.35999999999999,57.079999999999984,56.83999999999999,56.51999999999999,55.68,54.52,53.28,51.800000000000004,50.120000000000005,48.480000000000004,46.52,44.44,42.16,39.760000000000005,37.24,34.879999999999995,33.2,32.16,31.76,32.48,34.48,37.04,41.08,46.39999999999999,52.15999999999999,57.79999999999999,63.879999999999995,69.0,73.44,77.52,81.32,84.56000000000002,87.71999999999998,90.63999999999999,93.67999999999999,96.6,99.16000000000003,101.4,103.23999999999998,104.68000000000002,105.84000000000002,106.64,107.2,107.75999999999998,108.28000000000002,108.55999999999997,108.75999999999998,108.60000000000001,107.71999999999998,105.28,102.39999999999999,98.88000000000001,95.12,91.72,89.43999999999998,87.43999999999998,85.55999999999999,83.56000000000002,80.71999999999998,77.15999999999998,72.16,65.52,56.8,45.44,33.68,23.680000000000003,15.799999999999997,10.8,9.320000000000002,8.959999999999999,8.44,7.999999999999999,7.5200000000000005,7.08,6.84,6.64,6.44,6.16,6.12,5.88,5.68,5.56,5.400000000000001,5.240000000000001,5.240000000000001,5.120000000000001,5.080000000000001,5.080000000000001,4.960000000000001,4.920000000000001,4.800000000000001,5.4799999999999995,11.16,23.12,33.599999999999994,46.040000000000006,59.56,68.36,70.92,74.52,76.2,75.92,75.24,74.56,74.15999999999998,73.91999999999999,73.55999999999999,73.16000000000001,72.48,71.71999999999998,70.72,67.75999999999999,64.19999999999999,60.279999999999994,55.83999999999999,50.83999999999999,47.36,41.839999999999996,36.16,30.6,25.16,19.88,17.080000000000002,14.879999999999997,13.160000000000002,11.919999999999998,11.08,10.399999999999999,10.0,9.559999999999999,9.4,9.2,9.120000000000001,9.0,8.959999999999999,8.92,8.92,8.84,8.72,8.760000000000002,8.84,8.8,8.84,9.040000000000001,9.120000000000003,9.120000000000001,9.28,9.56,9.559999999999999,9.679999999999998,9.8,9.959999999999999,9.959999999999999,9.999999999999998,10.08,10.08,10.04,10.120000000000001,10.319999999999999,10.56,11.040000000000001,11.839999999999998,12.680000000000001,13.6,14.64
6,64.76,59.91999999999999,54.72,49.32,43.559999999999995,36.32,28.4,21.280000000000005,15.44,10.800000000000002,8.879999999999999,8.559999999999999,8.4,7.92,7.6,7.239999999999999,7.039999999999999,6.799999999999999,6.679999999999999,6.639999999999999,6.559999999999999,6.519999999999999,6.479999999999999,6.4799999999999995,6.4399999999999995,6.3999999999999995,6.199999999999999,6.119999999999999,5.999999999999999,5.879999999999999,5.84,5.72,5.4399999999999995,5.28,9.0,17.880000000000003,27.200000000000003,34.559999999999995,43.24,49.400000000000006,50.4,50.96,53.2,54.08,53.480000000000004,52.879999999999995,52.440000000000005,52.199999999999996,52.12,51.96,51.559999999999995,50.8,49.92,48.599999999999994,47.12,45.56,44.04,42.2,40.36,38.400000000000006,36.48,34.599999999999994,32.76,30.88,28.88,26.8,25.0,23.64,22.840000000000003,22.68,22.919999999999998,23.080000000000002,23.200000000000003,23.04,22.8,22.439999999999994,22.12,21.799999999999997,21.440000000000005,21.12,20.96,20.84,20.840000000000003,21.159999999999997,21.759999999999998,22.6,23.76,25.000000000000004,26.400000000000002,27.76,28.720000000000002,29.480000000000004,29.92,30.120000000000005,30.12,30.48,31.040000000000003,31.919999999999998,33.12,34.559999999999995,35.919999999999995,37.239999999999995,38.8,40.239999999999995,41.599999999999994,42.879999999999995,44.03999999999999,45.12,45.919999999999995,46.48,47.120000000000005,47.760000000000005,48.03999999999999,48.400000000000006,48.64,48.599999999999994,48.239999999999995,48.2,47.959999999999994,47.84,47.8,47.879999999999995,47.8,47.879999999999995,47.879999999999995,47.99999999999999,48.12,48.16,47.99999999999999,47.71999999999999,46.839999999999996,45.599999999999994,43.96,41.879999999999995,39.2,36.08,32.559999999999995,29.16,26.039999999999996,23.560000000000002,22.08,21.68,22.279999999999998,23.639999999999997,25.680000000000007,28.119999999999997,30.72,33.24,35.879999999999995,39.8,43.279999999999994,46.67999999999999,49.84,52.68,54.08,55.76,57.44,59.2,61.519999999999996,63.959999999999994,66.35999999999999,68.67999999999999,70.75999999999999,72.08,73.0,73.67999999999999,74.08,74.16000000000001,74.08,73.68,73.39999999999999
7,11.56,12.8,14.12,15.520000000000001,17.0,18.52,19.88,20.959999999999997,21.56,21.800000000000004,21.479999999999997,21.12,20.72,20.4,20.240000000000002,20.4,20.72,21.32,22.119999999999997,22.76,23.520000000000003,23.96,24.119999999999997,23.759999999999998,22.92,21.36,19.439999999999998,16.919999999999998,14.64,12.68,11.24,10.319999999999999,10.239999999999998,10.4,11.280000000000001,12.88,15.8,19.68,24.199999999999996,29.119999999999997,34.2,38.52,41.96,44.96,48.36,51.4,54.56,58.35999999999999,62.4,65.48,68.28,70.91999999999999,72.68,74.03999999999999,75.0,75.84,76.24,76.56000000000002,76.56,76.52,76.08,75.52000000000001,74.88,73.92,72.2,69.80000000000001,63.879999999999995,56.400000000000006,46.88,35.24,24.240000000000006,16.759999999999998,10.76,7.319999999999999,6.8,6.4799999999999995,6.319999999999999,6.279999999999999,6.079999999999999,5.839999999999999,5.719999999999999,5.519999999999999,5.3999999999999995,5.279999999999999,5.16,5.08,4.96,4.84,4.8,4.8,4.68,4.72,4.72,4.72,4.4799999999999995,4.32,4.04,6.359999999999999,15.240000000000002,28.200000000000003,40.440000000000005,54.16,67.04,73.72,76.88,80.56,82.88,83.60000000000001,83.84,83.72,83.80000000000001,83.68,83.43999999999998,83.2,82.92,82.4,81.76,81.04,80.16000000000001,78.91999999999999,77.72,76.12,74.04,71.72000000000001,69.08,65.8,62.360000000000014,58.60000000000001,54.360000000000014,49.56,44.0,38.199999999999996,31.880000000000003,25.72,20.439999999999998,16.599999999999998,13.84,12.24,11.400000000000002,10.88,10.520000000000001,10.000000000000002,9.800000000000002,9.520000000000001,9.440000000000003,9.360000000000001,9.280000000000001,9.16,9.160000000000002,9.12,9.120000000000001,9.24,9.400000000000002,9.760000000000002,10.08,10.4,11.44,12.840000000000002,14.52,16.8,19.16,20.999999999999996,22.64,23.919999999999998,24.6,25.32,25.84,26.320000000000004,26.800000000000004,27.52,28.16
8,66.12,65.52,65.15999999999998,64.88,64.88,64.92,65.0,64.96,65.03999999999999,64.68,64.12,63.28,62.2,60.800000000000004,59.12,57.24,54.879999999999995,52.28000000000001,49.519999999999996,46.8,43.959999999999994,41.559999999999995,39.72,38.160000000000004,37.279999999999994,37.239999999999995,38.03999999999999,39.199999999999996,40.84,43.12,47.199999999999996,51.32000000000001,55.8,60.4,64.68,67.16,69.52,71.52,73.44,75.32000000000001,77.11999999999999,78.88,80.83999999999999,82.68,84.24,85.60000000000002,86.68000000000002,87.16000000000001,87.6,87.72,88.04,88.32,88.67999999999999,89.08,89.84000000000002,90.32000000000001,90.60000000000001,90.52,89.4,87.0,83.56,78.92,73.28,67.04,60.160000000000004,52.559999999999995,43.51999999999999,33.63999999999999,24.840000000000003,17.64,12.24,9.6,9.08,8.920000000000002,8.76,8.64,8.6,8.52,8.4,8.28,8.12,7.84,7.599999999999999,7.279999999999999,7.039999999999999,6.88,6.76,6.72,6.719999999999999,6.68,6.64,6.52,6.4799999999999995,6.319999999999999,7.279999999999999,15.320000000000002,28.400000000000002,45.68,62.28,79.20000000000002,89.56,95.4,97.32000000000002,99.68,100.92000000000002,101.44,100.88000000000001,99.60000000000001,98.36000000000001,96.96,95.87999999999998,95.67999999999999,95.91999999999999,96.63999999999999,97.15999999999998,97.51999999999998,97.64,97.44,97.08,96.67999999999999,96.12,95.32,94.60000000000001,93.75999999999999,92.96,92.24000000000001,91.48000000000002,90.48000000000002,89.16000000000001,87.48,85.40000000000002,83.12000000000002,80.80000000000001,78.36,75.96000000000001,73.52000000000001,70.88,68.0,65.24000000000001,62.31999999999999,59.35999999999999,56.72,54.36000000000001,52.16,50.64,50.0,50.599999999999994,52.24,54.879999999999995,57.599999999999994,60.31999999999999,62.36000000000001,63.84000000000001,64.84,65.76,66.56,67.2,67.80000000000001,68.28000000000002,68.88000000000001,69.68000000000002,70.76000000000002,72.0,73.2,74.36000000000001,75.4,76.28000000000002,76.84000000000002,77.44000000000001,77.72,77.72
9,75.35999999999999,75.12,75.03999999999999,74.96000000000002,74.84000000000002,74.56,74.60000000000001,74.56,74.36,74.24000000000001,74.12,73.76,73.16000000000001,72.44000000000001,71.32000000000001,69.48000000000002,67.16000000000001,64.48,61.599999999999994,58.67999999999999,55.959999999999994,53.52,51.47999999999999,49.919999999999995,49.08,49.31999999999999,50.64,52.76,55.599999999999994,58.84,62.480000000000004,66.44,70.39999999999999,74.0,77.64,80.84000000000002,83.44000000000001,85.84000000000003,88.0,89.80000000000001,91.28,92.35999999999999,93.12000000000003,94.0,94.60000000000001,95.08000000000001,95.40000000000002,95.56,95.64,95.8,96.04,96.20000000000002,96.6,96.72000000000001,96.75999999999999,96.88,97.55999999999997,98.11999999999998,98.56000000000003,98.68,97.84,95.79999999999998,92.75999999999999,88.44000000000001,83.35999999999999,78.0,71.36,62.92000000000001,52.24,39.99999999999999,28.880000000000003,19.919999999999998,13.520000000000003,10.840000000000002,10.600000000000001,10.360000000000001,10.0,9.760000000000002,9.480000000000002,9.32,9.04,8.839999999999998,8.679999999999998,8.56,8.479999999999999,8.36,8.319999999999999,8.28,8.2,8.12,8.120000000000001,7.92,7.84,7.76,7.56,7.279999999999999,10.44,18.280000000000005,32.480000000000004,45.03999999999999,60.800000000000004,73.84,82.56,85.0,88.80000000000001,89.4,89.03999999999999,88.16000000000001,87.16,86.44,85.83999999999999,85.76,85.75999999999999,85.92000000000002,86.24000000000002,86.68,87.12,87.52,87.96000000000001,88.32000000000001,88.52000000000001,88.52000000000002,88.52000000000001,88.44000000000003,88.28,88.12000000000002,88.0,87.8,87.43999999999998,87.24000000000001,86.92000000000002,86.44,85.91999999999999,85.4,84.6,83.64,82.64,81.72,80.68,79.64000000000001,78.72000000000001,77.83999999999999,76.96000000000001,76.03999999999999,75.32,74.52,73.56,72.56000000000002,71.84000000000002,70.96,70.32000000000001,69.96000000000002,70.00000000000001,70.04,70.4,71.0,71.76,72.44,73.27999999999999,74.12,74.96000000000001,75.80000000000001,76.56000000000002,77.32,77.92,78.4,78.8,79.08000000000001,79.24,79.52,79.64000000000001
10,84.03999999999999,84.07999999999998,84.16,84.03999999999999,83.92,83.83999999999999,83.64,83.47999999999999,83.28,83.28,83.43999999999998,83.72,83.96,84.43999999999998,84.6,84.88,84.92000000000002,84.83999999999999,82.48,79.39999999999999,75.32000000000001,70.72,65.64,62.52000000000001,60.32,59.20000000000001,59.20000000000001,60.6,63.12,66.32,70.28,74.4,78.56,82.36000000000001,86.03999999999999,89.03999999999999,91.92,94.04,96.04,97.32000000000001,98.72,99.92,101.2,102.51999999999998,104.15999999999998,105.91999999999999,107.99999999999999,110.44000000000001,112.84,115.2,117.03999999999999,118.36000000000001,118.92,119.04,118.44000000000001,116.80000000000001,114.12000000000003,111.24000000000001,107.84000000000002,104.32000000000002,101.15999999999998,98.23999999999998,94.92,90.79999999999997,86.19999999999997,81.43999999999998,76.12,70.12,58.44,45.8,34.080000000000005,23.6,14.480000000000002,12.440000000000001,12.16,11.88,11.600000000000001,11.440000000000001,11.24,11.2,11.04,10.760000000000002,10.400000000000002,10.120000000000001,9.76,9.52,9.4,9.32,9.12,9.040000000000001,8.84,8.76,8.6,8.6,8.56,8.559999999999999,8.28,7.999999999999999,14.6,27.52,44.48,63.71999999999999,83.28,97.64,105.12,109.36,112.0,114.35999999999999,114.64000000000001,115.52000000000001,115.0,113.08000000000001,110.60000000000001,108.04000000000002,105.76,104.44,104.19999999999999,104.24,104.44000000000001,104.0,103.04,102.32000000000001,102.24000000000001,102.64000000000001,103.47999999999999,104.36000000000001,104.88000000000002,105.08,105.00000000000001,104.88,104.72,104.44,104.16,103.92,103.47999999999999,102.96,102.24,101.16,99.72000000000001,97.75999999999999,95.75999999999999,93.4,90.88000000000001,88.28,85.96000000000001,83.44,81.23999999999998,79.36,78.12,77.47999999999999,77.44000000000001,78.0,79.44,81.28,83.44,85.88,88.39999999999998,90.56,92.28000000000002,93.64,94.67999999999999,95.24,95.44,95.36,94.92,94.44000000000001,93.96,93.60000000000001,93.36,93.24000000000001,93.24
