Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,5.640000000000002,5.719999999999999,6.28,5.920000000000001,6.119999999999999,6.2,6.159999999999998,6.04,6.199999999999999,6.119999999999999,6.039999999999999,6.3599999999999985,6.24,6.399999999999999,6.719999999999997,6.759999999999998,6.399999999999999,6.199999999999999,6.24,5.999999999999999,5.84,5.84,6.199999999999999,6.119999999999998,5.800000000000001,5.920000000000001,6.04,5.960000000000001,6.079999999999999,6.12,6.3599999999999985,6.04,5.52,5.359999999999999,5.0,4.92,5.24,5.68,5.68,5.679999999999999,5.399999999999999,5.359999999999999,5.319999999999999,5.2,5.719999999999999,6.719999999999999,6.559999999999999,6.439999999999998,6.839999999999998,6.879999999999999,6.000000000000001,6.080000000000001,6.240000000000003,5.840000000000003,5.9600000000000035,5.9600000000000035,6.080000000000004,6.240000000000004,6.760000000000003,6.280000000000002,7.200000000000001,7.719999999999998,7.48,7.359999999999999,7.199999999999999,5.96,3.2400000000000007,0.639999999999999,-3.3600000000000008,-6.88,-13.600000000000001,-18.439999999999998,-23.599999999999998,-27.679999999999996,-31.839999999999996,-33.160000000000004,-34.72,-35.56,-36.76,-37.959999999999994,-39.27999999999999,-40.27999999999999,-41.31999999999999,-42.31999999999998,-43.31999999999999,-43.44,-44.000000000000014,-44.12,-44.0,-44.120000000000005,-44.519999999999996,-44.84,-45.440000000000005,-45.8,-45.519999999999996,-45.47999999999999,-45.2,-44.19999999999999,-43.679999999999986,-42.919999999999995,-41.16,-39.28,-37.720000000000006,-35.16,-33.40000000000001,-31.600000000000005,-29.800000000000004,-27.96,-26.079999999999995,-24.32,-23.119999999999997,-22.16,-20.599999999999998,-19.72,-17.84,-16.400000000000002,-14.56,-13.680000000000001,-12.64,-11.84,-10.559999999999999,-9.920000000000002,-9.32,-8.600000000000001,-8.239999999999998,-8.399999999999999,-8.52,-8.2,-8.16,-8.2,-7.640000000000001,-7.08,-6.4399999999999995,-5.800000000000001,-5.24,-5.24,-5.04,-5.12,-5.28,-5.04,-4.4399999999999995,-4.16,-3.9600000000000004,-3.8,-3.72,-3.5999999999999996,-3.04,-2.4399999999999995,-2.4399999999999995,-1.839999999999999,-2.1599999999999993,-2.559999999999999,-3.400000000000001,-3.2399999999999998,-4.04,-3.7199999999999998,-3.6799999999999997,-3.24,-3.4,-3.0,-3.56,-3.68,-3.88,-3.4000000000000004,-3.44,-3.039999999999999,-2.96,-2.8,-2.920000000000001,-3.1999999999999997,-3.16
2,228.15999999999997,228.95999999999998,229.35999999999996,229.55999999999997,229.88,230.28000000000003,230.2000000000001,230.56000000000006,230.52000000000004,230.64,230.52,230.28000000000003,229.88,230.07999999999998,230.2,230.4,230.83999999999997,231.31999999999994,231.6799999999999,232.1199999999999,231.87999999999994,231.68,231.48000000000002,231.60000000000002,231.39999999999992,231.96000000000004,232.15999999999997,232.39999999999998,232.68,232.99999999999997,232.44,232.56,232.44000000000005,231.36,229.92000000000002,226.51999999999998,222.44,220.76,219.83999999999997,219.75999999999996,222.19999999999996,225.56,227.76000000000005,229.8,231.8,233.67999999999998,235.56,236.20000000000002,238.12,237.47999999999996,236.64,233.64000000000004,231.8400000000001,229.07999999999998,228.52000000000004,229.07999999999998,233.51999999999998,241.96000000000004,247.31999999999996,240.79999999999995,232.03999999999996,218.68000000000006,198.96000000000006,181.75999999999996,173.76000000000002,165.67999999999998,159.16,152.32000000000005,144.16,135.84000000000003,123.76000000000006,99.88000000000002,75.48,52.16,30.80000000000002,14.519999999999996,10.840000000000003,9.64,8.559999999999997,8.28,8.479999999999995,8.360000000000001,8.079999999999998,7.959999999999999,7.760000000000002,6.999999999999999,6.239999999999997,5.559999999999998,4.759999999999999,3.76,3.919999999999999,4.439999999999999,4.399999999999999,5.359999999999998,21.639999999999993,48.120000000000005,77.83999999999996,105.16,130.24000000000007,142.32,146.15999999999994,147.64000000000004,150.28000000000006,151.31999999999994,150.32,147.2,142.8,139.40000000000003,139.0,138.12000000000006,133.72000000000003,128.68,124.08000000000003,117.59999999999998,110.67999999999998,104.88000000000001,98.72000000000001,92.20000000000002,87.63999999999999,85.75999999999996,86.99999999999994,93.8,102.64000000000003,112.04000000000002,119.80000000000007,125.72000000000001,129.16,132.20000000000002,136.40000000000003,141.96,149.63999999999996,163.28000000000003,176.08000000000007,188.12,197.04,204.08,203.48,202.32000000000002,198.91999999999996,184.19999999999993,162.95999999999998,128.07999999999998,91.12,51.519999999999996,24.359999999999992,2.8000000000000016,-5.200000000000003,-11.480000000000002,-13.800000000000004,-16.040000000000003,-17.400000000000006,-18.360000000000003,-19.04,-19.440000000000005,-19.799999999999997,-19.799999999999997,-20.239999999999995,-20.639999999999997,-21.28,-21.479999999999997,-21.839999999999996,-20.28,-12.04,5.2799999999999985,72.32000000000002,130.39999999999992,182.48000000000008,231.68,276.68000000000006,274.08000000000004,280.6
3,237.2,236.92,236.87999999999997,237.11999999999992,236.83999999999997,236.31999999999996,236.47999999999996,236.64000000000004,237.39999999999998,237.92000000000002,238.84000000000003,239.48000000000002,240.16000000000003,239.88,240.39999999999998,240.12,239.83999999999995,237.87999999999997,235.84,232.08000000000004,228.40000000000003,224.20000000000005,219.75999999999996,216.48000000000002,215.55999999999997,215.03999999999996,214.88000000000005,216.4,217.07999999999998,216.28000000000003,214.3599999999999,210.48,206.3199999999999,202.24000000000004,198.44000000000005,196.24000000000007,196.59999999999994,197.84000000000003,199.92000000000007,202.88000000000005,206.24,209.55999999999995,212.52,215.87999999999988,218.8,220.95999999999998,222.91999999999996,225.48000000000002,227.71999999999997,230.71999999999997,234.48,238.36000000000007,242.64000000000001,245.96000000000004,248.60000000000002,249.32000000000005,248.44,246.35999999999996,245.76000000000005,246.88000000000005,247.95999999999998,249.11999999999995,248.2,240.96000000000004,227.95999999999995,215.15999999999997,201.32,184.92000000000007,149.32,116.67999999999998,85.79999999999998,57.28000000000003,33.84000000000001,34.519999999999996,36.23999999999999,37.32,37.39999999999999,36.96000000000001,36.920000000000016,36.16000000000001,34.40000000000002,33.03999999999999,31.560000000000002,29.479999999999997,27.920000000000005,27.320000000000007,27.04,26.959999999999994,27.200000000000006,27.080000000000005,26.88,26.959999999999994,26.759999999999994,26.559999999999988,27.0,28.639999999999993,78.84,141.92000000000002,198.35999999999987,240.72,275.4,260.7199999999999,234.44,219.84000000000003,222.56000000000017,232.5200000000001,243.08000000000013,251.96000000000012,255.08000000000007,254.08000000000013,251.47999999999993,248.84,246.68000000000006,245.23999999999995,244.20000000000005,243.8400000000001,243.64,243.24,241.32,238.43999999999994,234.31999999999994,228.07999999999993,213.48000000000008,199.92000000000002,188.68,179.2000000000001,175.71999999999997,184.88,198.12000000000006,210.7600000000001,222.67999999999998,230.48000000000008,234.44000000000005,234.60000000000002,233.83999999999997,233.03999999999996,232.16000000000003,230.35999999999996,229.11999999999998,227.28000000000003,225.4000000000001,223.36000000000007,221.76000000000002,220.27999999999992,219.75999999999996,220.51999999999998,222.12000000000006,224.15999999999994,226.16000000000003,228.07999999999998,229.80000000000004,230.88000000000002,231.60000000000002,232.04000000000008,232.28000000000003,232.20000000000005,232.32000000000008,232.4000000000001,232.2800000000001,232.2000000000001,232.15999999999997,231.60000000000008,231.48,231.79999999999995,232.08,231.71999999999997,232.12,232.51999999999998,232.68000000000006,232.99999999999997,233.59999999999997
4,232.68000000000006,232.99999999999997,233.59999999999997,234.48000000000002,235.24000000000004,236.20000000000002,237.28000000000003,238.43999999999994,239.08000000000004,239.4000000000001,239.11999999999995,239.04,238.35999999999996,237.95999999999998,237.52000000000007,237.08000000000004,236.12000000000006,235.56000000000003,234.64000000000004,233.95999999999998,233.08000000000004,232.12000000000003,230.79999999999998,229.08000000000004,226.88000000000002,223.95999999999998,220.64000000000004,216.59999999999997,212.56000000000006,209.28,206.64000000000007,205.64000000000004,207.0000000000001,209.52000000000004,211.88000000000002,215.80000000000013,218.84000000000003,220.52000000000004,221.48,223.07999999999998,224.31999999999996,227.27999999999994,231.48,235.84000000000003,239.55999999999995,242.39999999999998,243.0000000000001,242.52,241.32,240.84000000000003,241.32000000000005,242.6,244.04,246.03999999999996,246.36000000000007,246.84000000000003,247.72000000000003,251.9199999999999,257.79999999999995,263.67999999999995,266.15999999999997,266.6800000000001,261.9599999999999,252.4,240.6799999999999,226.71999999999997,206.31999999999994,178.32000000000008,147.48000000000008,115.68,85.43999999999996,62.72000000000002,48.44000000000001,40.759999999999984,37.87999999999999,38.11999999999998,38.40000000000002,39.879999999999995,40.20000000000001,38.92000000000001,37.680000000000014,36.239999999999995,34.36000000000001,32.96000000000001,32.28000000000001,31.800000000000004,31.080000000000005,30.48000000000001,30.20000000000001,30.16000000000001,30.079999999999995,30.560000000000002,33.56,39.92,81.48000000000002,121.39999999999996,156.08000000000004,187.91999999999996,215.48000000000013,208.28,202.2,201.72,199.27999999999997,195.92000000000002,191.64000000000004,187.8,183.72000000000008,181.11999999999992,180.15999999999997,177.72,174.76,171.60000000000002,168.1599999999999,164.4799999999999,161.68,159.15999999999997,156.8,155.07999999999998,154.36,154.15999999999994,154.15999999999997,153.95999999999992,155.20000000000005,155.72000000000003,157.04000000000002,158.47999999999996,159.92000000000002,160.32,160.32000000000002,159.51999999999998,158.44,157.36000000000004,156.2,154.92000000000002,154.16000000000003,153.68,153.04,152.71999999999997,152.76,153.0,153.56000000000003,154.28000000000003,154.48,155.40000000000003,155.64000000000004,155.76000000000005,156.04000000000002,156.56000000000006,156.80000000000007,157.24000000000007,157.68,157.96000000000004,158.44,158.56000000000003,159.76000000000005,161.40000000000003,163.12000000000006,164.72,166.56000000000003,167.56000000000003,167.92000000000002,167.84,168.12,168.40000000000003,168.8,169.28000000000003,169.59999999999997,170.07999999999993,171.19999999999993,172.1599999999999,173.68
5,179.83999999999997,180.16000000000003,180.27999999999992,179.75999999999993,179.55999999999995,179.79999999999995,180.24,181.27999999999992,182.39999999999998,183.15999999999997,183.63999999999996,184.15999999999997,184.39999999999998,184.35999999999996,183.79999999999995,182.32,179.36,175.2,170.88,167.03999999999996,163.44,160.16,156.9599999999999,154.07999999999998,150.71999999999997,147.91999999999996,146.19999999999993,145.99999999999994,146.51999999999992,147.83999999999997,151.35999999999996,154.71999999999994,158.0,161.16,164.8800000000001,167.4,169.15999999999997,169.32000000000005,164.76,159.04000000000002,151.76000000000008,144.00000000000003,136.92000000000002,133.48000000000002,130.68,128.71999999999997,127.52000000000001,126.32000000000002,124.87999999999997,122.27999999999999,120.04000000000002,117.56000000000002,114.84,112.48000000000005,109.64000000000004,105.16,100.07999999999998,95.64000000000001,91.51999999999998,83.56000000000003,77.08000000000001,71.96000000000001,68.07999999999997,66.08,69.75999999999999,72.23999999999998,73.11999999999998,72.08,67.63999999999999,62.360000000000014,56.60000000000001,49.68000000000001,38.959999999999994,27.159999999999968,15.480000000000008,7.000000000000012,1.119999999999994,-0.6000000000000024,0.9999999999999958,2.799999999999998,2.7999999999999985,3.6399999999999975,5.319999999999999,4.039999999999996,2.1599999999999975,0.9199999999999965,-1.0000000000000038,-2.720000000000003,-2.000000000000002,-0.44000000000000306,0.5999999999999975,1.5599999999999976,0.9999999999999988,0.43999999999999845,-0.3199999999999992,38.08,69.63999999999999,100.28000000000002,131.43999999999997,164.64000000000004,160.40000000000003,163.64000000000004,168.07999999999998,170.9600000000001,171.28000000000003,169.04000000000002,165.24,161.32000000000005,157.95999999999998,154.2,150.51999999999992,147.23999999999998,144.68,143.04000000000002,142.79999999999998,143.67999999999995,145.4,147.59999999999997,149.79999999999995,151.35999999999996,152.44,152.68,152.08000000000004,148.76000000000002,144.44000000000005,138.92000000000004,133.04000000000005,127.48000000000002,124.56000000000002,124.91999999999999,127.72000000000006,134.24000000000004,141.15999999999994,147.75999999999993,152.79999999999998,157.04,158.47999999999996,159.23999999999995,159.84000000000003,160.32,160.32,160.28000000000003,160.07999999999998,160.12,159.51999999999998,158.64000000000004,157.27999999999997,156.56000000000003,155.64000000000001,155.12,155.08000000000004,155.56,156.68000000000006,157.6,158.72000000000003,160.36000000000004,161.68000000000004,162.60000000000002,163.87999999999997,164.84,165.47999999999996,166.27999999999997,167.47999999999996,168.28,169.19999999999996,169.03999999999996,169.12,168.8,168.60000000000002,168.36000000000004,168.80000000000007
6,159.84000000000003,160.32,160.32,160.28000000000003,160.07999999999998,160.12,159.51999999999998,158.64000000000004,157.27999999999997,156.56000000000003,155.64000000000001,155.12,155.08000000000004,155.56,156.68000000000006,157.6,158.72000000000003,160.36000000000004,161.68000000000004,162.60000000000002,163.87999999999997,164.84,165.47999999999996,166.27999999999997,167.47999999999996,168.28,169.19999999999996,169.03999999999996,169.12,168.8,168.60000000000002,168.36000000000004,168.80000000000007,168.56000000000006,168.52000000000004,168.51999999999998,168.60000000000002,168.83999999999997,169.76,170.00000000000006,170.48000000000008,170.80000000000007,171.36000000000004,171.83999999999997,172.40000000000003,173.40000000000003,174.07999999999998,174.20000000000002,174.24,174.48000000000002,174.32000000000005,173.92000000000007,173.04000000000008,172.12,170.32,167.88,164.76,161.48000000000002,157.28000000000003,153.56,149.8,148.36,148.76,155.8,163.83999999999997,173.47999999999996,183.39999999999998,194.20000000000002,198.95999999999992,203.11999999999998,207.12,207.92,205.47999999999996,200.8,193.44000000000005,182.79999999999998,168.6,152.27999999999994,121.43999999999997,92.72,65.32000000000001,43.04000000000001,23.84,21.92000000000001,20.680000000000014,20.120000000000005,19.320000000000007,18.960000000000004,16.919999999999995,14.840000000000003,12.960000000000003,11.840000000000018,11.159999999999997,14.920000000000002,24.92,40.75999999999999,75.24,124.51999999999998,155.88,183.76000000000002,204.84000000000003,206.40000000000003,190.07999999999998,186.64000000000004,179.04000000000008,172.44,166.4,162.8,160.75999999999996,160.11999999999995,159.28000000000003,159.39999999999995,159.36,158.39999999999998,155.91999999999996,152.95999999999998,147.67999999999995,141.68,136.63999999999996,138.96000000000006,142.4,147.68000000000006,155.31999999999996,163.44000000000003,165.15999999999994,165.83999999999992,164.71999999999997,161.68000000000006,157.2,152.80000000000007,148.76000000000005,145.64000000000001,143.40000000000003,142.04000000000002,140.20000000000002,148.4,157.56000000000012,168.52000000000004,180.67999999999995,193.16000000000003,196.00000000000006,197.80000000000004,197.68,196.68000000000006,195.84000000000003,194.99999999999997,194.99999999999994,195.04000000000002,195.04000000000002,195.68,196.48000000000002,196.84000000000003,197.4000000000001,196.88000000000008,195.8400000000001,194.27999999999997,192.35999999999996,190.8,190.60000000000002,190.44,190.35999999999996,190.79999999999998,191.2,191.23999999999995,191.04,191.72000000000006,191.84000000000003,191.75999999999988,191.95999999999998,192.68000000000004,192.48000000000002
7,141.68,136.63999999999996,138.96000000000006,142.4,147.68000000000006,155.31999999999996,163.44000000000003,165.15999999999994,165.83999999999992,164.71999999999997,161.68000000000006,157.2,152.80000000000007,148.76000000000005,145.64000000000001,143.40000000000003,142.04000000000002,140.20000000000002,148.4,157.56000000000012,168.52000000000004,180.67999999999995,193.16000000000003,196.00000000000006,197.80000000000004,197.68,196.68000000000006,195.84000000000003,194.99999999999997,194.99999999999994,195.04000000000002,195.04000000000002,195.68,196.48000000000002,196.84000000000003,197.4000000000001,196.88000000000008,195.8400000000001,194.27999999999997,192.35999999999996,190.8,190.60000000000002,190.44,190.35999999999996,190.79999999999998,191.2,191.23999999999995,191.04,191.72000000000006,191.84000000000003,191.75999999999988,191.95999999999998,192.68000000000004,192.48000000000002,191.04,188.52000000000004,183.31999999999994,177.56,170.87999999999994,165.8,166.00000000000006,171.0,182.16,195.2,211.95999999999998,224.3599999999999,232.55999999999997,234.20000000000005,233.79999999999998,226.43999999999994,207.16,185.56000000000014,160.64000000000004,134.6,97.19999999999999,71.52000000000004,50.04000000000001,32.99999999999999,18.239999999999995,18.359999999999996,18.88,18.999999999999996,19.07999999999999,17.72,16.76,14.999999999999996,14.199999999999996,12.76,13.0,12.599999999999998,14.120000000000006,25.43999999999999,50.239999999999995,90.6,138.88,182.91999999999996,212.16000000000008,224.83999999999997,218.52000000000004,201.67999999999998,185.92000000000002,174.3199999999999,169.24000000000007,167.96000000000004,169.60000000000005,171.27999999999997,173.84000000000003,171.52000000000004,167.96,162.72000000000003,162.71999999999997,166.59999999999997,176.43999999999997,188.79999999999998,203.60000000000008,214.48000000000008,220.84000000000003,222.84000000000003,222.99999999999997,222.87999999999994,224.07999999999993,224.95999999999992,225.07999999999993,224.2,221.39999999999998,211.04,198.0,189.55999999999997,186.72000000000003,188.2,197.0399999999999,210.47999999999996,220.76000000000002,226.51999999999992,230.92,234.64000000000001,236.52000000000004,238.20000000000007,239.55999999999997,239.43999999999994,239.11999999999995,239.83999999999997,240.36,241.04000000000002,241.24,241.72000000000003,241.32000000000005,240.40000000000015,239.9600000000001,238.56000000000006,236.44000000000005,234.44000000000005,231.64,227.44,222.4,217.03999999999996,212.0,208.15999999999997,207.27999999999997,209.15999999999997,213.12,216.79999999999998,220.27999999999997,221.51999999999992,220.56,217.72000000000008,216.67999999999998,216.64,216.68000000000006,218.76000000000005,222.15999999999997
8,222.84000000000003,222.99999999999997,222.87999999999994,224.07999999999993,224.95999999999992,225.07999999999993,224.2,221.39999999999998,211.04,198.0,189.55999999999997,186.72000000000003,188.2,197.0399999999999,210.47999999999996,220.76000000000002,226.51999999999992,230.92,234.64000000000001,236.52000000000004,238.20000000000007,239.55999999999997,239.43999999999994,239.11999999999995,239.83999999999997,240.36,241.04000000000002,241.24,241.72000000000003,241.32000000000005,240.40000000000015,239.9600000000001,238.56000000000006,236.44000000000005,234.44000000000005,231.64,227.44,222.4,217.03999999999996,212.0,208.15999999999997,207.27999999999997,209.15999999999997,213.12,216.79999999999998,220.27999999999997,221.51999999999992,220.56,217.72000000000008,216.67999999999998,216.64,216.68000000000006,218.76000000000005,222.15999999999997,223.92000000000002,226.16000000000003,232.2,238.12000000000003,243.2399999999999,248.96,254.24,256.67999999999995,259.11999999999995,261.5999999999999,264.03999999999996,266.59999999999997,270.1600000000001,273.1199999999999,253.60000000000008,228.08000000000007,196.48000000000005,156.32,105.55999999999997,75.60000000000001,51.56000000000002,32.56,19.72,17.200000000000003,16.60000000000001,14.999999999999995,14.080000000000009,13.560000000000006,13.320000000000011,13.080000000000004,13.080000000000013,12.44000000000001,12.080000000000005,11.760000000000012,11.520000000000007,33.56000000000003,81.08000000000001,134.60000000000002,179.60000000000008,221.0799999999999,242.24,236.99999999999991,223.75999999999996,218.64000000000004,216.0,211.32000000000005,207.44,205.0,203.28000000000003,202.03999999999996,200.79999999999995,198.9600000000001,197.9600000000001,195.60000000000008,192.88,190.19999999999993,187.59999999999997,184.24000000000004,181.6,179.44,177.96000000000004,177.24000000000007,175.40000000000003,174.52000000000004,174.32000000000005,174.51999999999998,175.84000000000006,182.44000000000003,187.92000000000007,193.72000000000003,198.52000000000004,202.83999999999997,202.76,203.39999999999998,203.56,203.64000000000001,203.4,203.80000000000004,204.08,204.20000000000002,204.72,204.64000000000004,205.07999999999996,205.95999999999992,205.96000000000004,206.47999999999993,207.31999999999996,207.36,206.8,206.88000000000005,206.36,205.68,203.1200000000001,199.36,193.2400000000001,185.32000000000002,175.83999999999992,167.55999999999995,160.48000000000002,155.23999999999998,152.0,150.56000000000006,157.16000000000008,163.64,170.92000000000002,178.56,185.76,185.75999999999993,185.64,185.32,183.84000000000003,182.64000000000001,179.52000000000004,177.32000000000002,176.56,177.76000000000005,179.64000000000004
9,192.88,190.19999999999993,187.59999999999997,184.24000000000004,181.6,179.44,177.96000000000004,177.24000000000007,175.40000000000003,174.52000000000004,174.32000000000005,174.51999999999998,175.84000000000006,182.44000000000003,187.92000000000007,193.72000000000003,198.52000000000004,202.83999999999997,202.76,203.39999999999998,203.56,203.64000000000001,203.4,203.80000000000004,204.08,204.20000000000002,204.72,204.64000000000004,205.07999999999996,205.95999999999992,205.96000000000004,206.47999999999993,207.31999999999996,207.36,206.8,206.88000000000005,206.36,205.68,203.1200000000001,199.36,193.2400000000001,185.32000000000002,175.83999999999992,167.55999999999995,160.48000000000002,155.23999999999998,152.0,150.56000000000006,157.16000000000008,163.64,170.92000000000002,178.56,185.76,185.75999999999993,185.64,185.32,183.84000000000003,182.64000000000001,179.52000000000004,177.32000000000002,176.56,177.76000000000005,179.64000000000004,184.91999999999996,190.64000000000001,195.55999999999997,199.32,202.4399999999999,204.16000000000005,204.71999999999994,200.99999999999997,193.99999999999997,184.6,172.79999999999993,160.60000000000002,150.72000000000003,140.32,128.12,111.52000000000001,87.08000000000001,63.559999999999995,43.07999999999999,26.879999999999995,17.28000000000001,16.200000000000003,15.039999999999996,14.799999999999994,14.720000000000002,16.000000000000004,17.879999999999995,20.679999999999996,23.15999999999999,25.56,27.879999999999995,35.08000000000001,60.44,119.75999999999996,179.83999999999995,237.88000000000005,288.68,319.1600000000001,314.0799999999999,307.43999999999994,301.28,295.5599999999999,290.32000000000005,285.68000000000006,280.44000000000005,274.76000000000005,268.96,262.79999999999995,256.8399999999999,250.83999999999997,245.28,240.28000000000006,236.2,232.79999999999995,231.27999999999992,231.75999999999996,233.23999999999998,235.72000000000003,238.96000000000004,241.99999999999997,244.60000000000002,247.24000000000007,249.72,251.51999999999998,253.16000000000003,254.23999999999998,255.32,257.00000000000006,258.64000000000004,260.28,262.0,263.68,264.64,266.47999999999996,268.36,269.48,271.03999999999996,272.88,273.4000000000001,273.72,274.32,274.4000000000001,274.0400000000001,273.88,273.44,272.56,272.03999999999996,271.31999999999994,270.31999999999994,269.08000000000004,267.79999999999995,265.31999999999994,262.59999999999997,261.03999999999996,259.32,257.64,256.36,256.08000000000004,254.79999999999998,253.72,253.15999999999994,252.8,251.84000000000003,251.04000000000002,251.00000000000006,251.00000000000003,250.92000000000002,251.56000000000003
10,260.4,259.9600000000001,259.15999999999997,258.47999999999996,255.64,252.11999999999998,247.36,241.72000000000003,234.28000000000003,226.39999999999998,217.71999999999997,209.20000000000005,201.95999999999998,197.16,195.11999999999992,197.51999999999998,205.24,214.79999999999995,224.96000000000006,235.08,242.92000000000002,246.76,249.48000000000002,251.56000000000003,253.04000000000008,253.96000000000004,255.07999999999998,255.47999999999996,254.27999999999994,252.63999999999993,251.35999999999996,249.03999999999996,246.39999999999998,244.67999999999995,243.55999999999997,242.96000000000004,243.0,243.23999999999995,244.07999999999998,244.6,245.07999999999996,245.92000000000007,247.16000000000003,248.80000000000004,251.36000000000007,254.2,257.76,262.8399999999999,268.64,274.11999999999995,280.0000000000001,285.44000000000005,289.79999999999995,291.44,291.72,290.08000000000004,286.4800000000001,268.68000000000006,245.92000000000002,219.36000000000007,189.16000000000003,157.35999999999996,136.88,118.76000000000008,99.24000000000001,76.63999999999997,57.080000000000005,39.400000000000006,25.519999999999992,17.55999999999999,17.160000000000007,16.480000000000004,15.519999999999996,14.959999999999999,14.479999999999999,13.959999999999997,13.600000000000001,13.720000000000004,14.16,14.319999999999999,14.200000000000003,14.000000000000007,13.759999999999994,13.719999999999999,13.719999999999999,13.879999999999999,13.840000000000007,13.840000000000007,13.680000000000003,13.360000000000003,13.160000000000009,12.960000000000015,13.080000000000002,13.56000000000001,14.360000000000007,15.479999999999992,41.239999999999995,89.68000000000002,138.67999999999995,176.3200000000001,209.72000000000003,218.91999999999996,207.39999999999998,196.8,200.20000000000005,207.04000000000005,212.40000000000015,215.40000000000003,215.3199999999999,211.24000000000007,205.96000000000004,198.2,188.76000000000002,178.9999999999999,169.48,159.88,153.32,148.11999999999998,144.04000000000005,141.88,142.0,143.19999999999993,146.68,149.72000000000003,150.16,149.11999999999998,146.32,140.23999999999995,134.08,130.51999999999998,130.79999999999995,136.16,146.07999999999993,158.52000000000004,171.04000000000002,181.16000000000003,187.76,191.2,193.68,194.64000000000004,195.56000000000006,195.55999999999995,196.40000000000003,196.24,196.88,197.07999999999998,197.51999999999998,197.64,197.96000000000004,198.28,198.59999999999997,199.04000000000002,199.56,200.12000000000006,200.48000000000002,201.44000000000003,202.52,202.95999999999998,203.23999999999995,203.59999999999994,203.03999999999996,202.35999999999999,201.51999999999995,200.68000000000006,199.00000000000009,194.44000000000003,190.20000000000005,186.40000000000003,182.76,180.08000000000004,181.35999999999999
