Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,28.480000000000008,28.639999999999993,30.96,29.240000000000006,30.239999999999995,30.4,30.319999999999986,29.679999999999996,30.39999999999999,30.039999999999992,29.879999999999992,31.31999999999999,31.08,31.799999999999994,33.439999999999976,33.51999999999999,31.99999999999999,30.799999999999986,31.279999999999998,30.199999999999992,29.479999999999997,29.479999999999997,31.000000000000004,30.03999999999999,28.200000000000003,28.64,29.08,28.720000000000006,29.55999999999999,29.84,31.31999999999999,29.679999999999996,27.239999999999995,26.719999999999995,25.400000000000002,24.84,26.479999999999997,28.36,28.159999999999997,27.55999999999999,26.399999999999995,26.319999999999997,26.43999999999999,25.8,28.43999999999999,33.03999999999999,32.11999999999999,31.47999999999999,33.27999999999999,33.55999999999999,29.2,29.960000000000004,30.880000000000013,29.480000000000008,30.12000000000001,30.32000000000001,29.760000000000016,29.68000000000002,30.920000000000016,27.96000000000001,32.199999999999996,35.23999999999998,34.76,35.12,34.599999999999994,28.520000000000003,15.480000000000006,3.079999999999996,-16.320000000000004,-32.959999999999994,-64.60000000000001,-87.27999999999999,-111.6,-130.55999999999997,-150.07999999999998,-156.52,-163.83999999999997,-167.72000000000003,-173.51999999999998,-178.91999999999996,-184.95999999999992,-189.75999999999993,-194.63999999999993,-199.2399999999999,-204.03999999999996,-204.87999999999997,-207.40000000000006,-208.24,-207.60000000000002,-208.24,-209.64000000000001,-211.28000000000003,-214.28000000000003,-215.99999999999997,-214.84,-214.95999999999995,-213.6,-208.59999999999994,-205.95999999999992,-202.23999999999998,-193.51999999999995,-184.16000000000003,-176.44000000000003,-164.12000000000003,-155.60000000000002,-147.6,-139.60000000000002,-130.92,-122.35999999999997,-114.03999999999999,-108.04,-103.12,-95.80000000000001,-91.83999999999997,-83.07999999999998,-76.4,-67.72,-63.760000000000005,-58.480000000000004,-54.480000000000004,-48.11999999999999,-45.04,-42.239999999999995,-39.0,-37.47999999999999,-38.2,-39.04,-37.39999999999999,-37.120000000000005,-37.199999999999996,-34.879999999999995,-31.96,-28.879999999999995,-26.000000000000004,-23.280000000000005,-22.880000000000003,-21.88,-22.04,-22.56,-21.48,-18.88,-17.520000000000003,-16.72,-15.799999999999999,-15.440000000000001,-14.999999999999998,-12.48,-9.679999999999996,-9.679999999999996,-6.6799999999999935,-7.9199999999999955,-9.719999999999995,-13.400000000000006,-12.879999999999999,-16.68,-14.839999999999996,-14.559999999999997,-12.680000000000001,-13.200000000000001,-11.399999999999995,-14.519999999999998,-14.959999999999997,-15.759999999999998,-13.399999999999999,-13.48,-11.479999999999995,-11.319999999999997,-10.799999999999997,-11.440000000000005,-12.8,-12.52
2,1061.7199999999998,1065.72,1067.32,1067.72,1069.1599999999999,1070.96,1070.4000000000005,1072.1200000000001,1072.44,1073.08,1072.8400000000001,1071.76,1069.96,1070.56,1071.1999999999998,1072.0,1073.88,1076.4399999999996,1078.5599999999995,1080.6399999999994,1079.5599999999997,1078.96,1077.76,1078.2,1077.1999999999998,1079.5200000000002,1079.9199999999998,1080.8,1082.1600000000003,1083.1999999999998,1080.88,1081.72,1081.6800000000003,1076.52,1070.24,1054.04,1034.68,1026.3199999999997,1021.2799999999999,1020.3199999999997,1031.1999999999998,1046.32,1056.1200000000003,1065.4,1074.2,1082.7599999999998,1091.7199999999998,1094.8000000000002,1104.04,1101.7599999999998,1098.48,1085.4800000000002,1078.0800000000004,1066.36,1064.44,1067.56,1088.6399999999999,1128.1200000000003,1153.4399999999998,1124.9999999999998,1086.08,1025.7600000000002,936.3200000000003,858.9199999999998,823.12,787.56,759.1199999999999,729.0400000000002,692.52,655.08,597.9200000000003,483.36,365.15999999999997,251.32000000000002,146.8000000000001,68.03999999999999,50.28000000000002,45.080000000000005,40.719999999999985,39.96,41.35999999999997,40.920000000000016,39.75999999999999,39.120000000000005,38.120000000000005,34.199999999999996,30.679999999999986,27.31999999999999,23.91999999999999,19.320000000000004,20.24,22.679999999999996,22.799999999999997,27.11999999999999,103.07999999999996,228.24000000000004,368.4799999999998,497.52,615.8800000000003,673.4399999999999,691.3199999999997,699.0800000000002,712.1600000000003,718.0399999999998,715.24,701.9999999999999,682.4000000000001,667.4000000000003,666.6000000000001,662.8400000000005,642.8400000000003,619.1600000000001,597.3600000000002,566.8,534.56,507.56,479.03999999999996,449.6,429.87999999999994,422.3199999999998,428.7999999999997,461.4,502.8800000000001,546.48,582.4000000000004,610.04,625.3199999999999,638.6000000000003,656.8000000000003,681.72,716.4799999999998,779.1600000000002,837.5600000000004,892.44,931.6800000000001,962.1600000000001,957.7599999999998,950.8400000000001,933.04,863.1999999999998,761.1199999999999,597.56,425.04,240.84,114.31999999999996,16.400000000000006,-21.00000000000001,-50.56,-61.60000000000001,-71.68000000000002,-78.20000000000002,-82.72000000000001,-85.68,-87.68,-89.4,-89.6,-91.67999999999998,-94.07999999999998,-96.96000000000001,-97.96,-99.67999999999998,-92.55999999999999,-55.47999999999999,21.35999999999999,331.2400000000001,601.7999999999996,842.9600000000003,1071.96,1283.1600000000003,1270.3600000000001,1298.2
3,1079.1999999999998,1077.84,1077.5599999999997,1078.4399999999996,1077.4799999999998,1075.04,1076.1599999999999,1076.8800000000003,1080.1999999999998,1082.44,1086.88,1089.56,1092.72,1091.56,1093.7999999999997,1092.44,1091.0799999999997,1082.1599999999999,1073.28,1056.16,1039.4,1020.2000000000002,999.7199999999998,984.56,980.5199999999999,977.88,977.1600000000002,984.0,986.9599999999999,983.16,974.3199999999996,956.3599999999999,937.4399999999994,918.2800000000001,900.2800000000001,889.8800000000001,890.9999999999998,896.0800000000003,905.2400000000004,918.9600000000003,934.48,949.9199999999997,963.44,979.1599999999994,992.5999999999999,1002.3199999999999,1011.4399999999996,1023.3600000000001,1033.8399999999997,1047.6399999999999,1064.76,1082.3200000000002,1102.08,1117.1200000000001,1129.2,1133.2400000000002,1130.88,1122.7199999999998,1121.7200000000003,1128.5600000000002,1134.72,1140.8399999999997,1138.1999999999998,1106.3200000000002,1047.9199999999996,990.52,928.04,852.8400000000003,688.6399999999999,538.3599999999999,396.79999999999995,265.9600000000001,158.88000000000005,163.44,172.47999999999996,177.84000000000003,178.8,176.92000000000002,176.84000000000006,173.5200000000001,165.60000000000014,159.07999999999998,152.12,142.35999999999999,135.04000000000002,132.24,130.88,130.51999999999998,131.60000000000005,130.96000000000004,129.96,130.32,129.32,128.31999999999994,130.6,138.27999999999994,364.68,649.8400000000001,906.1199999999993,1098.6399999999999,1256.1999999999996,1191.2399999999998,1073.28,1006.88,1018.3200000000008,1062.4400000000003,1109.5600000000006,1148.9200000000005,1162.1600000000003,1157.9600000000005,1146.7599999999998,1135.48,1126.3600000000001,1120.6799999999998,1116.0000000000005,1114.2800000000004,1113.48,1111.6800000000003,1103.24,1090.2799999999997,1072.2399999999998,1043.9599999999998,978.5600000000004,917.2400000000002,866.3600000000001,822.8000000000005,807.2399999999998,848.3599999999999,908.8400000000004,966.5200000000004,1021.1599999999999,1056.5600000000004,1074.8800000000003,1075.6000000000004,1072.28,1068.8799999999999,1064.92,1056.9199999999998,1051.4399999999998,1043.16,1034.6000000000004,1025.7200000000003,1018.52,1011.7599999999996,1009.1199999999998,1012.64,1019.6400000000003,1028.9199999999998,1037.92,1046.9599999999998,1054.4,1059.5600000000002,1062.6000000000001,1064.4800000000002,1065.1599999999999,1064.8000000000002,1065.0400000000004,1065.2000000000003,1064.5600000000004,1064.2000000000005,1064.12,1061.2000000000003,1060.56,1062.1999999999998,1063.5600000000002,1061.8399999999997,1063.8400000000001,1065.4399999999998,1065.9600000000005,1067.1999999999998,1069.7999999999997
4,1065.9600000000005,1067.1999999999998,1069.7999999999997,1073.5600000000002,1077.0800000000004,1080.8000000000002,1085.5600000000002,1090.4799999999998,1093.3600000000001,1094.6000000000004,1093.2399999999998,1092.68,1089.5199999999998,1087.52,1085.4400000000005,1083.7600000000002,1079.2400000000005,1076.7200000000003,1072.4800000000005,1069.52,1065.3600000000001,1061.2400000000002,1055.2,1047.5600000000004,1037.7600000000002,1024.72,1009.8800000000003,991.7999999999997,973.5200000000001,958.7600000000001,946.8800000000003,942.2800000000004,948.4000000000005,960.0400000000003,970.3600000000001,987.8000000000006,1001.2800000000002,1008.6400000000002,1012.5599999999997,1019.56,1024.6399999999999,1038.1599999999999,1057.96,1078.0800000000002,1095.5199999999998,1109.0,1111.8000000000006,1109.2400000000002,1104.04,1101.88,1104.6400000000003,1110.3999999999999,1116.8799999999999,1125.0799999999997,1124.9200000000005,1125.2800000000002,1128.04,1145.6399999999994,1171.6,1198.3599999999997,1209.9199999999998,1213.1600000000005,1192.5199999999995,1150.0,1097.9599999999994,1035.6399999999999,942.4399999999998,814.6400000000002,676.5600000000004,532.76,395.07999999999976,292.6400000000001,228.88000000000002,192.51999999999992,179.15999999999994,180.83999999999992,182.60000000000008,189.95999999999998,191.60000000000005,186.04000000000002,180.76000000000008,174.28,165.72000000000006,159.32000000000005,156.16000000000003,153.60000000000002,150.36000000000004,147.36000000000007,146.20000000000005,146.32000000000005,146.15999999999997,148.52,162.51999999999998,190.03999999999996,382.7600000000001,568.1999999999997,728.9600000000002,876.8399999999999,1006.5600000000005,972.96,944.5999999999999,942.84,931.7599999999999,916.4399999999998,897.2800000000002,880.2,861.4400000000005,849.8399999999997,846.1199999999999,835.6399999999999,822.5200000000001,808.8000000000001,793.7199999999996,777.3599999999996,764.76,753.3199999999999,742.2000000000002,734.56,731.3200000000002,730.3199999999998,730.3199999999998,729.7199999999997,735.4000000000001,738.2400000000001,744.2800000000002,751.1599999999999,757.8399999999999,759.44,759.2400000000002,755.64,750.48,745.32,739.8000000000001,733.4400000000002,729.5200000000001,726.76,723.68,722.04,721.9199999999998,723.0,725.9200000000001,729.1600000000001,730.1600000000001,734.4000000000002,735.4800000000002,735.7200000000003,737.08,739.7200000000003,741.2000000000004,743.2800000000003,745.5600000000001,746.7200000000003,749.08,749.5200000000002,755.5200000000002,763.8000000000002,772.6400000000003,780.2399999999998,789.3200000000002,794.1200000000001,795.84,795.4799999999999,797.04,798.4000000000001,800.4,802.7600000000002,803.9999999999998,806.1599999999999,811.5999999999998,815.9199999999994,822.5600000000001
5,850.8799999999999,852.5200000000001,853.1599999999996,850.7199999999997,850.1199999999999,850.9999999999998,853.0799999999999,857.9599999999996,863.1999999999998,866.52,868.6799999999998,870.9199999999998,871.7999999999997,871.9199999999998,869.5999999999998,862.8399999999999,849.32,830.4,810.3599999999999,792.4799999999998,775.8799999999999,760.52,745.3199999999994,731.56,715.8399999999999,702.6399999999996,693.7999999999997,691.7999999999997,693.2399999999997,698.4799999999999,714.3199999999999,730.2399999999997,746.0,761.32,778.7600000000006,789.8,797.5199999999999,797.6400000000003,775.9200000000002,748.8800000000001,715.3200000000004,679.0000000000002,646.2400000000001,629.9600000000002,616.76,607.4399999999999,601.8400000000001,595.6400000000001,588.7599999999999,576.56,565.6800000000001,553.7200000000001,540.68,528.7600000000002,514.8800000000002,493.12,468.5599999999999,447.08,427.24,389.7200000000001,359.7600000000001,336.12,317.9599999999998,308.56,325.1199999999999,336.0799999999999,339.6399999999999,334.36,312.8799999999999,286.9200000000001,258.4000000000001,224.36,173.92,119.71999999999986,66.76000000000003,28.80000000000006,2.8399999999999728,-4.200000000000016,3.59999999999998,12.199999999999989,12.399999999999991,16.679999999999986,24.439999999999994,18.67999999999998,10.319999999999984,4.839999999999978,-3.60000000000002,-11.240000000000016,-7.800000000000014,-0.6800000000000163,4.399999999999982,8.919999999999984,6.1999999999999895,3.6799999999999873,0.7600000000000029,188.15999999999997,342.4799999999999,492.36000000000007,645.2799999999999,807.0800000000002,786.0000000000001,800.8800000000002,821.5599999999998,834.1200000000005,834.5600000000002,823.0799999999999,804.0799999999998,784.4400000000002,766.92,747.8,729.2399999999998,712.6800000000001,699.5600000000002,691.8800000000002,691.0,695.7599999999998,705.0,716.7999999999998,727.9999999999998,735.9199999999998,741.2800000000001,742.76,739.9600000000002,724.5200000000002,704.6800000000003,679.2400000000002,651.6800000000003,625.76,612.32,614.2399999999999,627.2400000000004,657.8800000000003,690.5199999999998,721.3199999999997,744.8,764.68,771.5599999999997,775.2799999999997,778.08,780.6399999999999,780.64,780.5600000000002,779.5600000000002,779.8400000000001,776.6400000000001,772.4800000000002,765.7599999999996,762.3200000000002,758.08,755.6399999999999,755.5600000000002,757.72,762.9600000000002,767.1999999999999,773.0400000000001,780.7200000000003,787.1600000000002,791.8000000000002,797.9599999999998,802.08,804.9599999999998,808.76,814.1599999999999,817.96,821.9999999999998,821.2799999999999,821.64,820.0000000000001,818.8000000000003,817.7200000000003,819.8000000000004
6,778.08,780.6399999999999,780.64,780.5600000000002,779.5600000000002,779.8400000000001,776.6400000000001,772.4800000000002,765.7599999999996,762.3200000000002,758.08,755.6399999999999,755.5600000000002,757.72,762.9600000000002,767.1999999999999,773.0400000000001,780.7200000000003,787.1600000000002,791.8000000000002,797.9599999999998,802.08,804.9599999999998,808.76,814.1599999999999,817.96,821.9999999999998,821.2799999999999,821.64,820.0000000000001,818.8000000000003,817.7200000000003,819.8000000000004,818.7200000000004,818.2400000000001,818.4399999999998,819.0000000000001,820.28,824.3199999999999,825.6000000000004,827.5600000000004,829.0000000000002,831.5200000000003,833.8799999999999,836.6000000000001,841.8000000000002,844.96,845.6,845.68,846.76,845.4400000000002,843.4400000000004,839.0800000000004,834.64,825.84,814.16,799.1200000000001,783.5600000000001,763.5600000000002,745.9200000000001,728.0,721.12,723.1199999999999,757.0000000000002,796.0799999999997,842.7599999999999,890.1999999999998,941.1999999999999,962.9199999999995,981.4399999999998,996.6399999999999,996.24,979.5599999999998,952.4000000000001,911.0800000000003,856.1999999999999,786.0,706.7599999999998,562.4799999999998,429.6399999999999,303.64000000000004,201.68000000000006,114.28,105.44000000000003,99.56000000000006,97.24000000000001,93.64000000000006,92.32000000000002,82.83999999999996,73.28000000000003,64.52000000000001,59.48000000000009,55.71999999999999,71.64000000000001,115.03999999999999,186.92,342.88,568.0399999999998,713.1600000000001,843.7200000000001,941.4800000000001,950.6000000000001,877.3599999999999,862.0800000000002,827.4800000000005,797.48,770.2,753.8,744.52,741.6399999999998,737.3600000000001,737.5999999999998,737.52,732.8,721.6399999999998,708.7199999999999,685.1599999999997,657.96,635.2799999999999,646.3200000000004,662.2,686.3600000000004,721.4399999999997,759.08,767.1199999999997,770.0799999999996,764.6399999999999,750.3600000000004,729.1999999999999,708.4000000000004,689.9200000000002,675.2800000000001,664.6000000000001,658.2800000000002,649.8000000000001,687.2,729.7200000000005,780.2400000000002,835.9599999999997,892.9200000000001,905.4000000000003,913.2000000000002,912.3599999999999,907.5600000000003,903.6800000000002,899.7999999999998,899.5999999999997,899.6800000000001,899.6800000000001,902.76,906.5600000000002,908.6800000000001,911.6000000000004,909.7600000000003,905.0800000000003,897.9599999999999,889.1199999999999,881.8000000000001,880.4000000000002,879.4799999999999,879.3199999999997,881.2,883.1999999999998,883.4799999999999,882.8800000000001,886.0400000000003,886.4800000000001,885.9199999999994,886.9199999999998,889.9600000000002,888.9600000000002
7,657.96,635.2799999999999,646.3200000000004,662.2,686.3600000000004,721.4399999999997,759.08,767.1199999999997,770.0799999999996,764.6399999999999,750.3600000000004,729.1999999999999,708.4000000000004,689.9200000000002,675.2800000000001,664.6000000000001,658.2800000000002,649.8000000000001,687.2,729.7200000000005,780.2400000000002,835.9599999999997,892.9200000000001,905.4000000000003,913.2000000000002,912.3599999999999,907.5600000000003,903.6800000000002,899.7999999999998,899.5999999999997,899.6800000000001,899.6800000000001,902.76,906.5600000000002,908.6800000000001,911.6000000000004,909.7600000000003,905.0800000000003,897.9599999999999,889.1199999999999,881.8000000000001,880.4000000000002,879.4799999999999,879.3199999999997,881.2,883.1999999999998,883.4799999999999,882.8800000000001,886.0400000000003,886.4800000000001,885.9199999999994,886.9199999999998,889.9600000000002,888.9600000000002,882.28,870.84,846.8399999999997,820.3199999999999,789.3599999999998,765.4,765.8000000000002,788.6,839.72,899.3999999999999,976.1199999999999,1032.5199999999995,1069.52,1076.2000000000003,1074.1999999999998,1040.8799999999999,952.12,852.3200000000006,737.0800000000003,616.3999999999999,444.7999999999999,327.64000000000016,230.28000000000006,153.59999999999997,87.27999999999997,88.11999999999998,90.76,91.19999999999999,91.75999999999998,85.63999999999999,81.32000000000002,73.39999999999999,69.99999999999999,63.32,64.4,62.4,69.84000000000003,120.27999999999996,233.67999999999995,418.40000000000003,639.96,841.6399999999998,977.3200000000003,1036.2799999999997,1008.4400000000002,931.9599999999999,860.44,808.0399999999995,785.2800000000002,779.32,787.0000000000002,794.36,805.8800000000003,794.4400000000002,777.9199999999998,752.8400000000001,752.0399999999997,768.9999999999998,813.8799999999999,870.0,938.2000000000003,988.5600000000003,1018.4800000000001,1028.0800000000002,1029.6,1029.5599999999997,1035.9599999999996,1040.7199999999998,1042.1599999999996,1038.8,1026.8,979.68,920.2,881.1199999999999,867.8400000000001,874.1999999999999,914.0799999999996,975.1599999999999,1022.12,1048.4399999999996,1068.2399999999998,1085.0800000000002,1093.0400000000002,1100.6000000000004,1106.52,1106.08,1104.6399999999996,1107.8799999999999,1110.32,1113.28,1113.88,1115.8400000000001,1114.2400000000002,1110.0000000000007,1107.9200000000003,1101.3200000000002,1091.6800000000003,1082.2800000000002,1069.68,1050.88,1028.2,1003.8799999999998,981.3999999999999,963.9199999999998,959.76,968.1199999999999,986.0399999999998,1002.3999999999999,1017.9599999999997,1023.6399999999996,1019.3199999999999,1006.2400000000005,1001.5599999999998,1001.4799999999999,1001.3600000000002,1010.7200000000003,1026.3199999999997
8,1028.0800000000002,1029.6,1029.5599999999997,1035.9599999999996,1040.7199999999998,1042.1599999999996,1038.8,1026.8,979.68,920.2,881.1199999999999,867.8400000000001,874.1999999999999,914.0799999999996,975.1599999999999,1022.12,1048.4399999999996,1068.2399999999998,1085.0800000000002,1093.0400000000002,1100.6000000000004,1106.52,1106.08,1104.6399999999996,1107.8799999999999,1110.32,1113.28,1113.88,1115.8400000000001,1114.2400000000002,1110.0000000000007,1107.9200000000003,1101.3200000000002,1091.6800000000003,1082.2800000000002,1069.68,1050.88,1028.2,1003.8799999999998,981.3999999999999,963.9199999999998,959.76,968.1199999999999,986.0399999999998,1002.3999999999999,1017.9599999999997,1023.6399999999996,1019.3199999999999,1006.2400000000005,1001.5599999999998,1001.4799999999999,1001.3600000000002,1010.7200000000003,1026.3199999999997,1034.44,1044.5200000000002,1072.1999999999998,1099.44,1122.6799999999996,1148.5199999999998,1172.48,1183.3599999999997,1193.8399999999997,1204.7999999999995,1215.8799999999997,1227.1999999999998,1243.5200000000002,1257.0399999999995,1167.4,1049.7600000000002,904.3600000000002,719.2399999999999,485.31999999999994,347.20000000000005,236.3200000000001,148.92000000000004,90.03999999999998,79.00000000000001,76.20000000000002,68.99999999999999,64.96000000000004,62.32000000000002,61.04000000000005,60.36000000000001,60.56000000000006,57.88000000000006,56.56000000000002,55.52000000000007,54.44000000000003,156.5200000000001,375.36,622.0000000000002,829.6000000000004,1020.7599999999993,1117.68,1093.3999999999996,1032.7199999999998,1009.0800000000002,997.0,975.84,958.48,947.4000000000001,939.7600000000002,934.4799999999999,928.9999999999997,920.7200000000005,915.9200000000004,904.4000000000004,891.36,878.5999999999997,865.9999999999998,850.2800000000001,838.2,828.0799999999999,820.9200000000003,817.4800000000002,808.8000000000002,804.4400000000003,803.4400000000003,804.4399999999999,810.4800000000004,840.8800000000001,866.2400000000004,892.8399999999999,914.8400000000001,934.8800000000001,934.7199999999998,937.5999999999998,938.72,939.48,938.6,940.8000000000002,942.76,943.8,946.4399999999999,945.8800000000001,947.9599999999998,952.1199999999997,951.5200000000001,954.1599999999997,958.4399999999998,958.52,955.8000000000001,956.5600000000002,953.9200000000001,950.96,939.4400000000004,922.3199999999999,894.4800000000005,858.8400000000001,815.8799999999998,777.9199999999996,745.5600000000001,721.4799999999998,706.4000000000001,699.5200000000004,730.3200000000004,760.08,793.6400000000001,828.72,862.12,861.9199999999996,861.4799999999998,860.04,853.2800000000001,847.48,833.2400000000002,823.0400000000001,819.5200000000001,824.9200000000003,833.6800000000001
9,891.36,878.5999999999997,865.9999999999998,850.2800000000001,838.2,828.0799999999999,820.9200000000003,817.4800000000002,808.8000000000002,804.4400000000003,803.4400000000003,804.4399999999999,810.4800000000004,840.8800000000001,866.2400000000004,892.8399999999999,914.8400000000001,934.8800000000001,934.7199999999998,937.5999999999998,938.72,939.48,938.6,940.8000000000002,942.76,943.8,946.4399999999999,945.8800000000001,947.9599999999998,952.1199999999997,951.5200000000001,954.1599999999997,958.4399999999998,958.52,955.8000000000001,956.5600000000002,953.9200000000001,950.96,939.4400000000004,922.3199999999999,894.4800000000005,858.8400000000001,815.8799999999998,777.9199999999996,745.5600000000001,721.4799999999998,706.4000000000001,699.5200000000004,730.3200000000004,760.08,793.6400000000001,828.72,862.12,861.9199999999996,861.4799999999998,860.04,853.2800000000001,847.48,833.2400000000002,823.0400000000001,819.5200000000001,824.9200000000003,833.6800000000001,857.8399999999997,884.2800000000001,906.7199999999999,924.24,938.4799999999996,946.3200000000003,948.8399999999997,932.1999999999998,900.1999999999998,857.2,802.7999999999996,746.6000000000003,700.6400000000001,651.84,594.6400000000001,517.44,403.56,293.91999999999996,198.35999999999996,123.15999999999997,78.56000000000003,73.60000000000001,68.47999999999999,67.99999999999997,67.44000000000001,73.20000000000002,81.55999999999997,94.35999999999997,105.51999999999995,116.91999999999999,128.16,162.16000000000005,278.68,550.1199999999999,826.6799999999997,1093.3600000000001,1326.76,1467.3200000000002,1445.7599999999998,1415.0799999999997,1386.36,1359.9199999999996,1335.44,1313.7600000000002,1289.4800000000002,1263.5200000000004,1236.72,1208.7999999999997,1181.6799999999998,1154.4799999999998,1129.16,1106.3600000000004,1087.6,1071.7999999999997,1064.5599999999995,1066.9199999999996,1073.8799999999999,1085.2400000000002,1100.3200000000002,1114.1999999999998,1126.4,1138.6800000000003,1150.44,1159.04,1166.72,1171.6799999999998,1176.8400000000001,1184.8000000000002,1192.48,1200.56,1208.3999999999999,1216.1599999999999,1220.6799999999998,1229.3599999999997,1237.92,1243.3600000000001,1250.48,1258.76,1260.8000000000004,1262.2400000000002,1264.8400000000001,1265.2000000000003,1263.4800000000005,1262.76,1260.88,1256.92,1254.6799999999998,1251.6399999999996,1247.0399999999997,1241.3600000000001,1235.3999999999996,1223.84,1211.3999999999999,1204.28,1195.8400000000001,1187.6799999999998,1181.52,1179.7600000000002,1174.0,1169.2399999999998,1166.7199999999996,1165.2,1161.0800000000002,1157.28,1157.2000000000003,1157.6,1157.24,1159.92
10,1201.3999999999999,1199.1200000000006,1195.32,1191.7599999999998,1178.4799999999998,1162.0399999999997,1140.1200000000001,1114.0400000000002,1080.5600000000002,1044.6,1005.4399999999998,967.0000000000002,934.5200000000001,912.72,903.8399999999997,915.04,950.08,993.3999999999999,1039.7200000000003,1085.96,1121.8400000000001,1139.52,1151.96,1161.72,1168.6800000000003,1172.92,1178.36,1180.56,1174.9599999999996,1167.2799999999997,1161.12,1150.08,1137.7999999999997,1129.7599999999998,1124.12,1121.5200000000002,1121.8,1122.4799999999996,1126.1599999999999,1128.8,1130.9599999999996,1134.8400000000001,1140.72,1148.4,1160.3200000000002,1173.2,1189.52,1213.0799999999997,1239.8799999999997,1265.0399999999997,1292.4000000000003,1317.4800000000002,1337.1999999999998,1344.48,1345.4399999999998,1337.1600000000003,1320.1600000000003,1239.7600000000002,1136.64,1016.1200000000002,879.5200000000001,735.5199999999998,642.1600000000001,559.1200000000003,468.68000000000006,362.4799999999999,269.55999999999995,185.00000000000006,118.63999999999993,80.71999999999997,78.52000000000004,75.56000000000002,71.43999999999998,68.72,66.16,63.719999999999985,62.20000000000002,63.24000000000003,65.72000000000001,67.03999999999999,66.80000000000001,66.20000000000005,64.91999999999997,64.64,64.44,65.56,65.28000000000004,65.48000000000003,64.96000000000002,63.72000000000002,62.72000000000004,62.120000000000076,62.76000000000002,65.12000000000005,69.12000000000003,74.15999999999997,192.48000000000002,414.5600000000001,640.3599999999997,814.4400000000006,969.0400000000002,1011.8399999999999,960.4,911.8,927.0,958.4800000000002,983.8000000000009,998.0000000000001,998.2399999999994,980.4800000000002,956.9200000000001,921.8,878.5200000000001,834.3999999999994,790.56,746.5600000000001,716.64,692.8399999999998,673.8800000000002,664.1599999999999,664.2,669.3999999999996,684.7600000000001,697.24,697.72,692.0399999999998,677.84,649.4799999999998,621.36,604.6399999999999,605.3999999999999,629.72,675.3599999999998,732.8400000000001,791.08,838.5200000000001,869.3199999999999,885.2,896.36,900.4800000000001,904.5200000000002,904.3199999999998,908.2,907.28,910.1600000000001,910.96,913.04,913.6799999999998,915.1200000000002,916.76,918.5999999999999,920.68,922.9199999999998,925.6400000000003,927.1600000000001,931.2800000000001,936.44,938.3199999999999,939.4799999999998,941.1999999999997,938.2799999999997,934.9199999999998,931.2399999999998,927.3600000000004,919.6000000000004,899.08,880.2000000000003,862.8000000000002,846.12,834.3600000000002,840.1199999999999
