Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171,time_step_172,time_step_173,time_step_174,time_step_175,time_step_176,time_step_177,time_step_178,time_step_179,time_step_180,time_step_181
1,247.47999999999988,258.64,268.68000000000006,277.92,286.95999999999987,294.9199999999999,300.8399999999999,306.55999999999995,311.5200000000001,315.4799999999999,317.7600000000001,319.48000000000025,320.08000000000004,320.32000000000005,319.68,317.79999999999984,316.43999999999994,315.24,314.64,315.08,316.12,316.48,316.67999999999984,316.51999999999987,316.8800000000001,317.91999999999996,317.79999999999995,315.79999999999995,308.55999999999995,297.24,281.43999999999994,263.2,242.76000000000005,223.71999999999997,205.35999999999996,189.1599999999999,174.76,162.32,152.92000000000007,145.68,142.03999999999996,142.79999999999995,149.07999999999993,164.71999999999997,206.44,250.39999999999998,291.44,333.0400000000001,363.76,367.20000000000005,365.84000000000015,364.7999999999997,359.52,356.48,356.03999999999996,356.48000000000013,356.24,354.52000000000004,348.2799999999999,336.6399999999999,321.19999999999993,304.2400000000001,285.72,267.15999999999997,248.92,230.67999999999995,210.1199999999999,184.32000000000005,148.43999999999997,109.44000000000001,74.99999999999997,45.44000000000001,23.039999999999985,14.960000000000006,14.36,12.880000000000003,11.520000000000007,11.160000000000004,10.920000000000002,10.520000000000003,10.16,9.280000000000001,9.200000000000001,8.68,8.0,7.840000000000002,8.080000000000002,7.360000000000003,7.120000000000001,7.040000000000001,6.000000000000003,5.000000000000002,4.200000000000001,4.08,3.3200000000000007,4.120000000000001,4.960000000000001,5.9600000000000035,6.360000000000004,25.119999999999994,62.519999999999996,141.28000000000003,217.92000000000002,286.08,325.48,351.52000000000015,343.44,335.88,333.8399999999999,341.4799999999999,339.71999999999997,324.9200000000001,285.52,241.84000000000003,194.24000000000007,148.27999999999994,106.12,88.16000000000001,76.72,69.04000000000002,62.44000000000002,57.8,66.44000000000003,77.99999999999996,90.51999999999998,102.04000000000002,112.36,110.80000000000001,106.48,101.63999999999999,96.67999999999999,91.07999999999998,83.32,72.95999999999998,61.52000000000001,49.84,38.76,28.880000000000006,21.4,15.24,11.12,7.799999999999999,5.839999999999999,4.92,4.239999999999999,3.5599999999999996,14.959999999999999,32.839999999999996,54.879999999999995,79.20000000000002,104.28000000000002,119.39999999999998,130.07999999999998,138.28,154.07999999999998,169.71999999999997,183.4,183.16,180.76000000000002,168.20000000000005,155.55999999999995,142.76000000000002,142.76,145.23999999999998,148.8,152.47999999999996,158.72000000000003,167.08000000000004,180.72000000000006,197.7199999999999,216.00000000000003,235.16000000000003,252.79999999999995,262.03999999999996,266.63999999999993,267.52,265.52,260.08000000000004,255.08000000000004,251.04000000000002,248.28000000000006
2,250.39999999999998,291.44,333.0400000000001,363.76,367.20000000000005,365.84000000000015,364.7999999999997,359.52,356.48,356.03999999999996,356.48000000000013,356.24,354.52000000000004,348.2799999999999,336.6399999999999,321.19999999999993,304.2400000000001,285.72,267.15999999999997,248.92,230.67999999999995,210.1199999999999,184.32000000000005,148.43999999999997,109.44000000000001,74.99999999999997,45.44000000000001,23.039999999999985,14.960000000000006,14.36,12.880000000000003,11.520000000000007,11.160000000000004,10.920000000000002,10.520000000000003,10.16,9.280000000000001,9.200000000000001,8.68,8.0,7.840000000000002,8.080000000000002,7.360000000000003,7.120000000000001,7.040000000000001,6.000000000000003,5.000000000000002,4.200000000000001,4.08,3.3200000000000007,4.120000000000001,4.960000000000001,5.9600000000000035,6.360000000000004,25.119999999999994,62.519999999999996,141.28000000000003,217.92000000000002,286.08,325.48,351.52000000000015,343.44,335.88,333.8399999999999,341.4799999999999,339.71999999999997,324.9200000000001,285.52,241.84000000000003,194.24000000000007,148.27999999999994,106.12,88.16000000000001,76.72,69.04000000000002,62.44000000000002,57.8,66.44000000000003,77.99999999999996,90.51999999999998,102.04000000000002,112.36,110.80000000000001,106.48,101.63999999999999,96.67999999999999,91.07999999999998,83.32,72.95999999999998,61.52000000000001,49.84,38.76,28.880000000000006,21.4,15.24,11.12,7.799999999999999,5.839999999999999,4.92,4.239999999999999,3.5599999999999996,14.959999999999999,32.839999999999996,54.879999999999995,79.20000000000002,104.28000000000002,119.39999999999998,130.07999999999998,138.28,154.07999999999998,169.71999999999997,183.4,183.16,180.76000000000002,168.20000000000005,155.55999999999995,142.76000000000002,142.76,145.23999999999998,148.8,152.47999999999996,158.72000000000003,167.08000000000004,180.72000000000006,197.7199999999999,216.00000000000003,235.16000000000003,252.79999999999995,262.03999999999996,266.63999999999993,267.52,265.52,260.08000000000004,255.08000000000004,251.04000000000002,248.28000000000006,245.12,244.35999999999999,244.92000000000004,245.92000000000002,248.76000000000005,252.72000000000006,256.96,260.6400000000001,264.08000000000004,266.03999999999996,267.56000000000006,269.64,271.1200000000001,264.0799999999999,252.64000000000001,237.11999999999992,216.95999999999998,193.2,175.07999999999996,159.36,146.56000000000003,138.27999999999997,139.68000000000004,148.2,166.15999999999997,187.07999999999998,208.12000000000003,224.2,247.52000000000004,268.0400000000001,290.4799999999999,315.67999999999995,342.7600000000001,360.28,373.71999999999997,382.1600000000001,383.92,379.71999999999986,370.79999999999995,360.08,349.55999999999995,341.5600000000001,333.24,321.8,307.76
3,180.76000000000002,168.20000000000005,155.55999999999995,142.76000000000002,142.76,145.23999999999998,148.8,152.47999999999996,158.72000000000003,167.08000000000004,180.72000000000006,197.7199999999999,216.00000000000003,235.16000000000003,252.79999999999995,262.03999999999996,266.63999999999993,267.52,265.52,260.08000000000004,255.08000000000004,251.04000000000002,248.28000000000006,245.12,244.35999999999999,244.92000000000004,245.92000000000002,248.76000000000005,252.72000000000006,256.96,260.6400000000001,264.08000000000004,266.03999999999996,267.56000000000006,269.64,271.1200000000001,264.0799999999999,252.64000000000001,237.11999999999992,216.95999999999998,193.2,175.07999999999996,159.36,146.56000000000003,138.27999999999997,139.68000000000004,148.2,166.15999999999997,187.07999999999998,208.12000000000003,224.2,247.52000000000004,268.0400000000001,290.4799999999999,315.67999999999995,342.7600000000001,360.28,373.71999999999997,382.1600000000001,383.92,379.71999999999986,370.79999999999995,360.08,349.55999999999995,341.5600000000001,333.24,321.8,307.76,291.6399999999999,272.96000000000004,255.36000000000004,241.03999999999996,193.72000000000003,147.12,103.47999999999999,61.28,21.639999999999993,18.480000000000004,16.92000000000001,15.88000000000001,16.320000000000007,15.920000000000002,15.400000000000002,15.840000000000002,15.48,14.96,13.800000000000004,13.640000000000004,12.960000000000004,12.960000000000004,12.040000000000004,12.400000000000002,12.120000000000005,12.400000000000004,11.680000000000003,12.080000000000004,12.200000000000005,13.360000000000007,14.560000000000006,17.60000000000001,24.12,49.84,116.95999999999997,205.44,279.7199999999999,331.44000000000005,356.19999999999993,351.95999999999987,332.08000000000004,316.4,316.36,333.79999999999995,337.84000000000003,332.39999999999986,323.3199999999998,316.6,298.31999999999994,264.32000000000005,231.95999999999995,211.16000000000003,191.88,174.43999999999994,175.52,182.67999999999995,195.12000000000006,207.56,221.99999999999994,235.27999999999997,244.95999999999998,249.79999999999995,251.83999999999995,243.07999999999998,231.51999999999995,223.04,217.68000000000006,217.83999999999997,230.43999999999997,246.60000000000002,256.80000000000007,264.0400000000001,266.92,266.12,263.0,261.6400000000001,261.2,260.88000000000005,261.64000000000004,263.6,265.96000000000004,267.36,269.24,270.68000000000006,271.48,272.28,273.6000000000001,275.28,276.64,277.79999999999995,279.08000000000004,280.67999999999995,282.12,283.88,285.4,285.79999999999995,282.3599999999999,273.8399999999999,261.4,245.31999999999994,224.79999999999998,193.87999999999988,164.80000000000007,136.84,111.48000000000005,97.44000000000001,102.4,114.04,130.32,150.19999999999993,169.56000000000006,192.04000000000002,215.84000000000003
4,251.83999999999995,243.07999999999998,231.51999999999995,223.04,217.68000000000006,217.83999999999997,230.43999999999997,246.60000000000002,256.80000000000007,264.0400000000001,266.92,266.12,263.0,261.6400000000001,261.2,260.88000000000005,261.64000000000004,263.6,265.96000000000004,267.36,269.24,270.68000000000006,271.48,272.28,273.6000000000001,275.28,276.64,277.79999999999995,279.08000000000004,280.67999999999995,282.12,283.88,285.4,285.79999999999995,282.3599999999999,273.8399999999999,261.4,245.31999999999994,224.79999999999998,193.87999999999988,164.80000000000007,136.84,111.48000000000005,97.44000000000001,102.4,114.04,130.32,150.19999999999993,169.56000000000006,192.04000000000002,215.84000000000003,241.2,262.0400000000001,276.68000000000006,282.1999999999999,277.43999999999994,265.55999999999995,253.71999999999994,242.52000000000007,232.08000000000015,227.28000000000006,225.48000000000002,223.2400000000001,218.36000000000007,211.44000000000005,201.9999999999999,190.11999999999995,175.0,151.5999999999999,116.11999999999996,83.60000000000005,53.60000000000001,29.560000000000002,15.880000000000003,16.720000000000006,15.480000000000008,14.520000000000003,13.240000000000002,12.120000000000005,10.880000000000003,10.960000000000003,11.240000000000002,11.44,11.32,11.040000000000001,10.56,10.360000000000003,9.760000000000002,8.919999999999998,7.92,7.200000000000001,6.039999999999999,5.520000000000001,6.0,6.44,6.200000000000001,5.68,4.920000000000002,4.16,3.72,3.840000000000001,3.9600000000000004,4.040000000000001,4.760000000000001,5.000000000000002,11.52,36.28,93.12,163.64000000000004,242.88,324.2800000000001,389.2000000000001,417.52000000000004,431.8800000000001,438.64,437.5999999999999,433.12,429.84000000000003,423.67999999999984,414.0000000000001,401.36,385.32000000000016,366.0799999999999,343.56000000000006,316.80000000000007,274.19999999999993,234.12,206.51999999999992,200.11999999999995,203.24,224.36,246.92000000000004,259.08000000000004,249.51999999999998,236.44,224.27999999999997,213.60000000000002,208.51999999999992,209.51999999999998,211.32000000000005,211.28000000000003,211.12000000000003,213.51999999999998,221.35999999999996,231.76000000000002,245.64,262.2,276.19999999999993,283.03999999999996,285.76,284.55999999999995,278.2800000000001,268.28,258.28,249.12,241.0,235.91999999999996,235.20000000000005,237.20000000000005,240.2800000000001,245.16000000000005,251.35999999999999,257.72,264.76,272.48,280.76000000000005,289.48,297.5200000000001,304.68,311.52000000000004,315.8399999999999,317.19999999999993,316.76000000000005,309.40000000000003,297.92,283.04,264.32,242.8,225.71999999999997,211.64,200.76000000000005
5,213.51999999999998,221.35999999999996,231.76000000000002,245.64,262.2,276.19999999999993,283.03999999999996,285.76,284.55999999999995,278.2800000000001,268.28,258.28,249.12,241.0,235.91999999999996,235.20000000000005,237.20000000000005,240.2800000000001,245.16000000000005,251.35999999999999,257.72,264.76,272.48,280.76000000000005,289.48,297.5200000000001,304.68,311.52000000000004,315.8399999999999,317.19999999999993,316.76000000000005,309.40000000000003,297.92,283.04,264.32,242.8,225.71999999999997,211.64,200.76000000000005,192.99999999999994,190.04,192.55999999999997,199.35999999999999,210.8,225.63999999999996,241.51999999999998,256.96,273.75999999999993,293.15999999999997,314.1199999999999,334.79999999999984,353.12,368.56000000000006,380.28000000000014,388.91999999999985,394.23999999999995,396.0799999999999,393.4400000000001,387.23999999999984,377.6,366.5999999999999,356.76,338.9600000000001,317.72,296.08000000000004,273.44,249.60000000000002,232.91999999999993,216.20000000000005,198.72,175.96000000000004,140.51999999999998,103.52000000000004,69.80000000000004,39.60000000000001,17.68,11.0,8.360000000000001,6.839999999999996,5.279999999999999,4.040000000000001,2.679999999999999,1.7200000000000006,0.9599999999999986,0.3999999999999997,-0.28000000000000136,-0.28000000000000114,-0.6000000000000023,-1.3600000000000012,-1.5600000000000016,-1.8400000000000007,-2.1600000000000006,-2.000000000000001,-1.9600000000000002,-2.200000000000002,-1.7200000000000015,-2.0400000000000014,-2.2000000000000015,-2.080000000000001,-2.4000000000000004,-2.7199999999999998,-2.96,-3.24,-3.8400000000000003,-2.640000000000002,-2.2800000000000007,2.0000000000000004,20.000000000000004,73.08000000000001,168.23999999999995,262.88,326.28000000000003,364.0000000000001,365.24000000000007,330.0,307.9200000000001,306.76,318.0,334.6400000000001,348.0400000000001,350.48,357.9200000000001,362.68000000000006,361.2800000000001,354.0000000000002,342.4,330.48,317.44000000000005,302.92,284.4000000000001,264.0,238.28,213.95999999999995,190.55999999999995,171.56000000000003,157.68000000000004,158.56,170.48000000000005,188.88,211.07999999999998,234.83999999999992,250.64000000000004,249.0399999999999,241.55999999999995,229.32000000000005,214.0000000000001,198.83999999999997,192.55999999999995,195.76000000000005,210.07999999999998,231.52,257.59999999999997,283.84,302.0,310.7199999999999,312.1600000000001,308.2000000000001,303.0,298.48,294.71999999999997,292.32000000000005,290.32000000000005,287.52000000000004,284.44000000000017,282.08000000000004,279.52000000000004,278.0399999999999,277.7200000000001,278.67999999999995,278.19999999999993,278.96000000000004,279.36,279.68000000000006,280.24,287.2800000000001,292.91999999999996,297.12,298.55999999999995,297.5999999999999,289.3599999999999,278.08000000000015
6,312.1600000000001,308.2000000000001,303.0,298.48,294.71999999999997,292.32000000000005,290.32000000000005,287.52000000000004,284.44000000000017,282.08000000000004,279.52000000000004,278.0399999999999,277.7200000000001,278.67999999999995,278.19999999999993,278.96000000000004,279.36,279.68000000000006,280.24,287.2800000000001,292.91999999999996,297.12,298.55999999999995,297.5999999999999,289.3599999999999,278.08000000000015,264.68000000000006,250.40000000000003,232.47999999999993,212.32000000000005,191.71999999999997,172.63999999999996,155.40000000000003,142.44,132.51999999999998,126.07999999999997,121.15999999999997,119.99999999999999,123.16000000000001,129.92000000000002,139.48000000000002,153.35999999999996,169.39999999999995,185.72000000000003,208.64,236.43999999999994,267.12,298.0400000000001,330.96000000000004,357.11999999999995,377.84,392.56000000000006,401.7199999999999,405.1599999999999,404.0799999999999,399.2800000000001,392.96000000000015,386.19999999999993,378.84000000000003,371.52,363.0,351.24,335.19999999999993,315.84000000000003,294.24000000000007,270.0799999999999,245.92000000000002,222.24,193.96000000000004,148.24000000000007,108.03999999999995,71.28,39.68000000000002,16.200000000000003,14.320000000000004,11.840000000000003,10.480000000000002,9.559999999999999,8.319999999999999,7.279999999999999,6.760000000000001,6.200000000000001,5.920000000000001,5.76,5.4,5.0,4.359999999999999,3.04,2.960000000000001,2.6399999999999997,2.5199999999999987,2.3199999999999994,2.3999999999999986,2.2399999999999993,1.9599999999999989,2.119999999999999,1.9199999999999997,2.04,1.8000000000000007,1.7999999999999998,1.2399999999999995,1.3199999999999987,1.4399999999999988,1.9199999999999988,9.04,35.680000000000014,93.76000000000002,187.24,277.1600000000001,340.48,373.92,373.9200000000001,341.20000000000005,320.24000000000007,327.12000000000006,343.2,355.16,358.1200000000001,350.64,336.3199999999999,324.36,316.80000000000007,314.52,313.55999999999995,310.0399999999999,303.9599999999999,297.2399999999999,287.79999999999995,277.48,271.12000000000006,265.31999999999994,258.72,252.12,243.51999999999995,230.51999999999998,215.27999999999997,201.27999999999997,190.56,183.60000000000002,179.88000000000005,180.32000000000002,189.35999999999999,203.96,223.96,247.3199999999999,272.8,292.12,306.0400000000001,310.68,308.12,299.08000000000004,287.24,271.4,255.6799999999999,239.96,226.23999999999995,213.96000000000004,209.04000000000005,211.60000000000002,222.71999999999997,238.52,257.84,274.91999999999996,288.15999999999997,295.44000000000005,299.28,299.8399999999999,298.84000000000003,296.84000000000015,293.03999999999985,289.3599999999999,285.88,281.55999999999983,277.1199999999999,274.32,270.52,266.8,263.4799999999999,260.5200000000001,257.67999999999995,255.60000000000008
7,222.71999999999997,238.52,257.84,274.91999999999996,288.15999999999997,295.44000000000005,299.28,299.8399999999999,298.84000000000003,296.84000000000015,293.03999999999985,289.3599999999999,285.88,281.55999999999983,277.1199999999999,274.32,270.52,266.8,263.4799999999999,260.5200000000001,257.67999999999995,255.60000000000008,252.72000000000003,250.16000000000003,248.1199999999999,246.12,244.56,243.88000000000008,243.56000000000006,243.64,243.72000000000003,243.27999999999997,241.88,238.60000000000002,232.07999999999998,221.99999999999997,209.72000000000003,195.24000000000007,180.44,167.47999999999996,157.84000000000003,153.40000000000003,158.60000000000008,174.32000000000002,196.00000000000006,218.84,239.2,256.0,270.75999999999993,286.6399999999999,305.3599999999999,325.96000000000004,345.76,363.4000000000001,374.47999999999996,381.4,384.4000000000001,381.9199999999999,373.0799999999999,363.08,353.32000000000016,345.91999999999996,341.2000000000001,338.4000000000001,433.5200000000001,526.24,514.3600000000001,501.52000000000004,485.84000000000003,369.6,252.32,232.23999999999992,204.76000000000005,166.92000000000007,125.07999999999996,86.07999999999998,53.519999999999996,29.60000000000001,19.24,16.84,15.08,13.600000000000001,12.040000000000003,10.16,9.08,8.08,7.52,6.799999999999999,6.359999999999999,5.92,5.719999999999999,5.079999999999999,5.719999999999999,6.08,6.84,7.6,8.759999999999998,9.52,10.879999999999999,11.68,11.680000000000001,12.08,11.92,12.08,13.24,24.479999999999997,57.239999999999995,124.11999999999996,195.92000000000002,259.35999999999996,306.12,334.4800000000001,336.16000000000014,336.1200000000001,345.1600000000001,360.20000000000005,371.48000000000013,378.23999999999995,383.4,386.96000000000004,391.88,395.7600000000001,396.0400000000001,392.96000000000004,387.36,378.8,367.00000000000006,351.1600000000001,329.64,303.67999999999995,272.36000000000007,237.24,201.44,168.88,140.20000000000002,117.67999999999998,102.96,93.08000000000001,86.52,82.00000000000001,79.20000000000002,78.96,79.88000000000002,81.76,84.28000000000002,87.00000000000001,86.68,85.24000000000001,81.32000000000002,76.36,70.32,64.0,57.72,51.99999999999999,46.56,42.040000000000006,37.52,32.480000000000004,27.400000000000006,23.08,18.560000000000002,15.24,12.92,11.96,10.719999999999999,10.4,9.919999999999998,9.84,10.279999999999998,16.28,26.119999999999997,42.040000000000006,62.0,84.24,102.76000000000002,125.80000000000001,145.60000000000002,163.88,180.88000000000005,198.8,208.44000000000005
8,501.52000000000004,485.84000000000003,369.6,252.32,232.23999999999992,204.76000000000005,166.92000000000007,125.07999999999996,86.07999999999998,53.519999999999996,29.60000000000001,19.24,16.84,15.08,13.600000000000001,12.040000000000003,10.16,9.08,8.08,7.52,6.799999999999999,6.359999999999999,5.92,5.719999999999999,5.079999999999999,5.719999999999999,6.08,6.84,7.6,8.759999999999998,9.52,10.879999999999999,11.68,11.680000000000001,12.08,11.92,12.08,13.24,24.479999999999997,57.239999999999995,124.11999999999996,195.92000000000002,259.35999999999996,306.12,334.4800000000001,336.16000000000014,336.1200000000001,345.1600000000001,360.20000000000005,371.48000000000013,378.23999999999995,383.4,386.96000000000004,391.88,395.7600000000001,396.0400000000001,392.96000000000004,387.36,378.8,367.00000000000006,351.1600000000001,329.64,303.67999999999995,272.36000000000007,237.24,201.44,168.88,140.20000000000002,117.67999999999998,102.96,93.08000000000001,86.52,82.00000000000001,79.20000000000002,78.96,79.88000000000002,81.76,84.28000000000002,87.00000000000001,86.68,85.24000000000001,81.32000000000002,76.36,70.32,64.0,57.72,51.99999999999999,46.56,42.040000000000006,37.52,32.480000000000004,27.400000000000006,23.08,18.560000000000002,15.24,12.92,11.96,10.719999999999999,10.4,9.919999999999998,9.84,10.279999999999998,16.28,26.119999999999997,42.040000000000006,62.0,84.24,102.76000000000002,125.80000000000001,145.60000000000002,163.88,180.88000000000005,198.8,208.44000000000005,216.08000000000004,220.64000000000001,222.87999999999997,221.48000000000002,218.59999999999997,213.48,208.39999999999998,204.36,200.96000000000004,199.44,200.24,202.88,209.23999999999998,224.88,244.35999999999996,268.36,295.76,319.76,333.68,340.43999999999994,340.08,331.9599999999999,318.44,301.64000000000004,283.76000000000005,265.44000000000005,248.88,237.48000000000002,232.48000000000002,238.72000000000003,253.28,272.24,292.64,311.91999999999996,323.2399999999999,328.96000000000004,330.6,329.67999999999995,326.56000000000006,323.72000000000014,319.88,315.9600000000001,311.36,307.1200000000001,301.48,295.5200000000001,290.9599999999999,288.68,288.6,291.36000000000007,295.44000000000005,299.15999999999997,301.75999999999993,302.55999999999995,301.28,299.19999999999993,295.5600000000001,291.32000000000005,285.6,276.92,259.03999999999996,240.15999999999997,220.92000000000002,202.2,186.48,179.67999999999998,177.4
9,237.48000000000002,232.48000000000002,238.72000000000003,253.28,272.24,292.64,311.91999999999996,323.2399999999999,328.96000000000004,330.6,329.67999999999995,326.56000000000006,323.72000000000014,319.88,315.9600000000001,311.36,307.1200000000001,301.48,295.5200000000001,290.9599999999999,288.68,288.6,291.36000000000007,295.44000000000005,299.15999999999997,301.75999999999993,302.55999999999995,301.28,299.19999999999993,295.5600000000001,291.32000000000005,285.6,276.92,259.03999999999996,240.15999999999997,220.92000000000002,202.2,186.48,179.67999999999998,177.4,182.92000000000002,201.27999999999997,224.56000000000012,249.64000000000001,274.2,308.6800000000001,335.0400000000001,359.15999999999997,384.08000000000004,409.0400000000001,417.84,423.6000000000001,425.67999999999995,422.0,413.63999999999993,403.1599999999999,391.36,380.36,371.51999999999987,363.43999999999994,353.28,341.6800000000002,327.6,311.0000000000001,293.0400000000001,275.4400000000001,256.55999999999995,235.36000000000007,208.71999999999997,171.76,129.79999999999995,90.64000000000001,56.67999999999999,31.40000000000001,19.439999999999998,16.119999999999997,13.400000000000002,11.200000000000003,10.200000000000001,9.4,8.64,8.440000000000001,7.840000000000002,6.6800000000000015,6.08,5.48,5.12,5.200000000000001,5.440000000000001,5.48,5.36,5.120000000000001,5.200000000000001,5.200000000000001,5.199999999999999,5.4399999999999995,5.72,45.23999999999998,124.67999999999998,215.60000000000002,293.6,355.35999999999996,374.19999999999993,378.08000000000004,368.2000000000001,372.08000000000015,393.72,418.6400000000001,418.71999999999997,418.28000000000003,413.19999999999993,405.08000000000004,395.60000000000014,386.4,378.7600000000001,373.84000000000003,367.64,356.71999999999997,338.6799999999999,316.76,289.8399999999999,261.08000000000004,233.44000000000003,207.76,182.51999999999995,160.47999999999996,142.15999999999994,128.12,119.11999999999999,114.96000000000001,113.63999999999999,114.56,119.28,125.4,135.92000000000002,147.72000000000003,159.16000000000003,167.56,175.60000000000002,179.04000000000002,178.68,175.87999999999997,171.64,164.95999999999998,157.2,151.0,145.28,139.68,135.59999999999997,132.35999999999999,129.0,127.04000000000003,126.76,125.19999999999999,123.44,120.47999999999999,113.56,104.84000000000003,97.4,89.6,83.2,80.16,78.39999999999999,76.4,75.12,74.16,74.12,73.84,73.4,73.64,75.08000000000001,78.16,85.48000000000002,99.72,116.27999999999999,135.72000000000003,156.51999999999995,179.27999999999997,200.28000000000003,221.36,238.8
10,312.12,310.96000000000015,309.76,309.12,308.23999999999995,307.52000000000004,307.6800000000002,307.56,307.88,308.72,309.72,310.36,311.72,313.20000000000005,314.76,315.6800000000002,316.8000000000002,317.4000000000002,317.5200000000002,317.5200000000002,317.8800000000001,318.2800000000002,318.96,320.0000000000001,321.0400000000001,322.68000000000006,323.88,324.36,324.8800000000001,324.7199999999999,322.91999999999996,321.4800000000001,319.56000000000006,316.4799999999999,311.92,307.0400000000001,300.60000000000014,292.76,283.4799999999999,274.6,266.1600000000001,258.08000000000004,252.88000000000005,251.0,251.96000000000004,261.23999999999995,273.76,288.12,302.80000000000007,317.84000000000003,326.92,335.48,343.24,350.6,356.8399999999998,362.80000000000007,367.76,371.31999999999994,373.44000000000005,373.64,372.1199999999999,368.12,362.36000000000007,357.1600000000001,352.7600000000001,349.23999999999995,348.2799999999999,350.64,352.79999999999995,355.3200000000001,353.9200000000001,349.15999999999974,311.67999999999995,256.52,194.08000000000004,135.92,79.63999999999999,53.599999999999994,45.16,44.160000000000004,42.36000000000001,40.80000000000001,39.68000000000002,38.60000000000001,37.64000000000001,36.88000000000001,36.24000000000001,35.96000000000001,35.60000000000001,35.440000000000005,35.32000000000001,34.96,35.360000000000014,36.000000000000014,35.80000000000001,35.120000000000005,34.96000000000001,34.92000000000001,37.88,45.75999999999999,81.07999999999997,153.67999999999995,222.60000000000005,283.84000000000003,332.6,359.32000000000016,359.24,371.11999999999995,390.08000000000004,414.0799999999999,429.03999999999996,433.6,430.03999999999996,423.9600000000002,418.8400000000001,415.56000000000006,409.84000000000003,399.7999999999999,386.88,373.4800000000001,360.51999999999987,347.03999999999996,333.24000000000007,318.64000000000004,303.91999999999996,289.88,277.96,269.43999999999994,264.96000000000004,263.92,263.32000000000005,265.28,269.36,273.88,277.91999999999996,281.0400000000001,280.72,279.2800000000001,279.12,279.96000000000004,281.96,284.7199999999999,286.2799999999999,283.4,277.03999999999996,268.0,257.20000000000005,243.15999999999997,229.84000000000003,217.72000000000003,221.15999999999997,230.43999999999994,246.16000000000003,266.24,288.91999999999996,299.16,306.79999999999995,312.31999999999994,316.0799999999999,319.68000000000006,324.15999999999997,329.96000000000004,335.67999999999995,339.9999999999999,343.7200000000001,347.72,350.44000000000005,351.63999999999993,352.48,352.19999999999993,350.32000000000005,347.1600000000001,344.96000000000004,343.4400000000001,341.48000000000013,339.64,338.3600000000001,337.0,335.80000000000007,335.0400000000001,333.44000000000017
