Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1320.4799999999996,1346.9599999999996,1372.44,1395.0800000000006,1413.5599999999995,1424.4800000000005,1432.8000000000009,1435.96,1437.2800000000002,1435.1200000000001,1427.3599999999994,1421.7199999999998,1416.72,1413.8799999999999,1415.1999999999998,1419.68,1421.1599999999999,1422.0799999999992,1422.1599999999992,1424.3600000000001,1429.28,1429.4399999999998,1420.9599999999998,1388.7599999999998,1338.6399999999999,1268.1999999999996,1186.44,1095.52,1010.3999999999999,928.3199999999997,856.1199999999997,791.92,735.8399999999999,693.84,661.4399999999998,645.04,648.4399999999998,676.7999999999997,746.9999999999999,933.88,1131.0799999999997,1315.0400000000002,1501.2400000000002,1638.76,1654.48,1648.3600000000008,1644.039999999999,1621.04,1607.72,1605.72,1608.0800000000008,1606.9200000000003,1599.0,1571.4399999999996,1519.5199999999993,1450.3199999999997,1374.5600000000002,1292.2,1209.4,1128.0,1046.7999999999997,955.0799999999994,839.6000000000001,676.9199999999998,500.24000000000007,343.84,209.40000000000003,106.47999999999993,69.64000000000001,66.72,59.12,52.800000000000026,51.24000000000001,50.16000000000001,48.040000000000006,46.8,42.56,42.080000000000005,39.71999999999999,36.64,35.640000000000015,37.000000000000014,33.76000000000001,32.64,32.32000000000001,28.36000000000001,23.56000000000001,19.760000000000005,19.040000000000003,15.480000000000008,18.480000000000004,22.400000000000002,27.040000000000013,29.040000000000017,117.27999999999996,286.76,638.6000000000003,980.0399999999998,1284.6,1457.4399999999998,1572.3200000000006,1536.32,1503.4,1494.8399999999997,1528.3999999999992,1520.7199999999998,1455.2400000000002,1280.04,1084.5600000000002,870.8800000000003,664.1999999999997,475.08000000000004,393.9200000000001,342.2799999999999,308.32000000000005,279.0400000000001,257.88,296.68000000000006,348.51999999999987,404.63999999999993,456.2800000000001,502.44,495.23999999999995,476.1600000000001,454.4799999999999,432.0,407.03999999999996,372.0,325.28,274.0400000000001,221.60000000000002,171.71999999999997,127.56000000000002,93.96000000000001,66.2,47.959999999999994,33.48,25.12,21.08,17.839999999999993,14.599999999999998,65.27999999999999,145.43999999999997,243.95999999999998,352.7200000000001,464.84000000000003,532.52,579.92,616.4799999999999,687.24,756.9999999999997,817.8800000000001,816.3999999999999,805.48,749.3200000000003,693.0399999999996,636.0,636.04,647.52,663.5200000000001,680.1199999999997,708.8000000000002,746.9200000000003,808.5200000000002,885.5599999999995,968.28,1054.52,1133.8799999999999,1175.5999999999997,1195.9199999999998,1199.48
2,647.52,663.5200000000001,680.1199999999997,708.8000000000002,746.9200000000003,808.5200000000002,885.5599999999995,968.28,1054.52,1133.8799999999999,1175.5999999999997,1195.9199999999998,1199.48,1189.92,1165.08,1142.16,1123.68,1111.2400000000002,1097.0400000000002,1093.76,1096.2000000000003,1100.56,1113.2400000000002,1130.6800000000003,1149.36,1165.2400000000002,1180.5200000000004,1188.6399999999999,1195.5200000000002,1204.48,1210.92,1179.2399999999998,1128.16,1058.5999999999997,968.3999999999997,862.56,781.4399999999998,711.1600000000001,653.7600000000002,616.9599999999999,623.3200000000002,662.1199999999999,743.0799999999999,837.28,931.5200000000002,1003.5999999999997,1107.68,1199.64,1299.7999999999997,1413.08,1534.28,1612.32,1671.4399999999996,1708.56,1715.4,1696.2399999999993,1656.6000000000001,1609.6,1564.0,1529.4000000000003,1492.6000000000001,1441.8000000000002,1379.2399999999998,1306.7599999999998,1222.92,1144.2400000000002,1080.3199999999997,868.6,660.16,465.67999999999995,277.48,99.99999999999996,85.4,77.88000000000002,72.24000000000004,73.68000000000002,71.48,69.32000000000001,71.32,69.72,67.56,62.68000000000001,62.160000000000025,59.00000000000002,58.84000000000001,54.360000000000014,55.92000000000001,54.32000000000001,55.48000000000002,52.320000000000014,53.680000000000014,53.960000000000015,58.84000000000003,63.800000000000026,76.84000000000003,109.92000000000002,229.12000000000003,532.8399999999998,925.88,1253.6399999999999,1480.8400000000001,1590.2799999999995,1569.7199999999993,1485.44,1422.56,1425.1599999999999,1502.1599999999999,1520.4400000000003,1497.3999999999994,1456.1199999999994,1425.1599999999996,1342.7999999999997,1190.1200000000001,1044.32,951.5200000000001,865.6,788.2399999999998,794.2800000000001,826.8799999999998,883.0800000000003,939.6,1004.8799999999998,1064.08,1107.1599999999999,1128.4799999999998,1136.44,1095.56,1042.24,1001.76,974.2400000000002,972.1999999999999,1026.5199999999998,1096.64,1141.8,1174.9200000000003,1188.4,1185.4,1172.08,1166.5600000000002,1164.92,1163.76,1167.16,1175.96,1186.3200000000002,1192.1599999999999,1200.3600000000001,1206.8400000000001,1210.44,1214.08,1220.3200000000002,1227.7199999999998,1233.4399999999998,1238.6799999999996,1244.2800000000002,1251.36,1257.9599999999998,1266.3199999999997,1272.8,1274.2399999999998,1258.3999999999996,1219.9199999999996,1163.76,1092.1599999999996,1000.9199999999998,863.0799999999995,733.2000000000003,608.48,495.0400000000002,433.68000000000006,457.76000000000005,512.3199999999999
3,972.1999999999999,1026.5199999999998,1096.64,1141.8,1174.9200000000003,1188.4,1185.4,1172.08,1166.5600000000002,1164.92,1163.76,1167.16,1175.96,1186.3200000000002,1192.1599999999999,1200.3600000000001,1206.8400000000001,1210.44,1214.08,1220.3200000000002,1227.7199999999998,1233.4399999999998,1238.6799999999996,1244.2800000000002,1251.36,1257.9599999999998,1266.3199999999997,1272.8,1274.2399999999998,1258.3999999999996,1219.9199999999996,1163.76,1092.1599999999996,1000.9199999999998,863.0799999999995,733.2000000000003,608.48,495.0400000000002,433.68000000000006,457.76000000000005,512.3199999999999,587.1600000000001,677.6799999999997,764.2400000000004,864.6400000000001,970.2400000000001,1082.9599999999998,1176.0400000000004,1241.2000000000003,1264.9199999999996,1242.2399999999996,1188.2799999999997,1134.2399999999998,1083.4400000000003,1036.2400000000007,1015.2000000000003,1007.28,997.9600000000003,976.1200000000002,945.6800000000001,903.4799999999996,850.1199999999999,782.1600000000001,677.3999999999996,518.7199999999998,373.76000000000005,240.72000000000008,134.16000000000003,73.92,78.16000000000003,73.12000000000003,68.80000000000001,62.96000000000001,57.84000000000002,52.08000000000003,52.40000000000001,53.280000000000015,53.64,52.80000000000001,50.96,48.36000000000001,47.120000000000005,44.08000000000001,40.12,35.84,32.4,27.6,25.44,27.759999999999998,29.96,29.000000000000007,26.279999999999998,23.040000000000003,19.360000000000007,17.559999999999995,18.200000000000006,18.520000000000003,18.520000000000007,21.92,22.80000000000001,53.080000000000005,165.84,423.0000000000001,740.3200000000002,1095.72,1457.8400000000001,1746.2000000000007,1870.2800000000002,1932.6800000000003,1962.2399999999998,1958.1999999999998,1939.0800000000004,1925.3599999999997,1898.6799999999994,1856.1200000000001,1800.6000000000004,1729.6800000000007,1644.0399999999995,1544.2000000000005,1424.96,1234.56,1054.88,931.3999999999999,903.3599999999997,917.2,1011.72,1112.7600000000002,1166.5200000000002,1121.8,1062.48,1007.3199999999999,958.44,935.1199999999998,939.24,946.4000000000002,945.8800000000001,944.6400000000002,955.0,989.6399999999999,1036.2,1098.36,1173.08,1236.12,1267.6399999999999,1280.2,1274.8799999999999,1246.9600000000003,1202.3999999999999,1157.5199999999998,1116.76,1080.6000000000001,1057.7199999999998,1054.4000000000003,1063.8000000000002,1077.8000000000004,1099.8000000000002,1127.92,1156.9599999999998,1188.44,1223.0800000000002,1260.0000000000002,1299.48,1335.5600000000002,1367.72,1398.3200000000002,1418.12,1424.2799999999997,1422.3200000000002,1389.16,1337.5200000000002,1270.72
4,1236.12,1267.6399999999999,1280.2,1274.8799999999999,1246.9600000000003,1202.3999999999999,1157.5199999999998,1116.76,1080.6000000000001,1057.7199999999998,1054.4000000000003,1063.8000000000002,1077.8000000000004,1099.8000000000002,1127.92,1156.9599999999998,1188.44,1223.0800000000002,1260.0000000000002,1299.48,1335.5600000000002,1367.72,1398.3200000000002,1418.12,1424.2799999999997,1422.3200000000002,1389.16,1337.5200000000002,1270.72,1186.2,1089.44,1012.8,950.0399999999998,901.1600000000003,866.5599999999998,853.3599999999999,864.68,895.24,946.84,1013.1599999999999,1084.2399999999998,1153.6,1228.9599999999998,1315.96,1410.5599999999995,1503.5199999999995,1586.0,1655.4000000000003,1708.2000000000007,1746.9199999999994,1770.9599999999996,1779.3599999999994,1767.1600000000008,1738.9999999999995,1694.9200000000003,1645.1599999999994,1600.9199999999996,1522.1200000000006,1428.2000000000003,1333.2000000000003,1233.24,1127.44,1053.1999999999998,978.6000000000001,900.96,799.5200000000002,641.1600000000001,473.1200000000002,319.9200000000001,182.12000000000006,81.60000000000001,49.28,37.720000000000006,30.959999999999994,23.919999999999998,18.28,12.239999999999993,8.080000000000002,4.639999999999997,2.1600000000000015,-0.6400000000000046,-0.6800000000000028,-1.7600000000000064,-5.000000000000007,-6.20000000000001,-8.000000000000004,-9.360000000000007,-9.080000000000005,-8.680000000000001,-9.760000000000012,-7.20000000000001,-8.480000000000011,-9.360000000000007,-9.200000000000005,-10.520000000000003,-12.16,-13.680000000000003,-14.960000000000004,-17.680000000000003,-12.320000000000011,-10.760000000000009,8.440000000000003,91.68,331.96,754.0399999999998,1174.16,1458.2800000000002,1625.2400000000007,1628.76,1475.24,1380.3200000000004,1375.6,1425.6000000000004,1499.48,1559.5600000000004,1571.04,1604.1600000000003,1625.2800000000002,1619.0800000000004,1586.1200000000008,1533.2399999999998,1479.3200000000002,1421.3200000000002,1355.76,1272.6800000000003,1181.28,1065.2,953.8799999999997,848.5199999999998,762.7600000000002,699.96,704.24,758.4000000000002,841.5199999999999,941.4799999999999,1048.6799999999998,1120.2000000000003,1113.9199999999996,1080.7199999999998,1026.3200000000002,957.6400000000003,889.72,862.0399999999997,877.0800000000002,941.9199999999998,1038.5200000000002,1155.72,1273.32,1354.4399999999998,1393.0799999999997,1399.6000000000004,1382.0800000000004,1358.7200000000003,1338.04,1321.04,1310.0000000000002,1300.6800000000003,1288.0,1274.0400000000006,1263.2400000000002,1251.3200000000002,1244.5199999999995,1243.1200000000003,1247.6399999999994,1245.7199999999996,1249.6,1251.44,1252.88,1255.32,1287.1200000000003,1312.3599999999997
5,1310.0000000000002,1300.6800000000003,1288.0,1274.0400000000006,1263.2400000000002,1251.3200000000002,1244.5199999999995,1243.1200000000003,1247.6399999999994,1245.7199999999996,1249.6,1251.44,1252.88,1255.32,1287.1200000000003,1312.3599999999997,1331.64,1338.56,1334.6799999999998,1298.3199999999997,1248.4800000000007,1188.92,1125.6800000000003,1046.1199999999997,955.8400000000003,863.8,778.2399999999999,701.0800000000002,642.8800000000001,598.3199999999999,569.2399999999999,547.2399999999999,541.3199999999999,555.28,585.2800000000002,628.2800000000001,690.8399999999999,763.8799999999999,837.8399999999999,941.6400000000001,1067.08,1205.24,1344.0400000000002,1491.5200000000002,1608.3199999999997,1700.84,1766.3200000000004,1807.56,1823.8799999999997,1820.1599999999996,1800.1600000000003,1773.0800000000006,1743.9199999999998,1711.6400000000003,1679.7200000000003,1642.0399999999997,1590.6799999999998,1520.1200000000001,1434.92,1339.4800000000002,1232.5199999999998,1124.96,1019.3599999999998,892.6800000000001,683.8400000000004,499.71999999999974,330.08000000000004,183.44000000000005,73.12000000000002,64.08,52.240000000000016,46.040000000000006,42.03999999999999,36.72,32.04,29.320000000000007,26.880000000000003,25.560000000000002,25.040000000000003,23.680000000000007,22.0,19.200000000000003,13.120000000000003,12.800000000000004,11.040000000000003,10.680000000000001,9.800000000000002,10.0,8.999999999999998,8.079999999999997,8.840000000000002,8.399999999999999,9.24,8.600000000000003,8.239999999999995,5.479999999999995,5.479999999999995,5.999999999999991,7.79999999999999,38.92000000000001,160.84000000000003,423.4,839.9200000000001,1238.5200000000004,1521.7599999999998,1669.5600000000002,1667.7200000000003,1523.8000000000004,1434.1600000000003,1467.2400000000002,1539.6799999999998,1593.7600000000002,1607.6400000000003,1575.7599999999998,1512.2399999999996,1458.8799999999999,1424.8400000000001,1414.6399999999999,1409.3999999999999,1392.4399999999998,1364.7199999999998,1333.9999999999998,1291.2399999999996,1245.4,1217.6800000000005,1192.1199999999997,1163.6000000000004,1134.44,1095.8799999999999,1037.24,968.7599999999996,905.7999999999998,857.8800000000001,826.7600000000002,810.1200000000001,812.2400000000001,853.4,919.3199999999999,1010.08,1115.5199999999995,1229.88,1316.0399999999997,1378.1200000000003,1398.9599999999998,1387.96,1348.1200000000001,1295.3999999999999,1224.32,1152.4399999999996,1080.92,1018.3999999999999,962.48,939.9600000000003,951.2,1000.4399999999998,1070.6399999999999,1157.3199999999997,1233.8799999999999,1293.5599999999995,1326.92,1344.96,1347.5599999999995,1343.48,1334.5200000000004,1318.2399999999993,1302.2799999999997,1287.1200000000001,1267.8799999999992,1248.3199999999997,1235.2800000000002,1218.68
6,1326.92,1344.96,1347.5599999999995,1343.48,1334.5200000000004,1318.2399999999993,1302.2799999999997,1287.1200000000001,1267.8799999999992,1248.3199999999997,1235.2800000000002,1218.68,1202.56,1188.3199999999997,1175.7600000000004,1164.04,1155.3200000000004,1142.8800000000003,1131.9600000000003,1123.1999999999996,1114.32,1107.16,1104.2000000000003,1102.7200000000003,1103.12,1103.3600000000001,1100.9599999999998,1093.92,1078.1200000000001,1047.52,1000.6799999999998,944.4000000000001,878.2800000000002,811.16,752.2799999999999,709.0400000000002,689.1200000000002,712.8000000000004,783.88,882.2800000000002,985.6,1077.08,1152.8,1219.3199999999997,1290.5599999999995,1374.36,1467.3600000000001,1556.36,1635.6000000000004,1685.5999999999995,1717.4799999999998,1731.6000000000004,1721.3999999999996,1682.4799999999996,1638.6,1595.0000000000005,1561.92,1540.8400000000006,1528.2000000000003,1950.4000000000003,2362.4000000000005,2311.3200000000006,2255.2,2186.6400000000003,1671.6000000000001,1152.56,1063.9599999999996,943.0000000000002,773.2400000000002,581.1599999999999,400.99999999999994,249.39999999999998,135.64000000000001,85.23999999999998,73.92,65.72,58.76000000000002,52.080000000000005,43.40000000000001,39.08,34.92,32.24000000000001,29.000000000000004,27.28,25.400000000000006,24.600000000000005,21.960000000000004,24.960000000000004,26.6,29.96,32.88,37.96,41.239999999999995,47.08,50.52,50.56000000000002,52.480000000000004,51.56,52.160000000000004,57.52,112.28,264.28,567.3199999999998,892.32,1178.04,1386.1999999999998,1511.0400000000004,1518.4800000000005,1517.8000000000006,1558.8000000000006,1625.2800000000002,1674.560000000001,1703.36,1725.5199999999998,1740.8,1761.8400000000001,1778.3600000000006,1778.6800000000003,1764.2400000000002,1738.44,1699.7200000000003,1646.3200000000004,1575.0800000000002,1478.0400000000002,1360.8399999999997,1219.6800000000003,1062.08,901.1999999999998,755.5600000000001,627.72,527.52,462.08,418.24000000000007,388.84,368.8800000000001,356.52000000000004,355.55999999999995,360.32000000000005,368.48,379.56000000000006,391.64000000000004,389.9200000000001,382.92,365.4400000000001,343.4,316.52,288.44,260.72,235.35999999999996,210.72,189.88,169.07999999999998,145.64000000000001,122.88000000000002,103.28,83.08000000000001,68.52000000000001,58.280000000000015,53.599999999999994,47.99999999999999,46.56,44.32,44.03999999999999,46.239999999999995,73.64000000000001,118.00000000000003,189.76000000000005,279.6,380.15999999999997,463.4400000000001,567.5200000000001
7,1302.6799999999998,1388.8799999999997,1439.3199999999993,1465.0400000000004,1472.44,1468.9599999999996,1456.2400000000005,1444.9200000000005,1429.6399999999999,1413.7600000000002,1395.0,1377.2800000000002,1353.0000000000005,1327.2000000000005,1307.2799999999997,1297.12,1297.0,1309.7200000000005,1328.2000000000003,1345.24,1356.9999999999998,1360.12,1354.12,1343.6799999999998,1327.0000000000002,1307.8800000000006,1282.28,1243.3600000000001,1163.44,1078.56,991.72,907.24,836.3600000000001,805.92,795.7200000000001,818.64,898.4399999999999,999.5200000000004,1109.04,1216.2399999999998,1368.6000000000008,1485.2000000000003,1591.8000000000002,1702.3200000000002,1812.6400000000003,1852.44,1878.9600000000007,1890.3199999999997,1876.72,1843.3599999999997,1800.0799999999997,1750.7600000000004,1704.1200000000001,1665.4799999999993,1629.2399999999998,1584.2799999999997,1533.4000000000005,1470.7600000000002,1396.7200000000005,1316.6000000000004,1237.7200000000005,1152.5999999999997,1057.9200000000003,938.9199999999998,772.9200000000002,583.0399999999997,405.8800000000001,251.87999999999997,137.56000000000006,83.35999999999999,69.44,57.56,48.28000000000001,43.43999999999999,40.32,36.400000000000006,35.6,32.8,28.160000000000004,24.880000000000003,22.639999999999997,21.400000000000002,21.800000000000008,22.640000000000008,22.920000000000005,22.320000000000004,21.040000000000006,21.40000000000001,21.400000000000002,21.959999999999997,23.32,24.640000000000004,199.55999999999997,559.1599999999999,970.9200000000002,1321.7199999999998,1598.12,1683.9999999999995,1699.04,1651.2400000000005,1668.760000000001,1767.6800000000003,1882.0800000000002,1883.08,1881.8800000000003,1859.2399999999993,1823.2400000000005,1780.7600000000004,1740.6000000000001,1707.7200000000007,1687.08,1661.2400000000002,1614.0799999999997,1534.1999999999994,1436.7199999999996,1316.9999999999995,1187.7200000000003,1062.92,945.8399999999999,829.4799999999998,726.8799999999999,641.4399999999996,575.96,534.3599999999999,515.5600000000001,510.15999999999997,514.76,536.24,563.2,610.1200000000001,662.6400000000001,713.8800000000001,751.48,787.6800000000003,803.2400000000001,801.3199999999999,788.04,768.44,738.12,702.96,675.0799999999999,649.36,624.08,606.04,591.08,575.8000000000001,566.8400000000001,565.3199999999999,557.04,549.1999999999999,535.7199999999999,504.7600000000001,465.7200000000001,433.44000000000005,398.55999999999995,370.36,357.20000000000005,350.28,341.80000000000007,336.72,332.8,332.88,331.59999999999997,329.76,330.96000000000004,337.76,351.4799999999999,384.4800000000001,447.68,521.3199999999999,606.9200000000001
8,1373.88,1374.6000000000004,1373.9599999999998,1375.2399999999998,1378.6800000000003,1382.6799999999998,1385.3600000000001,1391.4800000000005,1398.3200000000002,1405.52,1409.7200000000007,1414.8400000000006,1417.6400000000008,1418.2400000000007,1418.320000000001,1420.2000000000003,1422.200000000001,1425.1999999999996,1430.1600000000003,1434.92,1442.6000000000001,1448.0800000000002,1450.6400000000003,1452.8000000000004,1452.0799999999997,1444.1999999999998,1437.8000000000004,1429.1200000000003,1415.32,1394.8400000000001,1372.7600000000002,1343.6400000000006,1308.16,1266.5599999999995,1226.44,1188.44,1152.6000000000001,1129.2000000000003,1120.6,1125.5200000000002,1167.5999999999997,1224.04,1288.9200000000003,1355.0000000000002,1422.16,1462.3600000000001,1499.9199999999998,1534.2,1566.2,1593.0399999999993,1617.8000000000002,1637.44,1650.08,1655.9600000000005,1652.8,1642.8799999999999,1622.04,1593.88,1568.8800000000003,1548.5200000000002,1532.6799999999998,1529.2799999999993,1540.6399999999996,1552.1999999999996,1565.6400000000006,1561.0800000000004,1541.2399999999986,1374.6799999999994,1128.96,852.4,595.28,346.39999999999986,233.20000000000002,198.32,194.20000000000005,186.36,179.64000000000004,174.84000000000006,170.44000000000003,166.44000000000005,163.12000000000006,160.36000000000004,159.32000000000005,157.44,156.72000000000003,155.92000000000007,154.2,156.00000000000003,159.20000000000005,158.40000000000003,155.80000000000007,155.20000000000002,155.04000000000005,168.52,199.83999999999995,352.71999999999986,676.1599999999999,981.2000000000003,1250.64,1468.3200000000002,1587.8800000000003,1583.44,1634.9999999999998,1720.0800000000004,1828.08,1896.04,1917.96,1903.8399999999995,1877.8400000000008,1857.1600000000003,1845.4000000000005,1823.0000000000002,1780.6399999999996,1724.92,1666.5600000000004,1609.7599999999995,1550.6,1489.9600000000003,1425.8400000000004,1360.7999999999997,1298.44,1245.8799999999999,1208.0399999999997,1188.3200000000002,1183.6399999999999,1181.4000000000005,1190.16,1208.5600000000002,1228.52,1246.2799999999997,1259.5600000000002,1256.7599999999998,1249.0400000000004,1247.24,1250.6400000000003,1259.52,1272.3599999999994,1280.0799999999995,1267.7999999999997,1239.3199999999997,1199.1999999999998,1151.0800000000002,1088.6799999999998,1029.3200000000002,975.6000000000001,991.1199999999999,1032.5599999999997,1102.0,1191.8400000000001,1293.3999999999996,1338.8400000000001,1372.7999999999997,1398.0799999999997,1414.7999999999997,1430.16,1449.9599999999998,1476.0400000000002,1501.2399999999996,1520.1999999999994,1537.7600000000002,1555.92,1567.9600000000005,1573.2799999999997,1576.88,1574.48,1565.3200000000002,1550.3600000000001,1539.9199999999998,1532.4000000000005,1522.6800000000005,1513.5600000000002
9,1102.0,1191.8400000000001,1293.3999999999996,1338.8400000000001,1372.7999999999997,1398.0799999999997,1414.7999999999997,1430.16,1449.9599999999998,1476.0400000000002,1501.2399999999996,1520.1999999999994,1537.7600000000002,1555.92,1567.9600000000005,1573.2799999999997,1576.88,1574.48,1565.3200000000002,1550.3600000000001,1539.9199999999998,1532.4000000000005,1522.6800000000005,1513.5600000000002,1507.2800000000007,1500.5199999999998,1494.88,1491.4400000000003,1484.6000000000008,1478.44,1467.9600000000005,1456.88,1442.9599999999998,1426.76,1399.4400000000003,1369.0800000000004,1329.6399999999999,1288.4400000000005,1243.8799999999997,1209.5200000000004,1180.6800000000003,1165.2800000000002,1157.1999999999998,1164.1199999999997,1178.12,1206.84,1243.28,1287.7600000000002,1337.5200000000004,1391.76,1450.9599999999998,1503.8800000000006,1554.12,1607.2800000000009,1664.5999999999995,1710.6799999999992,1758.0800000000002,1795.56,1821.0000000000002,1822.8000000000004,1763.92,1676.28,1512.6799999999998,1320.2400000000002,1115.6400000000003,931.84,692.5200000000002,530.68,394.1600000000002,278.72,196.92000000000002,192.76,188.52000000000004,185.99999999999994,181.2,177.03999999999996,172.67999999999995,171.52,170.00000000000003,170.88000000000005,169.88000000000005,171.72000000000003,170.68,168.96000000000006,168.72000000000006,169.72,169.56,171.76,176.12000000000006,180.0,183.0,183.04000000000008,181.2400000000001,179.8,176.44000000000005,173.88000000000002,175.68,189.32000000000005,223.16000000000003,282.91999999999996,504.0400000000002,795.9599999999999,1091.52,1356.6800000000003,1536.2400000000007,1551.3600000000001,1515.24,1499.9200000000003,1541.9600000000005,1660.9600000000003,1759.0399999999993,1829.2800000000007,1856.6,1822.12,1758.2800000000004,1700.0799999999995,1621.2400000000002,1530.2399999999993,1434.3999999999996,1327.8799999999997,1223.6000000000001,1122.44,1018.9599999999999,925.6399999999999,847.5599999999997,780.7599999999998,734.6799999999998,707.3600000000001,686.0,668.9200000000001,655.3599999999999,642.6,641.8399999999999,697.5999999999999,779.92,872.8399999999999,962.1599999999999,1037.76,1049.8,1031.7600000000002,994.5600000000001,948.0800000000003,895.1200000000001,844.0,799.1600000000001,760.5999999999999,732.8799999999999,706.4400000000002,684.84,663.2400000000002,644.6400000000001,638.6399999999999,659.1999999999998,734.3999999999999,853.28,995.0000000000001,1143.64,1283.1200000000001,1367.0,1393.5599999999995,1380.9199999999998,1337.6400000000003,1276.88,1213.2799999999997,1157.2799999999997,1112.8800000000003,1080.1599999999999,1131.6000000000001,1197.2000000000003,1277.4800000000002,1365.8000000000002
10,1401.08,1417.8399999999997,1416.04,1411.2399999999996,1411.7199999999993,1414.1200000000001,1418.88,1418.04,1415.9599999999998,1412.5200000000002,1407.2799999999993,1402.12,1402.0399999999995,1404.2799999999997,1406.4,1412.5199999999998,1417.6399999999996,1423.2,1427.84,1428.5600000000004,1423.5600000000004,1403.1999999999998,1377.3999999999999,1340.9999999999998,1291.8800000000006,1230.6000000000004,1168.9600000000003,1099.1599999999999,1027.08,963.2799999999997,915.7999999999997,895.7599999999998,897.6,928.4,973.4400000000002,1025.48,1079.8799999999997,1136.3999999999996,1188.04,1248.76,1318.2799999999997,1402.92,1478.6400000000008,1557.1599999999999,1643.6799999999996,1721.3200000000004,1773.28,1825.3199999999993,1860.6000000000001,1833.2399999999996,1751.8399999999997,1806.0,2165.2400000000002,2532.0,2943.52,3419.9599999999996,3744.0,3368.7600000000016,2925.4400000000005,2477.4,1999.12,1518.3600000000001,1377.8000000000006,1222.7599999999998,991.9599999999998,779.2799999999997,587.5999999999999,435.4800000000001,358.31999999999994,353.52,342.96,327.32,320.64,312.72,301.9599999999999,291.44000000000005,277.56000000000006,266.0,259.03999999999996,256.12,251.99999999999997,249.84000000000003,246.23999999999998,239.84,232.79999999999998,226.87999999999994,223.64,219.04000000000005,212.36000000000004,206.04000000000002,198.84000000000006,191.16,185.04,181.00000000000003,176.27999999999997,172.08000000000004,450.79999999999995,691.92,989.7199999999998,1331.2399999999998,1671.1600000000003,1722.4,1797.1999999999998,1817.8400000000004,1801.7199999999993,1794.1999999999998,1790.24,1800.0000000000002,1802.9599999999998,1795.6800000000007,1777.5600000000004,1760.1599999999999,1742.2799999999997,1729.5600000000002,1718.0800000000006,1707.9200000000003,1696.1600000000003,1685.6400000000003,1675.8000000000006,1668.04,1663.2400000000005,1655.0400000000004,1647.0400000000004,1636.12,1626.5600000000004,1613.9600000000003,1598.9999999999998,1576.1599999999999,1547.72,1509.24,1465.6400000000003,1423.8000000000002,1384.8000000000002,1344.4399999999998,1302.04,1255.4000000000003,1193.08,1137.96,1095.5199999999998,1069.6799999999998,1101.48,1185.04,1289.8400000000001,1418.1199999999997,1535.76,1601.88,1636.92,1645.8399999999997,1624.5200000000004,1601.9199999999998,1577.56,1542.8000000000002,1498.08,1360.6400000000008,1230.3200000000002,1111.44,1032.2,988.5600000000001,1059.5600000000002,1157.1200000000001,1262.56,1351.4000000000005,1413.08,1450.52,1476.4,1509.68,1527.2799999999997,1539.3999999999999,1544.3600000000004,1526.0400000000004,1481.3999999999999
