Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,46.760000000000005,49.599999999999994,52.63999999999999,55.32,57.72,59.400000000000006,61.12,62.0,62.919999999999995,63.63999999999999,63.68000000000001,63.68000000000001,63.800000000000004,64.16,64.76,65.76,67.16,68.88,70.52000000000001,72.28,74.16000000000001,76.36000000000001,78.24000000000001,80.04,81.24,81.84,81.32000000000001,80.03999999999999,77.64,74.55999999999999,71.03999999999999,66.96,62.63999999999999,58.91999999999999,56.15999999999999,54.92,55.52000000000001,57.919999999999995,61.480000000000004,65.91999999999999,69.76,73.0,76.52000000000001,79.72,82.75999999999999,86.24000000000001,90.27999999999999,93.75999999999999,96.92,99.95999999999998,102.6,104.8,106.71999999999998,108.55999999999999,109.75999999999998,110.0,109.32000000000001,107.12,103.04000000000002,97.44,90.47999999999999,81.52000000000001,70.36000000000001,56.39999999999999,40.76,27.36,16.52,8.72,5.359999999999999,5.159999999999998,4.719999999999999,4.2,4.04,3.92,3.7199999999999998,3.6,3.4799999999999995,3.36,3.1599999999999997,3.0399999999999996,3.0399999999999996,2.9599999999999995,2.8,2.76,2.5999999999999996,2.2399999999999993,2.079999999999999,1.8800000000000001,1.8,1.68,1.72,1.76,1.9600000000000002,2.0,11.16,28.559999999999995,46.28000000000001,61.879999999999995,79.48,88.92,90.32000000000001,85.68,81.52,73.72,64.12,52.6,44.32,33.88,24.800000000000004,16.56,10.04,5.76,5.319999999999999,5.239999999999999,5.08,4.88,4.88,4.92,5.12,5.640000000000001,6.040000000000001,6.279999999999999,6.32,6.16,5.840000000000002,5.440000000000001,5.200000000000001,4.960000000000001,4.48,4.08,3.7600000000000007,3.2800000000000002,2.7600000000000002,2.3199999999999994,1.8800000000000003,1.52,1.2800000000000002,1.1600000000000001,1.2800000000000002,1.3600000000000003,1.3599999999999997,1.7200000000000002,2.28,3.08,3.9600000000000004,4.800000000000001,5.360000000000001,5.84,6.000000000000001,6.3999999999999995,7.239999999999999,8.04,8.84,9.6,9.84,9.879999999999999,9.68,9.559999999999999,10.079999999999998,11.0,12.04,13.760000000000002,15.959999999999999,19.0,22.2,25.6,29.639999999999997,33.919999999999995,37.16,40.519999999999996,43.720000000000006
2,10.079999999999998,11.0,12.04,13.760000000000002,15.959999999999999,19.0,22.2,25.6,29.639999999999997,33.919999999999995,37.16,40.519999999999996,43.720000000000006,46.44,48.800000000000004,50.76,52.44,53.71999999999999,54.519999999999996,54.959999999999994,55.88,56.800000000000004,58.56,60.52,62.559999999999995,63.92000000000001,64.96000000000001,65.08000000000001,64.52000000000001,63.72,63.120000000000005,61.56000000000001,59.96,58.36000000000001,56.44,53.83999999999999,51.879999999999995,49.839999999999996,47.83999999999999,46.16,45.32,45.24,45.8,46.88000000000001,48.279999999999994,50.24,55.4,61.20000000000001,67.48,74.08000000000001,80.71999999999998,84.35999999999999,87.52,90.67999999999999,93.35999999999999,95.72,98.0,100.12,101.72,103.36,104.56,105.08,104.88,104.12,102.44,100.03999999999998,96.84000000000002,79.52000000000001,60.88,42.839999999999996,25.359999999999996,8.8,6.52,5.88,5.28,4.88,4.520000000000001,4.28,4.0,3.84,3.5999999999999996,3.44,3.3600000000000003,3.3200000000000003,3.24,3.16,3.04,2.92,2.88,2.8000000000000003,2.7200000000000006,2.6400000000000006,2.6800000000000006,2.7200000000000006,2.72,6.84,14.56,22.92,26.64,31.96,34.0,34.6,35.32,40.88,45.760000000000005,50.120000000000005,52.52,54.040000000000006,55.28,55.080000000000005,54.36,53.08,48.080000000000005,42.519999999999996,37.12,31.639999999999997,26.04,23.759999999999998,21.76,20.28,18.56,17.64,18.12,19.439999999999998,21.04,23.559999999999995,25.959999999999997,27.32,28.160000000000004,29.60000000000001,31.44,34.56,39.2,45.16,50.599999999999994,55.519999999999996,59.480000000000004,62.56,64.60000000000001,66.68,68.67999999999999,70.28,71.32000000000001,71.80000000000001,71.12,69.72000000000001,68.0,66.0,64.03999999999999,62.599999999999994,61.72,61.040000000000006,60.64,60.559999999999995,60.92000000000001,61.88,64.03999999999999,67.52,71.8,76.28,80.11999999999999,82.64,83.24,81.68000000000002,74.27999999999999,65.80000000000001,56.56000000000001,47.56000000000001,42.6,44.72,49.48
3,31.44,34.56,39.2,45.16,50.599999999999994,55.519999999999996,59.480000000000004,62.56,64.60000000000001,66.68,68.67999999999999,70.28,71.32000000000001,71.80000000000001,71.12,69.72000000000001,68.0,66.0,64.03999999999999,62.599999999999994,61.72,61.040000000000006,60.64,60.559999999999995,60.92000000000001,61.88,64.03999999999999,67.52,71.8,76.28,80.11999999999999,82.64,83.24,81.68000000000002,74.27999999999999,65.80000000000001,56.56000000000001,47.56000000000001,42.6,44.72,49.48,56.79999999999999,65.99999999999999,73.92000000000002,81.27999999999999,87.91999999999999,93.75999999999999,98.4,101.80000000000001,104.03999999999999,104.79999999999998,104.43999999999998,103.36,101.88,100.40000000000002,99.60000000000001,98.63999999999999,97.16,94.60000000000001,90.83999999999999,85.87999999999997,79.92,72.47999999999999,61.719999999999985,47.32,34.2,22.44,13.08,8.120000000000001,7.840000000000002,7.480000000000001,7.080000000000002,6.7200000000000015,6.320000000000001,6.160000000000002,6.040000000000001,6.000000000000001,5.840000000000001,5.720000000000001,5.640000000000001,5.360000000000001,5.240000000000001,5.080000000000001,5.000000000000001,4.800000000000001,4.840000000000002,4.6800000000000015,4.720000000000001,4.680000000000001,4.6000000000000005,4.320000000000001,4.16,3.8400000000000003,3.72,3.6000000000000005,3.6000000000000005,3.5600000000000005,3.5600000000000005,3.6000000000000005,3.6400000000000006,4.32,7.040000000000001,9.360000000000001,11.68,13.52,14.439999999999998,13.079999999999998,12.32,11.6,11.6,12.040000000000001,12.48,12.719999999999997,12.639999999999999,12.239999999999998,11.72,11.24,10.760000000000002,10.440000000000001,9.920000000000002,8.799999999999999,7.959999999999999,7.000000000000001,6.12,5.96,6.28,6.680000000000001,7.280000000000001,7.68,7.840000000000001,8.16,8.4,8.680000000000001,9.280000000000001,9.84,10.440000000000001,11.0,11.760000000000002,12.44,13.600000000000001,15.48,18.160000000000004,21.28,24.96,29.239999999999995,33.31999999999999,37.239999999999995,40.64,43.6,45.6,47.00000000000001,47.72,48.279999999999994,48.56,48.31999999999999,47.8,47.16,46.440000000000005,45.52,44.6,43.519999999999996,42.24000000000001,40.599999999999994,38.96,37.279999999999994,35.56,33.4,31.36,28.639999999999997,25.759999999999998,22.799999999999997
4,21.28,24.96,29.239999999999995,33.31999999999999,37.239999999999995,40.64,43.6,45.6,47.00000000000001,47.72,48.279999999999994,48.56,48.31999999999999,47.8,47.16,46.440000000000005,45.52,44.6,43.519999999999996,42.24000000000001,40.599999999999994,38.96,37.279999999999994,35.56,33.4,31.36,28.639999999999997,25.759999999999998,22.799999999999997,20.08,17.360000000000003,15.44,13.920000000000002,13.280000000000001,13.32,13.6,14.0,14.879999999999999,15.879999999999999,17.44,19.6,22.400000000000002,25.64,29.84,34.52,39.599999999999994,44.64,49.04,52.32,54.55999999999999,55.96000000000001,57.16,58.28,59.32,60.4,61.400000000000006,62.24,63.440000000000005,64.4,65.16,65.88,66.32,66.11999999999999,65.52,64.03999999999999,59.76,49.84,38.04,26.400000000000002,15.439999999999998,7.12,4.680000000000001,4.08,3.64,3.28,3.1200000000000006,2.7600000000000002,2.64,2.52,2.4800000000000004,2.3200000000000003,2.3200000000000003,2.16,1.96,1.88,1.84,1.76,1.72,1.72,1.72,1.72,1.6800000000000004,1.64,1.68,1.5999999999999999,1.5999999999999999,1.5599999999999998,1.52,1.4399999999999997,1.3999999999999997,1.3199999999999998,1.36,7.88,15.6,20.319999999999997,23.96,30.56,32.92000000000001,34.519999999999996,39.239999999999995,45.2,48.67999999999999,49.88000000000001,50.88,51.67999999999999,52.11999999999999,51.92,51.519999999999996,49.00000000000001,45.92000000000001,42.16,37.84,32.88,29.080000000000005,25.08,21.0,16.44,12.44,8.92,6.359999999999999,5.079999999999999,5.119999999999999,6.32,8.120000000000001,10.4,13.68,17.279999999999998,20.200000000000003,22.64,24.48,24.800000000000004,24.559999999999995,24.32,25.08,27.439999999999998,30.36,34.2,38.56,42.32,44.72,46.76,47.8,48.040000000000006,47.440000000000005,45.959999999999994,43.6,40.28,36.04,31.88,28.0,24.759999999999998,22.64,21.28,20.4,19.560000000000002,19.0,18.24,17.88,17.92,22.64,28.48
5,43.6,40.28,36.04,31.88,28.0,24.759999999999998,22.64,21.28,20.4,19.560000000000002,19.0,18.24,17.88,17.92,22.64,28.48,35.4,42.839999999999996,50.68000000000001,54.559999999999995,57.47999999999999,59.6,61.12000000000001,61.480000000000004,60.92000000000001,59.51999999999999,57.559999999999995,55.16,52.879999999999995,50.800000000000004,49.08,47.839999999999996,47.48,47.67999999999999,48.6,50.160000000000004,52.160000000000004,54.04,56.039999999999985,58.15999999999999,60.07999999999999,61.79999999999999,62.96,63.519999999999996,63.71999999999999,64.44,65.36,66.96,69.16,71.83999999999999,74.19999999999999,76.52000000000001,78.68,80.80000000000001,82.60000000000002,84.44000000000001,85.96,86.96,87.28,86.52,84.48,81.36,76.72,69.0,53.92000000000001,39.64,26.12,14.320000000000002,5.8,5.36,4.72,4.36,3.9200000000000004,3.44,3.1599999999999997,3.1599999999999997,3.0399999999999996,3.0399999999999996,3.1599999999999997,3.0399999999999996,2.8399999999999994,2.7599999999999993,2.4799999999999995,2.3999999999999995,2.3599999999999994,2.4399999999999995,2.3599999999999994,2.4399999999999995,2.4399999999999995,2.3199999999999994,2.1999999999999997,2.0,1.96,1.88,1.7599999999999998,1.6400000000000001,1.6400000000000003,1.4800000000000004,1.2800000000000002,4.04,11.32,18.56,23.24,27.880000000000003,31.88,33.56,35.88,40.96,46.32,49.599999999999994,50.839999999999996,51.76,52.68,53.4,54.36,54.68,54.67999999999999,54.400000000000006,53.83999999999999,51.28,48.48,45.00000000000001,40.919999999999995,36.52,33.24,30.160000000000004,27.240000000000002,24.4,21.400000000000002,18.4,15.440000000000001,12.880000000000003,10.92,9.839999999999998,9.600000000000001,10.040000000000001,11.76,14.399999999999999,16.56,18.960000000000004,21.68,23.88,25.800000000000004,28.280000000000005,30.480000000000004,32.120000000000005,33.04,32.92,32.36000000000001,31.44,30.32,29.160000000000004,28.040000000000003,26.92,25.799999999999994,24.92,24.479999999999997,25.0,26.160000000000007,28.2,30.96,34.08,37.120000000000005,40.0,42.28,44.12,45.6,46.839999999999996,47.919999999999995,49.2,51.32000000000001
6,28.2,30.96,34.08,37.120000000000005,40.0,42.28,44.12,45.6,46.839999999999996,47.919999999999995,49.2,51.32000000000001,53.400000000000006,55.36,57.40000000000001,59.199999999999996,59.96,60.48,61.040000000000006,61.440000000000005,61.76,62.04,62.400000000000006,62.36,62.28,62.0,61.32,60.24000000000001,58.839999999999996,56.800000000000004,54.56,52.28000000000001,49.879999999999995,47.64000000000001,45.75999999999999,43.879999999999995,40.84,37.440000000000005,34.279999999999994,31.64,30.040000000000003,30.840000000000007,33.239999999999995,36.88,41.0,45.08,48.68,51.839999999999996,54.28,56.2,57.88,59.40000000000001,60.79999999999999,62.16,63.52,64.56,65.68,66.84,67.96000000000001,79.0,90.39999999999999,91.36,93.08,94.60000000000001,85.75999999999999,75.96,74.72,69.28000000000002,58.519999999999996,44.12,30.119999999999997,17.560000000000002,8.16,4.12,3.96,3.6799999999999997,3.5199999999999996,3.3599999999999994,2.9200000000000004,2.6,2.5200000000000005,2.48,2.4000000000000004,2.48,2.3200000000000003,2.4000000000000004,2.24,2.2,2.16,2.36,2.36,2.44,2.44,2.52,2.4,2.24,2.2,2.16,2.08,1.88,8.760000000000002,20.320000000000007,31.080000000000002,41.839999999999996,53.2,58.800000000000004,60.35999999999999,62.52,64.08,65.16,64.64,63.04,61.52,60.2,58.599999999999994,57.040000000000006,55.440000000000005,53.76000000000001,52.00000000000001,49.720000000000006,46.36,41.84,35.96,29.240000000000006,22.759999999999998,17.32,13.12,10.32,8.680000000000001,7.680000000000001,7.08,6.800000000000001,6.640000000000001,6.6,6.3999999999999995,6.160000000000001,5.96,5.880000000000001,5.960000000000001,6.08,6.16,6.320000000000001,6.36,6.080000000000001,5.960000000000001,5.640000000000001,5.36,5.08,4.92,4.68,4.68,4.48,4.24,3.88,3.6400000000000006,3.2800000000000002,3.0800000000000005,2.8800000000000003,2.9600000000000004,2.9200000000000004,2.8800000000000003,2.8000000000000003,2.8800000000000003,2.8400000000000003,2.8800000000000003,3.12,3.4400000000000004,3.7600000000000007,4.080000000000001,4.4,4.800000000000001
7,8.24,8.56,9.040000000000001,9.160000000000002,9.32,9.64,11.000000000000002,12.960000000000003,15.2,17.8,20.759999999999998,23.08,25.04,27.2,29.12,30.360000000000003,31.2,31.68,31.56,31.52,31.76,32.04,32.52,33.16,33.4,33.72,33.99999999999999,34.04,33.63999999999999,32.92,31.52,29.6,27.280000000000005,24.720000000000002,21.92,18.92,15.920000000000002,13.44,11.52,10.520000000000001,11.88,14.0,16.560000000000002,19.6,22.84,24.959999999999997,27.32,30.279999999999998,33.52,37.28,41.16,45.16,48.6,51.71999999999999,54.16,56.2,57.88000000000001,59.32,60.519999999999996,61.480000000000004,62.160000000000004,62.28,61.08000000000001,56.879999999999995,48.720000000000006,37.2,25.680000000000003,15.28,7.480000000000001,3.5599999999999996,2.92,2.52,2.0799999999999996,1.9200000000000002,1.7599999999999998,1.8399999999999999,1.8000000000000003,1.7599999999999998,1.6400000000000001,1.6399999999999997,1.52,1.52,1.5599999999999998,1.6799999999999997,1.6399999999999997,1.5600000000000003,1.5599999999999998,1.5599999999999996,1.4799999999999995,1.4799999999999995,1.44,1.4,10.200000000000001,16.68,21.759999999999998,29.08,39.76,43.239999999999995,48.88000000000001,55.839999999999996,60.08,60.16,57.56000000000001,54.44,50.36,45.760000000000005,41.4,37.12,32.959999999999994,29.279999999999998,26.48,23.880000000000003,21.72,19.560000000000002,17.64,15.519999999999998,13.52,11.920000000000002,10.68,9.56,8.8,8.2,7.72,7.48,7.360000000000001,7.279999999999999,7.52,7.68,7.52,7.879999999999999,8.16,8.2,8.28,8.68,8.72,8.719999999999999,8.6,8.479999999999999,8.32,8.04,7.92,7.72,7.4399999999999995,7.239999999999999,7.16,6.92,7.120000000000001,7.6000000000000005,8.24,8.88,9.440000000000001,9.32,8.68,7.760000000000001,6.68,5.5200000000000005,4.840000000000001,4.44,4.080000000000001,3.8400000000000007,3.8000000000000007,3.6800000000000006,3.6400000000000006,3.5600000000000005,3.4400000000000004,3.44,3.5200000000000005,3.8,6.719999999999999,10.04,13.080000000000002
8,72.80000000000001,72.99999999999999,73.12,73.16,73.32,73.35999999999999,73.36000000000001,73.36000000000001,73.28,73.11999999999999,73.0,72.80000000000001,72.35999999999999,72.03999999999999,71.60000000000001,71.08,70.44,69.80000000000001,69.08000000000001,68.47999999999999,68.03999999999999,67.72,67.39999999999999,67.11999999999999,66.64,65.88,65.12,64.36,63.519999999999996,62.48,61.48,60.32000000000001,59.080000000000005,57.720000000000006,56.440000000000005,54.99999999999999,53.28,51.120000000000005,48.480000000000004,45.24,42.08,40.120000000000005,39.88,40.8,43.35999999999999,46.68,50.08,53.08,55.99999999999999,58.48,60.919999999999995,62.92,65.03999999999999,67.24,69.52000000000001,71.92,74.52,77.08000000000001,79.88,83.0,86.4,90.24,94.4,98.67999999999999,103.04,106.80000000000001,109.88,102.00000000000001,86.72,66.60000000000001,46.440000000000005,25.799999999999994,14.959999999999999,10.56,10.160000000000002,9.440000000000001,8.96,8.480000000000002,8.16,7.920000000000001,7.840000000000001,7.5200000000000005,7.4,7.24,7.040000000000001,6.800000000000001,6.64,6.5600000000000005,6.6,6.4,6.16,6.000000000000001,5.880000000000001,5.600000000000001,9.56,23.400000000000002,38.36000000000001,51.92,67.6,80.76,85.83999999999999,90.39999999999999,96.12,98.99999999999999,99.84,98.44000000000001,96.00000000000001,92.92000000000002,89.87999999999998,86.28,81.84,76.68,70.75999999999999,64.19999999999999,57.800000000000004,51.919999999999995,46.760000000000005,42.4,38.6,35.08,32.04,29.16,26.96,25.56,24.879999999999995,24.479999999999997,24.439999999999998,24.64,24.96,25.439999999999998,26.0,26.520000000000003,26.599999999999998,26.4,26.0,25.48,24.68,24.2,23.880000000000003,23.759999999999998,23.68,23.84,23.44,22.759999999999998,21.48,23.799999999999997,26.199999999999996,29.56,33.72,38.72,40.36,42.400000000000006,44.4,46.480000000000004,48.959999999999994,51.84,54.60000000000001,57.440000000000005,59.96,62.16,64.44,66.92,69.12,71.44000000000001,73.67999999999999,75.60000000000001,77.44,79.32000000000001,80.92000000000002,82.24000000000001,83.24000000000001
9,29.56,33.72,38.72,40.36,42.400000000000006,44.4,46.480000000000004,48.959999999999994,51.84,54.60000000000001,57.440000000000005,59.96,62.16,64.44,66.92,69.12,71.44000000000001,73.67999999999999,75.60000000000001,77.44,79.32000000000001,80.92000000000002,82.24000000000001,83.24000000000001,83.84000000000002,84.04,83.96000000000001,83.44000000000001,82.36,80.83999999999999,79.0,76.91999999999999,74.68,72.56,70.32000000000001,68.32000000000001,66.28,64.48,62.52,60.639999999999986,58.360000000000014,55.92,52.959999999999994,49.599999999999994,46.31999999999999,43.879999999999995,42.8,43.239999999999995,45.519999999999996,48.96000000000001,55.28,62.040000000000006,69.12,76.24000000000001,83.16,87.75999999999999,91.96,97.32000000000001,101.91999999999999,106.00000000000001,109.44000000000001,111.56,106.28,98.28,88.00000000000001,74.04,53.88,38.84000000000001,26.200000000000003,15.759999999999996,8.64,8.4,8.000000000000002,7.76,7.44,7.24,6.84,6.64,6.359999999999999,6.159999999999999,6.119999999999999,6.199999999999999,6.079999999999999,5.96,5.84,5.68,5.52,5.4399999999999995,5.5200000000000005,5.640000000000001,5.6,5.48,5.44,5.28,4.96,4.88,4.8,4.68,8.64,16.279999999999998,36.24,59.60000000000001,82.72000000000003,103.67999999999999,119.56,122.48,123.6,127.04,129.64,133.39999999999998,134.52,132.76000000000002,127.39999999999999,119.4,110.36000000000003,102.36000000000001,92.83999999999999,83.11999999999999,73.91999999999999,64.56,56.08,49.400000000000006,44.040000000000006,39.199999999999996,35.44,32.519999999999996,30.28,28.240000000000002,26.4,24.880000000000003,23.68,22.64,22.2,22.439999999999998,22.48,22.880000000000003,22.92,22.16,20.439999999999998,18.6,16.2,14.12,12.32,11.0,10.16,9.479999999999999,9.04,8.6,8.28,8.0,7.88,7.88,8.079999999999998,8.479999999999999,9.08,9.68,10.159999999999998,10.72,11.120000000000001,11.280000000000001,11.32,11.360000000000003,11.239999999999997,11.04,10.800000000000002,10.56,10.280000000000001,10.280000000000001,10.280000000000003,10.320000000000002,10.719999999999999
10,20.840000000000003,22.68,23.880000000000003,24.64,24.959999999999997,25.12,25.08,25.639999999999997,26.719999999999995,28.279999999999998,30.080000000000002,32.480000000000004,34.4,36.440000000000005,38.6,40.84,43.559999999999995,45.96,47.67999999999999,48.519999999999996,48.64,44.959999999999994,40.72,35.96,30.999999999999996,25.96,23.2,20.68,18.4,16.4,14.68,13.36,12.12,11.28,10.88,10.64,10.440000000000001,10.84,11.8,13.680000000000001,17.04,24.520000000000003,32.88,41.72,50.36,58.24000000000001,62.32000000000001,65.56,70.2,72.6,74.96,77.43999999999998,89.36,98.76,109.71999999999998,121.56,133.20000000000002,131.28,124.47999999999999,117.72000000000001,109.15999999999998,98.91999999999999,88.24000000000001,76.32,58.92000000000001,41.32,24.44,11.799999999999999,5.4399999999999995,4.3999999999999995,3.880000000000001,4.12,4.24,4.16,4.04,3.96,3.7199999999999998,3.56,3.6399999999999997,3.6399999999999997,3.5199999999999996,3.5599999999999996,3.5599999999999996,3.36,3.1199999999999997,3.0399999999999996,3.1199999999999997,3.1599999999999997,3.1199999999999997,3.2399999999999998,3.2799999999999994,3.1199999999999997,3.0399999999999996,2.9999999999999996,3.0,2.7199999999999998,4.92,6.4,8.52,11.48,14.720000000000002,15.44,16.76,17.52,17.48,17.520000000000003,17.64,17.759999999999998,17.840000000000003,17.88,17.84,17.64,17.64,17.68,17.64,17.4,17.32,17.08,16.96,16.84,16.96,16.880000000000003,16.88,16.560000000000002,16.479999999999997,16.24,16.119999999999997,15.92,15.920000000000002,15.760000000000002,15.720000000000002,15.8,15.960000000000004,15.920000000000002,15.799999999999999,15.559999999999999,15.16,14.72,14.64,14.600000000000001,14.36,14.440000000000001,14.76,16.159999999999997,17.84,20.28,23.159999999999997,26.24,28.36,30.36,32.24,33.52,34.400000000000006,34.31999999999999,34.04,33.559999999999995,33.48,33.959999999999994,35.400000000000006,37.48,40.239999999999995,44.36,48.28,51.959999999999994,54.52,56.32,57.12,57.839999999999996,58.68,60.199999999999996,61.8
