Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,281.56000000000006,281.6,281.52000000000004,281.48,280.96000000000004,280.28000000000003,280.36,279.5199999999999,278.2,276.51999999999987,274.87999999999994,272.56,270.43999999999994,268.24,265.56000000000006,262.36,260.68,260.0,259.5999999999999,259.48,260.35999999999996,260.27999999999986,260.03999999999996,259.87999999999994,260.15999999999997,260.19999999999993,260.75999999999993,261.91999999999996,263.6,266.0799999999999,268.27999999999986,269.8799999999999,271.59999999999997,273.0,274.24,275.31999999999994,276.3199999999999,276.5199999999999,276.76000000000005,277.12,277.0400000000001,276.1600000000001,275.5200000000001,275.1600000000001,274.76,275.9599999999999,279.36,282.88000000000005,286.6,289.9599999999999,292.6800000000001,293.12,292.43999999999994,290.67999999999995,288.19999999999993,284.72,279.99999999999994,274.44000000000005,268.19999999999993,260.67999999999995,251.43999999999997,240.96,222.68000000000012,196.48000000000002,158.16000000000008,118.75999999999999,81.91999999999999,54.440000000000005,35.44000000000001,30.43999999999999,28.96000000000001,27.760000000000005,26.24000000000001,25.439999999999998,24.480000000000004,23.880000000000003,23.559999999999995,23.04,22.880000000000003,22.599999999999998,21.559999999999995,20.759999999999998,20.560000000000002,19.839999999999996,19.359999999999996,19.519999999999996,19.759999999999998,19.36,18.919999999999995,18.599999999999994,18.08,17.439999999999998,17.479999999999997,17.599999999999998,17.6,17.479999999999997,35.760000000000005,58.08000000000001,101.51999999999995,167.20000000000005,228.36,250.99999999999994,261.36000000000007,249.35999999999993,215.92000000000002,189.48000000000002,183.23999999999995,184.2,185.0,186.60000000000002,189.12000000000006,192.56000000000006,196.36000000000007,200.0,201.23999999999995,198.51999999999987,195.28000000000003,192.99999999999994,191.99999999999994,191.51999999999998,191.75999999999996,191.32,189.07999999999993,182.35999999999996,174.71999999999997,166.24,155.59999999999997,145.0,142.48000000000002,142.60000000000008,144.92000000000002,150.96,160.83999999999997,169.2,178.16000000000008,187.76,206.64000000000001,222.16000000000008,235.95999999999998,246.60000000000008,253.16000000000008,246.28000000000003,237.27999999999997,219.79999999999995,203.64000000000004,189.84,185.8,187.36000000000007,201.87999999999997,223.64000000000004,245.71999999999994,260.40000000000003,270.79999999999995,274.0400000000001,268.35999999999996,260.36,251.4000000000001,241.12000000000006,232.0400000000001,222.72000000000003,213.96,205.80000000000013,200.12000000000003,199.15999999999997,207.11999999999998,219.63999999999993,235.03999999999996,251.1600000000001,264.20000000000005,270.12,272.64
2,272.84000000000003,273.28000000000003,273.2400000000001,273.0400000000001,273.72,274.72,275.28000000000003,277.44,279.52,281.20000000000005,283.44000000000005,285.6000000000001,287.08000000000004,289.0000000000001,290.5200000000001,290.8800000000001,290.8800000000001,289.7600000000001,288.72,284.9200000000001,279.96000000000004,273.8,267.52000000000004,260.56000000000006,256.72,254.56000000000006,255.0,255.92000000000007,257.08,257.56,258.84000000000003,259.64,261.5200000000001,263.52000000000004,266.84000000000003,271.23999999999995,276.3999999999999,281.35999999999996,287.36,292.59999999999997,296.08,297.72,298.68,298.59999999999997,297.52,296.08000000000004,295.12,294.12,293.71999999999997,294.2800000000001,295.48000000000013,298.0,302.68000000000006,307.64000000000004,311.8000000000002,311.76,309.0799999999999,302.9600000000001,296.5600000000001,290.72000000000014,290.48000000000013,292.56000000000006,297.0400000000001,300.20000000000005,301.44000000000017,296.8000000000001,286.6,255.0,214.47999999999996,163.87999999999994,115.47999999999996,70.84000000000005,46.07999999999998,30.80000000000001,26.640000000000008,24.68,23.399999999999995,21.999999999999993,20.919999999999998,21.04,20.679999999999993,20.039999999999996,19.8,19.439999999999998,18.32,17.159999999999997,16.08,15.04,14.279999999999996,13.639999999999999,13.239999999999998,13.239999999999998,13.199999999999998,12.92,12.679999999999998,12.479999999999999,12.52,12.48,12.439999999999998,13.039999999999997,14.199999999999996,23.32000000000002,37.92,68.16000000000003,124.28000000000003,189.3200000000001,230.91999999999996,255.15999999999997,261.36,242.96000000000004,209.64,190.84000000000003,185.00000000000006,184.03999999999996,185.63999999999987,195.64,208.91999999999993,221.79999999999995,233.76000000000002,241.5200000000001,245.24,245.28000000000006,242.96,236.24000000000007,227.5600000000001,217.80000000000007,206.11999999999992,193.68000000000012,182.2800000000001,172.52,164.88000000000014,161.20000000000005,162.55999999999995,168.32000000000005,188.72000000000006,211.88,235.08000000000004,256.0399999999999,275.2,279.71999999999997,281.7199999999999,282.0,280.91999999999985,270.79999999999995,258.08,242.35999999999999,225.56,208.44,203.12,202.44000000000005,205.6,223.2,242.0000000000001,233.48000000000002,222.6799999999999,210.07999999999998,193.79999999999995,182.88,200.95999999999992,222.55999999999997,244.16000000000003,256.08000000000004,253.27999999999997,242.48000000000008,226.28000000000006,214.8,209.92000000000004,219.0,232.43999999999994,249.19999999999996,262.32000000000005
3,274.52,271.9200000000001,268.0400000000001,263.72,259.8,256.64,255.36,255.64000000000004,256.9600000000001,258.0400000000001,259.48,260.96,261.35999999999996,262.48,263.80000000000007,264.4399999999999,264.4,264.35999999999996,263.19999999999993,261.24,259.00000000000006,256.91999999999996,254.28,250.68,247.23999999999995,244.07999999999998,241.79999999999995,240.84000000000003,240.92000000000002,242.4000000000001,244.15999999999997,245.96000000000004,248.88000000000005,253.48,257.7600000000001,262.48,266.44000000000005,269.56,271.68,273.51999999999987,274.7599999999999,275.91999999999985,277.03999999999985,277.8,278.88,280.88000000000005,283.44,285.8,291.2399999999999,296.08000000000015,300.64,303.20000000000005,304.3599999999999,301.48000000000013,296.8000000000001,290.5200000000001,285.12,281.12,278.6399999999999,279.08000000000004,280.23999999999995,271.84000000000003,259.75999999999993,244.51999999999995,225.52,204.51999999999998,189.72000000000006,152.24,116.75999999999999,83.76000000000002,52.68000000000001,25.720000000000002,24.560000000000002,23.519999999999996,22.560000000000002,21.880000000000003,21.16,20.479999999999997,19.759999999999998,19.000000000000007,18.799999999999997,17.88,17.04,16.92,16.519999999999996,15.8,15.52,15.239999999999998,14.4,13.920000000000002,12.84,12.879999999999999,12.44,12.399999999999999,11.879999999999999,11.88,11.52,11.439999999999998,21.12,42.48,105.71999999999997,163.92,208.91999999999996,241.2800000000001,276.08000000000004,272.32000000000005,270.56000000000006,272.8799999999999,270.12000000000006,252.36000000000004,234.92000000000007,224.64000000000004,224.12,234.16000000000005,250.32000000000005,265.12,274.8,282.08000000000004,285.47999999999996,282.6000000000001,275.0799999999999,265.12,254.91999999999985,243.04,230.59999999999997,219.51999999999998,211.79999999999993,208.91999999999996,211.19999999999987,217.15999999999997,224.80000000000007,232.48000000000005,238.28000000000003,242.4799999999999,245.47999999999996,248.36,250.59999999999997,251.6,250.83999999999995,247.76000000000005,244.12000000000003,239.48000000000002,239.51999999999995,242.95999999999995,249.27999999999992,255.23999999999995,260.92,260.91999999999996,257.72,249.71999999999997,240.40000000000003,228.03999999999996,215.55999999999995,202.2,192.40000000000006,184.08000000000004,179.95999999999998,178.00000000000003,179.64000000000007,184.35999999999993,196.48,210.55999999999997,224.92000000000013,237.27999999999992,246.04000000000008,247.20000000000007,244.60000000000008,239.44000000000003,233.0,224.92000000000004,214.48000000000005
4,220.27999999999994,225.95999999999992,232.71999999999997,240.03999999999996,246.23999999999998,251.07999999999996,252.55999999999992,251.79999999999995,250.47999999999993,249.27999999999992,247.56,247.03999999999985,246.59999999999997,245.55999999999995,243.67999999999995,241.79999999999995,238.52000000000007,236.92000000000007,235.68000000000006,235.4000000000001,236.32000000000005,238.48000000000005,239.40000000000003,241.36,242.24000000000007,241.8,241.24000000000007,241.44000000000014,239.84000000000012,237.88000000000002,235.91999999999996,233.23999999999998,230.88,229.60000000000002,229.8400000000001,235.16000000000003,240.96000000000004,246.60000000000002,252.00000000000006,257.84000000000003,259.6000000000001,261.32000000000005,262.32000000000005,262.91999999999996,262.4799999999999,261.31999999999994,260.2399999999999,259.08,259.00000000000006,259.2800000000001,260.72,262.56000000000006,265.44000000000005,267.88,269.7599999999999,270.6,270.75999999999993,269.84000000000003,267.91999999999996,265.31999999999994,262.2800000000001,250.16000000000003,235.2800000000001,218.48,200.92000000000007,182.95999999999998,172.95999999999998,164.68000000000004,155.15999999999997,137.35999999999999,110.79999999999993,82.72,56.44,33.47999999999999,20.6,17.68,17.4,16.6,16.84,17.08,17.279999999999998,17.88,18.4,18.479999999999997,17.999999999999996,17.28,16.400000000000002,15.36,14.280000000000001,14.16,13.88,13.400000000000002,13.479999999999999,13.32,12.799999999999999,12.76,13.32,13.08,13.079999999999998,13.600000000000001,13.68,13.96,16.759999999999998,24.439999999999998,45.720000000000006,94.60000000000002,130.76,170.88000000000002,207.48000000000002,231.39999999999998,228.04000000000005,239.00000000000014,246.08000000000004,251.48000000000008,254.36,256.6000000000001,254.95999999999995,250.56000000000012,244.36,237.12,229.12,221.23999999999998,213.0000000000001,205.2800000000001,199.32000000000005,193.51999999999998,187.96000000000004,183.20000000000005,180.16000000000005,178.07999999999998,176.48,178.12000000000006,181.68,185.68000000000006,190.47999999999996,196.04000000000005,198.03999999999996,196.47999999999996,193.2,185.96000000000004,176.24,167.16000000000008,159.88000000000017,153.96000000000004,150.51999999999998,150.2,151.48,153.47999999999996,157.91999999999993,163.68,172.76000000000005,183.48000000000005,196.2800000000001,214.2,229.84000000000003,240.59999999999994,248.35999999999996,252.35999999999996,246.83999999999995,240.8,233.28000000000003,223.55999999999997,211.83999999999992,200.15999999999997,189.07999999999998,180.1599999999999,172.79999999999998,168.12,165.27999999999997,163.92000000000002,163.32000000000002
5,275.12,277.12,278.75999999999993,279.71999999999997,279.64000000000004,279.5200000000001,277.88,276.7200000000001,275.36,274.96000000000015,274.12,273.24000000000007,271.2800000000001,268.52,264.48,258.91999999999996,252.88,248.15999999999997,244.83999999999997,242.48000000000002,241.95999999999992,242.00000000000006,242.07999999999998,243.0,244.15999999999997,245.44,245.91999999999996,244.60000000000005,243.76000000000002,243.31999999999996,243.2399999999999,243.95999999999998,244.83999999999992,244.36,243.95999999999995,244.68000000000004,246.27999999999997,249.51999999999998,252.91999999999996,256.24,261.84000000000003,267.35999999999996,272.64,278.55999999999995,283.8399999999999,286.24000000000007,288.36,290.91999999999996,293.44,295.4,295.32,294.24,289.24,281.15999999999985,269.52000000000004,256.47999999999996,242.51999999999987,231.48000000000002,222.07999999999998,214.55999999999997,208.2,200.08000000000007,188.76,170.9199999999999,141.44000000000005,107.47999999999996,76.32000000000002,48.52000000000004,27.20000000000001,19.84,17.839999999999996,16.559999999999995,14.920000000000003,14.199999999999998,13.120000000000003,13.120000000000003,12.720000000000002,12.600000000000003,12.960000000000003,12.960000000000004,12.920000000000002,13.280000000000001,13.840000000000002,13.480000000000004,13.64,13.360000000000001,12.96,12.64,12.720000000000002,12.920000000000002,12.840000000000003,12.720000000000002,12.920000000000005,12.480000000000002,12.52,15.920000000000002,22.56000000000001,38.32000000000001,81.19999999999999,134.64,168.64,208.75999999999996,238.59999999999997,235.60000000000002,225.8,235.36000000000004,238.04,243.24000000000007,255.35999999999996,263.64,269.6,272.88000000000005,274.19999999999993,274.08000000000004,272.8800000000001,270.55999999999995,268.71999999999997,266.40000000000003,264.48,262.36,260.75999999999993,259.32,258.36,257.32000000000005,256.84,256.52,255.87999999999997,254.44000000000003,252.59999999999997,250.6400000000001,246.87999999999994,242.07999999999996,236.72000000000008,229.76000000000005,222.2,215.8,208.44000000000003,202.48000000000008,199.36,196.5999999999999,191.56,187.87999999999997,184.71999999999997,180.99999999999997,177.56000000000006,177.27999999999997,178.40000000000003,179.40000000000003,181.36,185.56,191.23999999999998,198.1199999999999,207.24,216.67999999999995,230.36000000000004,244.88000000000005,258.2,269.32000000000005,278.31999999999994,280.52000000000004,279.4,275.76000000000005,269.5200000000001,260.44,248.92000000000002,231.31999999999988,215.15999999999997,200.59999999999997,189.16000000000003,180.40000000000003,178.56000000000003
6,279.3599999999999,280.76,280.76,280.6,279.2,277.88,275.36,272.76,269.12,262.35999999999984,254.43999999999988,246.16,237.64,229.71999999999994,225.44000000000005,223.2,224.20000000000005,228.1599999999999,233.44000000000003,239.32,244.88,248.43999999999994,250.39999999999998,252.27999999999997,254.27999999999997,256.92,261.52000000000004,265.79999999999995,269.64000000000004,273.76000000000005,277.24,278.6,279.88,281.36,282.28,282.71999999999997,283.5999999999999,282.7600000000001,281.79999999999995,281.04,280.47999999999996,280.2400000000001,282.28000000000014,284.76,286.76,288.2400000000001,288.84000000000003,288.63999999999993,288.48,288.1199999999999,287.9999999999999,284.7199999999999,279.7199999999999,271.0,260.88,249.92000000000002,242.32000000000005,242.12000000000006,242.52000000000004,242.04000000000002,239.23999999999995,234.28000000000003,222.3599999999999,211.00000000000006,197.84000000000006,179.56,147.28,113.48000000000002,80.79999999999995,52.72000000000003,32.56,28.159999999999993,26.639999999999997,25.59999999999999,23.960000000000004,23.080000000000005,22.320000000000007,21.64,21.439999999999994,20.759999999999994,20.72,20.399999999999995,20.119999999999994,19.679999999999996,20.279999999999994,19.839999999999993,19.799999999999994,19.39999999999999,18.919999999999995,18.55999999999999,17.759999999999998,17.56,17.079999999999995,16.879999999999995,16.28,16.679999999999993,16.479999999999997,16.799999999999997,17.32,22.519999999999996,31.36,71.20000000000003,130.32000000000002,184.72000000000008,221.56000000000006,262.35999999999996,281.20000000000005,281.80000000000007,285.2800000000001,299.72000000000014,306.36,303.68000000000006,298.68000000000006,293.1199999999999,289.00000000000006,285.4,282.60000000000014,283.6400000000001,287.48,291.9599999999999,296.36,299.91999999999996,300.91999999999996,300.79999999999995,300.4,298.8799999999999,297.2800000000001,295.68,294.36,293.28,292.08000000000004,291.27999999999986,290.24,289.0799999999999,287.72,286.67999999999995,285.03999999999996,283.1599999999999,281.32,279.1600000000001,276.0,272.48,268.4000000000001,263.6400000000001,258.96000000000004,253.4799999999999,246.64,238.64000000000004,229.95999999999992,220.6,212.7199999999999,206.07999999999993,202.47999999999985,200.07999999999993,198.2399999999999,197.83999999999995,198.56,199.48000000000002,201.71999999999997,205.80000000000007,209.96000000000004,215.00000000000006,219.92000000000002,223.60000000000005,225.44000000000005,225.00000000000003,221.04000000000005,214.72000000000003,208.4799999999999,202.76000000000008,199.40000000000003
7,275.52,275.4,274.9999999999999,275.15999999999997,274.76,274.23999999999995,273.6800000000002,273.00000000000006,272.96,272.88,271.84000000000003,270.88000000000005,270.1600000000001,268.04,265.88,264.03999999999996,262.03999999999996,259.64,257.88,255.72,253.72,252.20000000000002,251.04000000000002,249.07999999999998,247.5200000000001,246.68000000000004,246.16000000000008,246.32,248.04000000000002,250.16000000000003,255.00000000000009,259.67999999999995,264.5200000000001,269.15999999999997,274.96000000000004,277.76000000000005,279.9200000000001,281.72,282.84000000000003,282.56000000000006,282.64,283.20000000000005,284.0800000000001,285.68000000000006,287.79999999999995,285.92,281.8,274.9599999999999,267.52,257.68,250.60000000000008,244.28000000000003,238.84000000000003,232.44,226.48000000000002,219.55999999999997,212.32,204.20000000000005,196.04000000000002,188.00000000000003,180.92,171.88000000000002,158.20000000000005,130.32,100.80000000000001,72.48000000000002,47.12000000000001,28.919999999999995,25.47999999999999,24.88,23.79999999999999,23.19999999999999,22.519999999999982,21.919999999999987,21.719999999999988,21.51999999999999,21.23999999999999,20.83999999999999,20.319999999999993,19.559999999999988,19.04,18.479999999999997,17.879999999999995,17.919999999999998,18.000000000000004,17.840000000000003,17.92,18.200000000000006,18.12,17.880000000000003,17.92,17.759999999999998,17.52,17.96,19.239999999999995,28.88,41.32000000000001,67.68,119.80000000000004,175.59999999999997,209.39999999999998,252.95999999999998,281.56000000000006,283.52,280.8800000000002,291.28000000000003,288.92,288.12,286.91999999999996,286.27999999999986,286.15999999999997,285.95999999999987,284.8399999999998,284.15999999999997,282.12,278.48,272.96,267.20000000000005,261.68000000000006,257.44000000000005,254.95999999999992,255.12,256.20000000000005,257.9999999999999,259.15999999999997,260.71999999999997,261.64,262.12,262.12,261.12,259.28000000000003,256.19999999999993,251.76,245.12000000000006,238.68,231.32,224.92,219.28000000000006,217.99999999999994,218.72000000000006,221.56,226.76000000000008,232.68000000000006,235.88000000000005,237.52000000000012,237.12000000000012,233.44000000000003,228.36000000000013,220.68000000000006,209.92000000000007,200.12000000000006,192.35999999999996,186.63999999999993,185.0,189.60000000000002,197.03999999999996,206.75999999999993,221.27999999999997,237.88,252.83999999999997,265.44000000000005,274.08000000000004,276.8800000000001,276.08,274.24000000000007,271.8800000000001,268.08,262.28,256.40000000000003,248.24000000000007,237.08000000000004
8,268.80000000000007,267.84000000000015,265.6000000000001,262.6400000000001,259.88,257.32000000000005,255.04000000000002,254.2,254.00000000000006,254.04000000000002,254.00000000000006,254.24000000000007,254.80000000000007,255.52000000000004,255.32,255.39999999999992,255.28000000000003,254.5600000000001,253.4,252.16000000000008,251.2,249.83999999999997,248.48000000000002,247.6,246.64,244.96000000000006,243.24000000000004,241.24000000000004,238.51999999999998,237.00000000000003,236.0,235.68000000000004,236.07999999999998,237.40000000000003,238.76000000000005,240.51999999999998,242.88000000000005,246.12000000000012,249.87999999999997,254.32000000000005,258.2,262.03999999999996,265.03999999999996,267.28,268.4,269.67999999999995,270.08000000000004,270.64,270.64000000000004,270.51999999999987,272.15999999999997,274.19999999999993,276.0799999999999,278.0799999999999,281.08000000000004,282.52000000000004,283.91999999999996,279.4799999999999,274.9200000000001,268.48,261.56000000000006,255.20000000000007,253.76000000000008,251.12,246.20000000000005,238.88,228.23999999999995,217.3199999999999,207.07999999999998,178.3200000000001,142.44000000000005,108.8,75.43999999999997,42.919999999999995,31.480000000000004,29.639999999999993,28.039999999999992,26.759999999999998,25.479999999999997,24.359999999999992,23.479999999999993,21.96,20.999999999999996,19.840000000000007,19.4,18.48,18.71999999999999,18.92,18.959999999999997,18.599999999999994,18.359999999999996,17.72,17.679999999999996,17.520000000000003,17.280000000000005,17.28,17.640000000000004,19.96,30.80000000000001,65.0,121.79999999999998,175.56,212.39999999999998,240.56000000000003,258.9200000000001,255.00000000000003,255.39999999999998,270.91999999999996,286.6400000000001,288.5600000000001,290.24000000000007,290.04000000000013,288.84,287.9200000000001,287.12,286.0400000000001,285.08,283.80000000000007,282.44000000000005,280.9600000000001,278.92,276.44000000000005,274.1599999999999,271.75999999999993,267.71999999999997,263.16,258.4,252.59999999999997,246.12,240.92000000000007,236.16000000000008,232.52000000000004,230.2800000000001,230.63999999999996,232.04000000000005,234.76,237.0,239.44000000000003,240.44000000000003,240.68,240.0,239.36,238.87999999999997,238.44000000000008,238.36,238.24,238.51999999999998,237.96000000000004,238.16000000000003,240.92000000000002,245.16000000000003,249.83999999999997,256.15999999999997,261.9200000000001,264.6400000000001,264.88,262.12,256.32000000000005,248.64,238.36000000000007,226.48000000000008,215.92000000000002,203.40000000000003,192.24,184.35999999999996,180.83999999999995,181.72,188.55999999999997,198.11999999999998,214.47999999999996,231.64000000000004
9,271.36,270.44000000000005,269.0400000000001,267.1600000000001,265.6,263.7600000000001,261.92,260.36,258.68000000000006,255.40000000000003,251.16,246.92,242.0,238.36000000000004,235.99999999999994,234.0,232.71999999999997,232.59999999999997,231.8,232.63999999999996,235.39999999999998,238.51999999999995,242.03999999999994,246.64,249.43999999999994,252.27999999999997,255.31999999999994,257.5199999999999,259.56,261.9200000000001,263.48,264.64,265.84,266.03999999999996,266.03999999999996,266.00000000000006,266.59999999999997,267.52,270.36,273.28000000000003,276.76,279.1600000000002,281.8400000000001,282.80000000000007,283.55999999999995,283.6000000000001,283.52,283.84000000000015,285.12,286.03999999999985,286.7200000000001,287.35999999999996,285.52,278.76,269.5600000000001,319.56,381.91999999999996,443.60000000000014,484.31999999999994,551.24,546.32,462.72000000000014,380.27999999999986,319.8399999999999,230.51999999999998,143.51999999999992,113.75999999999999,84.96000000000004,58.20000000000002,37.03999999999999,26.439999999999998,25.24,24.279999999999998,24.200000000000006,23.919999999999995,23.0,22.039999999999996,21.4,20.320000000000004,19.760000000000005,19.559999999999995,19.36,19.199999999999996,19.159999999999997,18.96,18.92,19.16,19.040000000000003,19.720000000000002,19.92,20.28,20.4,20.319999999999993,19.799999999999997,19.2,19.04,19.08,21.679999999999996,38.32,60.08,101.4,157.36,300.76,425.3599999999999,546.3599999999998,646.56,733.0800000000002,734.5600000000001,742.0799999999999,747.7600000000001,755.5999999999999,765.0399999999997,770.1599999999999,773.6000000000001,777.8400000000001,780.3200000000002,779.0,775.4,771.4399999999998,766.6800000000001,741.2399999999998,736.4799999999998,713.6399999999999,712.32,712.9599999999999,735.5199999999999,738.9199999999998,763.0400000000002,765.7200000000003,767.0000000000002,767.6000000000001,767.76,767.2800000000003,767.2800000000003,767.72,767.52,767.44,765.0800000000002,763.0000000000002,759.52,735.8799999999999,732.44,731.4000000000001,730.0399999999997,730.12,750.8,750.8800000000003,751.4000000000003,752.9200000000001,753.4399999999998,754.76,756.7199999999997,758.6799999999998,760.24,762.7999999999998,765.0399999999997,767.0799999999999,747.5600000000002,746.96,742.28,715.8000000000002,708.4800000000002,720.44,711.2,703.24,713.08,613.8000000000002,506.27999999999986,400.1200000000001,295.96000000000004,195.71999999999994
10,265.08000000000004,264.64,263.08000000000004,262.36,262.12,261.96,260.55999999999995,259.64,257.96,256.03999999999996,254.16000000000003,252.95999999999995,253.60000000000002,255.44000000000005,257.12,257.67999999999995,257.52000000000004,254.76000000000002,250.23999999999992,246.95999999999992,244.63999999999993,244.28000000000003,246.24000000000004,250.52,254.15999999999997,257.84000000000003,261.3600000000001,264.24,266.96000000000004,269.92,271.79999999999995,273.6,274.68000000000006,275.24,275.6399999999999,276.75999999999993,277.03999999999996,277.44,277.6400000000001,277.52,277.52,277.48,277.6400000000002,277.20000000000005,276.6,275.1600000000001,272.0,266.64,259.52000000000004,252.23999999999987,244.52000000000004,238.79999999999995,234.47999999999996,233.47999999999985,233.83999999999992,234.83999999999997,234.79999999999995,233.48000000000002,229.40000000000003,219.00000000000003,207.44,191.99999999999994,173.64,144.47999999999996,114.79999999999994,86.32,61.83999999999998,42.24000000000001,35.0,33.599999999999994,32.48,32.400000000000006,31.959999999999994,31.359999999999992,31.32,31.319999999999993,31.07999999999999,30.479999999999986,30.559999999999988,29.72,29.520000000000003,28.839999999999996,28.759999999999987,28.119999999999997,27.679999999999986,27.19999999999999,26.479999999999993,25.879999999999995,25.279999999999994,24.919999999999987,24.119999999999987,23.999999999999993,23.959999999999994,23.71999999999999,23.559999999999988,23.27999999999999,22.919999999999995,22.39999999999999,22.679999999999993,22.43999999999999,23.31999999999999,25.319999999999993,57.11999999999999,102.56,159.2,200.87999999999994,244.16000000000003,260.43999999999994,269.16,268.44000000000005,280.20000000000005,287.4400000000001,290.4000000000001,285.20000000000016,276.9200000000001,269.92,264.0,258.8400000000001,257.88000000000005,259.24,261.32000000000005,264.6400000000001,268.8399999999999,270.84000000000003,272.67999999999995,274.92,277.15999999999997,280.03999999999996,283.03999999999996,286.55999999999995,289.72,292.72000000000014,294.8000000000002,296.2400000000001,296.7600000000001,297.32000000000005,297.1600000000001,296.68000000000006,295.72000000000014,294.68000000000006,293.0,290.99999999999994,288.87999999999994,287.47999999999996,285.88,284.48,283.6399999999999,282.9599999999999,282.27999999999975,281.4799999999998,280.0799999999999,278.3599999999999,277.3599999999999,275.19999999999993,273.5199999999999,271.43999999999994,268.79999999999995,264.79999999999995,260.52,255.75999999999996,251.03999999999996,247.23999999999995,244.79999999999995,244.16000000000005,243.88000000000005,246.00000000000009,248.84,252.76000000000002,261.52,270.52000000000004,278.0799999999999
