Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,800.8000000000003,790.2800000000003,775.2400000000005,751.9999999999999,729.1599999999996,707.9599999999999,692.48,681.6800000000003,675.0000000000002,665.6400000000001,658.16,652.1199999999999,646.8800000000002,643.9999999999999,644.5199999999999,644.4000000000001,649.8000000000002,653.8400000000001,654.9600000000003,656.72,659.6800000000003,662.9200000000001,665.3600000000001,671.6000000000001,676.8,683.0800000000003,689.04,701.2000000000003,712.3599999999999,723.9600000000003,735.8000000000005,747.88,758.7600000000004,768.9199999999998,780.4799999999999,793.88,808.76,825.2799999999999,840.8000000000003,847.6400000000002,844.36,832.76,805.7599999999996,773.8000000000001,740.52,710.9200000000001,682.9200000000002,644.8000000000001,607.3199999999999,577.6000000000001,551.96,537.32,554.1999999999999,586.6800000000003,627.64,667.32,706.3999999999999,768.8799999999999,823.7599999999999,871.9599999999998,919.5200000000001,956.56,904.0,831.4800000000002,739.7200000000005,596.1199999999997,450.8000000000001,354.4800000000002,257.0400000000002,135.11999999999992,37.64000000000001,-38.28000000000003,-103.07999999999997,-149.11999999999998,-152.92000000000002,-128.07999999999996,-119.99999999999999,-115.23999999999998,-111.55999999999997,-110.23999999999994,-108.59999999999997,-107.23999999999998,-110.71999999999997,-112.28,-113.52000000000001,-117.12,-119.27999999999999,-118.52,-118.99999999999999,-118.08000000000001,-117.43999999999998,-114.47999999999999,-113.04000000000002,-104.67999999999999,-94.31999999999998,123.16000000000008,343.08000000000015,523.6000000000001,659.6000000000004,774.7999999999998,671.7600000000002,555.6800000000001,474.56,427.52,396.39999999999986,362.32000000000005,290.39999999999986,220.00000000000009,149.04000000000002,79.24000000000007,21.12000000000005,9.320000000000027,7.760000000000059,10.880000000000047,18.40000000000006,31.12000000000006,47.480000000000054,61.52000000000001,77.64000000000001,97.76000000000012,118.96000000000011,149.04000000000008,186.36000000000013,229.83999999999986,276.1599999999999,327.3199999999998,373.7999999999998,412.8399999999999,449.2399999999999,484.3599999999999,517.12,552.9600000000004,594.7600000000002,640.0000000000002,677.4799999999998,710.9999999999998,732.2400000000001,741.4000000000001,740.36,737.6799999999996,733.3199999999994,730.4000000000001,732.9600000000002,738.4,743.8399999999999,747.0000000000001,746.1600000000002,734.1600000000001,707.4800000000004,669.6399999999999,623.9999999999998,569.8399999999998,516.8,468.88,426.40000000000003,384.3199999999998,354.1599999999997,336.83999999999975,329.7199999999999,331.67999999999984,346.27999999999986,389.8399999999999,445.8400000000001,513.4000000000002,585.3199999999999,661.3999999999999,709.3599999999999,742.9599999999998,766.9200000000002,782.1200000000002,790.3999999999999
2,930.9200000000005,895.6800000000001,856.2400000000001,814.8000000000001,774.4399999999995,739.04,708.1599999999999,680.1999999999998,662.7999999999996,654.4,674.5599999999997,703.3999999999999,734.1999999999998,765.5600000000003,795.6799999999997,803.3600000000004,808.1199999999998,814.1599999999999,819.9199999999996,829.0399999999996,842.3599999999999,862.0400000000001,882.76,908.8400000000001,936.0,962.36,975.6400000000001,980.9600000000002,971.84,926.1600000000001,871.2799999999997,816.1199999999997,763.72,718.9599999999999,702.0000000000002,688.1199999999997,677.0,656.0800000000002,631.2000000000002,602.32,572.6,542.9599999999999,528.2,526.96,541.0400000000002,569.3600000000002,685.8400000000004,741.6800000000001,792.8799999999998,837.1200000000001,867.3599999999998,811.0400000000002,808.1999999999997,794.56,767.4000000000001,698.2,624.3999999999996,549.76,472.39999999999986,400.5999999999998,369.32,341.0399999999999,309.4399999999998,281.03999999999996,247.51999999999995,209.32,158.87999999999997,76.39999999999993,-7.439999999999991,-64.08000000000001,-109.56,-140.04,-127.03999999999998,-106.55999999999997,-103.67999999999998,-102.67999999999999,-99.76000000000002,-99.67999999999999,-101.4,-102.83999999999999,-104.92,-106.91999999999999,-108.24,-107.96000000000001,-107.59999999999997,-105.68,-105.04,-103.24000000000004,-104.12000000000003,-103.2,-105.48,-106.64000000000001,-108.00000000000001,-107.91999999999999,-109.55999999999999,-108.84,-109.28,-103.47999999999999,-71.76000000000002,-15.16,104.11999999999996,360.80000000000007,627.6800000000002,856.6399999999994,1040.36,1161.8000000000002,1155.9200000000005,1131.1599999999999,1075.4000000000003,1006.6,915.7200000000001,796.5599999999997,655.1999999999999,539.3199999999998,445.00000000000006,363.28,294.79999999999995,247.39999999999992,217.99999999999997,203.6800000000001,199.1600000000001,201.40000000000003,207.68000000000018,222.76000000000016,246.36000000000007,288.5199999999999,346.67999999999984,421.9999999999999,506.68000000000023,605.6399999999998,711.0000000000005,816.2,913.6799999999998,998.6400000000002,1055.8799999999999,1076.8000000000002,1074.4800000000002,1053.76,1018.1200000000002,978.8800000000001,935.4000000000001,889.0,842.72,802.1200000000001,764.04,736.3199999999999,714.8399999999999,697.5600000000002,684.1200000000001,676.8800000000001,672.6400000000001,670.5600000000002,669.1200000000001,666.2000000000003,652.4000000000001,622.3600000000001,573.2000000000002,517.4800000000001,457.79999999999995,397.0000000000001,353.52,333.4,326.24000000000007,332.19999999999993,354.84,380.08,407.68,434.28,455.9199999999999,473.55999999999995,490.32
3,784.9199999999997,805.9199999999998,824.2799999999996,841.76,857.4399999999996,870.8399999999999,882.8399999999999,894.1599999999996,902.8400000000001,907.0800000000003,913.8800000000003,918.2399999999998,920.24,920.8399999999999,924.7999999999997,926.4800000000001,931.7999999999998,940.2799999999997,951.8800000000002,962.9200000000001,977.9199999999998,990.4000000000001,1001.4800000000002,1007.6800000000001,1002.96,973.9200000000001,930.6000000000001,872.7599999999999,802.0,728.5199999999999,667.3200000000002,615.0400000000001,570.32,542.76,534.0799999999999,540.9599999999999,559.1199999999999,591.6800000000001,628.56,667.04,703.9200000000003,744.0000000000002,791.4799999999998,850.0000000000001,917.92,991.76,1063.52,1124.6799999999998,1167.9199999999996,1183.32,1176.96,1148.08,1096.3599999999997,1037.1599999999999,973.3199999999999,910.4400000000002,854.3200000000002,814.9199999999998,779.2399999999999,746.8399999999999,709.9200000000002,668.1200000000001,619.28,569.12,508.76,407.83999999999986,291.5599999999999,174.6000000000001,64.80000000000003,-25.92,-60.71999999999998,-69.87999999999998,-72.44,-77.32000000000001,-78.48,-84.48,-85.44,-85.75999999999998,-84.67999999999998,-87.11999999999998,-85.59999999999998,-87.75999999999999,-88.32,-87.80000000000001,-83.39999999999999,-82.6,-80.48,-79.36000000000001,-81.20000000000002,-84.76,-84.63999999999999,-84.52,-84.96000000000001,-83.12000000000003,-79.47999999999999,-61.0,-6.639999999999968,65.76000000000002,215.44000000000005,464.16,679.9599999999998,864.5599999999998,1019.6800000000002,1083.8000000000004,1032.1599999999999,983.48,904.4800000000002,810.4400000000005,714.0400000000002,622.7600000000001,538.3199999999999,475.0,413.0000000000001,364.51999999999987,320.7599999999999,282.5200000000001,250.36000000000013,246.76000000000013,247.1200000000001,253.96,268.08000000000004,290.32000000000005,321.79999999999995,357.8399999999999,403.63999999999993,443.7199999999999,477.84,503.20000000000005,518.7200000000001,517.4800000000002,505.68,481.12000000000006,447.95999999999987,408.59999999999997,363.28000000000003,318.2400000000001,280.88000000000005,245.48,221.43999999999997,212.71999999999997,218.27999999999997,233.39999999999998,263.59999999999997,306.03999999999996,363.5600000000002,434.6,514.4000000000001,604.3199999999998,686.9200000000001,751.88,804.6,844.3999999999997,869.6800000000001,896.6400000000001,926.32,950.8400000000001,965.7600000000001,966.4799999999998,952.4400000000003,926.9599999999998,893.6800000000003,863.36,834.1600000000003,811.8399999999998,795.4800000000001,783.8800000000003,777.4000000000001,773.64,770.7199999999998,769.6399999999998,774.2799999999997
4,801.28,775.84,749.6000000000001,725.4799999999999,716.0799999999998,718.1999999999998,734.36,765.6399999999996,798.56,824.2,842.1999999999999,853.3999999999999,854.9600000000002,860.8799999999998,865.8800000000002,870.0800000000004,872.8400000000001,874.3200000000002,872.4799999999998,871.5999999999999,870.7199999999998,869.9200000000002,871.5200000000002,873.2799999999999,874.96,878.4800000000001,880.5999999999998,845.5999999999999,800.0,741.8400000000001,675.24,602.08,562.32,537.32,529.5999999999999,532.2399999999999,543.72,559.5200000000002,579.8800000000001,608.84,660.3200000000003,726.0799999999999,798.0400000000002,862.6800000000003,920.5599999999997,965.2399999999997,1003.6400000000003,1037.1999999999996,1068.3999999999999,1087.0400000000002,1082.6,1058.2799999999997,1020.7200000000003,972.8000000000002,919.28,867.7599999999999,817.4799999999999,768.6800000000002,726.8000000000004,685.8800000000001,642.5600000000001,598.5600000000001,551.8000000000003,500.80000000000007,453.95999999999975,413.91999999999996,380.72000000000014,329.5600000000002,250.24000000000007,159.55999999999995,76.96000000000004,-4.399999999999988,-54.59999999999999,-68.56,-63.03999999999999,-63.43999999999999,-63.04,-62.56,-64.64000000000001,-67.6,-67.75999999999998,-68.83999999999999,-71.56,-71.4,-71.47999999999999,-72.16000000000001,-70.80000000000001,-71.43999999999998,-71.03999999999999,-72.6,-71.92000000000002,-73.0,-70.60000000000001,-67.67999999999998,-63.639999999999986,-51.39999999999999,-17.11999999999999,36.72000000000004,173.24,378.84,562.4000000000001,706.9599999999997,832.0000000000002,879.44,864.2400000000001,866.3599999999997,887.8,896.4800000000001,855.8400000000003,790.3199999999999,700.7199999999998,592.4399999999998,481.68,405.87999999999994,345.92,306.91999999999996,286.0799999999999,284.8400000000002,313.4399999999999,357.2400000000002,408.36,458.28000000000003,501.04,522.6399999999999,528.44,523.7200000000001,523.0800000000002,522.2800000000001,515.44,511.20000000000005,507.95999999999987,499.03999999999996,493.03999999999996,490.47999999999996,490.99999999999994,488.47999999999996,489.5599999999998,491.23999999999995,502.44,514.5600000000001,532.76,552.9599999999999,574.9999999999999,593.72,604.16,602.8799999999999,588.9599999999999,567.9599999999999,539.36,515.32,499.9200000000001,494.80000000000007,493.68000000000006,496.72,500.67999999999995,506.92,512.9199999999998,523.0800000000002,533.5600000000001,560.3600000000001,588.04,621.76,667.52,729.7599999999998,790.1600000000003,856.12,917.08,955.7599999999999,974.3200000000002,969.7199999999999,946.4800000000001
5,704.1599999999999,724.7999999999998,749.1999999999998,777.1999999999999,801.92,819.3199999999998,825.5999999999999,822.5600000000002,815.96,818.32,836.0000000000002,881.44,941.0000000000001,1007.8000000000004,1066.7600000000002,1116.7999999999997,1145.9200000000003,1134.6000000000001,1109.56,1074.92,1029.0799999999997,981.0799999999997,959.5599999999998,942.0,932.8400000000003,927.8400000000001,924.2400000000001,925.1199999999998,930.76,939.8000000000001,978.8800000000001,1023.1200000000001,1061.48,1081.6000000000006,1085.7200000000003,1047.3999999999996,993.9199999999998,934.1600000000001,879.0799999999999,826.3200000000002,771.3199999999999,717.2800000000003,663.8,619.2,584.9200000000001,565.52,568.16,591.8399999999999,638.1999999999996,703.48,805.8400000000001,898.5199999999998,980.9999999999999,1040.7600000000002,1073.7999999999997,1025.16,955.3600000000005,873.3200000000002,776.5599999999997,687.04,639.9999999999995,608.1599999999999,584.4400000000002,567.5199999999998,542.0,412.0400000000002,284.12000000000006,161.08,48.27999999999999,-56.04,-55.43999999999997,-55.31999999999997,-57.360000000000014,-59.71999999999998,-64.47999999999999,-66.83999999999997,-67.8,-69.96,-73.16,-72.27999999999999,-69.23999999999998,-69.31999999999998,-67.79999999999998,-66.19999999999999,-66.12,-69.39999999999999,-69.28000000000002,-71.28,-70.35999999999999,-66.07999999999998,-62.43999999999998,-61.15999999999999,-51.67999999999999,60.96000000000002,257.6800000000002,489.32000000000016,726.4800000000002,954.5199999999994,1067.88,1082.12,1052.5999999999995,1011.4399999999998,958.32,899.56,830.8000000000004,748.5999999999998,653.1600000000003,562.08,479.9999999999999,418.23999999999995,387.56,387.68000000000006,412.2399999999999,454.11999999999966,510.68000000000006,567.48,615.6800000000004,653.2,680.5600000000001,695.76,703.4000000000001,714.0400000000002,719.4000000000001,722.0000000000002,725.2000000000003,723.96,713.3999999999997,701.0000000000001,683.1200000000001,653.56,617.1200000000001,567.8400000000001,487.5199999999999,414.8800000000001,350.75999999999976,295.9999999999999,257.91999999999996,254.83999999999995,249.43999999999994,245.51999999999998,241.51999999999998,238.48000000000002,237.39999999999998,242.9199999999999,247.99999999999994,256.9599999999999,273.43999999999994,310.12,384.71999999999986,471.27999999999975,562.8799999999999,644.52,706.72,723.2,728.32,724.3999999999999,720.6000000000001,711.3599999999999,698.36,683.5199999999999,670.96,662.1199999999999,657.3599999999999,660.8399999999999,669.12,681.3600000000001,695.8400000000001,713.44,733.4400000000004,751.3600000000001,763.24
6,1039.96,1051.0,1061.1999999999998,1069.72,1071.3200000000002,1070.2799999999997,1044.12,1012.8,976.2,940.2,902.5599999999997,884.5199999999999,866.9200000000003,853.5200000000003,840.84,837.6800000000003,839.3600000000002,846.48,863.2000000000003,894.3600000000002,934.1199999999999,975.4800000000002,1019.6800000000001,1065.8400000000004,1103.8400000000001,1129.6399999999999,1147.3999999999999,1151.24,1131.88,1097.0800000000004,1048.6,996.7600000000002,946.4000000000004,901.8799999999999,860.5999999999997,822.1600000000001,780.0400000000001,737.28,692.9599999999998,649.48,611.1999999999999,583.0800000000002,567.4,565.64,582.4800000000001,617.1200000000001,664.5199999999998,761.7200000000005,857.1999999999999,937.7599999999999,996.0800000000004,1030.44,992.2,933.3200000000002,856.9199999999997,780.1600000000002,703.5600000000003,641.12,592.3199999999999,562.5999999999999,537.2799999999999,518.5200000000002,498.47999999999996,478.6800000000001,458.60000000000014,436.6800000000001,410.5200000000002,348.8400000000001,264.07999999999987,170.12,87.47999999999998,11.280000000000001,-26.600000000000005,-35.760000000000005,-33.36,-36.04,-35.359999999999985,-35.239999999999995,-34.959999999999994,-36.68,-39.4,-40.919999999999995,-41.0,-41.72,-41.44,-41.44,-43.04,-45.91999999999999,-48.44,-49.879999999999995,-49.720000000000006,-50.71999999999999,-48.63999999999999,-46.75999999999999,-48.11999999999999,-46.71999999999999,-8.800000000000011,46.71999999999998,138.35999999999999,294.3600000000001,559.8000000000002,800.68,989.8000000000004,1124.6399999999999,1191.4799999999996,1135.8400000000006,1055.1599999999994,994.44,935.0799999999999,867.2400000000002,791.0800000000004,708.6399999999998,619.2,534.6799999999998,458.64000000000004,395.91999999999985,338.56,295.40000000000003,255.72000000000008,231.1199999999999,225.39999999999995,242.80000000000013,278.96,331.0000000000001,398.5199999999998,468.4,554.88,647.84,737.76,800.2800000000003,842.04,848.9200000000001,827.5200000000001,796.6799999999998,766.3999999999997,743.1199999999999,736.9600000000004,747.1599999999999,769.12,801.0799999999997,834.1999999999997,860.9199999999998,876.3600000000001,879.16,860.9999999999998,830.6399999999996,792.5199999999998,748.3999999999999,699.5999999999999,654.9199999999998,608.6399999999999,561.72,519.4,480.7199999999999,448.5199999999999,424.7199999999999,405.1199999999998,388.9999999999999,375.2000000000001,364.47999999999996,355.35999999999996,351.55999999999995,351.7199999999998,357.27999999999986,365.4399999999999,377.11999999999983,426.23999999999995,497.0,580.9199999999998,668.0000000000001,754.2400000000002
7,791.7600000000001,817.8800000000001,854.4799999999998,899.04,944.4799999999999,994.4800000000002,1041.6399999999999,1082.56,1114.28,1140.56,1162.64,1179.04,1186.56,1190.5599999999997,1189.7999999999997,1183.6000000000001,1176.1600000000003,1170.2000000000003,1163.5600000000002,1157.8400000000001,1154.6399999999996,1151.6799999999998,1150.24,1148.2,1148.4,1150.2800000000002,1154.2400000000002,1162.6800000000003,1171.32,1183.0,1158.5199999999998,1128.1200000000003,1081.7200000000003,1027.8400000000001,961.9999999999998,922.7600000000001,876.04,831.9999999999998,785.5999999999998,738.2399999999999,683.88,613.8799999999999,549.04,493.47999999999996,455.43999999999994,443.95999999999987,473.68,523.4399999999999,588.0399999999998,655.4800000000002,754.1599999999999,843.48,911.5599999999998,953.1999999999998,972.0800000000002,933.0400000000001,874.7200000000003,800.3599999999998,720.16,639.3599999999997,561.72,494.4,446.32000000000005,406.0799999999999,375.72000000000014,351.8400000000001,328.8399999999999,298.2,248.63999999999987,173.04000000000002,98.43999999999991,33.76000000000001,-27.12,-57.51999999999997,-59.76,-57.4,-60.28,-58.43999999999999,-57.91999999999999,-56.15999999999998,-55.99999999999998,-54.23999999999999,-54.47999999999999,-53.599999999999994,-56.67999999999999,-58.31999999999999,-62.31999999999999,-62.03999999999999,-65.55999999999999,-65.99999999999997,-68.15999999999998,-67.95999999999998,-70.96,-71.11999999999998,-69.03999999999998,-65.96,-31.79999999999999,38.03999999999998,177.68,426.0799999999999,646.5200000000001,823.1200000000003,961.76,1026.48,976.5999999999999,950.6400000000003,927.7200000000003,896.9599999999999,850.2000000000002,785.0400000000002,704.16,579.6399999999999,464.08,371.44,308.3999999999999,276.6400000000001,301.2400000000001,432.2,571.76,718.4000000000005,855.4399999999998,982.6800000000001,998.7600000000004,997.1600000000003,980.0800000000002,958.6400000000003,934.1600000000005,915.5600000000002,908.4000000000003,900.84,896.88,900.6400000000001,875.4000000000001,829.5999999999998,769.8800000000001,695.7999999999998,607.0,541.6000000000001,486.6000000000001,444.0,411.6000000000001,392.6400000000001,379.2,370.24,365.2800000000001,364.84,367.1600000000001,377.19999999999993,390.2800000000001,406.9200000000001,424.9200000000001,443.91999999999996,459.5999999999998,475.79999999999995,490.9999999999998,508.0,557.8000000000002,620.3600000000001,695.8,775.2,853.3200000000002,902.6399999999999,937.4799999999999,951.3200000000002,951.2399999999996,930.8000000000001,865.2399999999999,797.48,730.2799999999997,665.6399999999999,620.1599999999997
8,694.1600000000001,740.9200000000003,798.44,849.68,899.7600000000002,945.84,986.4799999999998,1021.5200000000003,1008.44,982.24,943.6800000000003,894.8399999999999,831.4400000000002,803.4800000000001,790.04,789.0400000000002,796.8799999999999,818.2799999999995,841.8799999999999,858.0799999999996,875.9199999999996,896.5200000000001,919.8399999999999,942.2399999999998,971.04,1000.5999999999999,1029.64,1056.3200000000002,1105.64,1150.7600000000002,1187.5200000000002,1214.6,1185.56,1114.48,1006.6800000000001,897.04,791.32,744.84,712.9200000000002,702.8000000000002,685.3600000000002,657.5599999999998,628.84,604.48,610.0000000000001,631.44,670.4399999999998,711.76,757.48,796.9200000000002,850.8000000000002,905.5600000000001,952.4800000000005,947.5600000000002,923.5600000000001,874.3200000000002,813.6799999999998,751.7200000000003,736.76,732.2799999999999,739.6399999999999,741.1999999999999,734.0799999999992,672.84,596.84,476.8000000000002,329.4399999999998,185.27999999999997,92.91999999999996,13.520000000000012,-29.120000000000015,-35.52,-33.56000000000002,-33.44000000000001,-35.280000000000015,-36.36000000000002,-38.160000000000025,-42.80000000000002,-45.40000000000001,-47.48000000000001,-48.56000000000002,-49.36,-45.960000000000015,-44.36000000000001,-44.24000000000001,-43.40000000000001,-40.920000000000016,-43.72000000000001,-47.000000000000014,-50.480000000000004,-52.12,-53.2,-53.19999999999999,-49.28,-39.080000000000005,-16.200000000000003,28.32000000000001,105.31999999999998,289.08000000000015,538.5199999999999,759.6000000000001,933.8399999999999,1073.3200000000002,1099.04,1049.72,1003.6799999999996,963.7599999999996,915.0799999999999,848.7199999999998,762.7599999999998,642.4399999999998,534.9200000000002,432.36000000000007,347.56000000000006,287.75999999999993,269.76000000000016,255.00000000000003,247.96000000000004,244.28000000000011,245.40000000000012,255.80000000000007,278.08,309.8399999999999,362.67999999999995,428.8799999999999,535.3200000000002,641.2400000000001,741.1200000000005,828.0400000000002,898.6400000000001,928.4800000000001,953.1599999999999,973.76,989.3200000000004,1009.0800000000003,1027.44,1039.44,1046.0400000000002,1041.68,1018.5599999999998,978.5600000000002,932.4800000000002,881.6000000000001,829.0800000000002,786.28,745.9599999999996,703.9999999999998,665.7600000000001,635.04,607.76,586.9999999999998,575.3599999999999,571.2,573.84,581.7600000000001,598.5600000000001,618.9200000000001,637.12,648.0399999999998,650.88,652.6800000000002,699.0400000000002,761.0399999999998,833.76,903.76,962.9200000000002,943.6400000000001,898.5999999999999,836.4800000000001,770.1199999999998,701.7600000000001
9,621.08,634.76,656.0799999999998,688.5200000000002,734.04,788.5999999999996,846.0800000000003,901.4400000000002,946.6800000000001,976.24,994.2,1003.6399999999999,1005.0800000000002,1001.5199999999998,994.3599999999999,986.6800000000001,975.6,966.3600000000001,955.0800000000002,948.6400000000001,938.6,926.7599999999999,913.8,907.3599999999999,899.0799999999996,894.6400000000003,899.9199999999998,906.7200000000001,914.5999999999997,927.2399999999998,946.72,966.6000000000001,986.8399999999997,1003.1999999999998,1009.1999999999996,995.0800000000002,960.5999999999998,906.44,836.0799999999998,753.04,665.2399999999999,568.32,491.52000000000004,437.31999999999994,422.19999999999993,436.8400000000001,494.0400000000001,563.0,640.0799999999998,704.6400000000001,762.76,813.24,853.5199999999999,882.5599999999998,904.9599999999999,917.48,914.24,898.92,847.8000000000003,790.5999999999997,733.8000000000002,681.8399999999999,636.9600000000002,617.48,593.7200000000004,566.8399999999999,536.44,505.28000000000003,475.5999999999998,432.16,361.9599999999999,265.08000000000004,159.12,60.479999999999976,-15.679999999999982,-57.839999999999996,-69.07999999999997,-68.79999999999998,-68.83999999999997,-67.67999999999996,-68.91999999999997,-68.71999999999998,-69.59999999999997,-70.39999999999998,-72.83999999999999,-74.23999999999998,-75.11999999999999,-74.19999999999999,-76.19999999999997,-75.91999999999999,-75.71999999999998,-76.52,-78.24000000000001,-78.15999999999998,-75.79999999999998,-66.84,-26.559999999999995,206.64,525.8800000000001,834.4000000000001,1087.6799999999998,1283.76,1268.3999999999996,1148.7199999999998,1010.7999999999998,897.4400000000002,789.9600000000002,684.6800000000001,587.0,506.87999999999977,445.99999999999994,404.43999999999994,376.5199999999999,358.91999999999996,348.43999999999994,339.68000000000006,336.08000000000004,337.8399999999999,354.15999999999997,398.0800000000001,474.4,600.3599999999999,782.6400000000001,958.2400000000001,1105.6000000000001,1219.6799999999998,1276.36,1272.3199999999997,1257.3200000000006,1240.92,1222.6800000000003,1206.52,1189.8400000000001,1175.7999999999997,1169.16,1178.1999999999998,1179.8399999999997,1176.28,1164.2399999999996,1137.68,1096.1200000000003,1055.6,1017.5999999999999,980.5999999999999,944.3999999999997,913.56,890.9599999999999,879.2399999999999,879.8,891.2800000000001,905.3599999999998,921.0400000000002,940.5599999999998,961.96,996.6400000000001,1052.1199999999994,1122.52,1191.8000000000002,1256.9999999999998,1305.56,1324.92,1315.84,1282.08,1229.1599999999996,1162.1999999999998,1093.56,1026.7199999999998,968.5199999999999,914.24,864.6400000000001,819.2000000000003
10,809.3999999999999,807.5599999999997,808.6399999999994,807.36,805.0800000000003,808.3599999999999,813.8,818.1200000000001,826.8399999999999,836.68,846.4000000000001,857.3199999999999,869.9599999999999,880.2400000000001,891.3199999999999,898.8000000000002,906.16,912.44,919.5600000000002,926.2399999999997,937.3199999999998,947.4000000000001,962.1999999999998,981.2399999999998,1003.0399999999997,1027.4,1055.52,1077.0,1086.2799999999997,1081.4399999999998,1053.08,1005.6399999999998,947.3200000000003,889.0800000000002,833.04,788.04,751.96,726.3999999999999,694.4000000000001,656.8800000000002,612.6800000000001,561.3199999999998,520.48,496.4399999999997,490.84000000000003,505.7199999999999,541.24,581.04,632.72,712.3599999999999,780.3600000000004,830.0799999999992,857.6000000000001,853.16,796.3999999999999,697.8800000000002,599.92,509.2799999999998,430.84000000000003,366.71999999999997,344.24,327.6,307.4,287.03999999999996,261.2399999999999,218.76,151.59999999999997,77.44000000000001,10.160000000000046,-42.99999999999998,-72.96000000000001,-76.12,-68.32,-60.55999999999999,-57.120000000000005,-58.92000000000001,-60.99999999999999,-58.19999999999999,-57.719999999999985,-58.599999999999994,-55.959999999999994,-55.599999999999994,-57.199999999999996,-58.4,-59.959999999999994,-60.760000000000005,-57.24,-55.56,-54.08,-51.72,-51.040000000000006,-54.87999999999998,-54.8,-55.44,-56.239999999999995,-54.719999999999985,-43.519999999999996,-33.95999999999998,2.8800000000000203,114.64,307.8000000000001,510.84000000000003,695.2400000000002,863.5999999999999,962.7199999999998,975.0400000000001,966.6799999999998,963.7600000000002,935.8000000000003,889.3200000000002,834.28,771.3200000000002,705.1199999999999,634.6800000000003,564.8399999999997,497.04,431.91999999999996,374.6399999999999,332.2799999999998,299.68000000000006,273.6000000000001,252.40000000000012,241.76000000000005,247.35999999999987,278.88000000000005,355.8400000000001,462.88,581.5600000000002,693.8399999999999,781.7999999999996,824.3599999999997,833.8799999999999,826.56,808.32,790.44,779.4000000000001,773.0,768.48,766.0000000000003,765.6000000000001,762.5600000000001,761.6400000000003,762.0,766.0799999999999,768.8399999999997,775.5600000000002,782.4399999999998,791.0400000000002,797.7199999999998,805.8,809.4799999999998,813.3199999999999,813.8399999999999,815.04,813.24,811.6399999999999,810.72,809.2,806.3600000000004,807.52,806.8800000000001,807.4799999999998,807.5199999999996,812.2,814.9200000000001,816.9199999999997,815.0000000000002,809.8000000000001,799.4799999999999,774.5199999999999,744.16
