Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,298.24,296.67999999999995,295.19999999999993,293.84000000000003,294.32000000000005,294.68000000000006,295.4000000000001,296.52000000000004,297.64,297.96,298.32000000000005,298.80000000000007,299.32000000000005,299.2000000000001,299.2800000000001,299.71999999999997,299.19999999999993,298.68,298.2799999999999,297.7199999999999,296.91999999999996,296.64,295.44,294.0800000000001,292.84000000000003,292.00000000000006,290.59999999999997,288.8800000000001,287.5200000000001,286.1600000000001,284.44000000000017,282.84000000000003,282.6400000000001,282.68,282.6,282.0,281.5200000000001,280.5200000000001,279.08000000000004,277.72,275.84000000000003,274.15999999999997,271.9200000000001,270.15999999999997,267.59999999999997,266.68000000000006,266.40000000000003,267.32,268.44000000000005,271.08000000000004,273.84000000000003,276.76,281.3599999999999,288.91999999999996,300.79999999999995,310.72000000000014,315.56,317.0799999999999,312.8399999999999,302.28,291.76000000000005,283.68000000000006,272.48,258.9999999999999,242.3999999999999,223.83999999999997,204.64,186.28000000000003,161.8,131.56000000000003,99.04000000000002,68.56,41.8,25.96,19.680000000000003,18.560000000000002,18.080000000000005,17.360000000000007,16.480000000000004,15.200000000000006,15.160000000000007,14.600000000000007,13.920000000000005,12.880000000000006,13.240000000000006,12.120000000000005,11.880000000000003,11.480000000000004,11.720000000000002,11.280000000000003,11.560000000000006,11.520000000000005,16.320000000000007,42.00000000000003,84.20000000000005,140.59999999999997,216.56,290.08000000000004,336.8,361.91999999999996,373.31999999999994,363.5599999999999,350.03999999999996,340.6000000000001,336.6,333.24,332.20000000000005,332.71999999999997,333.9200000000001,333.71999999999997,331.59999999999997,327.31999999999994,321.24,315.15999999999997,308.9200000000001,302.44000000000005,295.56000000000006,288.68,280.4,271.52000000000004,263.03999999999996,254.96,247.76,242.83999999999997,242.56,245.72000000000006,252.39999999999998,261.72,272.64000000000004,281.9200000000001,289.44000000000005,296.56,304.4400000000001,311.84,319.9200000000001,327.99999999999994,336.56000000000006,343.20000000000016,349.2400000000001,352.68,352.7599999999998,345.12,329.0799999999999,304.4799999999999,275.28,243.16000000000003,208.04000000000002,172.99999999999997,141.20000000000005,111.95999999999998,79.32,54.39999999999999,37.44,24.639999999999993,15.200000000000001,15.079999999999998,17.799999999999997,29.48000000000001,52.040000000000006,78.15999999999998,108.6,141.27999999999992,167.9200000000001,186.36000000000007,202.47999999999996,218.8400000000001,243.83999999999997,273.2000000000001,302.84000000000003,327.72000000000014,340.64000000000004
2,271.3599999999999,256.31999999999994,245.6,243.08000000000004,248.68,258.28,271.48,287.72,300.52,309.36,316.76,323.44,326.20000000000005,327.8,328.55999999999995,328.8799999999999,328.6,328.03999999999996,327.19999999999993,326.48,325.48,325.1200000000001,325.4000000000001,325.64000000000004,326.7600000000001,328.32,328.56,330.12,332.20000000000005,334.08000000000004,335.92,338.28,338.84,339.0,338.19999999999993,338.20000000000005,337.96,339.0000000000001,341.8800000000001,344.76000000000005,346.79999999999995,349.32000000000005,350.5199999999999,350.63999999999993,351.44000000000017,353.4800000000001,356.0400000000001,359.28,362.5999999999999,365.48,367.43999999999994,368.7999999999999,369.79999999999995,369.12,368.08,365.7600000000001,362.11999999999995,357.32000000000005,352.6800000000001,347.6,341.72,335.56,328.84000000000003,319.8400000000001,308.28,294.0400000000001,248.23999999999995,195.15999999999997,142.07999999999993,92.32,47.08000000000002,34.44,30.67999999999999,29.719999999999995,28.72,27.51999999999999,26.439999999999998,25.240000000000002,24.200000000000003,23.64,23.080000000000002,22.439999999999998,22.239999999999995,21.599999999999998,20.720000000000002,20.12,19.96,19.480000000000004,19.480000000000004,19.68,19.560000000000002,19.36,18.840000000000003,18.680000000000007,21.28,43.48000000000003,64.32000000000002,92.56,132.07999999999998,186.8800000000001,217.71999999999997,240.51999999999998,250.35999999999999,247.96000000000004,228.08000000000004,216.76000000000002,218.96000000000004,237.59999999999994,264.79999999999995,287.0,303.24,315.36,319.9600000000001,317.9599999999999,319.55999999999995,323.36,326.91999999999996,328.03999999999985,328.1600000000001,328.36,327.84,327.48,325.6799999999999,323.75999999999993,322.32,321.2400000000001,319.56000000000006,318.4000000000001,316.6,313.72,310.0400000000001,305.88,301.32000000000005,297.0,292.08000000000004,287.12,281.2800000000001,275.0400000000001,269.48,266.6000000000001,267.04,270.56,276.1600000000001,286.2800000000001,295.6,303.19999999999993,309.80000000000007,316.0,317.1600000000001,317.7600000000001,317.47999999999996,315.67999999999995,312.71999999999986,309.67999999999984,306.88,304.5999999999999,304.48,306.2399999999999,309.31999999999994,313.11999999999995,316.4,318.51999999999987,319.4799999999999,318.6,316.9599999999999,315.88000000000005,315.12,315.84,318.23999999999995,321.0000000000001,322.88000000000017
3,342.3600000000001,342.08,342.4,341.9600000000001,340.6400000000001,338.35999999999984,336.03999999999996,332.7599999999999,329.64,327.0,324.68000000000006,323.40000000000003,323.68000000000006,324.52000000000004,325.63999999999993,328.0400000000001,330.64,332.88,335.59999999999997,338.4799999999999,340.28,341.7200000000001,342.6800000000002,342.72000000000014,342.28,341.6000000000001,340.4,338.56000000000006,336.52000000000004,334.40000000000015,331.28,327.56000000000006,323.8,319.03999999999996,316.36,315.31999999999994,319.0399999999999,323.67999999999995,329.92,334.80000000000007,339.08000000000015,339.2800000000001,339.12,339.20000000000005,338.8800000000001,335.9200000000001,333.4000000000001,330.08000000000015,326.31999999999994,321.9999999999999,320.76,321.16,323.5200000000001,327.71999999999997,333.79999999999984,342.0400000000002,348.48000000000013,352.0400000000001,352.6400000000001,348.64,341.67999999999995,334.03999999999996,328.2399999999999,323.47999999999996,293.52000000000004,257.91999999999996,212.84000000000003,156.71999999999997,97.16,65.52000000000001,41.0,25.76,21.799999999999997,21.08,20.759999999999994,19.279999999999987,18.599999999999998,17.479999999999993,16.919999999999987,15.959999999999996,15.359999999999996,14.999999999999996,15.280000000000005,15.399999999999999,15.719999999999995,15.919999999999995,15.919999999999998,15.559999999999999,15.040000000000003,14.28,13.680000000000001,13.479999999999997,13.32,12.879999999999999,12.679999999999998,15.319999999999999,34.56,55.08000000000002,83.28,119.52000000000004,159.47999999999996,173.28,189.56000000000006,205.8400000000001,216.48000000000002,220.07999999999993,231.8,238.9600000000001,240.72000000000006,241.07999999999996,244.0399999999999,249.32000000000005,257.15999999999997,263.0799999999999,268.2399999999999,272.03999999999996,275.5999999999999,277.31999999999994,278.4,279.4,279.4,278.75999999999993,278.88000000000005,280.08000000000004,281.7199999999999,283.84000000000003,285.47999999999996,286.28000000000003,286.5200000000002,286.4000000000001,285.52,284.19999999999993,283.36,282.68000000000006,282.24,281.55999999999995,281.9999999999999,281.67999999999984,281.24,280.28,280.67999999999995,279.12,277.1600000000001,274.9599999999999,273.44,271.76,271.36,270.11999999999995,268.55999999999995,265.80000000000007,263.16,261.76,263.8400000000001,268.6799999999999,275.76,284.08000000000004,292.2800000000001,299.52,304.84000000000003,308.56,310.4,310.8000000000002,309.88,308.32000000000005,306.91999999999996,305.92,305.1200000000001,305.12,305.32000000000005,304.9200000000001,304.44000000000017
4,285.32000000000005,286.80000000000007,288.36000000000007,289.12000000000006,290.4000000000001,290.56000000000006,290.8400000000001,291.11999999999995,291.76,292.44,294.03999999999996,295.12,295.75999999999993,297.36000000000007,298.56,299.88,301.4,303.00000000000006,303.0400000000001,302.88,301.08000000000004,297.91999999999996,293.64,288.8,283.36000000000007,278.11999999999995,273.19999999999993,268.92,266.52,265.15999999999997,265.9599999999999,267.2399999999999,269.64,271.8,274.68000000000006,277.48,280.9200000000001,283.91999999999996,286.88,288.88,290.64,292.56000000000006,294.72,296.6400000000001,298.64000000000004,300.28,302.39999999999986,305.5199999999999,310.0799999999999,316.3999999999999,323.68000000000006,331.48000000000013,338.63999999999993,344.76,349.79999999999995,353.28000000000003,354.43999999999994,350.9200000000001,345.51999999999987,338.6,330.04,321.55999999999983,314.08,303.0799999999998,287.28,269.19999999999993,208.79999999999995,151.5200000000001,98.40000000000002,50.91999999999999,7.720000000000001,7.159999999999999,6.960000000000002,6.48,5.520000000000003,5.24,4.92,4.079999999999999,4.000000000000002,4.56,3.840000000000003,3.3600000000000025,3.440000000000001,3.3200000000000007,2.8400000000000003,2.199999999999999,2.4400000000000004,1.7999999999999994,1.520000000000001,1.2800000000000011,1.3600000000000025,1.0800000000000018,1.16,0.8400000000000007,2.1600000000000024,14.960000000000004,40.440000000000005,74.27999999999996,116.28000000000003,166.19999999999993,218.72000000000003,262.6000000000001,297.52,325.88000000000005,346.0799999999999,352.64000000000004,354.32,355.0799999999999,352.83999999999975,348.84000000000003,344.84000000000003,341.84000000000015,340.5999999999999,341.19999999999993,342.75999999999976,344.1199999999999,345.1599999999999,346.28,347.08000000000015,347.0,346.6,345.71999999999997,344.67999999999995,343.40000000000003,342.0,340.03999999999996,338.3999999999999,336.27999999999986,334.0000000000001,331.72,328.7599999999999,325.7199999999998,321.96000000000004,317.3600000000001,312.15999999999997,308.24,303.2400000000001,298.31999999999994,294.1199999999999,290.71999999999986,287.0000000000001,283.92000000000013,280.76,276.48,272.96000000000004,271.03999999999996,270.4,272.52,277.31999999999994,282.12000000000006,285.3600000000001,287.48000000000013,287.48000000000013,285.2000000000003,280.2800000000001,275.6800000000001,270.96000000000015,267.76,265.84000000000003,266.28,267.08000000000015,268.92000000000013,269.60000000000014,272.9600000000001,276.35999999999996,280.0,281.8400000000001,282.24,278.11999999999995,270.96000000000004,261.56000000000006
5,328.80000000000007,326.80000000000007,324.32000000000016,321.1200000000001,317.5600000000002,312.84000000000015,307.84000000000015,302.60000000000014,297.6800000000002,292.80000000000007,288.6,286.20000000000005,284.75999999999993,284.84000000000003,286.6400000000001,289.72,292.64000000000004,295.4399999999998,297.36,298.51999999999987,299.32,298.84000000000003,298.04,297.4799999999999,296.63999999999993,295.6,295.96000000000015,297.72,300.6,304.56000000000006,309.32,314.7199999999999,318.91999999999985,322.67999999999995,325.7600000000001,328.36,329.3200000000001,330.2400000000002,330.2800000000001,330.08000000000004,329.7600000000001,330.8400000000001,333.32,335.8399999999999,338.56000000000006,341.23999999999984,341.7199999999999,341.1199999999999,340.00000000000006,337.44000000000005,333.08,328.9200000000001,323.96000000000015,319.15999999999997,315.23999999999995,311.60000000000014,308.0400000000001,302.67999999999984,294.28000000000003,282.67999999999995,268.0,250.5999999999999,232.3599999999999,215.44000000000005,198.16,174.43999999999997,142.44,107.72,73.51999999999998,42.72,22.760000000000005,14.63999999999999,12.199999999999992,11.759999999999998,11.159999999999998,10.559999999999999,10.0,9.759999999999998,8.959999999999999,8.919999999999998,8.719999999999995,8.36,8.239999999999998,8.159999999999998,7.840000000000002,7.560000000000002,7.280000000000003,6.800000000000001,6.400000000000002,6.199999999999999,5.960000000000001,5.719999999999999,5.7200000000000015,5.7200000000000015,5.4399999999999995,5.400000000000002,5.88,6.360000000000003,11.839999999999995,29.6,54.80000000000001,89.2,140.72000000000006,200.32,247.84000000000003,287.1600000000001,316.64,328.5200000000001,327.67999999999995,327.04,321.51999999999987,313.88,305.0,293.79999999999995,279.72,269.84000000000003,259.91999999999996,248.36000000000007,236.95999999999998,226.63999999999993,214.87999999999994,203.51999999999998,194.08,185.39999999999998,177.96,168.88,159.36,146.8,129.92000000000002,109.63999999999997,91.59999999999998,73.88,58.879999999999995,48.27999999999999,37.160000000000004,29.28,25.84000000000001,27.040000000000006,31.72,42.4,51.99999999999999,142.88,228.04000000000005,310.79999999999995,393.0799999999999,477.52,479.1199999999999,483.4,488.23999999999995,490.7200000000001,489.8800000000001,488.48,487.04,484.9599999999999,485.56,488.8799999999999,493.03999999999996,498.12,505.48,512.8,520.5600000000001,529.72,539.5200000000001,546.76,551.24,553.76,552.6,548.8399999999999,545.6400000000001,543.64,541.04
6,339.36,340.04,339.8800000000001,339.96000000000015,339.72,337.88000000000005,336.52,335.2400000000001,333.68000000000006,332.12,331.19999999999993,329.72,327.2000000000001,324.08,320.0800000000001,315.8800000000001,310.60000000000014,304.4799999999999,297.64,290.91999999999996,284.52,280.91999999999985,280.11999999999995,281.3599999999999,284.0799999999999,288.48,292.83999999999986,297.19999999999993,301.67999999999995,307.1599999999999,310.84000000000003,313.92,317.55999999999995,321.44,324.4,327.15999999999997,329.6,330.80000000000007,330.9599999999999,330.44000000000005,331.2400000000002,331.56000000000006,331.92000000000013,332.60000000000014,334.3600000000001,335.0400000000001,337.72000000000014,341.16,345.44000000000017,349.6,355.40000000000003,360.24,363.8800000000001,366.5200000000001,366.88,365.23999999999995,361.79999999999995,357.8399999999999,351.84000000000003,345.96,338.48,329.08000000000004,317.4,305.44,292.11999999999995,278.43999999999994,263.47999999999996,247.59999999999994,230.47999999999996,211.88,190.72000000000003,163.59999999999997,130.99999999999997,97.19999999999999,66.0,39.999999999999986,23.199999999999992,15.760000000000005,12.759999999999996,11.400000000000002,9.799999999999997,9.2,8.280000000000003,7.520000000000003,6.8400000000000025,6.839999999999999,6.080000000000004,5.560000000000002,5.000000000000002,4.4,3.6799999999999997,3.799999999999999,3.9200000000000004,3.719999999999998,3.880000000000001,3.5200000000000005,2.400000000000001,2.04,5.879999999999998,24.359999999999992,51.84000000000003,89.08000000000004,135.35999999999999,188.48000000000002,231.00000000000006,266.43999999999994,292.8,308.5999999999999,311.6800000000001,309.8,305.15999999999997,299.6799999999999,295.24,292.64,290.8800000000001,290.64,291.52,292.91999999999996,295.56000000000006,299.15999999999997,302.16,304.64,305.75999999999993,306.0799999999999,304.1999999999999,302.32,299.76,297.44000000000005,293.51999999999987,289.4,283.9999999999999,277.87999999999994,271.0799999999999,263.88,256.03999999999996,248.52000000000004,241.52000000000007,235.67999999999995,230.79999999999993,227.44,225.67999999999992,225.79999999999993,227.15999999999997,230.71999999999997,235.32,239.56,243.16000000000008,245.60000000000002,246.72000000000003,247.2000000000001,248.23999999999998,249.36000000000004,250.88,252.08,252.64000000000001,252.24000000000004,250.68000000000012,248.64000000000004,246.72000000000008,246.08,246.8,249.12,252.83999999999997,258.03999999999996,263.47999999999996,268.2799999999999,272.84,275.96000000000004,278.04,279.76,281.40000000000003
7,314.72,314.7199999999999,314.4,314.24,313.76,313.47999999999996,313.52,313.9600000000001,314.72000000000014,315.6400000000001,316.3200000000001,316.60000000000014,316.7600000000001,316.0000000000001,315.4799999999999,314.59999999999997,312.96000000000004,310.1199999999999,306.44,300.7600000000001,294.28,287.1600000000001,279.76000000000005,272.84000000000003,267.1600000000001,263.6,262.8,262.4800000000001,262.24,263.00000000000006,263.92,264.68,266.08000000000004,268.8,271.2800000000001,273.4,276.24,280.88000000000005,285.32,289.67999999999995,294.16,298.31999999999994,303.0400000000001,308.88000000000005,315.44000000000017,325.8,336.03999999999996,345.56000000000006,355.36,365.24000000000007,370.64,375.52,378.3599999999999,378.2000000000001,371.16,362.24000000000007,351.9200000000001,342.24,334.4000000000001,331.88000000000005,330.24,327.3599999999999,320.0799999999999,308.0399999999999,292.28,273.67999999999995,240.68000000000004,201.56000000000003,155.92000000000007,108.04000000000002,63.24000000000001,34.599999999999994,15.879999999999995,8.280000000000001,6.9200000000000035,5.680000000000005,4.720000000000003,4.560000000000006,3.3200000000000034,2.280000000000003,1.9600000000000017,1.1600000000000068,0.4800000000000044,0.16000000000000325,0.36000000000000254,-0.27999999999999625,-0.5199999999999965,-0.4399999999999977,-0.839999999999999,-1.56,-1.88,-2.12,-2.84,-2.599999999999999,-2.5599999999999983,-3.079999999999999,-3.4,-2.5199999999999996,15.79999999999999,38.6,74.92000000000002,118.47999999999996,167.91999999999996,203.20000000000002,238.96,272.31999999999994,299.31999999999994,316.8399999999998,329.03999999999996,335.03999999999996,330.4799999999998,324.08000000000004,320.76,320.7199999999999,322.19999999999993,322.03999999999996,320.7199999999999,318.08000000000004,314.1599999999999,310.47999999999985,309.32000000000005,309.96,309.44,307.8399999999999,305.24000000000007,300.92,296.67999999999995,294.2799999999999,293.12,292.43999999999994,292.4800000000001,292.4800000000001,292.5999999999999,292.35999999999996,291.12000000000006,289.8,288.43999999999994,286.43999999999994,284.2399999999999,283.0,283.0,283.72,285.28,287.79999999999995,290.91999999999996,294.0799999999999,297.31999999999994,300.51999999999987,304.24000000000007,307.56000000000006,310.43999999999994,312.9599999999999,315.23999999999995,316.75999999999993,318.03999999999996,319.19999999999993,319.96,320.1999999999998,320.31999999999994,320.12,319.7600000000001,319.64,319.80000000000007,319.4,318.47999999999996,318.03999999999996,317.31999999999994,315.9999999999999,314.52,313.88,312.4
8,260.4800000000001,265.24,268.59999999999997,271.16,271.32000000000005,270.9200000000001,269.96,269.2399999999999,268.76,268.8799999999999,268.67999999999995,267.88,266.8799999999999,265.32,263.76,262.48,259.9999999999999,254.56,246.0,235.43999999999994,223.55999999999995,211.44,200.76000000000005,193.68000000000004,189.79999999999998,187.56000000000003,187.88,190.07999999999998,192.03999999999996,192.7999999999999,194.43999999999994,197.24,202.4799999999999,208.67999999999995,215.88,222.2,228.0,232.60000000000005,237.64,241.63999999999996,246.48000000000002,251.48000000000002,256.59999999999997,261.56,267.48,274.32000000000005,281.08000000000004,287.20000000000005,297.95999999999987,309.76,321.76,334.36,348.27999999999986,356.71999999999997,362.9599999999999,366.48,367.8799999999999,364.36,359.39999999999986,354.2400000000001,349.68000000000006,345.0799999999999,342.31999999999994,339.79999999999995,316.63999999999993,290.67999999999995,258.84,217.16000000000008,151.56000000000006,107.32,65.56,30.000000000000007,5.480000000000001,5.120000000000001,4.4,4.560000000000003,4.759999999999998,4.12,3.92,3.3600000000000003,2.679999999999999,2.440000000000003,2.040000000000002,1.2800000000000016,0.8000000000000007,-0.19999999999999796,-0.9999999999999973,-1.4799999999999982,-1.6400000000000001,-1.8800000000000003,-2.3999999999999995,-2.5999999999999996,-2.6799999999999993,-2.88,-3.08,-2.960000000000001,-3.24,-3.0000000000000004,-0.48000000000000087,22.68,48.800000000000004,82.68,123.08000000000006,166.04,195.68,233.07999999999996,266.80000000000007,290.5999999999999,306.44000000000005,313.4000000000001,311.12,305.75999999999993,302.9999999999999,304.88,308.12,311.4,313.8400000000001,316.63999999999993,318.20000000000005,319.8,319.7599999999999,319.19999999999993,317.76,315.1200000000001,312.56000000000006,309.92000000000013,307.3600000000001,305.7600000000001,304.9600000000001,304.36,303.92,303.52000000000015,302.8399999999999,302.7999999999999,301.67999999999984,300.96000000000004,299.8000000000001,298.2000000000001,296.55999999999995,294.48,291.08000000000004,286.3199999999999,279.9599999999999,272.88,266.76,262.03999999999996,259.64,258.1199999999999,256.11999999999995,252.84,248.44000000000005,243.16000000000003,239.60000000000002,234.71999999999997,228.6,219.83999999999992,208.72000000000003,195.03999999999996,180.99999999999997,173.47999999999996,172.48000000000002,182.64,203.2,230.23999999999995,255.27999999999992,276.9199999999999,292.24,298.6,300.64,300.52,299.87999999999994
9,321.6000000000001,319.7600000000001,317.32000000000005,314.55999999999995,310.56,306.80000000000007,303.00000000000017,299.4000000000001,296.8,294.6,292.08000000000004,289.68000000000006,288.08,285.72,284.7600000000001,283.44000000000005,281.88,281.6400000000001,283.4000000000001,285.68000000000006,288.1600000000002,290.44000000000017,292.72,295.24,297.6,300.2799999999999,303.4800000000001,304.72,304.44000000000005,303.76,303.43999999999994,302.79999999999995,301.8399999999999,301.0400000000001,301.03999999999985,301.24,302.03999999999996,303.12,308.8799999999999,315.4000000000001,323.1999999999999,332.7600000000001,343.4000000000001,349.96000000000004,356.4,362.24,366.44000000000005,369.52000000000004,370.5600000000001,367.48000000000013,359.72,347.79999999999995,331.80000000000007,313.91999999999996,296.44000000000005,280.7999999999999,267.2799999999999,257.36,249.08000000000004,241.27999999999997,232.92000000000002,224.83999999999992,205.48000000000008,175.60000000000008,136.60000000000008,97.16000000000003,57.599999999999966,30.04000000000002,14.199999999999996,9.679999999999998,7.719999999999997,7.359999999999999,7.160000000000001,6.760000000000001,6.239999999999999,5.64,5.3199999999999985,4.640000000000002,3.880000000000003,3.2399999999999975,3.7600000000000007,3.2399999999999993,2.8800000000000003,3.079999999999998,2.8400000000000003,2.1199999999999983,2.0000000000000018,1.640000000000002,1.4400000000000008,1.4800000000000035,1.0400000000000036,0.9600000000000035,0.7200000000000029,0.24000000000000288,0.040000000000000924,0.040000000000000924,5.24,20.999999999999993,59.799999999999976,108.28,163.64000000000001,221.24000000000007,271.64,297.0400000000001,310.84,316.8799999999999,314.5999999999999,309.9199999999999,307.15999999999997,306.27999999999986,306.64,307.52000000000004,307.84000000000015,308.59999999999997,308.7200000000001,308.0800000000001,306.92,305.2,302.1600000000001,294.4,285.7199999999999,277.08,268.79999999999995,261.59999999999997,259.59999999999997,258.87999999999994,257.72,256.36,254.7600000000001,252.88000000000005,250.48000000000008,249.24,248.36,247.24000000000004,245.96,244.92000000000007,243.6,243.20000000000005,242.72000000000003,242.96000000000004,244.76000000000002,247.48000000000002,250.20000000000002,254.1200000000001,258.12,261.68000000000006,264.99999999999994,267.72,270.28,272.1600000000001,273.76,275.40000000000003,276.5200000000001,276.9200000000001,277.24,277.04,275.76000000000005,274.96,273.36,271.52,269.67999999999995,267.99999999999994,266.72,265.8,265.91999999999996,266.76,268.0,268.9200000000001,270.88000000000005,272.6,274.0799999999999
10,294.48,294.96000000000004,295.32000000000005,295.04,295.0,295.12,294.84000000000003,294.91999999999996,295.1199999999999,294.79999999999995,294.27999999999986,292.9999999999999,290.6399999999999,287.99999999999994,284.4799999999999,279.03999999999996,271.96000000000004,263.6,255.32,248.32000000000005,244.87999999999994,244.55999999999997,246.0399999999999,247.92000000000004,249.68,249.4,248.44,248.0,248.60000000000002,250.83999999999997,254.00000000000003,258.15999999999997,261.99999999999994,265.76,268.52000000000004,271.72,274.68000000000006,277.9200000000001,281.64,285.16,288.67999999999995,292.7600000000001,300.4800000000001,308.84000000000003,319.0,329.6399999999999,339.1199999999999,345.12,348.44000000000005,348.7600000000001,347.0799999999999,344.52,341.15999999999997,337.56000000000006,334.68000000000006,331.88,329.32000000000005,326.23999999999995,322.31999999999994,316.88,307.55999999999983,293.1600000000001,274.2400000000001,250.43999999999997,221.68000000000006,190.72000000000008,154.2000000000001,113.84,76.92000000000004,46.92,23.640000000000008,10.72,7.120000000000004,6.6000000000000005,5.96,4.879999999999995,4.639999999999998,4.200000000000001,3.3199999999999994,2.5199999999999996,2.399999999999996,2.039999999999997,1.3599999999999972,1.2399999999999975,1.1599999999999961,0.5199999999999978,-0.23999999999999932,-0.4000000000000026,-0.9200000000000035,-1.7599999999999998,-2.0799999999999987,-1.9999999999999964,-2.1599999999999966,-1.7199999999999975,-1.3999999999999986,5.9200000000000035,23.519999999999996,52.92000000000003,87.92,137.4,184.03999999999996,215.9600000000001,231.03999999999996,236.40000000000006,225.39999999999992,219.88000000000002,232.8,252.64000000000004,273.16,294.67999999999995,308.8800000000001,309.9999999999999,310.15999999999997,312.44000000000005,315.24,314.56000000000006,312.3599999999999,308.64,305.19999999999993,302.2399999999999,299.32,297.2,295.6,294.32000000000005,292.64000000000004,292.56,291.87999999999994,291.32000000000005,291.32000000000005,291.6,290.8399999999999,290.4799999999999,289.68000000000006,288.24,287.04,286.08,284.56000000000006,283.1200000000001,281.76,278.4,272.36,263.47999999999996,251.60000000000002,236.71999999999997,222.64,210.68,203.88,201.39999999999995,201.7999999999999,203.59999999999997,207.44000000000005,211.04000000000002,215.0,220.04000000000002,225.03999999999996,228.43999999999994,231.19999999999993,233.55999999999995,236.15999999999997,239.36,244.2800000000001,250.0,255.48,261.03999999999996,266.03999999999996,270.11999999999995,272.92,275.44,276.96000000000004,277.28,274.6
