Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,70.32,69.52000000000001,69.00000000000001,68.6,68.8,69.08000000000001,69.60000000000001,70.2,70.84,71.16,71.60000000000001,72.00000000000001,72.32000000000001,72.56000000000002,72.76,72.92,73.0,73.0,72.8,72.64,72.28,71.92,71.32,70.84,70.28,69.92000000000002,69.48,69.04,68.80000000000001,68.44000000000001,68.08000000000001,67.83999999999999,67.88,67.96,68.24000000000001,68.32000000000001,68.28000000000002,68.04,67.64000000000001,67.20000000000002,66.72000000000001,66.28000000000002,65.68,65.08000000000001,64.24,63.64,63.24,63.28,63.56,64.08000000000001,64.88,65.80000000000001,67.4,70.11999999999999,77.24,84.16,90.8,96.80000000000001,101.44,101.72,101.80000000000001,101.44000000000003,99.96,96.63999999999999,91.35999999999999,85.0,78.03999999999999,70.88,60.92,48.879999999999995,36.040000000000006,24.12,13.52,7.56,5.36,5.12,5.04,4.88,4.72,4.5600000000000005,4.5200000000000005,4.44,4.16,3.920000000000001,3.9600000000000004,3.6400000000000006,3.4000000000000004,3.3600000000000003,3.3200000000000003,3.16,3.2800000000000002,3.2399999999999998,4.32,19.08,33.440000000000005,47.12,59.2,68.80000000000001,66.32000000000001,64.44,63.24,63.72,65.72,66.08,66.44,66.75999999999999,66.80000000000001,66.24,65.60000000000001,64.64,63.64000000000001,62.68,61.76,60.720000000000006,59.68,58.56000000000001,57.68,56.999999999999986,56.31999999999999,55.63999999999999,54.8,53.839999999999996,52.72,51.72,50.879999999999995,50.32000000000001,50.2,50.720000000000006,51.720000000000006,53.199999999999996,55.16,57.31999999999999,59.56,61.67999999999999,63.800000000000004,65.92,68.16,70.64,73.36,75.79999999999998,77.83999999999999,79.24,79.76,79.48,78.19999999999999,75.36000000000001,69.36000000000001,59.800000000000004,48.760000000000005,37.52,24.639999999999997,14.76,8.72,4.3999999999999995,1.0799999999999998,0.8400000000000005,1.6,5.96,14.759999999999998,25.12,37.92,51.79999999999999,63.199999999999996,71.4,78.96000000000001,85.67999999999999,91.39999999999999,95.8,98.32000000000002,98.96000000000001,97.00000000000001
2,56.279999999999994,52.24,48.92,47.28000000000001,47.76,49.43999999999999,52.24,56.39999999999999,60.07999999999999,62.879999999999995,65.19999999999999,67.15999999999998,68.08,68.8,68.88,68.84,68.52,68.15999999999998,67.67999999999999,67.39999999999999,67.11999999999999,67.08,67.28,67.71999999999998,68.51999999999998,69.48,70.23999999999998,71.35999999999999,72.75999999999999,74.08,75.36,76.75999999999999,78.0,79.03999999999999,79.79999999999998,80.67999999999999,81.36,82.0,82.76,83.67999999999999,84.28,85.08,85.48,85.88,86.4,87.35999999999999,88.52000000000001,89.91999999999999,91.19999999999999,92.36000000000001,93.60000000000001,94.79999999999998,96.24000000000002,97.55999999999999,99.07999999999998,100.24,101.08000000000001,101.56000000000002,102.08000000000001,102.39999999999999,102.48,102.63999999999999,103.00000000000001,103.24000000000002,103.24000000000002,102.36000000000001,87.51999999999998,69.44,50.11999999999999,31.039999999999996,12.920000000000002,8.600000000000001,7.200000000000001,6.96,6.5600000000000005,6.200000000000001,5.800000000000001,5.640000000000001,5.44,5.240000000000001,5.120000000000001,5.080000000000001,4.920000000000001,4.72,4.680000000000001,4.5600000000000005,4.56,4.4,4.4,4.4,4.36,4.240000000000001,4.080000000000001,3.960000000000001,4.920000000000001,14.640000000000004,24.120000000000008,36.76,53.44,72.68,83.36000000000001,92.32,95.64,94.55999999999999,90.16,86.56,85.27999999999999,89.27999999999999,93.27999999999999,96.35999999999997,98.64,100.63999999999999,100.28,100.32000000000001,100.72000000000001,101.07999999999997,101.16,100.91999999999999,100.52000000000001,100.15999999999998,99.55999999999997,99.08,98.04,96.92,95.48000000000002,93.92000000000002,92.04000000000002,90.44000000000001,88.72,86.92,85.03999999999996,83.04,81.0,79.08,77.32,75.84,74.32,72.75999999999999,71.12,70.11999999999999,69.84,70.48,71.72,73.96,75.99999999999999,77.47999999999999,78.72,79.83999999999999,80.36,80.71999999999998,81.16,81.55999999999997,81.75999999999999,81.95999999999998,82.31999999999998,82.71999999999997,83.2,83.99999999999999,84.71999999999998,85.44,85.92,86.03999999999999,85.88,85.32,84.23999999999998,82.96,81.71999999999998,80.91999999999997,80.68,81.16,81.8
3,72.00000000000001,71.88000000000001,71.8,71.47999999999999,70.84000000000002,70.00000000000001,69.0,67.56,66.12,64.56,62.99999999999999,61.91999999999999,61.39999999999999,61.239999999999995,61.44,62.239999999999995,63.120000000000005,64.24,65.52,66.92,68.03999999999999,69.12,69.8,70.28,70.72000000000001,71.04,71.43999999999998,71.67999999999999,71.87999999999998,72.04,72.03999999999999,71.88,71.8,71.47999999999999,70.39999999999999,69.35999999999999,69.24,69.2,69.83999999999999,71.19999999999999,72.63999999999999,73.07999999999998,73.4,73.4,73.35999999999999,73.03999999999998,72.92,73.11999999999999,73.39999999999999,73.87999999999998,74.72,76.71999999999998,78.96,81.56000000000002,83.91999999999999,86.88,89.16000000000003,92.20000000000002,94.76000000000002,97.24,99.11999999999999,100.39999999999999,100.56,100.59999999999998,94.48,85.52,72.24,54.67999999999999,35.92,23.480000000000004,14.04,8.72,7.6000000000000005,7.720000000000001,7.680000000000001,7.24,7.000000000000001,6.6000000000000005,6.320000000000001,6.080000000000001,6.000000000000001,5.960000000000001,5.960000000000001,5.920000000000001,5.880000000000001,5.800000000000001,5.760000000000001,5.840000000000001,5.6000000000000005,5.44,5.32,5.160000000000001,4.880000000000001,4.840000000000001,4.680000000000001,5.72,15.48,25.880000000000006,38.84,55.680000000000014,73.88000000000001,79.16,85.4,91.24000000000002,93.67999999999998,93.88000000000001,98.48,101.32000000000001,102.08000000000003,102.51999999999998,103.31999999999998,104.63999999999999,106.24,107.67999999999999,108.8,109.03999999999999,108.63999999999999,107.91999999999997,106.75999999999999,105.79999999999998,104.76,103.64000000000001,102.84,102.28000000000002,101.67999999999999,101.32000000000001,100.92,100.36,100.04,99.88000000000001,99.72,99.47999999999999,99.4,99.32000000000001,99.24000000000001,99.0,98.88000000000001,98.48,98.08,97.44000000000001,96.96,95.80000000000001,94.28000000000002,92.27999999999999,90.32,88.36,86.84,85.40000000000002,84.12,82.68000000000002,80.72,78.75999999999999,77.39999999999999,76.8,76.84,77.83999999999999,79.28,80.75999999999999,82.16,83.56,84.8,85.92,87.03999999999999,87.8,88.4,88.84,89.24000000000001,89.75999999999999,90.44,90.96,91.44000000000003
4,57.080000000000005,57.800000000000004,58.56000000000001,59.120000000000005,59.88,60.32,60.88000000000002,61.60000000000001,62.24000000000001,62.919999999999995,63.92000000000001,64.75999999999999,65.44,66.68,67.75999999999999,68.68,69.56,70.4,70.72000000000001,70.72000000000001,70.28,69.44,68.4,67.12,65.88000000000001,64.8,63.919999999999995,63.08,62.480000000000004,61.79999999999999,61.279999999999994,60.64,60.239999999999995,59.75999999999999,59.68,59.63999999999999,59.99999999999999,60.36,60.88000000000001,61.239999999999995,61.760000000000005,62.440000000000005,63.040000000000006,63.84,64.60000000000001,65.48,66.48,68.12,70.28000000000002,73.00000000000001,76.24000000000002,79.64000000000001,82.84,85.68,88.6,91.04,92.96,94.8,96.24,96.88000000000001,97.04000000000002,97.76,98.16000000000001,98.32000000000001,98.04,97.16,78.44,59.64,40.84000000000001,22.759999999999994,5.5200000000000005,5.28,5.16,5.12,4.8,4.6,4.68,4.56,4.52,4.720000000000001,4.640000000000001,4.319999999999999,4.28,4.16,3.88,3.76,3.88,3.7200000000000006,3.5200000000000005,3.4800000000000004,3.5200000000000005,3.4400000000000004,3.4800000000000004,3.4000000000000004,3.5600000000000005,8.08,17.960000000000004,32.48,50.16,70.84,93.84000000000002,113.0,127.07999999999998,138.28,146.75999999999996,148.51999999999998,148.68,148.63999999999996,147.83999999999997,146.35999999999999,144.92000000000002,143.72000000000003,143.28,143.6,144.31999999999996,144.88,145.44,145.92000000000002,146.24000000000004,146.12,145.88000000000002,145.36,144.56,143.79999999999998,142.84,141.72,140.64,139.24,137.56000000000003,135.88000000000002,133.96,131.8,129.71999999999997,127.40000000000002,124.96000000000002,122.76,120.52000000000001,118.19999999999997,116.28,114.55999999999997,113.00000000000001,111.64000000000001,110.24,108.32,106.71999999999998,105.39999999999998,104.44,104.4,105.27999999999999,106.0,106.11999999999999,105.88,104.99999999999999,103.2,100.72,98.36,96.08,94.32000000000001,93.36,93.32000000000001,93.80000000000001,94.44000000000003,95.00000000000001,96.67999999999999,98.32000000000002,99.92000000000002,101.11999999999999,101.52,99.76000000000002,96.76000000000002,92.88
5,85.32000000000001,84.4,83.24000000000001,81.80000000000001,80.28,78.64,77.12,76.00000000000001,75.24,74.84,74.52000000000001,74.52,74.28,74.16,73.80000000000001,73.39999999999999,72.75999999999999,72.16000000000001,71.28,70.44,69.56,68.24000000000001,66.68,65.39999999999999,64.44,63.84000000000001,64.0,65.2,66.96,69.31999999999998,72.12,75.36,78.36000000000001,81.32000000000001,83.84000000000002,86.12000000000002,87.92000000000002,89.4,90.44000000000001,91.24,91.88,92.68,93.91999999999999,94.99999999999999,96.20000000000002,97.32,98.16,98.56,99.0,99.55999999999999,100.04,100.60000000000002,101.28000000000002,102.24000000000002,103.11999999999999,104.16000000000003,105.07999999999998,105.91999999999997,106.27999999999999,105.92,103.88000000000001,100.43999999999998,95.39999999999999,89.72,83.19999999999999,73.56000000000002,60.40000000000001,46.2,32.39999999999999,19.96,12.08,9.16,8.559999999999999,8.4,8.2,8.04,7.8,7.72,7.6,7.5200000000000005,7.44,7.32,7.239999999999999,7.16,7.040000000000001,6.920000000000001,6.92,6.680000000000001,6.6000000000000005,6.5200000000000005,6.36,6.24,6.32,6.24,6.32,6.32,6.44,6.4,9.079999999999998,17.400000000000002,29.28,44.60000000000001,64.24000000000001,79.31999999999998,88.32,93.68000000000002,95.12,91.96000000000001,90.28,88.39999999999998,82.16000000000001,75.28,68.03999999999999,60.199999999999996,51.919999999999995,47.440000000000005,42.879999999999995,37.92,33.2,28.84,24.24,20.199999999999996,17.360000000000003,14.92,13.000000000000002,12.0,11.360000000000003,10.72,10.039999999999997,9.319999999999999,8.719999999999999,8.040000000000001,7.2799999999999985,6.999999999999998,6.4799999999999995,6.079999999999999,5.879999999999999,5.919999999999999,5.919999999999999,6.3599999999999985,6.56,16.400000000000002,26.08,35.72,45.160000000000004,54.88,54.88,55.0,55.239999999999995,55.6,55.71999999999999,55.96,56.12,56.239999999999995,57.39999999999999,59.639999999999986,62.04,64.60000000000001,67.36000000000001,69.08000000000001,70.04000000000002,71.03999999999999,71.83999999999999,71.08,69.80000000000001,68.03999999999999,65.48000000000002,62.48,60.760000000000005,59.64,58.599999999999994
6,45.07999999999999,45.56,45.720000000000006,45.800000000000004,45.919999999999995,45.76,45.760000000000005,45.92,46.24000000000001,46.56,47.040000000000006,47.56,48.040000000000006,48.31999999999999,48.31999999999999,48.16,47.44,46.31999999999999,45.0,43.64,42.31999999999999,41.559999999999995,40.92,40.35999999999999,39.92,39.52,39.08,38.800000000000004,38.6,38.67999999999999,38.59999999999999,38.4,38.4,38.440000000000005,38.480000000000004,38.68000000000001,38.96000000000001,39.160000000000004,39.4,39.440000000000005,39.72,39.96,40.36000000000001,40.6,41.199999999999996,41.480000000000004,42.04,42.440000000000005,43.31999999999999,44.36,45.99999999999999,47.76,49.63999999999999,51.68,53.32,54.64000000000001,55.52,56.279999999999994,56.64,57.03999999999999,57.36,57.8,58.31999999999999,58.959999999999994,59.599999999999994,60.28,61.00000000000001,61.76000000000001,62.360000000000014,62.64,61.64,56.76,47.76,36.88,25.680000000000003,15.6,9.16,6.680000000000001,6.000000000000001,5.760000000000002,5.5200000000000005,5.4399999999999995,5.2,4.88,4.8,4.72,4.48,4.36,4.24,4.08,4.0,4.0,4.12,4.239999999999999,4.32,4.28,4.279999999999999,4.08,5.2,17.119999999999997,30.960000000000008,46.760000000000005,63.559999999999995,78.64,81.88,82.15999999999998,79.32,74.99999999999999,70.6,66.63999999999999,63.120000000000005,60.04,57.32000000000001,55.160000000000004,53.720000000000006,53.04,53.199999999999996,53.800000000000004,54.800000000000004,56.04,57.28,58.48,59.31999999999999,59.8,59.6,59.16,58.279999999999994,57.239999999999995,55.67999999999999,53.79999999999999,51.4,48.68000000000001,45.63999999999999,42.32000000000001,38.839999999999996,35.400000000000006,32.2,29.48,27.4,25.999999999999996,25.440000000000005,25.959999999999997,27.4,29.52,32.279999999999994,35.120000000000005,37.44,38.96000000000001,39.919999999999995,40.28,40.559999999999995,40.87999999999999,41.36,41.839999999999996,41.96,41.44,40.440000000000005,39.00000000000001,37.4,36.32,36.160000000000004,36.559999999999995,37.919999999999995,39.879999999999995,42.199999999999996,44.2,46.08,47.39999999999999,48.36,49.12,49.760000000000005
7,51.68000000000001,51.199999999999996,50.720000000000006,50.480000000000004,50.040000000000006,49.64000000000001,49.56000000000002,49.52000000000001,49.400000000000006,49.60000000000001,49.71999999999999,49.800000000000004,49.84,49.839999999999996,49.559999999999995,49.32000000000001,48.559999999999995,47.44,46.04,44.28000000000001,42.440000000000005,40.760000000000005,39.24,37.760000000000005,36.400000000000006,35.31999999999999,34.63999999999999,34.16,33.83999999999999,33.76,33.68,33.6,33.36,33.279999999999994,33.23999999999999,33.239999999999995,33.559999999999995,34.559999999999995,35.8,37.440000000000005,39.160000000000004,40.8,42.84,45.440000000000005,48.64000000000001,52.959999999999994,57.519999999999996,61.92,66.2,70.04,72.68,75.16,77.16,78.95999999999998,81.80000000000001,84.44,86.84,88.88000000000001,90.52,90.47999999999999,90.52,90.64000000000001,91.12,91.88,93.08000000000001,94.08000000000001,88.80000000000001,78.56000000000002,63.36,45.64000000000001,27.960000000000004,16.24,9.04,6.480000000000001,6.120000000000001,5.720000000000001,5.48,5.4,5.08,4.720000000000001,4.640000000000001,4.400000000000001,4.160000000000001,4.120000000000001,4.160000000000001,4.0,3.920000000000001,3.92,3.7600000000000007,3.640000000000001,3.640000000000001,3.600000000000001,3.480000000000001,3.600000000000001,3.560000000000001,3.400000000000001,3.1600000000000006,3.0000000000000004,9.24,20.520000000000003,36.88,56.079999999999984,77.08,91.52000000000002,100.80000000000001,104.28,103.07999999999998,99.07999999999998,94.99999999999999,90.92,87.32000000000001,85.67999999999999,85.24000000000001,85.56,86.71999999999998,88.55999999999999,90.79999999999998,93.44000000000003,95.76000000000002,97.67999999999998,99.36,100.8,101.24,101.44000000000001,101.44000000000001,100.84,99.96,99.32000000000001,98.60000000000001,97.88,97.68,97.39999999999999,97.19999999999999,97.04,96.71999999999998,96.44,96.47999999999999,96.44,96.31999999999998,96.39999999999999,96.44,96.36,96.4,96.52,96.71999999999998,96.87999999999998,97.16000000000001,97.44,97.99999999999999,98.52000000000001,99.03999999999999,99.64,100.23999999999998,100.75999999999999,101.36,102.04000000000002,102.52,103.07999999999998,103.60000000000001,103.92,104.15999999999997,104.55999999999997,104.75999999999999,104.67999999999998,104.47999999999996,104.43999999999997,104.03999999999999,103.71999999999998,103.43999999999998,103.23999999999998,102.83999999999997
8,32.440000000000005,33.16,34.0,34.56,34.6,34.39999999999999,33.879999999999995,33.36,32.919999999999995,32.68,31.960000000000004,31.16,29.999999999999996,29.08,28.32,28.279999999999998,28.319999999999997,28.04,27.039999999999996,25.479999999999993,23.599999999999998,21.759999999999998,20.16,19.04,18.279999999999998,17.72,17.36,17.48,17.32,17.28,17.2,17.280000000000005,17.48,18.160000000000004,18.880000000000003,19.68,20.6,21.32,22.159999999999997,23.24,24.84,26.84,29.440000000000005,32.64,36.160000000000004,40.28,44.48,48.32,54.04,59.800000000000004,64.83999999999999,69.28,74.55999999999999,77.64,80.48,82.99999999999999,85.72,87.63999999999999,88.88000000000001,89.88000000000002,90.92000000000002,91.51999999999998,91.84,92.44,93.36,93.36000000000001,90.72,83.08,65.60000000000001,47.72,30.559999999999995,15.999999999999998,6.4,6.28,6.08,6.0,6.0,5.799999999999999,5.76,5.56,5.3999999999999995,5.3999999999999995,5.359999999999999,5.359999999999999,5.239999999999999,4.919999999999999,4.679999999999999,4.68,4.4799999999999995,4.4399999999999995,4.359999999999999,4.319999999999999,4.159999999999999,4.079999999999999,3.959999999999999,4.0,3.92,3.8,4.56,13.84,25.119999999999997,39.720000000000006,57.07999999999999,75.68,87.11999999999998,96.67999999999999,102.36000000000001,104.88,105.44000000000001,104.99999999999999,104.48,104.19999999999999,104.27999999999999,104.35999999999999,104.11999999999999,104.07999999999998,104.27999999999997,104.52,104.88000000000001,105.44,105.83999999999999,106.19999999999997,106.55999999999996,106.52000000000001,106.23999999999998,105.68000000000002,105.2,104.56000000000003,103.84000000000002,102.12,100.2,98.2,96.15999999999998,94.27999999999999,92.8,91.39999999999998,89.88000000000002,88.12000000000002,86.2,84.19999999999999,81.6,78.11999999999999,74.03999999999999,69.8,65.88,62.84,60.959999999999994,59.55999999999998,57.76,55.36,52.47999999999999,49.36000000000001,47.12000000000001,44.88,42.44,39.68,36.720000000000006,33.32,30.640000000000004,32.04,35.07999999999999,39.87999999999999,46.04,52.83999999999999,57.03999999999999,60.559999999999995,62.96,64.0,64.32,64.48,64.2
9,73.32,71.75999999999999,69.72,67.8,65.24,62.72,60.60000000000001,59.160000000000004,58.080000000000005,58.080000000000005,58.279999999999994,58.68,59.64,60.8,62.32000000000001,63.84,65.19999999999999,66.32,67.28,68.08,68.56,68.64,68.64,68.8,68.8,69.0,69.08000000000001,68.63999999999999,67.88,67.16,66.39999999999999,66.03999999999999,65.83999999999999,65.83999999999999,65.99999999999999,66.52,67.28,68.16,70.56,73.48000000000002,76.92,80.64,84.64000000000001,87.16000000000003,89.80000000000003,92.36000000000001,95.04000000000002,97.92,101.16000000000001,103.92,106.27999999999999,107.79999999999998,108.64000000000003,108.67999999999999,108.04,106.63999999999997,104.83999999999999,102.83999999999999,100.83999999999999,98.67999999999999,96.07999999999997,93.47999999999999,86.48,74.72000000000001,59.04000000000001,43.00000000000001,27.079999999999995,15.92,9.639999999999997,8.000000000000002,7.520000000000001,7.440000000000002,7.320000000000001,7.240000000000001,7.08,6.84,6.640000000000001,6.44,6.200000000000001,5.880000000000001,6.000000000000001,6.000000000000001,5.920000000000001,6.040000000000001,6.000000000000001,5.840000000000002,5.6800000000000015,5.6400000000000015,5.520000000000001,5.480000000000001,5.360000000000001,5.400000000000001,5.280000000000001,5.08,5.0,4.880000000000001,6.080000000000001,13.44,29.960000000000004,47.48,65.68,83.03999999999999,94.00000000000001,95.64,96.16000000000001,95.88,94.87999999999998,93.87999999999998,92.72,91.71999999999998,90.83999999999999,89.96,89.4,89.24000000000002,88.80000000000001,88.2,87.44,86.44000000000001,84.95999999999998,80.84000000000002,76.28000000000002,71.88000000000001,67.52000000000001,63.800000000000004,63.04,62.8,62.68,62.760000000000005,62.64,62.52000000000001,62.24000000000001,61.96,61.720000000000006,61.440000000000005,61.080000000000005,60.720000000000006,60.36000000000001,60.20000000000002,60.0,59.96,60.480000000000004,61.28,61.96000000000001,62.96000000000001,64.03999999999999,65.03999999999999,65.88,66.96000000000001,67.80000000000001,68.24000000000001,68.52,68.96000000000001,68.96000000000001,68.96000000000002,68.92,68.76000000000002,68.20000000000002,67.56,66.84,66.00000000000001,65.04,64.4,63.84000000000001,63.36,63.36000000000001,63.80000000000001,64.15999999999998,64.88000000000002,65.68000000000002,66.60000000000001,67.4
10,66.16000000000001,66.2,66.32,66.32,66.32,66.28,66.24000000000001,66.2,66.04,65.64000000000001,65.28,64.39999999999999,63.35999999999999,62.31999999999999,61.27999999999999,59.87999999999999,58.48,56.76,55.16,53.519999999999996,52.279999999999994,51.32,50.72,50.040000000000006,49.36000000000001,48.31999999999999,47.24,46.24,45.83999999999999,46.279999999999994,47.08,48.24,49.519999999999996,50.56,51.44,52.72,54.04,55.52,57.16,58.76,60.36000000000001,62.2,65.24,69.16,73.83999999999999,78.8,83.75999999999999,87.75999999999999,90.63999999999999,92.52000000000001,93.72000000000001,94.43999999999998,94.72,94.68,94.64,94.44000000000001,94.24,94.24000000000002,94.64000000000001,95.39999999999999,96.51999999999998,97.47999999999999,97.28000000000002,94.32000000000001,87.92,78.28000000000002,64.11999999999999,47.60000000000001,32.800000000000004,21.0,12.16,7.920000000000001,7.08,7.0,6.800000000000001,6.6000000000000005,6.5200000000000005,6.28,6.04,5.88,5.84,5.76,5.68,5.64,5.6000000000000005,5.5600000000000005,5.4,5.36,5.36,5.159999999999999,4.999999999999999,5.000000000000001,4.880000000000001,4.88,4.88,8.040000000000003,19.28,34.2,50.6,68.96,85.32000000000001,93.92,98.43999999999998,100.19999999999999,99.23999999999998,98.03999999999999,96.59999999999998,95.56,95.84000000000002,96.88,96.88,95.19999999999997,93.15999999999997,90.36,87.35999999999999,84.08000000000001,82.16000000000001,80.24000000000001,78.68,77.51999999999998,76.4,75.48,74.96,74.60000000000001,74.08,73.76000000000002,73.32,72.84,72.48,72.12,71.44000000000001,70.88,70.08,68.88,67.64,66.6,65.32000000000001,64.12,63.08,61.56,58.839999999999996,54.88,49.76,43.919999999999995,38.28,33.720000000000006,30.68,28.840000000000003,27.240000000000002,25.959999999999997,24.84,24.12,24.080000000000005,24.96,26.159999999999997,27.599999999999994,29.119999999999994,30.840000000000003,32.879999999999995,35.400000000000006,38.919999999999995,42.800000000000004,46.56,50.199999999999996,53.519999999999996,55.919999999999995,57.75999999999999,59.19999999999999,59.92,59.519999999999996,57.68000000000001
