Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,279.12,286.43999999999994,299.00000000000006,313.3599999999999,329.20000000000005,344.36,344.84000000000003,345.84000000000003,347.52000000000004,349.44000000000005,352.15999999999997,354.9200000000001,357.1999999999999,357.80000000000007,356.4,353.0400000000001,347.96000000000004,341.07999999999987,333.7199999999999,326.2399999999999,318.03999999999996,310.52,303.4000000000001,294.72,282.52,265.64000000000004,243.36000000000004,220.24000000000007,200.19999999999993,186.52000000000004,182.76000000000005,188.64000000000004,199.28000000000003,213.28000000000003,231.60000000000008,251.99999999999997,273.08000000000004,294.3599999999999,316.04,338.6800000000002,360.08000000000004,379.88,401.52000000000004,419.75999999999993,431.0400000000001,437.00000000000006,439.36,436.20000000000005,430.7599999999999,421.8800000000001,409.43999999999994,393.8399999999999,373.96000000000004,352.32000000000016,332.71999999999997,314.91999999999996,298.43999999999994,283.56000000000006,266.96,245.04000000000002,209.24000000000007,160.00000000000003,114.35999999999997,73.75999999999999,40.639999999999986,23.520000000000003,22.479999999999997,20.96,19.720000000000002,18.6,17.6,17.120000000000005,16.520000000000003,16.240000000000002,15.200000000000005,14.640000000000004,13.680000000000005,12.760000000000005,12.000000000000004,11.320000000000004,10.680000000000003,10.400000000000006,10.280000000000005,10.040000000000004,9.600000000000003,9.080000000000002,8.600000000000001,8.240000000000002,7.840000000000002,8.120000000000001,8.360000000000003,8.120000000000001,8.320000000000002,8.040000000000003,7.400000000000001,6.920000000000002,7.000000000000002,6.520000000000001,6.48,12.759999999999998,65.56000000000002,133.24000000000004,186.07999999999998,226.52000000000004,283.91999999999996,303.36,306.59999999999997,322.6,349.87999999999994,356.9599999999999,356.7999999999999,357.20000000000005,360.1200000000001,364.19999999999993,366.03999999999996,366.71999999999997,368.0,369.9200000000001,372.03999999999996,373.68,374.59999999999997,375.15999999999997,374.1600000000001,372.12,368.6400000000001,365.0799999999999,360.20000000000005,354.31999999999994,346.91999999999996,337.72,322.2799999999999,301.20000000000005,258.03999999999996,213.63999999999996,168.63999999999996,128.52,94.44,84.64,82.96000000000001,100.12,137.8,181.68000000000006,226.67999999999995,268.12,294.43999999999994,302.9199999999999,306.43999999999994,308.8399999999999,309.7200000000001,310.0,307.87999999999994,303.96000000000004,296.88000000000005,287.0400000000001,276.91999999999996,268.20000000000005,263.71999999999997,264.0,270.7199999999999,283.87999999999994,298.55999999999995,311.19999999999993,321.72,328.44,329.9200000000001,329.79999999999995,328.84,326.6399999999999,323.2,317.5999999999999,309.5999999999999
2,349.00000000000006,350.6,351.56000000000006,352.1200000000001,352.20000000000005,351.2400000000001,350.4000000000001,349.8400000000001,349.6,349.48000000000013,349.8400000000001,351.0400000000001,352.6,354.40000000000015,356.16000000000014,356.72,355.0400000000001,349.32000000000016,337.32000000000005,319.84000000000003,298.44000000000005,274.80000000000007,251.8,231.96,214.40000000000003,199.55999999999997,186.07999999999998,173.64,160.99999999999997,148.76000000000005,138.08000000000004,128.8,120.04,111.48000000000002,107.04000000000002,106.28000000000003,111.08000000000004,131.51999999999998,166.56,204.67999999999995,251.84000000000006,297.20000000000005,330.55999999999995,360.19999999999993,387.35999999999996,403.36,416.79999999999995,427.76000000000016,428.8400000000001,425.20000000000005,416.28,402.4,384.08000000000004,364.64,345.31999999999994,318.72,293.6000000000001,268.2800000000001,244.48000000000002,218.24,191.84000000000003,153.56,114.44,76.47999999999999,43.040000000000006,21.32,14.479999999999999,13.28,11.76,10.559999999999997,9.639999999999999,8.399999999999997,7.8,6.88,6.200000000000001,4.840000000000001,4.64,3.7600000000000007,3.4000000000000004,3.04,3.04,2.7199999999999998,2.24,2.16,2.5599999999999996,2.5199999999999996,2.3199999999999994,2.2799999999999994,1.9999999999999998,1.28,1.2,0.8799999999999994,0.7999999999999994,0.4,-6.661338147750939e-16,-0.16000000000000036,0.5199999999999997,8.2,31.680000000000007,90.84,145.51999999999995,181.43999999999988,208.07999999999998,223.60000000000005,212.12000000000012,206.59999999999997,219.2399999999999,229.2,233.16,228.15999999999997,221.04000000000002,214.63999999999993,214.83999999999997,217.48,221.39999999999998,224.84000000000003,227.48000000000002,228.1599999999999,228.32,227.07999999999996,225.88,224.1199999999999,221.67999999999995,220.60000000000002,220.7199999999999,222.32000000000005,224.43999999999988,227.2,228.63999999999996,228.52,227.12000000000003,225.40000000000003,224.03999999999996,222.28000000000003,220.1199999999999,217.4,213.28,207.16000000000003,198.84000000000003,188.92000000000002,176.76,164.1199999999999,151.67999999999995,139.51999999999987,129.28,121.92000000000004,118.4,121.24,132.36,151.56000000000006,178.2,210.91999999999996,240.35999999999993,263.19999999999993,276.55999999999995,280.8399999999999,275.8800000000001,268.6400000000001,267.6399999999999,270.55999999999995,277.5199999999999,288.5200000000001,301.96000000000004,310.0,316.88000000000005,321.48,324.91999999999985,327.0400000000001,328.6400000000001,329.9200000000001,331.72
3,285.2800000000001,263.0,238.88,220.6,206.31999999999996,197.96,193.64,193.72000000000006,196.96,203.36000000000004,214.07999999999998,230.76,249.16,265.32,279.08000000000004,289.52,294.31999999999994,294.9200000000001,296.36,298.24,299.40000000000003,300.24000000000007,301.6000000000001,302.7199999999999,304.24,306.44,308.52,310.35999999999996,312.24,313.64,314.92000000000013,315.36,315.68,308.43999999999994,297.3200000000001,269.36,244.67999999999998,223.84000000000003,214.19999999999987,212.68,231.68000000000006,255.84000000000003,278.43999999999994,298.44,314.88,329.3599999999999,337.3599999999999,344.80000000000007,351.84,357.7200000000001,360.91999999999985,359.88,354.56000000000006,344.44000000000005,330.00000000000006,310.2800000000001,291.6399999999999,278.44000000000005,272.68000000000006,264.9599999999999,260.03999999999996,252.12000000000003,238.95999999999998,219.24000000000004,202.95999999999995,186.7999999999999,164.92000000000002,133.28000000000003,98.91999999999996,67.63999999999999,39.15999999999998,20.92,15.040000000000012,14.84000000000001,14.160000000000004,13.920000000000005,12.760000000000009,11.920000000000009,10.679999999999998,10.68,10.2,10.720000000000002,10.84,11.040000000000003,10.879999999999999,10.959999999999997,10.719999999999999,10.32,10.879999999999999,10.2,9.92,9.48,9.799999999999997,9.439999999999998,9.76,9.840000000000002,9.76,9.16,8.96,8.719999999999999,18.200000000000003,74.24000000000001,124.35999999999996,155.07999999999996,211.28000000000003,253.39999999999998,250.48000000000008,256.7199999999999,283.7600000000001,284.2400000000001,289.87999999999994,296.76,301.64,304.52000000000004,309.03999999999996,312.96000000000004,314.8399999999999,314.84,314.88000000000005,312.55999999999995,307.12,299.56000000000006,291.0799999999999,282.1199999999999,274.48000000000013,269.3600000000001,266.04,263.9599999999999,262.71999999999997,261.28,259.9599999999999,257.88,254.64000000000004,250.43999999999994,245.11999999999998,237.0,227.36,217.1599999999999,207.35999999999996,198.56000000000006,197.76,202.52,211.96000000000004,226.56000000000003,242.72000000000003,253.71999999999997,261.52000000000004,266.76000000000005,267.96,269.08000000000004,270.55999999999995,272.27999999999986,273.7599999999999,273.79999999999984,272.5599999999999,271.1599999999999,270.1599999999999,270.43999999999994,271.9599999999999,275.08,278.3599999999999,281.43999999999994,283.59999999999997,285.52,286.96,288.72,290.15999999999997,291.55999999999995,292.56,293.48,293.8799999999999
4,305.15999999999997,307.84000000000003,309.6,310.79999999999995,311.44,312.56000000000006,313.24,313.80000000000007,314.40000000000003,314.24,311.91999999999996,309.24,303.28,296.52,288.91999999999996,280.80000000000007,270.91999999999996,262.71999999999997,253.72000000000003,245.95999999999992,240.20000000000005,237.11999999999995,235.39999999999998,233.88,228.60000000000005,218.44,204.04000000000002,187.95999999999998,172.83999999999997,162.56000000000003,160.16,164.59999999999997,178.36,197.92000000000002,218.60000000000002,240.08,262.2,280.1600000000001,294.9199999999999,308.84000000000003,319.8799999999999,328.1200000000001,334.12,338.03999999999996,342.36000000000007,352.28,362.5199999999999,372.24000000000007,382.52000000000004,381.48000000000013,368.3600000000001,348.59999999999985,325.1599999999999,300.88,288.32,283.72,282.32000000000005,278.7599999999999,264.0400000000001,244.03999999999996,217.92000000000002,188.92000000000007,156.15999999999997,121.40000000000003,88.95999999999998,60.44,36.88000000000002,22.400000000000002,21.000000000000007,20.360000000000007,19.640000000000015,18.8,18.28000000000001,17.480000000000004,17.20000000000001,17.12000000000001,17.640000000000015,16.880000000000003,17.28,16.8,16.360000000000003,15.32,15.079999999999997,13.999999999999995,13.719999999999994,12.919999999999995,12.319999999999991,12.199999999999994,11.799999999999986,11.239999999999993,10.959999999999987,11.079999999999991,10.559999999999993,10.159999999999993,9.079999999999993,8.759999999999994,7.9599999999999955,12.359999999999994,22.799999999999997,51.120000000000005,84.75999999999999,139.8,197.92000000000007,245.27999999999997,271.0,291.4799999999999,291.7599999999999,284.79999999999995,281.6,282.52,284.76,287.24,289.48,293.9999999999999,299.48,303.5599999999999,306.44000000000005,308.68,309.0799999999999,308.03999999999996,306.3600000000001,304.28,302.12,300.24,298.7200000000001,296.32,294.32000000000005,291.91999999999996,289.52,286.88,284.72,281.08,277.8800000000001,273.9599999999999,269.44000000000005,264.44000000000017,260.24,253.51999999999998,242.76000000000013,226.0,200.76000000000002,167.28000000000003,131.32,99.63999999999999,78.87999999999997,75.84000000000002,94.83999999999999,126.99999999999997,164.6,201.03999999999994,231.64000000000013,250.76,263.2800000000001,273.0,280.79999999999995,286.48,290.19999999999993,292.88,293.52,293.36,292.32000000000005,290.7600000000001,289.32000000000005,289.23999999999995,289.28,290.44000000000005,292.6400000000001,295.00000000000006,296.12,297.32,297.84000000000003
5,228.15999999999997,242.72,265.84000000000003,291.56000000000006,312.8800000000001,328.32000000000016,337.12,335.96000000000004,329.0799999999999,320.79999999999995,312.12,305.0799999999999,302.48,305.64000000000004,310.96,317.9599999999999,325.9599999999999,331.8399999999999,334.08,336.4399999999999,337.64,337.91999999999996,338.08,337.76,335.55999999999995,323.88000000000005,305.72,284.72,260.67999999999995,226.60000000000005,200.23999999999992,178.15999999999997,156.88,140.04000000000002,134.92000000000002,132.92000000000002,134.23999999999995,139.36000000000007,142.52000000000004,140.59999999999997,135.99999999999994,130.08000000000004,128.64,137.15999999999997,155.87999999999997,187.76000000000005,221.80000000000004,250.55999999999995,274.28,296.36,310.8,324.67999999999995,338.08000000000004,347.2800000000001,353.28,357.9599999999999,361.80000000000007,366.80000000000007,372.96,377.67999999999995,378.67999999999995,376.00000000000006,367.44,351.3600000000001,329.96000000000004,305.20000000000005,282.19999999999993,259.44000000000005,239.51999999999992,222.63999999999993,206.79999999999995,190.07999999999998,176.48000000000002,166.08,157.28,151.11999999999998,145.56000000000006,138.04000000000005,109.11999999999998,81.95999999999998,56.0,31.480000000000004,10.31999999999999,9.919999999999995,9.119999999999994,7.800000000000001,6.839999999999998,5.479999999999999,5.599999999999999,5.2799999999999985,5.5600000000000005,5.959999999999999,6.079999999999998,5.3999999999999995,5.3199999999999985,4.879999999999999,4.279999999999998,3.7199999999999998,3.9999999999999964,6.200000000000001,49.080000000000034,109.84,150.31999999999994,180.44,209.23999999999998,206.88,200.23999999999995,212.56000000000006,227.44000000000005,245.36,255.12000000000003,252.07999999999998,252.48000000000008,261.32,265.0,266.7600000000001,265.5199999999999,261.4,254.75999999999996,248.15999999999997,241.8800000000001,236.64000000000004,233.0,231.27999999999997,231.52000000000004,232.63999999999993,234.48000000000008,235.71999999999997,236.24000000000004,234.52000000000004,231.32000000000008,227.2,221.96000000000004,216.16000000000003,211.40000000000006,206.32000000000005,200.12000000000006,191.00000000000009,177.60000000000002,160.00000000000006,140.64000000000001,121.76000000000002,105.2,92.2,82.27999999999997,75.47999999999999,71.20000000000002,71.72,77.28000000000002,92.91999999999996,118.2,146.72,172.56000000000003,195.4,210.72000000000003,214.72,212.39999999999998,207.84,201.4,191.8,183.19999999999993,175.92,170.32,166.2,164.12,164.48000000000005,168.15999999999997,173.88,179.63999999999996,185.92,190.64000000000001
6,345.15999999999997,352.68,358.56000000000006,361.5999999999998,363.7600000000001,363.47999999999996,364.0800000000001,363.32000000000005,361.04,353.8399999999999,342.6400000000001,325.59999999999997,304.9200000000001,282.96,262.64,244.92000000000002,229.56000000000003,216.52,204.83999999999997,193.60000000000002,182.92000000000004,173.83999999999997,169.84000000000003,179.2,196.36000000000004,210.15999999999997,215.32,210.16000000000003,190.39999999999992,165.43999999999994,152.27999999999997,157.0,182.12000000000006,214.63999999999993,248.40000000000006,277.52,302.52,317.87999999999994,329.96000000000004,340.19999999999993,348.28,353.55999999999995,357.08000000000004,362.24000000000007,369.64,376.36000000000007,378.84000000000003,377.24,368.56,349.72000000000014,322.72000000000014,292.8,262.87999999999994,238.44,222.67999999999995,217.31999999999994,219.80000000000004,215.91999999999993,207.55999999999995,195.31999999999994,177.88,151.04,123.16000000000001,90.80000000000007,61.76,36.44,18.199999999999996,10.319999999999999,10.0,9.679999999999998,9.4,9.64,9.040000000000001,8.879999999999999,9.12,9.159999999999998,9.28,9.76,10.280000000000001,10.360000000000001,10.480000000000002,10.56,10.680000000000001,10.920000000000002,10.64,10.64,10.120000000000001,9.8,9.12,8.799999999999999,8.84,8.920000000000002,8.6,8.24,8.16,7.320000000000002,6.52,6.720000000000002,6.199999999999999,6.24,6.119999999999999,6.719999999999999,23.400000000000006,56.19999999999998,90.72,145.48000000000002,204.84000000000003,243.27999999999997,261.56000000000006,276.84000000000003,271.96000000000004,259.80000000000007,249.51999999999998,263.47999999999996,279.0400000000001,294.76000000000005,312.55999999999995,332.96000000000004,334.96000000000004,335.84000000000003,336.5999999999999,337.19999999999993,336.48,334.0799999999999,331.4,328.4800000000001,326.0400000000001,325.28,325.64,327.2399999999999,309.72,292.64,274.84000000000003,256.9599999999999,238.52000000000004,240.08000000000007,240.88,241.55999999999995,242.07999999999998,241.9200000000001,240.64000000000004,238.04000000000008,234.96000000000004,229.12000000000003,220.24000000000007,207.32000000000002,191.88000000000002,175.07999999999998,161.08000000000004,153.24000000000004,156.84,168.48000000000002,186.60000000000002,207.64,228.52,245.4,259.96000000000004,271.92,282.43999999999994,290.24,296.07999999999987,300.27999999999986,302.32000000000005,302.32000000000005,302.32000000000005,301.3999999999999,300.6,300.0,300.9599999999999,302.4,304.1199999999999
7,237.88,244.51999999999995,255.31999999999994,272.32,293.19999999999993,314.3599999999999,333.1999999999999,348.75999999999993,358.32000000000005,361.6000000000001,362.6,361.0,356.28,350.8400000000001,344.48,345.16,346.91999999999996,350.96000000000015,354.84000000000003,359.52000000000004,357.6400000000001,356.3200000000001,355.96000000000004,339.0799999999999,319.43999999999994,296.52000000000004,269.6,239.04000000000002,222.47999999999996,206.91999999999996,187.35999999999999,170.40000000000006,155.43999999999994,142.92000000000004,130.84000000000003,125.52000000000001,121.36000000000004,117.76000000000003,117.07999999999997,118.44000000000003,119.24000000000001,118.84000000000003,119.84,122.24,136.24,170.84,209.2800000000001,247.92000000000002,284.23999999999995,312.43999999999994,324.43999999999994,335.55999999999995,343.28000000000003,347.08,345.56000000000006,340.91999999999996,334.08,325.79999999999995,314.5600000000001,297.76000000000005,275.88,253.00000000000006,235.8,226.72000000000003,225.76,228.16,230.60000000000002,229.5200000000001,222.91999999999996,212.59999999999994,202.24000000000004,191.91999999999996,179.72000000000003,163.24000000000007,140.79999999999998,107.6,74.96000000000001,45.75999999999999,24.160000000000004,11.239999999999998,10.600000000000001,10.64,11.000000000000004,11.280000000000001,11.96,72.32,113.48000000000002,142.44000000000003,186.88000000000002,253.87999999999997,259.67999999999995,276.88,304.6,318.32000000000005,311.36,305.08,305.48,309.1599999999999,311.88,312.36,313.52000000000004,315.87999999999994,313.28,308.9599999999999,303.35999999999996,296.43999999999994,288.16,282.1199999999999,275.72,269.88,264.1600000000001,257.84000000000003,248.56,230.23999999999998,207.64000000000007,182.6,146.36,109.63999999999999,81.8,56.28,33.76,22.479999999999997,14.080000000000002,7.440000000000005,4.320000000000003,3.9999999999999964,7.199999999999999,14.959999999999997,25.599999999999998,37.92,51.67999999999999,66.4,79.92000000000002,91.75999999999999,101.55999999999999,107.92,111.39999999999999,111.83999999999999,110.0,106.75999999999999,102.52,98.56000000000002,95.44,94.03999999999999,93.64,94.39999999999999,95.75999999999999,97.99999999999999,100.24000000000001,103.36000000000001,106.75999999999999,110.91999999999997,114.96,119.23999999999998,123.07999999999998,147.64,174.27999999999997,204.36,236.40000000000003,269.4,282.1600000000001,291.96000000000004,297.2400000000001,298.67999999999995,295.36,289.12,279.92,269.6,258.32,248.75999999999993,240.24000000000004
8,332.9199999999999,333.5199999999999,333.32000000000005,329.52,320.84000000000003,307.28000000000003,289.7600000000001,269.76,250.88,234.32000000000002,218.64000000000007,204.24,190.83999999999997,172.07999999999998,155.0,139.84000000000003,124.75999999999996,109.76000000000002,101.16,91.75999999999996,82.47999999999999,73.6,66.6,61.2,58.24000000000001,58.72,63.19999999999999,68.68000000000002,72.88,77.32000000000001,83.16000000000001,93.19999999999999,117.2,153.68000000000006,189.35999999999996,218.68000000000004,241.32000000000005,253.95999999999992,262.24,273.12,287.52,296.0,300.5199999999999,298.12,294.44,295.03999999999996,303.8,311.24000000000007,316.6,317.5199999999999,309.56,293.56000000000006,272.44000000000005,249.40000000000003,226.0,204.52,188.28000000000003,177.0,168.2800000000001,162.6,158.79999999999998,156.44,154.36,153.23999999999995,151.03999999999996,147.87999999999994,125.36000000000001,92.87999999999997,60.11999999999999,28.640000000000004,-0.8400000000000021,-11.719999999999995,-12.799999999999999,-12.999999999999996,-13.200000000000001,-13.64,-13.880000000000003,-13.880000000000003,-13.879999999999999,-13.64,-13.440000000000001,-13.600000000000001,-13.72,-14.279999999999998,-14.599999999999998,-14.96,-15.0,-14.8,-14.64,-14.719999999999999,-15.2,-15.28,-15.440000000000001,-15.64,-16.12,-15.840000000000002,-16.040000000000003,-16.200000000000003,-16.32,-11.679999999999998,0.8799999999999981,56.96000000000001,83.11999999999996,117.71999999999996,141.71999999999997,151.4799999999999,114.79999999999995,109.39999999999995,96.56000000000003,88.32000000000004,84.72000000000001,84.80000000000003,84.08000000000004,83.60000000000002,84.11999999999998,86.84,89.47999999999996,91.88000000000001,92.28,91.79999999999995,88.8400000000001,82.12000000000006,71.19999999999992,58.59999999999998,45.28,33.960000000000015,25.760000000000073,22.920000000000016,37.03999999999996,53.08,69.47999999999999,86.0,101.19999999999999,102.03999999999999,101.44000000000003,98.67999999999998,93.88,85.32,73.56000000000002,55.960000000000036,67.8,78.52000000000002,90.39999999999998,104.36000000000001,126.68,123.64000000000001,130.2,144.60000000000002,164.55999999999997,186.71999999999997,208.19999999999996,223.75999999999993,235.56000000000006,243.9999999999999,249.99999999999994,254.03999999999996,257.2399999999999,258.1600000000001,258.24000000000007,257.64,257.08,256.80000000000007,257.6,258.6,259.52,260.36000000000007,261.12,261.7199999999999,261.71999999999997,261.5199999999999,262.15999999999997
9,288.1199999999999,280.72,272.76,263.2000000000001,251.51999999999998,240.04000000000002,231.60000000000008,223.68000000000004,216.96000000000006,210.79999999999998,204.43999999999994,197.23999999999995,188.32000000000005,177.8,167.64,157.52,147.60000000000002,137.56,128.28000000000003,118.19999999999997,107.36000000000004,96.32000000000002,83.84000000000003,74.24000000000001,68.36000000000001,64.92000000000002,64.75999999999999,70.19999999999999,76.48000000000005,86.32000000000002,102.32,127.07999999999996,157.88000000000005,188.20000000000005,216.03999999999996,242.87999999999994,263.43999999999994,278.0,291.67999999999995,302.7999999999999,309.3200000000001,314.88,320.64,326.80000000000007,332.80000000000007,336.24,334.76,326.0,310.76,289.72000000000014,235.39999999999998,177.60000000000005,122.96000000000001,75.12000000000002,34.48000000000001,52.720000000000006,84.60000000000002,116.51999999999998,145.16000000000003,171.0,170.56,159.28000000000003,148.44000000000008,135.9600000000001,118.83999999999997,93.03999999999999,63.95999999999998,37.03999999999999,13.600000000000003,-3.5200000000000022,-10.320000000000004,-10.680000000000003,-11.84,-13.12,-14.799999999999997,-15.319999999999997,-15.559999999999997,-15.719999999999995,-16.080000000000002,-15.919999999999998,-16.56,-17.279999999999998,-17.919999999999995,-18.04,-18.44,-18.560000000000002,-18.520000000000003,-18.840000000000003,-19.04,-18.799999999999997,-18.4,-18.639999999999997,-17.96,-17.72,-17.56,-17.4,-16.560000000000002,-16.6,-16.04,-15.599999999999998,-11.520000000000001,-5.359999999999999,43.03999999999999,81.04000000000002,108.07999999999997,128.72,119.84000000000002,91.84,99.64000000000001,122.23999999999992,144.6,193.52,222.00000000000006,225.15999999999994,223.3200000000001,224.04000000000002,226.79999999999993,228.52,205.1600000000001,182.87999999999994,161.43999999999994,137.71999999999994,112.75999999999996,111.92000000000009,110.44,109.04000000000003,108.56,108.80000000000004,110.72000000000003,124.16000000000007,149.83999999999997,175.44000000000005,199.48000000000002,221.44,231.5199999999999,228.51999999999998,224.76000000000002,220.28000000000003,215.35999999999999,210.36,205.44,199.56000000000006,192.92000000000002,184.24,172.36000000000004,153.56,130.32,105.56000000000002,81.35999999999999,65.32000000000002,58.60000000000001,64.64,85.6,123.88000000000002,164.83999999999997,204.8,238.63999999999996,261.40000000000003,270.3200000000001,261.8,249.51999999999998,233.6,215.79999999999998,194.72000000000003,184.0,175.16000000000003,169.28,170.28000000000003,175.55999999999992,183.08000000000004,191.8
10,315.88,312.0,304.99999999999994,296.31999999999994,287.36,281.0,278.8399999999999,282.0,288.12000000000006,296.03999999999996,303.8800000000001,309.92,310.88,308.24000000000007,302.0,288.31999999999994,269.0399999999999,248.95999999999992,216.96000000000004,186.36,160.11999999999992,137.07999999999996,113.68,102.2,90.11999999999998,80.28,73.44,69.48,68.07999999999998,75.75999999999999,97.91999999999999,114.88,136.07999999999998,162.8,187.08000000000007,200.72000000000003,222.48000000000005,243.67999999999998,261.36,276.68,289.19999999999993,298.80000000000007,305.91999999999996,308.80000000000007,310.19999999999993,310.7600000000001,310.35999999999996,307.6000000000001,327.0,345.28,362.48,378.24,372.1600000000001,344.48,315.4799999999999,285.9599999999999,256.67999999999995,250.39999999999992,245.52,243.79999999999993,243.67999999999998,246.9600000000001,248.99999999999994,246.23999999999995,238.8000000000001,228.56,213.16,195.2,177.72,150.87999999999997,113.91999999999999,75.76000000000002,41.23999999999999,10.440000000000003,-7.679999999999996,-13.0,-13.840000000000003,-14.960000000000004,-16.040000000000003,-16.839999999999996,-17.479999999999997,-18.560000000000002,-18.84,-18.439999999999998,-18.599999999999998,-18.919999999999998,-18.84,-18.919999999999998,-19.6,-19.92,-20.0,-20.480000000000004,-20.639999999999997,-20.8,-20.56,-20.84,-20.56,-20.72,-20.4,-21.0,-19.68,-17.919999999999998,-6.919999999999989,-0.8799999999999728,29.040000000000028,54.52000000000002,60.88000000000001,72.11999999999995,84.52000000000001,73.12000000000003,65.32000000000002,77.00000000000006,74.92,77.28000000000003,84.08000000000001,90.64000000000004,95.92000000000002,100.84000000000003,104.84000000000003,104.56,103.32,102.08000000000001,100.60000000000005,100.04,101.12000000000003,103.44000000000001,106.16,107.72000000000003,107.47999999999995,128.83999999999997,148.04000000000002,160.76,169.20000000000005,174.31999999999996,152.5999999999999,127.6,105.04000000000005,85.36000000000004,69.32000000000002,58.92,57.480000000000004,64.44,80.88000000000001,101.39999999999995,124.00000000000001,146.91999999999996,168.67999999999998,187.20000000000007,204.67999999999995,209.08000000000004,206.36,197.75999999999996,184.40000000000003,166.31999999999994,157.04000000000005,150.88000000000002,147.92000000000002,147.92,153.96000000000004,163.12,179.0,198.67999999999998,218.79999999999995,232.63999999999996,239.91999999999993,236.15999999999997,225.12,209.44,194.76000000000002,182.44000000000003,173.56
