Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,992.4,1018.4399999999998,1063.2800000000002,1114.0799999999997,1170.5600000000002,1225.0799999999997,1227.08,1231.0400000000002,1237.6800000000003,1244.92,1255.3599999999997,1265.72,1274.9199999999996,1277.7200000000003,1273.76,1263.0,1245.88,1222.0799999999997,1197.0399999999997,1170.7999999999997,1141.56,1114.88,1088.6400000000003,1055.88,1011.28,949.9600000000003,869.6400000000002,787.4000000000001,716.3199999999998,667.6400000000001,653.8800000000002,674.5200000000001,712.2000000000003,761.9199999999998,826.9600000000003,899.9599999999999,975.6000000000001,1052.1999999999998,1130.96,1213.7600000000007,1291.96,1363.6799999999998,1440.0800000000004,1503.9599999999996,1542.28,1561.52,1568.2399999999998,1557.2000000000003,1538.3999999999999,1508.6400000000003,1467.6799999999998,1416.5599999999995,1350.7200000000003,1279.6400000000003,1215.52,1157.7199999999998,1103.92,1054.7200000000003,998.24,921.9200000000001,791.96,607.1600000000001,435.03999999999996,280.4,152.95999999999998,85.08000000000001,81.11999999999999,75.72,71.28,66.72000000000001,62.76000000000001,61.00000000000001,58.52000000000002,57.40000000000001,54.000000000000014,52.24000000000001,49.04000000000001,45.680000000000014,43.20000000000002,40.72000000000001,38.680000000000014,37.56000000000002,37.16000000000001,36.20000000000002,34.24,32.080000000000005,30.080000000000005,29.120000000000005,27.68000000000001,29.160000000000007,30.200000000000017,29.560000000000006,30.160000000000004,29.360000000000007,26.760000000000005,25.000000000000007,25.20000000000001,23.44000000000001,23.520000000000003,44.919999999999995,228.28000000000006,464.8000000000001,651.6399999999999,796.0800000000002,1001.12,1073.4399999999998,1088.0799999999997,1145.3999999999999,1241.0,1265.6799999999998,1265.9599999999996,1267.8400000000001,1278.2800000000002,1292.4399999999996,1298.8799999999999,1300.96,1305.7599999999998,1312.7200000000003,1320.5599999999997,1327.1200000000003,1331.24,1333.5199999999995,1330.2800000000002,1323.7999999999997,1311.64,1299.2799999999997,1282.2400000000002,1261.72,1234.9999999999998,1201.9600000000003,1146.5999999999997,1071.3200000000002,917.4399999999998,759.56,599.9199999999998,457.24,335.91999999999996,301.12,295.24,356.2,490.03999999999996,646.4000000000002,806.4799999999998,953.8399999999999,1047.3200000000002,1077.9599999999998,1090.8399999999997,1099.6399999999999,1102.8000000000002,1103.8400000000001,1095.9599999999998,1081.3600000000001,1055.6000000000001,1020.0000000000001,983.5999999999998,952.32,936.0399999999998,937.08,961.4399999999998,1008.2399999999999,1060.3999999999999,1105.9999999999998,1143.24,1167.0,1172.44,1172.3999999999999,1168.64,1161.6799999999996,1149.28,1129.48,1100.7199999999998
2,1242.8000000000002,1248.5600000000002,1251.72,1254.0400000000004,1254.3600000000004,1250.7200000000003,1247.2000000000003,1245.2800000000007,1244.2000000000003,1243.3600000000004,1244.9200000000003,1249.2400000000002,1254.88,1261.7600000000004,1268.4000000000005,1270.4,1265.2000000000003,1245.4800000000005,1202.92,1141.44,1066.28,983.0400000000001,902.1600000000002,833.1199999999999,771.4400000000002,719.1199999999999,671.6399999999999,627.6799999999998,582.3599999999999,538.5200000000002,499.8800000000001,466.00000000000006,434.12000000000006,402.08000000000004,385.32000000000005,382.36000000000007,398.32000000000005,469.47999999999996,593.84,728.8399999999999,896.1200000000001,1057.64,1176.9599999999996,1282.6399999999996,1379.4399999999998,1435.92,1483.44,1521.8800000000006,1525.6400000000003,1513.5200000000002,1483.48,1436.4799999999996,1374.28,1307.7600000000002,1241.1599999999999,1149.1999999999998,1063.2000000000003,976.8000000000003,895.92,805.76,712.96,573.6,428.03999999999996,286.4,160.84,77.88,51.03999999999999,46.519999999999996,40.75999999999999,36.43999999999998,33.239999999999995,28.319999999999993,26.400000000000002,23.159999999999997,20.200000000000003,14.800000000000002,14.24,10.680000000000001,9.24,8.360000000000001,8.6,7.44,5.92,5.720000000000001,7.3599999999999985,7.24,6.68,6.359999999999998,5.2799999999999985,2.5599999999999996,2.4000000000000004,1.0799999999999994,0.9199999999999992,-0.4000000000000017,-1.840000000000003,-2.480000000000002,-0.04000000000000131,28.759999999999994,120.08000000000001,357.12,578.8,726.3199999999998,837.4799999999998,904.3200000000002,859.3600000000002,838.48,890.9999999999998,933.5199999999998,952.3199999999999,936.2,909.1999999999999,883.9999999999998,885.2800000000002,896.6800000000002,913.12,927.08,937.9599999999999,941.1599999999999,941.5999999999999,936.4799999999998,931.5600000000001,924.1599999999999,914.04,909.8000000000001,910.5599999999997,917.2000000000003,925.5999999999998,936.32,942.0399999999997,941.3600000000001,935.6800000000002,928.48,922.6800000000001,914.88,904.7599999999998,892.48,874.32,848.0399999999998,812.28,770.8,720.08,668.1599999999999,617.5999999999999,568.8799999999998,527.5999999999999,498.44000000000005,484.6000000000001,494.28,535.52,607.4000000000003,707.4399999999999,829.4000000000001,940.0799999999997,1026.2399999999998,1077.5199999999998,1095.36,1079.3600000000001,1054.3600000000001,1050.9599999999996,1061.6,1085.9999999999998,1124.6800000000003,1172.2000000000003,1200.8000000000002,1224.44,1240.0800000000002,1251.3999999999996,1258.0000000000002,1262.4400000000003,1266.0800000000002,1271.28
3,1061.0,975.48,884.2399999999999,815.1199999999999,761.0799999999999,730.2400000000001,714.52,714.8000000000002,727.1199999999999,751.16,790.3599999999999,849.84,915.6800000000001,973.2399999999998,1022.24,1059.36,1077.44,1079.72,1084.92,1092.0,1096.84,1100.12,1105.6,1110.24,1116.3600000000001,1124.52,1132.36,1139.2799999999997,1146.7599999999998,1152.12,1157.0000000000002,1159.1599999999999,1160.12,1131.7999999999997,1088.9200000000003,984.7600000000002,891.7599999999999,813.48,776.9599999999996,770.9200000000001,840.2400000000001,930.4800000000002,1015.5999999999998,1091.6400000000003,1154.2,1209.6399999999999,1239.6799999999998,1267.4800000000002,1293.56,1315.0000000000005,1326.2399999999996,1322.56,1303.44,1268.16,1218.4800000000002,1150.0000000000002,1085.7199999999998,1040.68,1021.6800000000003,999.6399999999999,988.68,966.8000000000003,925.88,861.1600000000002,803.56,744.4799999999998,660.24,535.84,397.8399999999999,272.19999999999993,157.43999999999997,83.24000000000001,59.00000000000003,59.08000000000004,56.0,55.040000000000006,50.56000000000002,46.760000000000005,41.55999999999999,41.64,39.44,41.56000000000001,42.080000000000005,42.88000000000001,42.08000000000001,42.32000000000001,41.12,39.400000000000006,41.519999999999996,38.92000000000001,37.6,36.0,37.44,36.04,37.32,37.64000000000001,37.36,34.96,34.040000000000006,33.40000000000001,73.08000000000001,278.24,468.11999999999995,592.6800000000001,813.1199999999999,978.0399999999998,983.7200000000003,1016.1199999999997,1118.7600000000002,1121.2,1142.52,1167.1599999999999,1184.04,1193.6799999999998,1209.2799999999997,1221.92,1227.8799999999997,1228.08,1229.68,1223.56,1207.0,1182.8000000000002,1154.9599999999998,1123.88,1096.9600000000003,1077.88,1064.28,1054.9199999999998,1045.6,1035.04,1025.1999999999998,1012.4799999999998,995.2800000000002,977.1199999999997,955.24,922.56,884.2,844.2399999999998,805.8399999999999,771.1200000000002,767.08,785.04,820.8000000000001,878.76,943.04,988.2399999999998,1021.4800000000001,1044.96,1051.2,1056.3200000000002,1062.08,1068.4399999999994,1073.6799999999996,1073.3599999999994,1068.7599999999998,1064.0399999999997,1060.3999999999996,1061.4799999999996,1067.1599999999996,1078.4399999999996,1089.9199999999996,1100.8799999999999,1108.12,1114.08,1118.84,1124.6000000000001,1129.2799999999997,1134.1599999999996,1138.0,1141.24,1142.1599999999999
4,1131.9999999999998,1143.68,1151.04,1156.2,1159.0800000000002,1164.0,1166.5200000000002,1169.4,1172.28,1172.3999999999999,1165.28,1157.3600000000001,1137.76,1115.6,1090.6399999999999,1062.64,1028.0,998.8399999999999,966.4000000000001,938.52,917.3200000000002,905.12,897.6,889.8400000000001,867.6400000000002,828.04,773.8000000000001,713.24,657.52,619.2000000000002,609.28,624.0799999999999,672.3199999999999,741.2400000000002,815.04,893.2800000000001,974.04,1040.76,1096.2799999999997,1149.0800000000002,1190.6399999999999,1221.6000000000004,1245.16,1261.4399999999998,1279.36,1318.68,1359.9999999999998,1398.7200000000003,1439.08,1440.0400000000002,1396.7600000000002,1330.0799999999997,1250.08,1167.08,1123.4,1107.72,1102.6800000000003,1090.3999999999996,1036.8800000000003,964.0799999999999,867.3999999999999,758.0800000000002,631.04,491.4400000000001,360.28,244.39999999999998,148.80000000000007,89.24000000000001,82.68000000000002,79.76000000000002,77.04000000000005,73.40000000000002,71.32000000000004,68.48000000000003,67.08000000000003,66.80000000000003,69.24000000000004,66.32000000000002,67.72,66.2,64.32000000000001,59.83999999999999,58.27999999999999,53.759999999999984,52.27999999999998,48.95999999999999,46.91999999999997,47.15999999999998,46.07999999999996,44.039999999999985,43.35999999999997,43.87999999999998,41.99999999999998,40.399999999999984,36.23999999999998,35.15999999999998,31.91999999999999,50.43999999999997,90.67999999999998,200.68000000000004,329.84000000000003,534.72,747.1200000000001,921.9599999999999,1014.96,1088.9999999999995,1091.7999999999997,1069.32,1059.3999999999999,1063.4,1071.0,1079.52,1086.68,1102.08,1119.92,1133.8,1143.3600000000001,1150.8,1151.9999999999998,1149.0400000000002,1143.3200000000002,1136.2400000000002,1128.88,1122.3200000000002,1116.8000000000002,1107.44,1099.96,1090.8000000000002,1081.56,1071.08,1062.7200000000003,1048.68,1036.2400000000002,1020.5999999999999,1002.6800000000001,983.0800000000004,966.16,939.4000000000001,897.3600000000004,833.0800000000002,737.8,612.8800000000001,479.6,363.32,287.88,276.44000000000005,344.96,461.47999999999985,598.08,730.3199999999998,843.2400000000002,914.4399999999998,962.3600000000001,999.7600000000001,1030.2399999999998,1052.1599999999999,1066.8399999999997,1077.1599999999999,1080.0,1080.0000000000002,1076.1599999999999,1070.4,1065.52,1065.6799999999998,1065.96,1070.8799999999999,1079.44,1088.32,1091.88,1096.04,1097.7200000000003
5,820.8799999999999,872.04,954.0799999999999,1044.92,1120.5200000000002,1175.4800000000002,1206.6799999999998,1202.0400000000002,1177.36,1147.4799999999998,1116.48,1090.9999999999998,1081.56,1092.3999999999999,1111.2,1135.9199999999998,1164.6399999999999,1185.6399999999999,1194.12,1203.2799999999995,1207.8799999999999,1209.52,1211.1599999999999,1211.04,1204.3999999999996,1165.92,1104.5200000000002,1033.3600000000001,951.1199999999998,833.1200000000001,741.0799999999998,663.6,587.5600000000001,526.6800000000001,506.0800000000001,496.03999999999996,497.4,513.7200000000001,523.12,514.9999999999999,498.1599999999999,476.96000000000015,470.9999999999999,500.79999999999995,566.8799999999998,679.6400000000001,799.96,902.4799999999998,988.12,1068.44,1121.56,1173.24,1222.6000000000001,1256.9200000000003,1279.6,1298.28,1313.7600000000002,1333.3600000000001,1356.08,1373.1999999999998,1376.8,1367.44,1337.8,1282.1200000000003,1208.6000000000001,1124.16,1046.2799999999997,968.44,900.28,842.8399999999998,787.5199999999999,728.8,681.44,645.28,614.4399999999999,592.4,572.3600000000001,544.52,431.15999999999997,324.12,222.04000000000002,124.64,40.67999999999998,39.27999999999999,36.08,31.040000000000003,27.72,22.080000000000002,22.640000000000004,21.880000000000003,22.68,23.92,24.36,21.720000000000002,21.400000000000002,19.759999999999998,18.199999999999996,16.199999999999996,17.31999999999999,25.919999999999995,186.2800000000001,408.5200000000001,565.9199999999998,688.0799999999999,805.9199999999998,807.84,797.4399999999998,848.8400000000001,907.6000000000003,974.1599999999999,1009.1200000000001,995.72,991.6800000000001,1016.96,1024.3600000000001,1024.64,1014.76,995.8800000000001,968.0399999999998,941.52,917.6000000000004,897.2,882.6400000000001,875.08,874.1200000000001,875.4399999999998,879.8800000000002,881.3199999999999,880.6400000000001,871.1200000000001,856.6400000000002,838.8400000000001,817.4400000000002,794.56,776.8400000000001,758.28,735.0800000000002,700.4400000000002,649.72,583.48,511.7200000000001,442.20000000000005,382.84000000000003,336.43999999999994,301.4,276.72,261.15999999999997,262.56,281.68,336.23999999999984,424.44000000000005,524.24,614.9200000000002,696.1200000000001,751.12,766.1599999999999,758.4,742.3199999999999,719.04,684.0,653.1199999999999,627.12,607.1600000000001,592.04,584.8399999999999,586.1600000000002,599.4799999999999,620.28,641.1599999999999,663.48,680.48
6,1227.9599999999998,1255.3199999999997,1276.3200000000004,1287.5599999999995,1296.1200000000003,1295.2,1298.5200000000002,1297.08,1289.6800000000003,1264.88,1227.0800000000004,1167.6399999999999,1095.8,1019.8799999999999,949.48,887.72,834.0000000000002,787.8000000000002,746.56,706.0800000000002,667.4000000000001,633.64,617.52,647.7599999999999,706.8000000000002,753.68,770.9199999999998,751.72,681.5599999999998,592.5199999999999,545.1999999999998,561.44,650.7200000000001,766.2399999999998,886.1600000000001,990.1199999999999,1079.68,1134.9999999999998,1178.92,1218.3999999999999,1250.56,1272.6799999999996,1288.08,1308.92,1335.12,1357.5600000000004,1364.3999999999999,1356.8,1324.48,1256.6800000000003,1160.9600000000003,1055.92,952.28,868.6399999999998,817.24,802.9599999999999,816.44,806.9999999999999,780.7999999999998,739.4399999999999,679.0799999999999,582.8000000000001,478.44,353.5600000000001,240.24,140.83999999999997,67.91999999999999,35.43999999999998,34.4,33.599999999999994,32.440000000000005,33.72,31.720000000000006,31.240000000000006,32.16,32.44,32.760000000000005,34.72,36.56,36.92,37.00000000000001,37.08,37.40000000000001,38.20000000000001,37.400000000000006,37.6,35.480000000000004,34.36000000000001,32.04,31.0,31.2,32.28,30.959999999999994,29.639999999999997,29.159999999999997,26.160000000000007,22.919999999999998,23.720000000000006,21.639999999999997,21.759999999999998,20.96,23.159999999999997,88.08000000000004,210.27999999999994,339.12,539.08,753.84,888.32,951.88,1003.0,983.1200000000001,937.9200000000001,898.8,943.4399999999999,993.5600000000002,1044.2000000000003,1102.8000000000002,1171.04,1175.44,1176.5600000000002,1177.8,1178.7599999999998,1175.92,1168.28,1160.36,1152.28,1145.6800000000003,1145.2,1148.28,1156.04,1096.8799999999999,1039.96,979.6400000000001,918.8799999999999,855.6400000000001,861.84,864.7999999999998,867.7599999999999,869.8,869.2800000000003,864.6800000000002,855.3200000000002,844.0400000000002,822.2800000000001,789.0000000000001,741.44,684.8000000000001,623.56,573.36,545.4000000000001,558.4000000000001,600.76,666.5600000000002,742.8799999999999,819.4,882.44,937.2000000000002,983.28,1024.2799999999997,1055.0400000000002,1078.4799999999998,1095.9199999999998,1104.3600000000001,1104.6,1105.2400000000002,1101.5599999999997,1097.84,1095.04,1098.2,1102.9999999999998,1109.4799999999998
7,851.7200000000001,874.4,912.4399999999996,972.36,1046.3599999999997,1122.0,1190.0799999999997,1245.3599999999997,1279.76,1290.8400000000001,1293.6000000000001,1286.8000000000002,1269.56,1249.6400000000003,1226.6000000000001,1229.44,1236.2399999999998,1251.0400000000004,1265.2800000000002,1282.5600000000002,1275.92,1271.2800000000002,1269.76,1212.0399999999997,1145.56,1069.24,979.0799999999999,876.12,821.24,768.8799999999999,700.5999999999999,640.6000000000001,587.4799999999998,541.9200000000001,497.3200000000001,475.91999999999996,458.24000000000007,441.68000000000006,435.59999999999997,437.12000000000006,437.04,432.84000000000015,434.8,441.99999999999994,490.2400000000001,611.56,747.4400000000003,883.9200000000001,1012.6399999999999,1113.8399999999997,1157.32,1198.32,1227.3600000000001,1242.04,1237.64,1223.4799999999996,1200.3600000000001,1167.56,1125.0,1062.0400000000002,981.1200000000001,897.5200000000001,839.8400000000001,811.0000000000001,812.68,826.76,841.6,843.1600000000002,824.56,791.7199999999999,757.6000000000001,722.7999999999998,680.4399999999999,622.0800000000002,539.6399999999999,413.6,287.88,175.07999999999996,90.0,37.84,34.559999999999995,34.879999999999995,36.480000000000004,37.2,39.68000000000001,246.16,388.9200000000001,490.04000000000013,645.24,877.3999999999999,899.7999999999998,959.0000000000001,1053.12,1098.2000000000003,1072.08,1048.3999999999999,1047.0800000000002,1057.6399999999999,1065.0399999999997,1064.6799999999998,1066.8400000000001,1074.0,1063.5599999999997,1047.3199999999997,1026.76,1001.8799999999999,972.2,950.5199999999999,927.8400000000004,907.5999999999998,887.7200000000003,865.88,833.0799999999998,768.48,688.6800000000001,600.44,473.4,344.9599999999999,248.83999999999997,161.32,85.24,47.879999999999995,20.600000000000005,-1.2799999999999851,-10.999999999999988,-11.280000000000014,0.48000000000000576,28.08,65.11999999999999,108.03999999999999,155.0,206.15999999999997,253.40000000000003,295.6,330.64,354.20000000000005,367.04,369.15999999999997,362.11999999999995,350.59999999999997,335.44,321.6400000000001,311.03999999999996,307.63999999999993,306.52,309.23999999999995,314.03999999999996,322.12,329.24000000000007,340.79999999999995,352.7199999999999,367.91999999999996,382.28,398.56000000000006,411.96,501.9199999999999,598.72,707.48,822.8800000000001,942.08,987.8000000000003,1022.4400000000003,1042.1200000000003,1048.8399999999997,1038.28,1017.36,985.8400000000001,950.2000000000002,910.0799999999999,877.0799999999998,846.8400000000001
8,1174.28,1177.3199999999997,1176.6,1163.72,1133.2,1085.64,1024.0000000000002,954.28,888.3199999999999,831.4800000000001,777.6400000000003,729.04,683.96,619.3199999999999,560.6399999999999,508.48,455.87999999999994,402.96000000000004,372.76,339.2799999999999,306.0,272.96000000000004,246.99999999999997,226.16,213.76000000000005,213.35999999999999,227.8,245.8400000000001,258.96,273.12,292.44,326.67999999999995,409.76,538.0800000000002,664.3999999999999,768.7600000000002,849.6800000000002,895.7199999999999,926.6399999999999,965.3200000000002,1016.6800000000001,1047.7200000000003,1064.7999999999997,1056.6399999999999,1044.52,1046.04,1075.4800000000002,1100.3600000000004,1117.52,1119.3199999999997,1091.28,1035.4,962.12,883.3600000000002,803.9599999999999,730.9200000000001,676.24,638.8399999999999,609.4800000000001,590.64,577.9200000000001,570.6800000000001,563.76,561.04,553.6399999999999,543.8399999999999,463.88,343.31999999999994,220.59999999999997,102.91999999999999,-8.68,-53.07999999999998,-57.72,-57.95999999999998,-58.519999999999996,-59.87999999999999,-60.600000000000016,-60.12000000000002,-59.96000000000001,-59.16,-58.20000000000001,-58.16000000000001,-58.360000000000014,-60.48000000000001,-61.2,-62.24000000000001,-62.720000000000006,-61.56,-60.760000000000005,-61.28,-63.24,-63.44,-64.32000000000001,-65.48000000000002,-67.00000000000001,-65.32000000000001,-66.28,-66.84,-66.92000000000002,-48.87999999999999,0.7199999999999758,202.76000000000005,314.67999999999984,456.3599999999999,558.6799999999998,606.6799999999997,492.23999999999984,472.47999999999985,426.0000000000001,395.60000000000014,381.4399999999999,380.6400000000001,377.28000000000014,375.36000000000007,376.99999999999994,386.2399999999999,395.3199999999999,403.23999999999995,404.28,403.31999999999994,396.20000000000016,378.04000000000013,345.5999999999998,307.12,265.68,230.12000000000018,203.76000000000022,196.76000000000008,249.9999999999999,309.2799999999999,368.15999999999997,426.20000000000005,478.3599999999999,478.44,472.56000000000006,458.8399999999999,437.67999999999995,402.23999999999995,355.68000000000006,289.5600000000002,316.24,339.91999999999996,368.71999999999997,405.12,471.2,459.96,482.08,532.6400000000001,603.6399999999999,683.24,761.48,819.9599999999999,865.0400000000002,898.5199999999998,922.7199999999998,938.28,949.8399999999999,952.7600000000002,952.3600000000001,949.4799999999999,946.9999999999999,945.7199999999999,948.8400000000001,952.5600000000002,955.7599999999999,959.0800000000002,962.0400000000001,964.7599999999998,964.9999999999999,964.9199999999998,967.6399999999999
9,1041.8799999999997,1017.6800000000003,991.6400000000001,960.2400000000002,921.1600000000001,883.7600000000001,856.7600000000001,831.6399999999999,811.48,793.0799999999999,773.2399999999998,750.1999999999998,720.9200000000001,684.5600000000001,649.04,612.96,576.3600000000001,538.48,502.84000000000003,463.43999999999994,420.7600000000001,377.40000000000003,327.84000000000003,289.24,265.03999999999996,250.44000000000005,247.99999999999994,267.92,290.60000000000014,326.12000000000006,383.43999999999994,472.3199999999998,582.32,690.5600000000001,790.4000000000001,887.3599999999999,962.8,1016.52,1067.5600000000002,1109.4799999999998,1134.7600000000002,1156.0,1178.52,1202.12,1224.0400000000002,1236.6000000000001,1231.48,1199.76,1145.8,1071.7200000000003,889.96,696.2000000000002,514.5200000000001,357.48,225.79999999999995,287.28000000000003,391.8000000000002,496.1199999999999,587.7600000000001,669.76,663.8,624.1600000000001,585.6800000000003,540.2400000000002,475.48,374.64,257.8399999999999,148.79999999999998,53.12000000000004,-17.040000000000024,-46.040000000000006,-47.67999999999999,-51.55999999999999,-56.31999999999999,-62.879999999999974,-64.47999999999998,-65.15999999999997,-66.07999999999998,-67.0,-66.47999999999999,-68.88,-71.32,-73.63999999999999,-74.4,-75.6,-76.16,-76.03999999999999,-77.16000000000001,-78.07999999999998,-77.35999999999999,-76.08,-77.11999999999998,-75.24000000000001,-73.92,-73.44,-72.28,-68.80000000000001,-68.28,-66.24,-64.51999999999998,-48.04,-22.320000000000004,166.0,310.24000000000007,417.0799999999999,500.44,489.80000000000007,401.3599999999999,445.64000000000004,530.6799999999998,614.0,778.76,868.9200000000001,870.28,863.8000000000002,865.3600000000001,873.9199999999997,877.3599999999999,805.1600000000002,737.0399999999998,672.9199999999998,601.1999999999998,526.2799999999997,524.1200000000003,520.2,516.4000000000001,515.48,516.8800000000001,523.96,570.5600000000003,647.24,723.4800000000001,793.4800000000001,855.4,875.5199999999998,862.36,846.24,828.2,808.4000000000001,788.7199999999999,769.1199999999999,746.44,720.6,687.32,641.92,570.72,483.44000000000005,390.36,300.4,240.80000000000007,216.60000000000005,238.84000000000003,316.88,458.44000000000005,611.1599999999999,759.1600000000002,885.24,970.3600000000001,1004.4000000000003,972.7199999999999,926.44,865.8399999999999,796.9599999999999,716.3199999999999,673.8800000000001,639.36,616.72,620.0,639.0799999999998,666.96,699.04
10,1118.8000000000002,1104.2399999999998,1078.9599999999998,1047.7599999999998,1015.2399999999999,991.96,984.5599999999998,996.28,1018.5200000000001,1046.8799999999997,1075.3200000000002,1097.2400000000002,1101.52,1093.24,1072.88,1026.7599999999998,960.6799999999998,891.9999999999998,782.0800000000002,676.6400000000001,585.3999999999999,505.3599999999999,422.28000000000003,380.12,335.28,298.08,271.19999999999993,254.43999999999994,246.19999999999996,270.08,346.31999999999994,404.4,478.43999999999994,572.5200000000002,658.5200000000002,706.44,782.8000000000001,857.8799999999999,921.0799999999999,975.9199999999998,1021.1199999999997,1056.3600000000001,1081.76,1090.2399999999998,1092.4799999999998,1091.0000000000002,1085.9199999999998,1072.0800000000002,1137.48,1200.0,1259.6399999999999,1314.8000000000002,1294.2000000000003,1198.04,1097.7199999999996,995.9199999999998,894.5600000000001,874.4799999999998,858.88,854.04,855.1600000000001,870.4800000000002,883.3599999999999,880.8,862.8800000000003,834.6400000000001,785.92,725.52,665.0,568.1999999999999,430.20000000000005,285.12,153.15999999999997,34.600000000000016,-37.03999999999999,-58.879999999999995,-61.800000000000004,-65.68000000000002,-69.48,-72.27999999999999,-74.6,-78.47999999999999,-80.04,-78.39999999999999,-79.32,-80.35999999999999,-80.03999999999999,-79.67999999999999,-82.16000000000001,-83.00000000000001,-83.08000000000001,-84.76,-85.32,-86.08000000000001,-85.16,-86.28,-85.16,-85.92,-84.44,-86.44,-81.6,-73.71999999999998,-20.119999999999962,13.400000000000109,130.40000000000006,232.68,273.71999999999997,331.2399999999999,394.32,374.4800000000001,367.0400000000001,420.4000000000001,413.28,422.9600000000001,448.3600000000001,472.68000000000023,492.2800000000001,510.44000000000017,525.0000000000002,524.12,519.1600000000001,514.2800000000002,507.6400000000001,504.56000000000006,506.72,513.0000000000001,520.28,522.6400000000002,518.1199999999998,589.4799999999999,640.9200000000001,667.4,677.9200000000002,675.8799999999999,578.7999999999998,481.2,394.1600000000001,318.72,257.16,216.88000000000002,209.96,233.92,293.40000000000003,368.2399999999999,451.08000000000004,536.0799999999999,616.8799999999999,685.4800000000001,750.2,768.24,759.96,729.28,679.8800000000001,611.76,573.6400000000001,546.72,532.28,530.3999999999999,550.6,582.7599999999998,639.1199999999999,708.8000000000001,778.56,826.4000000000001,850.8799999999999,835.4400000000002,794.12,736.6800000000001,683.1600000000001,638.0,606.36
