Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,233.83999999999997,233.44000000000003,233.35999999999999,233.72,234.28000000000003,235.03999999999996,235.68,234.87999999999997,232.55999999999997,228.99999999999994,224.59999999999997,220.20000000000002,215.92000000000002,211.67999999999995,207.91999999999996,204.24000000000007,200.12,196.32000000000005,192.43999999999994,187.15999999999997,180.11999999999998,172.00000000000003,163.79999999999998,157.24000000000004,154.12,153.88000000000002,155.48000000000002,157.20000000000002,156.31999999999996,151.71999999999997,146.47999999999996,141.8,138.84000000000003,138.76,141.36,144.92000000000002,149.0,152.91999999999996,156.71999999999994,160.84000000000003,165.39999999999995,170.71999999999994,178.51999999999992,188.84000000000003,197.36000000000007,201.2400000000001,200.84000000000003,195.96000000000004,186.51999999999995,177.04000000000002,169.8399999999999,165.52000000000004,162.68,161.64000000000004,161.88,163.48,163.55999999999995,161.91999999999993,156.6,148.11999999999998,137.96,121.64,98.91999999999999,78.60000000000001,61.160000000000004,45.519999999999996,37.040000000000006,36.239999999999995,36.279999999999994,36.36,35.96,35.75999999999999,35.79999999999999,35.0,34.4,34.2,33.559999999999995,32.879999999999995,32.8,32.4,32.160000000000004,31.919999999999998,31.759999999999998,31.520000000000003,31.32,31.160000000000007,30.880000000000003,30.640000000000004,30.44,30.440000000000005,30.0,29.92,29.759999999999998,29.72,29.56,29.199999999999996,29.160000000000004,31.72,43.0,67.52000000000001,95.4,128.11999999999998,159.87999999999994,183.35999999999999,192.68,198.56000000000003,200.35999999999996,200.19999999999993,199.47999999999996,199.76000000000002,200.44,200.20000000000005,199.68,199.67999999999995,198.8,197.4,196.0,194.84000000000003,192.59999999999997,190.88000000000005,188.60000000000005,185.72000000000008,182.36,177.40000000000003,170.32000000000002,161.24,149.63999999999996,136.35999999999996,124.03999999999999,113.39999999999999,104.16,97.44,92.31999999999996,88.31999999999996,84.75999999999999,83.07999999999998,83.11999999999999,86.11999999999998,90.75999999999998,97.72,106.96000000000001,117.6,128.64,140.12,150.71999999999997,158.35999999999996,162.27999999999997,162.27999999999997,159.44000000000005,155.11999999999995,150.64,147.0,145.24,144.24,144.0,145.35999999999996,148.43999999999997,152.51999999999995,158.20000000000002,165.72000000000006,173.96,182.08000000000004,189.47999999999996,196.12,200.16000000000003,202.04000000000002,201.59999999999997,199.79999999999998,196.55999999999995,193.11999999999995,188.95999999999998
2,223.04000000000002,223.52,223.24,223.55999999999997,224.12,224.32,224.51999999999998,224.64,224.64000000000004,224.51999999999998,224.27999999999997,223.39999999999998,223.0,222.23999999999998,221.47999999999996,220.76000000000002,220.28000000000003,219.47999999999996,217.83999999999997,215.96,212.91999999999996,209.72000000000006,206.0,202.67999999999995,198.79999999999998,195.28000000000003,190.79999999999998,186.88,183.04,179.2,176.08000000000004,174.04000000000002,170.88000000000005,166.28,162.67999999999995,159.48,156.08,154.23999999999998,154.72000000000003,154.91999999999996,155.31999999999994,157.07999999999993,161.11999999999995,165.59999999999997,171.07999999999998,177.76,185.51999999999998,193.95999999999998,206.04000000000002,215.75999999999993,223.71999999999997,229.56,230.64,224.96000000000006,218.76000000000002,211.08,200.36,191.67999999999995,185.44,179.91999999999996,175.27999999999997,172.95999999999998,168.79999999999995,161.88,151.67999999999995,133.99999999999994,108.80000000000001,84.72,62.84,45.48,36.60000000000001,35.68,35.04,34.96,34.64,34.24,33.8,33.72,33.8,33.92,34.04,34.04,33.8,33.8,33.8,33.68,33.84,34.040000000000006,33.56000000000001,33.480000000000004,33.28000000000001,33.6,33.120000000000005,32.84,32.440000000000005,32.28,31.560000000000002,31.36,31.559999999999995,31.799999999999997,32.599999999999994,44.120000000000005,84.75999999999999,126.32,163.72000000000003,193.04000000000005,215.88000000000002,226.43999999999994,239.11999999999998,250.96,265.43999999999994,275.20000000000005,269.24,263.28000000000003,263.72,268.44000000000005,273.76,279.36,282.79999999999995,284.79999999999995,287.43999999999994,290.8399999999999,293.1199999999999,294.36000000000007,295.88,296.6,295.48,292.08,286.43999999999994,277.0400000000001,264.0,246.12,224.24,200.72,176.95999999999998,156.08,139.88,128.72000000000003,120.84000000000003,115.92,111.68,108.68000000000004,106.39999999999999,104.96,104.83999999999997,106.63999999999997,109.71999999999998,114.19999999999996,118.87999999999997,124.59999999999997,130.72,136.2,141.48000000000002,145.95999999999998,148.59999999999997,149.35999999999999,149.6,148.76000000000002,148.07999999999998,147.36,146.76,145.84000000000003,145.36,144.47999999999996,143.48000000000002,142.07999999999998,139.64000000000001,136.32000000000005,132.92000000000002,130.16000000000003,127.52000000000002
3,305.48,304.56000000000006,303.76000000000005,302.68000000000006,301.9200000000001,300.36000000000007,297.91999999999996,294.75999999999993,291.31999999999994,288.1600000000001,285.88000000000017,284.2,282.91999999999996,282.08000000000004,281.72,280.35999999999996,278.4,274.92,268.76,259.88,250.76000000000005,242.12,235.36,231.44000000000003,229.52,229.36000000000004,229.96000000000006,230.88000000000002,232.43999999999997,234.44000000000005,235.04,235.23999999999992,233.0,229.20000000000005,224.56,218.71999999999997,212.68,208.11999999999998,204.68,202.6,203.84000000000003,206.32,211.36,219.39999999999998,229.27999999999997,240.36,251.68000000000006,260.56,264.36000000000007,262.4,255.84000000000003,245.31999999999994,233.16000000000003,221.36,212.12000000000006,204.76000000000005,199.92000000000007,197.24000000000007,196.36000000000013,196.4,196.52000000000007,196.2,194.11999999999998,190.35999999999996,200.88000000000005,167.2,134.20000000000005,103.44,74.52000000000001,30.64,31.36,32.0,32.08,32.199999999999996,32.8,32.64,32.96000000000001,33.400000000000006,33.36000000000001,32.96000000000001,32.84,32.8,32.2,31.680000000000003,31.600000000000005,31.800000000000004,31.32,30.96,31.28,31.199999999999996,31.119999999999997,31.400000000000002,31.759999999999998,31.52,31.679999999999996,31.68,32.199999999999996,58.400000000000006,75.63999999999999,112.63999999999996,152.71999999999997,185.24,186.84000000000003,198.52000000000004,191.59999999999997,189.0399999999999,201.48000000000005,220.0,228.07999999999998,233.23999999999995,243.24000000000007,224.59999999999997,205.07999999999998,193.2800000000001,183.16000000000003,161.32,160.88,160.95999999999998,162.51999999999998,163.03999999999996,162.04000000000002,158.92,154.92000000000004,149.91999999999996,145.44000000000005,142.23999999999998,139.64000000000001,137.08000000000004,136.07999999999993,133.75999999999996,129.44,123.96000000000001,119.72000000000006,112.48000000000002,108.56,110.6,103.04000000000002,94.84,94.28000000000003,106.32,106.03999999999996,104.27999999999994,101.99999999999997,94.64000000000001,72.40000000000002,57.760000000000005,56.04000000000002,55.08000000000001,54.84000000000003,56.040000000000006,58.60000000000002,60.68,63.840000000000025,68.19999999999999,73.79999999999995,79.95999999999998,88.36,96.56000000000003,103.68,108.68,113.08000000000003,116.08000000000001,117.11999999999998,117.23999999999997,117.07999999999998,115.68000000000004,113.31999999999996,111.95999999999998,112.28000000000002,113.12,116.75999999999996
4,283.36,283.4,283.4,283.43999999999994,283.67999999999995,283.0,281.64,279.9599999999999,277.4,273.72,269.48,264.1600000000001,258.03999999999996,250.95999999999995,244.16000000000003,237.72000000000003,232.48000000000008,226.80000000000004,220.36000000000007,214.16000000000003,206.76,199.32,192.39999999999998,188.27999999999997,184.43999999999994,183.32000000000005,183.07999999999993,183.2800000000001,182.12,180.64,179.68,179.12,179.72000000000003,180.27999999999997,181.03999999999996,179.23999999999995,177.07999999999998,174.52000000000004,173.07999999999998,176.32,183.39999999999998,191.96,201.16000000000003,210.00000000000003,214.44000000000003,216.39999999999998,215.64,213.48000000000005,210.23999999999998,206.24,201.35999999999996,196.72000000000003,192.6800000000001,189.68000000000006,188.24000000000004,188.04000000000008,189.00000000000006,190.28000000000006,192.23999999999995,192.64,191.07999999999987,186.96,179.32,160.24000000000004,136.56,113.84,92.79999999999998,74.24000000000001,66.44000000000001,63.440000000000005,60.040000000000006,56.480000000000004,52.480000000000004,48.16,44.239999999999995,41.120000000000005,38.239999999999995,36.4,34.760000000000005,33.6,32.44,31.36,30.400000000000002,29.6,28.880000000000003,28.240000000000002,27.88,27.759999999999998,27.480000000000004,26.28,25.92,25.36,24.88,24.120000000000005,24.440000000000005,24.240000000000002,24.000000000000004,23.120000000000005,23.08,22.479999999999997,43.24000000000001,123.44,167.16000000000003,204.92000000000002,251.00000000000006,281.6,255.72,267.64000000000004,286.0,296.4,299.52,300.08000000000004,298.0,295.24,292.55999999999995,291.43999999999994,290.64,293.0,295.0,297.0,298.36,299.03999999999996,296.91999999999996,292.6,284.36,270.52,250.2,226.48000000000002,202.27999999999997,180.08,161.92000000000002,148.67999999999998,132.04000000000002,120.00000000000001,109.12,99.96000000000004,92.76,94.75999999999998,95.95999999999998,99.44,104.6,111.19999999999999,117.75999999999999,123.83999999999999,127.67999999999999,130.51999999999998,131.59999999999997,131.52,131.51999999999998,132.11999999999998,132.15999999999997,132.6,132.95999999999998,133.48000000000002,134.40000000000003,135.64,137.15999999999997,138.96,140.24,141.44,142.75999999999993,143.64000000000001,143.96000000000004,144.04000000000002,144.24,143.88000000000005,143.40000000000003,143.23999999999998,143.27999999999997,143.12000000000003,143.0
5,221.56,222.16000000000003,222.56,223.04000000000002,223.8800000000001,224.55999999999995,223.79999999999998,222.88000000000005,221.12000000000006,218.36000000000013,214.72000000000008,211.12000000000012,207.48000000000005,203.80000000000004,200.95999999999998,198.2800000000001,196.04000000000005,193.79999999999998,190.44,186.39999999999995,181.15999999999997,174.44,166.99999999999997,160.68,154.47999999999996,150.43999999999997,147.76,146.2,145.27999999999997,145.32000000000002,144.88,144.40000000000003,145.20000000000005,146.40000000000003,148.60000000000002,150.4000000000001,151.56,150.72,148.12,144.16000000000003,141.08,140.08000000000004,141.52000000000004,145.55999999999997,152.0,159.80000000000004,167.52000000000004,175.23999999999995,182.27999999999992,187.3200000000001,188.4,185.08000000000004,176.16000000000003,163.84,148.6,134.20000000000005,121.59999999999997,111.56,102.76,96.24000000000004,91.92000000000002,90.16000000000003,89.91999999999999,90.07999999999998,89.56,66.24000000000001,45.88000000000001,25.480000000000015,6.840000000000002,-10.720000000000002,-6.200000000000003,-5.600000000000004,-5.080000000000003,-4.920000000000002,-4.760000000000002,-4.000000000000002,-3.5200000000000014,-2.880000000000002,-2.3599999999999994,-1.7999999999999998,-1.959999999999999,-1.919999999999999,-1.959999999999999,-2.04,-2.04,-1.92,-1.5999999999999996,-1.1199999999999992,-0.9599999999999991,-0.6000000000000001,-0.20000000000000018,0.23999999999999932,0.16000000000000014,0.3600000000000012,-0.040000000000000036,0.2800000000000007,4.040000000000001,11.040000000000006,50.28000000000001,103.52000000000001,152.27999999999997,191.03999999999996,222.27999999999997,222.63999999999987,216.56000000000017,214.11999999999995,214.91999999999996,215.95999999999998,211.8800000000001,198.52000000000004,184.68,174.47999999999996,169.64,167.71999999999997,167.92000000000002,166.92,165.04000000000002,163.79999999999998,161.88,160.88,163.2399999999999,166.79999999999995,169.4,174.48,181.87999999999997,191.88000000000005,202.2,211.8399999999998,219.27999999999992,222.19999999999996,220.44,216.96000000000004,212.51999999999998,208.91999999999996,200.91999999999996,192.48000000000002,184.24,175.71999999999997,167.04000000000002,163.39999999999998,160.95999999999998,159.55999999999995,161.11999999999998,169.51999999999998,179.72000000000003,190.91999999999996,201.39999999999998,210.43999999999994,212.88000000000005,214.44000000000005,214.64000000000004,215.24000000000007,213.48000000000002,211.96000000000004,209.36,207.27999999999997,205.2,204.96,204.5600000000001,204.2,203.24000000000007,202.12000000000003,200.03999999999996,197.28000000000003,195.35999999999993,192.51999999999998,188.72000000000003,185.32,182.64000000000001,179.56000000000006,177.40000000000003
6,215.36,214.24000000000007,212.68000000000006,211.36000000000007,210.20000000000007,209.52000000000004,209.27999999999997,209.44000000000003,210.0,210.56,210.88000000000005,210.96000000000004,211.0,210.0,208.16000000000003,206.12,203.95999999999998,201.20000000000005,198.60000000000008,195.56000000000003,192.39999999999998,189.04000000000008,185.60000000000002,182.56000000000003,180.88,179.76,179.48000000000002,179.84000000000003,180.72000000000006,181.68000000000006,182.28,182.83999999999997,182.95999999999995,180.43999999999994,176.03999999999996,171.07999999999993,165.08000000000004,159.72,155.99999999999994,153.71999999999997,151.68000000000006,149.68000000000006,147.0,143.36000000000004,141.32000000000002,140.2,141.8,144.88000000000005,151.04000000000002,162.24,172.28000000000003,178.84000000000006,182.08,181.28000000000003,172.51999999999998,163.55999999999995,155.16,149.44000000000005,146.12000000000006,144.96000000000004,145.59999999999997,148.55999999999995,152.03999999999996,156.32,158.75999999999988,158.43999999999994,154.19999999999996,144.11999999999995,124.47999999999999,94.87999999999997,63.440000000000005,36.28,14.920000000000003,2.399999999999999,1.1599999999999997,3.9600000000000017,4.400000000000001,4.560000000000002,4.5600000000000005,4.600000000000001,4.4399999999999995,4.5600000000000005,4.160000000000001,4.200000000000001,3.6800000000000015,3.8400000000000016,4.120000000000002,4.400000000000002,4.400000000000002,4.960000000000001,4.7600000000000025,4.880000000000003,4.8000000000000025,4.880000000000001,5.040000000000003,5.520000000000003,6.000000000000002,7.48,11.279999999999998,28.560000000000002,77.0,124.68,173.56,216.52,247.00000000000006,250.52000000000004,257.24,261.35999999999996,267.3599999999999,271.7599999999999,272.28,343.1999999999999,423.55999999999995,505.2400000000001,586.4399999999999,667.48,675.1199999999998,674.1200000000001,673.3999999999999,673.1600000000002,671.8000000000001,670.12,667.2,663.72,659.6000000000001,654.8000000000001,649.9199999999998,644.6799999999998,638.5999999999999,631.48,622.1999999999998,597.2799999999997,572.84,548.72,526.8,508.96000000000004,508.96000000000015,436.67999999999995,358.56000000000006,283.6,211.96,144.2,154.43999999999997,174.24000000000004,190.32,201.68,206.20000000000007,204.83999999999992,199.76000000000005,194.60000000000002,190.48000000000002,188.12000000000006,187.2,187.40000000000003,188.04000000000002,188.40000000000003,187.96000000000004,187.56000000000006,187.12000000000006,186.72,186.28000000000003,186.20000000000005,185.60000000000002,183.80000000000007,180.48000000000008,175.51999999999998,168.76000000000005,161.04000000000002,154.60000000000002,149.12000000000003,144.52
7,239.95999999999995,240.27999999999997,240.8,240.84000000000003,240.76000000000005,239.92000000000002,238.59999999999994,236.27999999999997,232.99999999999997,228.71999999999997,223.84,218.60000000000008,213.0,206.48000000000002,199.36,191.80000000000004,185.07999999999998,179.52000000000004,176.8,176.84,178.83999999999997,181.43999999999997,183.88,185.52000000000004,186.40000000000003,187.27999999999997,187.56,188.60000000000005,188.44,187.79999999999998,187.40000000000003,187.80000000000004,186.88000000000002,186.43999999999997,183.88,179.04000000000002,173.16000000000008,168.32000000000005,164.79999999999995,164.84000000000003,167.88000000000002,171.88,175.6,181.00000000000006,186.60000000000002,193.27999999999997,198.72000000000003,202.52,201.16000000000003,196.68,189.52000000000004,182.56,176.63999999999996,174.23999999999995,173.4,172.39999999999998,171.36,169.36000000000004,166.72000000000003,164.07999999999998,159.51999999999998,153.08000000000004,144.79999999999993,132.24,110.56000000000002,82.48000000000002,56.92,35.68000000000001,18.479999999999997,10.68,12.16,13.200000000000001,13.52,13.919999999999998,14.079999999999998,13.280000000000001,13.200000000000001,12.719999999999999,12.76,12.2,12.760000000000002,12.88,13.32,13.440000000000001,14.160000000000004,14.000000000000002,13.720000000000002,13.760000000000002,13.720000000000002,13.560000000000002,13.72,14.080000000000002,13.920000000000003,14.16,14.200000000000003,14.120000000000001,14.24,15.840000000000002,45.480000000000004,80.8,121.08,158.39999999999998,193.76000000000005,206.36000000000004,217.8399999999999,227.72000000000008,238.28000000000003,244.87999999999997,243.8,238.72000000000003,231.20000000000005,225.88000000000005,224.5600000000001,225.32,225.64,224.79999999999995,223.92000000000002,223.24,222.72000000000003,221.75999999999996,221.36000000000007,221.12,221.52,221.88000000000002,222.44,221.39999999999995,220.11999999999998,217.91999999999993,214.43999999999994,210.36,206.08000000000004,200.59999999999997,194.64,187.39999999999998,180.99999999999997,174.88000000000008,169.76,166.95999999999992,167.72000000000003,170.68,175.68000000000006,184.0,192.72,202.31999999999996,211.60000000000005,220.20000000000002,225.32,228.56,229.24,227.92000000000007,227.16000000000003,226.88000000000005,226.60000000000008,226.6,226.32,224.64,222.52,220.28000000000003,217.91999999999996,216.24,215.20000000000005,214.71999999999997,214.43999999999988,214.8,214.88,215.48000000000005,215.23999999999995,215.43999999999997,215.32,214.51999999999998,212.03999999999996
8,218.32000000000002,217.92000000000002,217.28,216.24,215.35999999999996,214.84,215.32000000000005,216.8,218.87999999999997,221.39999999999998,224.60000000000002,227.8,231.16000000000003,234.36,236.31999999999996,237.2,236.91999999999996,234.64,231.84,228.8400000000001,225.32,221.04000000000002,217.27999999999997,213.35999999999996,209.1599999999999,203.19999999999993,196.95999999999992,188.64,179.03999999999996,170.2,162.43999999999994,156.44000000000005,152.76,151.03999999999996,150.59999999999997,152.20000000000002,153.56,155.72000000000003,158.23999999999995,160.60000000000002,164.19999999999996,168.36000000000004,173.55999999999995,179.24000000000007,183.88,185.55999999999997,185.15999999999994,182.51999999999998,178.55999999999997,174.43999999999994,171.68,169.63999999999993,168.2399999999999,167.48000000000002,167.59999999999997,167.92,169.55999999999997,171.68,173.07999999999998,172.23999999999995,168.75999999999996,160.92000000000007,147.36,127.64000000000004,100.24000000000001,72.11999999999996,48.48000000000002,30.319999999999997,18.76,16.279999999999998,16.879999999999995,16.639999999999997,15.64,15.08,14.880000000000003,14.200000000000003,14.16,14.080000000000002,14.16,14.080000000000005,14.160000000000004,13.800000000000002,13.719999999999999,13.48,13.48,13.12,12.76,12.8,12.12,12.08,12.520000000000003,12.280000000000001,12.120000000000001,12.16,12.120000000000001,11.760000000000002,12.32,13.720000000000002,23.95999999999999,43.47999999999998,90.4,136.84,179.51999999999998,209.83999999999995,234.52000000000004,237.68000000000006,240.44000000000003,243.64,248.95999999999992,250.91999999999987,248.11999999999998,245.5600000000001,243.96000000000004,242.88,240.56,237.24000000000004,233.88,231.32,228.72,225.88000000000002,223.36000000000004,221.56000000000003,219.72000000000003,218.67999999999995,218.35999999999996,218.36000000000007,218.39999999999995,218.68,218.16,216.96000000000006,214.44000000000005,210.96000000000012,206.64000000000004,202.20000000000007,197.20000000000005,192.27999999999997,186.79999999999995,181.12,174.84000000000003,167.60000000000005,159.0,150.64,141.88000000000002,134.36,128.83999999999995,125.64000000000001,123.51999999999998,124.27999999999999,126.16,129.63999999999996,134.56,141.07999999999996,148.27999999999992,156.43999999999994,165.07999999999993,173.9999999999999,182.00000000000006,188.55999999999997,193.55999999999995,196.96000000000004,197.76,198.32000000000005,198.04000000000002,197.67999999999998,196.88,196.76000000000002,196.24000000000004,196.60000000000008,196.9200000000001,197.64000000000007,198.16000000000008
9,265.56,265.5200000000001,265.96000000000004,265.52,264.32,262.96,261.55999999999995,259.44000000000005,256.48,252.95999999999992,249.75999999999996,246.23999999999995,242.39999999999998,238.39999999999998,234.51999999999992,230.67999999999995,226.28000000000003,219.04000000000002,211.92000000000002,204.72000000000003,198.28000000000003,193.48000000000008,192.6800000000001,192.72,194.91999999999996,197.39999999999998,200.36,202.47999999999996,205.51999999999995,208.27999999999992,211.64,214.12000000000003,217.71999999999994,218.67999999999998,216.24,210.4,203.11999999999995,193.04000000000002,183.40000000000003,175.1200000000001,168.23999999999995,162.91999999999996,160.11999999999995,158.43999999999994,158.71999999999997,160.76,163.96000000000004,168.56000000000006,176.48000000000005,185.84000000000003,197.64,206.51999999999992,208.59999999999997,207.56000000000003,203.87999999999997,196.16000000000008,190.40000000000003,189.99999999999997,189.68,188.4,186.16000000000005,180.16000000000008,162.60000000000008,138.35999999999996,105.91999999999999,70.67999999999999,40.75999999999999,22.04,10.559999999999999,8.6,11.2,12.719999999999999,15.080000000000002,17.92,21.159999999999997,24.96,29.199999999999996,32.72,35.52,38.160000000000004,40.08,41.04,41.72,41.67999999999999,41.28,40.120000000000005,38.440000000000005,36.720000000000006,34.800000000000004,33.0,31.119999999999994,29.84,28.599999999999998,28.159999999999997,27.36,27.639999999999997,27.6,33.32000000000001,79.36000000000001,126.68000000000002,173.59999999999997,217.16000000000003,256.44000000000005,255.87999999999994,263.35999999999996,272.2800000000001,281.64,287.64,293.0799999999999,290.8,288.32000000000005,288.9200000000001,290.7200000000001,292.24,291.84,290.03999999999996,287.5599999999999,285.4799999999999,283.5999999999999,280.59999999999997,276.99999999999994,273.31999999999994,269.6,263.12,255.11999999999995,237.19999999999996,218.51999999999995,198.52000000000004,180.00000000000006,163.5200000000001,157.44000000000003,152.03999999999996,148.72,147.2,148.24,151.51999999999995,160.48000000000002,176.68,192.99999999999994,211.0,227.91999999999996,239.52000000000004,243.51999999999992,245.31999999999994,243.79999999999995,241.75999999999996,239.64000000000001,236.80000000000007,235.28000000000003,234.72000000000008,233.80000000000007,233.35999999999999,233.83999999999995,234.11999999999995,234.23999999999995,234.35999999999996,233.88000000000005,232.44,230.72000000000003,228.27999999999997,224.04,219.2,212.56,204.59999999999997,195.9199999999999,188.67999999999998,182.08000000000004,177.28000000000003,176.27999999999992,177.39999999999998,180.31999999999996
10,250.64,250.11999999999995,249.59999999999997,250.07999999999993,250.43999999999994,250.72000000000003,250.47999999999996,250.44,250.16000000000008,249.51999999999998,249.03999999999996,248.24000000000004,247.39999999999998,246.36,245.15999999999997,244.03999999999996,242.88000000000005,240.99999999999991,238.79999999999993,235.75999999999993,231.8799999999999,227.92,223.47999999999996,218.79999999999995,215.51999999999995,212.16,209.64000000000001,207.95999999999998,207.0,206.04000000000002,205.20000000000005,203.92000000000004,202.79999999999995,201.88,200.8,201.36,202.12,202.87999999999994,204.6,205.76,206.11999999999995,205.28000000000003,202.35999999999996,197.44,192.12,186.16000000000003,180.23999999999995,174.8799999999999,170.24000000000007,166.88000000000005,165.51999999999995,171.2,180.31999999999994,190.67999999999998,200.83999999999997,208.4,208.96000000000004,205.96000000000004,200.91999999999996,194.28,188.12,181.44000000000005,175.88,171.56000000000006,169.24000000000007,167.92000000000002,167.95999999999998,168.04000000000013,167.12,163.12,153.96000000000004,136.47999999999996,111.20000000000003,83.71999999999997,58.32000000000001,37.64000000000001,25.479999999999997,21.839999999999996,22.24,22.64,23.159999999999997,24.2,25.16,24.92,25.000000000000004,25.040000000000003,24.72,24.439999999999998,23.88,23.759999999999998,23.759999999999998,24.36,23.92,24.319999999999993,89.23999999999998,160.28,239.07999999999998,321.36000000000007,394.32000000000005,409.8000000000001,417.84,416.20000000000005,410.91999999999996,413.80000000000007,408.71999999999986,418.52,374.0000000000001,331.92,288.68000000000006,259.24,225.8,250.0,270.44000000000005,290.9999999999999,299.48,298.88,296.47999999999996,296.68000000000006,299.08000000000004,300.0,300.96000000000004,301.64000000000004,301.99999999999994,302.15999999999985,302.5999999999999,301.64,300.28,298.59999999999997,295.9999999999999,293.43999999999994,290.6,287.2400000000001,283.67999999999995,278.20000000000005,270.28,259.16,245.92000000000002,230.23999999999995,215.20000000000002,199.8,185.51999999999998,171.8,158.76,146.32,135.92000000000002,127.48,120.92000000000002,115.68,111.24000000000002,107.00000000000003,103.36000000000001,100.03999999999999,98.16,97.48000000000002,98.52000000000001,100.40000000000003,103.68,106.35999999999999,109.64000000000004,111.88000000000002,114.60000000000002,115.84000000000003,117.28000000000002,117.80000000000001,117.88000000000002,117.11999999999999,116.96000000000004,116.68000000000002,116.08000000000004,115.84000000000003,116.28000000000003
