Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,264.55999999999995,263.96000000000004,263.24,262.48,261.12,260.31999999999994,259.36,258.11999999999995,257.08,256.32000000000005,255.68,254.67999999999995,254.59999999999997,254.20000000000002,253.35999999999999,252.11999999999998,251.56,250.76000000000005,250.48000000000002,250.36000000000004,250.44,250.4000000000001,250.16000000000008,249.88000000000005,249.60000000000005,249.20000000000007,247.72000000000003,246.16000000000008,244.44,243.52000000000004,243.44000000000005,245.0,248.2,252.64,257.91999999999996,263.0,267.80000000000007,271.91999999999996,274.88,276.68,278.52,279.79999999999995,280.64,281.92,283.15999999999997,284.52,286.31999999999994,288.3999999999999,290.0,293.4799999999999,297.16,300.48,302.3599999999999,303.08000000000004,300.6800000000001,296.72,292.08000000000004,285.96000000000004,277.9599999999999,267.91999999999996,255.08000000000004,240.60000000000002,227.36,215.68,206.92000000000002,200.8,195.28000000000006,186.15999999999997,170.59999999999997,144.2,109.12000000000003,76.12,48.44,27.88000000000001,18.199999999999996,17.959999999999997,17.08,15.239999999999998,14.399999999999999,13.28,12.48,11.919999999999998,11.599999999999998,11.04,10.799999999999997,10.36,10.199999999999998,9.839999999999996,9.279999999999998,8.760000000000002,8.440000000000001,7.840000000000001,7.84,7.88,7.879999999999999,7.799999999999999,7.84,7.759999999999998,7.640000000000001,8.96,22.44,62.60000000000001,125.84000000000002,182.07999999999996,221.44,242.71999999999994,258.08,246.64,238.03999999999994,243.40000000000003,252.31999999999994,236.72000000000008,219.83999999999997,201.95999999999998,182.24000000000004,162.40000000000003,146.60000000000002,136.88000000000005,135.52000000000004,141.76000000000002,153.20000000000002,165.44,177.32000000000002,187.0,192.76,196.28000000000003,198.64000000000004,200.15999999999997,199.95999999999998,199.72,199.23999999999995,203.83999999999997,212.07999999999998,221.88000000000005,231.88000000000005,241.04,243.76000000000005,240.8400000000001,234.64,226.04000000000002,215.47999999999996,209.27999999999997,210.04000000000005,216.03999999999994,225.59999999999997,235.8,238.04000000000002,230.32,207.8,183.76000000000005,161.44000000000005,144.68000000000006,133.44,137.96,143.48000000000002,151.16000000000003,159.32000000000005,170.04000000000008,180.68,192.52000000000004,207.84000000000003,223.40000000000003,236.88000000000005,246.47999999999996,253.20000000000002,253.03999999999996,249.6,242.48000000000002,233.48,223.59999999999997,214.04000000000002
2,286.48,286.67999999999995,287.31999999999994,287.6400000000001,288.36,288.80000000000007,289.28000000000003,289.52000000000004,290.28,290.40000000000003,290.4,290.88,290.76,290.24,288.6399999999999,286.24,282.76,279.24000000000007,275.24,271.44000000000005,268.84000000000003,265.96,263.84000000000003,262.08000000000004,260.96000000000004,260.4,261.6,263.00000000000006,264.68000000000006,266.84,268.52,269.15999999999997,269.8399999999999,270.79999999999995,271.88,272.91999999999996,274.24,274.80000000000007,275.36,276.6800000000001,277.52,278.72,280.48000000000013,282.76000000000005,284.2800000000001,286.48,287.8800000000001,288.7600000000001,289.91999999999996,291.76,293.4000000000001,296.1600000000001,298.1600000000001,298.08000000000004,347.43999999999994,397.27999999999986,456.80000000000007,516.7200000000001,567.8000000000001,573.36,576.0800000000002,566.8800000000001,557.1199999999999,555.8799999999999,548.0799999999999,541.0,534.36,526.8799999999999,517.5200000000002,416.19999999999993,316.12,215.91999999999996,117.32,21.639999999999997,19.440000000000005,17.800000000000004,17.240000000000002,17.080000000000002,17.32,17.480000000000004,17.400000000000002,17.28,16.800000000000004,16.12,15.840000000000003,15.280000000000003,14.760000000000002,14.720000000000002,14.280000000000001,13.560000000000002,13.320000000000002,12.720000000000002,12.88,34.2,89.63999999999999,134.68000000000004,177.35999999999996,228.24,262.56,262.59999999999997,271.20000000000005,279.5199999999999,276.84000000000003,268.64,257.99999999999994,248.07999999999998,241.2,236.40000000000003,233.8,234.95999999999998,238.04,241.83999999999997,245.95999999999995,249.88,252.84,253.96,253.44000000000005,250.88000000000002,246.43999999999994,239.59999999999997,231.24,222.44,213.12,202.71999999999997,191.71999999999997,181.56000000000006,172.64000000000004,166.0,164.76,172.95999999999998,186.04000000000005,200.16000000000003,214.36,225.27999999999997,227.95999999999998,224.60000000000002,216.43999999999997,204.12,188.04000000000002,172.04000000000002,157.72,147.28000000000003,141.04000000000002,139.48,141.92,146.56,153.64,162.07999999999998,169.95999999999998,173.8,173.16000000000003,167.0,156.2,144.2,132.88,124.96000000000001,120.48000000000002,119.16000000000001,122.40000000000002,130.24,143.40000000000003,160.71999999999997,180.71999999999997,198.92000000000002,213.79999999999998,222.44000000000005,225.07999999999998,222.72000000000003,209.56,195.88,183.47999999999996
3,259.79999999999995,261.24000000000007,262.84000000000003,264.5200000000001,265.80000000000007,266.12,267.64000000000004,268.56000000000006,269.6,270.04,270.03999999999996,269.67999999999995,269.0799999999999,267.88,266.52,265.4799999999999,264.43999999999994,262.91999999999996,261.28,260.19999999999993,258.44000000000005,255.67999999999998,252.07999999999998,247.56000000000003,242.36,237.83999999999997,233.87999999999994,232.2,232.39999999999992,233.35999999999999,233.32000000000002,231.64000000000001,228.75999999999996,225.03999999999996,221.60000000000002,220.15999999999997,220.76,228.51999999999998,237.27999999999997,246.76,256.64,267.12,271.84000000000003,276.28,280.56000000000006,284.76,288.56000000000006,291.35999999999996,295.24000000000007,298.5999999999999,301.0,302.36,303.08,299.60000000000014,292.76,282.15999999999997,269.20000000000005,253.68,237.88000000000002,222.15999999999997,208.76000000000005,196.64,186.72000000000003,179.39999999999998,174.12,169.28,162.99999999999994,151.80000000000004,130.24,100.39999999999995,71.47999999999999,45.400000000000006,25.159999999999997,15.52,14.92,13.92,13.36,12.839999999999998,12.439999999999998,11.959999999999999,11.399999999999999,10.84,10.4,9.959999999999999,9.44,9.12,8.879999999999999,9.0,8.68,8.6,8.16,7.799999999999999,7.08,6.56,6.08,5.799999999999999,5.319999999999999,4.88,5.8,20.919999999999998,63.03999999999998,119.55999999999997,177.00000000000003,229.56,273.8,299.0400000000001,309.15999999999997,316.24,324.3600000000001,324.76,316.84000000000003,307.28000000000003,295.6,281.4399999999999,266.12,249.32,235.64000000000001,230.88,232.27999999999997,237.83999999999997,246.32,254.1599999999999,257.03999999999996,257.84,255.84000000000003,250.92000000000002,242.68000000000006,231.24000000000004,217.8,203.11999999999998,189.55999999999997,179.44,175.24,177.24,183.92000000000002,193.48000000000002,213.16,229.99999999999994,240.35999999999999,245.59999999999997,246.48000000000002,233.60000000000008,217.4,202.59999999999997,190.16,180.08000000000004,172.60000000000002,169.07999999999998,172.31999999999994,179.64,196.64,216.32000000000002,236.43999999999994,252.84,264.68,265.03999999999996,259.03999999999996,247.76000000000005,230.08000000000004,210.52,192.04,178.12,171.64000000000001,178.44000000000005,194.48000000000002,212.48000000000002,231.04000000000002,247.12,255.40000000000003,257.88,259.08000000000004
4,278.28,278.75999999999993,278.43999999999994,278.15999999999997,277.20000000000005,276.48,276.28000000000003,276.9599999999999,278.2,279.7199999999999,280.6,280.6,279.15999999999997,276.84,274.20000000000005,271.76000000000005,268.4800000000001,265.08000000000004,261.92,257.80000000000007,252.8,247.67999999999995,243.60000000000002,239.16,235.16000000000008,232.04000000000005,230.00000000000006,228.56000000000006,228.52,230.51999999999998,233.07999999999993,235.96000000000004,238.51999999999995,241.40000000000003,244.04000000000002,247.27999999999997,250.95999999999998,255.12000000000006,259.20000000000005,262.4000000000001,265.2800000000001,267.76,269.4,270.04,270.55999999999995,271.43999999999994,273.24,276.0400000000001,278.76,282.08000000000004,284.6,286.7600000000001,288.9200000000001,291.64,292.9199999999999,292.6400000000001,289.52,282.84,273.76,261.9200000000001,249.24000000000012,237.11999999999995,226.03999999999996,215.83999999999995,207.07999999999996,199.72000000000003,179.88000000000005,150.20000000000002,112.44,76.83999999999997,42.15999999999999,21.440000000000005,12.120000000000001,12.04,11.76,11.32,10.52,9.76,8.52,8.04,7.2,6.72,6.36,6.4,5.680000000000001,5.6000000000000005,5.52,5.4399999999999995,5.6,5.6,5.76,5.76,5.76,5.359999999999999,5.239999999999999,4.72,4.720000000000001,4.56,4.68,5.959999999999999,25.04,76.6,196.96000000000004,255.51999999999998,312.23999999999995,362.55999999999995,380.44,327.76,334.6,339.76,331.4799999999999,320.4,307.67999999999995,292.12,272.52,247.76,220.79999999999995,194.56,172.36,157.75999999999996,151.95999999999998,160.0,170.71999999999997,181.51999999999998,188.4,190.88,168.76,145.04,121.32,100.67999999999998,84.43999999999997,91.68,117.04000000000002,146.68,177.51999999999998,207.28000000000003,225.16,223.84000000000003,213.67999999999995,201.36,188.43999999999994,179.20000000000002,173.36,178.0,192.87999999999994,211.76,232.59999999999997,254.6,270.0799999999999,273.8,270.68000000000006,263.2800000000001,252.0,240.24,228.1599999999999,222.07999999999998,223.92000000000002,231.00000000000006,241.96,256.40000000000003,267.56000000000006,272.52,272.88,270.4,266.52,264.12,264.0799999999999,267.32000000000005,272.1600000000001,277.9600000000001,282.96000000000004
5,264.0799999999999,267.32000000000005,272.1600000000001,277.9600000000001,282.96000000000004,285.79999999999995,287.19999999999993,287.48,287.36,286.68000000000006,286.44000000000005,285.68000000000006,285.7200000000001,286.0400000000001,286.55999999999995,287.12000000000006,287.6000000000001,287.96000000000004,287.76,287.9200000000001,288.40000000000003,288.88,289.20000000000005,289.32,288.64000000000004,287.40000000000003,285.64,282.0,278.44000000000005,274.44000000000005,269.64,263.67999999999995,257.91999999999996,251.07999999999998,243.99999999999997,237.08,232.59999999999997,231.08000000000004,232.12,235.11999999999998,239.51999999999998,243.43999999999994,249.48000000000005,254.68000000000006,260.79999999999995,268.68000000000006,277.68000000000006,283.79999999999995,290.24,295.48,298.84000000000003,300.72000000000014,301.91999999999996,301.72,300.76,298.92000000000013,297.20000000000005,294.76,293.4000000000001,291.40000000000003,288.91999999999996,278.8399999999999,265.76,250.44,234.91999999999996,198.3600000000001,156.64,115.03999999999998,75.32000000000002,36.52000000000001,19.8,15.559999999999999,15.079999999999998,14.48,13.880000000000003,13.0,12.48,12.16,11.799999999999999,11.4,10.919999999999998,10.52,10.120000000000001,9.92,9.36,9.32,9.280000000000001,8.8,8.44,8.559999999999999,8.520000000000001,8.6,8.84,8.64,8.36,8.680000000000001,8.320000000000002,8.000000000000002,7.6800000000000015,8.000000000000002,19.919999999999998,67.64,121.51999999999998,176.91999999999996,228.12,273.44000000000005,285.64,289.64000000000004,290.0799999999999,291.32000000000005,284.84,275.03999999999996,266.1600000000001,257.91999999999996,249.95999999999998,243.55999999999995,238.59999999999997,235.64000000000001,235.08000000000004,237.80000000000007,240.87999999999997,243.92,246.8,248.99999999999994,250.71999999999997,251.99999999999994,252.39999999999998,251.91999999999996,251.35999999999996,250.32000000000002,249.07999999999998,247.32000000000005,243.35999999999996,237.2,228.16,207.59999999999997,188.04000000000002,172.59999999999997,167.51999999999995,172.24,191.96,213.68,233.07999999999993,242.84000000000003,244.59999999999997,240.36,230.0,216.23999999999998,202.64000000000001,190.23999999999995,182.31999999999996,183.83999999999997,194.23999999999995,210.0,228.20000000000005,245.32000000000002,257.44000000000005,263.71999999999997,266.28000000000003,266.47999999999996,265.84,265.6,266.40000000000003,266.9200000000001,266.7600000000001,267.0400000000001,266.6400000000001,266.36,267.0400000000001,268.44000000000005,269.4400000000001
6,258.12,252.56,246.68,240.39999999999992,234.68,229.11999999999995,224.27999999999994,220.04,217.51999999999998,216.40000000000003,217.40000000000003,220.2,224.36,229.0,232.27999999999997,234.12,234.03999999999994,231.7199999999999,227.28000000000006,222.31999999999994,218.00000000000003,214.8,213.83999999999997,215.32000000000002,219.04000000000002,222.56000000000006,226.23999999999995,231.31999999999994,235.76,240.08000000000004,245.16000000000003,249.96000000000004,254.56,259.20000000000005,264.32000000000005,269.36,274.88,278.4,280.56000000000006,280.76,279.84000000000003,278.48,277.40000000000003,277.35999999999996,277.7199999999999,278.12,277.28,275.36,272.16,268.84000000000003,265.19999999999993,259.8,251.47999999999996,241.76000000000005,231.44000000000008,220.40000000000003,211.19999999999996,204.11999999999998,196.20000000000002,186.72000000000003,171.64000000000004,144.88000000000005,110.6,79.44000000000001,50.84000000000002,28.639999999999993,18.72,17.64,17.04,16.08,15.16,14.239999999999998,13.64,12.680000000000001,12.000000000000002,11.320000000000002,10.879999999999999,10.52,9.76,9.32,9.120000000000001,9.200000000000001,9.240000000000002,9.08,8.96,8.72,8.52,7.760000000000002,7.720000000000001,7.32,7.32,7.040000000000001,7.200000000000001,7.360000000000001,8.32,22.479999999999997,80.72000000000003,138.47999999999996,186.80000000000004,240.31999999999994,288.44000000000005,292.91999999999996,295.71999999999997,298.0000000000001,289.20000000000005,268.0799999999999,242.71999999999997,215.27999999999997,194.12,176.16000000000003,161.07999999999998,147.76000000000002,138.52,132.36,127.91999999999999,124.6,122.95999999999998,121.75999999999999,120.72,119.43999999999998,117.6,114.99999999999997,112.60000000000002,113.67999999999998,116.51999999999998,120.48,124.64000000000001,126.79999999999998,121.32,112.36,103.19999999999999,96.56,94.08000000000001,99.60000000000001,110.71999999999997,123.80000000000001,137.39999999999998,151.32000000000002,165.52,179.16000000000003,192.44,201.76,205.64,204.04000000000002,197.31999999999994,185.76000000000005,182.68000000000004,188.20000000000002,200.8,216.96000000000004,235.88,246.55999999999995,246.84000000000003,242.72000000000003,239.16000000000003,237.88000000000005,239.68,246.95999999999998,253.71999999999997,258.71999999999997,262.0400000000001,264.12,265.0,265.36,265.91999999999996,266.6,266.96,267.4,267.75999999999993,267.8799999999999,267.9599999999999
7,267.52000000000004,268.76,269.2400000000001,269.7200000000001,270.44000000000005,271.24,271.88,273.0799999999999,274.36,274.72,274.91999999999996,274.72,273.52,272.0,269.91999999999996,267.99999999999994,266.28,263.6,261.15999999999997,258.64000000000004,255.52000000000004,251.64000000000001,247.95999999999992,242.36000000000004,236.47999999999996,230.92000000000004,227.16000000000003,225.56,227.56,230.88000000000002,235.48000000000002,239.84000000000003,244.23999999999998,247.36,250.20000000000005,251.4,252.32000000000005,254.48000000000002,257.24000000000007,266.32,277.20000000000005,287.80000000000007,295.91999999999996,302.24,301.52,298.88000000000005,294.68000000000006,289.79999999999995,283.0400000000001,275.0,264.08,252.20000000000005,235.68,220.91999999999996,208.04000000000008,198.60000000000002,191.12,189.28000000000003,188.16000000000005,185.51999999999998,179.64000000000007,166.04,144.28,111.88000000000002,80.83999999999999,52.839999999999996,32.68,20.64,19.080000000000002,18.52,17.68,16.919999999999998,16.36,16.479999999999997,15.32,14.839999999999998,14.48,14.12,12.76,12.600000000000001,11.999999999999998,11.559999999999999,11.120000000000001,11.280000000000001,10.84,10.84,10.76,11.16,11.280000000000001,10.959999999999999,10.68,10.719999999999999,9.999999999999998,9.479999999999999,9.0,17.44,38.11999999999999,84.60000000000002,123.56,174.79999999999998,217.2,249.6,253.95999999999998,266.0,265.20000000000005,264.1600000000001,259.44,257.4,254.08000000000004,251.07999999999998,246.36,240.31999999999996,231.44,221.07999999999998,208.07999999999998,194.64,180.68,167.8,157.16,149.12,142.04000000000002,136.76,132.8,129.07999999999998,126.4,128.72,131.8,134.64,134.2,129.23999999999998,117.71999999999998,103.16,88.11999999999999,75.07999999999998,65.64,59.120000000000005,55.64,53.559999999999995,53.400000000000006,59.440000000000005,71.8,97.71999999999998,127.47999999999999,159.71999999999997,187.84000000000003,212.04000000000002,226.56000000000003,238.88000000000002,243.8,242.52,236.23999999999995,225.32000000000002,211.95999999999998,202.51999999999998,197.48,194.44,193.56,200.88,223.24000000000007,247.55999999999997,275.91999999999996,303.88,323.12000000000006,325.92,325.52,318.88,308.76,298.1600000000001,287.59999999999997,275.84000000000003,264.28
8,310.36,310.24000000000007,309.84000000000003,309.79999999999995,309.36,308.8,308.64,308.48000000000013,308.2,307.72,308.20000000000005,307.84000000000003,307.55999999999995,307.55999999999995,307.56000000000006,307.32000000000005,307.15999999999997,307.1599999999999,306.79999999999995,306.63999999999993,306.64,306.79999999999995,306.80000000000007,307.15999999999997,307.67999999999995,308.2399999999999,308.91999999999996,309.55999999999983,309.9599999999999,310.27999999999986,309.95999999999987,309.68,309.16,307.5200000000001,305.72,304.24,302.44000000000005,300.64,299.52,297.9599999999999,295.63999999999993,288.4,281.12,274.24,268.2,262.72,263.28,268.20000000000005,273.15999999999997,278.67999999999995,284.72,290.4,292.5999999999999,295.8399999999999,298.5999999999999,301.6,306.4,310.43999999999994,313.0800000000001,314.36000000000007,309.56000000000006,300.91999999999996,290.04000000000013,276.96000000000004,263.03999999999996,233.4,196.24,150.52000000000004,107.20000000000005,64.92,43.959999999999994,31.48,30.199999999999996,28.479999999999997,27.880000000000003,27.0,26.8,26.159999999999997,25.92,25.6,25.200000000000003,24.840000000000003,24.440000000000005,24.28,23.560000000000002,22.92,22.52,22.360000000000003,22.0,22.159999999999997,21.999999999999996,21.6,21.519999999999996,21.16,21.559999999999995,36.36,90.56,170.60000000000002,233.28000000000003,280.36,331.64,345.12000000000006,331.0,332.12,345.64,337.72,313.24000000000007,284.88,255.60000000000002,226.76000000000005,198.20000000000002,184.40000000000003,175.88,170.95999999999998,168.51999999999998,169.04000000000002,169.40000000000003,169.79999999999998,170.64,170.64,171.32,173.24,176.59999999999997,181.12,187.56,195.60000000000002,204.68,214.48000000000002,224.27999999999997,234.16000000000003,241.59999999999997,236.71999999999997,229.44,222.39999999999998,219.28,223.08000000000004,238.56,256.36,270.4,275.15999999999997,268.6,256.84000000000003,239.72000000000003,222.56,208.4,198.59999999999997,193.39999999999998,191.56,192.36,200.76,212.64000000000001,226.96,243.96000000000004,263.20000000000005,277.79999999999995,290.44,294.59999999999997,293.4799999999999,287.4000000000001,277.12,263.43999999999994,251.95999999999998,242.28000000000003,233.64,226.72000000000003,224.28000000000003,229.44,238.56,251.31999999999996,255.55999999999995,260.23999999999995
9,305.11999999999995,303.8400000000001,302.68,302.44,303.96,306.60000000000014,309.2399999999999,311.72,313.28,314.4,315.12,316.0,316.0800000000001,316.1600000000001,315.8,315.2800000000001,314.0,312.63999999999993,311.43999999999994,309.91999999999996,308.32,307.08000000000004,305.28,302.6400000000001,300.08000000000004,297.4,293.87999999999994,291.28,288.48,285.08000000000004,281.4800000000001,276.72,271.64,267.76,264.8,266.04,270.36,275.76000000000005,281.7199999999999,287.96000000000004,291.68000000000006,295.6,299.52,303.56,308.47999999999996,313.40000000000003,318.24000000000007,323.08000000000004,328.2,333.6400000000001,338.96000000000004,342.56000000000006,344.52,345.31999999999994,344.8,343.64000000000004,342.44,339.5200000000001,333.68000000000006,324.96000000000004,307.52000000000004,287.55999999999995,268.12,249.83999999999992,233.43999999999994,223.99999999999991,215.51999999999992,205.16000000000003,188.79999999999998,159.27999999999997,124.87999999999997,92.07999999999998,63.440000000000005,42.44,35.44,34.04,33.2,32.28,31.400000000000002,30.200000000000003,30.04,29.720000000000002,29.08,28.440000000000005,28.240000000000002,27.64,26.919999999999998,26.119999999999997,25.8,25.28,24.560000000000002,24.44,23.96,23.199999999999996,22.559999999999995,22.4,21.8,22.0,24.68,40.24,86.4,143.60000000000002,192.03999999999996,240.32000000000005,282.6,297.16,299.8,310.03999999999996,316.72,312.88,304.71999999999997,294.96,282.0799999999999,261.7200000000001,238.04000000000002,209.72,171.47999999999996,135.12,106.76000000000002,85.60000000000001,70.88,68.12,67.52000000000001,67.76,68.04000000000002,68.84,69.80000000000001,70.44,70.68,69.96000000000001,67.75999999999999,65.08,57.2,46.559999999999995,37.08,27.72,19.04,16.24,16.08,15.64,15.84,16.08,16.159999999999997,16.119999999999997,15.920000000000002,15.64,15.76,15.32,15.32,15.4,15.12,14.64,14.400000000000002,14.320000000000002,13.760000000000002,13.8,13.68,13.280000000000001,12.440000000000001,12.4,11.880000000000003,11.680000000000001,12.080000000000002,12.240000000000002,12.48,12.68,12.760000000000002,12.120000000000001,12.200000000000003,11.8,11.639999999999999
10,299.88,299.7600000000001,299.91999999999996,299.91999999999996,299.96,299.80000000000007,299.76,299.6,299.4000000000001,298.8,298.6,298.16,296.28,293.4800000000001,290.32000000000005,286.0,280.96,276.12,270.76,265.32,260.44,256.28000000000003,253.44,252.32000000000005,251.76000000000005,252.08000000000007,252.2800000000001,253.00000000000003,252.95999999999998,253.32000000000005,253.76,255.11999999999995,256.47999999999996,258.55999999999995,261.7199999999999,265.36,270.24,276.1200000000001,282.9200000000001,290.03999999999996,297.4,304.67999999999995,311.4,317.6,322.0799999999999,325.0000000000001,326.2800000000001,326.80000000000007,326.16,324.72,322.40000000000003,318.36000000000007,312.52000000000004,304.96,296.4,288.20000000000005,275.52,263.08,251.20000000000005,239.40000000000003,226.36000000000004,218.44,209.59999999999997,199.0799999999999,184.48000000000008,148.95999999999998,114.19999999999999,81.67999999999998,52.040000000000006,28.240000000000002,27.240000000000002,26.479999999999997,26.240000000000002,25.72,25.16,24.799999999999997,24.36,23.759999999999998,23.4,23.159999999999997,22.759999999999998,22.72,22.440000000000005,21.96,21.520000000000003,21.560000000000002,21.32,20.879999999999995,20.88,20.88,20.599999999999998,20.4,20.32,20.28,20.12,19.68,19.52,19.72,20.0,21.999999999999996,43.2,97.60000000000001,154.64000000000004,208.52000000000007,265.16,311.03999999999996,321.67999999999995,329.0,337.31999999999994,338.84,330.4399999999999,321.84000000000003,311.03999999999996,289.56000000000006,265.84000000000003,237.31999999999994,206.04,174.0,152.08000000000004,133.28,119.44,108.71999999999998,99.72,92.95999999999998,87.16,82.80000000000001,79.67999999999998,78.28,76.92000000000004,75.96000000000002,75.16,75.43999999999998,75.43999999999997,76.07999999999997,77.03999999999999,77.72,77.75999999999999,78.16,77.79999999999998,77.56,76.96000000000001,76.83999999999997,76.11999999999998,75.68,74.75999999999998,74.23999999999998,72.35999999999999,69.75999999999999,66.44,62.80000000000001,58.68000000000001,54.0,48.079999999999984,39.63999999999999,30.24,21.479999999999997,13.600000000000001,8.68,7.4,7.960000000000001,7.720000000000001,8.639999999999999,8.68,8.440000000000001,7.8,7.959999999999999,7.679999999999998,7.6,7.4399999999999995,7.360000000000001,7.52
