Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1001.2799999999997,998.56,995.28,992.1200000000001,986.24,982.4799999999998,978.5999999999999,973.6799999999998,969.2799999999997,966.6,964.36,960.48,960.5199999999999,959.3599999999999,956.3199999999999,951.72,950.3999999999999,947.84,947.4800000000001,947.6800000000002,948.6800000000001,948.6400000000001,948.0800000000002,947.2,945.7600000000002,944.0800000000002,937.8800000000002,931.5600000000002,924.4000000000001,920.8400000000001,920.8000000000002,927.24,939.9199999999998,957.9599999999999,979.7999999999998,1000.2399999999998,1019.9200000000001,1037.0,1049.28,1056.4,1064.08,1069.32,1072.48,1078.04,1083.2,1089.3600000000001,1097.8399999999997,1108.2,1116.12,1133.1599999999999,1150.8,1168.04,1179.8799999999997,1187.92,1182.2800000000004,1170.4,1154.88,1132.96,1103.1999999999998,1066.0,1017.5200000000002,961.5999999999999,910.24,863.96,829.0800000000002,804.88,784.7200000000003,751.5599999999998,693.6800000000001,587.9599999999999,443.92000000000013,307.4000000000001,190.83999999999997,102.24000000000002,61.2,61.079999999999984,57.60000000000001,50.199999999999996,46.63999999999999,41.92,38.959999999999994,36.959999999999994,36.15999999999999,34.67999999999999,34.15999999999999,32.31999999999999,31.759999999999987,29.999999999999986,27.359999999999992,25.199999999999996,24.08,21.840000000000003,22.04,22.48,22.799999999999997,22.599999999999994,22.799999999999997,22.559999999999995,21.759999999999998,24.879999999999995,79.48000000000002,231.28000000000003,474.20000000000005,699.7599999999999,869.96,966.5199999999998,1041.7200000000003,1011.28,983.3999999999999,1001.4000000000002,1032.8799999999997,974.36,909.9599999999999,839.48,760.52,680.0000000000001,614.0800000000002,573.6400000000001,567.72,592.88,639.6400000000001,690.1199999999999,738.96,778.9200000000001,803.48,818.92,829.5200000000001,836.3999999999999,835.3999999999999,834.0000000000001,830.9200000000001,845.6400000000001,872.6800000000001,904.3200000000002,934.64,960.68,962.0000000000001,942.3200000000002,910.8399999999997,871.5600000000001,825.6399999999999,797.8000000000001,796.8800000000001,818.7999999999998,856.3599999999999,897.5999999999999,909.8000000000001,885.3599999999999,800.3999999999999,707.96,621.3600000000001,555.7200000000001,510.28,527.96,550.3199999999999,581.04,613.0000000000001,654.2400000000001,693.4,735.96,791.1200000000001,847.5600000000001,896.2,930.7599999999999,954.2800000000001,951.84,936.4800000000001,907.8800000000001,872.92,835.52,800.04
2,1091.8,1092.6,1094.92,1095.44,1098.3200000000002,1099.6000000000001,1101.44,1102.08,1105.3600000000001,1105.4,1105.1999999999998,1106.7999999999997,1106.0,1103.52,1097.2799999999997,1087.7600000000002,1073.9199999999998,1060.0800000000002,1044.6,1029.64,1019.8399999999999,1008.3599999999999,999.9200000000001,992.9600000000003,988.36,985.7199999999999,990.2,995.3600000000004,1001.48,1009.24,1015.6400000000001,1018.0,1020.7600000000001,1023.8399999999998,1027.9199999999998,1031.84,1037.0400000000002,1039.4800000000002,1042.44,1049.2000000000003,1053.72,1059.72,1067.6800000000003,1077.7199999999998,1083.5600000000002,1092.2400000000002,1097.8400000000001,1101.4400000000003,1106.48,1114.92,1121.6000000000006,1133.2000000000003,1141.8000000000002,1142.44,1386.2799999999997,1633.4399999999996,1929.0400000000004,2226.12,2483.92,2519.0,2542.8,2508.92,2472.9199999999996,2474.439999999999,2445.1600000000003,2418.72,2393.96,2366.96,2333.840000000001,1875.7599999999998,1422.1599999999999,968.0799999999997,519.04,80.0,71.4,64.72000000000001,62.519999999999996,61.959999999999994,63.16,63.96,63.91999999999999,63.040000000000006,61.239999999999995,57.80000000000001,56.44,53.760000000000005,51.760000000000005,51.48,50.160000000000004,47.0,46.4,43.72000000000001,42.24,119.28,311.7999999999999,461.64,616.6399999999999,805.16,931.3999999999999,941.7199999999998,988.44,1020.5199999999999,1009.4,979.5999999999998,941.68,905.08,879.8,862.6400000000001,854.0,858.88,871.3199999999999,886.64,903.4,918.2800000000001,929.1600000000001,933.04,930.8000000000003,921.2,904.8,879.6399999999999,848.6400000000001,816.2,781.28,742.1999999999999,701.1199999999999,663.24,629.7600000000002,605.1200000000001,599.9599999999998,629.0799999999999,676.4800000000001,727.76,778.5600000000001,818.5199999999998,827.9200000000001,815.4800000000001,785.4,740.9200000000002,681.8000000000002,623.44,570.84,532.5600000000002,509.2000000000001,502.99999999999994,511.4399999999998,528.0799999999999,553.5999999999999,584.0799999999999,611.9199999999997,624.8,621.3999999999999,597.5999999999999,557.16,512.9999999999999,471.23999999999995,442.0800000000001,425.48,420.0400000000001,431.0400000000001,459.56000000000006,506.7200000000001,570.4399999999998,644.7999999999998,713.28,770.1199999999999,805.2800000000002,817.76,811.84,766.68,718.6800000000001,674.8
3,956.04,962.0000000000003,968.24,974.5200000000002,979.6000000000001,980.72,986.5999999999999,990.52,995.1200000000003,997.52,998.4,997.6399999999996,995.8,991.8799999999999,986.76,983.4799999999996,979.8399999999998,974.76,969.28,965.5599999999997,958.9200000000001,949.0799999999997,935.7599999999999,919.04,900.1999999999999,883.9599999999998,869.0399999999998,862.6399999999999,863.0399999999997,865.92,864.3600000000001,856.32,843.4399999999999,827.2,812.3600000000001,806.04,807.92,837.4399999999999,870.8399999999999,906.5999999999999,943.8799999999999,983.3600000000001,1001.04,1017.6399999999999,1034.2800000000002,1050.7199999999998,1065.8000000000002,1076.6399999999999,1091.88,1105.28,1115.4,1122.2400000000002,1128.64,1119.4,1098.3200000000002,1061.8000000000002,1016.5600000000002,960.5999999999999,904.2800000000001,847.8,801.0800000000002,758.4399999999999,723.4400000000002,697.2,677.72,659.4,634.8399999999999,590.8000000000001,504.76000000000005,385.91999999999985,270.52,166.88,86.19999999999999,48.199999999999996,46.599999999999994,43.0,40.879999999999995,38.959999999999994,37.95999999999999,36.239999999999995,34.28,32.31999999999999,31.12,29.56,27.439999999999994,26.479999999999997,25.999999999999996,26.400000000000006,25.2,25.2,23.319999999999997,21.68,19.159999999999997,17.04,14.84,13.8,12.0,9.8,13.000000000000002,70.88,218.95999999999998,414.68,619.6800000000001,815.48,979.1999999999999,1080.5600000000002,1132.0,1167.3200000000002,1198.0400000000002,1199.9599999999998,1172.9600000000003,1138.0,1093.5600000000002,1037.9199999999996,976.9200000000001,910.7199999999998,857.4399999999999,837.4399999999998,841.3999999999997,861.5999999999999,892.56,920.6399999999998,931.1599999999999,934.5599999999998,927.24,908.8,878.2,834.9200000000001,784.2,728.8399999999999,677.68,639.52,623.9200000000001,631.4399999999999,655.7600000000001,690.4000000000001,764.76,829.4399999999999,870.5999999999999,894.04,901.96,857.1600000000001,799.4399999999999,746.4,702.0,665.9200000000001,639.2400000000001,627.0799999999999,638.8,664.3599999999999,726.3999999999999,798.4000000000001,871.9999999999999,932.9200000000001,977.72,979.4399999999999,956.8000000000002,913.9600000000002,847.1600000000001,772.8800000000001,702.48,649.64,624.28,646.8000000000002,705.0,771.04,839.6000000000001,899.6800000000001,932.4000000000001,942.5999999999999,947.76
4,1023.7999999999998,1025.6,1024.24,1023.0799999999998,1019.1199999999999,1016.0,1014.6400000000001,1017.2799999999997,1022.1199999999999,1028.6,1032.6000000000001,1033.9200000000003,1029.04,1021.16,1012.04,1003.96,992.76,980.8,969.84,955.1600000000002,937.0399999999997,918.4399999999998,904.3200000000002,888.3999999999999,873.8400000000001,863.0000000000001,855.4400000000002,849.9200000000001,849.24,855.92,864.28,874.4000000000001,883.1199999999999,893.6399999999999,903.64,916.0799999999999,930.2799999999999,946.1200000000001,961.68,973.76,984.6000000000001,993.44,999.0799999999999,1000.4400000000002,1000.8799999999999,1002.52,1006.8799999999999,1014.5999999999999,1021.7199999999998,1031.6,1038.52,1045.1599999999999,1053.2800000000002,1065.08,1072.3599999999997,1074.4400000000003,1067.2799999999997,1047.1999999999998,1018.2,978.8800000000001,936.3600000000001,895.5999999999998,858.1599999999997,823.9599999999998,794.7199999999998,770.6000000000001,695.08,579.04,429.52000000000004,288.12,149.95999999999998,67.68,31.120000000000005,31.799999999999997,31.279999999999998,29.959999999999994,27.44,24.959999999999997,19.96,18.639999999999993,15.720000000000002,13.84,12.68,13.760000000000002,10.920000000000003,10.520000000000001,9.999999999999998,9.559999999999997,9.88,9.799999999999997,10.119999999999997,10.639999999999999,10.959999999999997,9.719999999999999,9.119999999999997,7.640000000000002,7.760000000000002,7.16,7.28,11.799999999999999,83.12,263.16,776.2000000000002,989.5999999999999,1201.68,1387.0399999999997,1462.9999999999998,1200.6399999999999,1229.7599999999998,1247.72,1217.5599999999997,1177.76,1130.28,1071.1999999999998,996.5199999999998,902.96,801.1199999999998,702.5999999999999,620.28,566.64,544.9999999999999,573.4399999999998,611.3999999999999,649.6800000000001,673.6,682.56,601.96,515.52,428.7199999999999,353.0399999999999,292.5999999999999,317.7199999999999,410.9200000000001,520.0400000000001,634.2399999999999,744.8,814.5600000000001,813.1600000000002,780.0799999999998,738.6399999999999,695.2399999999998,662.76,642.3199999999999,658.64,712.1999999999998,780.6400000000001,856.8,937.4799999999999,994.7199999999998,1009.72,998.7200000000003,972.4000000000001,930.56,886.9199999999998,841.0399999999997,817.0799999999999,821.1600000000001,844.9200000000001,883.8400000000001,936.5600000000002,977.7600000000001,997.3199999999998,1000.52,993.4799999999999,980.3199999999999,972.6399999999999,972.7599999999998,984.3600000000001,1001.2400000000002,1022.0400000000002,1039.84
5,972.7599999999998,984.3600000000001,1001.2400000000002,1022.0400000000002,1039.84,1049.96,1055.32,1056.12,1055.96,1053.56,1052.48,1049.3200000000002,1049.4,1050.1600000000003,1051.6,1053.52,1055.24,1056.2,1054.6399999999999,1054.96,1056.76,1058.4399999999998,1059.6399999999999,1060.32,1057.68,1053.0400000000002,1046.44,1033.56,1021.2000000000003,1007.5600000000001,991.0,970.1999999999998,949.7199999999999,925.4399999999998,899.8799999999999,874.7199999999999,858.24,852.8399999999999,856.0399999999998,866.3999999999999,881.9999999999999,895.8399999999997,917.9200000000003,936.5600000000001,959.3600000000001,988.1600000000002,1020.7600000000001,1042.04,1064.9199999999998,1082.24,1092.7200000000003,1097.6400000000003,1100.48,1097.88,1093.1200000000001,1085.4800000000002,1079.0400000000002,1069.4,1065.64,1059.2,1051.08,1019.1999999999999,977.3600000000001,926.7599999999998,876.56,746.6000000000003,589.2799999999999,429.7199999999999,276.88,126.4,59.400000000000006,42.519999999999996,41.36000000000001,39.599999999999994,37.760000000000005,34.72,32.92,32.04,30.48,28.880000000000003,27.080000000000002,25.4,24.040000000000003,23.359999999999996,21.479999999999997,21.36,21.800000000000004,19.76,18.04,18.52,18.600000000000005,18.6,19.600000000000005,19.16,17.640000000000004,19.0,17.800000000000008,16.640000000000004,16.040000000000006,17.400000000000006,63.559999999999995,240.52000000000004,437.91999999999996,644.4399999999999,842.28,1014.7600000000002,1065.96,1089.92,1096.2,1099.2400000000002,1075.1999999999998,1039.48,1006.2400000000002,975.1600000000001,944.9199999999998,920.1599999999999,900.7599999999999,889.12,887.08,897.5600000000002,909.3599999999999,920.8799999999999,931.92,940.1199999999999,946.48,950.9199999999996,952.1999999999998,949.2399999999998,946.3199999999999,941.8000000000001,937.1200000000001,930.72,916.8799999999999,894.8399999999999,861.36,783.5999999999999,709.8800000000001,651.1600000000001,630.6399999999999,646.3599999999999,719.6,800.04,871.9599999999998,907.9200000000002,914.5999999999999,897.7599999999999,857.3999999999999,804.7199999999998,752.48,705.0399999999998,673.9999999999998,678.72,715.4799999999998,772.9200000000001,839.0000000000002,902.3199999999999,947.04,970.9199999999998,981.08,982.9999999999999,980.6799999999998,980.2399999999998,983.8000000000002,986.1600000000001,985.3600000000002,987.2800000000002,986.0,984.84,987.8400000000001,993.4399999999998,996.5200000000002
6,966.64,947.5199999999999,926.9599999999999,904.2799999999997,884.3599999999999,864.8799999999999,847.7199999999998,832.52,823.8799999999999,819.2,822.6400000000003,832.4399999999999,846.9200000000001,863.2799999999999,874.44,880.4,879.56,871.0399999999997,854.72,836.3999999999999,820.9200000000001,808.76,804.48,808.76,821.8000000000001,833.28,845.7199999999999,863.2399999999998,878.2399999999999,892.7600000000001,910.4400000000002,927.0000000000002,943.3599999999999,959.9200000000001,978.2000000000002,995.8799999999999,1014.9999999999999,1027.32,1034.1600000000003,1034.04,1029.8,1024.64,1019.1200000000002,1018.6400000000001,1019.9999999999998,1022.6800000000001,1020.6799999999998,1015.5600000000002,1004.5600000000001,994.1200000000001,982.3599999999999,965.6,939.12,908.8800000000001,876.0400000000002,839.6400000000001,809.1599999999999,785.4399999999999,758.5999999999999,725.0400000000001,668.7200000000001,563.9200000000001,428.6,303.64,188.92000000000002,99.23999999999998,59.91999999999999,55.52000000000001,53.879999999999995,50.160000000000004,46.75999999999999,43.67999999999999,41.480000000000004,37.480000000000004,34.839999999999996,32.32000000000001,30.36,29.04,25.920000000000005,24.32,23.680000000000003,24.000000000000007,24.640000000000004,24.2,24.0,23.24,22.839999999999996,19.76,19.759999999999998,17.599999999999994,17.52,16.48,17.2,18.28,22.2,78.36,294.32000000000005,505.0799999999999,688.6800000000001,893.3999999999997,1074.7600000000002,1097.4799999999998,1117.8399999999997,1125.72,1088.6,1004.0799999999997,903.8,795.52,712.0400000000001,643.08,586.52,536.6,501.31999999999994,478.48,461.64,448.7999999999999,442.15999999999985,437.64,433.88000000000005,428.88,422.03999999999996,412.3599999999999,403.44,406.8399999999998,416.67999999999995,430.32000000000005,445.32000000000005,453.08,432.91999999999996,400.2799999999999,367.08,342.35999999999996,332.40000000000003,351.32000000000005,390.71999999999986,437.12,485.84000000000003,536.24,588.4400000000002,638.96,688.6800000000001,724.2,739.8,735.8,713.3199999999997,673.4000000000001,664.0800000000002,685.5200000000002,731.6800000000001,789.7200000000001,857.2000000000002,893.8799999999999,892.8399999999999,876.6400000000001,863.4000000000001,858.8000000000002,866.28,894.68,920.9599999999999,940.44,953.5600000000002,962.56,965.9999999999998,967.7600000000002,970.24,973.36,974.8,976.76,978.3599999999997,978.9199999999998,979.2799999999997
7,968.6400000000001,973.4800000000001,975.0000000000003,977.0400000000003,979.32,982.32,983.72,987.6799999999997,991.9199999999998,993.0800000000002,993.6800000000001,993.3599999999999,989.1199999999999,984.0799999999997,976.48,969.3999999999999,963.44,953.7200000000001,944.6400000000001,935.9600000000003,924.6000000000004,910.1200000000001,896.7199999999996,876.1200000000002,854.68,834.6400000000002,821.0800000000002,815.0000000000001,822.2800000000001,833.6800000000001,850.3199999999999,865.5600000000002,881.3599999999999,891.96,902.0000000000003,905.8,909.72,917.5600000000001,928.1200000000001,961.96,1002.28,1041.2800000000002,1071.0399999999997,1093.52,1089.9599999999998,1078.88,1060.76,1040.04,1012.04,978.8400000000001,935.0799999999999,888.8800000000001,829.4000000000001,778.56,736.4000000000001,708.52,689.28,688.3199999999999,689.24,684.0,667.1200000000001,619.3199999999999,539.4799999999999,416.80000000000007,298.15999999999997,189.15999999999997,110.43999999999998,62.64,56.80000000000001,55.239999999999995,52.72,49.52,47.56,48.28,43.599999999999994,42.0,41.120000000000005,40.16,34.519999999999996,34.12,31.599999999999994,29.919999999999995,28.28,29.040000000000006,27.639999999999997,27.72,27.800000000000004,29.6,30.48,28.880000000000003,27.880000000000003,28.080000000000002,25.040000000000003,22.959999999999997,21.64,51.63999999999999,123.07999999999996,285.80000000000007,422.6000000000001,604.7199999999999,756.6,875.5600000000001,895.36,942.16,941.6800000000001,939.1600000000003,922.5599999999998,916.4000000000001,904.8400000000001,894.4399999999998,877.7200000000001,856.6799999999998,825.24,788.5599999999998,742.0,694.7200000000001,644.8000000000002,598.6800000000001,561.52,533.8,508.67999999999995,490.52,476.4000000000001,463.0799999999999,453.6,462.0400000000001,473.0,484.0,482.5999999999998,464.88,423.4799999999999,371.24,316.59999999999997,268.79999999999995,234.0,209.92000000000004,196.76000000000005,188.51999999999998,187.8,209.12,253.2,345.63999999999993,452.59999999999997,568.52,670.0800000000002,757.56,810.5600000000001,855.0000000000001,873.0,868.24,845.4399999999999,806.1200000000001,758.1600000000001,723.8,705.52,694.7199999999999,691.5600000000001,716.32,794.52,880.2399999999999,980.4399999999998,1079.08,1147.8400000000001,1158.76,1157.5999999999997,1134.1199999999997,1098.1599999999999,1060.7200000000003,1022.88,980.6000000000001,938.6000000000001
8,1117.1999999999998,1116.6400000000003,1114.16,1113.7999999999997,1111.72,1109.8799999999999,1109.3600000000001,1109.2400000000005,1108.44,1106.4,1108.4800000000002,1106.92,1106.2799999999997,1106.9199999999998,1107.6799999999998,1106.8400000000001,1106.7999999999997,1106.5199999999998,1104.7199999999998,1103.7599999999998,1103.52,1103.7999999999997,1103.92,1105.52,1107.6799999999998,1109.9199999999998,1112.36,1114.8399999999997,1116.2399999999998,1117.3199999999997,1115.7199999999998,1114.7199999999998,1112.7200000000003,1106.04,1098.72,1093.2399999999998,1086.3999999999999,1079.84,1075.8000000000002,1070.76,1062.1599999999999,1036.36,1010.0400000000001,985.76,964.1999999999998,944.5599999999998,946.0799999999998,963.3200000000002,980.3199999999999,999.3199999999999,1020.6800000000001,1041.0,1048.6799999999996,1060.0399999999997,1069.7599999999998,1080.1599999999999,1097.04,1111.3999999999999,1121.5200000000002,1125.4800000000002,1106.8000000000002,1074.3199999999997,1034.6800000000003,987.8400000000001,941.08,841.6799999999998,712.2,546.8400000000001,388.92000000000013,232.64,150.52000000000004,101.92,97.76,92.11999999999998,90.52,87.44,87.24000000000001,84.79999999999998,83.76000000000002,82.48,80.76000000000002,78.68,77.32000000000001,76.91999999999999,73.80000000000001,71.4,70.44000000000001,69.84,68.32000000000001,69.47999999999999,69.56,67.88,67.88,66.60000000000001,67.52,120.24,306.6,584.52,806.1999999999999,977.4000000000001,1162.92,1221.0000000000002,1180.88,1189.24,1236.92,1207.88,1119.8000000000002,1017.5200000000001,912.0800000000002,808.6400000000001,706.2,657.1200000000001,626.96,610.12,602.04,604.2,604.88,605.9599999999999,608.6799999999998,608.1599999999999,610.7199999999999,617.72,630.2799999999999,646.3999999999999,669.48,698.4000000000001,730.76,765.48,800.8799999999999,836.9600000000002,864.24,847.5999999999999,822.2800000000001,797.7199999999999,785.7599999999999,798.6000000000001,853.52,917.2,967.0400000000001,984.96,961.48,919.1600000000001,857.1600000000001,795.3200000000002,744.28,709.4399999999998,691.6799999999998,685.92,689.28,719.9999999999999,763.0800000000002,815.1200000000001,876.44,946.7200000000001,1000.3199999999998,1047.36,1064.6,1063.12,1043.48,1008.08,959.64,917.4799999999998,881.88,849.28,822.8800000000001,813.5200000000001,831.0400000000001,863.48,909.7199999999999,925.1199999999998,942.1999999999998
9,1106.08,1101.68,1097.52,1097.2399999999998,1103.6399999999999,1114.4,1124.4399999999996,1134.44,1140.6799999999998,1145.1599999999999,1147.8799999999999,1151.4,1151.3600000000001,1151.4400000000003,1149.56,1147.08,1141.6399999999999,1136.12,1131.1599999999999,1125.24,1118.68,1114.0400000000002,1106.92,1096.48,1086.3999999999999,1076.2399999999998,1062.7199999999998,1053.3999999999999,1043.08,1030.2800000000002,1017.2,999.5600000000001,980.6000000000003,966.4799999999998,955.9200000000001,960.1600000000001,976.0800000000002,995.8800000000001,1018.1999999999998,1041.7200000000003,1056.0400000000002,1071.48,1086.8,1102.1599999999999,1120.8,1139.4,1157.3200000000002,1174.5600000000002,1192.44,1212.1200000000001,1231.76,1245.1600000000003,1252.8799999999999,1256.96,1255.3999999999999,1251.2800000000002,1247.1599999999999,1237.3600000000001,1217.0,1187.3600000000001,1127.84,1059.92,994.56,933.5999999999998,879.1999999999999,848.5999999999997,820.2799999999997,784.0,723.1199999999999,608.8,474.15999999999997,345.08,231.40000000000003,147.83999999999997,119.79999999999997,114.40000000000002,111.52000000000001,108.27999999999999,105.08,100.88,100.80000000000001,99.75999999999999,97.39999999999999,95.24000000000002,94.80000000000001,92.47999999999999,89.55999999999999,86.75999999999999,85.68,83.44,80.28,80.24,78.56,75.36,73.43999999999998,73.19999999999999,70.60000000000002,71.03999999999999,81.32,135.2,297.68,500.20000000000016,676.4399999999998,857.4400000000002,1021.7200000000003,1087.44,1110.44,1154.96,1180.6799999999998,1164.92,1134.1599999999996,1096.9599999999998,1048.8799999999997,974.5600000000002,889.6800000000001,787.8799999999999,648.2799999999997,514.9200000000001,409.4000000000001,329.68000000000006,274.24,263.6,261.24,262.32,263.2800000000001,265.08,267.96000000000004,269.6,269.52000000000004,265.59999999999997,256.4,245.40000000000003,213.96,172.4,135.84000000000003,99.16000000000001,65.36000000000001,54.80000000000001,54.040000000000006,51.84,52.68000000000001,53.52,53.839999999999996,53.52000000000001,53.040000000000006,52.040000000000006,52.879999999999995,51.08,51.44,51.72000000000001,51.24000000000001,49.52,48.92,48.64,46.64,46.56,45.8,44.04,40.84,40.52,38.32,37.400000000000006,39.120000000000005,39.76,40.68000000000001,41.56,42.199999999999996,39.56,39.68,38.36000000000001,37.75999999999999
10,1100.72,1100.1200000000001,1100.08,1099.8400000000001,1100.1599999999999,1099.88,1099.56,1098.8000000000002,1097.8400000000001,1095.2,1094.4,1092.6399999999999,1085.8,1075.0800000000002,1063.2000000000003,1046.72,1028.24,1010.1999999999998,990.8799999999999,970.8799999999999,953.04,937.1200000000001,926.44,921.44,917.8800000000002,917.6400000000002,916.9200000000003,917.8400000000001,916.4000000000001,916.8400000000001,917.7599999999999,921.88,926.3599999999998,933.2399999999998,944.0399999999998,956.8399999999999,975.6000000000004,997.8800000000006,1023.64,1051.12,1079.0800000000002,1106.6399999999999,1131.6,1155.2799999999997,1172.44,1183.92,1188.8000000000002,1192.3600000000001,1190.7200000000003,1185.7200000000003,1177.72,1163.6000000000001,1142.3200000000002,1116.28,1087.48,1060.7600000000002,1019.8399999999999,980.24,942.1199999999999,903.8800000000001,860.3600000000001,833.3999999999999,802.52,764.2399999999998,710.0000000000002,571.2,435.0,306.76,189.68,95.0,91.64,88.88,88.56,87.19999999999997,85.2,83.67999999999999,81.95999999999997,79.31999999999996,77.35999999999999,76.39999999999999,74.71999999999998,75.08,74.0,72.32000000000001,70.84,71.44,70.24000000000001,68.44,68.95999999999998,69.03999999999999,67.71999999999998,66.96000000000001,66.68,66.36,65.72000000000001,63.96000000000002,63.56000000000001,64.75999999999999,66.12,72.31999999999998,149.64000000000004,337.80000000000007,537.7200000000001,736.1200000000001,949.3600000000002,1120.88,1172.88,1210.96,1242.1599999999999,1244.68,1212.3599999999997,1179.8000000000002,1138.92,1058.5200000000002,970.3199999999999,864.6399999999998,748.8799999999999,630.48,549.9200000000001,481.11999999999995,429.84000000000003,390.43999999999994,356.40000000000003,330.63999999999993,308.08,291.6,279.47999999999996,274.40000000000003,268.96000000000015,264.4000000000001,261.15999999999997,261.87999999999994,261.0399999999999,263.35999999999984,267.4799999999999,269.55999999999995,268.9599999999999,270.91999999999996,269.4,268.47999999999996,266.6,266.99999999999994,264.2399999999999,262.88,259.43999999999994,257.91999999999996,251.31999999999994,241.83999999999992,229.8,217.28000000000003,202.8,186.32,165.47999999999993,134.95999999999998,100.19999999999999,67.95999999999998,38.760000000000005,20.28,16.12,18.680000000000003,17.48,21.159999999999997,22.119999999999997,21.44,19.240000000000002,20.68,20.519999999999996,20.48,20.4,20.480000000000004,21.6
