Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,240.44,240.91999999999996,240.31999999999994,240.68,241.39999999999998,242.31999999999994,243.04,244.23999999999998,245.27999999999992,245.35999999999999,245.60000000000002,245.32000000000005,245.28000000000006,244.88000000000002,245.08,245.35999999999996,246.1599999999999,246.59999999999997,247.43999999999994,248.11999999999995,248.55999999999995,249.32,250.08000000000004,250.52,251.44,252.32000000000002,252.52,253.52000000000004,254.04000000000002,253.92000000000002,254.12,254.35999999999996,253.68,253.15999999999997,253.15999999999997,252.64,251.95999999999998,251.83999999999995,251.88,251.44000000000003,251.32,251.32,251.11999999999998,250.64,250.44000000000003,250.16000000000003,249.64000000000004,249.56,249.79999999999995,249.60000000000002,249.60000000000002,249.96000000000006,249.64000000000001,249.48000000000002,249.39999999999998,249.19999999999996,249.08,249.27999999999992,245.8,241.76000000000002,236.68000000000006,230.64,224.28000000000003,220.47999999999996,217.20000000000002,214.48000000000002,214.67999999999998,217.95999999999998,224.83999999999992,234.56,247.59999999999994,261.67999999999995,276.03999999999996,289.67999999999995,296.20000000000005,291.72,276.6799999999999,252.64000000000004,192.4000000000001,136.71999999999997,88.72000000000006,47.72,12.68,11.719999999999999,10.32,9.64,8.920000000000002,7.96,7.040000000000001,8.599999999999998,17.999999999999993,50.11999999999999,104.31999999999998,157.04,209.12,251.75999999999993,271.2399999999999,267.20000000000005,261.43999999999994,251.04000000000005,237.95999999999998,222.28,207.04000000000002,199.51999999999995,195.64,195.39999999999995,198.3599999999999,202.23999999999998,203.67999999999995,207.31999999999994,212.04,217.03999999999996,222.39999999999998,225.47999999999996,225.95999999999998,225.76000000000002,222.52000000000004,218.83999999999997,215.39999999999998,211.04000000000005,206.27999999999997,204.44,202.91999999999996,200.79999999999998,199.55999999999995,198.31999999999996,197.48,196.19999999999993,195.44,193.75999999999996,193.12,192.36,193.32000000000002,197.88000000000002,205.32000000000002,211.95999999999995,218.32,223.55999999999997,225.16,224.68,224.24000000000004,224.07999999999998,224.36,224.56,225.0,226.0,226.56,225.51999999999998,223.64,220.11999999999998,215.6,210.64000000000001,206.88,204.56,204.08000000000004,204.60000000000002,205.64000000000001,206.20000000000005,206.80000000000007,207.28000000000003,207.00000000000006,207.20000000000007,207.44000000000003,207.44,207.92,208.44,208.84000000000003,210.08000000000004,211.00000000000006,211.4000000000001,213.68000000000004
2,206.20000000000005,206.80000000000007,207.28000000000003,207.00000000000006,207.20000000000007,207.44000000000003,207.44,207.92,208.44,208.84000000000003,210.08000000000004,211.00000000000006,211.4000000000001,213.68000000000004,215.72000000000006,217.84000000000003,220.20000000000005,222.28,223.64000000000004,225.28,226.04000000000002,226.88,228.52,229.44,230.40000000000003,231.2,232.24,232.39999999999995,232.60000000000005,232.68,232.75999999999996,232.44,232.31999999999994,232.51999999999992,232.79999999999998,232.60000000000002,232.76,233.44,234.08000000000004,235.36,237.92000000000002,240.51999999999992,243.20000000000005,245.40000000000003,246.39999999999998,247.27999999999992,247.31999999999994,247.11999999999995,246.35999999999993,245.91999999999996,244.59999999999997,244.84000000000003,245.0,245.32,245.43999999999994,246.83999999999997,246.71999999999997,246.87999999999994,244.52,241.68,236.95999999999998,231.83999999999997,227.68000000000006,228.15999999999997,231.12,236.32000000000005,243.36000000000004,249.84000000000006,256.96000000000004,264.40000000000003,271.91999999999996,276.88,276.64,266.64,247.12,221.64000000000004,192.88000000000005,158.92000000000002,122.28,87.47999999999999,57.56,32.120000000000005,16.08,9.879999999999999,9.879999999999999,12.439999999999996,18.11999999999999,55.52000000000001,103.68,150.68,192.35999999999999,228.12000000000006,231.84000000000003,211.87999999999994,189.83999999999997,170.31999999999994,157.44,148.52000000000004,154.40000000000006,163.76,173.2,178.76000000000005,180.8,181.88,186.92000000000002,192.0,198.27999999999997,204.72000000000003,211.03999999999996,212.08,213.76000000000005,215.40000000000003,217.56,219.60000000000002,222.36,224.28000000000003,225.92000000000002,226.48000000000002,226.92000000000007,227.2800000000001,227.80000000000007,227.4800000000001,228.00000000000006,227.96000000000006,228.40000000000003,228.68000000000006,229.2,229.48000000000005,230.23999999999998,230.68,231.08000000000004,231.51999999999998,232.00000000000006,232.32,232.28000000000003,232.8,233.12000000000006,233.00000000000006,233.20000000000005,233.32000000000005,233.04,233.60000000000002,234.0,234.23999999999998,234.75999999999993,234.96,234.56,234.88000000000005,234.92000000000002,234.92000000000002,235.11999999999998,235.6,235.44000000000003,235.39999999999998,235.0,234.88,234.39999999999998,234.23999999999998,234.36000000000004,234.36,234.0,234.32000000000002,234.44,234.23999999999998,234.56000000000003,235.24,235.0399999999999,234.64,233.83999999999997,233.08,232.12
3,229.68000000000006,228.7600000000001,227.56000000000003,226.28,219.04000000000002,208.52,195.60000000000002,178.92000000000002,160.55999999999995,147.24,136.88,128.88,125.08000000000001,125.04000000000002,133.2,145.27999999999997,159.96000000000004,177.48000000000002,196.19999999999993,207.88,212.67999999999998,212.76,206.35999999999996,193.51999999999992,178.87999999999997,165.36,154.0,149.04000000000002,152.32000000000002,160.39999999999998,172.95999999999998,187.31999999999996,198.9999999999999,199.79999999999998,195.76000000000005,189.52,181.12,173.36,174.84000000000003,180.79999999999995,187.64000000000001,196.16000000000003,203.8,208.60000000000002,210.83999999999997,212.04000000000002,212.44,213.19999999999993,213.87999999999994,214.67999999999995,216.23999999999992,217.52000000000007,218.72000000000008,220.28,221.63999999999993,222.76000000000005,223.84000000000003,223.48,222.67999999999995,221.27999999999994,220.03999999999996,218.55999999999997,217.79999999999993,215.16,211.83999999999997,206.43999999999994,200.32,193.76,189.24,186.92,187.80000000000004,193.64000000000001,213.91999999999996,237.6799999999999,261.5200000000001,281.68000000000006,291.55999999999995,276.2,248.64000000000001,188.27999999999997,129.6,77.08000000000001,36.519999999999996,4.399999999999999,3.6799999999999997,26.760000000000012,73.92000000000002,121.99999999999997,168.72000000000003,215.15999999999994,235.04000000000002,215.51999999999998,193.96000000000004,174.68000000000004,157.08000000000004,153.52,167.52000000000004,183.08,197.36000000000004,211.64000000000001,215.03999999999996,216.64,218.08,219.75999999999993,220.2,220.32,220.28,220.2,220.59999999999997,220.96000000000004,221.48000000000002,221.88,221.75999999999993,221.64,221.71999999999997,221.75999999999996,221.88,221.88000000000005,222.20000000000002,222.24000000000004,222.80000000000004,222.99999999999997,223.59999999999997,223.56,223.48000000000002,223.39999999999992,223.75999999999996,224.39999999999998,224.76,225.55999999999995,226.35999999999999,226.88,226.72000000000003,227.59999999999997,227.79999999999995,228.32,228.40000000000003,229.20000000000002,228.88000000000002,229.24000000000007,229.08000000000007,229.16000000000003,229.2,229.75999999999996,229.88,229.71999999999997,230.51999999999998,230.47999999999996,230.35999999999993,230.43999999999997,230.5199999999999,230.1599999999999,230.2399999999999,230.75999999999996,230.79999999999995,231.35999999999993,231.32,230.87999999999997,230.20000000000002,229.84000000000006,228.76000000000002,228.12000000000003,227.23999999999998,224.6,220.19999999999993,213.35999999999993,201.87999999999997,187.03999999999996,172.19999999999993,158.96000000000004,148.07999999999998
4,230.1599999999999,230.2399999999999,230.75999999999996,230.79999999999995,231.35999999999993,231.32,230.87999999999997,230.20000000000002,229.84000000000006,228.76000000000002,228.12000000000003,227.23999999999998,224.6,220.19999999999993,213.35999999999993,201.87999999999997,187.03999999999996,172.19999999999993,158.96000000000004,148.07999999999998,141.71999999999997,142.32,150.27999999999997,168.27999999999997,187.95999999999998,207.44,223.56000000000006,232.76,230.68,226.12000000000003,219.44,210.47999999999996,199.4799999999999,188.56,184.88,186.84,194.04000000000002,205.76,219.92000000000002,228.48,233.75999999999996,236.71999999999994,238.39999999999998,238.75999999999993,238.91999999999996,238.83999999999992,238.43999999999994,238.28,238.52,238.83999999999997,238.91999999999993,239.24000000000004,239.03999999999994,238.71999999999994,238.23999999999992,238.23999999999998,238.36,239.04000000000002,239.11999999999998,238.88000000000005,238.8,230.79999999999998,220.64000000000004,210.32000000000005,200.83999999999997,192.2,192.92000000000002,199.52000000000004,210.07999999999998,222.48000000000002,237.47999999999996,253.20000000000005,254.99999999999991,244.72000000000003,226.08000000000007,198.20000000000005,159.68000000000006,119.91999999999999,86.0,57.80000000000001,34.44,18.72,13.959999999999997,11.879999999999997,10.079999999999997,9.279999999999998,26.2,73.23999999999998,128.60000000000002,181.99999999999994,235.03999999999996,268.68,268.76000000000005,253.64000000000001,231.16000000000003,199.47999999999993,164.68,131.40000000000003,107.80000000000003,96.59999999999998,100.08000000000001,111.2,126.44,141.12000000000006,154.76000000000002,164.60000000000002,172.87999999999994,179.20000000000005,185.2,189.24,191.95999999999998,195.35999999999999,199.44,203.55999999999997,208.35999999999993,214.55999999999992,219.03999999999996,223.04000000000002,225.76,227.23999999999998,227.39999999999998,227.99999999999994,228.35999999999996,229.03999999999996,230.39999999999998,230.76000000000005,231.55999999999995,232.48000000000002,232.83999999999997,233.04000000000002,233.56000000000003,233.36,233.2,232.95999999999998,232.76,233.07999999999996,233.48000000000002,233.35999999999996,233.60000000000002,233.55999999999997,233.52000000000004,233.68,233.56,233.76,233.96000000000004,233.76,233.48000000000002,233.52000000000004,232.96000000000004,232.51999999999998,232.39999999999998,232.47999999999996,232.64000000000001,233.04000000000002,233.28,233.24,232.52000000000004,232.48000000000002,231.92000000000002,231.64000000000001,231.83999999999997,232.16,232.51999999999998,233.12,233.48,233.95999999999998,234.39999999999998,234.23999999999995,234.44,234.47999999999996,233.92000000000002
5,234.23999999999995,234.44,234.47999999999996,233.92000000000002,233.52000000000004,233.48000000000008,232.91999999999996,232.5999999999999,232.59999999999997,232.4799999999999,232.52000000000004,233.04000000000002,233.52000000000007,233.88,234.52000000000004,232.16000000000003,228.23999999999995,222.88,215.20000000000002,204.95999999999992,195.84,186.99999999999994,178.68000000000004,173.24000000000004,178.84000000000006,187.24000000000004,197.83999999999997,210.04,221.47999999999996,224.12,221.07999999999996,215.19999999999996,207.00000000000003,197.15999999999994,188.68,185.76,185.68000000000004,188.95999999999998,195.4,205.03999999999996,213.28,220.28000000000003,226.11999999999995,231.03999999999996,232.03999999999996,233.16000000000003,234.35999999999996,234.88,235.32,235.16000000000003,235.03999999999994,234.79999999999995,234.83999999999997,234.35999999999996,233.83999999999995,232.67999999999998,230.91999999999996,227.0,222.84,219.12,215.71999999999997,212.87999999999997,212.44000000000005,211.59999999999997,210.51999999999992,208.99999999999997,206.95999999999992,203.64,200.84000000000003,197.64000000000001,195.24000000000007,214.15999999999997,224.59999999999997,225.51999999999995,219.64,184.16000000000003,127.07999999999996,79.07999999999998,40.68,9.439999999999996,7.479999999999995,6.559999999999996,5.519999999999999,4.439999999999998,3.5199999999999996,3.079999999999999,1.9999999999999996,1.799999999999999,2.0400000000000014,3.8800000000000003,20.919999999999995,64.79999999999998,109.39999999999998,155.07999999999996,203.56000000000006,237.8,243.36,241.83999999999995,232.39999999999998,209.56,179.36000000000004,148.71999999999997,125.0,109.60000000000001,105.32000000000002,109.16000000000003,116.60000000000001,129.92000000000002,144.95999999999998,160.12000000000003,175.04000000000008,189.95999999999998,198.75999999999996,204.95999999999998,209.60000000000002,213.36000000000007,216.92000000000002,220.2,223.35999999999996,226.31999999999988,228.51999999999992,230.04,230.71999999999994,231.11999999999995,231.59999999999997,231.8,232.20000000000005,233.35999999999996,234.48,235.32000000000002,237.16000000000003,239.12,241.03999999999996,242.64,243.68000000000006,244.68000000000006,245.2800000000001,245.4000000000001,245.84000000000003,247.16000000000003,247.56,248.44,249.84,250.28,250.6,250.39999999999992,250.24,249.71999999999997,250.52000000000015,250.32000000000005,250.8,251.16000000000003,251.40000000000003,251.36,251.63999999999993,251.67999999999995,252.48000000000005,252.72000000000006,252.76000000000005,252.80000000000004,252.80000000000007,252.24000000000007,252.08,251.12000000000012,250.2800000000001,249.76000000000002,248.64000000000004,247.51999999999998,247.11999999999995,247.00000000000006,246.72000000000003
6,249.15999999999994,249.2,249.44,249.11999999999998,249.44,249.28000000000003,249.56,249.60000000000002,250.24,250.48000000000002,250.59999999999997,250.40000000000003,250.95999999999998,250.99999999999994,251.27999999999994,252.0,252.56,252.80000000000007,253.0000000000001,253.36000000000013,253.51999999999998,254.00000000000003,254.16000000000003,255.20000000000005,255.84000000000003,256.08000000000004,256.24000000000007,256.32000000000005,255.36,254.92000000000007,254.8400000000001,254.60000000000002,254.6400000000001,254.96000000000012,255.6400000000001,255.88000000000008,256.5600000000001,256.9200000000001,257.7200000000001,257.68000000000006,258.0799999999999,257.63999999999993,257.52,256.68000000000006,256.04,254.76000000000005,253.68000000000006,252.60000000000002,252.63999999999993,253.39999999999995,254.84,255.84,256.36,256.08000000000004,254.76000000000002,252.35999999999999,250.39999999999998,248.4,245.43999999999997,243.28000000000003,241.68,239.72,237.55999999999995,235.68000000000004,232.64000000000004,229.56,229.32000000000002,232.52000000000004,240.72,253.28,269.28,283.88,293.0,289.31999999999994,273.55999999999995,248.36000000000004,216.64000000000004,181.08000000000004,141.51999999999998,101.08000000000001,67.24,38.64000000000003,16.639999999999997,6.32,5.680000000000001,5.4,5.44,6.640000000000001,11.840000000000002,68.56,119.59999999999997,167.2,208.52000000000007,241.68,218.75999999999993,197.92,178.92000000000004,167.11999999999998,164.36000000000004,170.51999999999998,182.16000000000003,196.99999999999994,210.55999999999995,218.92000000000002,222.72000000000003,224.12000000000006,224.4000000000001,224.44000000000005,226.4,229.04000000000002,231.92000000000002,234.48000000000008,236.56000000000003,238.2800000000001,238.84000000000003,239.32000000000002,239.4000000000001,239.68,240.04000000000002,240.80000000000007,241.3600000000001,242.24000000000004,243.04000000000008,243.12000000000012,242.88000000000005,242.7600000000001,242.08000000000004,241.12000000000003,240.0800000000001,239.00000000000006,238.56000000000003,237.99999999999997,238.15999999999997,237.9600000000001,238.24,237.72000000000003,238.40000000000003,238.48000000000008,238.88000000000008,239.52,240.6400000000001,241.2400000000001,242.0400000000001,243.12000000000006,243.84000000000003,244.16000000000003,244.8,245.39999999999995,245.87999999999994,246.48000000000005,246.92000000000002,247.44000000000003,247.36,247.64000000000004,247.7600000000001,248.28000000000003,248.48000000000002,249.32000000000008,250.04000000000008,250.60000000000008,251.0,251.60000000000002,251.56,251.35999999999999,251.95999999999998,251.84000000000003,251.56000000000006,251.68000000000004,251.64,250.9600000000001,251.0
7,251.56,251.35999999999999,251.95999999999998,251.84000000000003,251.56000000000006,251.68000000000004,251.64,250.9600000000001,251.0,250.8800000000001,250.28000000000006,250.04000000000008,249.76,249.52000000000004,249.0,249.04000000000002,249.27999999999994,248.88000000000005,248.84,249.24000000000007,249.15999999999997,248.56000000000003,248.24000000000004,247.12000000000006,245.84000000000003,245.12,243.84000000000003,243.04000000000002,242.28000000000003,242.20000000000005,242.04000000000008,242.68000000000006,243.08000000000004,243.92000000000004,244.04000000000002,244.64000000000004,244.88000000000002,245.15999999999997,244.76,245.00000000000003,245.2800000000001,244.96000000000004,245.28000000000006,245.88000000000005,245.92000000000007,245.08000000000007,245.52000000000015,245.04000000000008,244.84000000000006,244.96000000000004,245.44000000000005,245.52000000000004,246.0800000000001,246.20000000000005,246.24,246.36000000000007,246.2000000000001,246.68000000000006,247.28000000000003,247.76000000000005,248.00000000000006,248.36000000000004,247.4,246.27999999999997,243.36,239.36,234.16000000000003,227.64,221.00000000000003,215.16000000000003,225.95999999999992,241.60000000000002,261.44000000000005,282.9200000000001,266.03999999999996,220.48000000000008,164.64,102.63999999999999,39.12000000000002,14.519999999999996,2.7199999999999993,-3.160000000000002,-5.28,-7.280000000000001,-8.800000000000002,-9.92,-10.080000000000002,-9.200000000000001,-8.88,0.6399999999999988,44.08,87.36000000000001,133.20000000000002,184.44,228.64,237.20000000000002,240.6,234.92000000000007,218.72,193.6,167.76,147.88,135.8,133.12000000000003,142.8,158.4,174.99999999999994,189.16000000000003,199.72000000000003,204.24,205.04000000000005,204.87999999999997,205.55999999999995,206.12,207.56,209.67999999999995,214.87999999999994,219.31999999999996,223.27999999999997,225.48000000000002,225.83999999999992,220.67999999999998,213.44,205.16000000000008,197.32000000000005,189.04000000000002,181.56000000000003,175.92000000000002,173.27999999999997,174.96000000000004,185.68,205.87999999999997,232.68,262.20000000000005,288.28,303.04,299.12,278.8,248.27999999999992,211.32000000000008,169.68,124.68000000000004,84.39999999999998,49.400000000000006,20.400000000000002,-0.5200000000000022,-8.000000000000004,-10.600000000000001,-12.200000000000001,-13.720000000000006,-15.000000000000004,-15.760000000000003,-16.440000000000005,-16.96,3.5600000000000005,50.16,93.19999999999999,141.96000000000004,194.99999999999997,230.48000000000002,236.51999999999998,239.12,230.76,212.35999999999996,183.0,155.27999999999997,135.59999999999997,129.12,133.44,148.35999999999999,167.24000000000007
8,215.24,214.71999999999997,213.88000000000005,212.64,213.24,212.52000000000004,212.64000000000004,213.27999999999997,214.2,214.67999999999995,215.71999999999997,215.83999999999995,215.76,215.84,215.96,215.8,215.88000000000005,216.24000000000007,215.88000000000005,215.64000000000004,215.12000000000006,214.60000000000002,213.80000000000004,213.44000000000005,212.76,212.84000000000003,212.68,212.35999999999999,213.12000000000003,213.64,213.95999999999998,214.35999999999999,215.32000000000002,216.2,216.87999999999994,217.76000000000005,218.51999999999998,219.28000000000003,219.12,219.72,219.64,219.79999999999998,220.32,220.76,220.99999999999997,221.75999999999996,222.24,221.8,221.63999999999993,221.32000000000002,220.72,219.67999999999998,218.44000000000005,216.12000000000003,211.84000000000006,204.84000000000003,197.00000000000009,187.0,175.71999999999997,164.92000000000007,157.76000000000002,154.92000000000002,160.0,174.31999999999996,195.79999999999998,221.27999999999997,248.2,272.1599999999999,288.96000000000004,295.43999999999994,271.80000000000007,237.43999999999997,189.92000000000007,130.35999999999999,71.83999999999997,37.279999999999994,9.040000000000003,-8.52,-13.600000000000003,-15.360000000000003,-16.0,-16.240000000000002,-16.520000000000003,-17.200000000000003,-17.4,-17.32,-17.519999999999996,-16.799999999999997,-15.639999999999995,-9.239999999999998,35.56000000000001,81.44000000000003,132.88,190.24,237.92000000000004,240.48000000000008,233.68,213.48000000000002,181.56,153.08,133.83999999999997,126.0,127.08,137.0,157.28,174.44,189.00000000000006,201.76000000000002,211.32,211.16,211.8799999999999,211.59999999999997,211.47999999999996,211.52000000000004,211.40000000000003,211.44,216.24,221.12,225.36,230.19999999999996,234.44,234.84000000000006,234.96000000000004,234.99999999999997,234.87999999999994,234.75999999999993,234.12,234.12000000000006,234.68000000000004,234.76000000000002,235.36000000000004,235.3600000000001,244.04000000000002,246.72000000000003,240.03999999999996,227.08000000000004,210.51999999999998,176.40000000000006,134.96000000000004,96.96000000000004,62.24000000000001,31.03999999999999,7.400000000000004,-3.28,-8.04,-9.72,-11.12,-11.520000000000001,-11.64,-11.52,-12.320000000000004,-11.56,-17.92,-20.159999999999997,-4.039999999999997,32.879999999999995,73.56,120.84,165.6,192.92000000000007,197.48000000000002,191.04000000000002,175.79999999999995,153.27999999999997,127.03999999999999,101.44000000000003,81.55999999999999,72.32000000000002,73.96000000000001,82.51999999999998,98.59999999999997
9,161.4,154.20000000000005,154.8400000000001,154.20000000000005,153.67999999999998,154.12,156.91999999999996,150.67999999999992,146.59999999999994,143.59999999999994,141.83999999999997,140.95999999999998,141.16,141.55999999999995,142.95999999999995,145.27999999999997,150.35999999999996,156.88000000000002,164.24000000000007,171.76,178.64,183.03999999999996,185.88000000000002,187.00000000000003,182.83999999999997,180.71999999999997,179.35999999999993,179.67999999999995,181.08000000000004,187.48000000000002,192.03999999999996,195.11999999999995,196.95999999999998,196.88,195.52000000000004,192.67999999999998,189.32,185.07999999999993,181.60000000000005,178.07999999999996,175.47999999999996,175.79999999999998,176.15999999999997,176.71999999999994,178.03999999999996,180.0,180.36,180.60000000000002,181.44,181.96,182.6,182.44000000000003,182.92000000000002,183.55999999999997,184.51999999999998,184.76,185.48000000000002,186.2,185.76000000000002,185.76000000000002,185.39999999999992,182.88000000000005,179.64000000000001,176.0800000000001,171.03999999999996,167.11999999999995,164.95999999999995,164.92,168.2800000000001,176.95999999999998,190.72000000000006,209.68,232.12,253.00000000000003,207.76000000000013,156.03999999999996,98.88,36.71999999999999,-26.599999999999998,-27.92,-28.88000000000001,-29.720000000000013,-30.200000000000003,-30.560000000000006,-30.440000000000012,-32.28,-31.239999999999995,-17.759999999999998,26.680000000000003,76.28,127.72,151.11999999999995,155.88,128.88,119.52000000000001,112.47999999999999,131.76000000000005,156.11999999999998,177.95999999999995,176.64,173.8799999999999,170.6799999999999,171.67999999999995,175.99999999999997,180.35999999999996,183.39999999999998,186.20000000000002,185.27999999999997,184.72,183.92,183.83999999999992,184.11999999999995,184.83999999999997,185.24,185.8,186.52,186.71999999999997,186.91999999999996,187.23999999999992,187.59999999999997,187.75999999999996,187.39999999999998,186.63999999999993,186.24,185.8,185.88000000000005,186.00000000000006,187.04000000000008,187.72000000000003,187.80000000000004,187.80000000000007,188.20000000000005,188.03999999999996,188.23999999999995,189.03999999999996,189.16,188.99999999999997,189.15999999999994,189.0399999999999,188.7199999999999,188.64000000000007,189.52,189.87999999999997,189.95999999999998,190.27999999999997,190.32000000000002,189.99999999999997,189.40000000000003,188.88000000000002,188.16000000000003,187.83999999999997,186.56000000000006,184.92000000000002,180.15999999999997,174.4,168.88000000000005,164.48000000000002,167.76,174.04000000000005,182.04000000000002,189.60000000000002,196.92000000000002,197.16000000000003,197.64000000000007,197.76000000000005,198.51999999999998,198.71999999999997,199.51999999999995,200.44,200.91999999999996,200.99999999999997
10,201.16000000000003,200.84000000000012,200.68000000000006,200.68000000000006,200.4,200.60000000000002,201.08,200.96000000000004,200.76000000000005,201.08000000000007,200.64000000000004,199.91999999999996,199.19999999999996,199.52,198.72000000000003,198.68000000000006,199.00000000000006,199.84000000000003,199.0,199.12000000000003,198.96000000000004,198.52000000000004,197.56000000000003,196.92000000000004,196.72,196.24000000000007,196.00000000000003,195.84000000000006,196.24000000000007,196.07999999999998,195.68000000000004,195.55999999999997,196.16000000000003,195.8,196.64000000000001,197.2,197.20000000000005,196.92,197.39999999999998,196.28000000000006,196.32000000000005,196.24,196.00000000000006,195.64000000000004,194.76000000000008,193.64,192.72,191.51999999999998,190.64000000000004,191.28000000000006,191.76,192.59999999999997,193.72000000000003,195.0,195.95999999999992,196.36000000000004,195.79999999999998,195.6,191.6,188.12,185.64000000000004,187.04,188.32,190.08000000000004,190.64000000000007,189.56,184.80000000000007,179.36,174.92000000000002,170.76000000000005,166.80000000000007,162.64000000000004,159.76000000000005,159.56,160.95999999999995,164.96000000000004,172.64,167.16000000000003,156.9600000000001,139.16000000000003,108.56000000000002,67.56,35.32000000000001,6.560000000000004,-16.400000000000002,-28.559999999999995,-33.60000000000001,-34.56,-35.44,-30.60000000000001,-13.600000000000001,11.040000000000001,66.2,124.67999999999998,177.16000000000008,213.0399999999999,240.03999999999996,236.5599999999999,220.56000000000006,203.03999999999996,189.16000000000008,177.36000000000004,168.52,173.0,183.07999999999998,195.99999999999997,208.71999999999997,217.32,221.15999999999997,220.92000000000002,218.03999999999996,214.39999999999998,211.24000000000007,209.59999999999997,209.12,209.52,211.0,213.19999999999993,215.20000000000005,216.92000000000007,218.56000000000003,218.92000000000004,218.5200000000001,217.96000000000004,217.08000000000004,216.88,217.16000000000003,217.51999999999998,217.44000000000003,217.44,217.04000000000002,216.84000000000003,216.8,216.92000000000002,216.88000000000005,216.8800000000001,217.12,217.32000000000005,217.72,218.24,218.39999999999992,217.96000000000004,217.60000000000002,217.2,216.56,215.95999999999998,214.99999999999994,213.88000000000005,212.95999999999998,212.12,211.35999999999996,210.84000000000003,210.2,208.43999999999994,207.3599999999999,205.47999999999996,204.72,203.92000000000002,203.59999999999997,203.07999999999993,204.07999999999993,203.67999999999995,204.27999999999997,205.40000000000003,206.32,206.99999999999994,208.43999999999994,209.12,209.44,209.87999999999994,209.83999999999995
