Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1096.48,1099.0399999999997,1096.0399999999997,1097.1599999999999,1100.7999999999997,1105.04,1108.28,1113.8799999999999,1119.1599999999994,1119.32,1120.2,1119.04,1118.7600000000002,1116.76,1117.16,1117.9199999999998,1121.3199999999995,1123.3999999999999,1127.2799999999997,1130.6399999999999,1132.9199999999996,1136.64,1139.7600000000002,1141.8400000000001,1146.08,1150.44,1151.24,1156.2400000000002,1158.4800000000002,1158.04,1159.04,1160.1199999999997,1157.16,1154.7199999999998,1154.7199999999998,1152.08,1149.12,1148.2799999999997,1148.36,1146.48,1145.84,1145.84,1144.84,1142.88,1141.88,1140.5200000000002,1137.8800000000003,1137.92,1138.7999999999997,1137.8,1138.0000000000002,1139.9200000000003,1138.2800000000002,1137.56,1137.1999999999998,1136.3999999999996,1135.76,1136.9599999999996,1121.2,1103.1200000000001,1079.9600000000003,1052.2799999999997,1023.1600000000001,1006.1599999999999,991.2,978.7600000000002,979.9599999999999,994.92,1026.0799999999997,1070.12,1129.1999999999998,1192.7599999999998,1256.6799999999998,1317.56,1346.0000000000002,1324.44,1254.3599999999994,1144.2800000000002,869.8000000000005,616.4399999999998,398.4400000000002,212.84000000000003,54.36000000000001,50.43999999999999,44.239999999999995,41.08,37.84,33.519999999999996,29.280000000000005,35.199999999999996,72.99999999999997,215.64,462.2399999999999,703.88,944.6399999999999,1146.5199999999995,1241.6799999999996,1226.8000000000002,1201.8799999999994,1155.6800000000003,1096.92,1025.96,956.28,922.8399999999998,904.8799999999998,903.9999999999998,917.3199999999996,935.2799999999999,941.1599999999996,958.0399999999996,979.68,1002.8799999999997,1027.6,1041.9599999999998,1044.12,1042.72,1027.2400000000002,1009.6799999999998,994.1999999999998,973.8800000000002,951.56,942.88,935.6399999999998,925.0,918.7199999999997,913.0399999999998,908.9599999999999,902.9999999999998,899.2800000000001,891.3199999999998,888.2400000000002,884.3200000000002,888.0400000000001,908.96,944.0400000000001,974.9199999999998,1005.04,1030.32,1038.12,1035.76,1033.88,1033.36,1034.92,1035.9199999999998,1038.2,1043.0,1045.72,1040.44,1031.88,1015.0399999999998,993.5999999999999,970.2800000000001,953.3599999999999,942.72,940.5600000000002,943.2000000000002,948.28,950.2000000000003,953.0000000000005,955.5600000000002,954.6000000000001,955.4000000000003,956.8799999999999,957.08,959.84,961.8799999999999,963.8800000000001,969.9600000000003,974.0000000000002,975.6000000000005,986.3600000000001
2,950.2000000000003,953.0000000000005,955.5600000000002,954.6000000000001,955.4000000000003,956.8799999999999,957.08,959.84,961.8799999999999,963.8800000000001,969.9600000000003,974.0000000000002,975.6000000000005,986.3600000000001,995.6400000000002,1005.2800000000001,1016.0000000000005,1025.3600000000001,1031.4800000000002,1039.16,1042.2800000000002,1046.16,1053.6399999999999,1057.8799999999999,1062.2,1066.2,1071.48,1072.3999999999996,1073.4000000000003,1073.96,1074.5199999999998,1072.8799999999999,1072.4399999999998,1073.6399999999999,1074.9999999999998,1074.2,1075.32,1078.48,1081.7600000000002,1087.92,1099.44,1111.0399999999995,1123.4,1133.4,1137.7999999999997,1142.1599999999996,1142.8399999999997,1141.8399999999997,1138.1199999999997,1136.0399999999997,1129.8,1130.48,1131.6,1133.04,1133.4799999999996,1139.88,1139.44,1140.1599999999996,1128.8400000000001,1115.36,1093.1200000000001,1068.08,1046.5600000000004,1047.9199999999998,1061.2400000000002,1084.6400000000003,1117.5200000000004,1148.0800000000004,1180.3200000000002,1213.6000000000004,1246.8399999999997,1268.36,1265.8799999999999,1219.08,1127.8400000000001,1009.6800000000002,876.3600000000001,720.2400000000001,552.56,394.15999999999997,258.12,142.84000000000003,70.15999999999998,41.559999999999995,41.16,51.07999999999997,71.23999999999995,235.84000000000006,453.96000000000004,668.5600000000001,861.1199999999999,1030.64,1054.68,966.1599999999997,866.6799999999997,778.6399999999998,720.48,680.8400000000001,708.8000000000003,752.7199999999998,796.1999999999999,822.5200000000001,831.4000000000001,836.5600000000001,859.44,882.5999999999999,911.1599999999997,940.6400000000001,969.4799999999998,974.1600000000001,981.7200000000003,988.8000000000002,998.52,1007.8,1020.52,1029.5600000000002,1037.24,1039.9600000000003,1041.8400000000004,1043.3600000000004,1045.4000000000003,1043.7600000000004,1045.6000000000004,1045.9200000000003,1048.2,1049.5600000000002,1052.0,1053.7600000000002,1056.8799999999999,1058.76,1060.96,1063.04,1065.4,1066.84,1066.7600000000002,1069.0000000000002,1070.8400000000004,1070.2000000000003,1071.2000000000003,1071.64,1070.28,1072.4,1074.0,1075.48,1078.1199999999994,1079.12,1077.52,1079.5600000000002,1079.24,1079.04,1080.04,1082.6,1081.6800000000003,1081.8,1080.0,1079.1599999999999,1076.6,1076.2799999999997,1076.7200000000003,1076.72,1075.0,1076.44,1076.28,1075.28,1077.1200000000003,1080.6800000000003,1079.8799999999994,1078.28,1074.48,1070.16,1065.64
3,1054.3600000000001,1050.7200000000005,1044.7200000000003,1038.1599999999999,1004.4800000000001,955.24,894.8000000000002,818.44,734.1199999999998,672.8800000000001,625.5600000000001,589.1599999999999,571.5600000000001,571.2800000000001,608.2,663.5599999999998,731.3200000000003,811.7600000000001,897.9999999999995,952.76,974.9599999999998,974.72,944.9199999999998,885.2399999999996,816.9599999999998,754.3199999999998,702.0,678.6800000000001,694.2400000000001,732.9999999999998,792.52,861.2399999999999,917.7999999999994,924.2,907.1200000000003,879.4400000000003,841.04,805.52,811.6800000000001,838.3999999999997,869.6800000000001,907.9200000000001,942.8000000000001,965.0000000000001,975.4799999999998,980.8800000000001,983.28,986.9999999999997,990.3599999999997,994.1599999999999,1001.4799999999996,1007.2400000000005,1012.8400000000004,1019.5600000000001,1025.6799999999998,1030.7200000000003,1035.68,1033.96,1030.5599999999997,1024.7599999999998,1019.0799999999997,1012.5199999999999,1009.1999999999994,996.92,981.2799999999997,956.4799999999998,928.24,898.3199999999999,877.4800000000001,867.0399999999998,870.8000000000002,896.8800000000001,987.8399999999996,1095.3599999999994,1202.2400000000002,1292.5600000000004,1335.3199999999997,1262.4,1133.2800000000002,855.56,585.5999999999999,345.1600000000001,160.64000000000001,14.599999999999994,11.559999999999995,117.52000000000007,336.64000000000016,563.9999999999999,785.6400000000001,1005.5199999999998,1102.48,1012.64,909.3200000000002,816.5600000000002,732.3600000000001,718.84,788.8400000000001,866.1600000000001,937.1200000000001,1007.4800000000001,1023.2799999999999,1030.8799999999999,1037.56,1045.7199999999998,1048.3999999999999,1048.84,1048.76,1048.2,1049.9999999999998,1050.9200000000003,1053.5600000000002,1055.3600000000001,1054.7199999999998,1054.0800000000002,1054.04,1053.7199999999998,1053.76,1053.3600000000004,1054.6000000000001,1055.2800000000002,1057.8000000000002,1058.7999999999997,1061.6,1060.9199999999998,1060.1600000000003,1059.9999999999998,1061.5199999999998,1064.3999999999999,1066.32,1070.1199999999997,1073.7199999999998,1076.36,1075.8400000000001,1080.1999999999998,1081.6,1084.44,1084.8000000000002,1088.6,1087.16,1088.6800000000005,1087.9600000000005,1088.3200000000002,1088.6,1091.3199999999997,1091.76,1090.6399999999999,1094.04,1093.9599999999998,1093.5199999999998,1093.8799999999999,1094.6399999999994,1093.5199999999998,1093.4799999999996,1095.5199999999998,1095.8,1097.9199999999996,1097.64,1095.5599999999997,1091.8,1089.8800000000003,1084.92,1083.4400000000003,1081.2799999999997,1071.4,1053.5999999999997,1024.9199999999996,972.9599999999998,905.28,837.5999999999997,776.7200000000003,726.16
4,1093.5199999999998,1093.4799999999996,1095.5199999999998,1095.8,1097.9199999999996,1097.64,1095.5599999999997,1091.8,1089.8800000000003,1084.92,1083.4400000000003,1081.2799999999997,1071.4,1053.5999999999997,1024.9199999999996,972.9599999999998,905.28,837.5999999999997,776.7200000000003,726.16,696.0399999999998,697.6399999999998,732.76,813.16,901.3199999999999,988.68,1060.5200000000002,1100.32,1088.1600000000003,1063.8400000000001,1028.8799999999999,983.5599999999997,928.9599999999996,874.92,855.1599999999999,862.48,895.0800000000002,949.5199999999998,1015.8400000000001,1056.76,1082.9199999999996,1097.8399999999997,1106.6,1109.5199999999995,1110.4399999999998,1110.2799999999995,1108.4799999999998,1107.3600000000001,1107.8400000000001,1109.2799999999997,1109.0399999999995,1110.2800000000002,1109.2799999999997,1107.8399999999997,1105.4799999999996,1105.6799999999998,1106.1200000000001,1109.28,1109.8399999999997,1108.7600000000002,1108.4,1072.0,1025.4800000000002,977.6400000000002,933.8799999999999,894.0,896.6400000000001,926.6400000000002,975.3599999999997,1032.7600000000002,1101.96,1172.4000000000003,1177.1999999999994,1126.2400000000002,1036.9600000000003,905.2000000000004,727.1600000000004,545.24,389.3999999999999,260.80000000000007,154.27999999999997,82.44,60.31999999999998,51.759999999999984,43.15999999999998,39.55999999999999,111.79999999999998,322.87999999999994,571.6,812.5999999999998,1052.0799999999997,1208.3600000000001,1211.1200000000001,1145.28,1045.3200000000002,903.1599999999997,746.1600000000001,594.8000000000001,487.40000000000015,435.6,450.7600000000001,500.8,570.0799999999999,636.6400000000002,698.92,744.2,782.1599999999999,811.8000000000002,839.2,857.4800000000001,869.7199999999998,885.7199999999999,904.0799999999998,922.9199999999998,944.9199999999998,972.7199999999996,992.6799999999997,1010.6800000000001,1023.12,1030.0799999999997,1030.9999999999998,1034.1999999999996,1035.7199999999996,1038.8799999999997,1045.1999999999998,1046.7200000000003,1050.1199999999997,1054.56,1056.08,1056.88,1059.3200000000002,1058.52,1057.6,1056.52,1055.52,1057.5599999999997,1059.16,1058.7199999999998,1059.8,1059.7199999999998,1059.44,1060.3600000000001,1059.7199999999998,1060.7199999999998,1061.3200000000002,1060.3200000000002,1059.1599999999999,1059.64,1057.3200000000002,1055.84,1055.6,1055.9599999999998,1056.48,1058.0800000000002,1059.16,1058.48,1054.8400000000001,1054.96,1052.44,1051.08,1052.08,1053.52,1055.04,1057.8400000000001,1059.36,1061.7199999999998,1063.8,1063.0799999999997,1064.28,1064.36,1061.44
5,1063.0799999999997,1064.28,1064.36,1061.44,1059.64,1059.5600000000002,1056.4399999999996,1054.9999999999995,1055.1999999999998,1054.7599999999995,1054.8400000000001,1057.28,1059.4400000000003,1060.96,1063.64,1052.52,1034.4799999999998,1009.9599999999998,974.8,928.1199999999994,886.4799999999999,845.9999999999998,807.76,782.8800000000002,808.4800000000004,846.8800000000001,894.8799999999999,950.8799999999999,1003.3599999999997,1015.4399999999999,1001.5599999999998,975.1999999999998,937.8000000000002,892.9199999999997,854.1599999999999,841.1199999999999,840.5600000000002,855.3199999999999,884.4000000000001,928.0799999999997,965.1600000000001,997.7600000000001,1024.4399999999996,1047.08,1051.88,1057.12,1061.9199999999998,1064.56,1066.4399999999998,1065.3200000000002,1065.0799999999997,1063.9999999999998,1064.08,1062.12,1060.2799999999997,1054.7599999999998,1047.0399999999997,1029.2,1010.2800000000001,993.4400000000002,978.6399999999999,965.9599999999998,964.2800000000003,960.5999999999999,956.0399999999997,948.5999999999999,939.5199999999998,924.08,911.6800000000003,897.08,886.2800000000003,969.9199999999998,1016.0,1018.0399999999998,988.8800000000001,826.3200000000002,567.7599999999998,349.56,175.56,34.87999999999998,26.159999999999975,21.91999999999998,18.039999999999992,13.079999999999991,8.64,6.959999999999999,2.0000000000000018,0.5999999999999945,2.6800000000000104,9.360000000000003,85.83999999999997,282.79999999999995,485.3999999999999,689.3599999999998,910.5200000000002,1066.4,1094.92,1089.2799999999997,1051.0,949.32,812.9200000000002,673.2399999999998,564.2,491.6,470.4400000000001,486.32000000000016,519.0,580.0400000000001,649.92,720.6400000000001,791.2800000000004,861.52,902.9199999999997,932.12,953.4000000000001,970.3200000000004,986.8400000000001,1001.4,1015.7199999999998,1029.2399999999996,1039.2399999999996,1045.88,1049.4399999999998,1051.2399999999998,1053.3999999999999,1054.2,1056.0000000000002,1061.12,1066.36,1070.2400000000002,1078.92,1087.6399999999999,1096.2799999999997,1103.28,1108.3600000000001,1112.7600000000002,1115.9600000000005,1116.6000000000004,1118.68,1124.5200000000002,1126.52,1130.68,1137.28,1139.56,1141.6,1140.9999999999995,1140.88,1138.6399999999999,1142.4400000000007,1141.2400000000002,1143.1999999999998,1144.32,1145.4,1145.3200000000002,1146.4799999999998,1146.9599999999998,1150.7600000000002,1151.8400000000001,1151.92,1152.2000000000003,1152.2000000000003,1149.6800000000003,1149.5600000000002,1145.0400000000004,1140.7600000000004,1138.1200000000001,1132.88,1127.24,1125.8399999999997,1125.8000000000002,1124.8400000000001
6,1135.9199999999996,1136.5999999999997,1137.88,1136.44,1137.8799999999999,1137.56,1138.92,1139.2,1142.08,1143.36,1143.9999999999998,1142.8,1145.3200000000002,1145.7999999999997,1147.1599999999999,1150.4,1153.3200000000002,1154.6000000000004,1155.2000000000007,1156.9200000000005,1157.44,1159.8000000000002,1160.5200000000002,1165.6000000000001,1168.88,1170.1600000000003,1170.6800000000003,1171.0400000000002,1166.72,1164.6400000000003,1164.0800000000002,1162.8,1162.8800000000003,1164.3200000000006,1167.0800000000006,1168.3600000000006,1172.1200000000006,1173.8400000000006,1177.6400000000003,1177.3600000000001,1179.3599999999997,1177.0799999999997,1176.6400000000003,1172.76,1170.2800000000002,1164.5200000000002,1159.3600000000001,1154.4,1154.6799999999998,1158.1999999999998,1164.68,1169.4800000000002,1172.1200000000001,1170.7600000000002,1164.7200000000003,1153.92,1145.1999999999998,1136.0,1122.28,1112.3600000000001,1105.1600000000003,1096.04,1086.5199999999998,1078.3600000000001,1064.68,1051.12,1050.24,1064.8400000000001,1102.2399999999998,1159.3600000000001,1231.3599999999997,1297.36,1337.9999999999998,1320.6399999999996,1248.5199999999998,1132.5200000000002,986.6800000000002,823.76,642.6400000000001,456.36000000000007,301.4799999999999,170.28000000000011,69.07999999999998,20.840000000000003,17.560000000000002,16.0,15.880000000000003,20.08000000000001,41.080000000000005,296.52,527.1999999999999,743.0,931.8400000000004,1085.5600000000002,983.7199999999997,890.04,803.4400000000002,749.0399999999998,735.3200000000003,762.64,815.7200000000001,883.7999999999997,946.5199999999998,984.8399999999999,1002.64,1008.8400000000001,1010.0000000000006,1009.8800000000003,1019.1999999999999,1031.48,1044.6400000000003,1056.5600000000004,1065.72,1073.3600000000006,1075.68,1077.8400000000001,1078.4000000000005,1079.96,1081.88,1086.0000000000002,1088.7200000000005,1092.88,1096.6800000000003,1097.0400000000004,1095.5600000000002,1094.9200000000005,1091.5600000000002,1086.64,1081.7600000000004,1076.8000000000002,1075.1200000000003,1072.7999999999997,1074.32,1073.1200000000003,1074.2800000000002,1071.64,1074.6000000000001,1074.7600000000002,1076.7600000000002,1080.04,1085.2800000000004,1087.6800000000007,1091.2800000000004,1096.2400000000002,1099.2800000000002,1100.72,1104.2,1106.9999999999998,1109.3599999999997,1112.3600000000004,1114.24,1116.28,1115.92,1117.0800000000002,1117.5200000000004,1120.16,1121.16,1125.0400000000004,1128.4800000000002,1130.8000000000004,1132.4,1135.4,1135.32,1134.52,1137.12,1136.48,1134.9200000000003,1135.1600000000003,1134.68,1131.9200000000003,1132.4
7,1135.32,1134.52,1137.12,1136.48,1134.9200000000003,1135.1600000000003,1134.68,1131.9200000000003,1132.4,1131.9600000000005,1129.1600000000003,1128.2800000000002,1126.7199999999998,1125.44,1123.0,1123.28,1124.5599999999997,1122.7600000000002,1122.48,1124.2800000000002,1124.12,1121.3200000000002,1119.6800000000003,1115.0400000000004,1109.28,1106.2399999999998,1099.88,1096.88,1093.3600000000001,1093.0000000000002,1092.0800000000004,1095.3600000000004,1096.9600000000003,1100.64,1101.2800000000002,1103.88,1105.16,1106.52,1104.72,1105.6000000000001,1107.1600000000003,1105.5200000000002,1106.9600000000003,1109.7600000000002,1110.0400000000004,1105.7600000000002,1108.2400000000007,1106.0800000000004,1105.0800000000002,1105.92,1108.2800000000002,1108.2400000000002,1110.9600000000005,1111.6000000000004,1111.88,1112.5200000000004,1111.8000000000004,1113.9600000000003,1116.96,1119.1200000000001,1120.0000000000002,1121.7200000000003,1117.4,1111.9599999999998,1098.52,1080.32,1056.5200000000002,1026.6799999999998,996.6000000000001,969.9200000000001,1018.5199999999998,1089.4,1178.4800000000005,1275.2400000000002,1199.2799999999995,994.9600000000005,741.08,458.08,168.04000000000008,53.63999999999997,-4.160000000000004,-31.92000000000001,-41.16000000000001,-50.160000000000004,-57.20000000000002,-61.84,-62.76000000000002,-58.80000000000001,-60.160000000000004,-17.92000000000001,176.96,371.12000000000006,578.2,813.48,1015.4799999999999,1057.4,1076.6,1054.0400000000004,982.64,869.8,753.1199999999999,662.5600000000001,606.6,594.0400000000002,638.0,709.6,785.9999999999995,851.52,900.2400000000002,921.68,925.2800000000001,924.3599999999999,927.5199999999998,929.8399999999999,936.3199999999999,945.7599999999998,970.3599999999997,991.4399999999998,1010.56,1021.3599999999999,1024.0799999999997,1000.7599999999999,968.0799999999999,930.7200000000004,895.2400000000002,857.0800000000002,823.1200000000001,796.6400000000002,783.76,790.7200000000001,839.1600000000001,930.1599999999999,1051.3600000000001,1184.6000000000001,1302.1599999999999,1368.48,1350.04,1257.0000000000002,1117.7599999999998,949.0400000000004,759.96,555.9600000000003,370.79999999999984,210.6,78.00000000000003,-18.440000000000012,-54.60000000000002,-65.4,-72.0,-78.64000000000004,-84.4,-87.52000000000002,-90.68000000000002,-93.32,0.11999999999999922,206.91999999999996,402.2,622.7200000000001,862.9999999999998,1024.5600000000002,1058.44,1071.84,1036.52,955.7199999999998,823.5999999999999,697.3599999999999,607.3999999999999,578.04,597.08,664.72,750.8800000000002
8,973.6800000000001,971.4399999999998,967.7600000000002,962.2799999999999,965.0800000000002,961.4400000000002,962.0800000000002,964.96,969.0000000000001,970.9599999999999,975.6399999999999,975.8799999999998,975.5200000000001,976.08,976.9200000000001,976.4,976.9600000000003,978.6800000000003,976.9600000000002,976.0800000000002,973.44,971.0000000000001,967.4000000000001,965.6800000000003,962.5199999999999,962.88,961.96,960.32,963.8400000000001,966.2800000000001,967.9200000000001,969.92,974.44,978.6,981.7599999999998,985.9200000000003,989.44,993.3600000000002,992.44,995.24,994.68,995.5999999999999,997.44,999.92,1000.5999999999998,1004.3199999999998,1006.08,1004.1999999999999,1003.2799999999997,1001.8400000000001,999.04,994.9599999999999,989.4800000000004,979.0400000000002,960.2800000000003,928.4800000000002,892.8000000000004,847.4000000000001,796.2399999999999,746.8400000000003,714.32,701.0400000000001,723.5999999999998,788.4399999999998,885.9999999999999,1001.5599999999997,1123.2,1231.7199999999998,1306.9199999999998,1335.2799999999997,1226.0000000000005,1068.8799999999999,852.8400000000003,581.92,313.67999999999984,156.35999999999999,27.08000000000001,-54.63999999999999,-78.80000000000003,-85.92000000000002,-89.40000000000002,-90.28,-91.44000000000001,-94.6,-95.19999999999999,-94.63999999999999,-95.63999999999999,-92.79999999999998,-88.47999999999998,-60.47999999999998,140.72000000000003,346.4800000000001,578.16,840.28,1058.44,1073.5600000000002,1046.76,958.7600000000001,814.1199999999999,684.36,596.2799999999999,559.8,563.96,608.6,701.56,780.48,847.6000000000003,906.5200000000001,950.6400000000001,949.72,953.5599999999997,952.1999999999998,951.5599999999998,952.0400000000002,951.8000000000002,952.0799999999999,974.2800000000001,996.8400000000001,1016.5200000000002,1038.6,1057.48,1059.4800000000002,1060.1200000000003,1059.9999999999998,1059.3599999999997,1058.9199999999996,1055.64,1055.4400000000003,1058.56,1059.1200000000001,1061.9200000000003,1062.3200000000006,1102.2800000000002,1115.2400000000002,1086.28,1028.3600000000001,953.84,799.2000000000003,612.12,436.52000000000015,275.4800000000001,130.47999999999996,20.000000000000014,-33.160000000000004,-55.48,-62.84000000000002,-69.03999999999999,-70.84,-71.28,-70.24,-74.24000000000001,-70.72,-97.64,-106.92,-31.479999999999997,137.75999999999993,324.32000000000005,539.28,744.8000000000001,870.2400000000002,893.16,864.6800000000001,795.0,689.36,565.28,443.6800000000002,348.7199999999999,303.04,309.32,346.63999999999993,419.9999999999999
9,715.6000000000001,681.8000000000001,684.2800000000004,680.8000000000002,678.3599999999999,680.6399999999999,694.0399999999997,665.5599999999997,647.1999999999997,633.7999999999996,626.0799999999997,622.1199999999999,623.52,625.7199999999998,632.1199999999999,642.9599999999999,666.5199999999998,696.3600000000001,729.0800000000002,763.52,794.6800000000001,814.2799999999999,827.1600000000001,832.6000000000001,811.28,799.4399999999998,792.1199999999997,791.9599999999996,797.96,828.36,850.2799999999997,864.6399999999999,873.7199999999999,872.7600000000001,865.8400000000001,852.7599999999999,837.4399999999998,817.9599999999996,802.4000000000002,786.5599999999998,774.3599999999997,776.4,778.5199999999996,781.8399999999997,788.4799999999997,797.9999999999998,799.3199999999998,800.4000000000001,803.6799999999998,805.9199999999998,809.1999999999999,808.4800000000001,810.6400000000001,813.7199999999999,818.4399999999999,819.52,822.9600000000003,826.2,824.1200000000001,824.3200000000002,822.5999999999997,811.5600000000003,797.48,781.5600000000004,758.28,740.2399999999999,729.9199999999998,728.64,743.3600000000004,781.72,843.4400000000003,928.76,1030.64,1125.4000000000003,919.7200000000007,684.4799999999997,424.55999999999995,141.83999999999997,-146.39999999999998,-151.64000000000004,-155.56000000000006,-159.2400000000001,-161.60000000000002,-163.12000000000003,-163.88000000000008,-172.56,-171.27999999999997,-113.12,83.56000000000003,303.9599999999999,532.4399999999999,641.4399999999998,664.3599999999999,545.3600000000001,507.0400000000001,478.55999999999983,565.5200000000002,676.4399999999998,775.9199999999998,770.0799999999997,758.1599999999996,743.9599999999995,748.5599999999997,767.9999999999999,787.7199999999998,801.3999999999997,814.4,810.56,808.04,804.8399999999999,804.6799999999996,805.8399999999998,809.4799999999998,811.28,813.6000000000001,816.8399999999999,818.0399999999997,818.8399999999997,820.4799999999996,822.3999999999999,823.5199999999998,821.1999999999998,817.6799999999998,815.8800000000001,813.5999999999999,813.5600000000002,814.4000000000003,819.0800000000004,822.8400000000001,823.6000000000003,823.8000000000003,825.4000000000001,825.0799999999999,825.8799999999999,829.4799999999998,830.12,829.5999999999998,829.9199999999996,829.0799999999995,827.6399999999996,827.2800000000003,831.44,833.5599999999998,833.92,835.3599999999998,835.6400000000001,833.9999999999998,831.0000000000001,829.1600000000001,826.1200000000002,824.28,818.3200000000002,810.44,788.12,761.8,736.9600000000003,717.36,732.5199999999999,760.8800000000001,796.8800000000001,831.2,864.44,865.3200000000003,867.8800000000003,868.1200000000002,871.64,872.04,875.8399999999997,879.68,882.2399999999999,882.3999999999999
10,884.1200000000001,883.0800000000006,882.3600000000004,882.1600000000002,880.1999999999999,880.8000000000001,882.56,882.1200000000002,880.9200000000003,882.5600000000003,881.0800000000002,877.8399999999997,874.3999999999999,876.44,873.4399999999999,872.7600000000003,874.2000000000003,878.6800000000002,874.4000000000001,874.44,873.9200000000001,871.8400000000001,866.5200000000001,863.6400000000001,862.6399999999999,860.6800000000003,860.2,859.6800000000002,861.6800000000003,861.3599999999999,859.1600000000001,858.3199999999999,861.12,859.1999999999999,863.0800000000002,865.6,865.4000000000001,864.0399999999998,866.5999999999997,861.1600000000003,861.6400000000004,861.4800000000001,860.4000000000003,858.6800000000002,854.7200000000005,849.28,844.8399999999999,839.24,834.8800000000003,837.9600000000003,840.52,844.4000000000001,850.0400000000002,855.9999999999999,860.3199999999996,861.7200000000001,859.3999999999999,858.6,841.0,825.2400000000001,814.48,820.6800000000001,826.24,833.9600000000004,837.2800000000003,832.52,811.4000000000005,787.12,767.2400000000001,747.9200000000002,730.2000000000004,711.0800000000003,697.5200000000004,696.32,702.1199999999998,717.72,751.2799999999999,724.7200000000003,677.3200000000004,596.1200000000001,459.32000000000005,274.72,129.44000000000003,-0.27999999999997893,-104.20000000000002,-159.71999999999997,-183.00000000000006,-186.92000000000002,-192.28,-174.00000000000006,-101.0,7.879999999999996,254.00000000000003,518.76,757.9200000000003,922.6799999999996,1046.4799999999998,1033.9199999999994,963.3200000000002,886.68,825.7200000000003,773.3200000000002,734.04,754.1999999999999,800.16,859.5999999999999,918.0400000000001,957.4399999999999,975.5199999999999,974.4400000000002,960.6799999999998,944.0000000000001,929.4800000000004,921.7999999999998,919.8400000000001,921.8400000000004,928.4000000000002,938.5999999999999,947.4000000000002,954.8400000000004,962.3200000000002,964.0400000000002,962.4400000000005,960.3200000000004,956.1600000000002,954.96,956.1200000000001,957.4399999999998,956.8800000000001,956.8799999999999,955.28,954.4800000000001,954.0,954.6400000000002,954.5600000000003,954.3600000000005,955.6400000000001,956.8400000000001,958.64,961.28,962.5999999999997,960.72,959.4000000000002,957.8000000000001,954.5199999999999,951.52,946.9999999999998,941.9600000000003,937.9199999999998,934.6399999999999,931.7199999999998,929.0800000000002,926.0,918.0799999999996,913.1199999999995,904.3599999999997,901.4399999999999,898.04,896.5999999999999,894.1599999999997,898.7599999999995,896.7599999999998,899.56,904.4000000000002,908.8399999999999,911.7999999999997,918.6799999999996,921.64,923.0799999999999,924.9599999999998,924.8799999999998
