Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,1064.8,1072.6399999999999,1078.12,1079.96,1076.36,1069.32,1062.8400000000001,1058.52,1056.2800000000002,1057.12,1058.92,1058.48,1053.9199999999998,1046.12,1031.44,1015.5999999999999,997.9999999999999,978.56,957.3600000000001,939.9999999999997,920.52,900.4800000000001,885.3199999999999,873.2399999999999,864.2800000000001,855.92,849.0799999999997,837.0400000000002,826.04,815.24,809.0400000000001,805.8000000000001,806.0000000000001,807.4800000000001,808.5600000000001,809.9599999999998,810.9200000000001,813.8800000000001,816.8400000000001,821.9999999999999,824.8,827.6000000000001,828.36,829.4,832.1199999999999,834.9199999999998,840.4399999999999,844.3599999999999,851.2,856.4,866.1599999999999,872.2800000000002,883.9999999999999,888.8800000000001,888.3200000000002,877.6399999999998,861.3999999999999,837.1999999999999,811.9999999999999,788.3599999999999,771.48,766.4800000000001,771.3999999999999,785.96,808.7199999999998,840.7200000000001,863.0799999999997,867.24,851.36,760.4800000000001,611.44,446.72,293.88,151.64,78.83999999999999,55.68000000000001,49.52,44.8,43.24,40.92,37.31999999999999,37.760000000000005,36.120000000000005,36.92,36.96000000000001,34.480000000000004,31.079999999999995,29.560000000000002,25.759999999999998,21.84,19.759999999999998,18.959999999999994,18.88,17.84,16.480000000000004,17.0,15.720000000000002,13.08,12.76,58.44,205.08,423.15999999999997,654.3599999999999,894.0799999999999,1125.1200000000001,1250.64,1298.16,1324.3600000000001,1337.2399999999998,1307.3600000000001,1263.76,1204.6399999999999,1128.2000000000003,1031.88,930.28,836.8399999999999,760.44,703.8,669.8799999999999,648.0800000000002,633.8800000000001,625.6800000000001,627.1199999999999,631.64,642.0799999999999,659.5600000000001,687.24,728.4800000000002,791.4399999999999,881.0400000000001,981.8399999999999,1077.0399999999997,1155.3999999999996,1205.24,1214.56,1196.1599999999999,1162.48,1125.96,1102.8,1093.8400000000001,1099.1599999999999,1120.5199999999998,1146.6399999999999,1166.24,1177.44,1184.6399999999999,1186.3999999999999,1182.7999999999997,1179.5200000000002,1175.2799999999997,1169.8400000000001,1163.2799999999997,1161.68,1157.6400000000003,1157.1600000000003,1157.6800000000003,1160.92,1162.1599999999999,1164.32,1165.28,1166.4399999999998,1166.0,1161.2800000000002,1099.16,1026.1599999999996,940.48,843.92,749.52,707.04,678.0799999999999,681.3600000000001
2,1024.0800000000002,1019.3600000000001,1008.8799999999998,989.6799999999997,958.0,919.4799999999998,875.0,828.1999999999998,788.24,764.9999999999998,756.08,758.3199999999999,776.6000000000003,803.2800000000001,835.6400000000001,871.4399999999999,903.8,928.7999999999998,949.56,960.5999999999999,961.5999999999999,964.24,965.9999999999998,965.84,964.8,958.8799999999999,946.7199999999999,933.2,922.9599999999998,913.1999999999998,908.3600000000001,901.56,893.5199999999999,879.8799999999999,868.7600000000002,857.6799999999997,851.3199999999999,847.36,847.3199999999999,850.5200000000001,857.8399999999999,869.5599999999997,888.9600000000002,921.7600000000001,954.08,986.0399999999998,1014.0800000000002,1033.76,1039.3600000000001,1042.2799999999997,1040.2400000000002,1039.28,1039.08,1043.1199999999997,1052.04,1068.44,1089.3199999999997,1109.0,1112.1999999999998,1094.0399999999997,1056.3200000000004,1004.6399999999999,937.6800000000001,859.4799999999999,760.0000000000001,607.8399999999999,447.67999999999995,301.24,178.68000000000004,94.19999999999999,73.36,67.16,65.08,63.03999999999999,59.92,59.32,59.52,57.440000000000005,55.92,52.280000000000015,50.2,49.64,51.08000000000001,49.12000000000001,52.36000000000001,51.80000000000001,51.52000000000001,48.160000000000004,48.52000000000001,45.12,44.76,68.32,168.40000000000003,352.84000000000003,561.8399999999999,783.8,988.8400000000001,1116.76,1156.0,1164.04,1144.8400000000001,1101.7600000000002,936.6800000000001,754.8000000000001,569.7599999999999,392.91999999999996,230.51999999999992,192.8,179.64,180.92,192.48000000000002,210.52,232.39999999999995,249.60000000000002,261.88000000000005,270.2,275.52000000000004,293.4799999999999,341.88,402.52,484.84000000000003,587.2799999999997,682.3599999999999,750.56,807.0799999999999,841.84,853.5199999999998,858.0000000000001,858.64,861.9600000000002,865.0400000000001,870.9200000000001,878.2400000000001,889.56,898.04,906.2400000000002,913.1200000000001,916.4399999999998,914.12,912.28,905.28,893.8400000000001,876.3199999999999,852.5999999999998,818.48,779.1599999999999,732.3199999999999,677.56,623.0399999999998,574.4799999999998,532.5199999999999,500.24,480.3199999999999,470.8399999999998,464.67999999999995,469.3599999999999,501.9200000000001,551.04,614.24,693.9200000000001,768.3600000000001,820.0,853.2799999999997,858.0799999999998,829.0399999999998,781.4399999999998,716.76,649.76,590.6000000000001,550.5999999999999,524.52
3,869.3599999999998,825.92,790.8799999999999,778.24,785.2,807.5600000000001,851.8800000000001,887.7600000000002,900.92,894.4799999999998,873.6399999999999,845.3599999999999,811.6399999999999,780.3199999999999,753.08,729.2399999999998,707.3999999999999,687.44,661.6,630.8400000000001,594.8799999999999,563.7999999999998,558.04,572.8399999999999,604.08,652.5999999999999,708.7599999999999,752.7200000000001,791.9200000000001,826.0800000000002,850.9200000000001,864.76,870.9200000000001,870.3999999999999,862.7199999999998,852.9200000000001,841.5199999999999,829.0000000000002,815.0799999999999,802.8,795.9999999999999,794.9200000000001,801.8,813.7600000000001,832.6400000000001,852.1199999999999,872.68,888.84,897.2000000000002,902.7200000000001,905.6,904.7199999999997,898.6000000000003,898.2,893.52,888.2400000000002,881.6400000000002,878.0800000000003,871.4399999999999,868.3599999999999,861.96,857.92,852.8000000000002,836.3600000000001,807.8399999999999,770.28,721.5200000000001,662.6800000000001,607.64,550.4800000000002,459.40000000000003,350.56000000000006,251.68,160.71999999999997,82.55999999999997,47.79999999999998,42.519999999999996,37.15999999999999,33.48,28.679999999999996,28.519999999999996,26.239999999999995,26.2,22.479999999999997,21.08,17.759999999999998,17.159999999999997,15.559999999999997,15.599999999999998,13.079999999999995,11.719999999999999,9.999999999999996,7.959999999999999,7.119999999999997,8.6,6.6,49.56,166.72,362.7199999999999,563.6799999999998,774.5199999999999,954.5200000000002,1077.6799999999998,1122.08,1160.6799999999998,1191.64,1200.2799999999997,1187.8399999999997,1167.0800000000002,1137.0,1095.0800000000002,1045.84,934.1599999999997,820.5199999999999,710.6799999999998,606.6399999999999,514.44,490.9600000000001,484.96,500.84000000000015,606.52,723.04,836.5200000000001,938.3199999999999,1017.6000000000004,1009.1599999999999,989.92,968.8399999999999,950.0800000000002,929.1600000000001,910.72,891.64,872.3600000000001,845.5200000000002,812.52,763.3199999999999,700.5999999999999,633.1199999999999,570.3199999999999,520.0799999999999,487.32,491.03999999999996,511.64,547.4,598.4399999999999,659.1199999999998,702.96,734.8800000000001,748.8400000000001,741.8400000000003,714.2000000000002,670.5999999999999,617.5999999999999,558.84,499.08,445.08000000000004,399.4,363.56,337.0,319.28,324.15999999999997,375.8,436.56000000000006,506.6399999999999,578.52,640.3600000000002,667.7200000000003,696.44,730.0000000000001,769.08,805.72
4,897.0400000000001,904.6400000000001,912.6,916.6000000000004,916.72,913.9600000000003,907.72,890.2800000000001,870.04,846.0,818.44,792.4000000000001,765.7600000000002,743.2000000000003,735.6799999999998,740.6799999999998,749.4399999999997,783.6,823.52,856.3599999999999,885.5600000000003,915.6400000000001,927.32,932.6400000000001,936.4800000000001,938.7600000000002,935.8799999999998,933.1999999999998,930.9199999999998,926.36,919.8,915.04,905.6000000000001,894.84,879.6800000000001,862.44,844.36,828.5599999999998,815.76,807.4400000000002,803.1600000000001,802.3599999999998,807.5999999999999,816.88,829.3999999999999,842.5199999999998,853.4,863.2399999999999,869.8,878.24,884.48,889.5200000000002,888.4800000000002,888.28,882.8000000000001,877.2399999999998,875.5199999999999,881.3600000000002,900.56,913.0,914.56,905.28,883.0,831.96,776.1999999999999,712.6400000000001,621.0000000000001,482.72,346.6000000000001,222.39999999999998,116.71999999999997,45.47999999999998,31.279999999999983,27.23999999999998,24.519999999999982,21.079999999999977,21.51999999999998,18.79999999999998,17.639999999999983,15.839999999999984,14.999999999999986,12.039999999999978,11.479999999999983,9.999999999999984,9.639999999999976,8.439999999999982,8.47999999999998,6.639999999999983,6.839999999999986,4.999999999999982,4.239999999999984,2.319999999999985,1.7599999999999922,1.0399999999999823,1.1599999999999824,2.599999999999993,15.920000000000002,76.99999999999999,297.44,523.52,785.84,1027.68,1211.5199999999998,1225.8,1227.6399999999999,1179.7599999999995,1126.5600000000002,1066.5200000000004,1000.1999999999998,927.0799999999998,856.8800000000001,795.8000000000001,752.0400000000002,732.76,742.2400000000001,774.44,821.8,877.1599999999999,928.56,970.0799999999999,1000.6799999999998,1022.9999999999998,1039.7600000000002,1052.28,1061.3600000000001,1067.6800000000003,1072.56,1076.3200000000002,1081.0000000000002,1090.36,1099.7200000000003,1108.48,1113.8799999999997,1118.3999999999996,1115.88,1114.8400000000001,1114.7600000000002,1114.6400000000003,1112.5199999999998,1111.52,1109.36,1107.7600000000002,1108.0800000000004,1106.3600000000001,1103.3200000000002,1094.5200000000002,1076.5600000000004,1044.4400000000003,1005.6800000000001,953.8,894.3599999999999,839.8,796.68,761.1600000000001,739.7199999999999,731.2800000000003,739.8000000000002,760.8400000000001,802.04,861.8,924.8800000000001,977.2800000000002,1015.6400000000001,1025.96,998.2000000000002,943.76,872.1200000000001,795.1999999999996,717.1199999999998,686.4399999999999,684.3199999999999
5,795.1999999999996,717.1199999999998,686.4399999999999,684.3199999999999,711.7199999999998,769.2399999999998,850.6800000000001,913.1600000000001,974.0799999999999,1020.7999999999997,1046.8399999999997,1057.2399999999998,1058.7199999999998,1056.04,1051.8399999999997,1043.76,1034.56,1017.8799999999999,996.6000000000003,970.4400000000002,905.28,847.0000000000002,810.2,789.48,780.2800000000001,819.56,862.0000000000002,894.44,922.9600000000003,948.6400000000001,969.9999999999999,988.1599999999999,1004.7999999999998,1020.5200000000002,1030.2399999999998,1038.92,1045.3600000000001,1050.0400000000002,1048.2399999999998,1046.3999999999999,1042.6,1037.1999999999998,1030.3999999999999,1020.24,1009.2399999999997,994.8000000000002,980.12,961.5200000000003,942.3199999999999,904.9200000000003,870.3199999999998,836.8800000000001,808.2000000000002,788.48,791.5599999999997,803.92,817.96,830.7199999999998,838.9200000000001,844.3200000000002,839.4799999999999,833.0400000000001,830.3199999999999,829.76,834.4800000000001,840.2,841.9199999999998,838.48,832.72,800.8800000000002,719.84,592.4,437.8,282.04,148.12,65.39999999999998,32.48,29.319999999999993,27.239999999999995,24.63999999999999,22.799999999999997,19.479999999999997,17.159999999999997,15.399999999999995,15.11999999999999,10.719999999999995,8.639999999999997,6.799999999999995,3.999999999999999,0.639999999999993,1.359999999999995,2.1999999999999926,2.599999999999991,2.95999999999999,4.279999999999996,4.239999999999993,13.440000000000007,70.44000000000001,225.2,415.48,622.24,850.8800000000001,1052.6800000000003,1162.6000000000001,1235.3200000000002,1287.32,1305.5200000000002,1295.9200000000005,1273.48,1242.56,1200.8400000000001,1140.6000000000004,1049.0400000000002,922.1600000000003,775.88,622.3599999999999,475.91999999999996,362.04,289.4,245.56000000000003,224.68,217.32000000000005,217.20000000000002,222.72000000000008,236.84000000000003,321.56,411.32000000000005,501.0399999999999,588.2399999999998,666.04,672.8399999999999,675.12,673.9999999999999,672.7199999999998,675.4399999999999,681.04,685.16,689.4399999999998,689.3199999999998,681.8000000000001,670.0,659.0799999999999,649.0399999999997,643.9999999999998,644.3599999999999,647.6400000000003,650.12,651.16,650.44,645.5200000000002,640.32,640.12,643.7199999999999,647.9200000000001,658.4799999999999,671.84,688.3600000000001,707.0000000000001,730.8800000000001,752.8800000000001,770.2000000000002,781.0000000000001,787.2,783.6800000000001,754.84,723.8799999999998,685.8399999999998,642.76,598.0799999999999,576.28,556.4799999999998
6,560.36,586.5199999999998,636.7199999999998,695.4399999999998,745.5199999999998,799.6800000000001,847.4800000000002,874.52,890.4000000000002,904.48,914.2000000000002,920.8000000000002,923.28,925.6800000000005,921.4000000000005,913.0000000000002,900.4400000000002,882.48,857.5999999999999,831.5600000000001,802.2,772.8000000000003,742.1200000000002,716.3199999999999,696.0799999999999,689.4399999999999,693.2400000000002,711.0000000000001,756.64,805.32,851.1999999999999,892.24,928.4000000000001,937.4399999999998,942.2,941.32,938.7199999999998,937.8399999999999,940.0000000000002,939.0400000000004,934.9199999999998,928.16,913.8400000000001,892.24,869.8000000000001,852.0799999999999,837.9200000000002,830.0,838.4399999999999,851.4000000000001,862.6799999999998,873.2,878.1999999999999,874.0800000000002,868.4800000000001,869.6400000000001,903.6399999999999,944.8800000000002,981.2,1004.0799999999998,1005.3199999999999,964.6400000000002,914.6,853.76,765.4400000000002,632.6400000000001,479.7599999999999,329.88000000000005,195.95999999999995,101.2,68.11999999999999,63.52000000000001,59.480000000000004,55.15999999999998,52.719999999999985,47.59999999999998,44.48,44.12,41.160000000000004,39.8,40.199999999999996,40.279999999999994,37.359999999999985,37.279999999999994,37.519999999999996,36.800000000000004,35.720000000000006,37.480000000000004,38.52,35.83999999999999,35.08,32.59999999999999,73.08,226.04,412.71999999999997,650.64,884.72,1067.24,1127.3200000000004,1145.68,1103.1200000000001,1051.56,988.1600000000002,873.8799999999997,774.2,692.72,635.5600000000002,613.1199999999999,684.2800000000001,768.6,850.0400000000001,923.8800000000001,983.0000000000002,1004.3199999999999,1006.0400000000003,993.8800000000001,977.4800000000004,961.4400000000002,954.1600000000001,953.5200000000002,963.2800000000001,977.0800000000004,992.5200000000002,1000.68,1003.2400000000001,1000.16,993.7200000000003,986.4399999999999,980.56,978.0400000000002,976.36,976.72,977.3200000000002,979.4000000000001,976.5999999999999,976.5600000000002,975.52,972.3199999999999,969.5999999999999,970.0800000000002,970.9600000000002,970.8399999999999,972.24,974.48,976.4000000000002,976.4400000000002,966.8,950.5199999999998,915.6000000000004,862.3599999999999,795.76,734.04,675.5999999999999,634.48,607.4400000000002,595.2399999999999,619.4000000000001,675.44,747.16,826.8400000000001,907.52,954.1999999999999,965.6399999999999,950.9599999999998,914.5999999999999,846.2800000000001,776.68,710.6799999999998,653.76,615.9200000000001,655.88
7,595.2399999999999,619.4000000000001,675.44,747.16,826.8400000000001,907.52,954.1999999999999,965.6399999999999,950.9599999999998,914.5999999999999,846.2800000000001,776.68,710.6799999999998,653.76,615.9200000000001,655.88,713.1600000000001,778.3199999999999,852.3999999999997,926.3199999999999,954.4799999999999,971.6799999999996,982.8399999999999,989.2,995.28,1000.8799999999998,1001.5600000000002,997.8399999999998,987.7599999999999,972.28,948.2799999999997,917.3199999999999,878.1600000000001,857.5199999999999,843.0000000000001,833.1200000000001,831.8800000000001,847.52,859.32,880.6400000000001,911.4399999999999,955.2800000000002,996.1599999999996,1026.6399999999999,1046.76,1053.84,1047.4399999999996,1026.48,1001.3999999999996,974.3999999999999,949.5999999999997,924.0,907.6399999999999,894.5999999999999,882.0799999999999,880.56,880.7199999999999,886.0799999999999,892.1999999999999,901.0400000000004,905.4800000000004,917.24,933.2,950.6799999999998,932.3599999999999,897.4,844.24,778.5199999999998,703.9200000000001,650.1200000000001,573.4399999999999,474.24,367.2400000000001,263.08000000000004,171.2,116.16,95.03999999999999,89.72,87.32,85.19999999999999,83.84,81.56,78.43999999999997,75.96,73.03999999999998,69.03999999999999,67.47999999999999,67.24,68.2,68.79999999999998,69.2,70.75999999999998,102.2,463.08000000000004,677.96,904.72,1130.88,1319.2399999999996,1161.28,1135.04,1053.04,962.8799999999999,872.4000000000002,790.5999999999998,719.1199999999999,683.64,647.0800000000002,594.6,546.8000000000001,503.8,470.44000000000005,446.24,449.43999999999994,462.0,483.6399999999999,512.48,547.4,585.2800000000002,691.7599999999999,803.7200000000001,908.6799999999998,1002.8,1085.8,1086.3200000000002,1066.92,1043.2,1019.48,1000.2000000000002,989.5600000000002,985.8400000000001,987.0400000000002,993.3200000000002,1001.1200000000001,1006.9599999999998,1014.0,1016.8000000000002,1014.8800000000001,1009.64,1004.2000000000002,995.1999999999998,987.3199999999999,982.7599999999996,977.76,973.3600000000001,965.6,959.2799999999999,950.68,944.3199999999999,939.2399999999997,939.1999999999998,938.7200000000003,939.6400000000003,940.08,940.9200000000001,942.3200000000002,942.1600000000001,943.8399999999999,947.3199999999999,948.64,950.6,955.4000000000003,957.2400000000001,956.96,958.2800000000001,957.28,955.76,954.48,955.3599999999997,956.2400000000001,958.0000000000002,958.6800000000002
8,834.1999999999999,826.7600000000001,823.4000000000001,818.28,817.24,815.8000000000001,816.8799999999999,818.7600000000001,824.68,828.36,843.56,855.6799999999997,865.8799999999999,871.96,873.9599999999998,864.0800000000002,853.76,841.52,829.3200000000002,815.5600000000002,795.5600000000002,766.28,709.2399999999999,648.28,592.4000000000001,559.1200000000001,557.96,605.6800000000001,670.1200000000001,743.4399999999999,805.04,852.6400000000001,883.84,903.8800000000001,914.1599999999999,925.24,933.36,944.5600000000001,960.56,978.9200000000003,998.28,1014.28,1025.0,1030.7999999999997,1034.6400000000003,1031.9600000000003,1026.6800000000003,1019.4000000000003,1010.56,1003.8399999999997,995.3599999999999,987.1599999999996,982.96,982.9199999999997,982.2,985.64,991.4799999999999,998.3600000000001,1002.48,1003.3999999999996,1002.9200000000001,999.4399999999999,992.92,990.8799999999999,994.56,1002.76,1017.3600000000001,1008.7199999999997,971.3199999999997,916.8000000000002,846.8000000000003,761.9200000000001,682.6,578.1999999999999,452.96,329.16,217.20000000000002,124.56000000000002,79.91999999999999,69.47999999999999,68.16,64.15999999999998,59.63999999999997,55.839999999999996,52.19999999999999,49.79999999999999,48.51999999999998,45.319999999999986,42.59999999999998,40.359999999999985,38.71999999999997,41.03999999999999,205.59999999999997,395.5999999999999,624.04,851.8400000000001,1070.9199999999996,1126.4,1151.9200000000003,1132.52,1105.92,1077.8399999999997,1041.8400000000001,993.4399999999999,908.9599999999998,825.6000000000001,740.5999999999999,665.28,605.8000000000001,589.68,582.96,588.7599999999999,599.6400000000001,616.92,635.0,652.28,674.04,694.44,713.6799999999998,734.7600000000001,755.92,769.08,782.1999999999999,793.2800000000001,801.0000000000001,805.72,810.8000000000001,813.0799999999999,815.4399999999998,817.0799999999999,820.8399999999999,822.5200000000001,826.3199999999999,827.1600000000001,829.3199999999999,828.7200000000001,828.6000000000001,827.9200000000001,829.84,829.2800000000001,829.5999999999999,830.0400000000002,829.52,828.2799999999997,828.6000000000001,829.8799999999999,830.2399999999999,830.12,828.0799999999999,827.1200000000001,825.72,825.76,824.2,822.5999999999999,821.1600000000001,818.6000000000001,814.7600000000001,812.3600000000002,811.1600000000001,806.1199999999999,800.76,791.48,780.5600000000001,770.72,763.8000000000001,758.16,757.56,759.48,758.2,754.5199999999999,724.72
9,625.2400000000002,561.96,496.44000000000005,452.72,425.88000000000005,430.79999999999995,471.36,532.72,608.96,688.4799999999999,753.48,795.0800000000003,820.52,831.1600000000001,829.5599999999998,818.64,795.72,764.28,715.52,669.64,632.3599999999999,618.96,621.9200000000001,657.3199999999998,702.72,763.6400000000001,815.5600000000001,866.3599999999998,907.8400000000003,940.1200000000001,952.0400000000003,956.7200000000001,953.4399999999999,947.28,941.24,937.3600000000002,932.1999999999998,925.9599999999998,917.1600000000001,906.8400000000001,887.3600000000001,863.3600000000001,835.1600000000001,815.5200000000001,803.6400000000002,810.6400000000001,843.48,883.32,920.96,957.72,985.0400000000002,992.7599999999998,997.9600000000002,1000.7999999999998,997.8,995.0399999999998,992.4399999999999,990.8399999999999,992.8,994.4399999999998,994.48,995.1600000000001,999.4799999999998,1000.4000000000001,1005.7599999999998,1016.5600000000001,1029.3999999999996,983.12,909.7199999999999,775.6399999999999,581.8799999999999,381.6,237.27999999999994,118.4,56.199999999999996,48.15999999999999,44.48,36.959999999999994,29.879999999999995,25.11999999999999,22.519999999999996,18.759999999999998,18.320000000000004,19.68,15.960000000000003,13.159999999999998,11.84,9.359999999999996,7.2800000000000065,9.119999999999997,48.48,197.68,357.68,533.72,738.72,925.6799999999998,1011.0,1063.9599999999998,1086.08,1059.4,968.4000000000001,831.5200000000002,692.2800000000001,545.8800000000001,401.44,300.03999999999996,240.16000000000008,211.04000000000002,220.52000000000004,249.08,277.40000000000003,302.91999999999996,323.03999999999996,323.79999999999995,323.88,320.76,313.99999999999994,310.0400000000001,306.72,304.32,303.20000000000005,304.84000000000003,305.28,307.1599999999999,308.16,310.28000000000003,310.4,312.08000000000004,311.96000000000004,310.84000000000003,310.04,311.8,313.28000000000003,312.72,315.6000000000001,317.6,319.64000000000004,317.71999999999997,319.0400000000001,316.68000000000006,317.5200000000001,315.68000000000006,318.12,321.32000000000005,326.3600000000001,331.5200000000001,342.32000000000005,352.43999999999994,372.2399999999999,400.59999999999997,432.52,482.5199999999999,546.8800000000001,609.8400000000001,667.96,727.88,771.48,804.9999999999998,832.9200000000001,849.3200000000002,843.64,820.0,779.1599999999999,732.08,690.8,663.0000000000001,647.5600000000002,641.7600000000002,639.48,638.72,641.5999999999999
10,864.04,855.6800000000001,837.4400000000002,814.4399999999999,792.4,773.2799999999999,780.6,800.3599999999999,824.2399999999998,847.7599999999999,868.8799999999999,887.04,892.9999999999998,891.28,887.8799999999999,878.2799999999997,864.7999999999998,849.4000000000001,832.8399999999999,761.2799999999999,695.96,641.3599999999999,606.6800000000001,590.32,640.0799999999999,695.84,769.7200000000001,831.5600000000002,880.6000000000001,916.4400000000003,942.9199999999998,939.2399999999998,932.4000000000001,925.2399999999999,915.9599999999999,903.2000000000002,890.24,874.6800000000001,856.48,842.28,828.0399999999997,818.0000000000002,806.9200000000001,801.1199999999999,795.32,795.84,799.6800000000001,808.7200000000003,816.5600000000002,825.7600000000002,835.8799999999999,843.4400000000002,849.88,856.5200000000001,864.2800000000002,871.76,884.5200000000002,901.0800000000002,921.68,943.5599999999997,970.9200000000002,997.9999999999998,1022.28,1024.56,996.2800000000004,942.6399999999996,871.36,786.9200000000001,700.0399999999998,601.4399999999999,474.52,340.72,217.88000000000005,112.32,42.83999999999999,21.159999999999986,16.239999999999988,11.079999999999977,6.839999999999986,4.319999999999979,-3.3600000000000207,-7.600000000000014,-8.08000000000002,-9.280000000000022,-11.240000000000013,-8.960000000000015,-8.120000000000008,-10.240000000000009,-9.840000000000007,-10.72000000000001,-11.440000000000012,-12.640000000000018,-12.32000000000003,3.279999999999997,133.48,288.52,531.4800000000001,779.3600000000001,1015.9600000000003,1139.6399999999999,1233.1599999999999,1237.8399999999997,1232.92,1183.76,1113.2800000000002,1012.6400000000002,862.24,680.2800000000001,511.8399999999999,345.0399999999999,202.44,106.75999999999999,35.00000000000001,-4.079999999999982,-11.599999999999989,0.08000000000000629,19.640000000000008,50.43999999999998,74.84000000000002,86.6,89.52000000000001,86.84,83.52000000000001,78.64,75.08000000000001,69.64000000000001,68.4,66.12,66.92,67.03999999999998,62.75999999999999,52.639999999999986,42.12000000000001,27.440000000000005,12.760000000000009,1.8000000000000118,-7.479999999999986,-13.720000000000017,-19.000000000000007,-22.84000000000001,-26.47999999999999,-25.31999999999998,-24.319999999999975,-18.71999999999999,-15.039999999999983,-6.399999999999981,-1.3999999999999908,0.5999999999999979,-1.440000000000008,-3.8400000000000074,-9.96,-16.520000000000007,-20.800000000000004,-27.400000000000016,-32.80000000000001,-37.68000000000001,-41.24,-44.6,-45.44000000000001,-46.03999999999999,-45.88000000000001,-45.480000000000004,-46.8,-47.12000000000001,-48.76000000000002,-48.2,-49.280000000000015,-49.2,-49.080000000000005,-42.75999999999999,-33.84
