Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,42.99999999999999,42.96,42.839999999999996,42.68,42.52,42.239999999999995,41.96,41.8,41.76,41.599999999999994,41.48,41.199999999999996,40.68,40.0,39.04,37.96,36.96,35.8,34.4,33.0,31.159999999999997,28.96,26.88,24.76,22.959999999999997,21.4,20.200000000000003,18.880000000000003,17.92,17.000000000000004,16.64,16.28,16.32,16.480000000000004,16.76,17.080000000000002,17.64,18.360000000000003,19.36,21.880000000000003,24.76,27.96,31.400000000000002,34.720000000000006,36.760000000000005,38.400000000000006,39.88,40.88,41.96,42.919999999999995,43.76,44.52,45.56,47.6,50.0,52.59999999999999,55.07999999999999,57.52,58.36,58.720000000000006,58.6,58.440000000000005,57.75999999999999,57.400000000000006,57.120000000000005,57.28,57.68000000000001,58.6,59.64,55.160000000000004,46.12,35.0,23.76,12.200000000000001,5.999999999999999,4.2,4.0,3.64,3.4399999999999995,3.1599999999999997,2.84,2.5999999999999996,2.36,2.16,2.16,1.96,1.8800000000000001,1.88,1.7599999999999998,1.56,1.48,1.44,1.4400000000000002,1.48,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.08,1.12,2.52,4.720000000000001,6.64,9.0,13.08,16.2,18.799999999999997,21.8,24.840000000000003,25.880000000000003,26.68,27.08,27.0,26.52,25.56,24.48,23.279999999999998,22.400000000000002,21.360000000000003,20.84,20.360000000000003,20.12,19.76,19.84,19.76,19.68,19.599999999999998,19.599999999999998,19.48,19.48,19.64,19.8,20.0,20.2,20.28,20.240000000000002,20.12,19.92,19.6,19.28,18.92,18.36,17.720000000000002,17.080000000000002,16.520000000000003,15.800000000000002,15.240000000000002,14.880000000000003,14.520000000000001,14.200000000000003,14.000000000000002,13.880000000000003,13.640000000000002,13.360000000000001,13.000000000000004,12.72,12.360000000000003,12.120000000000001,11.920000000000002,11.8,11.76,11.64,11.48,11.4,11.040000000000001,10.56,10.04,9.360000000000001,8.68,8.2,7.800000000000001,7.52
2,16.28,16.12,15.92,15.16,13.960000000000003,12.76,11.24,9.76,8.68,8.040000000000001,7.68,7.5600000000000005,7.84,8.4,9.36,10.32,11.44,12.24,13.040000000000001,13.4,13.56,13.559999999999999,13.68,13.48,13.479999999999999,13.44,13.319999999999999,13.08,13.12,13.200000000000001,13.360000000000001,13.4,13.64,13.639999999999999,13.639999999999999,13.72,14.16,14.64,15.32,16.2,17.160000000000004,18.279999999999998,19.72,21.92,23.96,26.04,28.080000000000005,29.92,31.200000000000003,32.64,33.92,35.12,36.0,36.72,37.2,37.88,38.720000000000006,40.080000000000005,41.8,43.92,46.080000000000005,48.24,49.99999999999999,50.68,48.32,39.800000000000004,29.639999999999997,19.44,9.8,2.96,1.6,1.4799999999999998,1.3599999999999999,1.2399999999999998,0.8800000000000001,0.96,0.9199999999999999,0.8,0.7600000000000002,0.7200000000000004,0.6000000000000003,0.6000000000000004,0.6800000000000002,0.52,0.4400000000000002,0.3600000000000002,0.28000000000000036,0.1600000000000002,0.20000000000000023,0.08000000000000013,-0.0799999999999998,2.96,6.079999999999999,8.72,14.24,19.319999999999997,20.96,22.4,24.080000000000002,22.560000000000002,20.64,18.2,14.16,10.16,6.44,3.56,1.44,1.04,0.8400000000000004,0.7600000000000003,0.8000000000000004,0.8000000000000004,0.7999999999999999,0.9600000000000001,1.08,1.24,1.36,1.56,1.6400000000000001,1.8399999999999999,2.5199999999999996,3.2399999999999993,4.28,5.52,6.6,7.16,7.64,7.760000000000001,7.52,7.4799999999999995,7.36,7.28,7.2,7.36,7.359999999999999,7.32,7.4399999999999995,7.52,7.32,7.04,6.840000000000001,6.560000000000001,6.2,5.92,5.72,5.48,5.24,4.84,4.4,4.0,3.4800000000000004,3.0,2.5999999999999996,2.5200000000000005,2.3200000000000003,2.3600000000000003,3.52,5.24,7.24,9.88,12.440000000000001,14.2,15.600000000000001,16.48,16.880000000000003,17.04,16.68,16.08,15.399999999999999,14.72,14.12
3,19.56,18.32,17.04,16.16,15.680000000000001,15.8,16.319999999999997,17.08,17.479999999999997,17.759999999999998,17.72,17.8,17.72,18.0,18.32,18.6,18.8,18.8,18.12,17.2,16.08,13.4,11.0,9.28,7.92,6.960000000000001,7.960000000000001,9.08,10.4,11.68,12.879999999999999,13.68,14.400000000000002,14.719999999999999,15.039999999999997,15.36,15.84,16.4,17.04,17.679999999999996,18.52,19.599999999999998,21.0,22.6,24.36,26.039999999999996,27.720000000000002,29.2,30.36,31.36,32.24,32.8,33.08,33.919999999999995,34.8,35.839999999999996,37.08,38.48,39.48,40.44,41.36000000000001,42.239999999999995,43.07999999999999,43.68000000000001,44.4,45.00000000000001,45.36,45.44,45.279999999999994,43.64,37.2,28.240000000000002,19.400000000000002,10.999999999999998,3.6399999999999997,0.8400000000000005,0.7199999999999998,0.4799999999999998,0.27999999999999964,0.1600000000000002,0.35999999999999993,0.23999999999999982,0.27999999999999986,0.11999999999999972,0.11999999999999972,-0.0400000000000002,-0.03999999999999998,5.551115123125783e-17,0.08000000000000013,0.03999999999999987,-1.6653345369377348e-16,0.03999999999999987,-1.6653345369377348e-16,-0.08000000000000024,-0.20000000000000012,-0.9200000000000003,4.6,8.639999999999999,13.36,17.64,25.04,26.72,29.759999999999998,32.0,34.839999999999996,35.12,34.519999999999996,34.04,33.4,32.52,31.200000000000003,29.879999999999995,26.920000000000005,24.040000000000003,21.16,18.28,15.24,13.8,12.639999999999999,11.6,12.88,15.24,17.88,20.439999999999998,22.720000000000002,22.72,21.84,20.28,18.439999999999998,16.32,14.559999999999999,12.920000000000002,11.760000000000002,10.88,10.48,9.92,9.28,8.56,7.64,6.88,6.2,5.960000000000001,6.08,6.5200000000000005,7.000000000000001,7.76,8.2,8.36,8.44,8.32,8.0,7.6,7.08,6.359999999999999,5.64,4.88,4.16,3.5599999999999996,3.0799999999999996,2.8,2.84,3.4399999999999995,3.96,4.76,5.48,6.16,6.48,6.960000000000001,7.24,7.640000000000001,8.159999999999998
4,10.000000000000002,10.24,10.8,11.200000000000001,11.68,12.12,12.639999999999999,12.6,12.56,12.4,11.96,11.559999999999999,10.96,10.08,9.28,8.799999999999999,8.16,8.12,8.48,8.88,9.24,9.760000000000002,9.96,10.080000000000002,10.399999999999999,10.68,10.8,11.120000000000001,11.4,11.680000000000001,12.000000000000002,12.440000000000001,12.56,12.92,13.0,13.12,13.2,13.399999999999999,13.48,13.839999999999998,14.56,15.6,17.0,18.64,20.28,21.680000000000003,22.6,23.28,23.72,23.759999999999998,23.52,23.200000000000003,22.600000000000005,22.000000000000004,21.6,21.52,21.84,22.919999999999998,26.800000000000004,31.08,35.24,39.44,43.12,44.08,44.64,44.519999999999996,41.24,32.839999999999996,23.479999999999997,14.36,5.720000000000001,-0.12000000000000062,-0.8799999999999993,-0.84,-1.0399999999999996,-1.1999999999999997,-1.2399999999999998,-1.2399999999999993,-1.3199999999999998,-1.56,-1.7200000000000002,-1.7999999999999998,-1.92,-2.0,-1.8000000000000003,-1.7200000000000002,-1.72,-1.76,-1.64,-1.72,-1.76,-1.7999999999999996,-1.7599999999999996,-1.7999999999999996,-1.8399999999999996,-2.0399999999999996,0.4400000000000002,2.72,4.84,7.3999999999999995,10.559999999999999,10.84,11.12,11.360000000000001,11.200000000000001,10.400000000000002,9.599999999999998,8.8,8.240000000000002,7.6,7.08,6.6,6.239999999999999,5.880000000000001,5.720000000000001,5.720000000000001,5.960000000000001,6.32,6.640000000000001,6.92,7.120000000000001,7.280000000000001,7.32,7.520000000000001,7.56,7.6,7.6,7.72,7.68,7.92,8.120000000000001,8.36,8.440000000000001,8.520000000000001,8.36,8.399999999999999,8.48,8.52,8.56,8.68,8.52,8.399999999999999,8.32,8.2,8.08,8.16,8.0,7.84,7.76,7.3999999999999995,6.920000000000002,6.5600000000000005,6.16,5.5600000000000005,5.359999999999999,5.160000000000001,5.08,5.039999999999999,5.28,5.640000000000001,6.08,6.4399999999999995,6.879999999999999,7.119999999999998,7.16,6.999999999999998,6.6,6.08,5.44,5.08,4.640000000000001
5,6.08,5.44,5.08,4.640000000000001,4.640000000000001,4.92,5.4,5.68,6.159999999999999,6.359999999999999,6.52,6.6,6.48,6.5600000000000005,6.640000000000001,6.6000000000000005,6.64,6.520000000000001,6.36,6.240000000000001,5.800000000000001,5.48,5.4,5.24,5.119999999999999,5.4,5.6000000000000005,5.72,6.0,6.24,6.4,6.5200000000000005,6.72,6.88,6.76,6.72,6.680000000000001,6.640000000000001,6.48,6.640000000000001,6.680000000000001,6.640000000000001,6.720000000000001,6.640000000000001,6.3999999999999995,6.279999999999999,6.279999999999999,5.879999999999999,5.72,5.3999999999999995,5.16,4.959999999999999,5.0,5.08,5.48,6.359999999999999,7.840000000000001,9.8,11.96,14.400000000000002,16.32,17.84,19.24,20.56,21.76,23.080000000000002,24.279999999999998,25.36,26.36,27.199999999999996,27.12,23.48,17.4,11.24,5.04,-0.4799999999999994,-2.5599999999999987,-2.4399999999999986,-2.4399999999999986,-2.5999999999999988,-2.5999999999999996,-2.839999999999999,-3.0,-2.9999999999999996,-2.9199999999999995,-3.079999999999999,-3.039999999999999,-2.959999999999999,-3.119999999999999,-3.1999999999999993,-3.08,-3.0,-3.0,-2.84,-2.76,-2.96,-2.4,2.84,5.52,8.44,11.479999999999999,17.16,18.48,21.6,24.64,27.44,26.639999999999997,25.319999999999997,24.12,22.119999999999997,19.48,16.56,13.28,10.16,7.440000000000001,5.440000000000001,3.7199999999999998,2.5199999999999996,1.8399999999999999,1.4,1.2000000000000002,1.0800000000000003,1.0800000000000003,1.0,1.1600000000000004,1.6799999999999995,2.4,3.04,3.6800000000000006,4.119999999999999,4.200000000000001,4.200000000000001,4.16,4.08,4.120000000000001,4.08,4.08,4.16,4.16,4.16,4.08,3.9999999999999996,3.8399999999999994,3.8,3.6399999999999997,3.6799999999999997,3.6799999999999997,3.6799999999999997,3.8,3.7999999999999994,3.8399999999999994,3.9199999999999995,4.120000000000001,4.16,4.3999999999999995,4.359999999999999,4.4799999999999995,4.3999999999999995,4.4399999999999995,4.479999999999999,4.68,4.76,4.96,5.04,4.880000000000001,4.8,4.68,4.5600000000000005,4.28,4.16,3.92
6,4.32,4.5600000000000005,4.88,5.279999999999999,5.5600000000000005,6.0,6.32,6.52,6.52,6.6000000000000005,6.5600000000000005,6.640000000000001,6.5600000000000005,6.640000000000001,6.6000000000000005,6.5600000000000005,6.5200000000000005,6.48,6.24,6.040000000000001,5.720000000000001,5.48,5.12,5.0,4.840000000000001,4.880000000000001,4.800000000000001,5.000000000000001,5.240000000000001,5.68,6.04,6.359999999999999,6.680000000000001,6.880000000000001,7.0,7.12,7.4,7.72,8.4,8.96,9.6,10.28,11.0,11.36,11.760000000000002,12.36,13.36,14.32,15.760000000000002,17.28,18.56,19.24,18.880000000000003,17.84,16.64,15.280000000000001,15.96,18.48,21.880000000000003,25.88,30.240000000000002,32.88,34.72,35.76,35.32,30.199999999999996,22.720000000000002,14.88,7.319999999999999,0.560000000000001,-1.64,-1.8399999999999992,-1.9999999999999993,-2.1599999999999993,-2.1199999999999988,-2.399999999999999,-2.4399999999999986,-2.3199999999999985,-2.4799999999999986,-2.5599999999999987,-2.519999999999999,-2.6399999999999992,-2.8799999999999994,-2.8799999999999994,-2.919999999999999,-2.919999999999999,-2.9199999999999995,-2.8399999999999994,-2.7199999999999993,-2.839999999999999,-2.8399999999999994,-2.84,-2.36,-1.2000000000000002,0.2799999999999999,1.6400000000000001,3.16,4.2,4.48,4.5200000000000005,4.68,4.56,4.44,3.96,3.5999999999999996,3.0399999999999996,2.5999999999999996,2.44,2.76,3.1599999999999993,3.5999999999999996,4.0,4.28,4.279999999999999,4.199999999999999,4.24,4.359999999999999,4.239999999999999,4.359999999999999,4.359999999999999,4.36,4.359999999999999,4.56,4.56,4.6,4.4799999999999995,4.44,4.48,4.4399999999999995,4.4399999999999995,4.52,4.5200000000000005,4.48,4.52,4.4799999999999995,4.52,4.56,4.44,4.36,4.44,4.52,4.56,4.6,4.68,4.76,4.64,4.52,4.48,4.32,4.239999999999999,4.0,3.5999999999999996,3.2,2.88,2.36,2.1599999999999993,2.3600000000000003,2.5999999999999996,3.04,3.6399999999999997,4.16,4.5600000000000005,4.800000000000001,4.76,4.5200000000000005,4.16,3.6,3.080000000000001,2.6800000000000006,2.4800000000000004,2.92
7,2.1599999999999993,2.3600000000000003,2.5999999999999996,3.04,3.6399999999999997,4.16,4.5600000000000005,4.800000000000001,4.76,4.5200000000000005,4.16,3.6,3.080000000000001,2.6800000000000006,2.4800000000000004,2.92,3.5600000000000005,4.24,4.92,5.359999999999999,5.32,5.32,5.359999999999999,5.28,5.28,5.44,5.44,5.32,5.28,5.2,5.12,4.88,4.3999999999999995,4.239999999999999,4.199999999999999,4.08,4.119999999999999,4.4799999999999995,4.6,4.72,4.84,5.0,5.199999999999999,5.319999999999999,5.4399999999999995,5.4399999999999995,5.28,5.08,4.880000000000001,4.640000000000001,4.359999999999999,4.28,3.9600000000000004,3.6399999999999997,3.3200000000000003,3.12,2.8,2.8799999999999994,2.96,3.0,3.08,3.1999999999999997,3.52,3.84,4.319999999999999,4.599999999999999,4.959999999999999,4.92,4.92,4.640000000000001,4.279999999999999,3.7199999999999998,1.8400000000000005,0.0800000000000003,-1.4800000000000002,-2.839999999999999,-4.08,-3.84,-3.88,-3.96,-3.92,-3.84,-3.88,-3.92,-3.88,-4.04,-4.08,-4.04,-3.8799999999999994,-3.7999999999999994,-3.84,-4.0,-1.1200000000000006,7.5600000000000005,13.799999999999997,20.28,27.240000000000002,31.239999999999995,29.56,30.4,30.999999999999996,30.92,30.44,29.72,28.839999999999996,28.08,27.48,26.88,26.4,26.119999999999997,25.839999999999996,25.6,25.6,25.48,25.2,25.16,25.080000000000002,24.92,24.68,24.320000000000004,23.68,22.76,21.92,21.080000000000002,20.48,19.919999999999998,19.52,18.88,18.400000000000002,17.72,17.2,16.8,16.48,15.920000000000002,15.52,14.719999999999999,13.8,12.96,12.32,11.64,11.240000000000002,10.8,10.48,10.080000000000002,9.24,8.48,7.759999999999999,7.000000000000001,6.56,6.4799999999999995,6.36,6.359999999999999,6.28,6.16,6.120000000000001,5.960000000000001,6.0,6.160000000000001,6.160000000000001,6.240000000000001,6.56,6.6000000000000005,6.6000000000000005,6.72,6.64,6.56,6.319999999999999,6.28,6.2,6.28,6.239999999999999
8,15.760000000000002,15.040000000000001,14.440000000000001,13.800000000000002,13.48,13.32,13.2,13.16,13.280000000000001,13.360000000000001,13.96,14.520000000000001,14.92,15.040000000000001,14.88,14.080000000000002,13.200000000000001,12.360000000000001,11.719999999999999,11.040000000000001,10.2,9.0,7.5200000000000005,6.04,4.800000000000001,4.16,4.44,5.5200000000000005,6.88,8.64,10.120000000000001,11.32,12.32,13.08,13.559999999999999,14.64,15.8,17.12,18.680000000000003,20.36,21.599999999999998,22.76,23.68,24.48,25.24,25.88,26.44,26.880000000000003,27.159999999999997,27.52,27.759999999999998,28.52,29.48,30.520000000000003,31.2,31.88,31.72,31.32,30.639999999999997,29.919999999999998,29.32,28.68,28.24,28.56,29.24,30.24,34.16,38.160000000000004,41.63999999999999,45.160000000000004,48.2,48.28,46.68,40.160000000000004,30.400000000000002,20.279999999999998,10.48,2.24,-1.2400000000000002,-1.76,-1.8800000000000008,-2.080000000000001,-2.4800000000000013,-2.6400000000000006,-2.8400000000000007,-2.919999999999999,-2.959999999999999,-3.0,-3.1599999999999993,-3.2800000000000002,-3.5200000000000005,-3.7200000000000006,5.76,18.88,32.519999999999996,46.28,59.800000000000004,63.75999999999999,63.88,63.04,61.239999999999995,58.8,55.31999999999999,50.92,44.04,37.48,31.200000000000003,26.000000000000004,21.920000000000005,20.759999999999998,20.24,20.199999999999996,20.240000000000002,20.400000000000002,20.680000000000003,21.0,21.88,22.92,24.16,25.44,26.88,27.92,28.84,29.6,30.36,30.84,31.360000000000003,31.640000000000004,32.0,32.239999999999995,32.559999999999995,32.72,33.07999999999999,33.08,33.199999999999996,33.36,33.48,33.52,33.76,33.72,33.559999999999995,33.48,33.36,33.16,33.199999999999996,33.239999999999995,33.239999999999995,33.239999999999995,33.199999999999996,33.080000000000005,33.0,33.0,32.76,32.559999999999995,32.44,32.28,32.0,31.84,31.640000000000004,31.28,30.76,30.080000000000002,29.399999999999995,28.799999999999997,28.32,28.080000000000002,28.159999999999997,28.36,28.36,28.320000000000004,27.04
9,22.52,19.76,16.759999999999998,14.720000000000002,13.4,13.959999999999999,16.360000000000003,19.839999999999996,23.879999999999995,28.240000000000002,31.439999999999998,33.36,34.52,35.08,34.919999999999995,34.12,32.84,31.28,29.36,27.6,26.52,27.36,29.12,32.0,35.08,38.160000000000004,39.64,40.480000000000004,40.84,41.0,40.88000000000001,40.6,40.160000000000004,39.480000000000004,38.88,38.24,37.56,36.800000000000004,36.00000000000001,34.92,33.32,31.48,29.479999999999997,28.2,27.839999999999996,28.880000000000003,32.24,36.0,39.4,43.56,46.96,48.559999999999995,50.160000000000004,51.68,51.760000000000005,51.800000000000004,51.720000000000006,51.60000000000001,51.6,51.559999999999995,51.56,51.080000000000005,50.56,49.92,49.44,49.08,49.48,54.12,56.04,52.24,43.23999999999999,34.040000000000006,20.44,9.52,4.200000000000001,3.84,3.4400000000000004,2.84,2.2800000000000007,1.8399999999999999,1.5200000000000005,1.1600000000000001,1.1200000000000008,1.0800000000000003,0.8000000000000008,0.6,0.5200000000000006,0.28000000000000025,0.16000000000000014,0.27999999999999936,2.7600000000000002,5.199999999999998,6.999999999999999,10.360000000000001,15.64,18.28,20.800000000000004,22.16,20.879999999999995,17.08,13.119999999999997,9.0,6.520000000000001,4.92,3.6799999999999997,2.72,1.9599999999999993,1.5999999999999994,1.2000000000000006,1.1200000000000006,1.0000000000000002,1.0800000000000005,1.0800000000000005,1.2400000000000007,1.2800000000000005,1.3200000000000005,1.0399999999999998,1.0,0.84,0.88,0.7999999999999999,1.0400000000000005,1.0000000000000007,1.1600000000000006,1.1200000000000008,1.2400000000000009,1.2000000000000008,1.32,1.24,1.1600000000000008,1.1200000000000008,1.1200000000000008,1.2000000000000008,1.24,1.3599999999999999,1.44,1.48,1.4,1.3600000000000008,1.2000000000000006,1.2000000000000006,1.1200000000000006,1.0799999999999996,1.0000000000000007,1.0000000000000007,1.0400000000000005,1.2799999999999994,1.319999999999999,1.639999999999999,2.079999999999999,2.1599999999999993,2.439999999999999,2.9599999999999995,3.439999999999999,3.8400000000000003,4.4799999999999995,4.84,5.039999999999999,5.200000000000001,5.44,5.4799999999999995,5.56,5.44,5.16,4.800000000000001,4.52,4.159999999999999,4.04,3.960000000000001,3.8,3.76
10,20.96,21.64,21.880000000000003,21.880000000000003,21.68,21.240000000000002,20.96,20.880000000000003,20.84,20.959999999999997,21.16,21.320000000000004,21.2,20.76,20.2,19.24,18.16,16.88,15.48,12.360000000000001,9.52,7.08,5.319999999999999,4.44,6.08,8.36,12.08,15.68,18.88,21.32,23.36,24.16,24.919999999999998,25.72,26.52,27.32,27.72,28.2,28.560000000000002,29.119999999999997,29.520000000000003,30.200000000000003,31.0,32.08,32.879999999999995,33.8,34.68,35.08,35.32000000000001,35.52,35.8,35.92,36.120000000000005,36.239999999999995,36.6,36.68,36.8,37.0,37.28,37.6,38.6,40.0,41.88,43.88,45.839999999999996,47.19999999999999,48.120000000000005,48.24000000000001,46.96,42.84,34.68,25.04,15.68,7.399999999999999,1.7199999999999998,0.0799999999999994,-0.11999999999999988,-0.3600000000000001,-0.6800000000000002,-0.8000000000000003,-1.08,-1.2800000000000002,-1.4000000000000004,-1.4400000000000004,-1.6000000000000005,-1.6000000000000005,-1.5600000000000003,-1.6800000000000004,-1.6000000000000003,-1.6800000000000004,-1.68,-1.76,-1.92,-0.7999999999999994,7.08,15.959999999999997,31.24,46.24,60.04,67.44,73.40000000000002,73.00000000000001,72.48,67.60000000000001,60.720000000000006,51.44,38.63999999999999,25.48,16.240000000000002,8.6,3.559999999999999,2.0800000000000005,1.0400000000000003,0.19999999999999982,-0.24000000000000055,-0.39999999999999997,-0.5999999999999994,-0.3999999999999995,-4.787836793695988e-16,0.07999999999999956,0.28000000000000014,0.31999999999999973,0.4400000000000003,0.3999999999999999,0.48,0.24,0.31999999999999984,0.23999999999999982,0.16,0.07999999999999996,0.07999999999999974,-0.04000000000000015,-0.2000000000000001,-0.3200000000000003,-0.39999999999999997,-0.52,-0.8800000000000002,-0.9999999999999999,-1.3599999999999997,-1.6800000000000002,-1.919999999999999,-2.08,-2.12,-2.0400000000000005,-2.0400000000000005,-2.0400000000000005,-1.9200000000000002,-2.04,-2.1199999999999997,-2.0399999999999996,-2.0399999999999996,-2.0799999999999996,-1.9600000000000006,-1.880000000000001,-2.080000000000001,-2.120000000000001,-2.2,-2.2800000000000002,-2.3599999999999994,-2.3199999999999994,-2.3999999999999995,-2.3599999999999994,-2.4400000000000004,-2.4800000000000004,-2.5199999999999996,-2.5199999999999987,-2.639999999999999,-2.719999999999999,-2.759999999999999,-2.839999999999999,-2.8
