Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,49.36000000000001,51.72,53.96000000000001,56.32000000000001,59.24000000000001,60.64000000000001,62.120000000000005,63.760000000000005,65.44,66.44,67.67999999999999,68.72,69.52,70.15999999999998,70.71999999999998,70.96,71.0,71.04,70.88000000000001,70.64000000000001,70.36,70.19999999999999,70.07999999999998,69.92,69.72,69.48,69.08000000000001,68.64000000000001,68.16,67.56000000000002,66.8,66.08000000000001,65.2,64.08,63.040000000000006,61.96,60.80000000000002,59.56,58.52000000000001,57.60000000000001,56.88,56.16000000000001,55.800000000000004,55.68000000000001,55.68000000000001,56.08,57.200000000000024,58.680000000000014,60.640000000000015,63.24000000000001,67.32,70.8,73.84,76.28,78.16,78.48,78.84,79.24000000000001,77.72,74.64,70.52000000000001,65.68,60.199999999999996,56.28,53.27999999999999,50.720000000000006,48.56,46.44,42.56,34.52,26.080000000000002,17.920000000000005,10.360000000000001,4.839999999999999,3.9199999999999995,3.7999999999999994,3.5999999999999996,3.3199999999999994,3.16,3.04,2.84,2.7199999999999998,2.6399999999999997,2.5999999999999996,2.56,2.56,2.5200000000000005,2.44,2.48,2.3200000000000003,2.28,2.28,2.28,2.16,2.16,2.04,1.9999999999999998,7.240000000000001,17.6,28.16,39.96,54.760000000000005,65.04,69.88,74.8,78.44,79.08000000000001,78.6,78.0,76.67999999999999,74.8,72.48,70.03999999999999,67.4,64.36,60.919999999999995,56.83999999999999,50.36000000000001,44.16,38.28000000000001,32.88,27.72,24.64,21.159999999999997,17.879999999999995,14.719999999999999,12.4,11.479999999999997,11.919999999999998,13.64,16.840000000000003,21.680000000000003,26.360000000000003,30.520000000000007,33.72,35.68000000000001,36.04,36.199999999999996,36.07999999999999,35.839999999999996,35.559999999999995,35.12,34.6,34.080000000000005,33.67999999999999,33.39999999999999,32.96,32.28,31.880000000000003,31.92,31.839999999999996,31.480000000000004,31.24,30.880000000000006,30.28000000000001,30.000000000000007,30.319999999999997,30.72,31.039999999999992,31.279999999999994,31.32,31.28,31.08,30.8,30.480000000000004,30.160000000000004,30.039999999999996,30.040000000000006,30.240000000000006,30.360000000000003,30.560000000000006
2,18.759999999999998,19.36,20.04,20.759999999999998,21.6,22.36,23.0,24.68,26.279999999999998,27.8,29.039999999999996,30.44,30.679999999999996,30.799999999999997,30.879999999999995,31.0,30.88,30.52,30.079999999999995,29.479999999999997,28.36,27.199999999999996,26.32,25.520000000000003,24.64,24.400000000000002,24.2,23.88,23.44,23.160000000000004,22.96,22.6,22.28,22.16,22.040000000000003,21.68,21.439999999999998,21.24,20.880000000000003,20.72,20.519999999999996,20.32,20.240000000000002,20.4,20.599999999999994,21.279999999999994,22.559999999999995,24.28,27.0,30.64,34.760000000000005,38.879999999999995,42.84,45.84,47.83999999999999,49.040000000000006,49.760000000000005,49.839999999999996,49.72,49.480000000000004,49.2,48.599999999999994,48.24,47.92,47.559999999999995,47.239999999999995,47.08000000000001,46.72,46.56,45.32,38.56,29.920000000000005,21.400000000000002,12.560000000000002,4.840000000000001,2.5999999999999996,2.4,2.12,2.04,1.96,1.88,1.7999999999999998,1.8399999999999999,1.8399999999999999,1.8399999999999999,1.7599999999999998,1.5999999999999999,1.6000000000000003,1.5200000000000002,1.36,1.4000000000000001,1.4000000000000001,1.2,1.1600000000000001,1.2400000000000002,1.0400000000000003,0.7599999999999999,2.5200000000000005,13.28,26.679999999999996,41.84000000000001,59.0,75.44,82.99999999999999,88.08000000000001,91.75999999999998,93.72000000000001,94.52,94.91999999999997,94.95999999999998,94.47999999999999,93.51999999999997,92.0,89.96,87.28,83.88,79.99999999999999,75.32,69.43999999999998,61.400000000000006,48.00000000000001,35.2,23.560000000000002,13.799999999999997,6.92,6.32,5.880000000000001,5.5200000000000005,5.24,5.159999999999999,5.44,6.079999999999999,7.239999999999999,8.52,9.879999999999999,10.760000000000003,11.4,11.6,11.600000000000003,11.32,11.080000000000002,10.64,10.159999999999998,9.679999999999998,9.159999999999995,8.839999999999995,8.559999999999997,8.239999999999997,7.919999999999998,7.760000000000001,7.56,7.48,7.480000000000002,7.600000000000002,7.64,7.840000000000002,8.12,8.24,8.279999999999998,8.600000000000001,8.680000000000001,8.88,9.24,9.560000000000002,9.68,9.959999999999999,10.28,10.559999999999999,10.919999999999998,11.200000000000001,11.24
3,31.68,32.88,33.64,34.440000000000005,34.96000000000001,35.32000000000001,35.44,35.64000000000001,35.400000000000006,34.839999999999996,34.28,33.8,33.2,32.800000000000004,32.56,32.4,32.120000000000005,31.759999999999998,31.200000000000003,30.680000000000003,30.16,29.76,29.4,29.200000000000003,29.12,29.040000000000003,28.840000000000007,28.599999999999998,27.64,26.439999999999998,24.959999999999997,23.400000000000002,21.96,21.12,20.32,19.8,19.479999999999997,19.359999999999996,19.88,20.679999999999996,21.68,22.839999999999996,24.04,24.959999999999997,26.279999999999998,27.679999999999996,29.32,30.96,32.599999999999994,33.76,34.839999999999996,35.92,36.76,37.919999999999995,39.04,40.16,40.919999999999995,41.959999999999994,46.56,51.199999999999996,55.64,60.16,64.44,64.6,64.60000000000001,64.44000000000001,63.84,63.0,61.800000000000004,60.64,59.23999999999999,57.36000000000001,51.8,43.56,33.04,22.840000000000003,13.279999999999998,7.48,4.68,4.240000000000001,3.7200000000000006,3.4400000000000004,3.16,3.08,2.960000000000001,2.920000000000001,2.960000000000001,2.96,2.8,2.7199999999999998,2.88,2.8,2.84,2.96,10.799999999999999,21.040000000000003,30.599999999999994,43.87999999999999,58.8,66.0,71.08,76.71999999999998,78.55999999999999,78.76,78.71999999999998,77.91999999999999,77.12,76.35999999999999,75.32,72.88,69.83999999999999,65.84,56.6,45.96,35.64,25.600000000000005,16.6,12.6,10.319999999999999,9.08,8.4,7.72,7.5200000000000005,7.199999999999999,7.12,7.159999999999999,7.28,7.039999999999999,6.800000000000001,6.4799999999999995,6.120000000000001,5.84,5.76,5.760000000000001,6.000000000000001,6.480000000000001,7.040000000000001,7.520000000000001,7.879999999999999,8.0,7.72,7.279999999999999,6.839999999999999,6.5600000000000005,6.240000000000001,6.000000000000001,5.800000000000002,5.640000000000001,5.520000000000001,5.4,5.280000000000001,5.120000000000001,5.080000000000001,4.880000000000001,4.760000000000001,4.720000000000001,4.760000000000002,4.720000000000001,5.400000000000001,6.239999999999999,7.199999999999999,8.24,9.32,9.719999999999999,9.760000000000002,9.72,9.520000000000003,9.32,9.080000000000002,9.2,9.240000000000002
4,45.080000000000005,45.839999999999996,46.36,47.07999999999999,47.72,48.120000000000005,48.599999999999994,49.36000000000001,49.800000000000004,50.52,51.440000000000005,52.28,52.92,53.76,54.36,54.8,55.199999999999996,55.6,55.88,56.239999999999995,56.56,56.76,56.79999999999999,56.76,56.559999999999995,56.36000000000001,56.12,55.760000000000005,55.36,54.68000000000001,53.76,52.84,51.800000000000004,49.24,46.76,44.28,41.68,39.28,38.48,38.0,38.92,40.44,42.559999999999995,45.04,47.63999999999999,49.39999999999999,50.959999999999994,52.51999999999999,54.279999999999994,56.04,57.760000000000005,59.64,61.32,62.63999999999999,63.76,64.6,65.19999999999999,65.67999999999999,66.0,66.36,66.8,67.0,67.0,66.83999999999999,66.19999999999999,65.56,65.03999999999999,64.52,63.88,63.36,61.20000000000001,54.800000000000004,44.92,33.760000000000005,22.599999999999998,12.92,7.520000000000001,5.44,4.960000000000001,4.760000000000001,4.6000000000000005,4.400000000000001,4.200000000000001,4.080000000000001,4.040000000000001,3.920000000000001,3.880000000000001,4.040000000000001,4.000000000000001,3.8000000000000007,3.7200000000000006,3.6800000000000006,3.6800000000000006,3.5600000000000005,3.6000000000000005,3.6400000000000006,8.12,13.120000000000001,22.240000000000002,33.160000000000004,44.0,50.319999999999986,56.44,58.84000000000002,59.56,60.24,60.92000000000001,61.08,60.919999999999995,60.36000000000001,59.600000000000016,58.04,55.440000000000005,51.48,46.36,40.0,33.160000000000004,26.799999999999997,21.12,16.6,13.48,11.280000000000001,9.920000000000002,9.24,8.719999999999999,8.4,8.52,8.520000000000001,10.879999999999999,13.559999999999999,16.119999999999997,18.560000000000002,20.840000000000003,20.880000000000003,20.560000000000002,20.36,20.2,20.6,21.16,22.36,24.12,26.32,28.36,30.439999999999998,32.24,33.559999999999995,34.63999999999999,35.68,36.52,37.279999999999994,38.32,39.239999999999995,40.11999999999999,40.879999999999995,41.599999999999994,41.839999999999996,42.0,41.76,41.519999999999996,40.71999999999999,39.76,38.480000000000004,36.879999999999995,34.800000000000004,32.68,30.359999999999996,28.36,26.759999999999998,25.719999999999995,25.279999999999998,25.32
5,38.32,38.28,37.84,37.480000000000004,36.84000000000001,36.080000000000005,35.400000000000006,34.8,34.16,33.67999999999999,33.36,32.96,32.52,32.28,32.160000000000004,32.440000000000005,33.040000000000006,34.24,35.48,36.28000000000001,36.32000000000001,35.96,35.00000000000001,33.76,32.8,31.88,30.920000000000005,30.08,29.240000000000002,28.2,27.279999999999998,26.319999999999997,25.119999999999997,23.68,22.24,19.88,17.56,15.360000000000001,13.560000000000002,12.079999999999997,12.04,12.319999999999999,13.159999999999998,14.2,15.479999999999999,19.759999999999998,24.040000000000003,27.959999999999994,31.8,35.279999999999994,35.599999999999994,35.96000000000001,37.080000000000005,38.4,40.88,43.36,46.400000000000006,49.16,52.279999999999994,54.83999999999999,57.67999999999999,60.12000000000001,62.28000000000001,64.16,65.92,67.08,67.8,68.12,67.84,66.88,65.80000000000001,64.72,63.68000000000001,62.84,54.68,43.64,32.32,20.880000000000003,9.440000000000001,5.6000000000000005,4.840000000000001,4.5200000000000005,4.28,4.16,3.9199999999999995,3.7199999999999993,3.5599999999999996,3.5599999999999996,3.4000000000000004,3.4,3.4,3.28,3.1599999999999997,3.16,3.08,3.08,2.88,10.119999999999997,26.840000000000003,44.87999999999999,63.28000000000001,82.39999999999999,94.40000000000003,96.80000000000003,97.88000000000002,98.64,98.80000000000001,98.51999999999998,98.04,97.24000000000001,96.19999999999997,94.63999999999999,92.12,88.8,84.63999999999999,79.19999999999997,72.96,66.0,58.56,50.32,41.800000000000004,33.4,26.119999999999997,22.080000000000002,19.8,18.48,18.6,19.56,18.720000000000002,18.24,17.44,16.08,14.360000000000001,12.479999999999999,10.440000000000003,9.32,8.56,8.04,7.8,7.719999999999999,8.16,10.56,13.519999999999998,17.04,21.32,26.759999999999998,30.200000000000003,32.48,32.96,31.839999999999996,28.679999999999996,25.2,21.76,19.319999999999997,17.360000000000003,15.76,14.320000000000004,13.36,12.72,12.159999999999998,11.72,11.559999999999997,11.359999999999998,10.879999999999999,10.600000000000001,10.439999999999998,10.280000000000001,10.28,10.36,10.44,10.52
6,38.11999999999999,41.559999999999995,44.68,45.32,44.28,42.080000000000005,38.400000000000006,34.68,32.04,30.2,29.680000000000003,32.36,35.44,38.519999999999996,41.64,43.96000000000001,44.440000000000005,44.199999999999996,43.88,42.120000000000005,40.080000000000005,37.480000000000004,34.28000000000001,30.399999999999995,27.080000000000002,23.44,19.919999999999998,16.840000000000003,14.439999999999998,12.639999999999999,11.44,10.76,10.6,14.280000000000001,19.36,25.16,31.28,37.56,40.28,41.67999999999999,42.72,43.44,44.0,44.519999999999996,45.63999999999999,46.64,47.879999999999995,49.0,50.24,50.96,51.760000000000005,54.44,57.75999999999999,61.35999999999999,65.4,69.68,71.96000000000001,73.92,75.63999999999999,76.96,77.64000000000001,77.96,77.68000000000002,76.92,75.96,75.00000000000001,74.0,72.96000000000001,71.84,69.96,56.800000000000004,43.96000000000001,31.199999999999996,18.72,7.040000000000001,6.680000000000001,6.200000000000001,5.960000000000001,5.720000000000001,5.440000000000001,5.160000000000001,4.92,4.720000000000001,4.44,4.24,4.16,4.08,3.8800000000000003,3.8400000000000003,3.7600000000000002,3.7200000000000006,3.6400000000000006,3.6400000000000006,3.6000000000000005,3.5600000000000005,3.4800000000000004,3.5200000000000005,13.679999999999998,21.200000000000003,36.32,53.0,70.75999999999999,78.64,89.12000000000002,92.08000000000001,93.44,93.24,92.71999999999998,91.84000000000002,90.28000000000003,88.24000000000001,81.32000000000001,73.0,63.24,53.04,42.839999999999996,37.88,34.4,32.72,32.519999999999996,35.56,38.599999999999994,41.67999999999999,44.72,47.11999999999999,48.32000000000001,49.28,49.72,50.0,50.32,48.96,48.0,47.68,47.79999999999999,48.56,49.6,50.64,51.64,52.32,52.16,50.36,48.040000000000006,44.88,41.56,38.52,36.96,35.68,35.12,34.88,35.160000000000004,36.480000000000004,39.0,42.040000000000006,45.39999999999999,48.59999999999999,51.28000000000001,53.199999999999996,54.72000000000001,56.040000000000006,56.96000000000001,57.24000000000001,56.839999999999996,55.96,52.0,47.52000000000001,42.640000000000015,37.879999999999995,33.040000000000006,30.72,28.72,27.12
7,36.28,33.44,31.04,29.159999999999997,27.960000000000004,27.439999999999998,28.36,30.000000000000004,31.759999999999994,33.36000000000001,34.48,34.32,32.92,30.84,28.32,25.799999999999997,22.44,19.200000000000003,16.519999999999996,14.239999999999997,12.28,11.559999999999999,11.44,12.999999999999998,14.96,17.400000000000006,20.08,22.919999999999998,24.159999999999997,25.120000000000005,25.96,26.520000000000007,27.040000000000003,27.840000000000003,28.800000000000004,29.68,31.639999999999997,33.48,35.199999999999996,36.92,38.760000000000005,39.6,40.480000000000004,41.16,41.72,42.400000000000006,43.120000000000005,43.88,44.96,46.2,47.36,48.559999999999995,50.32000000000001,52.00000000000001,54.800000000000004,57.64,60.47999999999999,62.919999999999995,64.75999999999999,65.48,65.96,66.44000000000001,67.39999999999999,68.64,69.47999999999999,70.00000000000003,70.16000000000003,68.60000000000001,55.599999999999994,42.63999999999999,29.8,17.04,5.200000000000001,4.800000000000001,4.44,4.360000000000001,4.280000000000001,4.080000000000001,3.920000000000001,3.8000000000000007,3.6000000000000005,3.3600000000000003,3.24,3.2,3.24,3.12,3.08,3.08,3.04,2.8800000000000003,2.92,6.000000000000001,11.56,17.44,29.91999999999999,42.519999999999996,52.48,60.32,67.88,68.84,69.47999999999999,69.6,68.8,65.32000000000001,61.12,56.120000000000005,50.559999999999995,44.4,40.08,36.040000000000006,32.28,29.279999999999998,27.319999999999993,26.039999999999996,25.119999999999994,24.919999999999995,24.759999999999998,24.719999999999988,24.679999999999993,24.839999999999996,24.64,24.159999999999997,23.119999999999997,22.0,20.88,19.999999999999993,19.16,18.599999999999998,17.959999999999997,16.44,14.76,13.400000000000006,12.24,11.32,11.24,11.44,11.56,11.6,11.84,13.68,16.8,20.759999999999994,24.959999999999997,29.28,32.120000000000005,33.83999999999999,34.55999999999999,35.2,35.839999999999996,36.519999999999996,37.120000000000005,37.8,38.599999999999994,38.76,38.76,38.2,37.72,36.839999999999996,36.160000000000004,35.36000000000001,34.8,34.28,33.879999999999995,33.44,33.279999999999994,33.0,32.48,31.8,31.319999999999993,30.639999999999997,30.4
8,32.68,34.04,35.440000000000005,36.76,38.68,40.2,41.44,42.32,43.04,41.0,38.32000000000001,35.16,31.599999999999998,27.72,25.400000000000002,23.760000000000005,22.640000000000008,23.000000000000004,24.400000000000006,26.799999999999997,29.68,32.92,35.68,37.919999999999995,40.00000000000001,41.88000000000001,43.519999999999996,44.84,46.120000000000005,46.96000000000001,47.720000000000006,48.52,49.28,50.0,50.68,51.32,52.4,53.44,54.44,64.56,66.4,67.72000000000001,69.32000000000001,71.28,64.67999999999999,66.76,69.0,70.96,72.48,73.44,73.72000000000001,73.67999999999999,73.52,73.52000000000001,73.52,73.71999999999998,74.28,75.04,75.71999999999998,76.52,76.91999999999999,76.48,74.96,72.28,68.56,64.40000000000002,59.960000000000015,47.599999999999994,36.04,25.48,15.64,6.5200000000000005,5.92,5.56,5.239999999999999,4.839999999999999,4.48,4.32,4.12,3.8000000000000003,3.64,3.6,3.56,3.52,3.52,3.520000000000001,3.44,3.4,3.36,3.28,3.2399999999999998,3.1999999999999997,3.1199999999999997,3.2399999999999998,5.0,11.12,22.72,32.199999999999996,45.239999999999995,58.0,66.75999999999999,70.24000000000001,76.28,78.72,79.88,80.68,81.19999999999999,81.36,81.2,80.76,80.12,79.44,78.56,77.8,77.04,76.28,75.59999999999998,74.91999999999999,73.91999999999999,72.79999999999998,71.55999999999999,70.03999999999999,68.39999999999999,66.72,64.96,63.120000000000005,61.36000000000001,59.64000000000001,58.08,56.67999999999999,55.63999999999999,55.0,54.8,55.279999999999994,56.28000000000001,57.44,58.68,59.839999999999996,60.800000000000004,61.68000000000001,62.400000000000006,62.92000000000001,63.56000000000001,64.16000000000001,64.72,65.28,66.04,66.76,67.39999999999999,67.96000000000001,68.56,68.92,69.19999999999999,69.2,69.0,68.4,67.56,66.16,64.16000000000001,61.76000000000001,59.20000000000001,56.599999999999994,54.11999999999998,52.2,50.44,49.12,48.08000000000001,47.24000000000001,46.40000000000002,45.84000000000002,45.08000000000001
9,28.839999999999996,28.359999999999996,27.6,26.600000000000005,25.639999999999997,24.479999999999997,23.2,22.2,21.599999999999998,20.919999999999998,20.72,20.799999999999997,21.119999999999997,21.599999999999998,22.400000000000006,23.12,24.04,25.12,26.16,28.160000000000004,30.359999999999996,32.56,34.92000000000001,37.32,38.64,39.92,41.36000000000001,42.31999999999999,43.28,44.080000000000005,45.0,45.68000000000001,46.76,47.839999999999996,49.279999999999994,50.599999999999994,52.199999999999996,54.04,56.040000000000006,58.08000000000001,60.24,62.20000000000001,63.919999999999995,65.76,67.56,69.2,70.96,72.36,73.24,73.76,73.96,73.67999999999999,73.24000000000001,72.36,70.96000000000001,69.24,67.23999999999998,64.96,62.76,61.12,59.96,59.2,58.6,58.12,57.36,56.15999999999999,54.32,50.16,40.07999999999999,30.200000000000003,20.68,11.679999999999998,5.319999999999999,5.0,4.8,4.6,4.44,4.24,4.160000000000001,3.9600000000000004,3.7600000000000002,3.7600000000000002,3.7600000000000002,3.72,3.64,3.68,3.6,3.44,3.4,3.48,3.56,3.6,3.6399999999999997,3.52,3.48,3.36,3.2800000000000002,3.9200000000000004,8.719999999999999,16.2,22.44,30.88,41.16,47.92,51.8,56.959999999999994,60.199999999999996,60.839999999999996,60.88000000000001,60.92,60.71999999999999,60.199999999999996,59.959999999999994,59.76,59.599999999999994,59.6,59.599999999999994,59.43999999999999,58.63999999999999,57.44,55.84000000000001,53.96,51.52000000000001,49.279999999999994,46.88,44.080000000000005,41.12,38.32,35.519999999999996,33.04,31.2,29.36,26.4,23.8,21.279999999999998,18.759999999999998,16.759999999999998,16.0,14.8,13.84,12.999999999999998,12.08,11.48,12.2,13.280000000000001,14.92,17.04,19.2,20.88,23.159999999999997,25.0,26.52,28.08,29.359999999999992,29.72,30.200000000000003,30.4,30.560000000000002,30.48,30.199999999999992,29.559999999999995,29.199999999999996,28.719999999999995,28.479999999999993,28.32,28.239999999999995,28.24,28.04,27.919999999999998,27.919999999999998,28.119999999999997
10,17.92,17.2,16.32,15.479999999999999,14.719999999999997,13.879999999999999,13.239999999999997,12.720000000000002,12.159999999999998,11.84,11.679999999999998,11.559999999999999,11.640000000000002,11.879999999999997,12.040000000000001,12.360000000000003,12.84,13.399999999999999,14.24,14.96,15.76,16.520000000000003,17.2,17.72,18.52,19.12,19.88,20.679999999999996,21.399999999999995,22.2,23.0,23.68,24.240000000000002,24.999999999999996,25.639999999999997,26.599999999999994,28.04,30.079999999999995,32.16,34.80000000000001,37.56,40.16,42.360000000000014,44.63999999999999,46.36000000000001,47.920000000000016,49.2,50.440000000000005,51.24,52.080000000000005,52.599999999999994,53.04,53.32000000000001,53.6,53.64,53.600000000000016,53.400000000000006,53.16,52.92,52.76,52.67999999999999,52.75999999999999,52.79999999999999,52.96,53.04,53.08,52.68000000000001,49.080000000000005,40.6,30.8,21.04,11.56,5.280000000000001,3.8000000000000003,3.8000000000000003,3.72,3.6799999999999997,3.6399999999999997,3.48,3.4,3.2800000000000002,3.12,3.0400000000000005,3.0800000000000005,2.9200000000000004,2.8800000000000003,2.8400000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.76,2.84,2.88,2.88,2.88,2.88,2.96,14.519999999999998,25.279999999999998,37.64000000000001,53.36,69.4,74.16000000000001,79.63999999999999,83.56,84.08000000000001,84.04,83.19999999999999,82.28,81.28,80.32,79.64,79.64,79.63999999999999,79.71999999999998,79.8,79.35999999999999,78.72000000000001,77.92,76.75999999999999,75.16,73.39999999999999,71.08,68.35999999999999,65.16000000000001,61.720000000000006,57.72000000000001,53.12,48.07999999999999,42.87999999999999,37.43999999999999,31.919999999999998,27.28,23.759999999999998,21.32,19.599999999999998,19.08,19.0,18.88,18.400000000000002,17.96,17.4,16.759999999999998,16.2,16.08,16.199999999999996,16.439999999999998,17.08,17.68,18.36,19.12,19.840000000000003,20.12,20.720000000000002,21.12,21.32,21.720000000000002,22.560000000000002,23.36,24.2,25.44,26.4,27.16,28.0,28.52,28.88,29.28,29.16,28.599999999999998,28.000000000000007,27.12
