Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171,time_step_172,time_step_173,time_step_174,time_step_175,time_step_176,time_step_177,time_step_178,time_step_179,time_step_180,time_step_181
1,235.92000000000002,235.95999999999998,235.92000000000002,236.07999999999998,236.04,235.68,234.43999999999994,233.67999999999992,233.1599999999999,232.0,230.88000000000002,230.28,229.2,228.52000000000004,227.43999999999994,226.23999999999992,225.47999999999996,223.1999999999999,220.0399999999999,216.75999999999993,212.71999999999994,206.92,201.11999999999995,194.40000000000003,186.80000000000004,178.55999999999997,169.8,159.28000000000003,148.72,138.6,129.2,122.56,119.47999999999998,120.0,124.35999999999999,130.51999999999998,137.76,145.55999999999997,153.32,161.39999999999995,171.56,184.32,197.35999999999996,208.35999999999984,217.1199999999999,223.15999999999994,224.52,224.51999999999992,224.39999999999992,223.24,220.83999999999995,218.7199999999999,215.56000000000006,211.91999999999996,207.96000000000004,205.24000000000007,203.55999999999995,203.79999999999995,204.51999999999992,204.03999999999996,202.07999999999993,197.83999999999997,192.56,187.39999999999992,183.12000000000006,179.12,176.79999999999995,172.9199999999999,167.7199999999999,161.31999999999994,153.76000000000002,143.11999999999992,129.83999999999997,105.4,74.43999999999997,45.639999999999986,19.639999999999993,-2.0000000000000013,-10.84,-10.559999999999999,-11.52,-12.479999999999999,-12.919999999999998,-13.559999999999999,-14.439999999999998,-13.759999999999998,-13.599999999999998,-13.799999999999997,-14.239999999999997,-14.479999999999997,-15.519999999999998,-15.839999999999996,-16.279999999999994,-16.639999999999993,-16.999999999999996,-17.2,-17.799999999999997,-17.599999999999998,-17.599999999999998,-17.999999999999996,-17.439999999999998,-16.879999999999995,-6.800000000000005,24.680000000000007,90.52000000000001,156.28000000000003,207.67999999999995,243.08000000000004,254.39999999999998,231.59999999999997,208.20000000000005,196.48000000000002,186.07999999999993,174.88,160.2800000000001,142.32000000000008,124.99999999999997,110.63999999999993,98.91999999999996,90.12000000000003,84.44,80.84000000000003,79.12000000000002,79.24000000000007,80.55999999999999,82.91999999999996,85.31999999999996,88.19999999999993,92.31999999999996,96.83999999999992,102.67999999999991,110.99999999999999,119.75999999999993,126.91999999999999,132.40000000000003,135.52000000000004,136.60000000000002,136.44000000000005,137.4000000000001,142.4800000000001,150.32000000000008,160.12000000000006,169.80000000000004,177.72,181.36,182.8,183.8800000000001,188.2,196.04000000000013,206.32000000000002,216.92000000000002,226.68,233.8799999999999,237.92000000000002,241.2,244.80000000000013,247.96000000000004,250.44000000000005,253.00000000000006,255.08000000000004,256.12000000000006,256.24,256.2,256.12,256.24000000000007,256.12000000000006,256.56,257.68000000000006,259.1600000000001,259.44000000000005,259.76,259.80000000000007,259.52,259.28000000000003,259.92,260.56,261.79999999999995,263.0799999999999,264.84000000000003,266.24,267.43999999999994
2,256.2,256.12,256.24000000000007,256.12000000000006,256.56,257.68000000000006,259.1600000000001,259.44000000000005,259.76,259.80000000000007,259.52,259.28000000000003,259.92,260.56,261.79999999999995,263.0799999999999,264.84000000000003,266.24,267.43999999999994,267.23999999999995,266.88,264.72,261.91999999999996,259.0399999999999,256.36,254.23999999999992,252.32,250.5999999999999,248.31999999999996,246.27999999999994,243.19999999999993,242.4,242.9199999999999,244.99999999999994,247.67999999999995,250.84,252.32000000000005,252.00000000000009,250.71999999999997,249.76,248.84,248.31999999999996,249.32000000000005,250.8800000000001,252.44000000000008,254.04000000000002,254.80000000000007,253.68,250.76000000000005,245.27999999999997,238.84000000000003,232.68,227.8,224.84,223.95999999999998,224.68,225.91999999999993,226.12000000000006,226.64000000000004,227.88,229.39999999999998,231.4,233.04000000000005,232.32000000000002,227.44000000000005,216.92000000000007,204.04000000000002,193.20000000000005,180.84000000000012,170.04000000000002,160.20000000000005,148.48000000000002,128.95999999999998,99.08000000000001,66.88000000000004,38.16000000000001,12.919999999999995,-5.320000000000005,-10.120000000000008,-10.8,-11.840000000000002,-12.800000000000002,-13.480000000000004,-13.880000000000003,-14.080000000000002,-14.520000000000003,-14.88,-15.000000000000004,-15.280000000000001,-15.639999999999997,-15.8,-15.719999999999999,-16.119999999999997,-16.239999999999995,-17.159999999999997,-17.199999999999996,-17.839999999999996,-18.4,-18.999999999999996,-18.879999999999995,-18.519999999999996,-14.479999999999997,5.040000000000008,27.799999999999983,58.120000000000005,102.24,147.44000000000005,173.60000000000002,194.67999999999995,209.2,213.04000000000002,214.76000000000005,219.8,224.16000000000003,222.16000000000008,198.32,166.76000000000005,131.88,100.07999999999998,73.24,60.84,52.44000000000001,47.84,43.00000000000001,39.28000000000002,39.760000000000005,41.88000000000001,43.67999999999999,44.28,44.040000000000006,42.92,41.36,39.959999999999994,39.2,38.959999999999994,38.83999999999999,39.12,40.03999999999999,40.599999999999994,41.120000000000005,41.96000000000001,42.160000000000004,42.2,42.32,41.959999999999994,41.95999999999999,42.88000000000001,43.84000000000002,46.72000000000001,53.68,61.36,71.03999999999999,84.63999999999999,104.28,125.40000000000002,148.95999999999998,172.27999999999997,192.12000000000006,205.63999999999993,214.56,220.76000000000005,225.15999999999997,228.36,230.27999999999997,231.04,230.87999999999997,230.68,230.36000000000007,230.39999999999998,230.88,231.48000000000002,231.75999999999996,232.51999999999992,232.95999999999992,232.43999999999994,232.43999999999994,232.31999999999994,232.55999999999995,232.71999999999997,233.47999999999996,234.27999999999997
3,224.68,225.91999999999993,226.12000000000006,226.64000000000004,227.88,229.39999999999998,231.4,233.04000000000005,232.32000000000002,227.44000000000005,216.92000000000007,204.04000000000002,193.20000000000005,180.84000000000012,170.04000000000002,160.20000000000005,148.48000000000002,128.95999999999998,99.08000000000001,66.88000000000004,38.16000000000001,12.919999999999995,-5.320000000000005,-10.120000000000008,-10.8,-11.840000000000002,-12.800000000000002,-13.480000000000004,-13.880000000000003,-14.080000000000002,-14.520000000000003,-14.88,-15.000000000000004,-15.280000000000001,-15.639999999999997,-15.8,-15.719999999999999,-16.119999999999997,-16.239999999999995,-17.159999999999997,-17.199999999999996,-17.839999999999996,-18.4,-18.999999999999996,-18.879999999999995,-18.519999999999996,-14.479999999999997,5.040000000000008,27.799999999999983,58.120000000000005,102.24,147.44000000000005,173.60000000000002,194.67999999999995,209.2,213.04000000000002,214.76000000000005,219.8,224.16000000000003,222.16000000000008,198.32,166.76000000000005,131.88,100.07999999999998,73.24,60.84,52.44000000000001,47.84,43.00000000000001,39.28000000000002,39.760000000000005,41.88000000000001,43.67999999999999,44.28,44.040000000000006,42.92,41.36,39.959999999999994,39.2,38.959999999999994,38.83999999999999,39.12,40.03999999999999,40.599999999999994,41.120000000000005,41.96000000000001,42.160000000000004,42.2,42.32,41.959999999999994,41.95999999999999,42.88000000000001,43.84000000000002,46.72000000000001,53.68,61.36,71.03999999999999,84.63999999999999,104.28,125.40000000000002,148.95999999999998,172.27999999999997,192.12000000000006,205.63999999999993,214.56,220.76000000000005,225.15999999999997,228.36,230.27999999999997,231.04,230.87999999999997,230.68,230.36000000000007,230.39999999999998,230.88,231.48000000000002,231.75999999999996,232.51999999999992,232.95999999999992,232.43999999999994,232.43999999999994,232.31999999999994,232.55999999999995,232.71999999999997,233.47999999999996,234.27999999999997,234.79999999999995,235.20000000000005,235.55999999999997,235.64000000000004,235.08000000000007,234.76000000000005,233.88,233.08000000000004,231.88,229.51999999999998,226.24,222.16000000000003,217.8,213.96000000000004,210.79999999999995,208.68,207.59999999999997,207.68,208.56000000000003,210.95999999999998,214.71999999999997,219.44,223.91999999999996,228.60000000000005,233.35999999999999,237.07999999999993,239.55999999999992,241.28000000000003,242.2,242.20000000000002,241.6399999999999,240.99999999999994,240.76,240.0,239.2,238.72,237.60000000000008,235.64000000000007,233.60000000000002,231.76,229.00000000000006,227.36000000000004,225.9999999999999,224.88,223.07999999999998,222.43999999999997,222.15999999999997,222.16000000000003,222.64,223.35999999999996,223.76,224.48000000000002,225.79999999999993,227.67999999999995,229.95999999999992
4,213.96000000000004,210.79999999999995,208.68,207.59999999999997,207.68,208.56000000000003,210.95999999999998,214.71999999999997,219.44,223.91999999999996,228.60000000000005,233.35999999999999,237.07999999999993,239.55999999999992,241.28000000000003,242.2,242.20000000000002,241.6399999999999,240.99999999999994,240.76,240.0,239.2,238.72,237.60000000000008,235.64000000000007,233.60000000000002,231.76,229.00000000000006,227.36000000000004,225.9999999999999,224.88,223.07999999999998,222.43999999999997,222.15999999999997,222.16000000000003,222.64,223.35999999999996,223.76,224.48000000000002,225.79999999999993,227.67999999999995,229.95999999999992,232.79999999999993,235.07999999999998,237.51999999999992,239.51999999999998,241.84,243.23999999999995,245.12,246.27999999999997,246.95999999999998,246.4799999999999,244.8,241.28000000000006,236.79999999999993,231.91999999999996,225.88000000000005,219.60000000000002,213.16,206.20000000000002,198.84000000000006,191.83999999999995,185.76000000000016,180.16000000000008,172.5600000000001,165.12000000000003,158.76000000000013,153.83999999999997,148.32,144.28000000000003,138.55999999999992,126.19999999999993,102.16000000000001,71.4,41.52000000000001,14.479999999999993,-5.599999999999998,-14.959999999999992,-16.19999999999999,-16.359999999999992,-16.559999999999988,-17.24,-17.84,-18.839999999999996,-20.039999999999996,-21.319999999999997,-21.959999999999994,-22.239999999999995,-22.519999999999996,-22.599999999999998,-22.48,-22.759999999999998,-23.359999999999996,-24.119999999999997,-24.439999999999998,-24.72,-25.279999999999994,-24.83999999999999,-20.439999999999998,0.2000000000000015,19.480000000000004,58.52000000000001,111.19999999999999,167.72,201.84000000000003,233.8400000000001,245.07999999999993,240.44000000000005,225.32000000000005,206.67999999999995,190.79999999999995,177.0399999999999,165.47999999999993,158.99999999999997,171.12000000000006,186.24000000000007,201.48000000000002,216.68,229.15999999999997,231.07999999999998,229.72000000000003,227.71999999999997,224.28000000000003,222.08000000000004,221.12,221.2,221.08000000000004,221.48000000000005,221.36000000000007,221.16000000000003,220.84000000000003,220.43999999999994,220.52,219.96000000000004,219.51999999999995,218.92,217.56000000000006,216.32,215.36,213.88000000000005,212.68,212.32000000000002,211.76,211.83999999999997,212.27999999999997,212.35999999999996,212.64000000000001,212.28000000000003,211.88000000000002,211.88,212.03999999999994,211.79999999999998,212.07999999999998,212.03999999999994,211.83999999999997,211.31999999999994,210.91999999999996,210.79999999999995,211.07999999999996,210.71999999999997,210.51999999999998,210.84,210.60000000000002,210.12,210.56,210.83999999999997,211.15999999999997,211.39999999999998,211.64,211.71999999999997,211.59999999999997,211.19999999999996,211.28000000000003,211.47999999999993,211.36,211.1599999999999,211.2,210.9199999999999,210.39999999999992,209.40000000000003,209.44000000000005
5,209.63999999999996,209.16,209.0,208.28000000000003,207.19999999999996,207.07999999999998,206.87999999999994,206.51999999999992,206.07999999999996,205.76000000000002,204.92000000000007,204.04000000000005,203.40000000000003,203.48000000000008,203.12000000000006,203.12000000000003,202.84,202.11999999999995,200.95999999999998,199.83999999999997,197.71999999999997,195.47999999999996,193.79999999999995,192.39999999999998,191.19999999999996,191.60000000000008,192.44,193.84000000000006,194.48000000000002,195.88,196.36,196.80000000000004,197.08000000000004,197.88000000000002,198.6,199.76,201.28000000000003,202.68000000000004,204.08,205.27999999999997,206.27999999999992,206.87999999999994,206.59999999999997,206.32,205.08,204.28,203.24000000000007,202.32,201.44,201.12,200.6799999999999,200.8,201.75999999999996,202.47999999999996,202.03999999999996,201.44000000000005,199.72000000000003,197.64000000000004,196.44,196.32000000000005,193.40000000000003,190.40000000000006,185.08,176.88000000000005,166.60000000000002,158.28,150.27999999999997,144.47999999999996,141.56,140.59999999999997,139.56,135.52000000000004,118.87999999999998,90.80000000000003,60.68000000000004,31.200000000000017,4.840000000000001,-8.999999999999995,-11.999999999999998,-12.920000000000003,-13.64,-14.280000000000005,-14.64,-15.479999999999997,-16.0,-16.56,-16.84,-17.6,-18.04,-18.359999999999996,-18.72,-18.999999999999996,-19.399999999999995,-19.319999999999997,-20.08,-20.4,-20.92,-20.759999999999998,-21.040000000000003,-13.84,-0.5199999999999951,23.640000000000008,59.800000000000026,112.08000000000003,166.79999999999995,190.79999999999995,201.47999999999996,198.47999999999996,169.11999999999995,126.51999999999998,110.95999999999998,105.91999999999996,106.71999999999997,99.20000000000002,95.88000000000005,91.16000000000004,81.76000000000002,70.71999999999998,88.6,123.60000000000002,164.2399999999999,202.3200000000001,236.31999999999994,256.8399999999999,257.15999999999997,248.83999999999997,239.20000000000005,231.36,226.72000000000003,225.64000000000004,225.32000000000005,226.28,226.27999999999997,226.59999999999997,226.76,228.8,230.11999999999998,232.44,233.95999999999995,234.76,234.79999999999995,234.79999999999998,234.08000000000004,233.88,234.00000000000003,234.12000000000003,234.64000000000004,235.04000000000005,235.07999999999996,234.07999999999998,232.16000000000008,229.91999999999996,227.24000000000007,225.44,225.04000000000002,225.8,226.99999999999997,229.60000000000002,232.64,235.92000000000002,239.04000000000002,241.52,243.75999999999993,245.11999999999995,245.3599999999999,245.27999999999997,246.12,246.04000000000002,245.4799999999999,244.95999999999992,243.47999999999996,239.7599999999999,235.48,229.83999999999995,223.4,216.52000000000004,209.07999999999998,201.5199999999999,193.95999999999992,186.75999999999996,181.2
6,243.52,246.56,247.24000000000007,247.24,247.35999999999999,247.51999999999992,248.2,248.99999999999994,249.72,250.32000000000005,251.12,251.35999999999996,251.60000000000002,251.48000000000005,250.72000000000008,249.88,249.07999999999998,248.0,247.23999999999998,246.87999999999997,245.96000000000004,244.91999999999996,243.96000000000004,242.32,240.76,239.08000000000004,237.51999999999992,235.72000000000003,234.59999999999997,233.2,232.04000000000002,232.0,234.1999999999999,240.15999999999997,246.27999999999992,252.35999999999996,257.48,260.56,260.2,260.19999999999993,261.36000000000007,263.52000000000004,265.5999999999999,268.52000000000004,270.84,271.68000000000006,272.0,272.28,271.84,270.96000000000004,269.60000000000014,267.84000000000003,265.9999999999999,264.91999999999996,264.99999999999994,266.56,267.4799999999999,267.4,264.48,259.31999999999994,251.8,241.24,229.72000000000003,220.71999999999997,211.28000000000003,193.91999999999996,180.5199999999999,165.5599999999999,147.52000000000004,131.24,123.6,112.52,98.11999999999999,74.56,51.04000000000001,28.359999999999992,8.800000000000002,-3.3199999999999963,-4.000000000000004,-4.4799999999999995,-4.879999999999999,-5.5600000000000005,-6.12,-7.0,-7.800000000000002,-8.240000000000002,-7.719999999999995,-7.799999999999997,-8.36,-8.079999999999998,-8.159999999999998,-8.959999999999999,-9.279999999999998,-9.120000000000001,-9.52,-10.0,-10.359999999999998,-10.52,-10.239999999999998,-10.16,-9.04,2.6000000000000023,20.72,87.36000000000003,151.47999999999996,200.20000000000005,232.24000000000004,257.72,236.32,220.63999999999996,220.56,223.39999999999998,220.60000000000008,212.72000000000006,198.64,182.28000000000003,170.23999999999995,165.32,165.68000000000004,171.0,179.92000000000004,190.04000000000008,200.44000000000003,209.64000000000004,217.67999999999995,224.32000000000002,228.51999999999998,231.04,233.12,234.44000000000003,233.8800000000001,234.08,234.0800000000001,233.68000000000004,233.12,233.83999999999997,234.28000000000003,234.35999999999996,234.0,235.35999999999999,235.72000000000006,235.88000000000005,236.04000000000002,236.44000000000005,235.40000000000006,235.24000000000007,234.56000000000003,234.36,234.40000000000003,233.92000000000002,233.83999999999997,233.91999999999996,233.16,232.28000000000006,232.04000000000002,231.28000000000003,229.44,226.63999999999996,222.11999999999995,216.27999999999994,209.72,205.28000000000003,204.08,209.35999999999996,218.44,229.4,240.68000000000006,250.16000000000003,255.28,257.59999999999997,258.75999999999993,258.88,259.43999999999994,259.6799999999999,260.23999999999995,260.56,260.72,261.28,261.6,261.71999999999997,262.28
7,261.72,261.8,261.04,260.87999999999994,260.7999999999999,260.7199999999999,260.3999999999999,260.9199999999999,260.19999999999993,260.11999999999995,259.7199999999999,258.8,257.24,255.67999999999998,252.84000000000006,250.32,248.36000000000004,245.48000000000002,242.44,239.52000000000004,235.80000000000004,231.83999999999995,228.76,227.08000000000004,225.96000000000004,226.56,228.04,230.59999999999997,233.88000000000002,238.08,242.08000000000004,245.60000000000008,248.8,251.56,253.56000000000003,255.59999999999997,257.48,258.2,258.15999999999997,258.08,257.68,258.32,259.1600000000001,259.32,332.2800000000001,432.91999999999985,531.8,630.28,728.0799999999999,752.76,749.8000000000001,747.2800000000002,745.9200000000001,746.72,748.76,752.0799999999999,756.0400000000001,758.9199999999998,760.6400000000001,760.24,756.3199999999999,749.8000000000001,740.9200000000001,729.4800000000002,716.1200000000001,702.2,687.7600000000001,675.5600000000002,665.4799999999999,658.9200000000001,654.44,656.52,656.4800000000001,652.3199999999999,637.96,612.5200000000001,583.3199999999999,455.32000000000005,332.55999999999995,219.31999999999994,117.39999999999998,15.080000000000002,13.920000000000002,12.680000000000003,11.640000000000002,10.56,10.24,10.160000000000004,9.760000000000003,9.160000000000002,8.44,7.76,7.079999999999998,6.280000000000001,5.48,5.5200000000000005,5.240000000000002,4.320000000000001,5.2,14.240000000000002,25.88,55.0,97.55999999999995,148.83999999999997,188.84000000000003,221.19999999999996,232.08,236.08000000000004,208.12,183.35999999999996,161.32000000000002,143.12,118.63999999999996,115.32,113.2,110.64000000000004,106.92000000000003,102.64000000000004,99.28000000000003,95.56,94.47999999999999,95.03999999999999,108.36000000000006,130.72,161.24,195.9199999999999,232.59999999999994,257.84000000000003,272.6,278.23999999999995,278.47999999999985,276.0799999999999,273.3599999999999,270.88,268.56000000000006,267.08000000000004,266.04,264.71999999999997,265.2399999999999,266.63999999999993,267.91999999999996,269.71999999999997,271.5999999999999,273.36,274.9599999999999,275.91999999999996,276.3599999999999,277.7199999999999,278.15999999999997,296.2799999999999,398.55999999999983,500.4,601.9600000000002,703.6800000000001,787.3999999999999,787.7200000000003,788.6800000000003,789.8,790.52,791.3199999999999,791.6400000000001,792.1200000000001,792.0000000000002,792.52,792.6000000000001,792.8400000000001,793.24,793.3200000000002,792.7200000000003,792.5200000000001,792.3200000000002,791.76,791.8799999999998,792.52,792.6400000000001,793.0799999999999,793.32,793.5200000000002,793.3600000000001,793.3600000000001,793.4000000000001
8,789.3199999999998,788.3199999999999,785.6400000000001,784.1200000000001,782.2000000000002,780.7199999999999,779.3199999999999,779.3199999999999,778.6400000000001,779.0,779.5600000000002,780.5600000000001,781.1599999999999,782.3200000000002,783.16,783.1600000000001,782.8799999999999,782.1600000000001,780.7600000000001,778.9599999999998,777.6,776.44,776.1200000000003,775.6000000000001,776.84,777.8000000000002,779.1600000000001,780.72,783.0000000000002,784.4399999999999,786.44,788.7600000000002,790.4400000000003,792.36,794.6800000000001,796.6399999999999,797.4000000000001,798.3200000000003,798.4400000000003,797.3200000000004,795.6800000000001,794.2800000000002,792.28,790.12,788.1200000000001,785.9600000000003,782.9200000000003,778.9999999999999,774.6000000000001,767.7199999999998,759.4000000000001,647.6000000000001,532.9999999999998,418.28,305.5999999999999,193.87999999999994,186.7199999999999,182.56000000000006,179.39999999999998,176.43999999999994,174.68,173.27999999999997,173.64000000000004,173.59999999999997,286.03999999999985,389.08000000000004,492.6400000000001,602.3600000000002,689.7199999999998,660.4399999999998,580.2400000000001,441.2399999999999,296.08000000000015,173.20000000000002,55.16,-2.4400000000000026,-2.159999999999996,-2.7600000000000002,-3.159999999999994,-3.5599999999999943,-4.319999999999994,-4.719999999999992,-5.5999999999999925,-6.119999999999992,-6.559999999999991,-6.759999999999989,-7.0399999999999885,-7.199999999999991,-7.39999999999999,-7.159999999999993,-7.280000000000001,-7.559999999999996,-7.639999999999996,-7.519999999999996,-7.999999999999991,-7.479999999999994,-4.079999999999995,7.919999999999992,34.080000000000005,96.08000000000003,147.51999999999998,189.48000000000002,221.15999999999997,240.44000000000003,226.00000000000003,221.8,221.52000000000004,218.39999999999992,208.79999999999995,193.84000000000003,176.2,161.39999999999995,152.19999999999993,149.16,151.96,159.84,171.39999999999995,190.92000000000002,212.44000000000003,232.11999999999998,249.28000000000003,261.67999999999995,264.32000000000005,262.56000000000006,259.87999999999994,257.35999999999996,256.0400000000001,255.6399999999999,255.95999999999998,256.48,256.91999999999996,256.56000000000006,256.91999999999996,256.52000000000004,255.67999999999995,254.64,253.71999999999997,251.32,249.59999999999988,247.64,244.59999999999997,239.95999999999998,234.8,229.51999999999998,225.04000000000002,222.43999999999997,222.83999999999997,226.67999999999995,232.07999999999993,237.56,242.51999999999998,247.40000000000003,249.92000000000002,251.59999999999997,253.23999999999995,254.67999999999995,255.23999999999995,256.32,256.71999999999997,257.23999999999995,257.67999999999995,258.40000000000003,258.68000000000006,259.3999999999999,259.84000000000003,260.44000000000005,261.12,262.12,263.55999999999995,264.68000000000006,265.7199999999999,266.43999999999994,266.96,267.12,267.88000000000005,268.15999999999997,268.79999999999995,269.56000000000006,269.6,269.28,269.52
9,269.28,269.52,269.44000000000005,269.76,269.91999999999996,270.7200000000001,271.04,271.28,271.28,271.55999999999995,271.19999999999993,270.79999999999995,270.28,268.67999999999995,267.2399999999999,265.48,263.24,260.72,259.55999999999995,257.91999999999996,256.4,256.15999999999997,255.91999999999996,255.55999999999995,256.00000000000006,257.1600000000001,257.44,258.32,259.32000000000005,260.0799999999999,260.92,261.9999999999999,262.72,263.67999999999995,264.31999999999994,264.88,265.4,265.9999999999999,265.52,265.59999999999997,265.43999999999994,264.92,263.20000000000005,261.3999999999999,259.19999999999993,255.07999999999998,250.59999999999997,244.59999999999997,237.76,230.31999999999994,222.95999999999998,215.55999999999995,211.28000000000003,208.44,207.00000000000006,208.88,213.3599999999999,218.35999999999999,222.87999999999994,225.56000000000006,223.80000000000004,218.76,212.5999999999999,206.27999999999997,200.64000000000004,197.1999999999999,194.39999999999998,191.23999999999998,188.20000000000005,185.64,182.60000000000008,177.15999999999997,163.68000000000006,136.79999999999998,108.27999999999999,80.44,55.68000000000001,39.160000000000004,35.8,33.72,32.08,30.360000000000007,28.68,27.6,26.92,26.520000000000003,26.599999999999998,27.320000000000004,27.72,28.159999999999997,27.919999999999998,27.479999999999997,26.319999999999993,25.28,24.519999999999996,23.88,23.439999999999998,23.48,25.360000000000007,49.35999999999999,86.20000000000005,143.72000000000003,202.24000000000004,251.31999999999996,270.8399999999999,274.19999999999993,256.0,240.03999999999996,231.08000000000004,227.40000000000003,219.8,213.00000000000006,204.76,199.95999999999998,199.51999999999998,208.83999999999997,219.80000000000004,229.32,237.51999999999998,243.2,246.23999999999995,246.99999999999994,247.12000000000006,245.32,243.2,241.56,240.15999999999997,239.12,238.59999999999997,239.48000000000002,239.95999999999998,241.28000000000003,243.0,244.44,245.12,246.44,247.60000000000002,248.12,248.8,249.52000000000004,250.08000000000007,250.24000000000012,250.24000000000004,250.40000000000003,250.8,250.92,251.2,251.39999999999998,250.95999999999998,249.8,248.8,247.56,246.07999999999998,245.20000000000005,244.12000000000012,241.71999999999997,238.75999999999993,235.84000000000006,233.28000000000003,231.88,233.19999999999987,235.91999999999993,239.55999999999995,243.43999999999994,247.2,249.43999999999988,251.03999999999996,252.68,253.39999999999992,254.31999999999994,256.43999999999994,258.47999999999996,259.76,261.35999999999996,262.0799999999999,261.88,260.59999999999997,259.76,258.43999999999994,257.72,256.0
10,231.88,233.19999999999987,235.91999999999993,239.55999999999995,243.43999999999994,247.2,249.43999999999988,251.03999999999996,252.68,253.39999999999992,254.31999999999994,256.43999999999994,258.47999999999996,259.76,261.35999999999996,262.0799999999999,261.88,260.59999999999997,259.76,258.43999999999994,257.72,256.0,255.0,253.76000000000002,252.84000000000003,250.96000000000004,249.39999999999992,247.88000000000002,246.12,244.4,242.36,240.60000000000008,239.2000000000001,238.48000000000008,238.04000000000008,238.51999999999998,239.91999999999996,241.96,244.40000000000003,248.0,251.60000000000002,254.80000000000004,256.8,258.2000000000001,258.6,259.0,259.20000000000005,259.9200000000001,260.8,262.48,264.76000000000005,267.44000000000005,269.48,271.0400000000001,270.88,269.24,266.96000000000004,266.52,266.36,267.28,269.1199999999999,270.44000000000005,270.0799999999999,268.32000000000005,265.79999999999995,259.43999999999994,252.92,245.12000000000003,237.83999999999997,225.68000000000006,214.40000000000006,201.88000000000002,187.7999999999999,169.32,146.11999999999995,114.16000000000003,83.35999999999999,55.040000000000035,31.519999999999996,17.520000000000003,14.76,12.4,10.639999999999997,9.639999999999997,9.159999999999997,8.119999999999997,7.519999999999994,7.199999999999997,6.039999999999996,4.679999999999999,4.24,3.3999999999999986,2.679999999999999,2.2399999999999967,2.3199999999999994,1.9600000000000015,1.7999999999999996,1.5999999999999963,1.3999999999999957,0.839999999999999,0.4800000000000013,0.9199999999999974,3.2799999999999985,13.119999999999997,27.080000000000005,45.319999999999986,84.04000000000002,124.08000000000001,155.15999999999997,174.04000000000002,184.99999999999991,172.64000000000004,154.72,138.44000000000003,131.11999999999998,129.32000000000002,129.4,130.91999999999996,131.51999999999995,129.27999999999992,123.39999999999995,117.23999999999998,111.91999999999999,107.72,105.44,106.04000000000002,109.0,113.40000000000006,120.44,129.8,140.08,152.6,163.04000000000005,169.84000000000003,172.88,173.32,168.3600000000001,163.08000000000004,158.12,154.00000000000006,150.08000000000004,149.00000000000006,150.00000000000006,152.9200000000001,157.48000000000002,163.5600000000001,169.4000000000001,174.08000000000015,178.16000000000003,181.76000000000005,184.88,187.24,189.39999999999998,190.59999999999997,191.2,191.51999999999998,191.28000000000003,191.4,191.92,192.32,192.52000000000004,193.12,194.16000000000005,194.64000000000007,195.84000000000003,197.44,198.76000000000005,199.56000000000006,201.9600000000001,203.60000000000005,205.60000000000008,208.27999999999997,211.20000000000002,212.39999999999998,214.27999999999997,215.35999999999999,215.64000000000001,215.31999999999996,215.43999999999994,215.04000000000002,214.59999999999997
