Jump_Number,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87,time_step_88,time_step_89,time_step_90,time_step_91,time_step_92,time_step_93,time_step_94,time_step_95,time_step_96,time_step_97,time_step_98,time_step_99,time_step_100,time_step_101,time_step_102,time_step_103,time_step_104,time_step_105,time_step_106,time_step_107,time_step_108,time_step_109,time_step_110,time_step_111,time_step_112,time_step_113,time_step_114,time_step_115,time_step_116,time_step_117,time_step_118,time_step_119,time_step_120,time_step_121,time_step_122,time_step_123,time_step_124,time_step_125,time_step_126,time_step_127,time_step_128,time_step_129,time_step_130,time_step_131,time_step_132,time_step_133,time_step_134,time_step_135,time_step_136,time_step_137,time_step_138,time_step_139,time_step_140,time_step_141,time_step_142,time_step_143,time_step_144,time_step_145,time_step_146,time_step_147,time_step_148,time_step_149,time_step_150,time_step_151,time_step_152,time_step_153,time_step_154,time_step_155,time_step_156,time_step_157,time_step_158,time_step_159,time_step_160,time_step_161,time_step_162,time_step_163,time_step_164,time_step_165,time_step_166,time_step_167,time_step_168,time_step_169,time_step_170,time_step_171
1,51.6,51.239999999999995,50.720000000000006,50.480000000000004,50.0,49.519999999999996,49.08,48.63999999999999,48.160000000000004,47.63999999999999,47.040000000000006,46.559999999999995,45.71999999999999,44.48,43.2,41.63999999999999,39.48,37.16,34.63999999999999,31.759999999999994,28.52,25.36,21.92,18.68,16.04,13.959999999999999,12.64,12.12,12.560000000000002,13.600000000000001,14.960000000000003,16.96,19.519999999999996,22.039999999999992,24.959999999999997,28.719999999999995,33.8,38.959999999999994,44.07999999999999,49.279999999999994,54.2,57.68000000000001,61.279999999999994,65.03999999999999,68.47999999999999,71.84,75.24,78.16000000000001,80.72,82.52,83.75999999999999,84.48,85.08,85.43999999999998,85.48,85.2,84.36000000000003,83.24000000000001,82.12,81.19999999999999,80.08000000000001,78.96,77.15999999999998,74.76,71.92,68.64,64.99999999999999,60.52,51.640000000000015,39.63999999999999,28.679999999999996,18.4,9.719999999999999,6.04,6.04,5.56,5.279999999999999,5.12,4.640000000000001,4.36,4.44,4.28,4.12,4.0,3.8000000000000003,3.5200000000000005,3.4400000000000004,3.28,3.28,3.36,3.3600000000000003,3.1600000000000006,3.12,3.12,2.92,2.72,2.12,7.24,20.64,36.99999999999999,54.03999999999999,72.35999999999999,85.00000000000001,89.03999999999999,89.8,89.48000000000002,87.32000000000001,84.07999999999998,80.28,75.60000000000001,70.00000000000001,64.16,58.59999999999999,53.4,48.72,45.15999999999998,42.56000000000001,40.39999999999999,38.760000000000005,38.08,37.95999999999999,38.36,39.43999999999999,41.6,44.23999999999999,47.639999999999986,52.440000000000005,57.63999999999998,61.959999999999994,65.48,67.40000000000002,67.27999999999999,65.92,64.4,63.39999999999999,63.12,63.52,64.24,64.84,64.52,63.96,63.12,62.39999999999999,61.92000000000001,61.88,61.92,62.00000000000001,61.96,61.800000000000004,61.68000000000001,61.640000000000015,61.440000000000005,61.199999999999996,60.879999999999995,60.67999999999999,60.31999999999999,60.239999999999995,60.160000000000004,60.12,60.07999999999999,59.96,59.8,59.8,59.92,59.839999999999996,59.959999999999994,59.92000000000001,59.8,59.400000000000006,59.08000000000001,58.56
2,59.8,59.92,59.839999999999996,59.959999999999994,59.92000000000001,59.8,59.400000000000006,59.08000000000001,58.56,58.040000000000006,57.32000000000001,56.680000000000014,55.88000000000002,54.96,53.959999999999994,52.92,51.64000000000001,50.24,49.24000000000001,48.43999999999999,48.04,48.12,48.559999999999995,48.919999999999995,49.36,49.59999999999999,50.0,50.559999999999995,51.0,51.48,52.080000000000005,52.52,52.84000000000001,53.36000000000001,54.040000000000006,54.72000000000001,55.44000000000002,56.32000000000001,57.12000000000001,57.88000000000001,58.760000000000005,59.56000000000001,60.32000000000002,61.24,61.96000000000001,62.6,63.40000000000001,64.08000000000001,64.76,65.56,66.52,67.44000000000001,68.52000000000001,69.8,71.36,73.04,75.16,78.72000000000001,82.2,85.28,87.04000000000002,87.52,85.71999999999998,82.92,79.68000000000002,76.08,71.24000000000001,63.88000000000001,51.76,38.68,26.84,16.72,9.68,8.0,7.68,7.16,6.84,6.4799999999999995,6.12,5.84,5.64,5.52,5.4399999999999995,5.319999999999999,5.199999999999999,5.2,5.12,5.08,5.12,4.92,4.800000000000001,4.6000000000000005,4.32,4.12,4.0,3.7600000000000007,4.12,13.440000000000001,23.599999999999994,35.68,49.639999999999986,63.92,68.96,73.36000000000001,75.72,75.8,74.4,72.24,68.4,62.88000000000001,53.199999999999996,42.4,31.28,20.999999999999996,12.36,8.319999999999999,5.960000000000001,5.12,4.840000000000001,4.800000000000002,4.800000000000002,4.760000000000001,4.6800000000000015,4.5600000000000005,4.48,4.4,4.240000000000001,3.9600000000000004,3.8000000000000003,3.6,3.4800000000000004,3.5599999999999996,3.72,3.8400000000000007,3.960000000000001,3.960000000000001,3.88,4.040000000000001,3.96,3.96,3.9600000000000004,4.040000000000001,3.8400000000000003,3.880000000000001,4.0,4.119999999999999,4.36,5.360000000000001,8.839999999999998,13.28,19.159999999999997,26.040000000000006,33.03999999999999,38.32,43.03999999999999,46.88,49.839999999999996,51.99999999999999,53.48,54.47999999999999,54.959999999999994,55.199999999999996,55.28,55.4,55.519999999999996,55.64,55.75999999999999,56.15999999999999,56.64,56.72,56.92
3,55.160000000000004,55.63999999999999,56.2,56.68000000000001,56.84,56.88,56.84000000000001,56.92000000000001,56.72,56.64000000000001,56.4,56.08,55.44,55.0,54.68000000000001,54.400000000000006,54.120000000000005,54.03999999999999,53.8,53.4,52.72,51.919999999999995,50.8,49.720000000000006,48.559999999999995,47.64,46.6,45.879999999999995,45.480000000000004,45.36,45.52,46.160000000000004,47.2,48.32,49.76,50.99999999999999,52.239999999999995,53.28,54.199999999999996,55.0,55.99999999999999,57.04,58.040000000000006,59.879999999999995,61.839999999999996,64.11999999999999,66.67999999999999,69.72,72.43999999999998,75.11999999999998,77.6,79.64000000000001,81.11999999999999,81.75999999999999,81.71999999999998,81.44000000000001,80.63999999999999,79.32000000000001,77.75999999999999,76.36,74.43999999999998,72.76,71.48,70.48,69.28,67.75999999999999,63.23999999999999,54.16,42.12000000000001,30.4,19.28,11.279999999999996,7.800000000000001,7.5600000000000005,7.24,7.04,6.68,6.52,6.12,5.8,5.52,5.44,5.28,5.12,5.16,5.12,5.0,4.840000000000001,4.5600000000000005,4.36,4.200000000000001,4.040000000000001,3.8400000000000007,5.28,18.400000000000002,27.52,39.4,52.440000000000005,62.760000000000005,61.0,62.76,60.91999999999999,56.92000000000001,52.8,47.0,41.84,37.76,34.84,33.4,33.92,34.32000000000001,34.52,34.839999999999996,35.0,35.0,34.96000000000001,35.239999999999995,35.08,34.99999999999999,35.040000000000006,35.16,34.84,34.68000000000001,34.519999999999996,34.16,33.72,33.28,33.0,32.52,32.160000000000004,31.76,31.439999999999998,31.16,30.919999999999998,30.560000000000002,30.400000000000006,30.32,30.159999999999997,30.199999999999996,30.32,30.4,30.519999999999996,30.4,30.32,30.36,30.439999999999998,30.24,30.439999999999998,30.439999999999998,30.479999999999997,30.32,30.4,30.28,30.32,30.32,30.479999999999997,30.680000000000003,30.88,31.0,31.16,31.12,31.16,31.12,31.24,31.28,31.48,31.520000000000003,31.720000000000002,31.92,32.08,32.16
4,34.28,34.599999999999994,34.879999999999995,35.120000000000005,35.6,35.68,35.800000000000004,36.040000000000006,36.24,36.2,36.28,36.239999999999995,35.959999999999994,35.64,35.24,34.8,34.36000000000001,33.96,33.440000000000005,32.84,32.4,31.92,31.44,30.800000000000004,30.2,29.320000000000004,28.360000000000003,27.64,27.240000000000006,27.160000000000004,27.480000000000004,28.12,28.960000000000004,30.000000000000004,31.04,32.24,33.56,34.64,35.8,36.8,37.84,39.080000000000005,40.440000000000005,41.8,43.2,44.51999999999999,45.480000000000004,46.40000000000001,47.080000000000005,47.80000000000001,48.800000000000004,50.12000000000001,51.519999999999996,52.92,54.519999999999996,55.88,57.000000000000014,58.2,59.52000000000001,60.720000000000006,62.08,63.64,64.88000000000001,66.32000000000001,67.64,68.39999999999999,67.19999999999999,60.31999999999999,48.88,36.480000000000004,24.080000000000002,13.000000000000002,7.600000000000001,6.4,5.92,5.5600000000000005,5.320000000000001,5.120000000000001,4.800000000000001,4.6000000000000005,4.5600000000000005,4.48,4.32,4.240000000000001,4.200000000000001,4.000000000000001,3.9200000000000004,3.9200000000000004,3.9600000000000004,3.72,3.6399999999999992,3.52,3.32,2.7599999999999993,5.08,12.96,25.16,42.599999999999994,61.72,78.79999999999998,85.88,87.76,83.99999999999997,74.88,63.67999999999999,55.67999999999999,47.44,46.99999999999999,42.68000000000001,40.39999999999999,39.88,41.96,37.96,42.71999999999999,47.4,51.28,53.6,54.52000000000001,54.36000000000001,53.68000000000001,53.04000000000001,52.480000000000004,52.040000000000006,51.88000000000001,51.8,51.56,51.28,50.959999999999994,50.400000000000006,49.96000000000001,50.0,50.08,50.4,50.79999999999999,51.279999999999994,51.64,52.19999999999999,52.68,53.4,54.12,54.75999999999999,55.28,55.44,55.36,54.68,53.63999999999999,52.480000000000004,51.2,50.11999999999999,49.720000000000006,49.96,50.63999999999999,51.99999999999999,53.76,55.639999999999986,57.56,59.07999999999999,60.44,61.359999999999985,61.87999999999999,61.99999999999999,62.43999999999999,62.559999999999995,62.63999999999999,62.72,62.76,62.199999999999996,61.68,60.72,59.279999999999994,57.720000000000006
5,57.28,57.400000000000006,57.67999999999999,57.96,58.19999999999999,58.32,58.4,58.4,58.32,58.12,57.760000000000005,57.4,56.88000000000001,56.44,55.919999999999995,55.4,54.76,54.07999999999999,53.31999999999999,52.75999999999999,52.239999999999995,51.839999999999996,51.51999999999999,51.35999999999999,50.91999999999999,50.48,50.239999999999995,50.279999999999994,50.08,50.44,50.839999999999996,51.120000000000005,51.400000000000006,52.03999999999999,52.64,53.76,55.239999999999995,56.71999999999999,58.43999999999999,59.919999999999995,61.08,62.199999999999996,63.39999999999999,64.75999999999999,66.44000000000001,68.32000000000001,70.56,73.08,75.59999999999998,78.32,81.0,83.08000000000001,84.59999999999998,85.2,85.11999999999999,84.24000000000001,82.87999999999998,81.32000000000001,79.2,79.32000000000002,76.20000000000002,72.84,69.16,65.96000000000001,60.00000000000001,56.920000000000016,53.040000000000006,46.96,37.28,28.119999999999997,19.64,12.68,8.44,8.120000000000001,7.76,7.48,7.04,6.720000000000001,6.44,6.2,5.96,5.92,5.8,5.68,5.68,5.76,5.64,5.5600000000000005,5.48,5.4,5.12,4.920000000000001,4.760000000000001,4.680000000000001,4.5200000000000005,4.48,5.8,12.639999999999999,27.560000000000006,43.39999999999999,59.4,73.76,82.56000000000002,83.11999999999999,82.08,80.11999999999999,77.24000000000001,72.99999999999999,67.87999999999998,62.51999999999999,57.319999999999986,53.199999999999996,50.480000000000004,48.64,47.72,47.599999999999994,47.8,48.0,48.559999999999995,49.19999999999999,49.800000000000004,50.28000000000001,50.760000000000005,51.12,51.43999999999999,51.43999999999999,51.36,51.27999999999999,51.03999999999999,50.75999999999999,50.75999999999999,50.75999999999999,50.67999999999999,50.39999999999999,50.399999999999984,50.12,49.84,49.6,49.4,49.00000000000001,48.84000000000001,48.56,48.32,48.16,48.0,47.68,47.480000000000004,47.16,46.68,46.16,45.400000000000006,43.8,41.64000000000001,39.4,36.99999999999999,34.8,33.6,33.44,35.279999999999994,38.36,42.15999999999999,46.08,49.71999999999999,51.76,52.72,53.11999999999999,53.27999999999999,53.35999999999999,53.44,53.64000000000001,53.800000000000004
6,50.75999999999999,50.67999999999999,50.839999999999996,50.68,50.71999999999999,50.64000000000001,50.440000000000005,50.040000000000006,49.72,49.04000000000001,48.51999999999999,48.199999999999996,47.68,47.16,46.48,45.52,44.279999999999994,43.2,42.440000000000005,42.040000000000006,42.24000000000001,43.00000000000001,44.160000000000004,45.440000000000005,46.959999999999994,48.12,48.839999999999996,49.43999999999999,49.96,50.35999999999999,50.99999999999999,52.03999999999999,53.03999999999999,54.239999999999995,55.39999999999999,56.47999999999999,57.67999999999999,58.879999999999995,59.67999999999999,62.72,79.03999999999999,95.03999999999998,111.32000000000001,127.91999999999999,142.64,144.36,146.52,148.87999999999997,151.44,154.24000000000004,157.12,159.92,162.6,164.67999999999995,165.87999999999997,166.08,165.48,163.72000000000003,161.32000000000005,158.07999999999998,154.31999999999996,149.84000000000003,145.64,141.92,138.76,136.04,133.91999999999996,131.76000000000002,128.16000000000003,121.52000000000002,111.71999999999998,102.52,78.36,55.959999999999994,37.04,21.8,6.319999999999999,6.16,5.96,5.88,5.800000000000001,5.720000000000001,5.720000000000001,5.8,5.640000000000001,5.5200000000000005,5.5200000000000005,5.4,5.160000000000001,5.040000000000001,4.960000000000001,4.840000000000001,4.680000000000001,4.48,8.04,14.92,24.880000000000003,40.67999999999999,58.76,74.12000000000002,84.64000000000001,89.00000000000001,94.72,88.8,80.87999999999998,73.68000000000002,69.4,57.96,56.12,54.760000000000005,53.56000000000001,52.08000000000001,50.20000000000001,48.08,46.52000000000001,45.32000000000001,44.72000000000002,48.920000000000016,54.04,59.279999999999994,64.71999999999998,69.91999999999999,70.44,69.72,68.8,67.75999999999999,66.76,66.24,66.16000000000001,66.11999999999999,66.28,66.60000000000001,66.6,66.64,66.72,66.6,66.48,66.4,66.2,65.88,65.72,65.36,65.28,65.36000000000001,65.52,80.84,96.16,111.44000000000001,126.60000000000002,141.79999999999998,141.68,141.67999999999998,141.6,141.44,141.32000000000002,141.28,141.16000000000003,141.08,141.12000000000003,141.0,140.8,140.84,140.60000000000002,140.32000000000002,140.16000000000003,140.04000000000005,139.76000000000005,139.76000000000005,139.84000000000003,139.84000000000003,139.80000000000004
7,131.43999999999997,130.59999999999997,130.16,129.92,130.16,130.56,131.32,131.95999999999998,132.64,133.12,133.39999999999998,133.39999999999998,133.4,133.11999999999998,132.99999999999997,132.92,133.07999999999998,133.48,133.8,134.32000000000005,134.88000000000002,135.32,135.79999999999998,136.52,137.2,137.95999999999998,138.92000000000002,139.8,140.87999999999997,142.04000000000002,143.20000000000005,143.92000000000002,144.60000000000002,145.52000000000004,146.20000000000005,146.92000000000004,148.00000000000003,149.04,149.76,150.55999999999997,151.40000000000003,151.96,152.32,152.84,153.04,152.68,136.87999999999997,120.84,104.64,88.92000000000002,73.60000000000001,74.11999999999999,74.8,75.36,75.6,75.72000000000001,75.12,74.20000000000003,72.92,90.32,103.08,115.76000000000002,134.51999999999998,146.19999999999996,137.35999999999999,128.8,103.44,72.52000000000001,48.919999999999995,27.159999999999997,9.799999999999999,9.719999999999999,9.44,9.28,9.040000000000001,8.760000000000002,8.480000000000002,8.280000000000001,7.960000000000001,7.840000000000002,7.720000000000001,7.600000000000001,7.5200000000000005,7.440000000000001,7.480000000000001,7.520000000000001,7.440000000000001,7.320000000000001,7.360000000000001,7.080000000000001,7.040000000000001,7.560000000000001,15.039999999999997,25.680000000000003,40.76,56.12,70.39999999999999,77.4,80.80000000000001,79.12,76.0,72.39999999999999,67.99999999999999,63.2,58.71999999999999,54.92000000000001,52.120000000000005,50.52,49.72,49.72,50.2,50.84,51.88,53.00000000000001,53.72,54.28,54.63999999999999,54.6,54.32,54.160000000000004,53.92,53.84,53.720000000000006,53.60000000000001,53.32,53.160000000000004,52.800000000000004,52.480000000000004,52.12,51.64,51.080000000000005,50.56,49.68000000000001,48.8,47.96,46.72,44.959999999999994,43.00000000000001,40.96,39.16,38.120000000000005,38.16000000000001,39.64000000000001,41.84,43.96000000000001,46.00000000000001,47.88,48.879999999999995,49.519999999999996,50.24,50.760000000000005,51.080000000000005,51.36,51.6,51.8,52.04,52.400000000000006,52.75999999999999,53.120000000000005,53.480000000000004,53.879999999999995,54.11999999999999,54.31999999999999,54.55999999999999,54.68,54.72,54.720000000000006,54.84,54.800000000000004,54.84000000000001,54.68
8,53.88,53.56,53.16,52.720000000000006,52.36,51.92,51.76,51.440000000000005,50.92000000000001,50.52,50.16,49.64,49.36,49.24000000000001,49.04,48.76,48.68,48.440000000000005,48.24,48.24,48.28,48.160000000000004,48.36,48.68,49.00000000000001,49.68,50.44,51.24,52.07999999999999,52.76,53.559999999999995,54.36,54.96,55.44,56.040000000000006,56.52000000000001,56.92,57.40000000000001,57.76,58.280000000000015,58.440000000000005,58.760000000000005,58.92000000000001,59.32000000000001,59.559999999999995,60.0,60.6,61.800000000000004,63.08,64.6,66.39999999999999,68.28,70.56,72.76,74.47999999999999,75.75999999999999,76.47999999999999,76.36,75.92,75.44000000000001,74.84,74.07999999999998,72.83999999999999,71.20000000000002,69.20000000000002,66.24000000000001,61.63999999999999,54.4,43.040000000000006,31.84,21.760000000000005,13.68,8.479999999999999,7.76,7.4,7.040000000000001,6.720000000000001,6.4399999999999995,6.16,5.920000000000001,5.800000000000001,5.6000000000000005,5.5200000000000005,5.44,5.44,5.28,5.2,4.920000000000001,4.800000000000001,4.680000000000001,4.640000000000001,4.44,4.44,4.240000000000001,16.96,32.519999999999996,48.67999999999999,65.00000000000001,81.72,85.24000000000001,85.39999999999999,83.31999999999998,80.16,75.28,69.72,60.96,53.36,46.88,42.28,39.08,40.04,41.88,43.72,45.52,46.99999999999999,48.16,49.11999999999999,50.040000000000006,50.68000000000001,51.199999999999996,51.63999999999999,51.99999999999999,52.32,52.56,52.800000000000004,52.88,53.080000000000005,53.160000000000004,53.040000000000006,52.8,52.76000000000001,52.64,52.48000000000001,52.440000000000005,52.6,52.68000000000001,52.64,52.64,52.440000000000005,52.32,51.96,51.48,50.96000000000001,50.60000000000001,49.84,49.2,48.760000000000005,47.959999999999994,47.16,46.36,45.120000000000005,43.48,42.16,40.959999999999994,40.36,40.959999999999994,42.31999999999999,43.839999999999996,45.67999999999999,47.440000000000005,48.56,49.36000000000001,50.24,50.68,50.92,51.03999999999999,51.040000000000006,50.88000000000001,50.68000000000001,50.400000000000006,50.120000000000005
9,47.440000000000005,48.56,49.36000000000001,50.24,50.68,50.92,51.03999999999999,51.040000000000006,50.88000000000001,50.68000000000001,50.400000000000006,50.120000000000005,49.440000000000005,48.76,48.080000000000005,47.36,46.52,46.040000000000006,45.48000000000001,45.0,44.480000000000004,44.12,43.879999999999995,43.8,43.8,43.839999999999996,43.96,44.12,44.400000000000006,44.76,45.279999999999994,45.96,46.92,47.92,49.080000000000005,50.199999999999996,51.32,52.28,53.160000000000004,53.99999999999999,55.0,56.0,56.96,57.88,58.92,59.96000000000001,61.040000000000006,62.04,63.07999999999999,64.0,64.88000000000001,65.84,67.28000000000002,68.92000000000002,70.88,73.03999999999999,75.11999999999999,76.80000000000001,77.96,78.84,79.36,79.47999999999999,78.95999999999998,78.47999999999999,76.96000000000001,75.04,72.64,69.19999999999999,63.68,55.160000000000004,42.56000000000001,30.359999999999996,19.720000000000006,11.12,6.199999999999999,5.680000000000001,5.319999999999999,4.919999999999999,4.680000000000001,4.680000000000001,4.44,4.320000000000001,4.240000000000001,4.160000000000001,3.88,3.84,3.6800000000000006,3.6399999999999997,3.5200000000000005,3.5600000000000005,3.5200000000000005,3.5200000000000005,3.4400000000000004,3.4000000000000004,3.2800000000000002,3.12,3.08,2.76,8.040000000000001,16.000000000000004,26.56,39.64000000000001,53.120000000000005,61.28,66.52000000000002,68.28,66.84,64.68,62.24,60.08,58.96,58.31999999999999,57.8,56.80000000000001,55.039999999999985,52.44,49.68000000000001,47.400000000000006,45.72,44.88000000000001,45.160000000000004,46.239999999999995,48.000000000000014,50.24,52.92000000000001,55.72000000000001,58.760000000000005,61.24000000000001,63.12000000000002,64.2,64.84,64.44000000000001,63.72,62.84000000000001,62.16,61.400000000000006,61.2,61.40000000000001,61.720000000000006,62.04,62.559999999999995,62.84000000000001,62.680000000000014,62.76000000000002,62.72000000000001,62.52000000000002,62.32,62.24000000000001,61.96000000000001,61.760000000000005,61.64,61.44,61.4,61.44000000000001,61.52,61.48000000000001,61.48,61.52000000000001,61.36000000000001,61.2,61.120000000000005,60.960000000000015,60.52,60.32000000000001,59.88000000000001,59.519999999999996,59.16,58.599999999999994,57.720000000000006,57.199999999999996,56.519999999999996
10,61.44,61.4,61.44000000000001,61.52,61.48000000000001,61.48,61.52000000000001,61.36000000000001,61.2,61.120000000000005,60.960000000000015,60.52,60.32000000000001,59.88000000000001,59.519999999999996,59.16,58.599999999999994,57.720000000000006,57.199999999999996,56.519999999999996,55.84,55.44,55.24,54.96,54.56000000000001,53.96,53.36,52.56,51.48000000000001,50.28,49.24,47.88,46.440000000000005,44.6,41.0,37.36,34.31999999999999,31.959999999999997,30.759999999999998,31.799999999999994,33.35999999999999,35.199999999999996,36.79999999999999,38.04,39.440000000000005,42.0,44.720000000000006,47.8,50.99999999999999,54.56000000000001,57.040000000000006,59.280000000000015,61.44000000000001,63.72000000000001,65.64,67.04,68.08000000000001,84.11999999999999,99.92,115.4,130.84,146.07999999999998,145.48000000000005,144.28000000000006,142.88,141.40000000000003,139.84000000000003,138.52,135.23999999999998,131.79999999999998,128.12000000000003,123.99999999999999,118.76000000000002,111.52,87.88000000000001,64.84,42.32,21.079999999999995,4.24,4.159999999999999,3.6799999999999997,3.4800000000000004,3.2800000000000002,3.12,2.96,3.08,2.8400000000000003,2.6800000000000006,2.4400000000000004,2.2800000000000002,2.04,13.08,23.16,33.160000000000004,42.64000000000001,51.36000000000001,50.04,50.199999999999996,50.440000000000005,50.64,51.32,50.44,48.12,44.52,39.44,32.879999999999995,26.080000000000002,19.6,14.639999999999999,12.079999999999998,11.520000000000001,11.920000000000002,12.720000000000002,13.559999999999997,14.6,16.159999999999997,17.839999999999996,20.0,22.16,23.64,24.64,25.560000000000002,26.400000000000002,27.160000000000004,28.04,28.88,29.799999999999994,30.639999999999993,31.44,32.32000000000001,33.120000000000005,33.71999999999999,34.28,35.03999999999999,35.56,36.03999999999999,37.31999999999999,38.68,39.96,41.4,42.88,43.800000000000004,44.48,45.00000000000001,45.480000000000004,45.84,45.96,46.16,46.400000000000006,46.480000000000004,46.480000000000004,46.199999999999996,45.72,44.6,42.8,40.24,37.36,34.2,31.279999999999998,29.240000000000006,27.999999999999996,27.52,27.520000000000003,28.0,28.44,28.960000000000004,29.28,29.479999999999997,29.52,29.52,29.279999999999998
